id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4559192226012286,JoPRkpe4m,1776036381,RUOMIDUO,中秋节那天，家里亲戚来我家过节。当时老爸给老妈敬酒，因为他俩坐在一起所以是那种悄咪咪的敬。被我小姨看见了，然后就说这姐夫还挺有情调知道给姐姐敬酒，平时你们俩吵的最凶，感情还死好。我妈说我爸每次都会给她敬酒(我也是第一次知道酸了)，吵架也是生活里必不可少的一部分，很正常(你吵架的时候可不是这么说的)。然后两个姨就开始数落两个姨夫没情调，不会生活昨天晚上因为家务事，爸和妈吵了快2小时的架，对于我来说他们吵架是家常便饭，虽知劝阻无效，但还是老规矩的劝了几句。这一次还顺带着把我一起骂了，我问我妈为什么骂我，她说因为我也姓罗吵得快结束的时候，我妈对我爸说，你以后少给我发‘如何成为一个优秀的女人’，我爸回了一句，你也别给我发‘如何做一个成功的男人’，有你这样的老婆不可能成功。我当时真的在房间笑喷了，这俩人咋跟小孩子一样之后他俩儿就互相不理对方，进入冷战状态。今儿大清早，老爸带着狗子去上班了(在农村扶贫，一个星期回来一次)。两个人很可能要冷战一星期不说话了。刚刚吃饭的时候，老妈在刷抖音看直播，有一个主播正在代七匹狼男装，她看见一套棉衣应该还蛮适合老爸的，让我帮忙抢一下。当时心颤了一下，有点被感动到。难道忘记你们还在冷战吗？你忘记昨晚还在说着离婚吗？一情感博主说过其实往往那种合不得离不得的关系是最长久最稳定也是幸福感最高的。这不就是我爸妈吗我酸了啊！！！也是曾经的你，我，我们。,,,,,0,0,1,2020-10-12 13:13,微博 weibo.com,,,
4514935054640345,J6gwNjtah,1656284825,七匹狼,#NewMe#30年，风雨征程有你；30年，辉煌荣耀有你；30年，不忘初心，致敬经典；感恩30年一路扶持相伴，全网福利放送，亿万补贴豪横发！关注@七匹狼带#七匹狼惠聚30周年#转发，并送上生日祝福。6.21不过滤抽30人送【30周年纪念T恤1件】，再抽30人送【200元京东卡】。@微博抽奖平台,,,"七匹狼,微博抽奖平台","New Me,七匹狼惠聚30周年",214202,4371,1820,2020-06-12 10:11,微博 weibo.com,['http://ww4.sinaimg.cn/large/62b8e699gy1gfp9m390gbj20jg0y7tlv.jpg'],,
4517974759244828,J7xBxCN08,2854290100,WANGZIMO17,#七匹狼惠聚30周年#王子一天天的扶贫挺多,,,,七匹狼惠聚30周年,0,0,0,2020-06-20 19:29,小米9,,,4514935054640345
4517970732516271,J7xv3ayB1,2345543023,Janetxj16,#七匹狼惠聚30周年#王子一天天的扶贫挺多,,,,七匹狼惠聚30周年,0,0,0,2020-06-20 19:13,小米9,,,4514935054640345
4517913879831180,J7w1lFfxq,3781616907,nora抹抹茶17,#七匹狼惠聚30周年#王子一天天的扶贫挺多,,,,七匹狼惠聚30周年,0,0,0,2020-06-20 15:27,小米9,,,4514935054640345
4496499591732020,IEuov7gzO,5882214589,欧阳壹敬,许家印有一年参加两会，在人民大会堂外心情澎湃，手中拿着1.5万元的三星手机，腰间金光闪闪的爱马仕皮带让大批记者拍，结果没想到得了“许皮带”这么一个称号。许老板觉得这样不好，默不作声把皮带换成了七匹狼的，据说也就百十来块钱。扶贫攻坚，70周年阅兵等等，大家都说许家印懂政治，跟着国家大趋势走。国家需要扶贫，他立马扶贫；国家需要慈善，他立马捐款；国家需要收紧海外投资，他赶紧从海外撤兵；国家需要搞足球，他投入巨额资金；国家需要排球，他直接把恒大女排教练郎平送给国家。他的每一次公开讲话，都会把党、国家和社会利益放在嘴边。可谓是名副其实的模范企业家！自律者强，坚持自律者恒强！,,,,,0,1,4,2020-04-22 13:15,微博 weibo.com,['http://ww2.sinaimg.cn/large/caba1154ly1ge1cpajv0ej20dw0d2q3u.jpg'],,
4494615715584171,IDHnZnqHh,5836534629,请你藏好,腿龙仔作为一个男团成员这么胖不合适吧。剩下仨不想说了能榨出来三斤五A级花生油。钱板嗯仨人像是另外一个团的过来扶贫。拼盘男团哪家强就选南韩七匹狼。,,,,,0,2,0,2020-04-17 08:29,HUAWEI P20,,,
4488521945793356,IB8Rkoj7e,7413526915,温暖war丨aqzkfi,许家印有一年参加两会，在人民大会堂外心情澎湃，手中拿着1.5万元的三星手机，腰间金光闪闪的爱马仕皮带让大批记者拍，结果没想到得了“许皮带”这么一个称号。许老板觉得这样不好，默不作声把皮带换成了七匹狼的，据说也就百十来块钱。扶贫攻坚，70周年阅兵等等，大家都说许家印懂政治，跟着国家大...展开全文c,,,,,0,0,0,2020-03-31 12:54,微博 weibo.com,['http://ww4.sinaimg.cn/large/8087f5e3gy1gdbts9w8c5j20dw0d2t9z.jpg'],,
4488134597031872,IAYMztvji,2034282472,海南国际旅游岛微博,许家印有一年参加两会，在人民大会堂外心情澎湃，手中拿着1.5万元的三星手机，腰间金光闪闪的爱马仕皮带让大批记者拍，结果没想到得了“许皮带”这么一个称号。许老板觉得这样不好，默不作声把皮带换成了七匹狼的，据说也就百十来块钱。扶贫攻坚，70周年阅兵等等，大家都说许家印懂政治，跟着国家大趋势走。国家需要扶贫，他立马扶贫；国家需要慈善，他立马捐款；国家需要收紧海外投资，他赶紧从海外撤兵；国家需要搞足球，他投入巨额资金；国家需要排球，他直接把恒大女排教练郎平送给国家。他的每一次公开讲话，都会把党、国家和社会利益放在嘴边。可谓是名副其实的模范企业家！自律者强，坚持自律者恒强！,,,,,0,0,1,2020-03-30 11:15,Android,['http://ww1.sinaimg.cn/large/7940afe8gy1gdbs8zzu46j20dw0d2752.jpg'],,
4445758621146360,Ijcoe4OdG,7277545360,大连服博会,中国纺织工业联合党委书记高勇出席“2019社会力量参与救灾扶贫座谈会”2019年12月3日，由中国纺织工业联合会作为指导单位，中国扶贫基金会联合中国服装协会、纺织之光科技教育基金会、中国家用纺织品行业协会共同主办的“2019社会力量参与救灾扶贫座谈会暨暖冬行动启动仪式”在京举行。中国纺织工业联合党委书记高勇出席并致辞。中国纺织工业联合会党委书记高勇在致辞中表示：中国是自然灾害多发国家，受灾地区因灾致贫、因灾返贫人数众多，在重大自然灾害救援过程中，一方有难，八方支援，政府、行业组织、企业分别在不同层面发挥了重要作用。中国纺织行业从企业到行业组织在历次自然灾害的救援和灾后重建中都发挥了极具行业特色积极作用，不仅出钱出力、捐赠衣被，还贡献了大量重要的技术装备材料。中国纺织工业联合会和纺织全行业坚决贯彻党中央的指示和要求，动员引导纺织服装全行业积极参与脱贫攻坚行动，努力为精准扶贫贡献力量。中国扶贫基金会理事长郑文凯在致辞中指出，救灾扶贫是全面打赢脱贫攻坚战的重要组成部分，救灾扶贫旨在精准，反应要及时、组织要有序、工作要有效。此次活动正是贯彻落实十九大精神、助力脱贫攻坚的具体行动，也是为了更加深入探讨救灾扶贫的基本特点、模式和方法，总结救灾扶贫的成功案例、经验做法，进一步扩大救灾扶贫的社会影响，引导汇聚各方面力量，参与到助力脱贫攻坚、巩固脱贫成果中来，共同为新时代扶贫慈善公益事业发展做出新的贡献。此次座谈会主要围绕社会力量参与扶贫救灾工作的经验总结及创新探索，探寻更加及时有效、精准地参与国家应急响应工作的途径进行了主题分享与讨论。中国扶贫基金会副秘书长王鹏就中国扶贫基金会扶贫救灾工作的探索与思考进行了分享；纺织之光科技教育基金会常务副理事长叶志民就纺织之光基金会有效参与扶贫救灾工作的探索进行分享；北京师范大学风险治理创新研究中心减灾项目部副主任佟欣然分享了中国社会力量参与扶贫救灾工作成果与创新案例。座谈会上，捐赠企业代表针对企业参与扶贫救灾工作进行了案例分享。与此同时，中国扶贫基金会向2019年在救灾扶贫工作中作出贡献的爱心单位颁发了荣誉纪念牌。为了让贫困地区和受灾地区群众温暖过冬，中国扶贫基金会、中国服装协会、纺织之光科技教育基金会、中国家用纺织品行业协会联合发起的“2019暖冬行动”中，特步（中国）有限公司、宁波太平鸟时尚服饰股份有限公司、江苏爱格斯凯服装科技发展有限公司、福建七匹狼实业股份有限公司、劲霸男装股份有限公司等首批爱心企业向中国扶贫基金会认捐价值4069.65万元的物资。,,,,,0,0,0,2019-12-04 12:48,专业版微博,"['http://ww4.sinaimg.cn/large/007WvPZSly1g9klfl8nmgj30u00mitb0.jpg', 'http://ww4.sinaimg.cn/large/007WvPZSly1g9klfl8k5ej30go0b30tm.jpg', 'http://ww1.sinaimg.cn/large/007WvPZSly1g9klfl6ylxj30go0b3wfd.jpg', 'http://ww4.sinaimg.cn/large/007WvPZSly1g9klfl7aexj30go0b3my7.jpg', 'http://ww3.sinaimg.cn/large/007WvPZSly1g9klfl7fuqj30go0b3q40.jpg', 'http://ww2.sinaimg.cn/large/007WvPZSly1g9klfp04ysj30hs0hs794.jpg']",,
