id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4546758430687644,JjCoP2ST2,6502046593,三七互娱sz002555,三七互娱sz002555扶贫先扶智三七互娱为贫困学生点燃大学梦，点击链接查看更多->O网页链接,,,,,1,0,0,2020-09-08 05:45,微博股票,,,
4546724615685964,JjBwhnRb6,6502046593,三七互娱sz002555,三七互娱sz002555扶贫先扶智三七互娱为贫困学生点燃大学梦，点击链接查看更多->O网页链接,,,,,1,0,0,2020-09-08 03:31,微博股票,,,
4521842331070952,J9adz4uBq,6013977287,三七互娱PR,#新闻看点#6月30日是“广东扶贫济困日”，这段时间，综合型文创上市企业三七互娱也在准备新一轮高中生助学金支持、面向大学生的游心伙伴粤计划等工作，为教育扶贫助力。从2014年发起成立游心公益基金会至今，6...O三七互娱开展扶贫助学系列行动以“教育扶贫”践行企业社会责任,,,,新闻看点,0,0,0,2020-07-01 11:38,新浪看点客户端,,,
4384820467706330,HzAzcwkLE,3705599424,短线股仙仙,【投资事项】　　亚太股份：与华晟基金签署协议联手推进无人驾驶应用　　中文传媒：子公司与动视暴雪终止联合开发游戏的合作协议　　杭州园林：联合预中标1.81亿元项目　　珀莱雅：拟出资1.35亿元参与发起设立投资基金　　禾丰牧业：与台前县政府签署产业扶贫战略合作协议　　怡亚通：拟出售参股公司百润（中国）22.22%股权　　北信源：与成都鼎桥通信战略合作　　步步高：拟6.5亿元购买控股股东资产　　雪浪环境：预中标5.4亿元项目　　腾达建设：中标9.21亿元工程项目　　中原环保：子公司拟联合投建都匀市建筑垃圾清运处置项目　　浙商中拓：出售长沙心安里大楼资产　　宜昌交运：与长江电力就研发建造电动船达成协议　　龙马环卫：中标逾13亿元环卫服务项目　　大千生态：联合签订9985万元EPC项目合同　　蓝帆医疗：拟1.016亿元受让同心医疗10.16%股权　　三木集团：收购青岛盈科汇金投资管理有限公司50.5%股权　　明阳智能：预中标26亿元海上风电项目　　中兵红箭：中兵投资拟以不超公司3%股权认购基金份额　　三七互娱：子公司拟参与设立科创国发基金　　中曼石油：签订2.99亿元新疆钻井项目合同　　木林森：拟2.15亿元受让控股子公司股权　　*ST赫美：拟将高端制造板块业务转移到子公司独立经营　　城发环境：预中标4.8亿元生活垃圾焚烧发电项目　　华凯创意：签订5538万元建设项目工程承包合同,,,,,0,0,1,2019-06-19 09:02,UC浏览器电脑版,,,
4384793875345641,HzzSjmqE1,5547578924,阳光哥爱投资,投资签约300352北信源：与成都鼎桥通信战略合作000885城发环境：预中标4.8亿元生活垃圾焚烧发电项目603955大千生态：联合签订9985万元EPC项目合同300649杭州园林：预中标1.8亿元EPC项目603609禾丰牧业：与台前县政府签署产业扶贫战略合作协议300592华凯创意：签订5538万元建设项目工程承包合同603686龙马环卫：中标逾13亿元环卫服务项目601615明阳智能：预中标26亿元海上风电项目603605珀莱雅：拟出资1.35亿元参与设立投资基金000632三木集团：收购青岛盈科汇金投资管理有限公司50.5%股权002555三七互娱：子公司拟参与设立科创国发基金600512腾达建设：中标9.21亿元工程项目300385雪浪环境：预中标5.4亿元垃圾处理项目002284亚太股份：与华晟基金签订无人驾驶领域合作框架协议000519中兵红箭：中兵投资拟以不超公司3%股权认购基金份额603619中曼石油：签订2.99亿元新疆钻井项目合同000544中原环保：子公司拟联合投建都匀市建筑垃圾清运处置项目,,,,,0,0,9,2019-06-19 07:16,微博 weibo.com,,,
4381953904169906,HynZIhuMy,6013977287,三七互娱PR,#精准扶贫#三七互娱开展公益营销：深挖游戏正向价值，助力教育精准扶贫O三七互娱开展公益营销：深挖游戏正向价值，助力教育精准扶贫,,,,精准扶贫,0,0,0,2019-06-11 11:11,手机新浪网,,,
4381953849549382,HynZCE4ei,6013977287,三七互娱PR,#精准扶贫#三七互娱开展公益营销：深挖游戏正向价值，助力教育精准扶贫O三七互娱开展公益营销：深挖游戏正向价值，助力教育精准扶贫,,,,精准扶贫,0,0,0,2019-06-11 11:11,手机新浪网,,,
4370470642321699,Htzgk9JYL,1836080194,37洋葱头,三方合力开展教育精准扶贫，三七互娱牵手中山大学深耕“凤庆模式”。O三方合力开展教育精准扶贫，三七互娱牵手中山大学深耕“凤庆模式”,,,,,0,1,0,2019-05-10 18:41,微博 weibo.com,"['http://ww2.sinaimg.cn/large/6d705c42gy1g2wenq1ehqj21290nt471.jpg', 'http://ww1.sinaimg.cn/large/6d705c42gy1g2wenvftf0j21290nj7wi.jpg', 'http://ww2.sinaimg.cn/large/6d705c42gy1g2wenstghtj20qh0kchdt.jpg', 'http://ww2.sinaimg.cn/large/6d705c42gy1g2wenw6sl8j210v0nuu0y.jpg']",,
4370165040439492,Htrjq1QkA,3093036205,九艺圆明,三方合力开展教育精准扶贫，三七互娱牵手中山大学深耕#游戏美术外包##游戏外包##游戏美术##游戏设计##游戏音乐##美术外包##游戏原画##游戏模型##unity3D#O网页链接,,,,"游戏美术外包,游戏外包,游戏美术,游戏设计,游戏音乐,美术外包,游戏原画,游戏模型,unity3D",0,0,0,2019-05-09 22:26,分享按钮,,,
4359817101181716,Hp67c4XpW,5213230270,股市涨停风云,个股利好：信息发展拟10转7派0.3；盛通股份拟10转7；江阴银行拟10送2派0.5；洪汇新材拟10派10；穗恒运A、盈峰环境、岭南控股、丰乐种业一季报大幅预增；深深房A一季报扭亏为盈；中国铁建中标逾30亿元工程项目；大商股份签订16.5亿元总承包工程合同；海陆重工中标1.7亿元光伏扶贫电站建设项目；绿茵生态中标1.12亿元合同；金智科技中标6313万元模块化变电站项目。个股利空：一汽夏利、深南电A、西安饮食、友迅达一季报预亏；苏常柴A、英力特、金盾股份、翰宇药业、戴维医疗、宝莱特一季报预降；昂立教育年报预亏；音飞储存终止收购南京华德100%股权；海越能源存在重大会计差错更正，被出具警示函；刚泰控股、神雾节能将被ST；三七互娱、申通快递、飞乐音响、赫美集团、ST新梅股东减持；广汽集团、诚迈科技、鄂武商A、凤形股份、合力泰、新天药业、星网锐捷、建科院、天成自控、奥联电子、天泽信息、永安药业、欧浦智网、精研科技股东拟减持。,,,,,0,0,0,2019-04-11 09:07,360安全浏览器,,,
