id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4504868293439349,J22E5eqJn,2242135285,中国产经新闻,【中国化学工程定点帮扶华池县再次取得新成果】在此之前，中国化学工程所属东华科技深度发掘企业与贫困县之间合作的契合点，与华池县委、县政府沟通并达成开展劳务输转工作意向，确定华池建司为东华科技山西美锦华盛项目建筑工程二标段施工分包商，探索出“央企+民企+贫困户”的就业扶贫工作新实践。华池建司在工程建设中按照总包方要求保质保量完成承包工程，也严格按照华池县委要求，积极为有意愿且有劳动能力的建档立卡贫困户提供就业岗位，同时拿出合同金额的3%用于支持产业帮扶、消费帮扶和各项公益帮扶活动。在项目建设中，中国化学工程有关领导先后到项目现场调研部署工作，东华科技山西美锦华盛项目部在质量、安全、进度方面进行科学管理，对华池建司施工作业进行认真负责的指导帮助，全心全意为项目施工保驾护航。@化学小微,,,化学小微,,0,0,0,2020-05-15 15:29,360安全浏览器,['http://ww3.sinaimg.cn/large/85a444f5ly1get62wrxfvj20go0cidhu.jpg'],,
4492272609461229,ICIqMDHit,7258465916,中国化学,中国化学工程所属东华科技专家组赴甘肃华池县开展技术帮扶工作为进一步深化中央定点扶贫交流协作，拓展帮扶工作思路，充分利用企业自身技术优势和地方资源优势，助力定点扶贫华池县产业提升和经济社会发展，4月1日至3日，中国化学工程所属东华科技选派由教授级高工组成的专家组赴甘肃省华池县开展技术帮扶工作，现场为当地油气产业发展问诊把脉。在扶贫干部、华池县政府副县长邱军陪同下，专家组一行先后前往该县元城镇石油伴生气回收利用项目、5万吨石油伴生气回收利用项目拟建地调研，实地了解华池县资源布局、储量和现阶段利用开发情况，并就拟建项目工作进行调研论证。在4月3日召开的石油伴生气回收利用项目暨石油天然气产业发展规划论证会上，专家组结合华池县油气资源特点及未来产业发展规划，从工业发展思路、产业政策、项目效益、环境容量、产业链延伸等方面提出了一系列系统性、专业性的意见建议，获得华池县委县政府的感谢和肯定。东华科技将以此次技术帮扶为契机，进一步细化技术帮扶举措，积极探索技术帮扶工作形成长效机制，为华池县经济社会发展、脱贫成果巩固和乡村振兴贡献力量，用实际行动展现中国化学的责任与担当。,,,,,0,0,0,2020-04-10 21:18,微博 weibo.com,"['http://ww4.sinaimg.cn/large/007VdMyUgy1gdozh8l8c0j30go0citao.jpg', 'http://ww2.sinaimg.cn/large/007VdMyUgy1gdozhjbymej31hc0u0tc7.jpg']",,
4372238624791102,HujfUk6nQ,1934400970,东哥侃市,"【5月15日公司大事】悦达投资600805：控股股东完成增持公司股份计划公司于2019年5月13日接到控股股东悦达集团通知，悦达集团于2019年4月3日-2019年5月10日间通过集中竞价交易累计增持了公司股份17,017,820股，占公司总股本的2%，均价为5.974元/股。增持计划实施完毕。金晶科技600586：已耗资逾亿元回购2%股份截至目前，公司已累计回购股份2940.21万股，占公司总股本的2.02%，成交最高价3.76元/股，最低价2.81元/股，支付资金总额1.02亿元。慈文传媒002343：获控股股东增持1.8734%股份公司控股股东华章投资自2019年5月8日至2019年5月13日期间，通过深圳证券交易所交易系统累计增持公司股份8,897,831股，占公司总股本的1.8734%，成交均价为8.916元/股。东华科技002140：获煤制乙二醇项目中标候选人公司与中国建筑第八工程局有限公司组成的联合体被确定为内蒙古开滦化工有限公司40万吨/年煤制乙二醇项目设计施工总承包（EPC）第一中标候选人。据公告，该项目位于内蒙古自治区鄂尔多斯市准格尔旗大路新区东工业园区，项目工程投资66.44亿元，建设期3年。沃森生物300142：与中国初级卫生保健基金会合作设立公益基金公司拟与中国初级卫生保健基金会合作，在其名下成立“生而健康公益基金”并签署《协议书》。公司将通过为偏远贫困地区捐赠现金和疫苗产品实施健康扶贫，以促进我国偏远贫困地区和相对贫困地区高危人群的疫苗接种工作，降低相关疾病的发生率和病死率。天龙集团300063：推2488万股限制性股票激励计划披露2019年限制性股票激励计划（草案），拟授予限制性股票2488万股，约占公司总股本的3.42%。其中，首次授予44名激励对象2258万股，首次授予价格1.87元/股。*ST尤夫002427：子公司签订框架性锂离子电芯供货合同公司收到全资子公司智航新能源的通知，其与盐城国投中科新能源签署《2019年框架性供货合同》，盐城国投中科新能源保证在2019年12月31日前至少向智航新能源采购2000万支三元锂离子18650-2.6Ah电芯，智航新能源保证有相应供货能力。台海核电002366：控股股东拟延期实施增持计划自披露公司控股股东台海集团增持股份计划及实施进展后，由于经济环境、融资环境等发生较大变化，台海集团的股权结构也发生重大变化，继续增持股份须经全体董事一致通过。台海集团拟将此次增持计划期限延期至2020年5月30日。截至目前，台海集团累计增持公司股票149.09万股，占承诺增持计划总额的12.35%。",,,,,0,0,0,2019-05-15 15:46,360安全浏览器,,,
4300854653275431,H0metdK5x,5205166202,证券大周刊QQ350516814,"基建景气度料将持续上行申万宏源2018年前三季度行业整体好于上半年:1)建筑央企、国企受益7月底政策转向,存量项目推进边际加快,但订单到收入利润的转化尚需一定时日,业绩增速较上半年基本持平,后续随着政策逐渐见效,四季度有望迎来改善。2)专业工程公司受益于上游企业盈利,CAPEX支出增加,在手化工、煤化工、石油化工项目执行加速,2018年收入利润反转,但减值和汇兑冲回量是需要关注的变量;3)国际工程公司主要受益于人民币大幅贬值,三季度汇兑损失部分冲回增厚业绩,但与17年相比后续订单生效是需要密切关注的变量;4)家装公司受地产后周期叠加消费升级共同影响,订单收入兑现,三季度业绩仍维持快速增长,公装具有后周期属性,17年新签订单转化执行,利润增速平稳;5)园林工程所在生态环保行业增速放缓,民企融资难问题未见明显好转,同时清理地方政府隐性债务、PPP项目规范化仍在进行,公司项目推进有所放缓,若后续民企融资落地边际向好有望带动估值提升。基建板块:后续跟踪的核心是表内信贷与专项债的投放,政府消费是18年下半年确定性最强的方向,推荐业绩高增长、融资环境改善后边际变化的标的,看好中国中铁(601390)、中国铁建(601186)、四川路桥(600039)、苏交科(300284)、中设集团(603018)。看好专业工程板块:石油炼化投资17年开始加速,根据企业投资计划来看,景气度还在持续上升,化工投资受益17年工业企业利润增速大增,以及今年银行信贷支持实体经济融资,投资在边际改善中,煤化工受益油价上涨,煤制乙二醇投资热情高,煤制油、煤制烯烃示范项目在积极推进中,看好中国化学(601117)、东华科技(002140)、航天工程(603698)等。家装板块:家装具有周期与成长的双重属性,现金流好,资产负债表健康,标准化家装通过产品端套餐化、材料端集采化、管理端高度信息化、营销端互联网化,着力整合分散的家装行业增加管理半径,且家装行业是家居消费的入口,如果规模能做大,就有极高的渠道价值。建议关注东易日盛(002713)(传统家装积累深厚)、金螳螂(002081)(标准化家装规模领先)。国际工程板块:板块调整充分,估值高安全边际,充分受益“一带一路”战略推进。推荐中材国际(600970)(工程订单复苏,布局水泥窑协同处置危废空间大,俩材合并后有同业竞争资产注入预期),关注中工国际(002051)、北方国际(000065)。核心推荐标的:基建组合:中国中铁(601390)(18年20%增长,PE9.2X,PB1.0X,铁路建设市场占有率全国第一,建筑央企债转股第一单落地)、中国铁建(601186)(18年20%增长,PE8.1X,PB0.9X,基建央企全国布局,中西部基础设施建设拥有优势)、四川路桥(600039)(18年30%增长,PE9.5X,PB0.9X,精准扶贫标签,17年起新签订单大幅增长,业绩反转)、苏交科(300284)(18年20%增长,PE14X,中国版的AECOM,战略清晰,年初订单高速增长,未来三年20%复合增长确定性高)、中设集团(603018)(18年33%增长,PE12X。民营基建设计龙头之一,16年完成事业部制改革,员工激励全面提升,市场+细分领域拓展保障未来持续增长)。中国化学(601117):18年68%增长,PE13X。17年国内订单实现65%增长,海外项目开工率提升,18年1-9月收入增长41%超预期,验证高景气。煤化工随着政策放松和油价上涨,投资意愿加强;公司环保及基建业务扩张将加速。17年新管理层上任动力足。东易日盛(002713):18年26%增长,PE15X。家装行业近几年小企业在退出市场,龙头集中度提升,东易传统家装保持稳定增长,现金流好,标准化家装速美超级家模式转换后步入正轨。",,,,,0,0,0,2018-10-30 16:11,微博 weibo.com,,,
4169218868495990,Ft2HkzEc6,5939063463,·钱眼海哥的微博,最新消息面及操作策略：今晨纳指再创盘中历史新高，道指上涨0.12%，纳指上涨0.43%，标普上涨0.09%，欧洲主要国家股市收高。纽约原油期货上涨23美分，涨幅为0.42%，收于每桶54.38美元；纽约黄金期货收跌0.6%，收于每盎司1270.5美元。其他消息面：10月官方制造业PMI为51.6，连续15月在荣枯线上方；昨日6家企业首发上会，仅有2家获通过；北上资金持仓规模超4900亿元；全国碳排放交易即将启动（涉置信电气、华测检测等）；京津冀大气环保局将于年底前组建；上海自由贸易港方案正在完善和报批；雄安新区22个专项规划、32个专题研究均取得阶段性成果；个股利好：北新建材年报大幅预增；龙源技术年报扭亏为盈；中国铁建中标34.58亿元扶贫小镇项目；浦东建设中标合计8.88亿元多个项目；富煌钢构签署8亿元安置区产业化工程项目；东华科技联合体预中标8亿元PPP项目；棕榈股份中标合计3.64亿元多个景观工程设计项目；汇川技术预中标1.23亿元轨道交通项目；蓝盾股份联合签署5608万元项目合同；科力远子公司签技术许可协议，预计获益超6000万；汉鼎宇佑转让微贷金融1.5%股权，预计增利4575万；大唐发电、南京化纤、宜安科技定增获批；奇信股份董事长增持，引入首席科学家；中顺洁柔、三垒股份、东方通股东拟增持。个股利空：精功科技、人人乐终止重大资产重组事项；龙蟒佰利终止收购海外钛矿项目控制权；闻泰科技、茂业通信、隆鑫通用、网宿科技、劲拓股份、海联讯、宝馨科技、赞宇科技、九强生物、昊志机电、和科达、新易盛、吉宏股份、振华股份、和仁科技股东拟减持。今日限售股解禁：浩云科技、高伟达、理工光科、佳发安泰、中富通。昨天大盘缩量上涨，还是属于急跌后的反弹，今天继续观察反弹量能和力度，如果继续弱反，仍可再回落可能，注意先趁反弹减仓拉升力度大的个股。再等继续低吸高卖的机会。,,,,,0,0,0,2017-11-01 10:18,微博 weibo.com,,,
4169205807420957,Ft2mgv8wR,6369482669,后生看股,公告淘金：会稽山拟7.35亿元收购咸亨股份100%股份人民网与浦东科创签订战略合作备忘录筹备文化产业投资基金中国铁建：中标34.5761亿元特色扶贫小镇项目东华科技：联合体预中标8.01亿元项目华大基因与康美药业签署战略合作协议东方通董事长计划增持不低于1000万股泰禾集团增持北京科技园建设公司3.11%股份中顺洁柔董秘拟增持不超1000万元联美控股：6.51亿竞得信达财险13.33%股权富煌钢构：签8亿施工合同富奥股份：部分股权被间接无偿转让#今日看盘#,,,,今日看盘,0,0,0,2017-11-01 09:26,微博 weibo.com,,,
4169204867292486,Ft2kKuB6K,5821543722,大连前能商品经纪,"#股评#个股利好：北新建材年报大幅预增；龙源技术年报扭亏为盈；中国铁建中标34.58亿元扶贫小镇项目；浦东建设中标合计8.88亿元多个项目；富煌钢构签署8亿元安置区产业化工程项目；东华科技联合体预中标8亿元PPP项目；棕榈股份中标合计3.64亿元多个景观工程设计项目；汇川技术预中标1.23亿元轨道交通项目；蓝盾股份联合签署5608万元项目合同；科力远子公司签技术许可协议，预计获益超6000万；汉鼎宇佑转让微贷金融1.5%股权，预计增利4575万；大唐发电、南京化纤、宜安科技定增获批；奇信股份董事长增持，引入首席科学家；中顺洁柔、三垒股份、东方通股东拟增持。个股利空：精功科技、人人乐终止重大资产重组事项；龙蟒佰利终止收购海外钛矿项目控制权；闻泰科技、茂业通信、隆鑫通用、网宿科技、劲拓股份、海联讯、宝馨科技、赞宇科技、九强生物、昊志机电、和科达、新易盛、吉宏股份、振华股份、和仁科技股东拟减持。限售股解禁：浩云科技、高伟达、理工光科、佳发安泰、中富通。",,,,股评,0,0,0,2017-11-01 09:22,股评超话,,,
4169204804179000,Ft2kEhx9e,3007843942,咔源网,个股利好：北新建材年报大幅预增；龙源技术年报扭亏为盈；中国铁建中标34.58亿元扶贫小镇项目；浦东建设中标合计8.88亿元多个项目；富煌钢构签署8亿元安置区产业化工程项目；东华科技联合体预中标8亿元PPP项目；棕榈股份中标合计3.64亿元多个景观工程设计项目；汇川技术预中标1.23亿元轨道交通项目；蓝盾股份联合签署5608万元项目合同；科力远子公司签技术许可协议，预计获益超6000万；汉鼎宇佑转让微贷金融1.5%股权，预计增利4575万；大唐发电、南京化纤、宜安科技定增获批；奇信股份董事长增持，引入首席科学家；中顺洁柔、三垒股份、东方通股东拟增持。,,,,,0,0,0,2017-11-01 09:22,微博 weibo.com,,,
4169204569613614,Ft2kgEkWi,2460147301,C姐看市,【个股公告】上海沪工（603131）：收购航天华宇拓展航天军工领域赛摩电气（300466）：收购广浩捷充实智能制造生态圈茂业通信（000889）：拟收购中天嘉华中远海能（600026）：定增募资54亿打造领先油运船队北特科技（603009）：拟收购光裕股份95.7123%股份会稽山（601579）：拟现金收购咸亨股份100%股权雄韬股份（002733）：拟50亿元在武汉投建氢燃料电池产业园汇川技术（300124）：预中标1.23亿元轨道交通项目蓝盾股份（300297）：联合签署5608万元项目合同耐威科技（300456）：参与投资设立半导体产业投资基金富煌钢构（002743）：签逾8亿元棚户区改造施工合同东华科技（002140）：联合预中标8亿元PPP项目中国铁建（601186）：中标中马钦州产业园区特色扶贫小镇项目浦东建设（600284）：中标多项重大工程棕榈股份(002431)：中标多个景观工程设计项目总金额3.64亿人民网（603000）：与浦东科创集团签署战略合作备忘录康美药业（600518）：与华大基因战略合作拟共建研究院和公司山东高速（600350）：发起设立50亿产业投资基金投资金融等行业奇信股份（002781）：董事长拟增持不低于2000万元东方通（300379）：董事长计划增持不低于1000万股恒瑞医药（600276）：发布2017年度限制性股票激励计划,,,,,0,0,0,2017-11-01 09:21,微博 weibo.com,,,
4169204393459084,Ft2jZevRG,3753356644,股市猎手复盘,【11-1热点消息+附股】1、超高密人脸识别方案问世，AI芯片行业空间广阔。评：随着高清摄像头的进一步普及和无人驾驶的逐渐落地，计算任务前移将成为人工智能产业发展的下一阶段，智能芯片作为计算任务的承载，将蕴含重大投资机会。AI芯片概念股：景嘉微（300474）、中科创达（300496）、中科曙光（603019）、国科微（300672）等。2、铁总改革加速，国家铁路集团将成立评：第三批混改试点名单行将公布，地方国企有望“唱大戏、担主角”;下半年是铁改加速的黄金时期，关注有预期的混改相关概念股。铁总在高铁、土地、普铁以及制度上的全面推进，而未来的铁路改革重点将在改善投融资体系以及市场化推进。铁改概念股：铁龙物流（600125）、广深铁路（601333）等。3、京东组建产业联盟未来引入数十万辆新能源车。评：东风汽车（600006）是京东物流的合作伙伴之一，多款物流车连续进入推广目录；蓝海华腾（300484）的电控产品营收中，物流车领域占到了65%左右；科泰电源（300153）拟定增8.126亿元投入新能源物流车运营项目。【个股公告】上海沪工（603131）：收购航天华宇拓展航天军工领域赛摩电气（300466）：收购广浩捷充实智能制造生态圈茂业通信（000889）：拟收购中天嘉华中远海能（600026）：定增募资54亿打造领先油运船队北特科技（603009）：拟收购光裕股份95.7123%股份会稽山（601579）：拟现金收购咸亨股份100%股权雄韬股份（002733）：拟50亿元在武汉投建氢燃料电池产业园汇川技术（300124）：预中标1.23亿元轨道交通项目蓝盾股份（300297）：联合签署5608万元项目合同耐威科技（300456）：参与投资设立半导体产业投资基金富煌钢构（002743）：签逾8亿元棚户区改造施工合同东华科技（002140）：联合预中标8亿元PPP项目中国铁建（601186）：中标中马钦州产业园区特色扶贫小镇项目浦东建设（600284）：中标多项重大工程棕榈股份(002431)：中标多个景观工程设计项目总金额3.64亿人民网（603000）：与浦东科创集团签署战略合作备忘录康美药业（600518）：与华大基因战略合作拟共建研究院和公司山东高速（600350）：发起设立50亿产业投资基金投资金融等行业奇信股份（002781）：董事长拟增持不低于2000万元东方通（300379）：董事长计划增持不低于1000万股恒瑞医药（600276）：发布2017年度限制性股票激励计划,,,,,0,0,1,2017-11-01 09:20,搜狗高速浏览器,,,
