id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4537157512868614,JfADtc2fY,2286386250,武汉新闻广播,【2020亚布力中国企业家论坛·武汉特别峰会上四场论坛精彩纷呈】#亚布力论坛武汉特别峰会#12日下午，2020亚布力中国企业家论坛·武汉特别峰会举行了四场论坛：【长寿(时代)论坛】主题为：“长寿时代的挑战与应对”。泰康保险集团股份有限公司创始人、董事长兼CEO，亚布力中国企业家论坛理事长陈东升、江苏恒瑞医药集团有限公司董事长孙飘扬、联影医疗技术集团有限公司董事长兼首席执行官薛敏、天明国际集团创始人兼董事长姜明就长寿时代和随之而来的健康时代和财富时代，对社会的经济模式、产业结构及各个方面将带来根本性的影响。在政府和社会之外，商业可以发挥哪些作用，我们又面临哪些挑战和机遇等话题参加讨论。【宏观经济论坛】主题为：中国经济的近忧与远虑。中国并购公会创始会长王巍、中泰信托、大成基金董事长吴庆斌、国务院参事，友成企业家扶贫基金会副理事长汤敏、国民经济研究所副所长王小鲁、华夏新供给经济学研究院院长贾康、中银证券全球首席经济学家管涛、国务院参事室金融研究中心研究员左小蕾参会，并就突如其来的新冠肺炎疫情给中国经济造成前所未有的冲击，各地启动的新投资计划是否可以消解疫情对经济的冲击?是否存在隐患?在疫情防控常态化下如何有效拉大内需?如何着眼长远解决中国经济的深层次问题?短期刺激与长期健康发展如何平衡等话题进行讨论。【消费论坛】主题为：如何提振消费。当当网执行董事俞渝、居然之家创始人兼董事长汪林朋、物美集团总裁张斌、拼多多首席法务官兼高级副总裁朱健翀、首汽约车CEO魏东、松鼠Ai1对1CEO联合创始人、君智集团联席总裁徐廉政与会共同探讨:新冠肺炎疫情对消费造成了较大冲击之下，提振消费的关键是什么?应如何提振消费，促进消费回补和潜力释放?政府和企业能做的有哪些?【企业管理论坛】主题为“后疫情时代”的企业经营挑战与机遇。针对当下，复工复产已有序开展，后疫情时代，企业经雪面临的主要挑战有哪些?我们该如何应对?疫情下消费者消费行为的变化将带来哪收新的高机7我们又该如何抓住这一机遇?可能遇到的问题有哪些?该如何解决等热点问题，御风集团董事长冯仑、华泰保险集团创始人、董事长王梓木，中泽嘉盟投资基金董事长，信中利资本集团创始人、董事长汪潮涌，中国自动化集团董事局主席宣瑞国，美好置业集团股份有限公司董事长刘道明，苏州广大投资集团有限公司董事长朱昌宁，广东长青集团董事长何启强，怡和控股有限公司执行董事许立庆参与讨论，并发表精彩观点。（记者：冷霜）#884快讯#,,,,"亚布力论坛武汉特别峰会,884快讯",0,0,0,2020-08-12 17:55,微博 weibo.com,"['http://ww4.sinaimg.cn/large/88477c4agy1gho6fatjhhj21900u0gp9.jpg', 'http://ww4.sinaimg.cn/large/88477c4agy1gho6fasd35j21900u041r.jpg', 'http://ww3.sinaimg.cn/large/88477c4agy1gho6farf89j21900u0go3.jpg', 'http://ww4.sinaimg.cn/large/88477c4agy1gho6fasyoyj21900u0dj0.jpg', 'http://ww2.sinaimg.cn/large/88477c4agy1gho6faqevnj21900u00vp.jpg', 'http://ww3.sinaimg.cn/large/88477c4agy1gho6fatvezj21900u0tam.jpg', 'http://ww4.sinaimg.cn/large/88477c4agy1gho6fayl16j21900u0jv4.jpg', 'http://ww4.sinaimg.cn/large/88477c4agy1gho6fb0966j21900u0tbj.jpg', 'http://ww2.sinaimg.cn/large/88477c4agy1gho6fb26dvj21900u079d.jpg']",,
4518723656107537,J7R5rpCQF,5614247291,占卦论股,中利集团sz002309今日荐股(中利集团)高净资产领跑光伏领域，定增助力扩产落地1.今年来光伏行业进入低谷，全行业盈利水平处于历史低点，资产价格也降至低位。公司在低点切入光伏领域，随行业复苏获得成长，很具战略性。2.光伏通信双线向终端延生，多数产品规模居国内前①以光伏电站建设为主、光伏设备制造为辅的龙头企业。2016年全球组件生产企业按产能排名，中利集团组件产能排名全球第十、国内第八。当前公司电池片产能4GW，组件产能4GW，2017年上半年组件营收同比增长51%。电站建设方面，至2016年底公司累计投建光伏电站4GW以上，为国内规模最大。②公司在特种阻燃耐火软电缆细分行业市场占领先地位。3.非公开发行股票用于新建年产1GW异质结电池及组件项目和1GW高效电池及组件技改项目有利于公司把握光伏行业升级转型契机，提升公司盈利能力，增强公司综合竞争力。4.2019年受宏观经济形势下行及国际贸易环境震荡变化的影响，加上2018年光伏产业的“531”政策和光伏扶贫“326”政策的延续，公司在2019年发展中面临一系列的严峻考验。面对这些内外部严峻的经营环境，公司内部管理层克服多重困难，及时采取调整业务思路、深化创新驱动、强化成本控制、加大海外市场开拓、加强应收款回收等多种有力举措，实现扭亏为盈。截至2019年末，光伏板块应收账款余额较去年同期减少36.88亿元，其中在国家及各省扶贫办的大力支持下，2019年度扶贫电站回款31.6亿元、商业电站回款17亿元。近期因定增打压股价，打压必反弹，预测股价翻3倍！坚持就是胜利。,,,,,0,0,0,2020-06-22 21:05,红米Redmi,,,
4503416086209485,J1qROq3mZ,1293350964,新能源研究评论员-红炜,中利集团：2019年度扶贫电站回款31.6亿元商业电站回款17亿元,,,,,0,0,1,2020-05-11 15:18,360安全浏览器,,,
4503393852632943,J1qhXb2WP,6501976280,中利集团sz002309,中利集团sz002309中利集团：2019年度扶贫电站回款31.6亿元商业电站回款17亿元，点击链接查看更多->O网页链接,,,,,1,0,0,2020-05-11 13:50,微博股票,,,
4468755830899198,IsQEv3LVc,2776186482,汉界金融官博,发表了博文《国内独家（2020-2-6）今日3只打板个股！》【今日打板】华英农业002321：中央一号文件发布受益一拖股份601038：农业农机龙头中利集团002309：光伏扶贫龙头[免责申明]股市有O国内独家（2020-2-6）今日3只打板个股！,,,,,0,0,0,2020-02-05 23:51,新浪博客,,,
4458390682272997,Iov0w9xjf,3865685671,分析师-问道,早盘推荐关注个股中利集团sz002309推荐理由：光伏概念近期收到市场资金追捧，而中利集团子公司腾晖光伏从事光伏组件及电池片业务、光伏电站开发建设业务、光伏发电业务以及电站运营维护业务，目前主攻光伏扶贫电站项目。短期股价上行下，仍有继续上冲的空间。,,,,,0,0,0,2020-01-08 09:23,360安全浏览器,,,
4448234204419741,IkeN6ixM9,2094029477,新能源网官方,【6.31亿！光伏扶贫第一股中利集团售卖子公司股权！】12月7日，中利集团发布公告称：江苏中利集团股份有限公司（以下简称中利集团或公司）与苏州沙家浜旅游发展有限公司（以下简称沙家浜旅游）、江苏江南商贸集团有限责任公司（以下简称江南商贸）签署了《关于转让江苏中利..O网页链接,,,,,0,0,0,2019-12-11 08:45,中国新能源,,,
4414656364001795,I69higN35,2499565523,北极星太阳能光伏网,【业绩大幅下滑、定增遭否“光伏扶贫第一股”中利集团遇困】9月5日晚间，被称为“光伏扶贫第一股”的中利集团发布公告称，其收到证监会不予核准公司非公开发行股票申请的决定书。对于定增申请未获通过的原因，中利集团仅表示“发审委会议表决，同意票数未达到3票”，而上市公司若想再推进定增，可以,,,,,0,0,1,2019-09-09 16:59,360安全浏览器,,,
4414265660721261,I5Z7831Df,6843820347,直通财经,发表了博文《中利集团：关于对财联社报道的声明》2019年9月6日，《财联社》发布了题为《业绩大幅下滑定增遭否，光伏扶贫第一股中利集团遇困》的报道，该报道具有很强的主观臆测，为了避免造成不良的舆论影响，O中利集团：关于对财联社报道的声明,,,,,0,0,0,2019-09-08 15:06,新浪博客,['http://ww3.sinaimg.cn/large/007t9Yj9ly1g6s4iqft4lg30a00a0wee.jpg'],,
4390784247724819,HC5IcwpzR,2311077472,证券日报之声,【深化优质业务合作中利集团多措化解百亿元应收账款难题】近日，中利集团因百亿应收账款问题而备受市场关注。针对此问题，公司主管财务相关高管在接受《证券日报》记者采访时表示，公司主要从事光电缆产业链、光伏新能源、军工电子、高分子材料等业务，其中光伏海外市场及军工电子业务回款较快，而由于村级光伏扶贫项目和部分商业电站回款难的因素，造成公司应收账款较高。对于较高应收账款问题，从2018年开始，公司就及时调整了经营模式及产品结构，加速扩大光伏海外市场销售、军工电子销售以及华为等优质大客户的销售，来缓解公司资金压力。2018年年报显示，中利集团应收账款账面余额为110亿元，公司为此累计计提了16.33亿元的坏账准备，账面价值为93亿元。记者了解到，在110亿元的应收账款中，66.76亿元来自于光伏业务。其中，商业电站板块有30亿元，扶贫电站板块有36亿元多，此类应收账款占2018年相对应的销售额的比例分别为282%和117%。其他产品销售形成的应收账款为40亿元，占销售额的比例为33%。详情→O网页链接,,,,,0,0,1,2019-07-05 20:00,微博 weibo.com,['http://ww3.sinaimg.cn/large/89c03e60ly1g4p1qdk0ehj20dw09e0t8.jpg'],,
