id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4169205807420957,Ft2mgv8wR,6369482669,后生看股,公告淘金：会稽山拟7.35亿元收购咸亨股份100%股份人民网与浦东科创签订战略合作备忘录筹备文化产业投资基金中国铁建：中标34.5761亿元特色扶贫小镇项目东华科技：联合体预中标8.01亿元项目华大基因与康美药业签署战略合作协议东方通董事长计划增持不低于1000万股泰禾集团增持北京科技园建设公司3.11%股份中顺洁柔董秘拟增持不超1000万元联美控股：6.51亿竞得信达财险13.33%股权富煌钢构：签8亿施工合同富奥股份：部分股权被间接无偿转让#今日看盘#,,,,今日看盘,0,0,0,2017-11-01 09:26,微博 weibo.com,,,
4169203223666338,Ft2i6fnMu,2468427397,王显军New,【公告早知道】1.东方通董事长计划增持不低于1000万股2.中顺洁柔董秘拟增持不超1000万元3.东华科技联合预中标8亿元PPP项目4.中国铁建中标中马钦州产业园区特色扶贫小镇项目5.杰克股份前三季业绩增长主因行业复苏回暖6.珠江控股携物美控股打造京津冀食品产业链7.泰禾集团增持北京科技园建设公司3.11%股份8.浦东建设中标多项重大工程,,,,,0,0,0,2017-11-01 09:16,360安全浏览器,,,
4169201259911712,Ft2eVFAuk,3927044438,超短线666,发表了博文《公告早知道》1.东方通董事长计划增持不低于1000万股2.中顺洁柔董秘拟增持不超1000万元3.东华科技联合预中标8亿元PPP项目4.中国铁建中标中马钦州产业园区特色扶贫小镇项目5.杰克股O公告早知道,,,,,0,0,0,2017-11-01 09:08,新浪博客,,,
4169199477139679,Ft2c3tXm7,5855007199,股盘军师,消息面上，发改委：前三季度全国粗钢产量同比增长6.3%，全国水泥产量176124万吨同比下降0.5%；证监会：6家企业首发上会仅2家获通过；上交所：沪市公司三季度业绩内在质量提升稳中向好格局确立；深市上市公司业绩稳步增长多层次资本市场蓬勃发展；京东物流启动青流计划引进千辆新能源车；天津楼市新政：限价房“封闭运作”；多只沪深权重股现大宗交易两营业部频繁现身；创业板监管和制度完善三大动向：优化首发上市条件为首；茂业通信拟收购中天嘉华重要股东计划合计减持不超10.25%公司股份；北新建材：2017年净利预增50%-100%；珠江人寿继续接盘万达资产揽入益阳万达；九强生物：五位股东拟合计减持不超公司9.94%股份；东方通：董事长拟增持1000万股；焦作万方：股东转让股份完成过户仍无控股股东和实际控制人；和仁科技：股东金石灏汭拟减持不超公司2%股份；中国铁建：中标34.5761亿元特色扶贫小镇项目；中顺洁柔：董事会秘书拟增持不超过1000万元；沱牌舍得：部分券商对公司的业绩预测属单方面判断；山东高速：发起设立50亿产业投资基金投资金融等行业；龙源技术：预计2017年同比扭亏为盈；焦炭收涨0.2%，焦煤、动力煤分别收跌1.1%、0.7%，铁矿石收涨0.9%；三个月期镍扩大涨幅至6.6%，刷新2015年6月以来高点12455美元/吨；原油期货实盘价格周二收涨0.23美元，涨幅0.42%；黄金期货实盘价格周二收盘下跌7.20美元，跌幅0.6%；道指和标普连涨七个月苹果和英特尔表现出色，道琼斯工业平均指数收涨28.50点，涨幅0.12%等。上证指数sh000001,,,,,0,0,0,2017-11-01 09:01,微博股票,,,
4169174131595295,Ft1xb6H0z,6057521520,天赐新雨,中顺洁柔：董事会秘书拟增持不超过1000万元中国铁建：中标34.5761亿元特色扶贫小镇项目东华科技：联合体预中标8.01亿元项目珠江控股：与物美集团签署战略合作协议浦东建设：近期中标8.88亿元重大工程项目万顺股份：员工持股计划买入919万股泰禾集团：增持北京科技园建设公司3.11%股份会稽山：拟7.35亿并购咸亨食品比亚迪：剥离汽车座椅聚焦整车富煌钢构：签逾8亿元棚户区改造合同雄韬股份：50亿建氢燃料电池产业园东方通：董事长拟增持1000万股联美控股：6.51亿竞得信达财险13.33%蓝盾股份：联合签署5608万元项目合同汇川技术：预中标1.23亿元轨道交通赛摩电气：6亿收购广浩捷充实智能制造北特科技：4.53亿收购拓展汽车零部件上海沪工：投资22亿产激光设备、机器人美尚生态：联合预中标特色小镇PPP项目晨鸣纸业：逾17亿受让鸿泰地产45%股权,,,,,0,0,0,2017-11-01 07:20,iPhone 7 Plus,,,
4169034205574012,FsXTuno3q,1738092885,55168论坛-上市公司调研网,10月31日晚间重要公告集锦10-3121:28海联讯股东邢文飚拟减持公司股份10-3120:35昊志机电股东无锡国联拟清仓减持6.25%股份10-3120:33茂业通信拟收购中天嘉华股东拟减持10-3120:23北新建材全年净利预增50%-100%10-3120:22龙源技术预计2017年度扭亏为盈10-3120:19中远海能定增募资54亿打造领先油运船队10-3120:14比亚迪：拟剥离汽车座椅业务聚焦整车业务10-3120:07兆易创新停牌筹划重大事项10-3120:01北特科技拟收购光裕股份95.7123%股份10-3119:51奇信股份董事长拟增持不低于2000万元10-3119:41华森制药股价异动11月1日起停牌核查10-3119:35人民网与浦东科创集团签署战略合作备忘录10-3119:27恒瑞医药发布2017年度限制性股票激励计划10-3119:09沱牌舍得股价异动无应披露而未披露信息10-3119:09富煌钢构签订8.141亿元工程合同10-3119:04会稽山拟现金收购咸亨股份100%股权10-3119:00雄韬股份拟50亿元在武汉投建氢燃料电池产业园10-3118:55高鸿股份拟不低于3亿元出售孙公司一九付支付10-3118:50德生科技股价异动11月1日起停牌核查10-3118:44皇庭国际大股东筹划重大事项1日停牌10-3118:42劲拓股份董事主逵拟减持不超1.17%股份10-3118:34网宿科技实控人拟减持不超1.5%股份10-3118:26吉宏股份股东调整减持计划拟减持不超6.33%股份10-3118:11龙蟒佰利终止RGM项目合作计划10-3117:59东方通董事长计划增持不低于1000万股10-3117:48中顺洁柔董秘拟增持不超1000万元10-3117:40和仁科技股东金石灏汭拟减持不超2%股份10-3117:31东华科技联合预中标8亿元PPP项目10-3117:22人人乐终止筹划重大事项11月1日起复牌10-3117:11桂冠电力：拟减持股东未实施减持计划10-3117:11精功科技终止筹划重大资产重组事项10-3117:08中国铁建中标中马钦州产业园区特色扶贫小镇项目10-3117:02*ST河化生产装置继续停车10-3116:55九强生物：一致行动人解除关系公司无实控人10-3116:48杰克股份前三季业绩增长主因行业复苏回暖10-3116:29珠江控股携物美控股打造京津冀食品产业链10-3116:17隆鑫通用一高管拟减持不超35万股10-3116:13振华股份原高管拟减持不超181.5万股10-3116:00泰禾集团增持北京科技园建设公司3.11%股份10-3115:42浦东建设中标多项重大工程10-3111:55汉缆股份中标多个项目10-3109:27风神股份因未刊登股东大会决议公告临停,,,,,0,1,1,2017-10-31 22:04,微博 weibo.com,,,
4168982623463856,FsWyiex6E,2936670337,云投融,"10月31日晚间上市公司利好消息一览（附名单）　　东方通：董事长拟增持1000万股　　东方通公告，自2017年11月1日起六个月内，董事长黄永军拟增持股份数量不低于1000万股(占目前公司总股本的3.61%).　　中顺洁柔：董事会秘书拟增持不超过1000万元　　中顺洁柔公告，董事会秘书兼副总经理周启超先生计划自2017年11月1日起6个月内通过深圳证券交易所证券交易系统增持公司股份，增持金额不超过1000万元。　　中国铁建：中标34.5761亿元特色扶贫小镇项目　　中国铁建公告，近日，本公司下属中铁建设集团有限公司、中铁第五勘察设计院集团有限公司(联合体)中标中马钦州产业园区特色扶贫小镇(扶贫就业安置小区)项目勘察、设计、采购、施工总承包(EPC)项目，工期1270日历天，中标价约34.5761亿元，约占本公司中国会计准则下2016年营业收入的0.55%。　　东华科技：联合体预中标8.01亿元项目　　东华科技公告，本公司与安徽四建组成的联合体被确定为沈丘县高铁片区基础设施建设项目(PPP模式)第一名候选投标人，本项目总投资约8.01亿元。　　珠江控股：与物美集团签署战略合作协议　　珠江控股公告，与物美集团签署战略合作协议。共同打造以北京为基地、辐射京津冀、走向全中国的全渠道新零售网络，力争成为京津冀地区效率最高、效益领先、最具竞争力的食品产业链。　　浦东建设：近期中标8.88亿元重大工程项目　　浦东建设公告，近日，公司子公司上海市浦东新区建设(集团)有限公司中标多项重大工程项目，中标金额总计为人民币8.88亿元。　　万顺股份：员工持股计划买入919万股　　截至2017年10月31日，公司第二期员工持股计划已通过二级市场竞价交易方式累计买入公司股票9,199,246股，占公司总股本2.09%，成交金额为人民币110,693,209.01元，成交均价为人民币12.033元/股。　　泰禾集团增持北京科技园建设公司3.11%股份　　泰禾集团31日晚间公告，公司以人民币26,275.23万元受让京国发持有的北京科技园建设62,189,055股股份，占其总股本的3.11%，本次交易完成后，公司将持有北京科技园建设26.43%股权，为北京科技园建设第二大股东。",,,,,0,0,0,2017-10-31 18:39,微博 weibo.com,,,
4169218868495990,Ft2HkzEc6,5939063463,·钱眼海哥的微博,最新消息面及操作策略：今晨纳指再创盘中历史新高，道指上涨0.12%，纳指上涨0.43%，标普上涨0.09%，欧洲主要国家股市收高。纽约原油期货上涨23美分，涨幅为0.42%，收于每桶54.38美元；纽约黄金期货收跌0.6%，收于每盎司1270.5美元。其他消息面：10月官方制造业PMI为51.6，连续15月在荣枯线上方；昨日6家企业首发上会，仅有2家获通过；北上资金持仓规模超4900亿元；全国碳排放交易即将启动（涉置信电气、华测检测等）；京津冀大气环保局将于年底前组建；上海自由贸易港方案正在完善和报批；雄安新区22个专项规划、32个专题研究均取得阶段性成果；个股利好：北新建材年报大幅预增；龙源技术年报扭亏为盈；中国铁建中标34.58亿元扶贫小镇项目；浦东建设中标合计8.88亿元多个项目；富煌钢构签署8亿元安置区产业化工程项目；东华科技联合体预中标8亿元PPP项目；棕榈股份中标合计3.64亿元多个景观工程设计项目；汇川技术预中标1.23亿元轨道交通项目；蓝盾股份联合签署5608万元项目合同；科力远子公司签技术许可协议，预计获益超6000万；汉鼎宇佑转让微贷金融1.5%股权，预计增利4575万；大唐发电、南京化纤、宜安科技定增获批；奇信股份董事长增持，引入首席科学家；中顺洁柔、三垒股份、东方通股东拟增持。个股利空：精功科技、人人乐终止重大资产重组事项；龙蟒佰利终止收购海外钛矿项目控制权；闻泰科技、茂业通信、隆鑫通用、网宿科技、劲拓股份、海联讯、宝馨科技、赞宇科技、九强生物、昊志机电、和科达、新易盛、吉宏股份、振华股份、和仁科技股东拟减持。今日限售股解禁：浩云科技、高伟达、理工光科、佳发安泰、中富通。昨天大盘缩量上涨，还是属于急跌后的反弹，今天继续观察反弹量能和力度，如果继续弱反，仍可再回落可能，注意先趁反弹减仓拉升力度大的个股。再等继续低吸高卖的机会。,,,,,0,0,0,2017-11-01 10:18,微博 weibo.com,,,
4169205807420957,Ft2mgv8wR,6369482669,后生看股,公告淘金：会稽山拟7.35亿元收购咸亨股份100%股份人民网与浦东科创签订战略合作备忘录筹备文化产业投资基金中国铁建：中标34.5761亿元特色扶贫小镇项目东华科技：联合体预中标8.01亿元项目华大基因与康美药业签署战略合作协议东方通董事长计划增持不低于1000万股泰禾集团增持北京科技园建设公司3.11%股份中顺洁柔董秘拟增持不超1000万元联美控股：6.51亿竞得信达财险13.33%股权富煌钢构：签8亿施工合同富奥股份：部分股权被间接无偿转让#今日看盘#,,,,今日看盘,0,0,0,2017-11-01 09:26,微博 weibo.com,,,
4169204250913935,Ft2jL3PKT,5573328846,股金女王,最新消息面及操作策略：消息面上：10月官方制造业PMI为51.6，连续15月在荣枯线上方；昨日6家企业首发上会，仅有2家获通过；北上资金持仓规模超4900亿元；全国碳排放交易即将启动（涉置信电气、华测检测等）；京津冀大气环保局将于年底前组建；上海自由贸易港方案正在完善和报批；雄安新区22个专项规划、32个专题研究均取得阶段性成果；个股利好：北新建材年报大幅预增；龙源技术年报扭亏为盈；中国铁建中标34.58亿元扶贫小镇项目；浦东建设中标合计8.88亿元多个项目；富煌钢构签署8亿元安置区产业化工程项目；东华科技联合体预中标8亿元PPP项目；棕榈股份中标合计3.64亿元多个景观工程设计项目；汇川技术预中标1.23亿元轨道交通项目；蓝盾股份联合签署5608万元项目合同；科力远子公司签技术许可协议，预计获益超6000万；汉鼎宇佑转让微贷金融1.5%股权，预计增利4575万；大唐发电、南京化纤、宜安科技定增获批；奇信股份董事长增持，引入首席科学家；中顺洁柔、三垒股份、东方通股东拟增持。个股利空：精功科技、人人乐终止重大资产重组事项；龙蟒佰利终止收购海外钛矿项目控制权；闻泰科技、茂业通信、隆鑫通用、网宿科技、劲拓股份、海联讯、宝馨科技、赞宇科技、九强生物、昊志机电、和科达、新易盛、吉宏股份、振华股份、和仁科技股东拟减持。今日限售股解禁：浩云科技、高伟达、理工光科、佳发安泰、中富通。昨天大盘缩量上涨，还是属于急跌后的反弹，今天继续观察反弹量能和力度，如果继续弱反，仍可再回落可能，注意先趁反弹减仓拉升力度大的个股。再等继续低吸高卖的机会。上证指数sh000001,,,,,0,1,7,2017-11-01 09:20,微博股票,,,
