id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4546513060238570,Jjw14103U,5848418680,三斤宝宝Baby,气死我了😤！狙公益说公益洗白的人估计糖水里泡大的，都没去过贫困地区看过，心太黑了！如果这叫洗白的话，我举双手双脚欢迎，希望越多越好，毕竟对老百姓来说只要拿到了实实在在的好处，可比听黑子瞎bb空口说大话强多了。2011年去丽江旅游听导游介绍很多山路都是泥路当地又多雨经常塌坊，当地政府已经尽力修路了但因很多路窄修路只能靠人力和马驼东西慢慢修，实际玩了也确实如此。印象最深的是在大研古镇骑马老乡开价60元，因为想多骑会儿最后给了120，骑了一个半小时横穿古镇走了茶马古道（想想大城市公园里溜1小圈就50简直赚翻了），骑马途中遇到镇上小学放学，有群小孩一直跟着我们走，等到我们回头骑了他们还一直向前，问了老乡才知道小学只有镇上有，这群孩子住另一头的山里，要上学天天要翻过一座山才能到镇上，山里人少没钱、政府虽然有扶贫款下拨，但离打通一座山修条路那是远远不够的，孩子们为了上学平时结伴天没亮5点不到就要从家里出发！那些说什么修路公益洗白的黑子，有本事你们也修几条路给我看看啊！不捐1分钱却躲在踺盘后以为会打几个字就是网上上等人了就可以对别人做公益指指点点了！,,,,,0,0,0,2020-09-07 13:30,iPhone客户端,,,
4494278996565821,IDyCTry4l,6272966047,丽江日报,【丽江贫困群众吃上旅游饭摘掉穷帽子】#云南决战决胜脱贫攻坚#记者从丽江市决战决胜脱贫攻坚新闻发布会获悉，丽江市充分发挥文化旅游产业优势，全面推进文化旅游产业扶贫工作。“十三五”以来，丽江市乡村旅游接待游客超过7000万人次，乡村旅游总收入突破300亿元，文化旅游产业累计带动3万余贫困人口增收脱贫。#丽江旅游#丽江市积极开展旅游扶贫示范县、乡、村工作，截至2020年1月，已完成1个示范县、2个示范乡、3个示范村创建，累计培育旅游扶贫示范户506户。连续6年组织贫困县1200余名乡村干部参加“全国乡村旅游扶贫重点村村官培训班”，培养乡村旅游致富带头人。同时，积极促进文化旅游就业，文旅行业为进城务工人员提供宾馆酒店、旅行社、A级景区等行业就业岗位2万余个。加大实施旅游反哺，四年来，玉龙雪山、老君山、泸沽湖景区累计投入资金2.4亿元反哺周边村社。还通过延伸文化旅游产业牵引带动作用，主动服务和融入大滇西旅游环线建设，带动贫困地区群众干旅游活、吃旅游饭、发旅游财。（记者张小秋王君霞）,,,,"云南决战决胜脱贫攻坚,丽江旅游",1,1,4,2020-04-16 10:11,专业版微博,"['http://ww2.sinaimg.cn/large/006QwJ1Jgy1gdvdx7ntexj30m80e6acv.jpg', 'http://ww3.sinaimg.cn/large/006QwJ1Jgy1gdvdx7rtyfj30mi0gwafw.jpg']",,
4485661094345692,IzWr3ievO,5726205768,丽江网-丽江新闻综合门户网站,#丽江旅游#【丽江市发改委召开2020年党建工作暨党课专题辅导会议】3月23日，丽江市发改委召开党建工作会议暨一季度专题党课辅导，会议传达学习了3月19日全市党建工作会议精神，总结分析了2019年党建工作成效及问题，对2020年党建工作进行了安排部署，并以《讲规矩、守纪律，做合格党员》为题给全体党员讲了一堂党课，全委机关支部党员参加了此次会议并聆听了党课。会议指出，刚刚过去的2019年，强化党建工作组织领导，切实履行党组书记抓党建主体责任，加强党员管理和学习教育，严肃党内政治生活，层层压实党建责任，聚焦发改工作重点，以扶贫挂钩及文明城市创建等工作为载体，扎实开展主题教育，认真按照市委政府部署抓好发改中心工作，全市稳增长促投资、易地扶贫搬迁等各项工作有序推进，机关党建工作成效显著。（丽江市发改委）O网页链接,,,,丽江旅游,0,0,0,2020-03-23 15:26,微博 weibo.com,"['http://ww3.sinaimg.cn/large/006fwzHygy1gd3w66qvvxj30z60ng4qp.jpg', 'http://ww1.sinaimg.cn/large/006fwzHygy1gd3w66vpamj31900u0hdt.jpg', 'http://ww4.sinaimg.cn/large/006fwzHygy1gd3w66zst2j30z60ng1kx.jpg']",,
4480878589762501,IxW1kEXFH,5726205768,丽江网-丽江新闻综合门户网站,#丽江新闻#【永胜全面深化与云南建投集团合作，全力打造丽江旅游“后花园”】3月7日上午，云南建投集团调研组到永胜县进行项目建设投资合作洽谈。座谈会上，县委书记杨晓敏对云南建投集团长期以来在易地扶贫搬迁、林业生态扶贫PPP项目、程海湖保护治理等项目给予永胜的大力支持表示感谢。杨晓敏说，与云南建投集团合作以来，双方不断增进互利互信，建立了良好的合作关系，取得了明显的合作成效。随着华丽、永宾、永宁高速公路的相继建成，永胜在滇西北区位优势凸显，即将形成东出四川攀枝花、西去丽江、南下大理、北上大小凉山的“一小时经济圈”，永胜在物流、交通条件上将日益完善，加之境内充足的光热资源、优美的风光、丰富的物产和前景广阔的康养产业，让永胜作为丽江旅游“后花园”的功能定位更加突出。能与云南建投集团这样有实力、有经验、有责任、有担当的企业合作，更有利于推动项目尽早落地，助推永胜经济高质量跨越式发展，下一步，希望双方能在程海康养小镇、三川田园综合体、闷龙河水库建设和小长坪水库建设等有合作空间的项目上加强合作共促发展。（今日永胜）O网页链接,,,,丽江新闻,0,0,0,2020-03-10 10:42,微博 weibo.com,"['http://ww2.sinaimg.cn/large/006fwzHygy1gcomwntexrj30jg0eldhl.jpg', 'http://ww1.sinaimg.cn/large/006fwzHygy1gcomwo1dd5j30jg0elgn5.jpg', 'http://ww1.sinaimg.cn/large/006fwzHygy1gcomwo7yhnj30jg0b0gn8.jpg', 'http://ww4.sinaimg.cn/large/006fwzHygy1gcomwof3nlj30jg0b4gmy.jpg']",,
4474345713314604,Ivc4rdUhm,1498008697,还好violaz,#丽江旅游行业恢复营业#有一条飞机连成的天路，让中国最后一个原始部落呈现在世人眼前。十六年扶贫努力的结果，使当年刀耕火种的老村被完整地保留下来，成为“佤族民族风情村”，来跟随@胡歌一起去看看吧L人民日报的微博视频,,,胡歌,丽江旅游行业恢复营业,33,4,15,2020-02-21 10:03,荣耀V20 4800万3D相机,,"http://f.video.weibocdn.com/002Y7oB5lx07A0VEqmJy01041200WGdr0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=647b8232579b0b23561398fc756ef4ae&ori=0&ps=1BVp4ysnknHVZu&Expires=1602599381&ssig=W5tG3RhD%2Fd&KID=unistore,video",
4474308569297108,Ivb6wD0Bm,5993306913,加入江左盟,#丽江旅游行业恢复营业#胡歌因为群山阻隔，云南沧源佤族自治县翁丁村曾一度非常贫穷、落后，但如今现代文明取代了刀耕火种，当年的老村被完整地保留下来，成为“佤族民族风情村”，是扶贫让他们走出了大山，也让大山之外的世界看到了他们，十六年很长，足够孩童长大，十六年很短，相见彷若昨日……这里的山路很长，让原始部落留存至今，这里的天路很短，让翁丁与世界相见恨晚……，跟着@胡歌一起去看看中国最后一个原始村落L人民日报的微博视频,,,胡歌,丽江旅游行业恢复营业,29,32,57,2020-02-21 07:35,胡歌超话,,"http://f.video.weibocdn.com/002Y7oB5lx07A0VEqmJy01041200WGdr0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=647b8232579b0b23561398fc756ef4ae&ori=0&ps=1BVp4ysnknHVZu&Expires=1602599381&ssig=W5tG3RhD%2Fd&KID=unistore,video",
4463909580440997,IqOzY1QIR,6443488454,iokeemhdmtjkxf00,@云南文化旅游发布厅@云南发布@云南警方@云南共青团@云南丽江旅游请对外地进入云南的人员进行排查和限制吧（特别是武汉过来的）🙏正是春节旅游高峰，各省也出了一些限制政策，希望我大云南也行动起来，防患于未然！！一旦发生很难控制！！同时也是为云南治安正名的大好时机啊！！（还有一批各省过来扶贫验收的，一定要检查一下！）🙏#云南肺炎##广东发现6起家庭聚集性疫情##全国确诊新型肺炎病例##肺炎疫情下的春运#,,,"云南文化旅游发布厅,云南发布,云南警方,云南共青团,云南丽江旅游","云南肺炎,广东发现6起家庭聚集性疫情,全国确诊新型肺炎病例,肺炎疫情下的春运",0,0,1,2020-01-23 14:54,iPhone客户端,,,
4463909279131883,IqOztCjCr,6443488454,iokeemhdmtjkxf00,@云南文化旅游发布厅@云南发布@云南警方@云南共青团@云南丽江旅游请对外地进入云南的人员进行排查和限制吧（特别是武汉过来的）🙏正是春节旅游高峰，各省也出了一些限制政策，希望我大云南也行动起来，防患于未然！！一旦发生很难控制！！同时也是为云南治安正名的大好时机啊！！（还有一批各省过来扶贫验收的，一定要检查一下！）🙏,,,"云南文化旅游发布厅,云南发布,云南警方,云南共青团,云南丽江旅游",,0,0,0,2020-01-23 14:52,iPhone客户端,,,
4453833616871014,ImAspsPsO,2948744222,文旅新闻,发布了头条文章：《省文旅厅特色扶贫，永胜彝乡大变样！》#云南旅游##丽江旅游#@云报文旅@融媒老铁@大观周刊@云南丽江旅游O网页链接O省文旅厅特色扶贫，永胜彝乡大变样！,http://t.cn/AiF7tExq,,"云报文旅,融媒老铁,大观周刊,云南丽江旅游","云南旅游,丽江旅游",0,0,1,2019-12-26 19:35,微博 weibo.com,,,
4450095867104809,Il1dMtOhH,1066801111,丽江读本,#丽江旅游#【“阔时节”来临，华坪傈僳村寨提前开启过年模式】12月15日，华坪县永兴乡坝山村的傈僳迎来了自己的春节“阔时节”。紧紧结合扶贫攻坚，山区群众开展山村旅游，前来的客人被漂亮的傈僳妹子用竹竿做成的酒杯喝拦门酒，要连过三到拦门酒才能进入傈家寨子参加傈僳族阔时节，寨子里傈僳族群众身穿绚丽的民族服饰，堆满五谷的篾萝中插着一棵挂满五谷的神树，毕扒（祭师）吟唱着古老的祭词，在神树下杀猪祭祀，整个傈家山寨沉浸在欢乐祥和的节日喜庆中。（周志鸿）,,,,丽江旅游,4,2,11,2019-12-16 12:03,丽江超话,"['http://ww1.sinaimg.cn/large/3f9617d7gy1g9yfcjju0tj21900u0e81.jpg', 'http://ww3.sinaimg.cn/large/3f9617d7gy1g9yfckx0ovj21900u0h7x.jpg', 'http://ww4.sinaimg.cn/large/3f9617d7gy1g9yfcmrcajj215t0u07ol.jpg', 'http://ww2.sinaimg.cn/large/3f9617d7gy1g9yfcp919lj21900u0h9j.jpg', 'http://ww4.sinaimg.cn/large/3f9617d7gy1g9yfcrp8qaj21900u0qmq.jpg', 'http://ww2.sinaimg.cn/large/3f9617d7gy1g9yfcuw47gj216m0u04hk.jpg', 'http://ww1.sinaimg.cn/large/3f9617d7gy1g9yfcxjtiuj20u017taw2.jpg', 'http://ww4.sinaimg.cn/large/3f9617d7gy1g9yfd0o6bvj21a60u07wh.jpg', 'http://ww2.sinaimg.cn/large/3f9617d7gy1g9yfd2yoy3j21900u01kx.jpg']",,
