id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4153980810949428,FmEhP3YZm,6321357983,鱼皇秘诱钓鱼,个股利好①重大合同【久联发展：子公司新联爆破集团签订超9.7亿元重大合同】近日，久联发展（002037）子公司贵州新联爆破工程集团有限公司与贵州大龙扶贫开发投资有限责任公司签订了关于大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目的《建设项目工程EPC总承包合同》。合同价：97440万元人民币。【新华文轩：签署10亿元教科书和字典供货合同】新华文轩晚间公告，近日公司与四川省教育厅直属事业单位四川省学生资助管理中心，签订了《四川省2017-2018学年城乡义务教育阶段学生免费教科书采购合同书》，四川省教育厅以单一来源采购方式，向公司采购2017-2018学年四川省义务教育阶段学生教科书和小学生字典，合同总金额约10亿元。②业绩增长【新钢股份：预计前三季度盈利13亿至15亿元同比大幅增长】新钢股份发布三季度业绩预告，预计实现的净利润与上年同期相比大幅增长，约为13亿元至15亿元。而上年同期为2.76亿元。增长原因为，在国家持续推进供给侧改革、钢铁去产能政策的背景下，特别是随着淘汰中频炉、以及整治“地条钢”等措施的严格落实，钢材供需结构不断优化，钢材市场明显回暖，给钢铁企业提升经营业绩营造了良好条件。③增持【吉林化纤：控股股东增持130万股】吉林化纤公告称，9月15日，化纤集团通过深圳证券交易所交易系统以竞价交易方式本次增持公司股份130万股，增持金额为452.7万元，增持股份数占公司已发行总股本的0.07%。⑤高送转【海达股份：实施每10股送红股6股派1.6元转增2股方案】海达股份2017年半年度权益分派方案为：每10股送红股6股，派1.6元人民币现金（含税）；同时，每10股转增2股。本次权益分派股权登记日为：2017年9月25日，除权除息日为：2017年9月26日。⑥重组成功【新元科技：重大资产重组获通过20日复牌】新元科技发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得证监会有条件通过。公司股票将于9月20日复牌。⑦中标【安徽水利：联合中标4.37亿元PPP项目】安徽水利晚间公告，公司与中国市政工程西北设计研究院有限公司组成的联合体，成为“蚌埠市城市排水防涝工程PPP项目”的中标人，由安徽水利负责项目的工程建设。项目总投资约为4.37亿元。,,,,,0,0,1,2017-09-20 09:07,搜狗高速浏览器,,,
4153769316906663,FmyMHsYJN,5886015898,张兆业vs,"利好①重大合同【久联发展：子公司新联爆破集团签订超9.7亿元重大合同】近日，久联发展（002037）子公司贵州新联爆破工程集团有限公司与贵州大龙扶贫开发投资有限责任公司签订了关于大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目的《建设项目工程EPC总承包合同》。合同价：97440万元人民币。②业绩增长【新钢股份：预计前三季度盈利13亿至15亿元同比大幅增长】新钢股份发布三季度业绩预告，预计实现的净利润与上年同期相比大幅增长，约为13亿元至15亿元。而上年同期为2.76亿元。增长原因为，在国家持续推进供给侧改革、钢铁去产能政策的背景下，特别是随着淘汰中频炉、以及整治“地条钢”等措施的严格落实，钢材供需结构不断优化，钢材市场明显回暖，给钢铁企业提升经营业绩营造了良好条件。③重大合同【新华文轩：签署10亿元教科书和字典供货合同】新华文轩晚间公告，近日公司与四川省教育厅直属事业单位四川省学生资助管理中心，签订了《四川省2017-2018学年城乡义务教育阶段学生免费教科书采购合同书》，四川省教育厅以单一来源采购方式，向公司采购2017-2018学年四川省义务教育阶段学生教科书和小学生字典，合同总金额约10亿元。④增持【吉林化纤：控股股东增持130万股】吉林化纤公告称，9月15日，化纤集团通过深圳证券交易所交易系统以竞价交易方式本次增持公司股份130万股，增持金额为452.7万元，增持股份数占公司已发行总股本的0.07%。⑤高送转【海达股份：实施每10股送红股6股派1.6元转增2股方案】海达股份2017年半年度权益分派方案为：每10股送红股6股，派1.6元人民币现金（含税）；同时，每10股转增2股。本次权益分派股权登记日为：2017年9月25日，除权除息日为：2017年9月26日。⑥重组成功【新元科技：重大资产重组获通过20日复牌】新元科技发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得证监会有条件通过。公司股票将于9月20日复牌。⑦中标【安徽水利：联合中标4.37亿元PPP项目】安徽水利晚间公告，公司与中国市政工程西北设计研究院有限公司组成的联合体，成为“蚌埠市城市排水防涝工程PPP项目”的中标人，由安徽水利负责项目的工程建设。项目总投资约为4.37亿元。2、利空①减持【涪陵榨菜：股东减持2,000万股公司股份】涪陵榨菜（002507）于2017年9月18日，收到北京一建《关于减持涪陵榨菜股份计划实施完毕的告知函》，获悉本次减持计划已实施完毕，本次减持计划实施期间北京一建共计减持公司股份2,000万股，占公司总股本比例2.5337%。【司太立：朗生投资拟减持公司550万股】司太立公告称，朗生投资拟至2018年3月8日止，以集中竞价、大宗交易等方式，减持公司不超过550万股。截至目前，朗生投资持有公司12.08%股权。【天顺股份：两股东合计拟减持不超过199万股】天顺股份晚间公告，股东芜湖基金计划在本公告发布之日起15个交易日后的6个月内，以集中竞价方式减持本公司股份不超过149万股（占本公司总股本比例2%）。股东赵素菲女士计划在本公告发布之日起15个交易日后的6个月内，以集中竞价方式减持本公司股份不超过50万股（占本公司总股本比例0.67%）。【菲利华：实控人拟减持不超1771万股】菲利华实际控制人邓家贵、吴学民计划自本公告发布之日起15个交易日后的6个月内，减持公司股份不超过1771万股（占公司总股本比例6%）。【科大国创：雅弘投资计划减持不超过总股本的6%】科大国创公告，股东雅弘投资计划自本公告披露之日起十五个交易日后的六个月内，减持不超过1268万股公司股份，减持比例不超过公司总股本的6.00%。建议建议大家控制好仓位，尽量坚持政策题材的中线机会，耐心等待新热点的涌现。想做短线的朋友也可以用少量仓位参与防御概念的板块轮动以及跟进一些有炒作可能的新题材，但操作上要注意快进快出，不能心存侥幸。总之，避险还是当前市场的主要原则。上证指数sh000001",,,,,0,0,0,2017-09-19 19:07,,,,
4153739448705095,Fmy0wAwAL,1453904734,猎豹出击,【久联发展：子公司新联爆破集团签订超9.7亿元重大合同】近日，久联发展子公司贵州新联爆破工程集团有限公司与贵州大龙扶贫开发投资有限责任公司签订了关于大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目的《建设项目工程EPC总承包合同》。合同价97440万元人民币。,,,,,0,0,0,2017-09-19 17:08,360安全浏览器,,,
4153733300915794,FmxQC3QeS,5374307685,龙头真经复盘,【久联发展：子公司签订97440万元重大合同】云财经讯，子公司新联爆破集团与贵州大龙扶贫开发投资有限责任公司签订了关于大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目的《建设项目工程EPC总承包合同》，合同金额97440万元人民币。,,,,,0,0,1,2017-09-19 16:44,搜狗高速浏览器,,,
4153722995062605,FmxzZlf0V,2239792910,巨潮资讯网,【久联发展：子公司新联爆破集团签订超9.7亿元重大合同】近日，久联发展（002037）子公司贵州新联爆破工程集团有限公司与贵州大龙扶贫开发投资有限责任公司签订了关于大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目的《建设项目工程EPC总承包合同》。合同价：97440万元人民币。,,,,,2,2,10,2017-09-19 16:03,搜狗高速浏览器,['http://ww4.sinaimg.cn/large/8580870egy1fjoxlvd0naj20x70ktacb.jpg'],,
4121730089943445,F97iwFIK9,1950292293,莲子豆豆,久联发展子公司中标9.74亿元安置房项目$久联发展sz002037$发布公告，公司子公司新联爆破集团近日中标“大龙经济开发区马面坡易地扶贫安置房(高铁安置点)建设项目EPC总承包项目”，中标价9.74亿元，工期36个月。点评:如项目顺利实施，将对公司经营业绩产生积极影响。,,,,,1,0,3,2017-06-23 09:14,微博 weibo.com,,,
4121717432056097,F96Y78CSR,2020940691,巢海股峰,#公告点评##巢海股峰#久联发展(002037)22日晚间公告，公司子公司贵州新联爆破工程集团有限公司中标“大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目设计、施工及材料采购（EPC）总承包项目”。项目中标价为97440万元。保利联合sz002037,,,,"公告点评,巢海股峰",0,0,0,2017-06-23 08:24,微博股票,,,
4121711253118017,F96O9d58B,6135154366,京讯网安徽,【久联发展：子公司中标9.74亿元安置房项目】久联发展(002037)6月22日晚间公告，公司子公司新联爆破集团近日中标“大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目EPC总承包项目”，中标价9.74亿元，工期36个月。久联发展表示如项目顺利实施，将对公司经营业绩产生积极影响。,,,,,0,0,0,2017-06-23 08:00,微博 weibo.com,['http://ww2.sinaimg.cn/large/006HctUGgy1fgu4b6rjudj30jp0er40y.jpg'],,
4121570630969344,F939l44aA,5133980862,益盟好股,#涨停预测#久联发展子公司中标9.74亿元安置房项目久联发展(002037)发布公告，公司子公司新联爆破集团近日中标“大龙经济开发区马面坡易地扶贫安置房(高铁安置点)建设项目EPC总承包项目”，中标价9.74亿元，工期36个月。点评:如项目顺利实施，将对公司经营业绩产生积极影响。,,,,涨停预测,0,0,1,2017-06-22 22:41,360安全浏览器,,,
4121565635705983,F931hnWnZ,2181903664,马记杂货铺子,【久联发展：子公司中标9.74亿元安置房项目】久联发展公告，公司子公司新联爆破集团近日中标“大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目EPC总承包项目”，中标价9.74亿元，工期36个月。久联发展表示如项目顺利实施，将对公司经营业绩产生积极影响。,,,,,0,0,0,2017-06-22 22:21,微博 weibo.com,,,
4121534828822382,F92dAB16u,3984810847,融泰财富管理,$久联发展sz002037$6月22日晚间公告，公司子公司新联爆破集团近日中标“大龙经济开发区马面坡易地扶贫安置房(高铁安置点)建设项目EPC总承包项目”，中标价9.74亿元，工期36个月。久联发展表示如项目顺利实施，将对公司经营业绩产生积极影响。,,,,,0,0,0,2017-06-22 20:19,360安全浏览器,,,
4121534773639345,F92dvfgL7,3230596035,攻-守-道,6月22日晚间公告，公司子公司新联爆破集团近日中标“大龙经济开发区马面坡易地扶贫安置房(高铁安置点)建设项目EPC总承包项目”，中标价9.74亿元，工期36个月。久联发展表示如项目顺利实施，将对公司经营业绩产生积极影响。$久联发展sz002037$,,,,,0,0,0,2017-06-22 20:18,微博 weibo.com,,,
4121490964346677,F914QieLH,6259394869,嗨牛财经直播君,实时播报：【#久联发展#[002037]：子公司中标9.74亿元安置房项目】嗨牛财经讯，#久联发展#[002037]公告，公司子公司新联爆破集团近日中标“大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目EPC总承包项目”，中标价9.74亿元，工期36个月。#久联发展#[002037]表示如项目顺利实施，将对公司经营业绩产生积极影响。,,,,久联发展,0,0,0,2017-06-22 17:24,微博 weibo.com,,,
4121490133960944,F913vgCqc,5051077448,快兰斯24小时财经直播,实时播报：【久联发展：子公司中标9.74亿元安置房项目】久联发展公告，公司子公司新联爆破集团近日中标“大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目EPC总承包项目”，中标价9.74亿元，工期36个月。久联发展表示如项目顺利实施，将对公司经营业绩产生积极影响。,,,,,0,0,1,2017-06-22 17:21,微博Win8客户端,,,
4153980810949428,FmEhP3YZm,6321357983,鱼皇秘诱钓鱼,个股利好①重大合同【久联发展：子公司新联爆破集团签订超9.7亿元重大合同】近日，久联发展（002037）子公司贵州新联爆破工程集团有限公司与贵州大龙扶贫开发投资有限责任公司签订了关于大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目的《建设项目工程EPC总承包合同》。合同价：97440万元人民币。【新华文轩：签署10亿元教科书和字典供货合同】新华文轩晚间公告，近日公司与四川省教育厅直属事业单位四川省学生资助管理中心，签订了《四川省2017-2018学年城乡义务教育阶段学生免费教科书采购合同书》，四川省教育厅以单一来源采购方式，向公司采购2017-2018学年四川省义务教育阶段学生教科书和小学生字典，合同总金额约10亿元。②业绩增长【新钢股份：预计前三季度盈利13亿至15亿元同比大幅增长】新钢股份发布三季度业绩预告，预计实现的净利润与上年同期相比大幅增长，约为13亿元至15亿元。而上年同期为2.76亿元。增长原因为，在国家持续推进供给侧改革、钢铁去产能政策的背景下，特别是随着淘汰中频炉、以及整治“地条钢”等措施的严格落实，钢材供需结构不断优化，钢材市场明显回暖，给钢铁企业提升经营业绩营造了良好条件。③增持【吉林化纤：控股股东增持130万股】吉林化纤公告称，9月15日，化纤集团通过深圳证券交易所交易系统以竞价交易方式本次增持公司股份130万股，增持金额为452.7万元，增持股份数占公司已发行总股本的0.07%。⑤高送转【海达股份：实施每10股送红股6股派1.6元转增2股方案】海达股份2017年半年度权益分派方案为：每10股送红股6股，派1.6元人民币现金（含税）；同时，每10股转增2股。本次权益分派股权登记日为：2017年9月25日，除权除息日为：2017年9月26日。⑥重组成功【新元科技：重大资产重组获通过20日复牌】新元科技发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得证监会有条件通过。公司股票将于9月20日复牌。⑦中标【安徽水利：联合中标4.37亿元PPP项目】安徽水利晚间公告，公司与中国市政工程西北设计研究院有限公司组成的联合体，成为“蚌埠市城市排水防涝工程PPP项目”的中标人，由安徽水利负责项目的工程建设。项目总投资约为4.37亿元。,,,,,0,0,1,2017-09-20 09:07,搜狗高速浏览器,,,
4153769316906663,FmyMHsYJN,5886015898,张兆业vs,"利好①重大合同【久联发展：子公司新联爆破集团签订超9.7亿元重大合同】近日，久联发展（002037）子公司贵州新联爆破工程集团有限公司与贵州大龙扶贫开发投资有限责任公司签订了关于大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目的《建设项目工程EPC总承包合同》。合同价：97440万元人民币。②业绩增长【新钢股份：预计前三季度盈利13亿至15亿元同比大幅增长】新钢股份发布三季度业绩预告，预计实现的净利润与上年同期相比大幅增长，约为13亿元至15亿元。而上年同期为2.76亿元。增长原因为，在国家持续推进供给侧改革、钢铁去产能政策的背景下，特别是随着淘汰中频炉、以及整治“地条钢”等措施的严格落实，钢材供需结构不断优化，钢材市场明显回暖，给钢铁企业提升经营业绩营造了良好条件。③重大合同【新华文轩：签署10亿元教科书和字典供货合同】新华文轩晚间公告，近日公司与四川省教育厅直属事业单位四川省学生资助管理中心，签订了《四川省2017-2018学年城乡义务教育阶段学生免费教科书采购合同书》，四川省教育厅以单一来源采购方式，向公司采购2017-2018学年四川省义务教育阶段学生教科书和小学生字典，合同总金额约10亿元。④增持【吉林化纤：控股股东增持130万股】吉林化纤公告称，9月15日，化纤集团通过深圳证券交易所交易系统以竞价交易方式本次增持公司股份130万股，增持金额为452.7万元，增持股份数占公司已发行总股本的0.07%。⑤高送转【海达股份：实施每10股送红股6股派1.6元转增2股方案】海达股份2017年半年度权益分派方案为：每10股送红股6股，派1.6元人民币现金（含税）；同时，每10股转增2股。本次权益分派股权登记日为：2017年9月25日，除权除息日为：2017年9月26日。⑥重组成功【新元科技：重大资产重组获通过20日复牌】新元科技发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得证监会有条件通过。公司股票将于9月20日复牌。⑦中标【安徽水利：联合中标4.37亿元PPP项目】安徽水利晚间公告，公司与中国市政工程西北设计研究院有限公司组成的联合体，成为“蚌埠市城市排水防涝工程PPP项目”的中标人，由安徽水利负责项目的工程建设。项目总投资约为4.37亿元。2、利空①减持【涪陵榨菜：股东减持2,000万股公司股份】涪陵榨菜（002507）于2017年9月18日，收到北京一建《关于减持涪陵榨菜股份计划实施完毕的告知函》，获悉本次减持计划已实施完毕，本次减持计划实施期间北京一建共计减持公司股份2,000万股，占公司总股本比例2.5337%。【司太立：朗生投资拟减持公司550万股】司太立公告称，朗生投资拟至2018年3月8日止，以集中竞价、大宗交易等方式，减持公司不超过550万股。截至目前，朗生投资持有公司12.08%股权。【天顺股份：两股东合计拟减持不超过199万股】天顺股份晚间公告，股东芜湖基金计划在本公告发布之日起15个交易日后的6个月内，以集中竞价方式减持本公司股份不超过149万股（占本公司总股本比例2%）。股东赵素菲女士计划在本公告发布之日起15个交易日后的6个月内，以集中竞价方式减持本公司股份不超过50万股（占本公司总股本比例0.67%）。【菲利华：实控人拟减持不超1771万股】菲利华实际控制人邓家贵、吴学民计划自本公告发布之日起15个交易日后的6个月内，减持公司股份不超过1771万股（占公司总股本比例6%）。【科大国创：雅弘投资计划减持不超过总股本的6%】科大国创公告，股东雅弘投资计划自本公告披露之日起十五个交易日后的六个月内，减持不超过1268万股公司股份，减持比例不超过公司总股本的6.00%。建议建议大家控制好仓位，尽量坚持政策题材的中线机会，耐心等待新热点的涌现。想做短线的朋友也可以用少量仓位参与防御概念的板块轮动以及跟进一些有炒作可能的新题材，但操作上要注意快进快出，不能心存侥幸。总之，避险还是当前市场的主要原则。上证指数sh000001",,,,,0,0,0,2017-09-19 19:07,,,,
4153739448705095,Fmy0wAwAL,1453904734,猎豹出击,【久联发展：子公司新联爆破集团签订超9.7亿元重大合同】近日，久联发展子公司贵州新联爆破工程集团有限公司与贵州大龙扶贫开发投资有限责任公司签订了关于大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目的《建设项目工程EPC总承包合同》。合同价97440万元人民币。,,,,,0,0,0,2017-09-19 17:08,360安全浏览器,,,
4153733300915794,FmxQC3QeS,5374307685,龙头真经复盘,【久联发展：子公司签订97440万元重大合同】云财经讯，子公司新联爆破集团与贵州大龙扶贫开发投资有限责任公司签订了关于大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目的《建设项目工程EPC总承包合同》，合同金额97440万元人民币。,,,,,0,0,1,2017-09-19 16:44,搜狗高速浏览器,,,
4153722995062605,FmxzZlf0V,2239792910,巨潮资讯网,【久联发展：子公司新联爆破集团签订超9.7亿元重大合同】近日，久联发展（002037）子公司贵州新联爆破工程集团有限公司与贵州大龙扶贫开发投资有限责任公司签订了关于大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目的《建设项目工程EPC总承包合同》。合同价：97440万元人民币。,,,,,2,2,10,2017-09-19 16:03,搜狗高速浏览器,['http://ww2.sinaimg.cn/large/8580870egy1fjoxlvd0naj20x70ktacb.jpg'],,
4121730089943445,F97iwFIK9,1950292293,莲子豆豆,久联发展子公司中标9.74亿元安置房项目$久联发展sz002037$发布公告，公司子公司新联爆破集团近日中标“大龙经济开发区马面坡易地扶贫安置房(高铁安置点)建设项目EPC总承包项目”，中标价9.74亿元，工期36个月。点评:如项目顺利实施，将对公司经营业绩产生积极影响。,,,,,1,0,3,2017-06-23 09:14,微博 weibo.com,,,
4121717432056097,F96Y78CSR,2020940691,巢海股峰,#公告点评##巢海股峰#久联发展(002037)22日晚间公告，公司子公司贵州新联爆破工程集团有限公司中标“大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目设计、施工及材料采购（EPC）总承包项目”。项目中标价为97440万元。保利联合sz002037,,,,"公告点评,巢海股峰",0,0,0,2017-06-23 08:24,微博股票,,,
4121711253118017,F96O9d58B,6135154366,京讯网安徽,【久联发展：子公司中标9.74亿元安置房项目】久联发展(002037)6月22日晚间公告，公司子公司新联爆破集团近日中标“大龙经济开发区马面坡易地扶贫安置房（高铁安置点）建设项目EPC总承包项目”，中标价9.74亿元，工期36个月。久联发展表示如项目顺利实施，将对公司经营业绩产生积极影响。,,,,,0,0,0,2017-06-23 08:00,微博 weibo.com,['http://ww3.sinaimg.cn/large/006HctUGgy1fgu4b6rjudj30jp0er40y.jpg'],,
