id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4516014929081951,J6ICwC6D5,6706942635,济南扶贫,济南市-湘西州工商联东西部扶贫协作联席会议在凤凰举行　　为进一步促进东西部扶贫协作事宜，6月12日—14日，济南市政协副主席、市工商联主席刘梦海率济南市工商联代表团来湘西州，开展东西部扶贫协作暨招商引资项目考察。14日上午，济南市—湘西州工商联东西部扶贫协作联席会议在凤凰县召开，并举行爱心捐赠仪式。济南市政协副主席、市工商联主席刘梦海，济南市工商联副主席靖淑兰，湘西州委常委、副州长董怀敏，州政协副主席、州工商联主席石红等出席。董怀敏代表湘西州委、州政府对济南市工商联的到来表示热烈欢迎和诚挚谢意，同时介绍了湘西州基本概况。他表示，2019年，湘西州七个国家级贫困县整体实现脱贫摘帽，236个贫困村实现出列，8.95万贫困人口脱贫，贫困发生率降至0.65%。这些成绩的取得离不开湘西人自我奋斗、自我加压；也离不开东西部协作高度重视、大力支持；同时也离不开济南市工商联积极扶持、大力协作。湘西将把稳脱贫、防返贫、做好精准扶贫与乡村振兴有机衔接作为重点，进一步增强民族地区自我造血功能，希望继续得到济南市工商联的大力支持，共同巩固脱贫成果。刘梦海代表济南市工商联对湘西州的热情接待表示感谢。他表示，济南市工商联系统和会员企业发挥优势、主动作为，积极投身到精准扶贫工作中。四年来，消费帮扶近3亿元，就业帮扶500余人，企业捐款捐物共计价值1000余万元，产业帮扶投资2000多万元，为改善社会民生、促进和谐发展作出了重要贡献。下步，济南市工商联将继续发挥优势，在劳务输出、消费帮扶等方面贡献力量，与湘西州携手共进，以求互利共赢。石红表示，希望济南市工商联、各位企业家继续关心和支持湘西州经济社会发展和脱贫攻坚事业，介绍和引进更多的企业支援湘西、落户湘西、发展湘西。进一步加强交流与合作，实现互利共赢，共同发展。湘西州工商联及各县市工商联要抓住机遇，抓紧时间、深入对接、紧密合作，谋求东西部工商联扶贫协作效果最大化。会上还举行了济南市工商联会员企业东西部扶贫协作捐赠仪式，共计捐赠现金和物资110万元。其中，山东泰山钢铁集团有限公司捐赠30万元；齐鲁制药集团有限公司捐赠20万元和价值30万元药品；济南圣都食品有限公司捐赠15万元；九阳股份有限公司捐赠价值10万元厨房设备。济南市考察对接人员，州县对接考察人员，凤凰县青禾牧业、锵锵银饰、蜡的世界等扶贫协作企业负责人参加会议。（凤凰站记者吴东林通讯员杨建曲）,,,,,0,0,0,2020-06-15 09:42,微博 weibo.com,"['http://ww4.sinaimg.cn/large/007jTEa7ly1gfsq9fqz02j30g00bzq3s.jpg', 'http://ww3.sinaimg.cn/large/007jTEa7ly1gfsq9frinbj30g00bkt9d.jpg', 'http://ww1.sinaimg.cn/large/007jTEa7ly1gfsq9fqnp8j30fy0dimxo.jpg', 'http://ww1.sinaimg.cn/large/007jTEa7ly1gfsq9fri8fj30g00cu0t6.jpg']",,
4504211599334459,J1LyTDajN,3768664027,晓航股海,屌丝复盘2020.5.13周三您的关注是对我最大的支持一、消费内需1、医药医疗：片仔癀、长春高新、恒瑞医药、泰格医药、凯莱英、我武生物、药明康德、迈瑞医疗、药房（大参林、益丰药房、老百姓）、司太立、凯利泰、欧普康视、山东药玻、三诺生物、康德莱、大博医疗等等；2、白酒：贵州茅台、五粮液、山西汾酒、今世缘、泸州老窖、舍得酒业、古井贡酒等；3、奶制品：光明乳业、妙可蓝多、伊利股份、新乳业等；4、家电：新宝股份、老板电器、格力电器、小熊电器、三花智控、九阳股份、金莱特等；5、调味品：天味食品、海天味业、恒顺醋业、千禾味业、中炬高新等；6、食品加工：洽洽食品、良品铺子、三只松鼠、三全食品、双汇发展、涪陵榨菜、金字火腿、克明面业、煌上煌、龙大肉食、盐津铺子、西麦食品、安琪酵母、安井食品、桃李面包、来伊份、加加食品（暴雷）等；7、化妆品：御家汇、珀莱雅、上海家化等；8、家居：质邦家居、江山欧派、金牌橱柜、喜临门、大亚圣象、顾家家居、欧派家居、帝欧家居、索菲亚等；9、汽车：中国重汽、长安汽车、广汽集团、上汽集团、长城汽车等。下面附上笔者的消费内需自选股，希望对大家有用。资金选择消费内需方向的深层逻辑反复赘述，一切从疫情当下，经济刺激的实际情况出发，具体参考屌丝复盘2020.5.8周五。昨日复盘预期今天分化，等低吸机会，涨了要卖。今日盘面表现比预期强势的多，细分行业（1-7，主流）今天全面爆发，有点主升浪高潮的意思。笔者反复重申看好消费内需方向，但操作上，仍不建议追着买，消费内需方向不同于一般的主题投资炒作，主要是资金抱团的趋势打法，只要低吸大概率会有肉。但追着买，很容易站山岗。此方向重点阐述相关逻辑，个股数量极其庞大，笔者不做单独推荐。二、科技（1）半导体芯片：中微公司、晶盛机电、中环股份、紫光国微、圣邦股份、北方华创、长电科技、华天科技、通富微电、兆易创新、卓盛微（2）光刻胶：同益股份（反包未封板）、晶瑞股份、江化微等（3）5G：中兴通讯、新易盛、中际旭创、光迅科技等（4）消费电子：漫步者、立讯精密、欧菲光、信维通信等（5）国产软件、服务器、存储：华胜天成、中国软件、浪潮信息、紫光股份、紫光国微、中科曙光等今日多条分支线均有所表现，第一，同益股份有资金做反包，带动光刻胶反弹一波；第二，中环股份等半导体上游材料，带了芯片走了一波；第三，圣邦股份、紫光国微等带了一波。每一个龙头带动，都有不少的跟风盘，板块弹性很好，但是三波带动，资金都没有打出足够的高度，信心不足，估计也是忌惮消费内需资金分流的问题。晚上中芯国际公布一季度业绩，收入9.05亿美元，同比增长35.3%，营收创季度新高，对板块有一定的提振作用，明日继续重点关注科技方向。三、疫情线相关个股：疫苗：未名医药（3板）检测试剂（大跌）：明德生物、迈克生物、达安基因、昌红科技、华大基因等疫苗瓶：正川股份（4板，庄股）口罩：泰达股份、奥美医疗、振德医疗、南卫股份未名医药今日3连板，创历史新高，已经4波主升浪，新冠疫苗想象空间巨大，但最受益的是哪个，现在谁也不知道。妖股，靠信仰生存，笔者已经理解不了，当个市场情绪指标对待。检测试剂昨日大涨今日大跌，口罩方面昨日南卫股份，今日切换到泰达股份，资金高位接力意愿很差。至于正川股份，典型的一庄股，去年11月崩盘记忆犹新。疫情线有多条分支，多数叠加医疗医药线（内需消费），如果非要做个区分，可以根据资金的打法不同做选择，消费内需那条线更多的是抱团走趋势，疫情这边更多的是游资手法，频繁大涨大跌走势。相比之下，笔者更愿意选择大资金抱团走趋势的医疗个股。四、军工相关个股：轴研科技（6连板）、江龙船艇、中航沈飞、航空发动机三兄弟等。相关逻辑：军费+业绩+边缘政治深层逻辑参考屌丝复盘2020.5.8周五板块前面表现多日，到了该调整的时候，轴研科技6连板，走个股行情，延迟了板块的调整，后期继续等待低吸机会，不要忘记，近期市场是轮动的行情，消费内需如果调整，出来的资金总需要去处。重点等待华伍股份、中航沈飞、中兵红箭、航空发动机三兄弟的低吸机会。五、网红经济与农业电商网红经济相关个股：省广集团（1+1+2板）、梦洁股份（3板）、御家汇（2板趋势叠加消费内需）、供销大集（1板叠加农业电商）农业电商相关个股：供销大集（1板）、金健米业、新农开发（-9.53%）相关逻辑：扶贫攻坚+蝗虫减产+疫情粮食危机+大哥支持农村直播带货之所以两个板块放一块分析，其实本质上都是网红经济，农业电商本身有深层次的逻辑在里面，网红经济板块有点各自为战的意思，联动性不是很强。农业电商方面，金健米业早盘最高3个多点，未摸板，低于预期，供销大集卡位，也没带起人气，板块短期调整概率偏大，调后还是值得重点关注。大哥主张农业直播带货，估计大概率会进入两会议程。六、新基建——特高压；老基建（1）特高压相关个股：保变电气、平高电气、汉缆股份、神马电力（庄股）、国电南自等盘中有资金尝试打出人气，奈何消费内需方向对资金虹吸效应太明显，老妖保变电气封板，前期人气龙头汉缆股份、国电南自、中国西电均冲高回落，伤了板块人气。（2）老基建相关个股：建筑装饰：建研院、亚夏股份、宁波建工等高铁：新筑股份、晋亿实业等盘中资金尝试切换，跟新基建特高压一个路子，只是操作上更加猥琐，力度大大弱于特高压。在没有切换成功的情况下，反而成了好事，明天抛压上特高压会更重一些。短线性价比老基建更占优。继续关注老基建高铁方向，注意晋亿实业的低吸。七、次新股华昌达强势7连板，成了独苗，还是那句话，当成盘面人气指标股看就可以。综合，股票池：纯内需消费+新基建、老基建+军工。操作上，缺少增量资金，板块轮动，低吸必胜，追高必死。明日重点关注科技方向。免责声明：本订阅号发布的文章仅代表本订阅号个人观点。不对任何人构成个股推荐和买卖建议。本订阅号所载资料的准确性、可靠性、时效性、完整性不作任何明示或暗示的保证。请结合自身风险承受能力进行股市投资。股市有风险，入市需谨慎。,,,,,2,0,1,2020-05-13 19:59,360安全浏览器,,,
4496661222888023,IEyBcc7j1,3094370191,天涯修心者,《题材资讯-4月23日》1、中央应对新冠肺炎疫情工作领导小组会议：着力提升检测能力尽力扩大检测范围。相关概念股关注:昌红科技、明德生物、艾德生物、乐普医疗、万孚生物、华大基因、博晖创新、达安基因、迈克生物、西陇科学等。2、疫情期小家电需求暴涨疫情推动小家电销量持续走高。相关概念股关注:石头科技、奋达科技、圣莱达、九阳股份、小熊电器等。3、5G终端设备及用户数迎来爆发式增长产业链公司望迎来机遇。相关概念股关注:顺络电子、中石科技、同益股份、高斯贝尔、天和防务、立讯精密、信维通信等。4、据报道，北京首推电子劳动合同，电子签名有望爆发式增长。相关概念股关注：数字认证、泛微网络、格尔软件、飞天诚信等。5、联合国世界粮食计划署：全球正处在“饥饿大流行”的边缘。喜欢概念股关注:金健米业、克明面业、丰乐种业、登海种业等等。6、商务部：加大对18个重点城市参与扶贫的大中型家政企业的金融支持力度。相关概念股关注:达华智能、天津松江、中国软件、佳都科技、同方股份等。7、卫星互联网掀资源争夺战，航天产业链迎机遇。相关概念股关注：航天电器、华力创通、华测导航、中国卫星等。8、阿里发布自动驾驶仿真路测平台推动自动驾驶加速迈向L5阶段。相关概念股关注:千方科技、银江股份、易华录、华阳集团、小康股份等。9、阿里巴巴升级新国货计划，加速自主品牌建设。相关概念股关注：斯莱克、惠而浦、德力股份、青岛金王等。（以上资讯仅供参考，不作买卖依据！）,,,,,4,29,20,2020-04-22 23:57,vivo S1照亮你的美,,,
4496105984756245,IEk9EjXjD,2175686497,济南日报,#济南爆料##济南身边事#【数量领跑全省!26家济南企业上山东专利创新企业百强榜单】4月21日上午，济南市委市政府新闻发布会召开，据悉，2019年有26家知识产权密集型企业成功入选山东专利创新企业百强名单，数量领跑全省。2019年全市累计有效发明专利拥有量25437件;万人有效发明专利拥有量29.25件，比上年末增加3.19件。PCT国际专利申请量339件，同比增长83.24%。有26家知识产权密集型企业成功入选山东专利创新企业百强名单，数量领跑全省，其中齐鲁制药等6家专利创新百强企业同时入选山东百强企业榜。九阳股份有限公司等21家知识产权密集型企业分别先后获得省长质量奖、市长质量奖及提名奖。济南依托商标打造品牌经济。商标注册数量持续增加，2019年，全市有效注册商标达212091件，百户市场主体、企业拥有注册商标分别为18.80件和50.38件，同比增加2.21件和7.29件。推动商标国际注册，全年新增马德里商标国际注册申请175件，同比增长63.23%，马德里国际注册商标有效量达506件。韩都衣舍等8件商标被认定为驰名商标，全市驰名商标总量增至74件。同时，依托地理标志助推乡村振兴。大力实施地理标志商标扶贫兴农富民工程，坚持“立足一个资源、围绕一个商标、带动一个产业、富裕一方农民”，培育出包括章丘大葱、平阴玫瑰、龙山小米在内的40件地理标志商标，地理标志商标产品年产值过百亿，为农民增收、农业增效、农村发展发挥了积极作用。（记者张茜）,,,,"济南爆料,济南身边事",0,0,0,2020-04-21 11:11,微博 weibo.com,['http://ww1.sinaimg.cn/large/81ae5761ly1ge17d2ejkqj20fa0bggn6.jpg'],,
4399698561467827,HFPC869QD,1644492643,都市快报快公益,“2019年度精准扶贫合作伙伴”九阳股份有限公司作为在杭州生根发芽15年的小家电品牌，@九阳积极响应浙江省及杭州市对口支援及区域合作工作，自2018年起捐赠300万元参与杭州对口帮扶工作，首批在湖北恩施州、新疆阿克苏淳安县、浙江丽水市、开化县、龙游县等地区建设50所九阳希望厨房，通过现代化、电气化的厨房设备，提高乡村中小学厨房的供餐能力和改善厨房环境卫生状况，开展教育领域健康帮扶，打造贫困农村地区学生营养餐升级版。#钱塘善潮#,,杭州·杭州艺尚小镇国际秀场,九阳,钱塘善潮,0,0,0,2019-07-30 10:22,iPhone客户端,,,
4366382357454972,HrQUjvhnu,5309457305,随心丫Y,《被认可的善良》#第十六届（2019）中国慈善榜在京发布，九阳股份2018年756.8万社会捐赠入榜中国慈善榜，九阳十年公益扶贫项目九阳希望厨房荣获十大“优秀慈善项目奖”实至名归。[爱心],,杭州,,,0,0,0,2019-04-29 11:55,OPPO R9s,['http://ww1.sinaimg.cn/large/005NjWo9ly1g2jd6ri3akj30k00zk0uy.jpg'],,
4366381958564046,HrQTFzVTM,5309457305,随心丫Y,《被认可的善良》第十六届（2019）中国慈善榜在京发布，九阳股份2018年756.8万社会捐赠入榜中国慈善榜，九阳十年公益扶贫项目九阳希望厨房荣获十大“优秀慈善项目奖”实至名归。[爱心],,杭州,,,0,0,0,2019-04-29 11:54,OPPO R9s,['http://ww3.sinaimg.cn/large/005NjWo9ly1g2jd566j3yj30m80eujtb.jpg'],,
4346278882448236,HjpVmagTG,6501690352,九阳股份sz002242,九阳股份sz002242九阳股份有限公司董事长王旭宁：不忘初心公益扶贫打造健康国民品牌，O九阳股份有限公司董事长王旭宁：不忘初心公益扶贫打造健康国民品牌,,,,,1,0,0,2019-03-05 00:31,微博股票,,,
4343894596794172,HipTJsvtq,5667395988,新岳阳,#岳阳身边事#【平江10所学校获“希望厨房”公益资助，孩子们每天都有热腾腾的午餐了】阴雨连绵的二月天，外面湿冷潮湿，而平江县的安定镇秋湖村肖家小学却温暖无比。今年，在财政部定点扶贫工作队和平江县教体局的推动下，九阳股份有限公司联合中国家电网“红顶公益”为平江县捐建了10所“希望厨房”，折算人民币约100多万。新学期开始，肖家小学的学生能吃到热腾腾的午餐了。,,,,岳阳身边事,0,0,0,2019-02-26 10:37,vivo X20全面屏手机,,,
4243220089146908,Gi8lOCnwM,6284348923,汉唐知产,山东省大力推进商标品牌战略促新旧动能转换新华网济南5月23日电23日，2018山东(济南)推进新旧动能转换重大工程商标品牌战略高端研讨会在济南举行。山东省工商局将统筹推进商标品牌战略，构建全省品牌建设新格局，推进全省新旧动能转换重大工程全面展开。　　据了解，此次高端研讨会由山东省工商局、济南市政府主办，济南市工商局与山东千慧知识产权代理咨询有限公司共同承办，海尔、九阳、章丘大葱等43家商标品牌单位被授予2018年度山东省商标品牌示范单位。　　山东省工商局局长李关宾说，商标是品牌的基础，商标品牌战略是促进品牌高端提价值、打造发展新动能的重要引擎和战略支撑。一直以来，山东省高度重视商标品牌工作，在农业、制造业、服务业等领域形成了一批国内外知名品牌，打造了好客山东、好品山东、厚道鲁商、食安山东等一批极具影响力的靓丽品牌名片。　　济南市副市长孙斌介绍，近年来济南市将品牌建设作为新旧动能转换重大工程建设的重要内容，全力推进品牌高端化，培育了一批标杆企业。截至2017年底，济南市拥有有效注册商标11.24万件，马德里国际注册商标165件，地理标志商标34件，驰名商标59件，中华老字号12家，山东名牌产品133个，山东省服务名牌26个。山东省品牌促进会近日发布的山东最具价值品牌企业100强名单中，济南的浪潮集团、中国重汽、山东高速、九阳股份、齐鲁制药等16家企业入围，品牌聚集效应初显。　　国家知识产权局商标局副局长崔守东表示，长期以来，山东省对品牌建设高度重视，在发挥商标品牌引领经济发展方面取得的成绩有目共睹：2018年一季度，山东省商标申请量8.1万件，同比增长84%，高于全国平均增速；山东省马德里商标国际注册申请量连续4年居全国第一，今年一季度申请量继续领跑全国；地理标志608件，不但总量保持国内第一，而且是首个注册量突破600件的省份；山东省共有8家企业、单位荣获中国商标金奖。　　当前，全国各级工商和市场监管部门大力推进商标品牌战略实施，强化了市场主体的商标意识，商标申请量逐年快速增长，企业品牌意识逐渐增强，中国品牌的影响力和竞争力也日益增强。同时，我国品牌发展依然滞后于经济发展，一个重要的表现就是品牌引领新旧动能转换的推动力还有很大的发展空间。国家知识产权局商标局将始终坚持围绕“放管服”改革，以利用地理标志商标推动精准扶贫和推广马德里注册为重要抓手，深入实施商标品牌战略，力推“中国产品”向“中国品牌”转变。24小时免费咨询：王蕾13848719010（微信同号）汉唐知识产权商标转让官网：www.68hantang.com公司官网：www.58hantang.com,,,,,0,0,0,2018-05-24 15:12,微博 weibo.com,,,
