id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4531572106074484,JdfkKpufy,5984931065,合一队长,002022科华生物：拟公开发行7.38亿元可转债002788鹭燕医药：配股申请获证监会审核通过002793罗欣药业：获得第一类医疗器械备案凭证000333美的集团：授权经营层启动分拆子公司美智光电创业板上市前期筹备工作。300254仟源医药：公司磷霉素氨丁三醇散通过一致性评价300453三鑫医疗：医用防护口罩取得医疗器械注册证。000860顺鑫农业：以资金帮扶的方式对口扶贫甘肃礼县（国家级贫困县）捐赠100万002759天际股份：控股股东持有公司部分股份被强制平仓600556天下秀：非公开发行股票申请获证监会审核通过002739万达电影：非公开发行股票申请获审核通过600309万华化学：子公司宝思德化学公司装置停产检修002034旺能环境：拟公开发行可转债不超14亿元用于汕头市澄海洁源垃圾发电厂扩建项目等300621维业股份：拟与关联方共同对维业致诚进行增资002332仙琚制药：甲泼尼龙片境内生产药品注册申请获得受理002388新亚制程：持股6.57%股东沈培今所持股份将全部被司法拍卖000426兴业矿业：子公司银漫矿业恢复生产300123亚光科技：拟向不特定对象发行18.9亿元可转债002652扬子新材：胡卫林将民生科技33.73%股份的表决权全权委托给公司行使002539云图控股：获批郑州商品交易所指定纯碱交割厂库603976正川股份：股价异动目前公司未接到相关市场传闻的疫苗瓶批量采购订单002471中超控股：孙公司江苏精铸获得六项发明专利#N/A甘李药业：澄清高级管理人员辞职不会对公司生产经营产生影响,,,,,0,0,1,2020-07-28 08:00,360安全浏览器,,,
4496499368551526,IEuo8zSDQ,1950292293,莲子豆豆,#兴趣话题词#股市财经#今日看盘#电商板块表现火爆，农产品、芭田股份sz002170、大北农、供销大集、德生科技涨停，云图控股、友阿股份、华英农业纷纷拉升。电商在助农方面的作用，在新冠肺炎疫情期间表现得尤为明显。高层精准点评电商新业态，扶贫兴农大有可为。,,,,"兴趣话题词,今日看盘",1,16,1,2020-04-22 13:14,微博 weibo.com,,,
4488071543958699,IAX8SgBPZ,5028652473,微博阜平,阳春三月，春耕时节。阜平县半沟村民正在田间地头浇水耕地，一幅繁忙的春耕景象。驻村工作队员完成上午的工作后，第一书记姚贵庭走到正在翻地的村民崔长建旁边，与他攀谈起来。“老崔，今年的地好翻吗，耕地有什么需要驻村工作队帮忙的啊?”崔长建说：“别的困难没有什么，就是现在疫情严峻，现在购买化肥商家都没有开门哩，不好买啊”。得知此情况后，姚书记立马召集驻村工作队员李杰、郄亮一同开会研究在现阶段复产复工的大背景下如何解决村民春耕急需化肥的问题。同时驻村工作队与市局和产品质量检验所联系，正好市局及产品质量检验所正在进行“2020质检公益”系列活动，后经王胜起副局长、彭尚林调研员以及质检所领导多方努力协调，终于在春耕播种前，成都云图控股股份有限公司给半沟村民捐赠了7吨约200余袋化肥，满足了村民的春耕需求。在驻村工作期间，驻村工作队员时刻牢记驻村的初心和使命，在抓好驻村当前最紧要、最重要的疫情防控同时，对复产复工春耕也不放松懈怠。遇见问题后，第一时间想办法解决，不等不拖。以控制新冠肺炎影响为防控抓手，以村民的迫切需求为工作抓手，做到两手抓、两不误将新冠肺炎疫情影响降到最低。在2020年精准扶贫收官之年遇见新冠肺炎疫情的特殊时期，市市场监管局驻半沟村工作队以更有力的举措、更有效的行动，助力农民春耕春播，让贫困群众真正得到了实惠。,,,,,0,0,0,2020-03-30 07:05,iPhone客户端,"['http://ww3.sinaimg.cn/large/005ujIdXly1gdbl08zdr8j30gv0cdn7f.jpg', 'http://ww1.sinaimg.cn/large/005ujIdXly1gdbl08aeaij30gr0c4ti6.jpg', 'http://ww1.sinaimg.cn/large/005ujIdXly1gdbl09vay7j30m80gotyl.jpg', 'http://ww4.sinaimg.cn/large/005ujIdXly1gdbl0ahuy8j30m80goke8.jpg', 'http://ww1.sinaimg.cn/large/005ujIdXly1gdbl0bpjsoj30u00mie81.jpg']",,
4450602815826351,IleprorHp,6563825709,南充经信,工业产业扶贫助力乡村振兴，四川美丰化工股份有限公司、四川省乐山市福华农科投资集团有限责任公司、四川泸天化（集团）有限责任公司、四川兰天化工科技有限公司、四川金象赛瑞化工股份有限公司、成都云图控股股份有限公司、四川国光农化股份有限公司为贫困村捐赠了一批化肥和农药、种子等农用物资。,,,,,0,0,1,2019-12-17 21:37,HUAWEI Mate 10 Pro,"['http://ww1.sinaimg.cn/large/007ad8UBgy1ga01ookr6sj30u0140dxw.jpg', 'http://ww2.sinaimg.cn/large/007ad8UBgy1ga01opstbrj31400u0e1l.jpg', 'http://ww3.sinaimg.cn/large/007ad8UBgy1ga01or1s2wj31400u0asn.jpg']",,
4377022065041530,HwjH8l9x0,6716481441,大竹新闻资讯,【金梁山“小花椒”今成脱贫“大产业”】为切实做好做实产业扶贫工作，解决群众生产中遇到的技术问题，5月23日，由县巨源商贸有限公司、成都云图控股股份有限公司在县金梁山花椒种植专业合作社召开了“2019花椒种植技术交流会”。当天上午九点，在八渡乡高山村金梁山花椒种植基地内，共邀请到观O金梁山“小花椒”今成脱贫“大产业”,,,,,0,0,1,2019-05-28 20:34,微博 weibo.com,,,
4268584786040155,GsMcCpljR,6517377107,武汉证券通,"武汉证券通【明日股市三大猜想及应对策略】大势判断：明日市场或将震荡下行　　实现概率：60%　　具体理由：昨日市场风传美国将对超过40家中国军工企业实施技术禁运，同时还威胁将对2000亿进口中国商品加征关税税率由10%提升至25%，外交部强硬回击，贸易战热度再次上升。另外，隔夜美联储传递出鹰派信号，9月份大概率将再次加息，人民币汇率将进一步承压。多重利空袭来，A股市场早盘以大跌开局，并持续单边下行，三大股指盘中一度集体跌逾3%，市场一片哀鸿遍野。　　正如昨日所言，当前的市场是利好政策见光死，创业板周一的破位就注定了反弹的夭折。具体来讲，本轮反弹，只有权重搭台，却无题材唱戏。只见前军入场，却没有后军抬轿，市场已然成了惊弓之鸟，场内资金开启了抢跑模式，一丁点的风吹草动就能引起“多杀多”，可见熊市行情之残酷。　　不过从大势的角度出发，笔者认为今日的大跌属于对近期反弹的消化，是风险的集中释放，后续市场可能不会再出现这样的急跌行情，而是恢复前期的震荡阴跌模式，退二进一或是退三进一。因此，我们判断，明日市场大概率将是震荡下行的格局　　操作策略：投资者应控制好仓位，这个位置不能抱有侥幸心理，即便要抄底也不必急于一时，多看少做。　　资金猜想：资金偏爱确定性　　实现概率：60%　　具体理由：从目前已披露年中报告的上市公司来看，社保基金现身十大流通股东的个股仅有23只，其中还有不少个股是获得多只社保基金共同持仓的。比如云图控股(4.750,-0.29,-5.75%)，其十大流通股东名单中，出现了104组合、604组合、401组合等三只社保基金产品，累计持股数量占其流通股比例为8.02%。另外，涪陵榨菜(29.840,-0.20,-0.67%)、恒力股份(16.450,-0.04,-0.24%)、宏发股份(19.760,-0.92,-4.45%)、三诺生物(16.500,-0.58,-3.40%)、西山煤电(6.710,-0.07,-1.03%)等个股，均分别获得2只社保基金产品“青睐”。　　机构投资者呈现出扎堆抱团的趋势，而标的的选择则以业绩为准绳，瞄准未来发展的确定性。近期境外投资者，包括北上资金也在集中涌向这类品种，方向主要集中在医疗、化工和大消费，尤其是那些中报业绩超预期的绩优白马标的。　　操作策略：投资者应该紧随这些聪明的投资者，分批布局，切勿急于抄底。　　热点猜想：“补短板”将发力　　实现概率：60%　　具体理由：近期召开的政治局会议强调，坚持实施积极的财政政策和稳健的货币政策，提高政策的前瞻性、灵活性、有效性。财政政策要在扩大内需和结构调整上发挥更大作用。要把好货币供给总闸门，保持流动性合理充裕。同时指出把补短板作为当前深化供给侧结构性改革的重点任务，降低企业成本。　　这次政治局会议的核心结构看点是“补短板”。虽然预计不会有全面放松，但“补短板”这个结构看点还是值得关注的，预计会沿着三条主线展开：第1条主线是落后地区的基建扶贫，如新疆等西部地区的高铁、地下管廊等项目；第2条主线是乡村振兴，如农村电网、水利等设施；第3条是已有的国家大型规划区配套的底层基础设施，如粤港澳、雄安、海南等规划。　　操作策略：弱势的大环境下，要把握确定性机会，争做强势股。　　　　推荐关注：西部建设(14.420,1.31,9.99%)（002302）--该股中期业绩预报显示，上半年公司实现净利润4500万元至9000万元，业绩暴增3.45倍至5.9倍。增长原因，一方面来自于混凝土行业改善，产品毛利上升；另一方面则是由于公司管理水平的提升，营业利润上升。",,,,,0,0,0,2018-08-02 15:03,360安全浏览器,"['http://ww4.sinaimg.cn/large/00774fvBgy1ftvd9b04muj317d0tztdc.jpg', 'http://ww1.sinaimg.cn/large/00774fvBgy1ftvd9bzut2j30hs0dcgm8.jpg', 'http://ww4.sinaimg.cn/large/00774fvBgy1ftvd9gma3cj31400u00vf.jpg']",,
4268162818475144,GsBe1zyLS,3757698021,牛市向钱看,标杆个股方向：大跌方向：5板天成控股复盘后跌停弱势水下震荡，成都路桥高位震荡短线接力失败的伯特利、楚天科技、云图控股大跌大涨方向：大基建小盘票建研院3板，扶贫宁夏股西部创业4板很明显的感受到资金的主要热度还是集中在扶贫西部地区周期资源股：方大炭素、祁连山、万华化学等都比较热总结：摒弃高位股，资金在攻击低位股同时大方向：一带一路、大基建、扶贫西部地区以及业绩预增的一些周期涨价概念股暂时受到资金追捧#股市~a股~大盘~股票#,,,,股市~a股~大盘~股票,0,0,0,2018-08-01 11:06,微博 weibo.com,,,
4268159651847666,GsB8V7KF4,5888181274,张钟陶金,云图控股sz002539标杆个股方向：大跌方向：5板天成控股复盘后跌停弱势水下震荡，成都路桥高位震荡短线接力失败的伯特利、楚天科技、云图控股大跌大涨方向：大基建小盘票建研院3板，扶贫宁夏股西部创业4板很明显的感受到资金的主要热度还是集中在扶贫西部地区周期资源股：方大炭素、祁连山、万华化学等都比较热总结：摒弃高位股，资金在攻击低位股同时大方向：一带一路、大基建、扶贫西部地区以及业绩预增的一些周期涨价概念股暂时受到资金追捧,,,,,0,0,0,2018-08-01 10:53,360安全浏览器,,,
4268156422439956,GsB3IaeK8,5726497135,股市财富张荣博,标杆个股方向：大跌方向：5板天成控股复盘后跌停弱势水下震荡，成都路桥高位震荡，短线接力失败的伯特利、楚天科技、云图控股大跌，大涨方向：大基建小盘票建研院3板，扶贫宁夏股西部创业4板，很明显的感受到资金的主要热度还是集中在扶贫西部地区，周期资源股：方大炭素、祁连山、万华化学等都比较热；总结：摒弃高位股，资金在攻击低位股，同时大方向：一带一路、大基建、扶贫西部地区以及业绩预增的一些周期涨价概念股暂时受到资金追捧。#今日看盘##微博时评团#上证指数sh000001,,,,"今日看盘,微博时评团",0,0,0,2018-08-01 10:40,360安全浏览器,,,
4268156157277564,GsB3huxe4,6369412179,股市猎人z,标杆个股方向：大跌方向：5板天成控股复盘后跌停弱势水下震荡，成都路桥高位震荡短线接力失败的伯特利、楚天科技、云图控股大跌大涨方向：大基建小盘票建研院3板，扶贫宁夏股西部创业4板很明显的感受到资金的主要热度还是集中在扶贫西部地区周期资源股：方大炭素、祁连山、万华化学等都比较热总结：摒弃高位股，资金在攻击低位股同时大方向：一带一路、大基建、扶贫西部地区以及业绩预增的一些周期涨价概念股暂时受到资金追捧,,,,,0,0,1,2018-08-01 10:39,微博 weibo.com,,,
