id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4219438418583879,G89GhA13F,5614522364,阿满说市,周二具爆发力的板块及市场要闻2018-03-19一、市场要闻1、上交所：已形成针对优质创新企业的上市和交易等业务规则2、审计署：密切关注地方债、房地产等领域隐患3、统计局:一线城市新房价格同环比连降两月4、银监会：做好2018年三农和扶贫金融服务工作二、热点板块早知道1、独角兽华云数据开启IPO之路关注参股公司：“2018中国独角兽100强”榜单近日发布，在众多领域中，华云数据集团凭借着在云计算领域的开创性精神和在私有云细分市场所取得的卓越成绩，成为行业内最可能快速登陆A股的100家公司之一。据此前报道，华云数据上市前的最后一轮融资，获得15亿元融资。早在2016年科技部发布的《2016中国独角兽企业发展报告》中，华云数据就已然成为云计算领域的10亿美元级别的独角兽企业。点评：独角兽企业代表着新经济的增长动力，对引领产业新技术、新业态、新模式升级以及经济结构调整等起到了重要作用。监管层表示会为包括独角兽在内的新经济企业发展扫清障碍，为独角兽企业快速上市创造条件。华云数据是国内领先的综合性云计算服务提供商，拥有全线覆盖的云服务产品组合，具备领先的云化支撑运营能力和创新的云CDN等优秀技术。IPO快捷通道政策或加快华云上市进程，相关参股公司受关注。关注相关上市公司：红豆股份（600400）、智慧能源（600869）等。2、苹果液态金属应用取得进展相关公司望受关注：据媒体报道，苹果公司近日在液态金属的应用领域取得了最新进展。该公司考虑将液态金属专利技术应用在压力感测组件或压力转换器上，未来主要可能会使用于iPhone主按键。自2010年开始，苹果每年都会定期更新液态金属领域的相关技术，可见苹果对于金属材料技术研发的专注。点评：液态金属是块体凝固非结晶合金的俗称，具有高强度、耐腐蚀、延展性高、轻量等优点。因其兼具有固态、金属、玻璃的综合特性，液态金属可以广泛的应用在消费电子、军工、新能源汽车等领域，是主导未来高科技竞争的材料之一。随着苹果等巨头公司在相关领域技术的不断突破，液态金属大规模商用时代或即将来临，国内相关概念股有望受市场关注。关注相关上市公司：宜安科技（300328）、云海金属（002182）、依米康（300249）、安泰科技（000969）等。3、阿里将召开发布会有望发布第二代天猫精灵：3月19日，天猫精灵官方发布预告，阿里巴巴人工智能实验室2018春季发布会将于3月22日在北京举办。从宣传海报来看，本次发布会可能会推出一款与视觉有关的设备。有网友猜测有可能发布天猫精灵第二代X2，结合视觉元素推测可能会发布拥有触摸屏的智能音箱。点评：根据ABIResearch发布的预测报告，到2022年，支持语音控制的装置出货量或将达到7500万台，其中智能喇叭/数位语音助理预计达到4700万台，智能音箱销售量将会逐步上升，未来三年内还将保持50%以上的复合增速。关注相关上市公司：奋达科技（002681）、共达电声（002655）、全志科技（300458）、和而泰（002402）等。4、新型锂硅电池即将量产电池容量增加30%以上：据媒体报道，SilaTechnologies和AngstronMaterials等创业公司开发出一种新的锂硅电池技术（技术已成熟至接近投产），在未来短短几年内，可以让手机、汽车、智能手表电池的电量增加30%甚至更多。点评：新技术的核心在于利用硅材料制造负极，与目前采用石墨为材料制成的负极相比，可以存储更多电量。SilaTechnologies已经生产出了原型产品，通过利用硅和石墨纳米微粒解决了硅阳极使用寿命短的问题。硅碳负极逐步成为产业关注焦点，国外企业率先实现硅碳负极材料量产，目前国内企业也已布局硅碳负极材料。关注相关上市公司：中国宝安（000009）、杉杉股份（600884）、国轩高科（002074）、比亚迪（002594）等,,,,,0,0,0,2018-03-20 00:12,iPhone 8 Plus,,,
3966629761139688,DrXlm4Mu4,3738228137,金牌分析师--苏蕊,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报...O关注：455263410验证001,,,,,0,0,0,2016-04-21 09:21,微博 weibo.com,,,
3966629622179602,DrXl8990S,3760079687,陈阳-短期收益百分之三十,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,1,2016-04-21 09:21,微博 weibo.com,,,
3966629534087301,DrXkZh9id,5803510914,首席分析师--刘博,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半...O关注：455263410LB,,,,,0,0,0,2016-04-21 09:20,微博 weibo.com,,,
3966629433410426,DrXkPejcS,5793212900,运筹帷幄-问道,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,0,2016-04-21 09:20,微博桌面,,,
3966629353707769,DrXkHfyyJ,3738228137,金牌分析师--苏蕊,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报...O关注：455263410验证001,,,,,0,0,0,2016-04-21 09:19,微博 weibo.com,,,
3966629135574581,DrXklnocB,3149265867,财富分享-致-远,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,0,2016-04-21 09:19,搜狗高速浏览器,,,
3966628380758446,DrXj83bj0,5774719717,金融分析师许勤文,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,0,2016-04-21 09:16,微博 weibo.com,,,
3966628372369190,DrXj79WkK,5774727484,投资顾问-天琪,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,0,2016-04-21 09:16,微博 weibo.com,,,
3966627932367553,DrXip9VUl,5803627069,黑狼-02,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增【20160421热点关注】……,,,,,0,0,0,2016-04-21 09:14,360安全平台,['http://ww2.sinaimg.cn/large/006kLqwdjw1f3421c72mdj30c80bk0u7.jpg'],,
3966627860839036,DrXii3wgQ,3137591493,一叶倁秋NO1,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增【20160421热点关注】……,,,,,0,0,0,2016-04-21 09:14,360安全平台,['http://ww1.sinaimg.cn/large/bb03d8c5jw1f34211e2h1j20c80bk0u7.jpg'],,
3966626317814065,DrXfNwMNj,5587568581,戚熙baby,·今日导读·>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,0,2016-04-21 09:07,iPhone 6s,,,
3966622748143233,DrXa2yaqt,3672277165,东圣智衍,发表了博文《今日导读》>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增【O今日导读,,,,,0,0,0,2016-04-21 08:53,新浪博客,,,
3966621326365324,DrX7KqHUw,5821779536,Transformer_M,今日导读·>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增云海金属半年报暴增,,,,,0,0,0,2016-04-21 08:48,360安全平台,['http://ww1.sinaimg.cn/large/006lZANWjw1f341a0wj58j30c807mgmg.jpg'],,
3966621120978560,DrX7q46ze,5821350872,关惕曲曲,今日导读·>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增云海金属半年报暴增,,,,,0,0,0,2016-04-21 08:47,360安全平台,['http://ww3.sinaimg.cn/large/006lXNi0jw1f3419659tbj30c807mdgo.jpg'],,
3966620914960656,DrX75kOuA,3771842310,猎股神手----刘老师,今日导读·>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增云海金属半年报暴增,,,,,0,0,0,2016-04-21 08:46,360安全平台,['http://ww1.sinaimg.cn/large/e0d1bf06jw1f3418bu8doj20c807mdgo.jpg'],,
3966620861183439,DrX704XRJ,5821971663,股市猎人---刘老师,·今日导读·>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增云海金属半年报……,,,,,0,0,0,2016-04-21 08:46,360安全平台,['http://ww2.sinaimg.cn/large/006m0oMLjw1f341836bnnj30c808aq3s.jpg'],,
3966620835477312,DrX6XmYTK,5821689860,用户5821689860,今日导读·>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增云海金属半年报暴增,,,,,0,0,0,2016-04-21 08:46,360安全平台,['http://ww4.sinaimg.cn/large/006lZdtyjw1f3417zs3qkj30c807maaw.jpg'],,
3966454548381077,DrSMKzaiF,5820116498,菲菲宁凝,【今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增【上...O上证早知道2016-04-21,,,,,0,0,0,2016-04-20 21:45,360安全浏览器,,,
3966453818049355,DrSLzxM0j,5820119262,业界白莲花,【今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增【上...O上证早知道,,,,,0,0,0,2016-04-20 21:42,微博 weibo.com,,,
4219438418583879,G89GhA13F,5614522364,阿满说市,周二具爆发力的板块及市场要闻2018-03-19一、市场要闻1、上交所：已形成针对优质创新企业的上市和交易等业务规则2、审计署：密切关注地方债、房地产等领域隐患3、统计局:一线城市新房价格同环比连降两月4、银监会：做好2018年三农和扶贫金融服务工作二、热点板块早知道1、独角兽华云数据开启IPO之路关注参股公司：“2018中国独角兽100强”榜单近日发布，在众多领域中，华云数据集团凭借着在云计算领域的开创性精神和在私有云细分市场所取得的卓越成绩，成为行业内最可能快速登陆A股的100家公司之一。据此前报道，华云数据上市前的最后一轮融资，获得15亿元融资。早在2016年科技部发布的《2016中国独角兽企业发展报告》中，华云数据就已然成为云计算领域的10亿美元级别的独角兽企业。点评：独角兽企业代表着新经济的增长动力，对引领产业新技术、新业态、新模式升级以及经济结构调整等起到了重要作用。监管层表示会为包括独角兽在内的新经济企业发展扫清障碍，为独角兽企业快速上市创造条件。华云数据是国内领先的综合性云计算服务提供商，拥有全线覆盖的云服务产品组合，具备领先的云化支撑运营能力和创新的云CDN等优秀技术。IPO快捷通道政策或加快华云上市进程，相关参股公司受关注。关注相关上市公司：红豆股份（600400）、智慧能源（600869）等。2、苹果液态金属应用取得进展相关公司望受关注：据媒体报道，苹果公司近日在液态金属的应用领域取得了最新进展。该公司考虑将液态金属专利技术应用在压力感测组件或压力转换器上，未来主要可能会使用于iPhone主按键。自2010年开始，苹果每年都会定期更新液态金属领域的相关技术，可见苹果对于金属材料技术研发的专注。点评：液态金属是块体凝固非结晶合金的俗称，具有高强度、耐腐蚀、延展性高、轻量等优点。因其兼具有固态、金属、玻璃的综合特性，液态金属可以广泛的应用在消费电子、军工、新能源汽车等领域，是主导未来高科技竞争的材料之一。随着苹果等巨头公司在相关领域技术的不断突破，液态金属大规模商用时代或即将来临，国内相关概念股有望受市场关注。关注相关上市公司：宜安科技（300328）、云海金属（002182）、依米康（300249）、安泰科技（000969）等。3、阿里将召开发布会有望发布第二代天猫精灵：3月19日，天猫精灵官方发布预告，阿里巴巴人工智能实验室2018春季发布会将于3月22日在北京举办。从宣传海报来看，本次发布会可能会推出一款与视觉有关的设备。有网友猜测有可能发布天猫精灵第二代X2，结合视觉元素推测可能会发布拥有触摸屏的智能音箱。点评：根据ABIResearch发布的预测报告，到2022年，支持语音控制的装置出货量或将达到7500万台，其中智能喇叭/数位语音助理预计达到4700万台，智能音箱销售量将会逐步上升，未来三年内还将保持50%以上的复合增速。关注相关上市公司：奋达科技（002681）、共达电声（002655）、全志科技（300458）、和而泰（002402）等。4、新型锂硅电池即将量产电池容量增加30%以上：据媒体报道，SilaTechnologies和AngstronMaterials等创业公司开发出一种新的锂硅电池技术（技术已成熟至接近投产），在未来短短几年内，可以让手机、汽车、智能手表电池的电量增加30%甚至更多。点评：新技术的核心在于利用硅材料制造负极，与目前采用石墨为材料制成的负极相比，可以存储更多电量。SilaTechnologies已经生产出了原型产品，通过利用硅和石墨纳米微粒解决了硅阳极使用寿命短的问题。硅碳负极逐步成为产业关注焦点，国外企业率先实现硅碳负极材料量产，目前国内企业也已布局硅碳负极材料。关注相关上市公司：中国宝安（000009）、杉杉股份（600884）、国轩高科（002074）、比亚迪（002594）等,,,,,0,0,0,2018-03-20 00:12,iPhone 8 Plus,,,
3966629761139688,DrXlm4Mu4,3738228137,金牌分析师--苏蕊,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报...O关注：455263410验证001,,,,,0,0,0,2016-04-21 09:21,微博 weibo.com,,,
3966629622179602,DrXl8990S,3760079687,陈阳-短期收益百分之三十,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,1,2016-04-21 09:21,微博 weibo.com,,,
3966629534087301,DrXkZh9id,5803510914,首席分析师--刘博,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半...O关注：455263410LB,,,,,0,0,0,2016-04-21 09:20,微博 weibo.com,,,
3966629433410426,DrXkPejcS,5793212900,运筹帷幄-问道,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,0,2016-04-21 09:20,微博桌面,,,
3966629353707769,DrXkHfyyJ,3738228137,金牌分析师--苏蕊,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报...O关注：455263410验证001,,,,,0,0,0,2016-04-21 09:19,微博 weibo.com,,,
3966629135574581,DrXklnocB,3149265867,财富分享-致-远,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,0,2016-04-21 09:19,搜狗高速浏览器,,,
3966628380758446,DrXj83bj0,5774719717,金融分析师许勤文,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,0,2016-04-21 09:16,微博 weibo.com,,,
3966628372369190,DrXj79WkK,5774727484,投资顾问-天琪,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增,,,,,0,0,0,2016-04-21 09:16,微博 weibo.com,,,
3966627932367553,DrXip9VUl,5803627069,黑狼-02,【20160421今日导读】>国常会部署交通基础设施扶贫钢市前景持续向好>中国首个区块链联盟成立技术发展将获有力推动>扬子新材被永达汽车借壳兰州黄河变身民营房企>申科股份收购数字营销公司云海金属半年报暴增【20160421热点关注】……,,,,,0,0,0,2016-04-21 09:14,360安全平台,['http://ww2.sinaimg.cn/large/006kLqwdjw1f3421c72mdj30c80bk0u7.jpg'],,
