id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4201482477151799,G0Cz5u0vB,6059324074,龙头泰山论市,2、云计算：三五互联、常山北明、长亮科技3、年报预增：兴化股份、正虹科技4、超跌+扶贫：哈高科、永吉股份5、超跌：千山药机、成飞集成,,,,,0,0,0,2018-01-29 11:02,360安全浏览器,,,
4201453188378724,G0BNQz9GI,5986452812,游资小不懂之路,盘中主要热点题材云计算：三五互联、常山北明、长亮科技年报预增：兴化股份、正虹科技超跌+扶贫：哈高科、永吉股份超跌：千山药机、成飞集成次新+区块链：宣亚国际老次新+医药：海辰药业粤港澳+地产：世荣兆业重组+填权：北特科技盐湖提锂：蓝晓科技股权转让：蓝色光标雄安：红墙股份次新：翔港科技,,,,,0,0,0,2018-01-29 09:06,微博 weibo.com,,,
4188748269129679,FBeKmCj2T,1819047325,财富路上的投资顾问,#全国股票开户##合肥身边大事件##合肥爆料##期货##期货开户手续费在交易所加1毛的红包##合肥身边交流##东方红产品##股票##股指暴跌##收盘说说##国债逆回购##合肥身边事儿#从空间、时间、成交、换手看，这轮调整接近尾声——这是两届新财富最佳策略荀玉根的最新判断。天风策略、光大策略也说，短期不妨更乐观一些！中央经济工作会议刚定了调，市场不确定性降低。证监会刚开了会，布置明年工作，全力维护资本市场稳定运行排第一位，对股市来说是好消息。2018年市场风格上，几家大卖方都看上了成长股，安信中期战略看多创业板指，海通觉得全年是价值龙头（上证50）携手成长龙头（中证500），天风力推中证500。海通觉得上半年要重视金融股，估值低。天风策略建议大家拿出部分仓位参与跨年大主题，卖方常叫的名字是“春节躁动”，主要偏主题，和基本面没啥关系。逻辑是年初资金利率通常会回落，经济数据和业绩的空窗期，资金会趁着去炒国家政策力挺、符合发展方向的产业主题，这回重点关注先进制造和通胀。炒先进制造政治正确，包括工业环保、5G、芯片、机械自动化、新能源车、一带一路等。年初通胀是全年高点，农业一号文件也快出了。上周五光伏和燃气板块表现最强。光伏补贴下调幅度比预期小，市场当利好炒了，光伏当前业绩好，又有扶贫、环保加持，卖方也吹了很久。天然气主要是游资炒作，北方煤改气整得全国多地气荒，天然气价格大涨，游资们借着舆论去炒作涨价概念。不过认真论起来，炒涨价逻辑并不顺，燃气公司主要是收管道费，气源在中石油中石化手里。三连板的贵州燃气（次新），按照惯例发了个公告提示风险，再继续往上搞的话，有特停风险。大笔解禁、减持都是雷，尤其高市盈、业绩烂的垃圾股，万万不能碰。又有几家出了减持计划，涉及吉艾科技、华菱星马、闽发铝业等。接下来大笔解禁的有：永吉股份、瀚蓝环境、数字认证、丽鹏股份、比音勒芬、金卡智能、兴化股份、茂业通信、博通股份、宇通客车、海宁皮城、杭叉集团、德尔未来、元祖股份、英飞特、弘亚数控、高能环境、渤海活塞、富临精工、国信证券、三七互娱、柘中股份、华讯方舟等。,,合肥·太湖路,,"全国股票开户,合肥身边大事件,合肥爆料,期货,期货开户手续费在交易所加1毛的红包,合肥身边交流,东方红产品,股票,股指暴跌,收盘说说,国债逆回购,合肥身边事儿",0,0,0,2017-12-25 07:41,小米6 拍人更美,"['http://ww2.sinaimg.cn/large/6c6c759dly1fmso7apyz7j20qo1beh0k.jpg', 'http://ww3.sinaimg.cn/large/6c6c759dly1fmso7be14yj20fx0ry42y.jpg', 'http://ww2.sinaimg.cn/large/6c6c759dly1fmso7cre4lj20fx2swwuo.jpg', 'http://ww2.sinaimg.cn/large/6c6c759dly1fmso7daecuj20ap0h33zw.jpg', 'http://ww2.sinaimg.cn/large/6c6c759dly1fmso7dp8p2j209709u0ta.jpg', 'http://ww1.sinaimg.cn/large/6c6c759dly1fmso7e18rej20b204et8z.jpg']",,
4172934710929828,FuBmD3TTe,5799957440,黑马王炒股,化肥价格持续上涨有缘故！精准扶贫送化肥，支援了秋播生产，确保来年粮食增收。四季度是化肥商采购的传统旺季，国内环保督查的持续进行，开工受限下供给短期将持续，因此对于具备产业链一体化优势、环保执行到位的企业来说将长期受益。002749国光股份，000830鲁西化工，600096云天化，002109兴化股份,,,,,0,0,0,2017-11-11 16:23,微博 weibo.com,['http://ww2.sinaimg.cn/large/006kw1SEly1fle81jmg9dj30dw09ktai.jpg'],,
4201482477151799,G0Cz5u0vB,6059324074,龙头泰山论市,2、云计算：三五互联、常山北明、长亮科技3、年报预增：兴化股份、正虹科技4、超跌+扶贫：哈高科、永吉股份5、超跌：千山药机、成飞集成,,,,,0,0,0,2018-01-29 11:02,360安全浏览器,,,
4201453188378724,G0BNQz9GI,5986452812,游资小不懂之路,盘中主要热点题材云计算：三五互联、常山北明、长亮科技年报预增：兴化股份、正虹科技超跌+扶贫：哈高科、永吉股份超跌：千山药机、成飞集成次新+区块链：宣亚国际老次新+医药：海辰药业粤港澳+地产：世荣兆业重组+填权：北特科技盐湖提锂：蓝晓科技股权转让：蓝色光标雄安：红墙股份次新：翔港科技,,,,,0,0,0,2018-01-29 09:06,微博 weibo.com,,,
4188748269129679,FBeKmCj2T,1819047325,财富路上的投资顾问,#全国股票开户##合肥身边大事件##合肥爆料##期货##期货开户手续费在交易所加1毛的红包##合肥身边交流##东方红产品##股票##股指暴跌##收盘说说##国债逆回购##合肥身边事儿#从空间、时间、成交、换手看，这轮调整接近尾声——这是两届新财富最佳策略荀玉根的最新判断。天风策略、光大策略也说，短期不妨更乐观一些！中央经济工作会议刚定了调，市场不确定性降低。证监会刚开了会，布置明年工作，全力维护资本市场稳定运行排第一位，对股市来说是好消息。2018年市场风格上，几家大卖方都看上了成长股，安信中期战略看多创业板指，海通觉得全年是价值龙头（上证50）携手成长龙头（中证500），天风力推中证500。海通觉得上半年要重视金融股，估值低。天风策略建议大家拿出部分仓位参与跨年大主题，卖方常叫的名字是“春节躁动”，主要偏主题，和基本面没啥关系。逻辑是年初资金利率通常会回落，经济数据和业绩的空窗期，资金会趁着去炒国家政策力挺、符合发展方向的产业主题，这回重点关注先进制造和通胀。炒先进制造政治正确，包括工业环保、5G、芯片、机械自动化、新能源车、一带一路等。年初通胀是全年高点，农业一号文件也快出了。上周五光伏和燃气板块表现最强。光伏补贴下调幅度比预期小，市场当利好炒了，光伏当前业绩好，又有扶贫、环保加持，卖方也吹了很久。天然气主要是游资炒作，北方煤改气整得全国多地气荒，天然气价格大涨，游资们借着舆论去炒作涨价概念。不过认真论起来，炒涨价逻辑并不顺，燃气公司主要是收管道费，气源在中石油中石化手里。三连板的贵州燃气（次新），按照惯例发了个公告提示风险，再继续往上搞的话，有特停风险。大笔解禁、减持都是雷，尤其高市盈、业绩烂的垃圾股，万万不能碰。又有几家出了减持计划，涉及吉艾科技、华菱星马、闽发铝业等。接下来大笔解禁的有：永吉股份、瀚蓝环境、数字认证、丽鹏股份、比音勒芬、金卡智能、兴化股份、茂业通信、博通股份、宇通客车、海宁皮城、杭叉集团、德尔未来、元祖股份、英飞特、弘亚数控、高能环境、渤海活塞、富临精工、国信证券、三七互娱、柘中股份、华讯方舟等。,,合肥·太湖路,,"全国股票开户,合肥身边大事件,合肥爆料,期货,期货开户手续费在交易所加1毛的红包,合肥身边交流,东方红产品,股票,股指暴跌,收盘说说,国债逆回购,合肥身边事儿",0,0,0,2017-12-25 07:41,小米6 拍人更美,"['http://ww2.sinaimg.cn/large/6c6c759dly1fmso7apyz7j20qo1beh0k.jpg', 'http://ww2.sinaimg.cn/large/6c6c759dly1fmso7be14yj20fx0ry42y.jpg', 'http://ww3.sinaimg.cn/large/6c6c759dly1fmso7cre4lj20fx2swwuo.jpg', 'http://ww3.sinaimg.cn/large/6c6c759dly1fmso7daecuj20ap0h33zw.jpg', 'http://ww4.sinaimg.cn/large/6c6c759dly1fmso7dp8p2j209709u0ta.jpg', 'http://ww1.sinaimg.cn/large/6c6c759dly1fmso7e18rej20b204et8z.jpg']",,
4172934710929828,FuBmD3TTe,5799957440,黑马王炒股,化肥价格持续上涨有缘故！精准扶贫送化肥，支援了秋播生产，确保来年粮食增收。四季度是化肥商采购的传统旺季，国内环保督查的持续进行，开工受限下供给短期将持续，因此对于具备产业链一体化优势、环保执行到位的企业来说将长期受益。002749国光股份，000830鲁西化工，600096云天化，002109兴化股份,,,,,0,0,0,2017-11-11 16:23,微博 weibo.com,['http://ww3.sinaimg.cn/large/006kw1SEly1fle81jmg9dj30dw09ktai.jpg'],,
4201482477151799,G0Cz5u0vB,6059324074,龙头泰山论市,2、云计算：三五互联、常山北明、长亮科技3、年报预增：兴化股份、正虹科技4、超跌+扶贫：哈高科、永吉股份5、超跌：千山药机、成飞集成,,,,,0,0,0,2018-01-29 11:02,360安全浏览器,,,
4201453188378724,G0BNQz9GI,5986452812,游资小不懂之路,盘中主要热点题材云计算：三五互联、常山北明、长亮科技年报预增：兴化股份、正虹科技超跌+扶贫：哈高科、永吉股份超跌：千山药机、成飞集成次新+区块链：宣亚国际老次新+医药：海辰药业粤港澳+地产：世荣兆业重组+填权：北特科技盐湖提锂：蓝晓科技股权转让：蓝色光标雄安：红墙股份次新：翔港科技,,,,,0,0,0,2018-01-29 09:06,微博 weibo.com,,,
