id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4018813727237654,E7TqIumQm,5128318586,投资经理王老师,9月12日财经早餐A、证监会发布修改上市公司重大资产重组管理办法，为炒壳降温B、证监会发扶贫意见，592个贫困县IPO免除排队C、全球股市突遇黑色星期五，A股谨防中秋劫1、航天军工领域事件不断，板块关注度持续提升军工：际华集团、北化股份、烽火电子；2、9月13日将是万达商业H股最后交易日万达：新华联、宝钢包装、国中水务；3、首个海绵城市PPP项目落地海绵城市：巴安水务、新界泵业、青龙管业。,,,,,0,0,0,2016-09-12 09:22,360安全浏览器,,,
4018813253478735,E7TpXeAYD,3888747729,赢在天时,#中资股市汇#9月12日中资财经早餐A、证监会发布修改上市公司重大资产重组管理办法，为炒壳降温B、证监会发扶贫意见，592个贫困县IPO免除排队C、全球股市突遇黑色星期五，A股谨防中秋劫1、航天军工领域事件不断，板块关注度持续提升军工：际华集团、北化股份、烽火电子；2、9月13日将是万达商业H股最后交易日万达：新华联、宝钢包装、国中水务；3、首个海绵城市PPP项目落地海绵城市：巴安水务、新界泵业、青龙管业,,,,中资股市汇,0,0,0,2016-09-12 09:20,搜狗高速浏览器,,,
4018812787705557,E7Tpcwkzb,5308717316,贵妃--谈股,财经早餐A、证监会发布修改上市公司重大资产重组管理办法，为炒壳降温B、证监会发扶贫意见，592个贫困县IPO免除排队C、全球股市突遇黑色星期五，A股谨防中秋劫1、航天军工领域事件不断，板块关注度持续提升军工：际华集团、北化股份、烽火电子；2、9月13日将是万达商业H股最后交易日万达：新华联、宝钢包装、国中水务；3、首个海绵城市PPP项目落地海绵城市：巴安水务、新界泵业、青龙管业。,,,,,0,0,0,2016-09-12 09:18,搜狗高速浏览器,,,
4018812652691530,E7ToZbibM,5774332206,时尙男装,9月12日财经早餐A、证监会发布修改上市公司重大资产重组管理办法，为炒壳降温B、证监会发扶贫意见，592个贫困县IPO免除排队C、全球股市突遇黑色星期五，A股谨防中秋劫1、航天军工领域事件不断，板块关注度持续提升军工：际华集团、北化股份、烽火电子；2、 9月13日将是万达商业H股最后交易日万达：新华联、宝钢包装、国中水务；3、首个海绵城市PPP项目落地海绵城市：巴安水务、新界泵业、青龙管业。,,,,,0,0,0,2016-09-12 09:17,微博 weibo.com,,,
4018809029549992,E7Tj8E4o8,5139514281,_阿九1999,9月12日财经早餐A、证监会发布修改上市公司重大资产重组管理办法，为炒壳降温B、证监会发扶贫意见，592个贫困县IPO免除排队C、全球股市突遇黑色星期五，A股谨防中秋劫1、航天军工领域事件不断，板块关注度持续提升军工：际华集团、北化股份、烽火电子；2、9月13日将是万达商业H股最后交易日万达：新华联、宝钢包装、国中水务；3、首个海绵城市PPP项目落地海绵城市：巴安水务、新界泵业、青龙管业。,,,,,0,0,0,2016-09-12 09:03,360安全浏览器,,,
4018808534214902,E7TilhGui,5091991650,首席分析师--元亨,9月12日中资财经早餐A、证监会发布修改上市公司重大资产重组管理办法，为炒壳降温B、证监会发扶贫意见，592个贫困县IPO免除排队C、全球股市突遇黑色星期五，A股谨防中秋劫1、航天军工领域事件不断，板块关注度持续提升军工：际华集团、北化股份、烽火电子；2、9月13日将是万达商业H股最后交易日万达：新华联、宝钢包装、国中水务；3、首个海绵城市PPP项目落地海绵城市：巴安水务、新界泵业、青龙管业。,,,,,0,0,0,2016-09-12 09:01,微博 weibo.com,,,
4018808349675159,E7Ti2EAWX,5549981088,畅游股海-VIP张伊,9月12日中资财经早餐A、证监会发布修改上市公司重大资产重组管理办法，为炒壳降温B、证监会发扶贫意见，592个贫困县IPO免除排队C、全球股市突遇黑色星期五，A股谨防中秋劫1、航天军工领域事件不断，板块关注度持续提升军工：际华集团、北化股份、烽火电子；2、9月13日将是万达商业H股最后交易日万达：新华联、宝钢包装、国中水务；3、首个海绵城市PPP项目落地海绵城市：巴安水务、新界泵业、青龙管业,,,,,0,0,0,2016-09-12 09:00,微博 weibo.com,,,
4018807935116098,E7ThnlsVI,5803450193,泽丰706,9月12日中资财经早餐A、证监会发布修改上市公司重大资产重组管理办法，为炒壳降温B、证监会发扶贫意见，592个贫困县IPO免除排队C、全球股市突遇黑色星期五，A股谨防中秋劫1、航天军工领域事件不断，板块关注度持续提升军工：际华集团、北化股份、烽火电子；2、9月13日将是万达商业H股最后交易日万达：新华联、宝钢包装、国中水务；3、首个海绵城市PPP项目落地海绵城市：巴安水务、新界泵业、青龙管业。,,,,,0,0,0,2016-09-12 08:59,微博 weibo.com,,,
4018807897016050,E7Thjtrc6,3769717570,佳艺1706,9月12日财经早餐A、证监会发布修改上市公司重大资产重组管理办法，为炒壳降温B、证监会发扶贫意见，592个贫困县IPO免除排队C、全球股市突遇黑色星期五，A股谨防中秋劫1、航天军工领域事件不断，板块关注度持续提升军工：际华集团、北化股份、烽火电子；2、 9月13日将是万达商业H股最后交易日万达：新华联、宝钢包装、国中水务；3、首个海绵城市PPP项目落地海绵城市：巴安水务、新界泵业、青龙管业。,,,,,0,0,0,2016-09-12 08:58,360安全浏览器,,,
4018807871111821,E7Thh4FeB,5141700367,刘韶贵,9月12日财经早餐A、证监会发布修改上市公司重大资产重组管理办法，为炒壳降温B、证监会发扶贫意见，592个贫困县IPO免除排队C、全球股市突遇黑色星期五，A股谨防中秋劫1、航天军工领域事件不断，板块关注度持续提升军工：际华集团、北化股份、烽火电子；2、 9月13日将是万达商业H股最后交易日万达：新华联、宝钢包装、国中水务；3、首个海绵城市PPP项目落地海绵城市：巴安水务、新界泵业、青龙管业。,,,,,0,0,0,2016-09-12 08:58,360安全浏览器,,,
