id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4278288069124126,GwQD4ChBk,5133980862,益盟好股,#板块机会##周三股市#★地方基建项目将迎井喷期关注5只大基建股“从8-10月，将会是专项债券发行的高峰期。”兴业银行首席经济学家鲁政委对媒体记者表示，专项债券的发行高峰将助推地方基建项目迎来井喷期。未来一段时间，基建项目将再次成为中国经济发展的重要驱动力。利好工程建筑板块。点评：目前，专项债募资多用于市政建设、交通运输、安居工程、生态环保、乡村振兴等基础设施建设和公共服务领域。专项债募集资金可用于公益性项目支出，但并不需要规定具体项目。我们通过梳理今年已发专项债披露文件中的募资投向，发现募集资金多用于市政建设、交通运输、保障性住房建设安居工程等基础设施建设领域，也用于乡村振兴、扶贫和生态环保等三大攻坚战有关项目。工程建筑相关个股：002302西部建设、002307北新路桥、300284苏交科、601186中国铁建、601800中国交建,,,,"板块机会,周三股市",0,0,0,2018-08-29 09:40,微博 weibo.com,,,
4278285368455991,GwQyIztMX,5860511078,-博股通今,地方基建项目将迎井喷期点评：目前，专项债募资多用于市政建设、交通运输、安居工程、生态环保、乡村振兴等基础设施建设和公共服务领域。专项债募集资金可用于公益性项目支出，但并不需要规定具体项目。我们通过梳理今年已发专项债披露文件中的募资投向，发现募集资金多用于市政建设、交通运输、保障性住房建设安居工程等基础设施建设领域，也用于乡村振兴、扶贫和生态环保等三大攻坚战有关项目。关注5只大基建股：002302西部建设、002307北新路桥、300284苏交科、601186中国铁建、601800中国交建上证指数sh000001,,,,,0,0,0,2018-08-29 09:29,微博股票,,,
4278283631844991,GwQvV7JXV,6064346144,股点秋香,地方基建项目将迎井喷期点评：目前，专项债募资多用于市政建设、交通运输、安居工程、生态环保、乡村振兴等基础设施建设和公共服务领域。专项债募集资金可用于公益性项目支出，但并不需要规定具体项目。我们通过梳理今年已发专项债披露文件中的募资投向，发现募集资金多用于市政建设、交通运输、保障性住房建设安居工程等基础设施建设领域，也用于乡村振兴、扶贫和生态环保等三大攻坚战有关项目。关注5只大基建股：002302西部建设、002307北新路桥、300284苏交科、601186中国铁建、601800中国交建,,,,,0,0,0,2018-08-29 09:22,微博 weibo.com,,,
4278277625359274,GwQmemubU,5774844884,大吉大利-老王,地方基建项目将迎井喷期点评：目前，专项债募资多用于市政建设、交通运输、安居工程、生态环保、乡村振兴等基础设施建设和公共服务领域。专项债募集资金可用于公益性项目支出，但并不需要规定具体项目。我们通过梳理今年已发专项债披露文件中的募资投向，发现募集资金多用于市政建设、交通运输、保障性住房建设安居工程等基础设施建设领域，也用于乡村振兴、扶贫和生态环保等三大攻坚战有关项目。关注5只大基建股：002302西部建设、002307北新路桥、300284苏交科、601186中国铁建、601800中国交建,,,,,0,0,0,2018-08-29 08:58,微博 weibo.com,,,
4275747625497074,GvMxAn42u,2088544275,xiaoshandajiang,发表了博文《深交所将为自治区量身定做资本市场专项服务方案、提供一揽子综合服务》深交所将继续加大精准扶贫工作力度，持续对口服务麦盖提县如期脱贫。关注西部建设、北新路桥等。O深交所将为自治区量身定做资本市场专项服务方案、提供一揽子综合服务,,,,,0,0,0,2018-08-22 09:25,新浪博客,,,
4275745130151562,GvMtz0Dqy,2503951265,墨君子看股,【题材预期】深交所21日与新疆维吾尔自治区签署战略合作协议，深交所将为自治区量身定做资本市场专项服务方案、提供一揽子综合服务。通过拟上市企业培育、固定收益产品发展、上市公司监管等方面的合作，运用IPO、再融资、并购重组、地方债、公司债、ABS等资本市场融资工具，支持新疆企业做大做强，实现区域经济高质量发展。同时，深交所将继续加大精准扶贫工作力度，持续对口服务麦盖提县如期脱贫。此前强调，加快改革创新、补上民生短板，在推动西部开发开放中促进经济发展升级。商务部部长钟山表示，要加大西部开发的力度，中西部地区外贸发展的潜力很大，要培育一批国际竞争力强的龙头企业。西部建设（002302）控股股东为中建新疆建工(集团)，公司是全国规模最大，技术实力最强且全国布局的专业商品混凝土上市公司。北新路桥（002307）控股股东为新疆生产建设兵团建设工程(集团)，公司加速从单一的工程施工，向设计施工总承包、技术研发、勘察设计等工程全产业链转型升级。,,,,,0,0,0,2018-08-22 09:15,财经大V频道超话,,,
4275737643100006,GvMhud0s6,2631431942,和远898,深交所21日与新疆维吾尔自治区签署战略合作协议，深交所将为自治区量身定做资本市场专项服务方案、提供一揽子综合服务。通过拟上市企业培育、固定收益产品发展、上市公司监管等方面的合作，运用IPO、再融资、并购重组、地方债、公司债、ABS等资本市场融资工具，支持新疆企业做大做强，实现区域经济高质量发展。同时，深交所将继续加大精准扶贫工作力度，持续对口服务麦盖提县如期脱贫。公司方面，西部建设（002302）控股股东为中建新疆建工(集团)，公司是全国规模最大，技术实力最强且全国布局的专业商品混凝土上市公司。北新路桥（002307）控股股东为新疆生产建设兵团建设工程(集团)，公司加速从单一的工程施工，向设计施工总承包、技术研发、勘察设计等工程全产业链转型升级。,,,,,0,0,0,2018-08-22 08:45,微博 weibo.com,"['http://ww4.sinaimg.cn/large/9cd87706ly1fui6rw2lgoj21bl0l8ad0.jpg', 'http://ww1.sinaimg.cn/large/9cd87706ly1fui6shy9ncj21b80ldwhh.jpg']",,
4268497104535872,GsJVcj1Ze,3131005641,深泉论股,今日策略：指数全线破位，从规避风险角度来讲，应谨慎参与。目前资金集中在基建、国改、进口博览会、次新、超跌，多线共存，关注谁能真正走出来。目前基建/国改占上风，但属于老题材新提法，进博会属于新概念，次新为情绪龙头叠加超跌压抑释放，超跌为弱市常规避险。激进的关注核心龙头，稳健的可适当观望。市场前排品种：1、基建：建研院、北新路桥、成都路桥。2、国改：西部创业、岳阳兴长（是否弱转强）、上海凤凰（叠加进博会）、天津松江。3、进博会：东方创业、飞力达、密尔克卫、彤程新材。4、次新：东方环宇、明德生物、密尔克卫、芯能科技。5、超跌：精工科技（技术革新）、永吉股份（贵州扶贫）、中电电机（高送）6、其他：汤臣倍健（趋势新龙+复牌+机构大买）,,,,,0,0,1,2018-08-02 09:14,微博 weibo.com,['http://ww1.sinaimg.cn/large/ba9f5ac9gy1ftv38cs5m4j20i70rf40k.jpg'],,
4217400738475987,G7iFHzyZt,5872759438,遗风股道,简单回顾下昨日市场的盘面近期暴热的工业互联网、独角兽、次新股和雄安个股大跌，如小米概念股普路通跌停，云从科技概念股佳都股份逼近跌停，蚂蚁金服概念股合肥城建大跌近8%，富士康概念股安彩高科大跌近8%，雄安的中设股份大跌近8%，前次新人气股南京聚隆跌6%以上，工业互联网二龙头东土科技跌幅近6%；盘面资金试图从低位板块中突破，一度拉升了软件股中国软件、新疆扶贫方向的北新路桥、水路港口的南京港，结果纷纷炸板，使得整个板块冲高回落！昨天市场整体处于弱势调整，炒作凌乱的格局！#大盘##创业板#,,,,"大盘,创业板",0,0,0,2018-03-14 09:15,搜狗高速浏览器,,,
4217400624715303,G7iFwjMFh,6452632129,个股期权-小小二,简单回顾下昨日市场的盘面近期暴热的工业互联网、独角兽、次新股和雄安个股大跌，如小米概念股普路通跌停，云从科技概念股佳都股份逼近跌停，蚂蚁金服概念股合肥城建大跌近8%，富士康概念股安彩高科大跌近8%，雄安的中设股份大跌近8%，前次新人气股南京聚隆跌6%以上，工业互联网二龙头东土科技跌幅近6%；盘面资金试图从低位板块中突破，一度拉升了软件股中国软件、新疆扶贫方向的北新路桥、水路港口的南京港，结果纷纷炸板，使得整个板块冲高回落！昨天市场整体处于弱势调整，炒作凌乱的格局,,,,,0,0,0,2018-03-14 09:15,微博 weibo.com,,,
