id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4496499368551526,IEuo8zSDQ,1950292293,莲子豆豆,#兴趣话题词#股市财经#今日看盘#电商板块表现火爆，农产品、芭田股份sz002170、大北农、供销大集、德生科技涨停，云图控股、友阿股份、华英农业纷纷拉升。电商在助农方面的作用，在新冠肺炎疫情期间表现得尤为明显。高层精准点评电商新业态，扶贫兴农大有可为。,,,,"兴趣话题词,今日看盘",1,16,1,2020-04-22 13:14,微博 weibo.com,,,
4444952765392600,IiRqsmCRq,2242933847,枫舞意浓,【个股消息】中兴商业：拟对子公司盛东商贸增资及由其设立合资公司实施精准扶贫项目华英农业：拟不超9.9亿元增资并控股宝昌置业及辰盛置业顺络电子：拟与员工持股平台、新余霞蔚设立深圳顺络汽车电子公司宝钢包装：拟设立销售分公司金力泰：电泳涂料(产品型号EcoTa8500)通过上汽大众实验室测评,,,,,0,0,0,2019-12-02 07:26,360安全浏览器,,,
4376571743779330,Hw7YOfRaW,5253672399,开心持股·,华英农业据说并表的独资子公司都是亏损的，和人合资的公司别人都是赚钱的，合资公司的老板都是高管的亲戚朋友吗？到底是扶贫还是侵吞国有资产利润，你相信那些狗东西会真心扶贫，不嫌贫就谢天谢地吧？河南股，呵呵！,,,,,0,0,1,2019-05-27 14:44,微博 weibo.com,,,
4376517260174875,Hw6yW0Juz,5253672399,开心持股·,不过要是以后鸡太猛的话，说不定这个垃圾还能补补涨。炒业绩肯定不行，只能炒猪肉替代的概念，还得有资金认可。@跑跑哥华英农业据说并表的独资子公司都是亏损的，和人合资的公司别人都是赚钱的，合资公司的老板都是高管的亲戚朋友吗？到底是扶贫还是侵吞国有资产利润，你相信那些狗东西会真心扶贫，不嫌贫就谢天谢地吧？河南股，呵呵！,,,跑跑哥,,0,0,0,2019-05-27 11:08,微博 weibo.com,,,
4268571590876791,GsLRl3G5N,2159765687,开封日报,#开封身边事#【开封制定专项举措，以“六业”为主导，推动产业扶贫大提速】记者8月1日从市扶贫办获悉，为促进产业扶贫大提速，我市日前制定了《开封市加快推进产业扶贫实施意见》，强调全市各县区要按照打赢脱贫攻坚战三年行动计划的要求，紧紧抓住产业扶贫这个根本，选准培育龙头企业，引导引领贫困户大力发展产业，构建贫困户与新型农业经营主体、种养大户、龙头企业的利益联结机制，让产业扶贫带动精准到村到户。意见提出，我市产业扶贫要遵循“因地制宜、精准施策，龙头带动、能人引领，政府引导、贫困户参与，市场导向、效益优先”的原则，各县区要从区位优势、资源禀赋、产业基础、扶持政策、环境保护、带贫能力等方面综合考量，突出发展特色农产品产业、绿色养殖业、扶贫车间、电商流通产业、旅游扶贫产业、定向转移就业“六业扶贫”项目，真正变“输血”为“造血”，让贫困群众彻底拔掉“穷根”。为了给“六业”项目提供健康发展的动力和源泉，意见要求，要积极完善各项帮扶措施，包括加大培训服务力度、坚持市场导向、完善物流配送体系、加快品牌创新、推进一二三产融合等。意见强调，要坚定不移地发挥龙头企业带动引领作用。把发挥龙头企业的示范引领作用放在首位，紧密结合农业供给侧结构性改革，培育壮大龙头企业，打造规模化、专业化、组织化程度高的支柱产业。市县要在政策、资金、土地等方面给予支持。意见最后强调，一定要把产业扶贫作为我市打好打赢脱贫攻坚战重中之重的任务来抓。承担扶贫任务的县区要围绕“六业”和“五大重点”，在每个方面选择1～2家龙头企业进行合作，每个乡镇要有龙头企业带贫项目，每个贫困村要有龙头企业带贫项目辐射带动，每个贫困户都要通过产业项目实现增收。市发改、农林、畜牧、旅游、妇联、商务、工信、扶贫、工商联等相关部门，要对全市产业扶贫工作进行指导和统筹协调，定期研究产业扶贫工作，分析存在的困难和问题，拿出切实可行的办法，确保产业扶贫精准到村到户，确保贫困户都有产业增收措施和受益项目。市政协负责产业扶贫的督导工作，各县区也要加强督导、指导和协调。产业发展一定要突出贫困户参与，从产、供、销等环节，把贫困户紧密联结在产业发展的各个链条上，不断提高自我发展能力，激发贫困户内生动力。同时，强化绩效考核，市、县、乡三级党委、政府要把产业扶贫作为扶贫工作考核的重要内容，把产业发展的成效作为第一书记、驻村队员及帮扶单位帮扶工作考核的重要内容，每年都要对产业到村到户情况进行一次全面排查并组织观摩活动。据悉，在意见制定过程中，具有2000多年大蒜种植历史的杞县已率先探索“全链条”产业扶贫，实施了良种、信息、冷链调峰、精深加工、服务培训、社会力量“六个对接”和风险保障、融资扶持、科技下乡、线上线下、一二三产融合、品牌创新“六个打通”，确保每个环节都有贫困户直接或间接参与收益，效果良好。目前，我市已经形成了兰考县构树、兰考县蜜瓜、杞县大蒜、祥符区万寿菊、祥符区电商等一批特色产业，培育壮大了禾丰牧业、牧原集团、华英农业、优德医药等一批龙头企业，产业扶贫正在向精准“滴灌”到村到户发展。（全媒体记者张仲鹏焦宇炜）,,,,开封身边事,1,0,1,2018-08-02 14:10,360安全浏览器,['http://ww1.sinaimg.cn/large/80bb68b7ly1ftvbsae0qgj20hs0bv48f.jpg'],,
4268530004612714,GsKMgjlYC,2685098751,杞县宣传,#我市制定专项举措以“六业”为主导　推动产业扶贫大提速#记者昨日从市扶贫办获悉，为促进产业扶贫大提速，我市日前制定了《开封市加快推进产业扶贫实施意见》，强调全市各县区要按照打赢脱贫攻坚战三年行动计划的要求，紧紧抓住产业扶贫这个根本，选准培育龙头企业，引导引领贫困户大力发展产业，构建贫困户与新型农业经营主体、种养大户、龙头企业的利益联结机制，让产业扶贫带动精准到村到户。意见提出，我市产业扶贫要遵循“因地制宜、精准施策，龙头带动、能人引领，政府引导、贫困户参与，市场导向、效益优先”的原则，各县区要从区位优势、资源禀赋、产业基础、扶持政策、环境保护、带贫能力等方面综合考量，突出发展特色农产品产业、绿色养殖业、扶贫车间、电商流通产业、旅游扶贫产业、定向转移就业“六业扶贫”项目，真正变“输血”为“造血”，让贫困群众彻底拔掉“穷根”。为了给“六业”项目提供健康发展的动力和源泉，意见要求，要积极完善各项帮扶措施，包括加大培训服务力度、坚持市场导向、完善物流配送体系、加快品牌创新、推进一二三产融合等。意见强调，要坚定不移地发挥龙头企业带动引领作用。把发挥龙头企业的示范引领作用放在首位，紧密结合农业供给侧结构性改革，培育壮大龙头企业，打造规模化、专业化、组织化程度高的支柱产业。市县要在政策、资金、土地等方面给予支持。意见最后强调，一定要把产业扶贫作为我市打好打赢脱贫攻坚战重中之重的任务来抓。承担扶贫任务的县区要围绕“六业”和“五大重点”，在每个方面选择1～2家龙头企业进行合作，每个乡镇要有龙头企业带贫项目，每个贫困村要有龙头企业带贫项目辐射带动，每个贫困户都要通过产业项目实现增收。市发改、农林、畜牧、旅游、妇联、商务、工信、扶贫、工商联等相关部门，要对全市产业扶贫工作进行指导和统筹协调，定期研究产业扶贫工作，分析存在的困难和问题，拿出切实可行的办法，确保产业扶贫精准到村到户，确保贫困户都有产业增收措施和受益项目。市政协负责产业扶贫的督导工作，各县区也要加强督导、指导和协调。产业发展一定要突出贫困户参与，从产、供、销等环节，把贫困户紧密联结在产业发展的各个链条上，不断提高自我发展能力，激发贫困户内生动力。同时，强化绩效考核，市、县、乡三级党委、政府要把产业扶贫作为扶贫工作考核的重要内容，把产业发展的成效作为第一书记、驻村队员及帮扶单位帮扶工作考核的重要内容，每年都要对产业到村到户情况进行一次全面排查并组织观摩活动。据悉，在意见制定过程中，具有2000多年大蒜种植历史的杞县已率先探索“全链条”产业扶贫，实施了良种、信息、冷链调峰、精深加工、服务培训、社会力量“六个对接”和风险保障、融资扶持、科技下乡、线上线下、一二三产融合、品牌创新“六个打通”，确保每个环节都有贫困户直接或间接参与收益，效果良好。目前，我市已经形成了兰考县构树、兰考县蜜瓜、杞县大蒜、祥符区万寿菊、祥符区电商等一批特色产业，培育壮大了禾丰牧业、牧原集团、华英农业、优德医药等一批龙头企业，产业扶贫正在向精准“滴灌”到村到户发展。,,,,我市制定专项举措 以“六业”为主导　推动产业扶贫大提速,0,0,0,2018-08-02 11:25,搜狗高速浏览器,,,
4248223872713003,GkewrbnM7,6459023186,一灯社区,B头条上午播报#比特币##以太坊##区块链##币圈#据yobtc.com优比特数据上午大盘普涨比特币涨幅1.36个百分点，价格7721美元。以太坊涨幅1.06个百分点，价格615美元。据Btt.topB头条快讯上午新闻速览1、据莱特币现金（LCC）官方消息，LCC近日遭到了51%攻击，LCC团队已与交易所进行接触，并将确认区块数增加到100来防范攻击。LCC正在调查相关共识策略，以加强对抗哈希率驱动/难度操纵攻击，并可能引入PoS机制。相关保护机制很可能意味着硬分叉，LCC将加强各方沟通，以确保所有核心节点、矿池、交易所、社区及时更新。幺猫点评：量子计算机出世岂不是所有数字货币的末日？（量子计算力理论上算力超过所有经典计算机总和）2、A股开盘，区块链板块整体上涨0.27%。81只概念股中，51只上涨，19只下跌，7只平盘，4只停牌。涨幅前三为：银之杰（+5.04%），华英农业（+3.12%），高伟达（+2.15%）；跌幅前三为：光环新网（-2.61%），安妮股份（-2.27%），恺英网络（-2.08%）。3、据Coindesk分析文章，技术图表显示，比特币继续在看跌区间运行，只有突破7780美元后才可进入牛市。BTC昨日处于守势，由于突破失败和上升楔形崩溃，看起来将重新测试近期低点7040美元。熊市原因尚不清楚，但根据观察，每个月第六天BTC会走低。只要比特币的交易价格低于7780美元（6月3日高点），看跌的上涨楔形崩溃仍然有效，因此BTC仍处于看跌区间。若跌破7372美元的支撑点，下跌可能会加速。4、近日，山东省济阳县检察院以组织、领导传销活动罪批准逮捕11名犯罪嫌疑人。该案打着“西部开发”“国家扶贫”“原始股”“区块链”“电子商务”等幌子，以网上平台卖商品为掩护，疯狂进行传销，案情波及30多个省市，涉案金额3亿余元，仅山东一个省的被害人就达上万人，造成极坏社会影响。幺猫点评：以区块链、数字货币名义进行传销、诈骗的不法分子、犯罪集团一定要严厉打击！5、美国商品期货交易委员会（CFTC）的委员RostinBenham在周一在联合国举行的“区块链影响全球峰会”上发表了讲话。在演讲中，他强调了区块链在医疗、就业和犯罪等领域的重大潜力。他将数字货币称为“技术革命”。他说：数字货币可能将成为任何国家、任何地方的经济实践的一部分。让我再重复一遍：这些货币不会消失，它们会扩散到每一个经济体和地球的每一个角落。数字货币可以改变经济和社会格局。北极点评：期待看到国内政府有如此言论。能看实时行情、新闻快讯的【优比特B头条App】已正式上线公测，欢迎试用呦，传送门如下O网页链接,,,,"比特币,以太坊,区块链,币圈",0,0,0,2018-06-07 10:36,比特币超话,,,
4233692514168972,Ge8uLhuxu,2936897545,华英农业,近日，由农村农业农民杂志社、河南省绿色食品发展中心等单位联合评选的2017中原十大优秀农产品品牌、2017中原三农创新人物和2017河南产业扶贫贡献奖获奖名单公布，河南华英农业发展股份有限公司董事长曹家富荣获“2017河南产业扶贫贡献奖”。曹家富，1952年出生，中共党员，1991年起担任河南华英农业发展股份有限公司董事长。27年来，他带领华英公司从豫南一家不起眼的中外合资企业迅速完成了到世界鸭王的华丽转身，在中国养殖行业开创了“公司+基地+农户”的农业产业化发展之路，公司发挥生产、加工和销售上的技术优势，以企业为龙头，以大型养殖场为基地，把龙尾摆向千家万户，以合同为纽带，首开“订单农业”先河。把风险留在企业，将实惠让给农民，以潢川为中心，幅射带动周边县区4万农户20多万人通过养鸭脱贫致富，实现综合社会效益80亿元。目前，这种独具特色的“华英模式”已经覆盖到江西丰城、江苏徐州、山东菏泽、四川成都以及河南的淮阳、淮滨等地，有力推动了中国畜牧产业的快速发展。O富民强企业润社会曹家富荣获“2017河南产业扶贫贡献奖”,,,,,0,0,0,2018-04-28 08:13,微博 weibo.com,,,
4233067872575563,GdSfhaO1l,2936897545,华英农业,4月23日，河南省家禽业协会第五届会员代表大会在郑州召开。会议审议通过了第四届理事会工作报告，选举产生了新一届协会领导机构，省畜牧局党组成员杨文明当选名誉会长，河南省饲草饲料站站长李鹏飞当选会长，河南华英农业发展股份有限公司董事长曹家富、雏鹰农牧集团公司董事长侯建芳等当选为副会长。会上，杨文明代表省畜牧局党组对省家禽业协会第五届会员代表大会的成功召开表示祝贺，也对河南省畜牧工作进行了总结，对全省畜牧业发展提出了新的要求。讲话中，杨文明特别提到了华英公司的发展成就，指出华英公司作为河南畜牧业发展的优秀代表，自成立以来，注重产品质量，发展出口产业，产品出口量连续多年保持全国领先，成绩值得肯定，同时企业在发展中不断创新，这几年把一个小小的鸭血产业也做的风生水起，仅在每盒鸭血上就能增利0.5元以上，其成功经验值得重视。据了解，27年来，华英公司在注重自身发展的同时，积极承担社会责任，在产业扶贫和金融扶贫等方面充分发挥大企业的龙头带动作用，社会效益持续提升，企业影响力不断扩大，为河南省畜牧业的大发展做出了突出贡献，公司董事长曹家富已经连续多届当选河南省家禽业协会副会长。O网页链接,,,,,0,2,2,2018-04-26 14:51,微博 weibo.com,['http://ww1.sinaimg.cn/large/af0d8009ly1fqq28n5iwgj21kw23vnpf.jpg'],,
4220796324851055,G8J0sklYP,6362888051,天津市创业投资协会,【基金】华英农业3月21日晚公告，公司拟与南粤产城联合成立基金管理公司，公司出资800万元，占40%的股权。公司将与成立后的基金管理公司共同发起设立南粤华英农科产业基金(有限合伙)。基金规模20亿元，第一期10亿元，其中华英农业出资2亿元，南粤产城出资3亿元，其合作金融机构出资5亿元。基金主要投资于高科技农业、畜牧业、生物科技、精准扶贫等符合公司战略发展方向的项目。,,,,,0,0,0,2018-03-23 18:08,专业版微博,,,
