id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4526303242757237,Jb2gAbzhz,6501761094,司尔特sz002538,司尔特sz002538司尔特助力精准扶贫积极捐赠肥料产品，点击链接查看更多->O网页链接,,,,,1,0,0,2020-07-13 19:04,微博股票,,,
4498050795942441,IF8KroVTP,6187802874,智丽淘金,今日重磅个股利好、利空公告汇总大盘点：【重磅资讯】央行旗下金融科技研究院正批量招聘人员，参与法定数字货币研发扶贫办：直播带货是消费扶贫的重要方式在疫情期间发挥重要作用美股尾盘发力三大指数均收涨逾1%新三板历史性时刻：精选层来了下周一启动受理！“打新”中签率几乎100%【增减持】天士力：拟以1亿-2亿元回购公司股份东南网架：首次回购公司股份科力尔：首次回购公司股份华控赛格：股东拟减持不超1.61%股份【利好公告】兴业证券：2019年净利同比增1202.23%东吴证券：2019年净利同比增189%恒生电子：2019年净利同比增119%贵州轮胎：2019年净利同比增53.61%舍得酒业：2019年净利同比增49%水井坊：2019年净利同比增42.6%华夏幸福：2019年净利同比增24.4%拟10转3派15元黄山胶囊：2019年净利同比增8.8%拟10转7派0.95元思源电气：一季度净利同比增336.31%博腾股份：一季度净利同比增192%阳普医疗：一季度净利同比增143%山大华特：一季度净利同比增107.21%金雷股份：一季度净利同比增79.66%千禾味业：一季度净利同比增39.33%司尔特：一季度净利同比增41.24%*ST华源：申请撤销股票退市风险警示东方锆业：第一大股东的控股股东和实际控制人发生变更大立科技：收到2380万美元红外热成像仪器采购订单【利空公告】黄山旅游：2019年净利同比降41.6%万华化学：一季度净利同比降50.74%三钢闽光：一季度净利同比降47.62%暴风集团：无法按时披露年报股票将在5月6日停牌一天【其他公告】三爱富：证券简称拟变更为“国新文化”【停复牌】复盘：兆新股份江泉实业时代万恒ST华仪停牌：法尔胜乐通股份ST蓝科ST大化B【新股申购】无复盘不易！万水千山总是情，来个点赞行不行！,,,,,0,0,2,2020-04-26 19:59,微博 weibo.com,,,
4485639682734132,IzVSwbtgU,3551927775,抚州乐安发布,#乐安新闻##抗击疫情江西在行动#【春耕防疫两不误精准扶贫一家亲】受疫情影响，乐安县万崇镇春耕生产受到一定影响，为解决群众春耕急需肥料的燃眉之急，更好地帮助群众增产增收。3月19日，乐安县人武部购买5600斤司尔特复合肥料送到万崇镇，并举行了捐赠仪式。今年，万崇镇多名贫困户通过发展白莲、烟叶、槟榔芋等产业来增收。“庄稼一枝花，全靠肥当家”，现在正是需要施肥时，县人武部为该镇4个村28户贫困户发放优质农资，每户2袋复合肥料，给贫困户送去了温暖，带去了实惠，为贫困户脱贫攻坚打通最后一公里。“春耕生产等不得，现在正是需要化肥的时候，送来的物资真是帮了大忙，我一定发展好产业，早日奔小康。”贫困户彭天秀激动的说。（万崇镇人民政府）,,,,"乐安新闻,抗击疫情江西在行动",0,0,1,2020-03-23 14:01,红米Note7 4800万相机,"['http://ww3.sinaimg.cn/large/d3b61ddfgy1gd3tpnn23xj20m80a8tc1.jpg', 'http://ww3.sinaimg.cn/large/d3b61ddfgy1gd3tpo48ctj20m80a9q6u.jpg']",,
4455595966550120,InkiUrtZ6,2345219597,威海科技,全国暨安徽“三下乡”集中示范活动走进革命老区金寨2019-12-3113:33:05　来源:科技日报作者:吴长锋12月30日，2020年全国暨安徽省文化科技卫生“三下乡”集中示范活动在六安市金寨县白塔畈镇启动。精彩的歌舞表演、科学实用的农业种植技术、准确的扶贫政策宣传……“三下乡”活动让老区民众们在家门口畅享文化科技卫生大礼包。此次“三下乡”活动以助力脱贫攻坚、服务乡村振兴为主题。科技部和安徽省委宣传部、省发改委、省教育厅等10多个单位捐赠的资金、物品等价值超300万元。“三下乡”活动的有关资金、项目和服务等将集中向扶贫领域倾斜，把扩大有效供给、提高供给质量与对接农民需求、满足农民需要结合起来，重点解决农民群众反映强烈的突出问题。为激发学生们科学兴趣，科技部专门捐赠了一间青少年科技创新操作室和一批科普图书。科技部党组成员陆明、安徽省科技厅党组书记宛晓春等共同为金寨县白塔畈实验学校青少年科技创新操作室揭牌。“青少年科技创新操作室包括3D打印机、无人机、机器人等科技设备，为了用好这些设备、给孩子们上好科学课，还为我们安排了两名教师进行培训指导。”白塔畈实验学校校长关从胜告诉记者，青少年科技创新操作室可以很好地培养孩子们的动手能力，未来学校将增强师资力量，把操作室用好、用精，并辐射周边学校。“我们每年在全国捐赠上百个青少年科技创新实验室，对于学校来说，如果每个班级一周能上一次课，就会发挥很大的作用。”科技部引智司调研员邱成利表示，科技文化卫生都是农村最需要的资源，这些资源更多地集中在城市，通过“三下乡”活动可以满足人民群众的需求，把科技文化卫生送到田间地头、送到百姓家里、送到校园里，“这样的活动要持续做下去，做到常下乡、常在乡。”一侧是载歌载舞的文艺表演舞台，另一侧的红棚子更是热闹。文化、科技、卫生、农业等相关展台前，前来咨询、领取免费物资的村民络绎不绝。安徽科技学院农学院副教授何华奇告诉记者，他们这次带来了灵芝、金针菇、猴头菇等食用菌产品。这些产品可直接落户农家，带来经济收入，“我们培养好菌带后发放给农户，教会农户种植技术，帮助他们脱贫致富。”在相邻的展台上，安徽省司尔特肥业股份有限公司高级工程师刘艳清在为农户咨询降解科学施肥的方法。据悉，2020年“三下乡”活动将坚持农业农村优先发展总方针，对标全面建成小康社会“三农”工作必须完成的硬任务，动员和激励广大农民群众积极投身决胜全面建成小康社会、推进乡村全面振兴，开创新时代“三农”工作新局面。　　科技部党组成员陆明（左一）、安徽省科技厅党组书记宛晓春（）等共同为金寨县白塔畈实验学校青少年科技创新操作室揭牌（图一）　金寨县白塔畈实验学校的科技创新操作室里，学生们正在开展手工作业（图二）　　载歌载舞的表演舞台，文艺工作者送上一台精彩大戏（图三） 科技部党组成员陆明（前排右一）、安徽省委常委、省委宣传部长虞爱华（前排右二）巡视科技服务资讯现场（图四） 安徽农大带来的“见过采收机”专门用来采收板栗（图五）文中图片由安徽省科技厅心宣传中心提供,,,,,0,0,0,2019-12-31 16:18,专业版微博,"['http://ww3.sinaimg.cn/large/8bc9360dly1gafz858y5wj20m70etab2.jpg', 'http://ww3.sinaimg.cn/large/8bc9360dly1gafz8bml3mj20m80etdhf.jpg', 'http://ww3.sinaimg.cn/large/8bc9360dly1gafz8f0fqtj20fa0a675m.jpg', 'http://ww4.sinaimg.cn/large/8bc9360dly1gafz8htbq2j20m80etwfw.jpg', 'http://ww1.sinaimg.cn/large/8bc9360dly1gafz8kmc1qj20fa0jbtaf.jpg']",,
4309563240983283,H40MA47Np,5033516368,亳州市交通运输局,"#亳药花海休闲观光大世界项目三期交通建设工程开工建设富民路#亳药花海休闲观光大世界项目是谯城区全力打造的具有重大影响力和牵动性的重点文化旅游项目之一,在全市文化旅游业发展中具有举足轻重的地位,对沿线乡镇土地流转、种植补贴、脱贫攻坚等方面工作具有积极的促进作用，并调动花海项目内企业和村民积极性,撬动社会资本参与项目建设。谯城区交通运输局将花海大世界“四好农村路”建设作为脱贫攻坚的重要载体和抓手，通过实施“交通扶贫+”系列工程，有效带动了农村产业经济发展和贫困群众的增收致富。亳药花海休闲观光大世界项目三期交通建设工程包括杜仲路、崔程路、环乡路、枣钱路、百梅路、芍花路、司尔特路、怀柴路、15Km波形护栏、红旗沟桥，项目投资额约6500万元，计划工期100日历天。目前，区交通运输局承建的休闲观光大世界项目三期交通建设工程于11月9日确定中标单位，现施工单位已进场施工，环乡路、崔程路、杜仲路、枣前路、梅百路、芍花路等路段基槽已开挖，司尔特路因土地原因暂未施工。该局党组高度重视,全力以赴高质量推进项目建设,在确保工程质量的前提下,压缩各环节时限,加大人员投入,加班加点,交叉作业,加快建设,确保项目早建成快见效。",,,,亳药花海休闲观光大世界项目三期交通建设工程开工建设富民路,0,0,0,2018-11-23 16:56,360安全浏览器,"['http://ww3.sinaimg.cn/large/005uE7xSgy1fxi3luq2o6j31400u04qs.jpg', 'http://ww2.sinaimg.cn/large/005uE7xSgy1fxi3luyzw8j30u01hc454.jpg', 'http://ww4.sinaimg.cn/large/005uE7xSgy1fxi3lxry9sj30ci0m8dhb.jpg', 'http://ww3.sinaimg.cn/large/005uE7xSgy1fxi3m0r3y8j30ci0m8q57.jpg']",,
4036577427129804,EflxQtUMQ,5595844378,发展农业现代化,农资市场竞争激烈，多做调查才能发现市场商机O网页链接司尔特：助力精准扶贫，实现“三农”梦想O网页链接如果有人这样卖肥料给你，坚决不要买！O网页链接,,,,,2,0,0,2016-10-31 09:48,360安全浏览器,,,
3919235233405709,D84ozehYN,5776697835,股票技术裙137550236,"【人民日报：有地方为展示扶贫成绩派小学生披白塑料扮羊】在不少贫困地区仍存在着“造盆景”“垒大户”等“面子工程”。有地方,为了让上级考察时看到自己的扶贫成绩002538)司尔特(002539)新都化工",,,,,0,0,0,2015-12-12 14:32,360安全浏览器,['http://ww1.sinaimg.cn/large/006iWqZJjw1eywv25n8ghg30cc0gcwf9.jpg'],,
4526303242757237,Jb2gAbzhz,6501761094,司尔特sz002538,司尔特sz002538司尔特助力精准扶贫积极捐赠肥料产品，点击链接查看更多->O网页链接,,,,,1,0,0,2020-07-13 19:04,微博股票,,,
4498050795942441,IF8KroVTP,6187802874,智丽淘金,今日重磅个股利好、利空公告汇总大盘点：【重磅资讯】央行旗下金融科技研究院正批量招聘人员，参与法定数字货币研发扶贫办：直播带货是消费扶贫的重要方式在疫情期间发挥重要作用美股尾盘发力三大指数均收涨逾1%新三板历史性时刻：精选层来了下周一启动受理！“打新”中签率几乎100%【增减持】天士力：拟以1亿-2亿元回购公司股份东南网架：首次回购公司股份科力尔：首次回购公司股份华控赛格：股东拟减持不超1.61%股份【利好公告】兴业证券：2019年净利同比增1202.23%东吴证券：2019年净利同比增189%恒生电子：2019年净利同比增119%贵州轮胎：2019年净利同比增53.61%舍得酒业：2019年净利同比增49%水井坊：2019年净利同比增42.6%华夏幸福：2019年净利同比增24.4%拟10转3派15元黄山胶囊：2019年净利同比增8.8%拟10转7派0.95元思源电气：一季度净利同比增336.31%博腾股份：一季度净利同比增192%阳普医疗：一季度净利同比增143%山大华特：一季度净利同比增107.21%金雷股份：一季度净利同比增79.66%千禾味业：一季度净利同比增39.33%司尔特：一季度净利同比增41.24%*ST华源：申请撤销股票退市风险警示东方锆业：第一大股东的控股股东和实际控制人发生变更大立科技：收到2380万美元红外热成像仪器采购订单【利空公告】黄山旅游：2019年净利同比降41.6%万华化学：一季度净利同比降50.74%三钢闽光：一季度净利同比降47.62%暴风集团：无法按时披露年报股票将在5月6日停牌一天【其他公告】三爱富：证券简称拟变更为“国新文化”【停复牌】复盘：兆新股份江泉实业时代万恒ST华仪停牌：法尔胜乐通股份ST蓝科ST大化B【新股申购】无复盘不易！万水千山总是情，来个点赞行不行！,,,,,0,0,2,2020-04-26 19:59,微博 weibo.com,,,
4485639682734132,IzVSwbtgU,3551927775,抚州乐安发布,#乐安新闻##抗击疫情江西在行动#【春耕防疫两不误精准扶贫一家亲】受疫情影响，乐安县万崇镇春耕生产受到一定影响，为解决群众春耕急需肥料的燃眉之急，更好地帮助群众增产增收。3月19日，乐安县人武部购买5600斤司尔特复合肥料送到万崇镇，并举行了捐赠仪式。今年，万崇镇多名贫困户通过发展白莲、烟叶、槟榔芋等产业来增收。“庄稼一枝花，全靠肥当家”，现在正是需要施肥时，县人武部为该镇4个村28户贫困户发放优质农资，每户2袋复合肥料，给贫困户送去了温暖，带去了实惠，为贫困户脱贫攻坚打通最后一公里。“春耕生产等不得，现在正是需要化肥的时候，送来的物资真是帮了大忙，我一定发展好产业，早日奔小康。”贫困户彭天秀激动的说。（万崇镇人民政府）,,,,"乐安新闻,抗击疫情江西在行动",0,0,1,2020-03-23 14:01,红米Note7 4800万相机,"['http://ww3.sinaimg.cn/large/d3b61ddfgy1gd3tpnn23xj20m80a8tc1.jpg', 'http://ww3.sinaimg.cn/large/d3b61ddfgy1gd3tpo48ctj20m80a9q6u.jpg']",,
