id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4461285682997323,IpIjSczJV,1110649595,理财你莫愁,===公告精选===博迈科（603727）：全资子公司签订1.31亿美元项目合同，营收为3.97亿元。中联重科（000157）：预计2019年实现净利润43-45亿元，同比增长逾1倍。新疆天业（600075）：重组事项获证监会审核通过，公司股票1月16日复牌。云天化（600096）：子公司云峰化工增资引入央企扶贫基金，增资后，持有25.12%股权。新文化（300336）：与美腕公司及旗下艺人李佳琦战略合作。比亚迪（002594）：发行不超100亿元公司债券获证监会核准。瀚叶股份（600226）：与青岛易邦签订战略合作协议。航天晨光（600501）：中标军方某部后勤保障装备一批，共计15.18亿元，超过营收的50%。露笑科技（002617）：越南项目投产，预计能达到1200万台年生产能力。科力远（600478）：拟新建第四条电池极板生产线，总投资约4.02亿元，年产能规划约12万台套。万里扬（002434）：与博世变速器技术有限公司签署《战略合作协议》。中环股份（002129）：拟与关联方设合资公司，从事太阳能硅片开发和制造。科新机电（300092）：预计2019年净利润同比上涨542%-571%。仙坛股份（002746）：2019年净利预增136%-161%。精工钢构（600496）：2019年净利预增109%-131%。上海临港（600848）：2019年净利预增逾2倍。天喻信息（300205）：与华为云建立了合作关系，共同开拓区域智慧教育市场。吉宏股份（002803）：字节跳动是公司的客户，同时公司也是字节跳动核心代理商。,,,,,0,0,0,2020-01-16 09:07,微博 weibo.com,,,
4461251386023889,IpHqyph5v,6260483609,L守法公民,➦博迈科（603727）全资子公司签订1.31亿美元项目合同。博迈科2018年营收为3.97亿元。➦中联重科（000157）预计2019年实现净利润43-45亿元，同比增长逾1倍。➦新疆天业（600075）重组事项获证监会审核通过。公司股票1月16日复牌。➦云天化（600096）子公司云峰化工增资引入央企扶贫基金，增资后，央企扶贫基金持有云峰化工25.12%股权。➦新文化（300336）与美腕公司及旗下艺人李佳琦战略合作。➦比亚迪（002594）发行不超100亿元公司债券获证监会核准。➦瀚叶股份（600226）与青岛易邦签订战略合作协议，双方共同探讨犬用狂犬病疫苗与犬用流感疫苗产品的销售方式及推广策略。➦航天晨光（600501）中标15.18亿元重大合同➦科新机电（300092）预计2019年实现净利润4388万元至4590万元，同比增长542%至571%。➦中国天楹（000035）2019年预盈6.9亿元至7.3亿元，同比增长219%至237%。➦蓝色光标（300058）2019年预盈7亿元至7.5亿元，同比增长79.97%至92.82%。➦浙江众成（002522）2019年预盈6106万元至7902万元，同比增长70%至120%。➦喜临门（603008）预计2019年盈利3.8亿元到4.5亿元，同比将实现扭亏为盈。➦宏达股份（600331）预计2019年盈利6500万元到8500万元，同比将实现扭亏为盈。➦银河电子（002519）预计2019年盈利1.6亿元至1.76亿元，上年同期亏损11.66亿元。➦科力远（600478）拟新建第四条电池极板生产线，总投资规模约4.02亿元，年产能规划约12万台套，预计于2021年3月正式投入使用。➦万里扬（002434）与博世变速器技术有限公司签署《战略合作协议》，万里扬和博世希望合作开发一种用于电动和混合动力汽车的无级变速器，并且共同推动CVT在新能源汽车电驱化上的应用和发展。➦中环股份（002129）拟与关联方设合资公司，从事太阳能硅片开发和制造。➦仙坛股份（002746）2019年净利预增136%-161%。➦精工钢构（600496）2019年净利预增109%-131%。➦上海临港（600848）2019年净利预增逾2倍。➦天喻信息（300205）在互动平台表示，公司在区校一体化智慧教育解决方案方面与华为云建立了合作关系，共同开拓区域智慧教育市场。此外，公司与华为在基于eSIM产品的验证检测方面有业务合作。➦吉宏股份（002803）在互动平台表示，字节跳动是公司的客户，同时公司也是字节跳动核心代理商。,,,,,0,0,0,2020-01-16 06:51,,,,
4461134419330148,IpEnTD9cg,5830454847,东方巴菲特1987,【公告淘金】博迈科（603727）全资子公司签订1.31亿美元项目合同。博迈科2018年营收为3.97亿元。 中联重科（000157）预计2019年实现净利润43-45亿元，同比增长逾1倍。 新疆天业（600075）重组事项获证监会审核通过。公司股票1月16日复牌。 云天化（600096）子公司云峰化工增资引入央企扶贫基金，增资后，央企扶贫基金持有云峰化工25.12%股权。 新文化（300336）与美腕公司及旗下艺人李佳琦战略合作。 比亚迪（002594）发行不超100亿元公司债券获证监会核准。 瀚叶股份（600226）与青岛易邦签订战略合作协议，双方共同探讨犬用狂犬病疫苗与犬用流感疫苗产品的销售方式及推广策略。吉宏股份（002803）在互动平台表示，字节跳动是公司的客户，同时公司也是字节跳动核心代理商。科新机电（300092）预计2019年净利润同比上涨542%-571%。仙坛股份（002746）2019年净利预增136%-161%。精工钢构（600496）2019年净利预增109%-131%。上海临港（600848）2019年净利预增逾2倍。,,,,,0,0,3,2020-01-15 23:06,微博 weibo.com,,,
4461125699196708,IpE9PCAu0,1965622814,大班aban,个股好消息➦博迈科（603727）全资子公司签订1.31亿美元项目合同。博迈科2018年营收为3.97亿元。➦中联重科（000157）预计2019年实现净利润43-45亿元，同比增长逾1倍。➦新疆天业（600075）重组事项获证监会审核通过。公司股票1月16日复牌。➦云天化（600096）子公司云峰化工增资引入央企扶贫基金，增资后，央企扶贫基金持有云峰化工25.12%股权。➦新文化（300336）与美腕公司及旗下艺人李佳琦战略合作。➦比亚迪（002594）发行不超100亿元公司债券获证监会核准。➦瀚叶股份（600226）与青岛易邦签订战略合作协议，双方共同探讨犬用狂犬病疫苗与犬用流感疫苗产品的销售方式及推广策略。➦航天晨光（600501）中标15.18亿元重大合同➦科新机电（300092）预计2019年实现净利润4388万元至4590万元，同比增长542%至571%。➦中国天楹（000035）2019年预盈6.9亿元至7.3亿元，同比增长219%至237%。➦蓝色光标（300058）2019年预盈7亿元至7.5亿元，同比增长79.97%至92.82%。➦浙江众成（002522）2019年预盈6106万元至7902万元，同比增长70%至120%。➦喜临门（603008）预计2019年盈利3.8亿元到4.5亿元，同比将实现扭亏为盈。➦宏达股份（600331）预计2019年盈利6500万元到8500万元，同比将实现扭亏为盈。➦银河电子（002519）预计2019年盈利1.6亿元至1.76亿元，上年同期亏损11.66亿元。➦科力远（600478）拟新建第四条电池极板生产线，总投资规模约4.02亿元，年产能规划约12万台套，预计于2021年3月正式投入使用。➦万里扬（002434）与博世变速器技术有限公司签署《战略合作协议》，万里扬和博世希望合作开发一种用于电动和混合动力汽车的无级变速器，并且共同推动CVT在新能源汽车电驱化上的应用和发展。➦中环股份（002129）拟与关联方设合资公司，从事太阳能硅片开发和制造。➦仙坛股份（002746）2019年净利预增136%-161%。➦精工钢构（600496）2019年净利预增109%-131%。➦上海临港（600848）2019年净利预增逾2倍。➦天喻信息（300205）在互动平台表示，公司在区校一体化智慧教育解决方案方面与华为云建立了合作关系，共同开拓区域智慧教育市场。此外，公司与华为在基于eSIM产品的验证检测方面有业务合作。➦吉宏股份（002803）在互动平台表示，字节跳动是公司的客户，同时公司也是字节跳动核心代理商。,,,,,0,0,0,2020-01-15 22:31,微博 weibo.com,,,
4461124356940060,IpE7Ft7qs,6366524150,掌涨股讯,1月15日公司动态精选（公告+互动+调研）：中联重科（000157）-1.05%预计2019年实现净利润43-45亿元，同比增长逾1倍。新疆天业（600075）0.00%重组事项获证监会审核通过。公司股票1月16日复牌。比亚迪（002594）-0.24%发行不超100亿元公司债券获证监会核准。中环股份（002129）+5.97%拟与关联方设合资公司，从事太阳能硅片开发和制造。科新机电（300092）-0.26%预计2019年净利润同比上涨542%-571%。仙坛股份（002746）-0.37%2019年净利预增136%-161%。精工钢构（600496）+0.63%2019年净利预增109%-131%。上海临港（600848）-1.43%2019年净利预增逾2倍。航天晨光（600501）-2.35%中标军方某部后勤保障装备一批，合同金额共计15.18亿元，超过公司2018年营业总收入的50%。瀚叶股份（600226）+0.95%与青岛易邦签订战略合作协议，双方共同探讨犬用狂犬病疫苗与犬用流感疫苗产品的销售方式及推广策略。博迈科（603727）+0.19%全资子公司签订1.31亿美元项目合同。博迈科2018年营收为3.97亿元。云天化（600096）-2.13%子公司云峰化工增资引入央企扶贫基金，增资后，央企扶贫基金持有云峰化工25.12%股权。天喻信息（300205）+3.69%在互动平台表示，公司在区校一体化智慧教育解决方案方面与华为云建立了合作关系，共同开拓区域智慧教育市场。此外，公司与华为在基于eSIM产品的验证检测方面有业务合作。吉宏股份（002803）+0.28%在互动平台表示，字节跳动是公司的客户，同时公司也是字节跳动核心代理商。科力远（600478）+9.98%拟新建第四条电池极板生产线，总投资规模约4.02亿元，年产能规划约12万台套，预计于2021年3月正式投入使用。露笑科技（002617）-1.69%旗下越南露通机电有限公司已完成项目工程建设、设备安装调试等前期工作，1月15日投产运行。越南露通机电主要产品有串激电机、永磁直流电机、无刷电机等，预计能达到1200万台年生产能力。万里扬（002434）+0.58%与博世变速器技术有限公司签署《战略合作协议》，万里扬和博世希望合作开发一种用于电动和混合动力汽车的无级变速器，并且共同推动CVT在新能源汽车电驱化上的应用和发展。新文化（300336）-1.13%公告，公司与美腕（上海）网络科技有限公司签订《战略合作框架协议》，双方积极配合，在全国范围内根据美腕旗下艺人李佳琦和公司优势资源，为美腕艺人提供客户及整合营销方案，提升美腕艺人线下曝光度及预算收入。另外，公司则通过与美腕艺人李佳琦的战略合作，增强其与客户的连接度和在线上媒体渠道的推广宣传曝光，形成“移动互联网媒体+传统媒体″全媒体整合营销方案。,,,,,2,0,1,2020-01-15 22:26,微博 weibo.com,,,
4413442633141370,I5DHFdbdg,7198346547,联讯证券宁波营业部,联讯早餐荟——9月6日星期五联讯金融今天联讯观点周四A股放量冲高回落，表明短期上行阻力较大，短期市场有整固的要求。但结合对政策的预期以及市场的流动性判断，A股在利好政策兑现之前，总体有望保持相对强势。券商+科技股是市场比较认可的热点，券商主要看成交金额，科技股重点在5G手机产业链，行业龙头推出5G手机等事件将不断催化板块的个股活跃；其他方面，航天军工是国庆节前阅兵主题的焦点，仍有希望表现。A股快讯公司公告：庞大集团：被法院裁定进入重整程序明日停牌一天吉宏股份：前三季度净利润预增67%-75%爱乐达：拟10亿元投建航空零部件智能制造及系统集成中心中核钛白：已耗资1.46亿元回购2.12%股份大北农：猪价上行部分育肥猪推迟到9月份上市2、【八方电气等4家公司首发过会】9月5日首发上会的4家公司北京指南针科技发展股份有限公司、浙江米奥兰特商务会展股份有限公司、绍兴贝斯美化工股份有限公司、八方电气（苏州）股份有限公司全部成功过会。财经要闻1、【刘鹤：加大逆周期调节力度】国务院金融稳定发展委员会9月5日召开全国金融形势通报和工作经验交流电视电话会议。国务院副总理、金融委主任刘鹤强调，金融管理部门要强化监管责任，加大逆周期调节力度，下大力气疏通货币政策传导机制，加强金融与财政政策配合，支持愿意干事创业、有较好发展潜力的地区和领域加快发展；支持银行更多利用创新资本工具补充资本金，引导金融机构增加对制造业、民营企业中长期融资；稳妥化解局部性、结构性存量风险；加快补齐监管制度短板，大幅提高违法违规成本；深化金融改革开放，为实体经济发展提供动力支持，落实好各项开放举措，以开放促进改革创新、促进高质量发展。2、【国务院同意南昌、新余、景德镇等7个高新技术产业开发区建设国家自主创新示范区】9月5日，国务院发布关于同意南昌、新余、景德镇、鹰潭、抚州、吉安、赣州高新技术产业开发区建设国家自主创新示范区的批复。同意南昌、新余、景德镇、鹰潭、抚州、吉安、赣州7个高新技术产业开发区建设国家自主创新示范区，区域范围为国务院有关部门公布的开发区审核公告确定的四至范围。享受国家自主创新示范区相关政策，同时结合自身实际，不断深化简政放权、放管结合、优化服务改革，积极开展科技体制改革和机制创新，加强资源优化整合，在优势特色产业集群培育、高水平科技创新基地建设、科技投融资体系构建、人才引进培养、科技成果转移转化、知识产权协同保护、科技精准扶贫、协同开放创新等方面探索示范，努力创造出可复制、可推广的经验。3、【稀土行业将依法施行新的资源税率】9月5日消息，第十三届全国人民代表大会常务委员会第十二次会议通过《中华人民共和国资源税法》，自2020年9月1日起施行。根据新法，轻稀土选矿税率为7%～12%，中重稀土选矿税率为20%。4、【科技部：推进人工智能基础设施建设强化人工智能创新发展条件】9月5日，科技部印发《国家新一代人工智能创新发展试验区建设工作指引》，推进人工智能基础设施建设，强化人工智能创新发展的条件支撑。加强网络基础设施、大数据基础设施、计算基础设施建设，提升传统基础设施的智能化水平，形成支撑新一代人工智能广泛应用的基础设施体系。建设人工智能研发基地和开放创新平台，推动公共数据安全有序开放，强化人工智能研发创新的基础条件支撑。5、【商务部：支持汽车贸易高质量发展的政策措施将适时出台】商务部发言人高峰在5日举行的例行新闻发布会上表示，目前商务部正在深入开展相关调研，广泛征求汽车行业企业的意见，将会同有关部门研究并适时出台有针对性的政策措施，支持汽车产业高质量发展。大宗商品1、9月5日期货夜市收盘，螺纹钢、热轧卷板分别收跌1.07%、1.10%。铁矿石收跌0.92%。橡胶收跌0.70%，沥青收涨0.45%。盘中现货黄金下破1510美元/盎司，日内跌近3%。现货白银大幅跳水，跌超5%至18.54美元/盎司。沪银跌幅扩大至3.2%，沪金跌逾2%。收盘现货黄金回升至1520美元/盎司上方，跌幅收窄至2%。2、港交所公告，香港交易所与相关系统供应商经过详细的调查及检测后，决定年9月6日恢复衍生产品市场之交易。9月5日，香港交易所宣布，由于电子交易系统出现长时间的连接问题，为维护市场有序，香港交易所于9月5日下午2时正暂停衍生产品市场交易。房地产1、【率先“试水”LPR房贷利率新政招行深圳首套房新利率上浮0.005%】9月5日财联社消息，招行深圳地区部分房贷业务利率已经挂钩LPR（贷款基础利率）。据了解，招行深圳地区目前首套房利率为5.15%，二套房利率为5.45%，分别较原利率上浮提高0.005%和0.06%。2、【多地推进住房租赁市场建设】9月6日中证报统计，近期，深圳、南宁、杭州等城市相继出台住房租赁市场的相关政策，在遏制租金过快上涨，多渠道增加租赁住房用地和租赁房源供给，以及加强对租赁市场监管等方面作出了明确的要求。坚持“房子是用来住的，不是用来炒的”定位，突出租赁住房民生属性，规范租赁市场行为，促进市场持续健康发展。同时，8月全国大中城市租金均价继续下降，且降幅扩大，开始进入传统淡季。国际市场1、【小非农ADP超预期美股大涨】9月5日，美股涨幅扩大，三大股指涨幅均超1%，道指涨逾400点。稍早前公布的数据显示，美国8月ADP就业人数增加19.5万人，远超预期的14.9万人。2、【特斯拉证实建电池生产线为自家电动汽车供货】据外媒报道，电动汽车制造商特斯拉显然正在建造新“产品线”，进入电池制造领域。最新的招聘列表显示，特斯拉正在美国加州的弗里蒙特建造全新的电池生产线，并在科罗拉多州寻找电池技术人员。3、【瑞士央行行长：负利率仍然是必不可少的】9月6日，瑞士央行行长ThomasJordan表示，负利率政策仍然是必不可少的，而且不可能预测到这种扩张立场需要保持多长时间。瑞士正感受到英国脱欧和国际贸易争端所带来的不确定性的影响，贸易摩擦正在抑制全球需求，并使瑞郎兑欧元升至两年高点。此前，瑞典央行维持基准利率在-0.250%不变。4、9月6日，加拿大央行副行长Schembri称，如果有需要的话，加央行可以降息至负利率，但那是在极端情况下；央行还有其他政策工具可以使用，目前加央行正在审查其工具箱，以应对下一次经济下行。推荐阅读Recommendedreading1.【联讯策略】9月十大金股及市场展望2.【联讯富瑞市场观察】军工股吹响号角，9月实现开门红3.【联讯投教】“走近科创，你我同行”主题短片《启航》4.立足大湾区打造特色精品券商，联讯证券拟更名为粤开证券免责声明：本文中的信息均来源于公开资料，本公司对这些信息的准确性和完整性不作任何保证。文中的内容和意见仅做参考，在任何情况下，本文中的信息或所表述的意见并不构成对任何人的投资建议。投资者因依赖本报告进行投资决策而导致的财产损失联讯证券不承担法律责任。投资有风险，入市须谨慎。,,,,,0,0,2,2019-09-06 08:36,搜狗高速浏览器,"['http://ww4.sinaimg.cn/large/007R9wLFly1g6phzkjhvvj30qo06yaap.jpg', 'http://ww1.sinaimg.cn/large/007R9wLFly1g6phzfnrm9j30u00h5tao.jpg', 'http://ww2.sinaimg.cn/large/007R9wLFly1g6phzovr9cj30k20faq4c.jpg']",,
4169218868495990,Ft2HkzEc6,5939063463,·钱眼海哥的微博,最新消息面及操作策略：今晨纳指再创盘中历史新高，道指上涨0.12%，纳指上涨0.43%，标普上涨0.09%，欧洲主要国家股市收高。纽约原油期货上涨23美分，涨幅为0.42%，收于每桶54.38美元；纽约黄金期货收跌0.6%，收于每盎司1270.5美元。其他消息面：10月官方制造业PMI为51.6，连续15月在荣枯线上方；昨日6家企业首发上会，仅有2家获通过；北上资金持仓规模超4900亿元；全国碳排放交易即将启动（涉置信电气、华测检测等）；京津冀大气环保局将于年底前组建；上海自由贸易港方案正在完善和报批；雄安新区22个专项规划、32个专题研究均取得阶段性成果；个股利好：北新建材年报大幅预增；龙源技术年报扭亏为盈；中国铁建中标34.58亿元扶贫小镇项目；浦东建设中标合计8.88亿元多个项目；富煌钢构签署8亿元安置区产业化工程项目；东华科技联合体预中标8亿元PPP项目；棕榈股份中标合计3.64亿元多个景观工程设计项目；汇川技术预中标1.23亿元轨道交通项目；蓝盾股份联合签署5608万元项目合同；科力远子公司签技术许可协议，预计获益超6000万；汉鼎宇佑转让微贷金融1.5%股权，预计增利4575万；大唐发电、南京化纤、宜安科技定增获批；奇信股份董事长增持，引入首席科学家；中顺洁柔、三垒股份、东方通股东拟增持。个股利空：精功科技、人人乐终止重大资产重组事项；龙蟒佰利终止收购海外钛矿项目控制权；闻泰科技、茂业通信、隆鑫通用、网宿科技、劲拓股份、海联讯、宝馨科技、赞宇科技、九强生物、昊志机电、和科达、新易盛、吉宏股份、振华股份、和仁科技股东拟减持。今日限售股解禁：浩云科技、高伟达、理工光科、佳发安泰、中富通。昨天大盘缩量上涨，还是属于急跌后的反弹，今天继续观察反弹量能和力度，如果继续弱反，仍可再回落可能，注意先趁反弹减仓拉升力度大的个股。再等继续低吸高卖的机会。,,,,,0,0,0,2017-11-01 10:18,微博 weibo.com,,,
4169204250913935,Ft2jL3PKT,5573328846,股金女王,最新消息面及操作策略：消息面上：10月官方制造业PMI为51.6，连续15月在荣枯线上方；昨日6家企业首发上会，仅有2家获通过；北上资金持仓规模超4900亿元；全国碳排放交易即将启动（涉置信电气、华测检测等）；京津冀大气环保局将于年底前组建；上海自由贸易港方案正在完善和报批；雄安新区22个专项规划、32个专题研究均取得阶段性成果；个股利好：北新建材年报大幅预增；龙源技术年报扭亏为盈；中国铁建中标34.58亿元扶贫小镇项目；浦东建设中标合计8.88亿元多个项目；富煌钢构签署8亿元安置区产业化工程项目；东华科技联合体预中标8亿元PPP项目；棕榈股份中标合计3.64亿元多个景观工程设计项目；汇川技术预中标1.23亿元轨道交通项目；蓝盾股份联合签署5608万元项目合同；科力远子公司签技术许可协议，预计获益超6000万；汉鼎宇佑转让微贷金融1.5%股权，预计增利4575万；大唐发电、南京化纤、宜安科技定增获批；奇信股份董事长增持，引入首席科学家；中顺洁柔、三垒股份、东方通股东拟增持。个股利空：精功科技、人人乐终止重大资产重组事项；龙蟒佰利终止收购海外钛矿项目控制权；闻泰科技、茂业通信、隆鑫通用、网宿科技、劲拓股份、海联讯、宝馨科技、赞宇科技、九强生物、昊志机电、和科达、新易盛、吉宏股份、振华股份、和仁科技股东拟减持。今日限售股解禁：浩云科技、高伟达、理工光科、佳发安泰、中富通。昨天大盘缩量上涨，还是属于急跌后的反弹，今天继续观察反弹量能和力度，如果继续弱反，仍可再回落可能，注意先趁反弹减仓拉升力度大的个股。再等继续低吸高卖的机会。上证指数sh000001,,,,,0,1,7,2017-11-01 09:20,微博股票,,,
4169202719574019,Ft2hhEaDF,1403683317,钱眼海哥,最新消息面及操作策略：今晨纳指再创盘中历史新高，道指上涨0.12%，纳指上涨0.43%，标普上涨0.09%，欧洲主要国家股市收高。纽约原油期货上涨23美分，涨幅为0.42%，收于每桶54.38美元；纽约黄金期货收跌0.6%，收于每盎司1270.5美元。其他消息面：10月官方制造业PMI为51.6，连续15月在荣枯线上方；昨日6家企业首发上会，仅有2家获通过；北上资金持仓规模超4900亿元；全国碳排放交易即将启动（涉置信电气、华测检测等）；京津冀大气环保局将于年底前组建；上海自由贸易港方案正在完善和报批；雄安新区22个专项规划、32个专题研究均取得阶段性成果；个股利好：北新建材年报大幅预增；龙源技术年报扭亏为盈；中国铁建中标34.58亿元扶贫小镇项目；浦东建设中标合计8.88亿元多个项目；富煌钢构签署8亿元安置区产业化工程项目；东华科技联合体预中标8亿元PPP项目；棕榈股份中标合计3.64亿元多个景观工程设计项目；汇川技术预中标1.23亿元轨道交通项目；蓝盾股份联合签署5608万元项目合同；科力远子公司签技术许可协议，预计获益超6000万；汉鼎宇佑转让微贷金融1.5%股权，预计增利4575万；大唐发电、南京化纤、宜安科技定增获批；奇信股份董事长增持，引入首席科学家；中顺洁柔、三垒股份、东方通股东拟增持。个股利空：精功科技、人人乐终止重大资产重组事项；龙蟒佰利终止收购海外钛矿项目控制权；闻泰科技、茂业通信、隆鑫通用、网宿科技、劲拓股份、海联讯、宝馨科技、赞宇科技、九强生物、昊志机电、和科达、新易盛、吉宏股份、振华股份、和仁科技股东拟减持。今日限售股解禁：浩云科技、高伟达、理工光科、佳发安泰、中富通。昨天大盘缩量上涨，还是属于急跌后的反弹，今天继续观察反弹量能和力度，如果继续弱反，仍可再回落可能，注意先趁反弹减仓拉升力度大的个股。再等继续低吸高卖的机会。,,,,,0,0,94,2017-11-01 09:14,微博 weibo.com,,,
4169034205574012,FsXTuno3q,1738092885,55168论坛-上市公司调研网,10月31日晚间重要公告集锦10-3121:28海联讯股东邢文飚拟减持公司股份10-3120:35昊志机电股东无锡国联拟清仓减持6.25%股份10-3120:33茂业通信拟收购中天嘉华股东拟减持10-3120:23北新建材全年净利预增50%-100%10-3120:22龙源技术预计2017年度扭亏为盈10-3120:19中远海能定增募资54亿打造领先油运船队10-3120:14比亚迪：拟剥离汽车座椅业务聚焦整车业务10-3120:07兆易创新停牌筹划重大事项10-3120:01北特科技拟收购光裕股份95.7123%股份10-3119:51奇信股份董事长拟增持不低于2000万元10-3119:41华森制药股价异动11月1日起停牌核查10-3119:35人民网与浦东科创集团签署战略合作备忘录10-3119:27恒瑞医药发布2017年度限制性股票激励计划10-3119:09沱牌舍得股价异动无应披露而未披露信息10-3119:09富煌钢构签订8.141亿元工程合同10-3119:04会稽山拟现金收购咸亨股份100%股权10-3119:00雄韬股份拟50亿元在武汉投建氢燃料电池产业园10-3118:55高鸿股份拟不低于3亿元出售孙公司一九付支付10-3118:50德生科技股价异动11月1日起停牌核查10-3118:44皇庭国际大股东筹划重大事项1日停牌10-3118:42劲拓股份董事主逵拟减持不超1.17%股份10-3118:34网宿科技实控人拟减持不超1.5%股份10-3118:26吉宏股份股东调整减持计划拟减持不超6.33%股份10-3118:11龙蟒佰利终止RGM项目合作计划10-3117:59东方通董事长计划增持不低于1000万股10-3117:48中顺洁柔董秘拟增持不超1000万元10-3117:40和仁科技股东金石灏汭拟减持不超2%股份10-3117:31东华科技联合预中标8亿元PPP项目10-3117:22人人乐终止筹划重大事项11月1日起复牌10-3117:11桂冠电力：拟减持股东未实施减持计划10-3117:11精功科技终止筹划重大资产重组事项10-3117:08中国铁建中标中马钦州产业园区特色扶贫小镇项目10-3117:02*ST河化生产装置继续停车10-3116:55九强生物：一致行动人解除关系公司无实控人10-3116:48杰克股份前三季业绩增长主因行业复苏回暖10-3116:29珠江控股携物美控股打造京津冀食品产业链10-3116:17隆鑫通用一高管拟减持不超35万股10-3116:13振华股份原高管拟减持不超181.5万股10-3116:00泰禾集团增持北京科技园建设公司3.11%股份10-3115:42浦东建设中标多项重大工程10-3111:55汉缆股份中标多个项目10-3109:27风神股份因未刊登股东大会决议公告临停,,,,,0,1,1,2017-10-31 22:04,微博 weibo.com,,,
