id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4498336180570187,IFgaK2okz,2644341681,郑州荥阳市,8年了，全国政协机关认的这门“穷亲戚”，终于传来好消息！谢春辉张卫鹏人民政协报“作为扶贫战线的一员，今天真是很高兴！”4月23日，当看到安徽省2019年贫困县退出公示中，阜阳市颍东区等9个县（区）符合贫困县退出标准拟退出贫困县序列时，全国政协机关在颍东区挂职扶贫的几位干部都喜出望外。让几位挂职干部激动的是，4月21日和23日，由全国政协机关牵线搭桥的香江集团新型墙体材料项目、京东电商智能物流园项目正式签约。“这两个项目投资规模超过20亿元，立足颍东实际、切合发展需求，相信对于带动当地产业提质升级、促进贫困群众就业增收，提升脱贫质量、增强发展后劲，一定能够发挥重要作用。”挂职干部、颍东区副区长顾宏伟说。利好消息接踵而至，正是得益于全国政协机关8年来坚持“发挥四个力量，聚焦四个方向”的定点扶贫工作思路，积极发挥政协组织人才荟萃、联系广泛的独特优势，以精准扶贫为基本方略，大力度、全方位、宽领域推进定点扶贫工作。深入调研把脉出招扶贫贵在精准，深入的调查研究是精准扶贫的前提。2012年，颍东被列入国家扶贫开发工作重点县区，同年5月，全国政协机关启动对颍东区域发展与脱贫攻坚规划实施情况的专题考察，由此拉开助力颍东脱贫攻坚工作的序幕。历史上，颍东是传统农业地区，基础薄弱、先天不足。发现问题才能解决问题，把脉问诊才能照方抓药。据颍东区扶贫开发局统计，定点帮扶8年以来，全国政协先后有3位副主席、10位机关领导、40批近400人次全国政协委员和机关干部到颍东调研考察，深入了解扶贫工作情况，帮助理清发展思路。针对颍东脱贫攻坚面临的困难和问题，全国政协机关扶贫工作领导小组就上报的百余项请求事项进行认真研究、推动解决，内容涉及落实光伏政策、发展电商物流、推动工程建设、协调医疗设备等广泛领域。产业在前消费在后发展产业是构建脱贫长效机制的治本之策，根据颍东的资源禀赋，全国政协机关重点抓实抓好产业扶贫工作。一提到光伏项目，颍东区新华街道吕寨村党支部书记就难掩喜悦，“中国华力集团帮助我们村建设了光伏电站，村里的50户贫困户每年能拿到15万多元的收益。”2016年以来，全国政协机关积极支持颍东无劳动力、无资源、无稳定收入来源的贫困户以及集体经济薄弱、资源缺乏的贫困村，建设户用光伏电站和村级光伏电站。其中，协调国家能源局推动颍东区30兆瓦光伏扶贫电站建设，带动50个贫困村和5700多户贫困户增加收益1500余万元；联系中国华力集团捐资96万元，用于3个村的村级光伏电站建设，相关光伏扶贫项目均已实现并网发电。全国政协机关注重增强“造血”功能，帮助颍东区通过招商引资带动产业扶贫，近年来，牵线搭桥一批重大产业项目落户颍东。“这次主要带来一些生肖、花鸟剪纸等，还有一幅获奖作品《老鼠娶亲》，刚刚被买走了。”在颍东区特色农副产品走进全国政协机关展销活动上，颍东“程氏剪纸”第三代传人程娟娟说。从2018年9月至今，全国政协机关在消费扶贫领域持续发力：先后组织颍东近20家涉农企业走进全国政协礼堂，参加全国政协在京委员活动日扶贫产品展销，同时在火山、抖音上做同步视频直播，提升产品知名度。志智双扶激发动力扶贫必扶智，治贫先治愚。全国政协机关十分重视对颍东的教育扶贫工作。截至目前，已累计资助颍东贫困家庭学生近400名，出资和协调启明星辰慈善公益基金会、儿基会、中国制笔协会等捐建云教室、科技馆、音乐教室、多媒体教室、儿童之家、创客室等21个，捐赠电脑110余台、图书杂志近4万册、各类文具价值450余万元，投入改造校舍资金124万元，有效改善了当地学校教学条件。对于冉庙乡中心校的同学来说，全国政协机关出资建设的科技馆、云教室，让他们真正感受到了科技创新的快乐。2016年至今，该校斩获青少年科技创新大赛省级奖2人次、市级奖5人次、区级奖15人次。“能够取得这些成绩，是全国政协机关大力支持、师生们共同拼搏的结果！”冉庙乡中心校老师董祥聪说。为锻造一支扎根贫困地区、贴近基层群众、了解发展需求、甘于服务奉献的高素质人才队伍，全国政协机关积极做好帮扶地区的人才培养工作：建立双向挂职机制，接收颍东7批次、14名干部到全国政协机关挂职锻炼；协调全国政协机关干部培训中心、高等院校专家学者等提供量身定制的干部、医生、教师和农技人员培训，帮助提升扶贫队伍能力素质。为激发贫困群众内生动力，2019年，全国政协机关投入专项资金120万元，开展爱心超市、孝善村（居）、梦想学院等项目建设。爱心超市项目依据村民产业发展、环境卫生整治及参加村集体活动等表现奖励相应积分，用于在爱心超市兑换生活用品；孝善村（居）项目以文明户、孝善之家、好媳妇、好婆婆等评选为抓手，积极营造“讲文明、树新风、除陋习、比奉献”的新时代风尚；梦想学院项目通过组建由“团干部+社工+志愿者”构成的公益团队，为城乡贫困家庭子女、外来务工家庭子女、农村留守儿童等提供心理疏导、艺术启蒙等教育帮扶。奉献爱心温暖随行脱贫须立志，扶贫贵有情。2017年寒冬，颍东遭遇了数十年不遇的冰雪恶劣天气，得知情况后，全国政协机关迅速协调李宁集团、拉夏贝尔、飞蚂蚁平台等先后向困难群众捐赠3000余件、价值50万元的御寒衣物。今年年初，在新冠肺炎疫情肆虐之时，机关扶贫部门积极协调碧桂园集团捐赠爱心物资18万元，用于慰问因疫情影响难以返岗复工的贫困群众和一线扶贫抗疫干部、医护人员，助力颍东打赢抗疫阻击战、脱贫攻坚战。重病残疾是颍东贫困人口致贫的重要原因，这部分群众尤其需要关爱。2012年以来，全国政协机关协调全国残联、中国残疾人福利基金会、中华慈善总会、中国妇女发展基金会、中国初级卫生保健基金会、成龙基金会，先后捐赠1200副老年花镜、175台轮椅、300个急救包、100套快速心电图测试仪、100万元残疾儿童大病救助善款、1500多份意外伤害保险、价值7500余万元的CT机等，组织解放军总医院、北京宣武医院的著名专家到颍东有关医院举办集中培训和开展现场指导并捐赠大批药品，为因病因残致贫的群众奉献爱心，同时推动提升颍东基层医院的医疗服务水平。“全国政协机关认了颍东这门穷亲戚，帮助我们和全国人民一同走上了小康富裕路。”颍东干部群众由衷地说。,,荥阳市,,,0,0,0,2020-04-27 14:53,iPhone客户端,,,
4451559318375438,IlDibz8PI,2056700605,启明星辰官方微博,2019年是党中央扶贫攻坚的关键一年，启明星辰基金会积极配合各级政府开展公益助学和扶贫，并做为慈善公益活动的工作重点。今年共开展公益项目14项，主要涉及北京、陕西、湖北、河南、重庆、湖南等地区，让约5000人、8所学校、1个贫困村、1个贫困乡受益！O【公益慈善心连心】2019，继续正能量！,,,,,0,0,1,2019-12-20 12:58,微博 weibo.com,,,
4433392403931293,Ie0GIguHX,1976397595,乐山新闻网官方微博,【彭琳：加快推进“旅游兴市、产业强市”】结束在浙江省衢州市、金华市的东西部扶贫协作工作考察对接后，10月27日至30日，市委书记彭琳率队先后前往江苏省南通市江山农药化工股份有限公司，北京市中国电子科技集团有限公司、中国昊华化工集团股份有限公司、启明星辰信息技术集团股份有限公司，天津中环半导体股份有限公司，深入企业考察，拜会企业负责人，开展招商引资工作。O彭琳：加快推进“旅游兴市、产业强市”,,,,,0,0,0,2019-10-31 09:49,微博 weibo.com,,,
4433382824380314,Ie0rginwe,3615971322,乐山日报,【彭琳率队赴江苏北京天津开展招商引资工作】结束在浙江省衢州市、金华市的东西部扶贫协作工作考察对接后，10月27日至30日，市委书记彭琳率队先后前往江苏省南通市江山农药化工股份有限公司，北京市中国电子科技集团有限公司、中国昊华化工集团股份有限公司、启明星辰信息技术集团股份有限公司，天津中环半导体股份有限公司，深入企业考察，拜会企业负责人，开展招商引资工作。彭琳向相关企业负责人介绍了乐山情况。他说，乐山名山名佛名城名人“四位一体”，历史悠久，生态优良，人杰地灵，旅游资源丰富，产业特色鲜明。“一五”计划和“三线”建设为乐山打下扎实工业产业基础。如今，“一总部三基地”构建起新工业版图，光电信息、绿色化工、先进材料拥有技术、人才和研发生产优势，数字经济加快发展，构建起乐山“3＋1”现代产业体系主体架构。一大批融入国家高铁网、高速网、水运网的枢纽项目加快建设，水陆空交通体系逐渐形成。乐山还是四川省“水电消纳产业示范区”，拥有电价、土地等优惠政策。这里推行“不用你跑路，我们来服务”，重大项目实行“全程代办制”，提供“保姆式”服务等，为企业发展提供最优发展环境。彭琳指出，乐山区位优势明显、投资环境好、要素成本低、发展潜力大，是一块理想的投资洼地。近年来，全市确立“旅游兴市、产业强市”发展主线，以“干在实处、走在前列”的工作取向，加快建设世界重要旅游目的地和全省区域中心城市，争创全省经济副中心，全市经济社会发展取得了长足进步，主要经济指标均高于全省平均水平，快速发展过程中充满了潜力与巨大商机。真诚欢迎企业与乐山同类企业进一步加强沟通，谋求长期深入合作，积极探索新的合作模式、开创新的合作空间，实现共赢发展，共享发展机遇，加快推进“旅游兴市、产业强市”。企业负责人们表示，通过介绍更加了解到乐山的产业现状、区位优势、资源优势及下一步发展方向，在乐投资兴业的信心进一步增强。乐山资源禀赋优越，营商环境优质，乐山建设世界重要旅游目的地和全省区域中心城市，争创全省经济副中心的奋斗目标与企业发展方向有诸多相通之处。希望进一步密切沟通交流，尽快细化落实合作内容，为助力乐山产业供给侧结构性改革、助推乐山更好更快高质量发展贡献力量，实现共赢。市委副书记曾洪扬，副市长廖克全、方向明参加有关活动。（记者张斯炜）,,,,,2,0,0,2019-10-31 09:11,微博 weibo.com,['http://ww2.sinaimg.cn/large/d78757fagy1g8h43apt6aj20xb0nj769.jpg'],,
4433382559333033,Ie0qPD9WN,1655730377,乐山发布,【彭琳：加快推进“旅游兴市、产业强市”】结束在浙江省衢州市、金华市的东西部扶贫协作工作考察对接后，10月27日至30日，市委书记彭琳率队先后前往江苏省南通市江山农药化工股份有限公司，北京市中国电子科技集团有限公司、中国昊华化工集团股份有限公司、启明星辰信息技术集团股份有限公司，天津中环半导体股份有限公司，深入企业考察，拜会企业负责人，开展招商引资工作。　　彭琳向相关企业负责人介绍了乐山情况。他说，乐山名山名佛名城名人“四位一体”，历史悠久，生态优良，人杰地灵，旅游资源丰富，产业特色鲜明。“一五”计划和“三线”建设为乐山打下扎实工业产业基础。如今，“一总部三基地”构建起新工业版图，光电信息、绿色化工、先进材料拥有技术、人才和研发生产优势，数字经济加快发展，构建起乐山“3＋1”现代产业体系主体架构。一大批融入国家高铁网、高速网、水运网的枢纽项目加快建设，水陆空交通体系逐渐形成。乐山还是四川省“水电消纳产业示范区”，拥有电价、土地等优惠政策。这里推行“不用你跑路，我们来服务”，重大项目实行“全程代办制”，提供“保姆式”服务等，为企业发展提供最优发展环境。O彭琳：加快推进“旅游兴市、产业强市”,,,,,1,0,0,2019-10-31 09:10,360安全浏览器,['http://ww2.sinaimg.cn/large/62b070c9gy1g8h42aet0ej20m80aeq6t.jpg'],,
4300215001297678,H05AM5rAi,2807216482,最后壹个,周末个股公告及题材分享【个股公告】贵州茅台(600519)：前三季度净利润同比增长23.77%五粮液(000858)：前三季度净利润94.94亿元同比增长36.32%泸州老窖(000568)：前三季度实现净利27.51亿同比增长37.7%青岛啤酒(600600)：前三季度净利21亿元同比增12%华润双鹤(600062)：前三季度净利8.44亿元同比增16%宇通客车(600066)：前三季度净利润下降37.04%证金减持元祖股份(603886)：前三季度净利2.47亿元同比增26%芯能科技(603105)：前三季度实现净利润7187.54万元同比增长30.74东方明珠(600637)：前三季度净利超15亿元同比增49%坚瑞沃能(300116)：前三季度亏损29亿元财务总监辞职上海莱士(002252)：前三季度亏损12.93亿元科森科技(603626)：公司董事长、总经理等拟增持100-150万股广汇汽车(600297)：已耗资逾2亿元回购0.4%股份新湖中宝(600208)：拟回购金额由3亿元-10亿元修改为5亿元-15亿元天士力(600535)：已耗资逾6800万元回购股份精工钢构(600496)：拟5000万元至3亿元回购股份浙江广厦(600052)]：拟5000万元-2亿元回购股份双一科技(300690)]：拟2786万至5572万元回购股份合锻智能(603011)：拟3000万元-1亿元回购股份运达科技(300440)：拟4000万至8000万元回购股份维维股份(600300)：子公司获得160万元项目扶贫资金美的集团(000333)、小天鹅A(000418)：明日复牌一汽轿车(000800)一汽夏利(000927)：银行授信额度为“意向性”授信额度不代表真实资金需求宜华健康(000150)：子公司拟增资扩股引入战投预计增资金额10亿元-25亿元华大基因(300676)：数据采集行为合法合规【周末重要题材资讯】1，行业旺季来临，水泥价格涨至年内高点水泥概念股：万年青（000789）、天山股份（000877）、上峰水泥（000672）、祁连山（600720）2，央行发文，推动声纹识别技术在金融领域应用声纹识别概念股：绿盟科技（300369）、启明星辰（002439）、卫士通（002268）、远方信息（300306）3，最高法知识产权法庭即将正式成立，专利技术案件作试点知识产权概念股：数字认证（300579）、中国科传（601858）、京华激光（603607）、光一科技（300356）4，微软HoloLens医疗使用获FDA批准，为首个用于手术AR应用AR概念股：GQY视讯（300076）、苏大维格（300331）、联创电子（002036）、利达光电（002189）5，郑州首条燃料电池公交线路上线，氢燃料电池客车应用加速燃料电池客车概念股：东方电气（600875）、宇通客车（600066）、中通客车（000957）、安凯客车（000868）6，中国核电部分项目获“小路条”，核电重启预期浓核电概念股：应流股份（603308）、中核科技（000777）、南风股份（300004）、沃尔核材（002130）周末消息面喜忧参半，先抑后扬的概念大，即使出现急跌也不要怕，控制好总体仓位的前提下，对自己熟悉的相关概念个股，做好高抛低吸，从白酒类个股公布的业绩来看，并没有达到预期，相关个股可能承压，持有的朋友做好风险控制。,,,,,0,0,0,2018-10-28 21:50,iPhone客户端,,,
4243088526397555,Gi4VCqQin,1099221624,邦尼-----就是帮自己,大数据解读精选的财经信息沪市两公司将被终止上市上交所称触及退市条件有一家退一家因触及相关退市指标，*ST吉恩、*ST昆机将被终止上市。解读----随着市场优胜劣汰的开始，投资者如果不能及时转变观念和投资行为，未来的投资风险就会进一步加大，此次被终止上市的两家公司所有投资者，都将会蒙受巨大的亏损风险，这是非常残酷的一种市场教育。中国向英出口的核电机组在广西正式进入安装阶段，从中国广核集团获悉，5月23日，中国自主三代核电华龙一号示范项目——中广核防城港核电二期工程3号机组穹顶吊装顺利完成。解读----关注受益个股的投资机会：建投能源、江苏神通、中飞股份、沃尔核材等。宁德时代、富士康即将上市也将从资金面给市场带来抽血效应，观望资金也会因为行情萎靡不振对于做多热情不高，因此下一步成交量可能会出现下降的情况。解读---独角兽回归只要是优质公司，必然会给市场带来高回报，反之也一定会给市场造成伤害。上证报记者经多方求证得知，政府相关管理部门21日下午召开煤电工作会议，主要讨论控制电煤价格，要求各方执行相关措施，力争在6月10号前将5500大卡北方港平仓价引导到570元/吨以内。解读-----也许行政管理者们的初心也是好的，但中国很多时候的管理层都是这样好心办了坏事，这不仅严重干扰了煤炭市场的市场化竞争原则，更是肺资本市场投资者造成了投资环境的不公平，如果说煤价的上涨严重影响了很多行业，完全可以通过行业基金去进行调控扶持，而应该更多地减少行政干预的手段去破坏市场化运作，否则，中国离市场化会越来越远。我国首个“北斗芯片开放平台”发布，聚合产业链力量攻克芯片核心技术，自主可控的导航定位芯片在北斗导航应用中有着不可替代的战略地位，牵引并推动着整个北斗导航产业链的发展。解读-----这也是中国在未来更多一些关系到国家核心领域与体系，要摆脱严重依赖别人的举措，关注相关受益个股：北斗星通、中海达、华力创通、合众思壮、振芯科技、波导股份、劲嘉股份等以“数化万物智在融合”为主题的2018数博会将于5月26-29日在贵阳举行。解读-----这是围绕“人工智能”“数据安全”“万物互联”“共享经济”“精准扶贫”5个主题，邀请全球顶级大数据企业和大数据领军人物同台论道，而且面对大数据这个新的海洋，中国有机会再次与欧美国家同步起跑。关注相关受益个股：浪潮信息、中科曙光、数据港、海量数据、易华录等。中国网5月17日讯中国工业信息安全大会将于5月24日—25日在北京世纪金源大酒店隆重举行。大会由工业和信息化部指导，国家工业信息安全发展研究中心、工业信息安全产业发展联盟主办。解读-----关注相关受益个股：绿盟科技、美亚柏科、启明星辰、任子行、蓝盾股份等。,,,,,0,0,1,2018-05-24 06:30,微博 weibo.com,['http://ww3.sinaimg.cn/large/4184ca78ly1frm13hkt0ij20hr0clqla.jpg'],,
4162313801837388,Fq9487HZi,2374078561,短线风云-李姐,周五早间市场信息刘士余强调资本市场建设四个“牢牢坚持”，牢牢坚持防范风险的底线，保护中小投资者合法权益。昨夜美股收低，道指下跌0.14%，纳指下跌0.18%，标普下跌0.17%，欧洲主要国家股市涨跌互现。纽约原油期货下跌70美分，跌幅为1.4%，收于每桶50.6美元；纽约黄金期货上涨7.6美元，涨幅为0.6%，收于每盎司1296.5美元。美国宣布退出联合国教科文组织；戴尔拟未来三年10亿美元投资物联网研发；消息人士称中企看上德国工业企业爱孚迪。市场信息：刘士余强调保护投资者合法权益，牢牢坚持防范风险的底线；京华激光732607、阿科力732722、集泰股份002909新股发行申购日；证券法草案二审稿拟增投资者保护专章；深交所表示将不断研究创新监管和服务举措，提高公司质量；经济参考报头版评论称违规减持频频发生，股票配资死灰复燃，A股源头性风险需及时处置；证券时报文章称去杠杆和稳增长并非鱼和熊掌不可兼得；银监会将严查个人消费贷款流入房地产市场；国资委表示多数央企负债率下降，将加大市场化债转股试点力度；国土部发文支持光伏扶贫、农光用地，光伏复合项目获得更多发展空间；严打住宅用地炒作囤积，国土部对71个城市开展检查；20余城租赁法规草案正抓紧起草；上海将推租赁住房整体规划土地管理政策；农业部大力推进农机装备发展；双十一期间快递量预计超10亿件，将再创世界记录；北京市足球改革发展总体方案印发；深圳已实现专营公交100%纯电动化；中国动力电池出货量全球第一；我国首套建筑渣土多功能3D打印系统发布；中国石墨烯改性纤维及应用开发产业发展联盟成立；中国首家机器人学院在佛山启动；近期山西七大煤企联手降价，煤炭库存创新高；中外团队开发出微创血检技术可高效诊断肝癌；360完成雄安新区子公司注册；阿里发布AliGenie语音开放平台（涉漫步者、启明星辰等）；华为下周一发布全球首款AI手机（涉中科创达、同兴达等）。个股信息，利好：供销大集、坚瑞沃能、岳阳林纸、新世界、冀中能源、远兴能源、中国武夷、焦作万方、岭南控股、渝开发、朗玛信息、金卡智能、光韵达、深天地A、滨化股份、建新股份、西部矿业、东旭蓝天、华灿光电、新华制药、岱勒新材、中国重汽、金洲管道、河钢股份、云铝股份、金冠电气、创业软件、拓斯达、博世科、维宏股份、爱乐达、茂化实华、信维通信、高升控股、友迅达、新坐标、维宏股份、金路集团、金银河三季报大幅预增；云天化、兰州黄河、美达股份、广晟有色、常山股份、沙河股份、长航凤凰、*ST中基、*ST东海三季报扭亏为盈；三花智控成为戴姆勒供货商；潞安环能股东拟增持。利空：中原特钢年报预亏；一汽夏利、南风化工、东方钽业、石化机械、吉电股份、卫士通、宇顺电子、科蓝软件、泰合健康、广东甘化、朗新科技、丰乐种业、晓程科技、*ST烯碳三季报预亏；津膜科技、红宇新材、盛运环保、太极集团、数码科技、昌红科技、中能电气、东安动力、艾比森、中光防雷、吴通控股、英飞特、金利华电、聚隆科技、东方通、三环集团、天孚通信、幸福蓝海三季报预降；常山药业、凤形股份股东减持；万马股份、宏盛股份、依顿电子、楚江新材股东拟减持。其它：昆百大A、康尼机电、南洋科技并购重组获批；家化集团拟要约收购上海家化20%股份；安信信托三季度获证金增持；鞍钢股份6.5亿股将无偿划转给中石油集团；中环股份、晶盛机电在无锡建设大硅片项目，总投资30亿美元；文化长城拟15.75亿收购翡翠教育；深圳能源拟2.32亿美元美国收购太阳能电站；陆家嘴逾13亿挂牌转让渣打银行大厦物业；东易日盛拟3亿收购欣邑东方60%股权；迅游科技1亿收购逸动无限18%股权，完善游戏业务布局；正平股份2800万控股隆地电力；青岛啤酒二股东朝日集团拟转让所持全部股份；天康生物股东中新建招商拟协议转让股份；中能电气与贵州黔能、银隆股份设立新能源公司；日海通讯拟与美国艾拉合资，推进“云+端”物联网战略；海马汽车与小鹏汽车合作整车产品下线；成飞集成与海军工程大学战略合作；万科与成都市签署战略合作，拟投2000亿开展产业新城建设；招商蛇口与优客工场战略合作，探索共享办公等创新业务；三川智慧10万台NB-IoT智能水表商用上线；四川长虹推出全球首个人工智能电视技术系统；青岛海尔入选高盛“新漂亮50”；上海家化、昆百大A、康尼机电、南洋科技、文化长城复牌。限售股解禁：新乡化纤、乐山电力、梦百合、恒星科技、智光电气、中电鑫龙、乐金健康、炬华科技、好想你、电光科技。昨日两市震荡，二八走势一致，盘面活跃点又发生很大变化，5G股再度走强，军工、钢铁等活跃，之前活跃的酒类股转跌，跌幅榜上一批之前的强势股，板块个股波动快速，参与难度很大，维稳行情更多的是指数的维稳，个股分歧大，投资者只能控制仓位轻大盘重个股，短线操作为主，不要激进。,,,,,0,0,0,2017-10-13 09:00,360安全浏览器,,,
3930845389404493,DcWqCDsxn,1642585887,新浪证券,现在才明白肖钢担任证监会扶贫小组组长是如此未雨绸缪，请问扶贫办电话是多少？O网页链接,,,,,195,216,367,2016-01-13 15:27,专业版微博,,,
3930885361257014,DcXt65h0q,5679302705,户外游,600650锦江投资（前天买入），早上没有看盘，涨停也就没出，刚刚一看收盘-0.36%。昨天进的002439启明星辰，22.80-0.57%。我第一个申请被扶贫,,,,,0,0,0,2016-01-13 18:06,360安全浏览器,,,3930845389404493
