id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4533963941488673,Jefyy6fgR,2885831344,梅州新闻联播,【2019年度广东扶贫济困红棉杯：梅州市24单位或个人获奖】日前，广东省扶贫开发领导小组通报了2019年度广东扶贫济困红棉杯认定结果，向全省积极参与2019年广东扶贫济困日活动的477个单位或个人授予“广东扶贫济困红棉杯奖杯”并颁发证书。梅州市有24单位或个人获奖。其中，梅州市的广东塔牌集团股份有限公司、广州凯源房地产有限公司董事长许应裘获得金杯，另有曾智明、梅州卷烟厂等22个单位或个人获得铜杯。#梅州身边事#,,,,梅州身边事,0,0,0,2020-08-03 22:25,微博 weibo.com,['http://ww3.sinaimg.cn/large/ac024ab0gy1ghdyvwq2z7j20ok0djh3n.jpg'],,
4533842318201508,JeconypAo,7311716806,广州铁路职业技术学院扶贫项目,【扶贫要闻】2019年度广东扶贫济困红棉杯揭晓，梅州24家单位个人“捧杯”日前，广东省扶贫开发领导小组通报了2019年度广东扶贫济困红棉杯认定结果，梅州市1单位1个人获得金杯，22个单位或个人获得铜杯。根据相关文件规定，经推荐(自荐)、评审、公示和认定等程序，广东省扶贫开发领导小组决定，向全省积极参与2019年广东扶贫济困日活动的477个单位或个人授予“广东扶贫济困红棉杯奖杯”并颁发证书。其中，梅州市的广东塔牌集团股份有限公司、广州凯源房地产有限公司董事长许应裘获得金杯，曾智明、刘伟权、蓝如娟、蓝如恺、谢远崧、刘建平、广东中烟工业有限责任公司梅州卷烟厂、梅州市西阳水电站有限公司、广东烟草梅州市有限公司、梅州市志浩电子科技有限公司、梅州市泰山实业有限公司、梅州市翼天置业有限公司、佛山兴宁商会、广东紫晶信息存储技术股份有限公司、丰顺永顺连铸厂、广东丰顺农村商业银行股份有限公司、五华县雄丰实业发展有限公司、广东印象房地产开发有限公司、广东五华一建工程有限公司、五华县万利达实业有限公司、广东兴安医药有限公司、梅州客商银行股份有限公司等22个企业或个人获得铜杯。（来源：梅州发布）,,,,,0,0,0,2020-08-03 14:21,小米8周年旗舰手机,,,
4533610776366343,Je6mVqIaX,2635179330,梅州发布,【塔牌集团获2019年度广东扶贫济困红棉杯金杯奖】30日，2020年“广东扶贫济困日”活动仪式在广州举行。活动公布了《关于2019年度“广东扶贫济困日”红棉杯认定结果的通报》，塔牌集团荣膺2019年度广东扶贫济困红棉杯金杯，成为梅州市唯一获此殊荣的企业。此外，塔牌集团属下企业惠州塔牌水泥有限公司亦获此荣誉。据了解，根据《广东扶贫济困红棉杯认定办法（暂行）》《广东扶贫济困日活动办公室关于开展2019年度广东扶贫济困红棉杯认定工作的通知》（粤扶济困办函〔2020〕6号）等文件规定，经推荐（自荐）、评审、公示和认定等程序，省扶贫开发领导小组决定，向2019年广东扶贫济困日活动慷慨解囊的477个单位和个人授予广东扶贫济困红棉杯奖杯并颁发证书。其中，51个单位和个人获广东扶贫济困红棉杯金杯，32个单位和个人获广东扶贫济困红棉杯银杯，394个单位和个人获广东扶贫济困红棉杯铜杯。这是今年塔牌集团获得2019年度梅州扶贫济困奖金奖后的又一项荣誉，也是省扶贫开发领导小组对塔牌集团勇担社会责任、积极参与扶贫济困的肯定。据了解，6月29日，在梅州市2020年“广东扶贫济困日”活动上，塔牌集团董事、总经理何坤皇代表企业捐赠2000万元，并进行“以购代捐”消费扶贫现场签约，以实际行动助力“消费扶贫”。一直以来，塔牌集团在精准扶贫、助学助教、新农村建设、消费扶贫等领域做出了积极贡献。不仅制定帮扶计划定向支持村镇村道建设、亮化工程、农民新村建设等项目，而且积极支持地方的文化培育、教育事业、卫生整治、环境保护等社会公益事业，助力修桥筑路、社区建设，致力于改善地方公路交通和人居环境。同时，不断创新扶贫方式，在消费扶贫领域积极实践，发挥企业优势给农产品“牵线搭桥”“以购代捐”助力打造农产品品牌，全力推进扶贫工作。此外，广泛动员公司全体职工力量支持扶贫济困工作，用实际行动践行社会责任、感恩回馈社会，带动下属各企业积极参与地方社会公益和慈善事业活动。今年，塔牌集团将继续努力，把企业做大做强，以善行诠释企业社会担当、用爱心谱写时代最美华章，助力梅州如期高质量打赢脱贫攻坚战。,,,,,0,0,1,2020-08-02 23:01,微博 weibo.com,,,
4533610005147105,Je6lGlAZP,2635179330,梅州发布,【奥利给！塔牌集团多个集体和个人荣获行业表彰】日前，人力资源社会保障部和中国建筑材料联合会联合发布《关于表彰全国建材行业先进集体、先进工作者和劳动模范的决定》。塔牌集团董事、总经理何坤皇荣获“全国建材行业劳动模范”称号，属下企业福建塔牌被评为“全国建材行业先进集体”。同时，在日前召开的“2020年广东建材、陶瓷产业发展大会”上，塔牌集团获评2019年度“广东建材绿色制造示范企业”、副总经理刘延东荣膺2019年度“广东建材科技工作先进个人”。据了解，多年来，塔牌集团始终坚持聚焦主业，做大做强水泥产业，着力打造塔牌水泥的核心竞争力，以质量打造品牌。坚持改革创新，推进干部管理制度、薪酬管理制度和经营管理模式的改革，不断提升企业管理水平，激发企业发展活力。坚持技术创新，不断推进技术改造、装备升级，积极引进和应用新产品、新工艺、新设备；着力推进数字矿山和智能水泥工厂建设，实现工厂运行自动化、管理可视化、故障预控化和决策智慧化。坚持绿色发展，着力建设绿色水泥矿山、绿色水泥工厂，真正实现清洁生产、超低排放，实现低碳生产、节能降耗，实现安全生产、持续发展。坚持共创共享，积极构建和谐劳动关系，成立员工互助基金会，推行员工持股计划，营造良好用工环境；响应各级党委政府关于扶贫攻坚的号召，参与“万企帮万村”和乡村振兴战略行动，支持企业所在地社会经济发展，树立起积极履行企业社会责任的良好形象，多次荣获省红棉杯、市扶贫济困奖的表彰。塔牌集团有关负责人表示，将不忘初心，牢记使命，砥砺前行，接续奋斗，继续做精做强水泥主业、整合提升混凝土产业、加快发展新兴产业。尤其是争取在水泥产业链之外成功发展第二主业，实现“两个主业，双轮驱动”的企业发展格局，坚持创新驱动发展战略，深入践行绿色发展理念，推动企业转型升级，增强社会责任担当，进一步实现更高质量、更有效率、更可持续的发展，努力为地方经济建设和社会发展作出更大的贡献。,,,,,0,0,0,2020-08-02 22:58,微博 weibo.com,,,
4533609861480650,Je6ls6dbs,2635179330,梅州发布,【2019年度广东扶贫济困红棉杯揭晓，梅州24家单位个人“捧杯”】日前，广东省扶贫开发领导小组通报了2019年度广东扶贫济困红棉杯认定结果，我市1单位1个人获得金杯，22个单位或个人获得铜杯。根据相关文件规定，经推荐(自荐)、评审、公示和认定等程序，广东省扶贫开发领导小组决定，向全省积极参与2019年广东扶贫济困日活动的477个单位或个人授予“广东扶贫济困红棉杯奖杯”并颁发证书。其中，我市的广东塔牌集团股份有限公司、广州凯源房地产有限公司董事长许应裘获得金杯，曾智明、刘伟权、蓝如娟、蓝如恺、谢远崧、刘建平、广东中烟工业有限责任公司梅州卷烟厂、梅州市西阳水电站有限公司、广东烟草梅州市有限公司、梅州市志浩电子科技有限公司、梅州市泰山实业有限公司、梅州市翼天置业有限公司、佛山兴宁商会、广东紫晶信息存储技术股份有限公司、丰顺永顺连铸厂、广东丰顺农村商业银行股份有限公司、五华县雄丰实业发展有限公司、广东印象房地产开发有限公司、广东五华一建工程有限公司、五华县万利达实业有限公司、广东兴安医药有限公司、梅州客商银行股份有限公司等22个企业或个人获得铜杯。,,,,,0,0,0,2020-08-02 22:58,微博 weibo.com,,,
4521094965224857,J8QM8lVdT,2097057967,梅州电台新闻台,【为爱鼓掌！2019年度梅州扶贫济困奖出炉！】今天上午，梅州市2020年“广东扶贫济困日”活动在梅城客商中心举行。活动现场，市委书记、市人大常委会主任陈敏为荣获“2019年度梅州扶贫济困特别爱心奖”的单位和个人颁奖。荣获“2019年度梅州扶贫济困特别爱心奖”的单位和个人是：广东珠江投资股份有限公司深圳凯南房地产开发有限公司、广州凯源房地产实业有限公司董事长许应裘先生荣获“2019年度梅州扶贫济困金奖”的单位和个人是：广东宝丽华电力有限公司广东中烟工业有限责任公司梅州卷烟厂薪火文化公益基金有限公司深圳市君成投资发展有限公司兴宁毅德商贸物流城有限公司、宁江文化促进会曾云枢深圳市泰富华悦都会置业有限公司平远县优浦房地产开发有限公司广东塔牌集团股份有限公司深圳市绿基房地产开发有限公司邓振龙广东珠光集团有限公司广东家园建筑工程有限公司东莞市武杰纺织原料有限公司讯联科技股份有限公司敏捷集团广东客天下旅游产业园有限公司深圳市嘉信福实业集团有限公司瑞信海德集团有限公司曾浩仁、邓绍光、柯利平荣获“2019年度梅州扶贫济困银奖”的单位和个人是：梅州市西阳水电站有限公司深圳市标特汽车（集团）有限公司广东烟草梅州市有限公司兴宁市泰山实业有限公司叶柳春梅州市翼天置业有限公司广州一龙印刷有限公司广东省云香慈善基金会深圳市建艺装饰集团股份有限公司广东紫晶信息存储技术股份有限公司深圳市爱义集团（深圳市生良房地产开发有限公司）广东粤东钢铁有限公司深圳市喜德盛自行车股份有限公司广东韩江工程总承包有限公司五华碧桂园置业有限公司广东五华一建工程有限公司五华奥园广场有限公司黄镜芳、刘伟权荣获“2019年度梅州扶贫济困铜奖”的单位和个人是：梅州市兴辉建筑工程有限公司兴国县将军中学广东神石生态农科股份有限公司深圳市崇诚实业有限公司广州升龙投资有限公司梅州市泰正土地房地产评估有限责任公司蕉岭县龙腾旋窑水泥有限公司梅州皇马水泥有限公司广州泓桥科技管理园科技有限公司深圳市美味通餐饮管理有限公司广州市长江企业集团有限公司（广州市君杰实业有限公司）深圳市鸿富瀚科技有限公司广州大学广东辉龙农业科技股份有限公司深圳市淇丰塑胶电子制品有限公司张振东大埔县绿保公益慈善会大埔县建兴实业有限公司刘建平梅州市陈志云慈善基金会广州对口帮扶梅州指挥部驻大埔县工作队广州市海珠区沙园街道办事处广东粤电大埔发电有限公司丰顺永顺连铸厂丰顺县韩江水电有限公司广东丰顺农村商业银行股份有限公司广东佳苑投资有限公司丰顺泰昌电声元件有限公司东莞市杰发实业投资有限公司广东嘉福投资集团有限公司丰顺县金琼建材实业有限公司深圳市美丽加科技有限公司广东烟草梅州市有限公司丰顺县分公司广东辉骏科技集团有限公司广东利通建设有限公司广东兴安医药有限公司五华县万利达实业有限公司广东五华二建工程有限公司五华县安宝盛房地产开发有限公司深圳市华富五金制品有限公司梅州客商银行五华县鼎德信置业有限公司五华县长安实业发展有限公司广东开元实业有限公司五华县雄丰实业发展有限公司中山市东成家具有限公司广东威宏兴科技有限责任公司梅州华侨房地产开发有限公司广东创达集团有限公司梅州华南康复医疗集团有限公司五华县景辰实业发展有限公司五华谷城投资有限公司五华县天悦实业有限公司五华县百洁灵科技有限公司广东新晋炜房地产有限公司梅州盛昌源新型环保建材有限公司佛山市桂城技工学校梅州市达庆机械设备有限公司李名柱房金花伉俪曾智明、谢远崧、蓝如娟、蓝如凯、廖志强、房广柱、邱瑞强、丘钢军、廖英武、丘兆升、王伟东、黄雅敏,,,,,0,0,0,2020-06-29 10:08,微博 weibo.com,"['http://ww4.sinaimg.cn/large/7cfe90afgy1gg8xoff511j20rs0gc7tq.jpg', 'http://ww3.sinaimg.cn/large/7cfe90afgy1gg8xonswz3j20rs0ii1kx.jpg']",,
4339672463144966,HgE3Qdc9g,2292881562,梅州日报,【蕉岭积极开展消费扶贫活动：通过企业大批量购买，解决贫困户农产品销售问题】#梅州新闻#蕉岭县扶贫开发局近日联合广东塔牌集团股份有限公司、蕉岭县南山寿农业发展有限公司，开展了“百企帮百村，共享丰收年”消费扶贫活动，通过企业大批量购买贫困户和困难群众的优质农产品，帮助他们增加收入。O蕉岭积极开展消费扶贫活动,,,,梅州新闻,0,0,0,2019-02-14 19:00,微博 weibo.com,['http://ww3.sinaimg.cn/large/88aa989agy1g05wzrfz1qj20m80cin0p.jpg'],,
4313791971994341,H5MN78mON,6438087638,MRZ嚴8325,20181205「今日无新股」市场回顾与展望⛳️市场点评市场回顾：沪指日线3连阳，钢铁板块领涨后市展望：市场对于经济下行压力担忧始终存在操作建议：首推“制造业中的TMT”。⛳️大事要闻11月经济数据预测⛳️热点追踪券商：华泰证券(601688)💁🏻‍♀️重点推荐建材《初窥农村需求的“黑盒子”》我们认为，在农村建设持续财政投入与中西部等地区近年扶贫基建抢工的背景下，海螺水泥、冀东水泥、华新水泥、万年青、塔牌集团等水泥企业有望持续受益；在农村家庭“收入投资剪刀差”持续扩大的趋势中，消费建材迎历史机遇，东方雨虹、伟星新材、北新建材、三棵树等公司有望迎来市场容量持续快速增长的历史机遇。《国君产业_产业观察：地产链兵器谱，纵览2019及业态展望》本期产业观察聚焦房地产产业链，一条是投资建设的链条，一条是消费和服务的链条。前者主要涉及周期和消费类行业；后者主要涉及消费、新兴产业和金融类行业。从产业链的高度，观察地产产业链上的：地产开发、运营、建安、建材、钢铁、家电、家居装饰行业，并且聆听首席说行业投资策略。,,,,,0,0,0,2018-12-05 09:00,HUAWEI P10,,,
4313791132377301,H5MLL9Yrz,5390932309,江船夜雨听琴,市场回顾：沪指日线3连阳，钢铁板块领涨后市展望：市场对于经济下行压力担忧始终存在操作建议：首推“制造业中的TMT”。大事要闻11月经济数据预测热点追踪券商：华泰证券(601688)重点推荐建材《初窥农村需求的“黑盒子”》我们认为，在农村建设持续财政投入与中西部等地区近年扶贫基建抢工的背景下，海螺水泥、冀东水泥、华新水泥、万年青、塔牌集团等水泥企业有望持续受益；在农村家庭“收入投资剪刀差”持续扩大的趋势中，消费建材迎历史机遇，东方雨虹、伟星新材、北新建材、三棵树等公司有望迎来市场容量持续快速增长的历史机遇。《国君产业_产业观察：地产链兵器谱，纵览2019及业态展望》本期产业观察聚焦房地产产业链，一条是投资建设的链条，一条是消费和服务的链条。前者主要涉及周期和消费类行业；后者主要涉及消费、新兴产业和金融类行业。从产业链的高度，观察地产产业链上的：地产开发、运营、建安、建材、钢铁、家电、家居装饰行业，并且聆听首席说行业投资策略。（仅供参考，风险自负!）,,,,,0,0,0,2018-12-05 08:56,360手机 N6,,,
4313785412193588,H5MCx9cEs,6680770651,I股往金来I,20181205市场回顾与展望⛳️市场点评市场回顾：沪指日线3连阳，钢铁板块领涨后市展望：市场对于经济下行压力担忧始终存在操作建议：首推“制造业中的TMT”。⛳️大事要闻11月经济数据预测⛳️热点追踪券商：华泰证券(601688)💁🏻‍♀️重点推荐建材《初窥农村需求的“黑盒子”》我们认为，在农村建设持续财政投入与中西部等地区近年扶贫基建抢工的背景下，海螺水泥、冀东水泥、华新水泥、万年青、塔牌集团等水泥企业有望持续受益；在农村家庭“收入投资剪刀差”持续扩大的趋势中，消费建材迎历史机遇，东方雨虹、伟星新材、北新建材、三棵树等公司有望迎来市场容量持续快速增长的历史机遇。《国君产业_产业观察：地产链兵器谱，纵览2019及业态展望》本期产业观察聚焦房地产产业链，一条是投资建设的链条，一条是消费和服务的链条。前者主要涉及周期和消费类行业；后者主要涉及消费、新兴产业和金融类行业。从产业链的高度，观察地产产业链上的：地产开发、运营、建安、建材、钢铁、家电、家居装饰行业，并且聆听首席说行业投资策略。,,,,,0,0,0,2018-12-05 08:34,Android,['http://ww4.sinaimg.cn/large/007i7PDlly1fxvkisn88mj30b408vgls.jpg'],,
