id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4180815900918996,FxUoe3R4w,5506906732,嗨牛财经,实时播报：【地方政府专项债券扩容，财政部研究发行棚改及扶贫专项债】嗨牛财经讯，财政部正在研究扩大专项债的内容，在已经发行的地方政府交通债、土地债的基础上，研究扩大发行棚改专项债、扶贫专项债等相关债券，以应对地方政府对于融资的需求。（经济观察报）★涉及概念：扶贫开发★相关个股：天邦股份002124、牧原股份002714、天原集团002386,,,,,0,0,0,2017-12-03 10:20,专业版微博,,,
4174768250875421,Fvn3X3FJH,5506906732,嗨牛财经,实时播报：【证监会：加强对资本市场扶贫政策宣传力度】嗨牛财经讯，证监会近日召开定点扶贫工作座谈会，证监会主席助理张慎峰表示，要加强对资本市场扶贫政策宣传力度，坚持市场化原则，扩大政策扶贫效应。★涉及概念：扶贫开发★相关个股：天邦股份002124、牧原股份002714、天原集团002386,,,,,1,1,0,2017-11-16 17:49,专业版微博,,,
3999405495720221,DFHZro05D,2681597071,谈论股市,全国“十三五”易地扶贫搬迁规划已编制完成20日从发改委获悉，目前，国家发展改革委已编制完成《全国“十三五”易地扶贫搬迁规划》，按程序报批后即将印发实施。相关个股：天原集团、阳光电源、隆基股份O网页链接,,,,,0,0,1,2016-07-20 20:00,价值帮,,,
3989121669821623,DBosCFd3h,2565351095,蒋安学交易,#事件套利#昨日（6.21）微博“健康扶贫”-天原集团。事件出处：见“事件表”，目标古：3选一，参考“选股工具（四）”O网页链接,,,,事件套利,0,0,0,2016-06-22 10:56,微博 weibo.com,['http://ww2.sinaimg.cn/large/98e826b7jw1f53temha8uj20aw08oq4b.jpg'],,
3989048353584242,DBmynf2qm,2881886373,老蔡论市,【资讯】央行:研究允许符合条件的优质外企境内发行股票；港媒称深港通或7月1日宣布；大佬警告英国退欧；耶伦：预期缓慢加息；玲珑轮胎周三申购；【板块信息】今年开建2000公里以上地下管廊投资拉动巨大：韩建河山、纳川股份、龙泉股份。多部门联合发布实施健康扶贫工程意见：：隆基股份、天原集团、猛狮科技等；废塑料变成液体燃料废回收有望成为能源新贵：霞客环保、格林美、东江环保、桑德环境等。能源装备实施方案印发先进核电成最大看点：科新机电、久立特材、应流股份等；国际OLED大会召开在即产业前景广阔：万润股份、西安瑞联、康得新、普京访华将签数十亿美元高铁大单：晋亿实业、晋西车轴、博深工具；青岛将建国内首条庞巴迪无线充电实验线：特锐德、许继电气、万马股份、思源电气等。,,,,,0,0,0,2016-06-22 06:05,iPhone 6 Plus,,,
3988816669040060,DBgwGBVJq,5613721425,优品股票通,【午后行业利好】一、多部门联合发布实施健康扶贫工程指导意见。相关个股：隆基股份（601012）、天原集团（002386）、猛狮科技（002684）。二、三大运营商将发力物联网行业需求迎快速扩容。物联网概念：汉威电子（300007）、远望谷、东土科技（300353）、厦门信达（000701）等。#股票推荐#,,,,股票推荐,0,0,0,2016-06-21 14:44,微博 weibo.com,['http://ww4.sinaimg.cn/large/0067UBnXgw1f52udlo9hlj30av064mxg.jpg'],,
3988804866229973,DBgdEq8Hr,2694613271,噶珊达,多部门联合发布实施健康扶贫工程指导意见三股有望受益相关股隆基股份601012天原集团002386猛狮科技002684,,,,,0,0,0,2016-06-21 13:57,360安全浏览器,,,
3948222513336734,Dkeufe02i,5381917043,知心兰姐,四川将投入约10亿元在38个贫困县推进“土地整治扶贫”，建设规模73万余亩。这将切实提升耕地质量，改善贫困农村生产生活条件，增加贫困地区农民收入，直接受益43万人。关注相关概念：梅泰诺、天原集团、圣农发展、隆基股份（注：关注不是买入）O网页链接,,,,,0,0,1,2016-03-01 14:17,水晶球,,,
3948220624801802,Dkerck9aq,5107770364,黄疯子论市,四川将投入约10亿元在38个贫困县推进“土地整治扶贫”，建设规模73万余亩。这将切实提升耕地质量，改善贫困农村生产生活条件，增加贫困地区农民收入，直接受益43万人。相关概念：梅泰诺、天原集团、圣农发展、隆基股份,,,,,0,0,0,2016-03-01 14:10,360安全平台,,,
3948220616412340,DkerbqU8Q,5103473439,小敏论市,四川将投入约10亿元在38个贫困县推进“土地整治扶贫”，建设规模73万余亩。这将切实提升耕地质量，改善贫困农村生产生活条件，增加贫困地区农民收入，直接受益43万人。相关概念：梅泰诺、天原集团、圣农发展、隆基股份,,,,,0,0,0,2016-03-01 14:10,360安全平台,,,
