id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4524758345845702,Jao4OowJw,2154344603,饲料行业信息网,【斥资近24亿元天邦股份拟再投建26个养猪项目】　2020年上半年成功大幅扭亏为盈的天邦股份(002124)，进一步加大了对生猪养殖产业的布局。　　再投建26个养猪项目　　7月8日晚间天邦股份公告称，公司为抓住行业发展机遇、进一步扩大生猪养殖规模，拟在江苏、安徽、广西、河北、山东等省份建设生猪养殖项目及配套项目。　　据披露，本次规划建设的项目包括建造(含改造)西式母猪场12个，公猪站2个，育肥场(培育场)12个，合计26个项目。项目实施地均为公司规划中的资源优势区域和重点养殖发展区域，项目总投资23.85亿元，其中包含母猪场固定资产投资15.95亿元，配套公猪站投资2640万元、配套育肥场(培育场)投资7.64亿元。全部达产后预计可形成12.42万头母猪产能，年出栏约310.5万头生猪的生产能力。项目拟分期进行，建设资金以自有资金、银行贷款、扶贫资金或其它市场化融资方式解决。　　新建猪场项目的建设周期为0.5-2年，新建猪场项目竣工之后0.5-1年内可达产。截至公告日，上述现代化生猪养殖投资项目所涉及的立项、环评、用地等手续正在申办中，项目经股东大会审议通过后，将根据土地使用权购买或租赁、环保批复取得的时间来安排开工建设。　　这不是本轮生猪价格上行周期以来天邦股份的首轮大手笔布局。　　公司今年4月曾公告，拟在江苏、安徽、广西、河北、山东等省份建设生猪养殖项目及配套项目。项目包括建造(含改造)西式母猪场17个，公猪站1个，培育场(育肥场)9个，合计27个项目，项目总投资32.41亿元，拟分期进行，建设资金以自有资金、银行贷款、扶贫资金或其他市场化融资方式解决。新建猪场项目的建设周期为0.5-2年，新建猪场项目竣工之后0.5-1年内可达产。　　对于此番再度大局投入养猪，天邦股份表示，近年来，国内生猪养殖巨头均持续进行扩产能、降成本、增效率、信息化、强整合。公司需要把握生猪产业发展的黄金周期，及时布局、加大投资、提升生猪养殖效率、快速提高市场份额。本次投资项目涉及多个现代化生猪养殖产业化项目，项目完成后，公司将新增产能约310.5万头出栏生猪，从而进一步提高规模效应，增强公司的盈利能力，并为公司的长远发展奠定坚实基础。　　结合生猪养殖行业的周期性情况、公司的经营数据等，公司谨慎预测每头母猪年出栏生猪25头，出栏生猪平均利润为300元/头，本次规划项目达产后，预计年实现利润9.32亿元。　　猪企上半年业绩普遍预喜　　天邦股份对于养猪的投入，源于公司近年在养殖板块的可观盈利。虽然公司拥有水产饲料、生物制品、生猪养殖(汉世伟)、生鲜食品(拾分味道)、工程建设(天邦开物)等业务板块。不过近日公司发布的2020年上半年业绩预告表示，期内业绩大幅增长主要来自于公司生猪养殖业务。　　天邦股份2020年上半年实现盈利14.8亿元-15.8亿元，上年同期亏损3.67亿元，业绩同比上升502.90%-530.12%。期内公司预计基本每股收益盈利1.2763元/股-1.3625元/股，上年同期亏损为0.3168元/股。公司表示，期内生猪销售价格处于高位运行区间，公司商品猪出栏价格较去年同期上升336.11%，销售收入同比上升67.14%。同时公司商品猪销售构成中仔猪和种猪的占比较高，相应的毛利率也较高。　　除天邦股份外，近日牧原股份发布的2020年上半年业绩预告也显示，期内公司预计盈利105亿元至110亿元，预计基本每股收益为2.8016元/股至2.935元/股。此前在2019年上半年，公司亏损1.56亿元。公司表示，受非洲猪瘟疫情影响，国内生猪产能大幅下降，猪肉市场供需矛盾突出，2020年上半年生猪价格较上年同期大幅上涨，是导致报告期净利润扭亏为盈的主要原因。　　不过随着去年末大量产能的投建，近期已有市场分析人士指出，国内生猪产能现逐步回暖态势，猪价未来走势或不容乐观。　　卓创资讯马丽媛认为，二元母猪与仔猪持续上涨，养殖端补栏成本高位，加之非瘟疫情时时威胁，国内特别是南方市场复产速度不快。相对来讲，散户及中小场受猪价影响较大，补栏积极性一般，以直接购买仔猪或二次育肥为主;规模养殖集团扩产积极，采用外购二元母猪、仔猪或“商转母”多重手段来增加出栏量，出栏占比迅速增加。　　据卓创资讯监测，国内定点规模养殖场生猪出栏量在2020年2月达到谷底，较2019年1月下降58.20%。2020年3月开始出栏量止跌反弹，其中北方供应相对充足，南方存栏多数在8月份左右开始增加，届时国内产能集中释放，商品猪出栏增速或加快。也因此，预计2020年下半年国内猪价整体呈现下降态势，2019年的辉煌难以延续。,,,,,0,0,1,2020-07-09 12:45,360安全浏览器,,,
4479089971104344,Ixbut4Di0,6394942852,小刀资本,给大家推荐三个板块，近一个月的热门板块，首先关于两会的，大湾区和扶贫两个概念，扶贫这个概念没什么地方有，大湾区：$深中华Asz000017$西陇科学sz002584扶贫：*ST猛狮sz002684天邦股份sz002124，爱康科技sz002610。第三个板块就是农药板块，蝗灾的影响在持续，农药股票上行仍有很大的空间，诺普信sz002215$辉丰股份sz002496$长青股份sz002391。,,,,,0,0,3,2020-03-05 12:15,华为手机 畅享玩不停,,,
4448266709800803,IkfDwF7Dt,1324343335,新京报食物链,【#天邦股份#拟建可存10万头母猪养殖基地】12月9日，天邦食品股份有限公司（以下简称“天邦股份”）发布公告称，拟与山西省昔阳县人民政府开展生猪养殖合作，在昔阳县逐步形成存栏约10万头母猪、年生产250万头断奶仔猪的养殖基地。此外，天邦股份还宣布将成立史记生物技术有限公司（以下简称“史记生物”），主营专业技术服务。公告显示，包括固定资产、生物资产在内，昔阳县生猪养殖项目的投资总额为20亿元，其中5亿元——10亿元来源为扶贫贷款资金。同时，山西省昔阳县人民政府将组建专门的天邦项目领导协调小组，在立项、土地、环评、排污、用电、用水、道路等方面依法提供相应政府配套政策及支持，并为天邦股份提供良好营商环境，依法用好、用足招商引资优惠政策，以便天邦股份能顺利开展投资、建设、生产等事宜。天邦股份表示，在昔阳县投资建设养殖基地，不仅能促进当地就业，助力当地农户脱贫致富，也可以帮助天邦股份快速扩大母猪场规模，为长期出栏增长提供有力支持。此外，政府提供的扶贫资金支持，将有效降低公司猪场建设资金成本和资金压力。同日，天邦股份还宣布拟在江苏南京注册成立全资子公司史记生物技术有限公司（简称“史记生物”），主营专业技术服务，注册资本为3亿元。天邦股份称，史记生物旨在通过整合公司现有生猪育种、动物疫苗、疫病检测、生物饲料、猪场智能化管理等优势资源，发挥协同效应，为提升生猪养殖效益提供整体解决方案，有助于进一步增强天邦股份核心竞争力，提高盈利能力。天邦股份称，在未来，除服务公司养殖业务外，史记生物还将对外输出高附加值的系列服务和产品，为中国生猪养殖行业效率改善提供增值服务。,,,,天邦股份,0,0,0,2019-12-11 10:54,专业版微博,['http://ww1.sinaimg.cn/large/4eefe027ly1g9slhi15wgj20hs0a0aa9.jpg'],,
4447913184589786,Ik6rkjg0O,6000078825,通今又博古,天邦股份：拟20亿昔阳县投建10万头母猪养殖基地　　天邦股份（002124）12月9日晚间公告，公司与山西省昔阳县政府签订战略合作框架协议，拟在昔阳县逐步形成存栏约10万头母猪、年生产250万头断奶仔猪的养殖基地。预计包括固定资产、生物资产在内的投资总额为20亿元，其中5亿至10亿元来源为扶贫贷款资金。,,,,,0,0,0,2019-12-10 11:30,微博 weibo.com,"['http://ww1.sinaimg.cn/large/006y3IAVgy1g9rcthzhapj3053053mx8.jpg', 'http://ww3.sinaimg.cn/large/006y3IAVgy1g9rcthwc46j3054053q2w.jpg', 'http://ww1.sinaimg.cn/large/006y3IAVgy1g9rcthw3lcj3053053q2u.jpg', 'http://ww4.sinaimg.cn/large/006y3IAVgy1g9rcti2k69j3053053jrf.jpg', 'http://ww3.sinaimg.cn/large/006y3IAVgy1g9rcti27nqj3054053dfu.jpg', 'http://ww3.sinaimg.cn/large/006y3IAVgy1g9rcti2i7gj3053053q2x.jpg', 'http://ww4.sinaimg.cn/large/006y3IAVgy1g9rcti5bblj3053053wef.jpg', 'http://ww4.sinaimg.cn/large/006y3IAVgy1g9rcti5qyej3054053wee.jpg', 'http://ww4.sinaimg.cn/large/006y3IAVgy1g9rcti7p0cj3053053jr8.jpg']",,
4447892292595576,Ik5TDaTe8,5142925120,Sixth潮童3,"天邦股份(11.900,-0.23,-1.90%)：拟20亿昔阳县投建10万头母猪养殖基地　　天邦股份（002124）12月9日晚间公告，公司与山西省昔阳县政府签订战略合作框架协议，拟在昔阳县逐步形成存栏约10万头母猪、年生产250万头断奶仔猪的养殖基地。预计包括固定资产、生物资产在内的投资总额为20亿元，其中5亿至10亿元来源为扶贫贷款资金。",,,,,0,0,0,2019-12-10 10:07,微博 weibo.com,"['http://ww4.sinaimg.cn/large/005C3bLagy1g9re82zd8nj307z085t9a.jpg', 'http://ww2.sinaimg.cn/large/005C3bLagy1g9re8306dnj3080085q3g.jpg', 'http://ww4.sinaimg.cn/large/005C3bLagy1g9re8358bzj307z085wf5.jpg']",,
4447886492632362,Ik5Khb2Ns,2154344603,饲料行业信息网,【天邦股份：拟投资20亿元建设年产250万头仔猪养殖基地】　天邦股份(002124)12月9日晚间公告，公司与山西省昔阳县政府签订战略合作框架协议，拟在昔阳县逐步形成存栏约10万头母猪、年生产250万头断奶仔猪的养殖基地。预计包括固定资产、生物资产在内的投资总额为20亿元，其中5亿元-10亿元来源为扶贫贷款资金。　　协议显示，昔阳县人民政府将组建专门的天邦项目领导协调小组，在立项、土地、环评、排污、用电、用水、道路等方面依法提供相应政府配套政策及支持，同时为公司提供良好营商环境及招商引资优惠政策，便于公司顺利开展投资、建设、生产等。　　天邦股份表示，此次与昔阳县人民政府签订战略合作框架协议，是公司利用自身在技术研发、生猪养殖运营方面的优势，积极响应当地政府政策号召、参与当地农业经济发展的举措。本次在昔阳县投资建设养殖基地不仅能促进当地就业、助力当地农户脱贫致富，还可以帮助公司快速扩大母猪场规模，为长期出栏增长提供有力支持。同时，配合政府提供的扶贫资金支持，可以有效降低公司猪场建设资金成本和资金压力。,,,,,1,0,0,2019-12-10 09:44,360安全浏览器,,,
4447885220984276,Ik5Ie483q,6860974977,免费牛股mianfeiniugu,"商赢金控公司直接向公司全资子公司商赢香港公司赠与港大零售国际控股有限公司20%股权资产。同时，公司关联方拟向公司无偿赠与商赢医院管理公司9.65%股权。公司在受赠港大零售公司20%的股权后，将间接持有商赢医院管理公司10.4%的权益。　　九强生物公告，公司拟非公开发行股票募集资金不超过12亿元，扣除发行费用后拟全部用于补充流动资金。国药投资以现金认购本次非公开发行的全部股票。按照本次非公开发行股票的数量上限计算，本次发行完成后，国药集团将持有公司5%以上的股份并成为公司第一大股东。本次非公开发行前，公司无控股股东和实际控制人，本次非公开发行完成后，公司仍无控股股东和实际控制人。　　商赢环球公告，此前，公司拟受让商赢金控公司所持有的港大零售国际控股有限公司50.01%的股权。由于公司收购港大零售公司股份的程序较长且复杂，预计无法尽快完成，双方决定终止此次股权转让事宜。双方决定将原方案改为由　　天邦股份公告，公司与昔阳县政府签订战略合作框架协议，拟在昔阳县逐步形成存栏约10万头母猪、年生产250万头断奶仔猪的养殖基地。预计包括固定资产、生物资产在内的投资总额为20亿元，其中5亿-10亿元来源为扶贫贷款资金。　　格林美公告，近日，LG化学向公司正式下达了新能源动力电池用高镍三元前驱体产品批量采购订单，标志着公司开始全面向LG化学供应新能源动力电池用高镍三元前驱体产品。　　楚天科技公告，公司正在筹划发行股份、可转换公司债券及支付现金购买资产并募集配套资金。本次筹划购买楚天投资、澎湃投资持有的楚天资管股权即购买其间接持有德国Romaco公司的股权，本次交易预计构成重大资产重组及重大关联交易。公司股票自2019年12月10日上午开市起停牌。　　公司同时公告，公司拟通过以不超过4,165万欧元对楚天资管进行增资的方式，完成对德国DBAG基金持有Romaco公司剩余24.9%股权的收购。　　中航光电公告，鉴于公司股票市场价格持续超出回购价格上限，回购股份无法实施，公司拟终止回购股份方案。本次终止回购股份事项尚需提交公司股东大会审议。　　截至2019年12月9日，公司通过股票回购专用证券账户以集中竞价交易方式累计回购股份数量为296,258股，约占公司目前总股本的0.03%，购买的最高价为40.10元/股，购买的最低价为39.18元/股，支付总金额为11,776,930.10元（不含交易费用）。　　锦富技术公告，公司拟将持有的全资子公司南通旗云科技有限公司100%股权转让给上海岽晖，转让对价为13,100万元。公司表示，本次转让南通旗云100%股权，是落实公司年初所制定的收缩、剥离光伏及大数据业务之战略规划调整的重要举措之一。通过剥离公司的非核心业务，集中优势资源重点发展公司的模切模组及智能检测与自动化等核心业务。本次股权交易预计将产生约4300万元股权处置收益。　　天和防务公告，公司控股股东、实际控制人贺增林及其一致行动人刘丹英决定提前终止减持6%公司股份的计划，截至公告日共计减持公司股份910.36万股，占公司总股本的3.79%。贺增林及刘丹英发起新的减持计划，拟6个月内合计减持公司股份不超过1,920万股，占公司总股本比例8.00%。　　上海钢联公告，公司控股股东兴业投资计划自公告日起15个交易日后的6个月内，以集中竞价方式减持公司股份累计不超过4,774,420股，即不超过公司总股本比例3.00%。截至公告日，兴业投资持有公司股份40,104,743股，占公司总股本比例25.21%。　　富祥股份公告，公司股东富祥投资计划自公告日起3个交易日后的6个月内，以大宗交易方式减持公司股份不超过7,966,300股，占公司总股本的3%。　　兴源环境公告，公司拟申请非公开发行绿色公司债券。本次公司债券面值100元，按面值平价发行。本次发行的公司债券票面总额不超过15亿元，募集资金拟用于绿色项目建设及补充流动资金。",,,,,0,0,0,2019-12-10 09:38,微博 weibo.com,['http://ww3.sinaimg.cn/large/007ujX0Jgy1g9rdo8kja3j309o09kwf3.jpg'],,
4447880561222419,Ik5AI580r,1896027824,金水湾科技,【天邦股份拟投资20亿在昔阳县建设10万头母猪养殖基地】12月9日，天邦股份与昔阳县政府签订战略合作框架协议，拟在昔阳县逐步形成存栏约10万头母猪、年生产250万头断奶仔猪的养殖基地。预计包括固定资产、生物资产在内的投资总额为20亿元，其中5-10亿元来源为扶贫贷款资金。,,,,,0,0,0,2019-12-10 09:20,股市风暴超话,,,
4447854758623653,Ik4V5Abpb,1607728553,智泉古道,天邦股份：与昔阳县政府签订战略合作框架协议，拟在昔阳县逐步形成存栏约10万头母猪、年生产250万头断奶仔猪的养殖基地。预计包括固定资产、生物资产在内的投资总额为20亿元，其中5-10亿元来源为扶贫贷款资金。#A股#,,,,A股,0,0,22,2019-12-10 07:37,,,,
4447739309808501,Ik1USF9DD,5574952881,复活交易,天邦股份：拟20亿昔阳县投建10万头母猪养殖基地　　天邦股份(002124)12月9日晚间公告，公司与山西省昔阳县政府签订战略合作框架协议，拟在昔阳县逐步形成存栏约10万头母猪、年生产250万头断奶仔猪的养殖基地。预计包括固定资产、生物资产在内的投资总额为20亿元，其中5亿至10亿元来源为扶贫贷款资金。,,,,,0,0,0,2019-12-09 23:59,微博 weibo.com,,,
