id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4428686172249159,Ic2g19r6L,2330272751,奇正藏药,截至2018年底，奇正藏药累计投入1亿余元人民币用于#藏区#和西部医疗、教育、#扶贫#、赈灾等社会#公益#事业。奇正藏药董事长雷菊芳女士说，“人在社会，身入江湖，相互依赖、互为因缘、互为生态，我们共同创造世界常存的温暖真情。”O雷菊芳：随性入江湖，侠义利他人,,,,"藏区,扶贫,公益",1,3,3,2019-10-18 10:08,微博 weibo.com,,,
4426202863518849,IaZEGeLpD,2345219597,威海科技,兰州国家自创区42家企业参展第四届兰州科博会2019-10-1109:38:52　来源:中国高新技术产业导报作者:黄相柱近日，以“科技兴业、博览世界、会聚兰州”为主题的第四届兰州科技成果博览会在甘肃国际会展中心举办。在此科博会上，兰州国家自创区（兰州高新区）全面展示了自创区批复以来取得的科技创新成果。本届科博会历时三天，共设7大展区，面积1.5万平方米，分为兰白自主创新示范区展区、科技成果展示区、十大生态产业展区、智慧城市展区、国际与国内科技合作展区、科技扶贫展区、科技嘉年华展区7大展示区。兰州国家自创区（兰州高新区）位于1号展馆，共有42家企业参展，其中参展成果160项，展品80余项，充分展示出兰州国家自创区在生物医药、智能制造、新材料、电子信息等方面的新产品。在重点展示区内，佛慈制药、陇神戎发、奇正藏药、中农威特、甘肃伯骊江3D打印、兰州三体科技、西脉、中电万维、甘肃紫光等重点企业及创新载体、创新平台，受到巡馆领导、嘉宾和企业家的高度关注和好评，展区参观者络绎不绝。据悉，兰州国家自创区（兰州高新区）将借助本届科博会，充分展示园区在生物医药、智能制造、新材料三大产业方面的产业优势，凸显兰州自创区“1+4+7”政策辐射带动作用，通过创新工作站等新型产学研机构的建立，进一步加大科技创新、加快科技成果转化，把兰州国家自创区打造成为甘肃乃至西部地区的科技创新高地。,,,,,0,0,1,2019-10-11 13:41,专业版微博,,,
4321778442340921,H98yw9OYN,6092162496,定西日报,"#庆祝改革开放40年#【“定西三宝”蛹化蝶“产业花”开幸福来】“苦地”上播下新生活庆祝改革开放四十周年特稿定西九章之四　　“陇中苦瘠甲天下。”　　定西的历史,就是定西人在极其严酷的自然条件下求生存、求发展的奋斗史。　　新中国成立以来,面对“山是和尚头,沟深无水流”的恶劣生存环境,定西人以苦干治苦瘠,以“人一之、我十之,人十之、我百之”的拼搏精神,修梯田、植林草,硬是将干山洼变成了米粮川,结束了定西人吃不饱饭的历史。　　尤其是改革开放以来,在党和国家的倾力支持下,定西人发扬“三苦”精神,开启了治穷致富、脱贫攻坚、决胜小康的伟大实践。四十年来,定西人以超过常人百倍、千倍的艰辛付出建设美丽家园、创造美好生活,奋进在建设文明美丽新定西的征途上,写就了贫困地区艰苦奋斗、脱贫致富的辉煌篇章。“定西三宝”蛹化蝶　“产业花”开幸福来苹果产业成为定西脱贫致富的朝阳产业。　　近年来,有关“定西三宝”的说法广为流传,有人说“定西三宝”是土豆、洋芋、马铃薯,有人说是洋芋、牧草、中药材,还有人说是果蔬、蜂蜜、小杂粮……这种多样性的表达从一个侧面反映了改革开放以来定西培育壮大支柱产业,全力推动经济发展取得的骄人成绩。　　改革开放以来,定西人民发扬“三苦精神”,顺应经济规律、顺应自然规律、顺应市场规律,以令世人惊叹的韧劲、干劲,坚持不懈治山水、强基础、调结构、兴产业、增收入,全力以赴培育、壮大支柱产业。　　经过几十年的努力,马铃薯、中医药、草牧、果蔬等优势主导产业从无到有、由小变大、由弱变强,电子商务、光伏发电、文化旅游等新兴富民产业发展势头强劲,为脱贫致富奔小康提供了强有力的支撑。　　“中国薯都”“中国药都”“中国西部草都”……如今,定西这方曾被联合国教科文组织认为“不适宜人类居住”的土地,拥有了许多亮丽新名片。　　本报记者　张莉芳方兴未艾的光伏扶贫产业。　　一　　马铃薯是定西人过去的救命薯、温饱薯,现在的致富薯、小康薯。　　翻开定西的贫困史,草木枯萎、庄稼绝收的一幕幕惨象令人唏嘘。　　然而,即便小麦等庄稼颗粒无收,块茎深埋地下的洋芋却总能收个三五筐。直到后来,定西人才明白,干旱苦瘠的定西大地,却是中国最适宜种植马铃薯的地方。　　旧民谣唱道:“面朝黄土背朝天,汗珠子摔成了八瓣。打下的粮食吃不到头,煮一锅洋芋过年。”　　洋芋,这一“疗饥救荒”的“贫地之贮”养活了一代又一代定西人。把洋芋当主粮、靠洋芋度饥荒曾是定西人辛酸的集体记忆。　　上世纪90年代中后期,定西连续多年遭遇大旱。为了抗旱保收,市上提出了“压夏扩秋”计划,经过几年试验摸索,最终于1996年提出了实施“洋芋工程”的计划,开始在这块贫瘠的土地上大面积推广马铃薯种植。随着产业的初步形成和发展,后来又提出“打造马铃薯之乡”的思路,2008年正式提出了“打造中国薯都”的构想。从此,马铃薯产业正式步入科学化布局、集约化种植、标准化生产、精深化加工的新阶段。　　20年时光荏苒,20年艰难探索。　　20年间,历届市委、市政府一届接着一届干,带领全市干部群众,群策群力,苦干巧干,创造了深度贫困地区面向市场、扬长避短、产业扶贫的“定西样本”。　　20年间,定西跻身于全国三大马铃薯主产区,成为全国区域性马铃薯良种繁育基地、全国重要的商品薯生产基地和全国重要的薯制品加工基地,出产的良种、鲜薯和薯制品俏销全国各地,鸽子蛋般大的马铃薯微型种薯还远渡重洋,落户埃及、沙特阿拉伯,在那里“孕育”更多的“子孙后代”。　　20年间,随着马铃薯主食化战略的深入推进,马铃薯一改往日“灰头土脸”的形象,化身“颜值”极高的美食。土豆苁蓉三鲜、土豆荷花酥、迷你烤馕、多纳圈等马铃薯主食化产品已“漂洋过海”来到阿联酋等国家老百姓的餐桌上。　　“定西马铃薯”因此被国家工商总局认定为中国驰名商标,荣获“全国十大魅力农产品”称号。　　目前,全市种植马铃薯300万亩,占农作物种植面积的34.54%,原原种生产能力达到10亿粒；马铃薯产业总产值达到163亿元,人均产业收入1590元,占农民人均可支配收入的23.2%；万吨以上马铃薯加工龙头企业达到28家,加工能力达到79万吨。马铃薯主食生产企业15家、生产线22条,产能已达到13万吨。　　在农民眼中,昔日不起眼的“小土豆”现在成了“致富薯”“小康薯”。2017年,全市农民人均从马铃薯产业中获得收入1590元,马铃薯产业已成为定西市具有代表意义和独特优势的支柱产业之一,是农民收入的重要来源。马铃薯产业成为定西脱贫致富的主导产业。　　二　　定西有2000多年生产和药用黄芪、当归、党参等道地药材的历史。伴随着改革开放的浪潮,定西中医药事业迎来了快速发展期。特别是进入二十一世纪以来,我市积极推进与“一带一路”沿线国家在中医药领域的深度合作。如今,中医药已经成为定西对外交流的一张新名片。　　定西是有名的“千年药乡”,中药材资源丰富,有中药材品种资源439种。这是一种难得的资源优势。　　如何将这一资源优势转化为发展优势?近年来,我市抢抓国家着力推动中医药振兴发展的机遇,将目光投向中药材市场供应,推广扩大中药材种植,将道地药材“小产地”变为“主产区”。目前,全市中药材种植面积达到了151.88万亩,其中规范化种植基地121.4万亩,形成岷县当归、陇西黄(红)芪、渭源党参三个特色鲜明的中药材优势种植带,陇西、岷县、渭源分别赢得“中国黄芪之乡”“中国当归之乡”“中国党参之乡”殊荣,其中陇西县被确定为“国家级中医药原料生产供应保障基地”。　　随着中药材产量的不断扩大,以陇西首阳中药材市场、岷县当归城、渭源渭水源中药材市场等5个专业市场为龙头,以产地集贸市场为补充,以各乡镇收购网点为延伸、电子商务为补充的中药材市场体系逐渐形成,前后吸引了陇西康美现代仓储物流及交易中心、江能集团岷归综合产业园、渭源九洲通仓储交易市场等现代仓储物流项目先后落户定西。　　“天然药仓”的定西成为了名副其实的“天下药仓”。截至目前,全市中药材静态仓储能力达到80万吨,仓储品种320多个,年仓储周转量达100万吨；中药材年交易量达30万吨,年交易额180亿元以上。　　今年,江能集团又运用“互联网＋中药产业＋金融服务＋现代物流”的服务模式,投资建成了中药材O2O体验中心、智能云仓等项目,有效解决产业上下游客户信息不对称、商品质量不确定、买卖难、融资难、违约多、交易成本高的问题,让普通药农和药商通过网络平台,就将中药材卖向了全国各地。　　从种药到储药再到卖药,定西市在不断延伸中药材产业链的同时,也将目光投向了中药材精深加工领域,通过深加工提升“含金量”,打造“陇药”品牌。　　在总规划面积46平方公里的甘肃陇西中医药循环经济产业园、岷县中医药循环经济产业园、渭源县工业园、渭源会川工业园和安定区口园等5个以中医药为主的产业园,先后有奇正藏药、康美药业、神威药业、禾邦制药、千金药业等120多户药企入驻,把中药材变成保健食品、中药饮片、中药提取物、中成药等精深加工产品,推向全国甚至全球。2017年全市中医药产业实现总产值144亿元,农民人均产业纯收入达1695元,占人均可支配收入的24%。　　今年10月,首届中国(甘肃)中医药产业博览会在陇西举行,定西以崭新的形象登上对外展示的国家级舞台。　　从中药材产地到中药材全产业链发展,定西交出了一份深度贫困地区脱贫致富的卓越答卷。农民在晾晒药材。2017年全市中医药产业实现总产值144亿元,农民人均产业纯收入达1695元。　　三　　2018年3月30日,在定西火车站,随着一声汽笛长鸣,满载着1200吨优质牧草的“陇草进藏首列货物专列”缓缓启动发往西藏那曲。　　专列进藏再一次开启了一个产业的新时代。　　经过多年的艰苦努力,定西经济发展已由马铃薯、中药材“两轮驱动”转变为马铃薯、中药材、畜草“三足鼎立”。　　党的十八大后,市委、市政府以习近平总书记“两山”理论为指导,抢抓国家政策机遇,从地方历史变迁中寻找发展之路。在提出“生态立市”战略的同时,提出了“立草为业,草畜并举,以草带畜,以畜促草”的草牧产业发展思路,后来又响亮地提出了打造“中国西部草都”的战略目标,市上每年筹资1000万元支持草牧产业发展。　　几年时间,随着民祥牧草公司开发的裹包青贮饲料远销国内各大牧场,拓开了定西饲草商品化、规模化生产的市场通道,牧草很快形成独立的产业,并取得突破性进展。　　几年来,草加工企业、合作社异军突起,全市达到30多家,成为带动效应最好的产业化力量,年精深加工鲜草能力达150万吨以上。这些市场经营主体与伊利、蒙牛等知名企业建立了长期稳定的合作关系,年外销各种饲草产品50多万吨,带动了千家万户的牧草种植,全市规模种草大户猛增至1万户。与此同时,草食畜牧业快速扩张,历史上“绿草青青牛羊壮”的盛景得以重现。2017年底,全市草牧产业总产值达到150多亿元,提供农民人均可支配收入2000元,成为定西产业扶贫的又一大亮点。　　与草牧产业相映成辉,林业产业发展势头也十分强劲。经济林果、育苗、花卉、森林生态旅游、林下经济“五大产业”模式引人注目,年产值达到了20多亿元。同时,全市上下充分利用洮河水资源,在有条件的川水区和城郊区大力发展果蔬产业,逐步形成了洮、渭、漳、龙川河沿岸以城郊川水区为中心的蔬菜种植片带,蔬菜生产在种植季节上基本形成了春季大棚菜、夏季地膜菜、秋季复种菜、冬季设施菜相互搭配、周年生产、四季常鲜的生产格局。一个个优势明显的产业集群已然形成。　　与此同时,“扶贫车间”、公益性岗位、“五小”工程、光伏扶贫、旅游扶贫、电商扶贫、“互联网+”社会扶贫和新疆转移就业安置八个小微新业态也已在路上……",,,,庆祝改革开放40年,2,0,2,2018-12-27 09:55,360安全浏览器,"['http://ww1.sinaimg.cn/large/006Ei5Lqly1fyl2i89660j30eq09r421.jpg', 'http://ww2.sinaimg.cn/large/006Ei5Lqly1fyl2hvxl7bj30eq0aodih.jpg', 'http://ww2.sinaimg.cn/large/006Ei5Lqly1fyl2hvxxeuj30eq09mjum.jpg', 'http://ww1.sinaimg.cn/large/006Ei5Lqly1fyl2hvy8g0j30eq09qad3.jpg']",,
4304383778954487,H1Q2BBztd,5616935554,山东大学威海法学院,#关注弱势群体#【新时代民营企业家的标杆，坚持向善利他的价值观，关注公益，热心扶弱。】人民日报11月8日报道，灰白的头发随意梳在脑后，一身素色衣服，脚蹬一双运动鞋……从外表看去，西藏奇正藏药股份有限公司董事长雷菊芳与普通家庭妇女无异。但就是她，历经25年风雨，逐步将公司从一个原本不足百人的小厂，发展成为员工近2000人、销售额突破10亿元的上市企业。20多年来，公司从来没有拖欠员工一分钱工资。公司上市以来，累计分红11.45亿元；在西藏纳税超过18亿元，连续多年成为自治区纳税优秀企业……大学毕业后，雷菊芳被分配到中科院近代物理研究所工作。“上世纪80年代中期，我们突破了一项关键技术，所里奖励我们团队1万元，那时候我一个月工资才40块钱。”雷菊芳说，至今她仍然怀念那段工作经历。1987年，国家提出“技术人员要走向国民经济的主战场”，受此激励，雷菊芳毅然“下海”。“我是属于比较‘冲动’的人。”雷菊芳回忆，怀揣着将科研成果转化为生产力的梦想，她与其他4名同事一起从中科院离职。当时，雷菊芳正好有一个亲戚家的孩子罹患一种罕见病，四处求医无果。经人指点，雷菊芳找到了甘南州著名藏医图布旦。“图布旦医生看过之后，开出了藏药方子。孩子吃药没多久，症状就明显减轻并最终治愈。”雷菊芳说，由此她与藏药结缘。1993年8月9日，雷菊芳成立奇正集团，专攻藏药研发、生产。1993年，主打“活血化瘀，消肿止痛”功能的奇正药贴问世。这款药贴原来是一种外敷膏药，但保质期短，无法长距离运输。雷菊芳运用现代透皮吸收技术、真空冻干技术对膏药进行处理，再将冻干后的药粉装入药垫，“保质期可达3年，便于携带”。“那时候，内地市场根本不认可藏药。”雷菊芳说，为了打开销路，她背着药一家药店一家药店推销。“有一年，正好八一男篮在兰州集训，我就找到队医推荐。队医碰巧是个援藏干部，对藏药相当认可，答应帮忙推广。”1994年4月，在北京国家体委训练局召开的“奇正药贴疗效座谈会”上，与会的教练员、运动员均给予奇正药贴极高赞誉。同年10月，在日本广岛亚运会上，奇正药贴第一次作为运动员疗伤药品，伴随中国体育代表团出征世界大型运动会。销路打开之后，奇正集团一步步壮大：1995年，雷菊芳在林芝成立西藏林芝奇正藏药厂，2009年在深交所中小板上市，成为西藏自治区第一家登陆深交所中小板的藏药企业。2002年销售额突破1亿元；去年达到10.53亿元。雷菊芳说，奇正藏药始终专注于藏药产业的现代化，通过科研创新、技术创新、营销创新，挖掘传统藏医学的巨大潜力。公司研发中心依托藏药固体制剂和外用制剂两个工程实验室，与国内外一流的学术研究机构及科研院所保持长期合作。截至去年底，奇正藏药已经拥有55个藏药品名和72个药品批准文号，涉及骨科、神经科、妇科、消化科等多个藏医特色治疗领域。面对掌声，雷菊芳却说：“传统藏医学是一个巨大宝库，我只是在宝库边上捡到了几个漂亮的石头而已。”履行社会责任，坚守向善利他的价值观在20多年的发展历程中，雷菊芳从藏药原材料采购、研发到生产各环节，注重有效、合理、可持续利用藏药材资源，建设着眼于长远利益的商业生态系统。“一是进行藏药材资源调研，开展替代性研究，不断优化工艺与处方，提高药材利用率；二是在原产地实现可持续采购，杜绝对野生药材资源的滥采滥挖；三是开展藏药材种植技术研究与基地建设。”雷菊芳告诉记者。奇正藏药股份有限公司副总裁冯平说，凡是涉及濒危资源的，奇正不开发不研发相关药品。“在生产工艺上，我们也尽可能做到全药材入药。比如，我们改进粉碎技术，药材获得率在99%以上，最大限度减少浪费。”截至去年，奇正藏药已经建成各类保护及种植研究基地10.3万多亩，分布在西藏林芝、山南等地，并且成功开展了47种藏药材的种植技术研究。此外，奇正藏药还积极推动民族地区民间藏医教育发展。“我们捐建并全资支持运行的传统藏医学校，招收藏族家庭困难学生进行藏药理论学习、采药和临床实践。”雷菊芳说，在学校里，不仅学费全免，还发放生活费，目前已经毕业了76人。这些传统藏医教育的毕业生扎根基层藏医诊所，不仅保证了藏医诊所在基层的有效运行，也为藏医药文化保持生命力提供了现实土壤。雷菊芳还发起了藏区百家藏医诊所项目，如今已在青海、四川、甘肃、西藏等地建起了10多所。在社会公益与精准扶贫的路上，雷菊芳带领奇正集团不断前进。如今，奇正承担了西藏自治区10万吨青稞市场化推广任务。雷菊芳说，公司现在已经在日喀则建立4万亩有机青稞种植基地，力争3年内达到10万亩，带动更多农民脱贫。截至去年底，奇正已累计投入9100多万元用于藏区和西部医疗、教育、扶贫等社会公益事业。“奇正能有今天的成就，要感谢这个波澜壮阔的大时代！”回望来时路，雷菊芳说，企业将继续坚守“向善利他、正道正业”的价值观，在传统医药、藏区教育及环境等方面作出更多贡献。,,威海·山东大学威海校区,,关注弱势群体,11,26,10,2018-11-09 09:55,vivo AI智慧拍照X21,,,
4263261047637582,GqxHWw2SO,1497469843,娄向鹏,雷菊芳女士，一位曾经的真空物理专家，因迷恋藏文化，倾心创建藏药第一股——奇正藏药，大大推进藏药的科技化、现代化、品牌化、普世化进程。如今，全力投入到西藏青稞产业的科技开发和产业扶贫中，依然那样朴实、坚定和令人敬仰。非常荣幸有这样的机会，协助雷工实现她的、也是我们的“青稞健康梦”。,,,,,0,0,1,2018-07-18 22:28,HUAWEI Mate 10,"['http://ww2.sinaimg.cn/large/59419393ly1fteds5fok4j22ar1n67wh.jpg', 'http://ww1.sinaimg.cn/large/59419393ly1ftedugwnhuj20xc0m9al5.jpg', 'http://ww1.sinaimg.cn/large/59419393ly1fteds5vdqpj20d109974i.jpg']",,
4065989743939692,ErGH4gwTq,5612938733,李小禾午盘,一个扶贫，把新疆和西藏板块都拉起来了，西藏板块刚才集体大涨，今天奇正藏药还是最早涨停，地方混改被新疆和西藏板块带了一些上来。市场资金持续流入，目前走势完美。上证指数sh000001#财经头条文章#,,,,财经头条文章,2,0,0,2017-01-20 13:42,微博 weibo.com,,,
4065989375028515,ErGGtl695,1453904734,猎豹出击,一个扶贫，把新疆和西藏板块都拉起来了，西藏板块刚才集体大涨，今天奇正藏药还是最早涨停,,,,,0,0,0,2017-01-20 13:41,360安全浏览器,,,
4064875179772335,ErdHnF0ej,1868997543,贾股纹,1月17日一句话午评情绪的蔓延是很快的，特别是悲观情绪，要恢复只有两种办法，一种是交给时间，另一种是交给狂热。看似市场目前还没有到翻身的时间点，但是脉络还是逐渐清晰的，跟着政策走，大方向就不会错，50倍杠杆的收购没有被直接否决，就说明了其合理性，青海春天，奇正藏药这些扶贫概念股的上面体现的淋漓尽致。至于具体的操作，谨记不要频繁操作即可。,,,,,0,0,2,2017-01-17 11:53,华为Ascend G7,,,
3950708115804801,Dlh9hom5P,5288638112,马松林market,近日联合印发《意见》从货币政策、信贷政策、金融扶贫开发政策、外汇管理政策等多方面给予西藏差异化政策支持，鼓励和支持金融机构完善在西藏的组织布局，进一步加强对西藏基础设施、“三农”、小微企业、特色产业、生态环保等领域的金融支持和服务。相关个股：奇正藏药（002287）。,,,,,0,0,0,2016-03-08 10:54,微博桌面,,,
3950708099015766,Dlh9fBPpA,3880273721,王海酆,近日联合印发《意见》从货币政策、信贷政策、金融扶贫开发政策、外汇管理政策等多方面给予西藏差异化政策支持，鼓励和支持金融机构完善在西藏的组织布局，进一步加强对西藏基础设施、“三农”、小微企业、特色产业、生态环保等领域的金融支持和服务。相关个股：奇正藏药（002287）。,,,,,0,0,0,2016-03-08 10:54,微博桌面,,,
