id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4111588716215039,F4Rttq4Oz,6224473009,投机倒把分子6688,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长江投资、新华锦、创意信息、冠福股份、康美药业获增持。,,,,,0,0,1,2017-05-26 09:36,搜狗高速浏览器,,,
4111588493273692,F4Rt7dJDu,5140896014,常胜股精-朵儿,上证指数sh000001个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、 新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长江投资、新华锦、创意信息、冠福股份、康美药业获增持。 个股利空：方直科技终止筹划重大资产重组；梅花生物股东遭立案调查；空港股份：并不持有华大基因股份；深天地A、顺丰控股、众合科技遭减持。,,,,,0,0,0,2017-05-26 09:35,vivo X5Pro,,,
4111586048767229,F4RpaAMKV,5530236133,红色-的股,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长江投资、新华锦、创意信息、冠福股份、康美药业获增持。#利好个股#,,,,利好个股,0,0,0,2017-05-26 09:26,360安全浏览器,,,
4111583938299972,F4RlLyPcw,3738223382,钦点龙虎榜,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长江投资、新华锦、创意信息、冠福股份、康美药业获增持。上证指数sh000001,,,,,0,0,0,2017-05-26 09:17,微博股票,,,
4111583694982310,F4RlnkU7Q,5884569478,股海集结号,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长……,,,,,0,0,0,2017-05-26 09:16,360安全平台,['http://ww2.sinaimg.cn/large/006qf3kWly1ffyhz5whwbj30c80aa3yq.jpg'],,
4111583678179476,F4RllyjR2,5881919991,证券开户-王经理,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长……,,,,,0,0,0,2017-05-26 09:16,360安全平台,['http://ww1.sinaimg.cn/large/006q3W5hly1ffyhz2tm6zj30c80aa3yq.jpg'],,
4111583657776539,F4RljwD23,5886609959,理财师-小王,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长……,,,,,0,0,0,2017-05-26 09:16,360安全平台,['http://ww3.sinaimg.cn/large/006qnC9Vly1ffyhyzqnbvj30c80aa3yq.jpg'],,
4111583632579350,F4RlhaP0q,5887436011,理财顾问-王海军,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长……,,,,,0,0,0,2017-05-26 09:16,360安全平台,['http://ww4.sinaimg.cn/large/006qr53lly1ffyhyw7p97j30c80aa3yq.jpg'],,
4111583607380275,F4RleuXWH,5882285325,股市直播-王海军,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长……,,,,,0,0,0,2017-05-26 09:16,360安全平台,['http://ww3.sinaimg.cn/large/006q5t7Lly1ffyhysgxwbj30c80aa3yq.jpg'],,
4111583586582698,F4RlcrCsy,5884975718,投资经理-王老师,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长……,,,,,0,0,0,2017-05-26 09:16,360安全平台,['http://ww4.sinaimg.cn/large/006qgL1cly1ffyhyp8skbj30c80aa3yq.jpg'],,
4111583561171804,F4Rla4UQ4,5128093406,游资龙头股,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长……,,,,,0,0,0,2017-05-26 09:16,360安全平台,['http://ww1.sinaimg.cn/large/005B2XlYly1ffyhylnau3j30c80aa3yq.jpg'],,
4111583435423030,F4RkXmKMe,5128318586,投资经理王老师,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长江投资、新华锦、创意信息、冠福股份、康美药业获增持。,,,,,0,0,0,2017-05-26 09:15,360安全浏览器,,,
4111583225679076,F4RkCnPo0,5559402136,金股狩猎,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长江投资、新华锦、创意信息、冠福股份、康美药业获增持。,,,,,0,0,0,2017-05-26 09:14,360安全浏览器,,,
4111583028552675,F4RkizSWn,3517084121,夏天的疯很轻,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长江投资、新华锦、创意信息、冠福股份、康美药业获增持。,,,,,0,0,0,2017-05-26 09:14,微博 weibo.com,,,
4111582823004453,F4RjYcBAV,6224178757,上海森样工号30004,个股利好：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长江投资、新华锦、创意信息、冠福股份、康美药业获增持。个股利空：方直科技终止筹划重大资产重组；梅花生物股东遭立案调查；空港股份：并不持有华大基因股份；深天地A、顺丰控股、众合科技遭减持。,,,,,0,0,0,2017-05-26 09:13,360安全浏览器,,,
4111582621146612,F4RjE4OhK,5191474990,股媚众生,【个股利好】：中青宝拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长江投资、新华锦、创意信息、冠福股份、康美药业获增持。,,,,,0,0,0,2017-05-26 09:12,微博 weibo.com,,,
4111582319281933,F4Rj9CWEB,5626737556,投机牛股者,个股利好：中青宝sz300052拟2.5亿元转让上海美峰71.6334%股权；嘉寓股份中标4亿元光伏扶贫村级电站重大项目；东华科技签订8.74亿元景观工程承包合同；北京城建子公司中标50亿元棚户区改造项目；中京电子、新华锦、新黄浦、特变电工、奥瑞金、美菱电器、中孚实业、长江投资、新华锦、创意信息、冠福股份、康美药业获增持。#今日看盘#@微博股票上证指数sh000001,,,微博股票,今日看盘,0,0,4,2017-05-26 09:11,微博股票,,,
