id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4535599455805321,JeW6tomed,7368206943,漳县融媒,关于对拟表彰的全市就业创业工作先进集体和先进个人的公示为切实做好“六稳”工作，落实“六保”任务，市政府拟于近日召开全市就业创业工作会议。为肯定成绩，激励先进，会上拟对就业创业工作成绩突出的陇西县、市妇联等34家先进集体、贺应霞等15名先进个人进行表彰奖励。现将拟表彰的集体和个人予以公示，接受广大干部群众监督。如对拟推荐对象有不同意见，可通过电话、传真、信函等形式向定西市就业工作领导小组办公室反映情况。反映情况要客观真实，以单位名义反映情况的材料需加盖公章，以个人名义反映情况的材料应提供联系方式。一、拟表彰的全市就业创业工作先进集体和先进个人名单就业创业工作先进县1个：陇西县就业创业先进集体34个：市妇联通渭县农业农村局陇西县巩昌镇人民政府临洮县太石镇人民政府漳县武阳镇人民政府漳县石川镇人民政府定西农村商业银行股份有限公司邮储银行岷县支行定西高强度紧固件股份有限公司史丹利化肥定西有限公司定西北玻玻璃科技有限公司定西马铃薯研究所定西保和医院定西市安定区恒璟源人力资源服务有限公司甘肃通渭飞天食品有限公司通渭县清凉沅金银花产业扶贫开发有限公司通渭县福继人力资源有限公司陇西一方制药有限公司陇西县昌昊人力资源服务有限责任公司陇西县首阳扶贫车间甘肃国立众创人力资源有限公司甘肃省绿色禾韵园艺产业有限公司甘肃省佛慈红日有限公司渭源祁家庙田园生态农业产业农民专业合作社甘肃洮河拖拉机制造有限公司甘肃榕发服装智造有限公司甘肃新锋达箱包制造有限责任公司漳县江鱼蔬菜产销农民专业合作社甘肃翊申文化服饰科技有限公司甘肃岷海制药有限责任公司甘肃九州天润中药产业有限公司岷县方正草业开发有限责任公司定西优职招聘人力资源有限责任公司甘肃聚和泰电子商务有限公司就业创业先进个人15个：贺应霞史丹利化肥定西有限公司党支部书记、行政部经理宋伟甘肃智能未来科技有限公司苏建军安定区苏建军牛羊养殖场陈彦鹏通渭县众泰电子商务有限责任公司刘周艳通渭县鸿锦世家服饰有限公司南延兴甘肃通渭飞天食品有限公司办公室主任马耀江陇西高新技术印务有限责任公司经理李红霞陇西县乐乐幼儿园园长柴彦龙渭源县怡龙谷数字科技有限公司王景峰渭源县圣洁餐具清洗消毒配送中心张汝源甘肃沃耕农业科技发展有限公司负责人李启华临洮县洮河香业有限责任公司负责人宋彦彦漳县贵清山植物园文旅发展部部长汪航漳县盐文化创意有限责任公司经理罗建明岷县精川制药设备有限责任公司二、公示和受理反映时间公示时间为2020年8月7日至8月11日。受理时间为每天上午：8：30-12：00，下午：2：30-6：00。三、受理反映部门及联系方法受理部门：定西市就业工作领导小组办公室（定西市人力资源和社会保障局914房间）受理电话：0932-8236520通讯地址：定西市安定区漳县街12号邮编：743000定西市就业工作领导小组办公室2020年8月7日,,,,,0,1,1,2020-08-08 10:44,荣耀8X,,,
4488232840398851,IB1l21FL5,3814243118,筠连发布,【到3月27日止，筠连县疫情防控捐款捐物情况公示！】筠连县应对新型冠状病毒感染肺炎疫情应急指挥部筠连县红十字会筠连县疫情防控捐款捐物情况公示疫情无情，人间有爱，面对当前我县严峻的疫情防控形势筠连县社会各界人士爱心涌动，踊跃捐款捐物，为防控新型冠肺炎疫情加油助力，截止2020年3月27日，据县应对新型冠状病毒感染肺炎疫情应急指挥部、县红十字会统计，共接收爱心企业、个人定向捐赠县应对新型冠状病毒感染肺炎疫情应急指挥部捐款35笔，总计677160.50元，捐赠物资101465件，折价754231.00元，现将接收情况公示如下：宜宾市明昊房地产开发有限公司100000元、黄少银10000元、筠连县鸿基建筑有限公司30000元、四川琨玺建筑工程有限公司20000元、四川川沛建筑工程有限公司20000元、四川玉壶建筑工程有限公司5000元、筠连县大一建筑工程有限公司5000元、宜宾成杰建设工程有限公司20000元、宜宾市京正建筑工程有限公司20000元、筠连县中合建设工程管理有限公司5000元、筠连县筠正建筑工程有限公司10000元、四川省满源聚建设项目有限责任公司5000元、四川福才建筑工程有限公司5000元、宜宾宇汐建筑工程有限公司8000元、宜宾锋焱建筑工程有限公司5000元、宜宾清和环保科技股份有限公司10000元、廖恒、颜小红500元、宜宾盛鹏建筑工程有限公司5000元、李殿均1000元、宜宾春贵房地产开发有限公司200000元、宜宾自由行科技有限公司100000元、徐德龙1000元、四川九戎建设工程有限公司20000元、苏有江1000元、钟时华10000元、曹德秀400元、筠连县人民法院干警6050元、筠连县县委办职工950元、筠连县卫生健康系统职工8085元、巡司镇职工群众11460元、筠连县镇职工群众27415.50元、筠连县扶贫开发协会职工2150元、筠连县老促会职工2150元、筠连县政协办公室职工2000元、广东筠商一次性口罩4.9万个、化学防护服140套、四川国保环境监测公司一次性口罩2000只、健康粮油店（PE）卫生手套100双、一次性橡胶手套50双、张怀忠电子体温计130支、县市场监管局一次性口罩300个、筠连县昭恒家具厂床垫76张、成都筠连商会一次性口罩1.7万个、酒精喷雾1仟支、瓶装酒精500斤、建筑协会一次性口罩1万个、天原化工次氯酸钠3.6吨、县医保局一次性口罩880个、海口筠连商会防护口罩995个、曾文彬一次性口罩1800个、时代181酒精（25L）6桶、县住建局一次性口罩3900个、西南采气厂一次性口罩800个、六五茶业一次性口罩100个、县委宣传部医用口罩100个、福仁药业酒精（75%*25L）10桶、酒精（95%）200瓶、一次性医用手套2000双、84消毒液（25L）20桶、84消毒液（500G）200瓶、泡腾片100瓶、碘伏消毒液150瓶、利巴韦林葡萄糖注射液1400瓶、四川杰龙建筑工程有限公司一次性口罩5仟个、四川九戎建设工程有限公司一次性口罩2仟个，京非检查手套1仟双、防护服90件、一次性手套1500双，四川泓硒泉饮品有限公司红外线温度计19只，防护口罩349只，广东筠商周卿权防护口罩19000只、防护服300件，宜宾风云广告有限公司防护口罩600只、84消毒液（25L）8桶、防护服200件，西安筠商王炳富防护口罩2000只，北京筠连商会防护口罩5120只，筠连县理想钢化玻璃厂防护口罩11080只，四川奔凯有限公司防护口罩200只，福建广汇龙科技有限公司防护口罩3000只。注：捐赠资金已于3月11日、3月27日分二次缴筠连县财政非税收入专户；物资全部由指挥部后勤保障组统筹分配。筠连县应对新型冠状病毒感染肺炎疫情应急指挥部筠连县红十字会2020年3月27日,,,,,0,0,0,2020-03-30 17:45,专业版微博,,,
4394830815468730,HDMYVmWFk,1160136757,邓醇爱肥肥的懒羊羊,股社区7.16直播摘要1.我觉得60%可能性先补下面的缺口，这次2800可能兜不住，可能会到2750或27002.我个人认为下跌的时候应该先拿着白马股，下跌的时候小盘股会踩踏，但我也不建议你们追估值很高的股票，上次我发的估值分位图在很高区间的，不建议追了3.房地产板块估值都不高，你们想买打新门票或防御板块建议买地产板块，深市买万科，沪市买保利地产，农业银行也可以（建议在3块5以下买，3块6卖）4.格力电器36%，但我觉得业绩是有点问题的，不推荐买，我认为格力业绩会同比下滑5%以上5.招商银行52%，不贵，我觉得是ok的6.海康威视21%，但现在业绩下滑了，可能业绩出现拐点，这就不太好说了7.伊利我觉得也ok8.华东医药1.3%竟然比历史上98%都便宜，我当时听到就很郁闷，新的带量采购规则比较温和，化学制药的厂商我觉得会有估值修复，另外信立泰也可以考虑下9.影视股我觉得快到底了，我万达影视15考虑加仓，影视我觉得是不可能死掉的，最后肯定是马太效应10.慢熊市不停，白马股行情就不会结束，一些公募基金是不能空仓的，他们肯定买白马股，白马股行情结束，只有真正的大牛市来的时候，我判断19.20年都不会有大牛市11.美国交易软件，只给你显示半个小时前的价格，我都是用国内软件看价格，用国外交易软件下单，毕竟国外软件交易便宜，a股什么都好，交易体验贼棒，但就是不涨12.东方园林今年会把所有财务负面信息都体现出来，如果你想买这只股票，建议等3季度报出来，看看3.4季度有没有买点，但它绝对不会死，这家公司是扶贫的重点企业13.分众传媒不要买，所有业绩依赖广告的，都不要买了，二季度业绩不会好的14.万达电影和中国电影不是一个类型，万达是重资产院线，中国电影走的发行方，一部电影，院线分55%，发行方分40%15.涨价，毛衣站，通账，是禁忌话题16.比特币在哪买？火币那些平台吧，但都不要买太多，不是正规平台17.m2货币量增速很快，但我们也没办法，共克时艰吧18.做新能源电池的行业去年就说了要远离，一个钴业一个锂业19.稀土行业除非毛衣站重新打起来，不然风口已过了，中美关系越缓和，越没戏20.免税店，自贸区会越来越开放，这是中国国旅的风险点所在21.巨人网络感觉有人在护盘，但重心在下移，不要碰22.中国神华业绩很好，不错23.国瓷材料业绩很好，我要研究下这个24.京东方我觉得全是屌丝持股，没有气质25.电动车行业我觉得是行政命令硬出来的，不看好26.华能水电，这个图形可以27.美景能源，过期妖股不如狗啊，恒生电子不如同花顺和东方财富28.兆易创新，65分，还行，三一重工，也还行，广联达，估值这么高啊，我不知道他是干嘛的，图形很好，我还要再看看，海尔智家，二线白马吧，我武生物，没问题可以拿，飞龙达，还不错，网宿科技，过气了别玩了，中南建设，65啊，天山股份，一般，桃李面包，70分，沪电股份，可以短线做，安井食品，我觉得绝味食品比安井食品要好一点，山东黄金，涨过一波，我是不愿意再追了，南极电商，65，德宏股份，不行，川恒股份，刚突破年限，可以关注下但不是好股份，方正证券很一般，太极实业，65，好想你，中信重工，太一般了，浙江冬日，一般，浙江鼎力，哇，这么厉害啊这户，可以多关注下（听声音加自选了），港股买电能实业，港灯，美团，香港那边公共事业牛的不行，小米我觉得还要在看看29.创业板的时机和现在科创板时机有点像，所以可以看下科创板前面几十只代码股票的走势,,,,,10,21,37,2019-07-16 23:59,小米6X 拍人更美,,,
4346166693442608,Hjn0perzW,5667719597,什邡市融媒体中心,#什邡新闻#3月1日，什邡市举行爱心企业捐赠“什邡市慈善扶贫基金”集中签约仪式。四川宏达集团、四川川恒控股集团股份有限公司、四川蓝剑包装股份有限公司等爱心企业与市慈善会及定向帮扶镇、村共同签署了“慈善扶贫基金捐赠协议”，捐赠基金共计210余万元。更多详情点击👉O网页链接,,,,什邡新闻,0,0,2,2019-03-04 17:05,微博 weibo.com,['http://ww3.sinaimg.cn/large/006bzaMdly1g0qvgg0cm0j30ku0bpdgo.jpg'],,
4334564857476446,HevbLvmXQ,2683881911,光泽声音,"【2019年人力资源供需见面会成功举办】1月25日，县人社局联合县扶贫办、总工会、妇联、残联、杭川镇等部门举办2019年“春风行动”人力资源招聘会暨大中专毕业生就业供需见面会。此次招聘会有福建圣农发展股份有限公司、福建恒冰物流有限公司、南平市三红电缆有限公司、智美华夏科技有限公司等12家企业参加，共提供出纳、采购、行政专员、物流专员、设备员、驾驶员、操作员及高校毕业生就业见习岗位等各行业多类别就业岗位1500多个，其中智美华夏科技有限公司还以每天100元的薪资待遇，招聘多名寒假兼职路面停车管理员岗位，吸引了不少放寒假的大学生前来应聘。工作人员详细为前来咨询的大学生介绍了各类岗位的用工要求、福利待遇、食宿安排等方面的信息。此次招聘会，前来参加就业创业政策咨询和求职人员近200人，共发放招聘岗位信息、就业政策明白卡、精准扶贫宣传单、医保缴费操作指南、扶残助残手册及禁毒知识等各类宣传资料620多份，印有“精准就业扶贫、共建小康社会”标语的购物袋300余个，现场达成就业意向26人,提供政策咨询、就业创业指导等服务100多人次。据悉，县人力资源和社会保障局还将联合各乡镇人力资源和社会保障所利用圩日在春节期间陆续开展招聘和政策宣传活动，以便更多有就业需求的人员尽快找到就业岗位，也为各类用人单位和企业进一步解决用工难题。",,,,,0,0,0,2019-01-31 16:44,微博 weibo.com,,,
4321394056162297,H8YyxpR5T,5119232590,助只,泰永长征的补涨 这个这一波都没有发动过一个正的，从第一天的川恒股份，到填权，不过填权也算是他的扩散补涨了，明天关注下。  洛凯股份：也是断路器，和泰永长征一样的断路器次新股，7亿流通市值，缺点无填权。新宏泰：也是断路器，优点股型好，缺点一个亿的减持，有点怕。英可瑞：也是电源开关，但是有减持，9亿流通。安靠智电：也是电源开关，也有减持，9亿流通盘天成控股：贵州长征天成控股有限公司，缺点没有次新股，大家不认可，名字有长征。 扶贫这个，永吉股份，川恒股份，我感觉不是很靠谱。  ,,,,,0,0,0,2018-12-26 08:28,三星 GALAXY Note8,,,
4319296588683950,H85ZwAr5I,2944026653,东方谈市,泰永贵州的，川恒股份也贵州的。扶贫和振兴。,,,,,0,0,0,2018-12-20 13:33,UC浏览器电脑版,,,
4319295598547300,H85XVzRxG,6536615003,股色怡人,泰永贵州的，川恒股份也贵州的。扶贫和振兴。川恒股份sz002895,,,,,0,0,0,2018-12-20 13:29,360安全浏览器,,,
4198924836755249,FFvubsllD,6000228737,男神论股,【竞价看龙头】次新妖股贵州燃气：-1.05%次新妖股华森制药：-5.57%次新股宣亚国际：-6.15%次新扶贫川恒股份：-6.40%次新股新疆火炬：-9.72%地产板块泰禾集团：-1.90%银行板块浦发银行：-2.34%银行板块张家港行：+4.15%证券板块中国银河：+0.97%军民融合四川九州：+4.55%,,,,,0,0,0,2018-01-22 09:39,360安全浏览器,,,
4197994926459977,FF7ikr6xb,6437610444,让财富奔跑--马主任助理,【炒股逻辑】曾记否？2017年8月8日，四川九寨沟发生7.0级地震。2018年贵州股风水生气，传闻是市场流行一个扶贫贵州概念的地图：贵川永贵，从贵州燃气（14个板）-川恒股份（近期多次2连板）-永吉股份(3连板）-贵绳股份（2连板），叠加坐镇的茅台...政策扶持，监管允许成妖！于是游资闻风而动，通过打板配合监管部门攻坚扶贫，一举两得,,,,,0,0,0,2018-01-19 20:04,微博 weibo.com,,,
