id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4546723936469008,JjBvbr8SQ,6034820636,在微笑的联赛天空,就怕没有遇见能理解的人。杭州雪狼软件担纲研发的全手绘玄幻网游《仙途2》，【巨人新游《仙途2》光明内测英雄设计大赛启动】由巨人网络旗下子公司，光明内测火热进行中。#精准扶贫##技术分析#,,苏州·天华苑小区,,"精准扶贫,技术分析",0,1,0,2020-09-08 03:28,iPhone客户端,,,
4394830815468730,HDMYVmWFk,1160136757,邓醇爱肥肥的懒羊羊,股社区7.16直播摘要1.我觉得60%可能性先补下面的缺口，这次2800可能兜不住，可能会到2750或27002.我个人认为下跌的时候应该先拿着白马股，下跌的时候小盘股会踩踏，但我也不建议你们追估值很高的股票，上次我发的估值分位图在很高区间的，不建议追了3.房地产板块估值都不高，你们想买打新门票或防御板块建议买地产板块，深市买万科，沪市买保利地产，农业银行也可以（建议在3块5以下买，3块6卖）4.格力电器36%，但我觉得业绩是有点问题的，不推荐买，我认为格力业绩会同比下滑5%以上5.招商银行52%，不贵，我觉得是ok的6.海康威视21%，但现在业绩下滑了，可能业绩出现拐点，这就不太好说了7.伊利我觉得也ok8.华东医药1.3%竟然比历史上98%都便宜，我当时听到就很郁闷，新的带量采购规则比较温和，化学制药的厂商我觉得会有估值修复，另外信立泰也可以考虑下9.影视股我觉得快到底了，我万达影视15考虑加仓，影视我觉得是不可能死掉的，最后肯定是马太效应10.慢熊市不停，白马股行情就不会结束，一些公募基金是不能空仓的，他们肯定买白马股，白马股行情结束，只有真正的大牛市来的时候，我判断19.20年都不会有大牛市11.美国交易软件，只给你显示半个小时前的价格，我都是用国内软件看价格，用国外交易软件下单，毕竟国外软件交易便宜，a股什么都好，交易体验贼棒，但就是不涨12.东方园林今年会把所有财务负面信息都体现出来，如果你想买这只股票，建议等3季度报出来，看看3.4季度有没有买点，但它绝对不会死，这家公司是扶贫的重点企业13.分众传媒不要买，所有业绩依赖广告的，都不要买了，二季度业绩不会好的14.万达电影和中国电影不是一个类型，万达是重资产院线，中国电影走的发行方，一部电影，院线分55%，发行方分40%15.涨价，毛衣站，通账，是禁忌话题16.比特币在哪买？火币那些平台吧，但都不要买太多，不是正规平台17.m2货币量增速很快，但我们也没办法，共克时艰吧18.做新能源电池的行业去年就说了要远离，一个钴业一个锂业19.稀土行业除非毛衣站重新打起来，不然风口已过了，中美关系越缓和，越没戏20.免税店，自贸区会越来越开放，这是中国国旅的风险点所在21.巨人网络感觉有人在护盘，但重心在下移，不要碰22.中国神华业绩很好，不错23.国瓷材料业绩很好，我要研究下这个24.京东方我觉得全是屌丝持股，没有气质25.电动车行业我觉得是行政命令硬出来的，不看好26.华能水电，这个图形可以27.美景能源，过期妖股不如狗啊，恒生电子不如同花顺和东方财富28.兆易创新，65分，还行，三一重工，也还行，广联达，估值这么高啊，我不知道他是干嘛的，图形很好，我还要再看看，海尔智家，二线白马吧，我武生物，没问题可以拿，飞龙达，还不错，网宿科技，过气了别玩了，中南建设，65啊，天山股份，一般，桃李面包，70分，沪电股份，可以短线做，安井食品，我觉得绝味食品比安井食品要好一点，山东黄金，涨过一波，我是不愿意再追了，南极电商，65，德宏股份，不行，川恒股份，刚突破年限，可以关注下但不是好股份，方正证券很一般，太极实业，65，好想你，中信重工，太一般了，浙江冬日，一般，浙江鼎力，哇，这么厉害啊这户，可以多关注下（听声音加自选了），港股买电能实业，港灯，美团，香港那边公共事业牛的不行，小米我觉得还要在看看29.创业板的时机和现在科创板时机有点像，所以可以看下科创板前面几十只代码股票的走势,,,,,10,21,37,2019-07-16 23:59,小米6X 拍人更美,,,
4368825749174739,HsStgCuLF,5316151386,用户5316151386,【巨人网络精准扶贫聚焦科教领域】巨人网络日前在重庆正式启动精准扶贫项目，公司与重庆市商务委、重庆市发改...O网页链接,,,,,0,0,0,2019-05-06 05:44,e公司,['http://ww2.sinaimg.cn/large/005NM1Pcly1g2r5tdbkitj3074074mx0.jpg'],,
4362370925710449,HqaygnXy1,1647496602,巨人网络,发布了头条文章：《巨人网络在重庆启动精准扶贫项目聚焦科教领域》O巨人网络在重庆启动精准扶贫项目聚焦科教领域,http://t.cn/EXRyoid,,,,0,0,3,2019-04-18 10:15,微博 weibo.com,,,
4362364411679780,HqanL72Ze,1933553602,人民游戏,【巨人网络在重庆启动精准扶贫项目聚焦科教领域】4月18日消息，巨人网络近日在重庆正式启动精准扶贫项目，该公司与重庆市商务委、重庆市发改委合作，通过科教扶贫方式，对重庆市秀山土家族苗族自治县、彭水苗族土家族自治县启动精准教育扶贫工作。日前，巨人网络集团对重庆市秀山县隘口镇精准扶贫捐赠仪式在秀山县举行，重庆市商务委扶贫集团驻镇工作队联络员李伟、秀山县副县长徐燕、巨人网络副总裁费拥军等参加捐赠仪式。O巨人网络在重庆启动精准扶贫项目 聚焦科教领域,,,,,0,0,1,2019-04-18 09:49,360安全浏览器,,,
4268500052419992,GsJZXa9y8,5259617533,华北股侠,4、其他股权变更：东晶电子、华塑控股资产注入预期：欣龙控股次新+天然气：东方环宇重组+高增长：汤臣倍健开板新股：明德生物无人驾驶：数源科技中报高送：中电电机资产转让：申华控股贵州扶贫：永吉股份碳纤维：精功科技中报：双象股份网游：巨人网络芯片：台基股份,,,,,0,0,0,2018-08-02 09:26,360安全浏览器,,,
4268500031301406,GsJZV5syq,3767410074,牛散赵建平,4、其他股权变更：东晶电子、华塑控股资产注入预期：欣龙控股次新+天然气：东方环宇重组+高增长：汤臣倍健开板新股：明德生物无人驾驶：数源科技中报高送：中电电机资产转让：申华控股贵州扶贫：永吉股份碳纤维：精功科技中报：双象股份网游：巨人网络芯片：台基股份,,,,,0,0,0,2018-08-02 09:26,微博 weibo.com,,,
4268496793303166,GsJUHdRiS,1563601427,打板龙哥yyjjllong,开板新股：明德生物无人驾驶：数源科技中报高送：中电电机资产转让：申华控股贵州扶贫：永吉股份碳纤维：精功科技中报：双象股份网游：巨人网络芯片：台基股份,,,,,0,0,0,2018-08-02 09:13,360安全浏览器,,,
3502171846957249,z0UuYtbTH,1647496602,巨人网络,"今天，全球迎来第20个""国际消除贫困日""。联合国世界粮食计划署和中国扶贫基金会，号召大家今天用6.3元过一天。6.3元在巨人食堂可以吃到一个大荤一个小荤和一份例汤；如果是全素的话，可以买到三个菜。羡慕吧，为了巨人食堂，正在参加校招的同学们也要加油哈@巨人网络HR",,,巨人网络HR,,7,2,0,2012-10-17 17:31,专业版微博,,,
1091217412431,so1v6jl,1670071920,史玉柱大闲人,今天在珠海为巨人网络南方研发总部基地奠基，很多朋友来捧场，现场很热闹。12年前的这个月，我身负几亿债务，也没有典礼，是悄悄离开珠海的。当时坐仅剩的一辆奔驰离开，车到江苏，连买汽油的钱都没了。这次回珠海，政府提了个口号叫“巨人归来”，我想奠基之后口号可以改成“巨人做大”。,,,,,990,966,56,2009-12-17 14:11,微博 weibo.com,,,
