id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4502611153773020,J15VxfPxa,1931941205,微凉山,【“万企帮万村”精准扶贫超7亿元扶贫项目集中签约】5月6日，“万企帮万村”精准扶贫行动提质增效推进大会在成都召开。会议组织民营企业捐款捐物，共捐赠脱贫攻坚资金1005万元；签署12个协议，涉及投资项目、消费扶贫、教育扶贫及就业技能培训等，项目投资金额达7.15亿元，将提供就业技能培训3000人次、就业岗位1745个。我省民营企业积极助力脱贫攻坚。据不完全统计，截至今年4月底，全省共有7.6万家民营企业参与精准扶贫行动，7482家民营企业结对帮扶7574个贫困村，结对产业投入93.2亿元，带动和惠及109万贫困人口。下一步，广大民营企业将抓好农产品“出口关”，发挥“互联网+”优势，助力消费扶贫；抓好贫困群众增收“入口关”，在做好产业扶贫、教育扶贫的同时，发挥好就业扶贫的重要作用，实现就业一人、脱贫一户。会上，铁骑力士集团、好医生药业集团、康弘药业集团、国盛基业集团、天立教育集团、四川省上海商会、四川省川联川菜调料商会、雷波县工商联、凉山州工商联等进行了经验交流发言。（四川日报）,,,,,1,2,3,2020-05-09 10:00,专业版微博,,,
4501951158590724,J0OL1A2Q4,3363252040,四川省扶贫开发局,【“万企帮万村”精准扶贫超7亿元扶贫项目集中签约】5月6日，“万企帮万村”精准扶贫行动提质增效推进大会在成都召开。会议组织民营企业捐款捐物，共捐赠脱贫攻坚资金1005万元；签署12个协议，涉及投资项目、消费扶贫、教育扶贫及就业技能培训等，项目投资金额达7.15亿元，将提供就业技能培训3000人次、就业岗位1745个。我省民营企业积极助力脱贫攻坚。据不完全统计，截至今年4月底，全省共有7.6万家民营企业参与精准扶贫行动，7482家民营企业结对帮扶7574个贫困村，结对产业投入93.2亿元，带动和惠及109万贫困人口。下一步，广大民营企业将抓好农产品“出口关”，发挥“互联网+”优势，助力消费扶贫；抓好贫困群众增收“入口关”，在做好产业扶贫、教育扶贫的同时，发挥好就业扶贫的重要作用，实现就业一人、脱贫一户。会上，铁骑力士集团、好医生药业集团、康弘药业集团、国盛基业集团、天立教育集团、四川省上海商会、四川省川联川菜调料商会、雷波县工商联、凉山州工商联等进行了经验交流发言。省政协副主席陈放出席会议并讲话。来源：四川日报,,,,,2,1,1,2020-05-07 14:17,微博 weibo.com,['http://ww2.sinaimg.cn/large/c8772748gy1gejv25v9e7j20f009rta7.jpg'],,
4466336723381627,IrPIIebIn,1752549400,全景网,#资本市场同心抗疫#【四川资本市场战“疫”在行动|多方发力，捐赠款物超9000万】为全力帮助疫区群众共渡难关，加强疫区新型冠状病毒肺炎疫情防控、肺炎病情救治和医护人员保护等工作，四川资本市场各主体纷纷响应号召，伸出援助之手，截止目前四川资本市场捐赠款物超9000万元。迈克生物（300463）：“四川造”新型冠状病毒检测试剂盒月底投入量产泸州老窖（000568）：紧急启动疫情防控物资、药品全球采购行动康弘药业（002773）：向四川省红十字会捐款500万元五粮液集团：向武汉市慈善总会捐款3000万元科伦药业（002422）：启动紧急预案，保障医疗物资持续供应新希望六和（000876）：统一部署，对武汉疫区物资捐助红旗连锁(002697)：启动应急配送中心24小时待命尚纬股份（603333）：向四川省红十字会捐款200万元海特高新（002023）：向四川大学华西医院捐款100万元富临运业（002357）：提供应急运力共计108辆川润股份(002272)：向自贡市第一医院捐款100万元帝欧家居（002798）：向武汉红十字会捐赠100万元通威集团：向中国光彩事业基金会捐赠1000万元国金证券（600109）：向四川省红十字总会及所在地专门机构捐款400万成都银行（601838）：通过武汉市慈善总会向武汉市捐赠1000万元四川路桥、四川成渝一直奋战在高速公路营运工作最前线，冲锋在前，为社会公众送上贴心服务，为抗击疫情努力付出；四川路桥抗疫不忘扶贫对口帮扶村，春节期间来到石滩镇铺垭庙村，为石滩镇卫生院捐赠了1000瓶抑菌洗手液，并由党员先锋服务队员为各村民逐户发放。川投能源、成都燃气、兴蓉环境、乐山电力、明星电力、西昌电力、广安爱众等公司加强应急值班和疫情防控及信息报送工作，确保供区内电、气、水安全可靠供应，特别是保证医院、防疫站等重点单位的供应。部分公司还在疫情防控期间，推行居民用户采取欠费不停电、不停水措施等惠民政策，积极加大网上缴费、网上业务办理服务引导。东方电气、四川路桥、四川美丰等公司在春节期间多次召开专题会议，学习党中央、国务院关于新型冠状病毒感染的肺炎疫情防控的批示指示精神，并结合公司实际对疫情防控作出具体部署。O网页链接#直击抗击新型冠状病毒肺炎疫情#,,,,"资本市场同心抗疫,直击抗击新型冠状病毒肺炎疫情",3,2,11,2020-01-30 07:38,,"['http://ww2.sinaimg.cn/large/6875c818gy1gbe8soyzxoj20es09uwn7.jpg', 'http://ww2.sinaimg.cn/large/6875c818gy1gbe8so1tlpj20er09vaid.jpg', 'http://ww2.sinaimg.cn/large/6875c818gy1gbe8spep3uj20jg0jgacz.jpg']",,
4447624284865624,IjYVmkpLO,2093171887,看金牛,【康弘药业集团董事长柯尊洪获第二届四川慈善奖最具爱心慈善个人奖】#金牛要闻#近日，第二届“四川慈善奖”评选揭晓，金牛区康弘药业集团董事长柯尊洪荣获第二届四川慈善奖最具爱心慈善个人奖。康弘药业创始于1996年，20多年来，康弘药业坚定奉行“感恩于心，回报以行”的大爱文化理念，时刻不忘社会责任，建立了履行社会责任的机制，积极承担对于员工、患者、社会和环境的相应责任，不断提高社会贡献率。长期坚持在精准扶贫、捐资助学、抗震救灾、慈善义诊、患者援助以及公益文化传播等方面不断努力，并设立了以“朗视界沐光明”公益基金为核心的系列品牌公益项目，持续深化集团公益活动。（掌上金牛）,,,,金牛要闻,4,2,0,2019-12-09 16:22,微博 weibo.com,['http://ww1.sinaimg.cn/large/7cc344afgy1g9qehd9xmdj20gn0a2wfi.jpg'],,
4446878777178892,IjFwVu7yA,3269138105,四川新闻妹,#成都爆料#【赞！成都金牛区这家龙头企业又荣获全省大奖】近日，第二届“四川慈善奖”评选揭晓，金牛区康弘药业集团董事长柯尊洪荣获第二届四川慈善奖最具爱心慈善个人奖。康弘药业创始于1996年，20多年来，康弘药业坚定奉行“感恩于心，回报以行”的大爱文化理念，时刻不忘社会责任，建立了履行社会责任的机制，积极承担对于员工、患者、社会和环境的相应责任，不断提高社会贡献率。长期坚持在精准扶贫、捐资助学、抗震救灾、慈善义诊、患者援助以及公益文化传播等方面不断努力，并设立了以“朗视界沐光明”公益基金为核心的系列品牌公益项目，持续深化集团公益活动。成都头条新闻#成都头条新闻##成都身边事#,,,,"成都爆料,成都头条新闻,成都身边事",0,0,0,2019-12-07 14:59,欢迎爆料iPhone客户端,['http://ww1.sinaimg.cn/large/c2db16b9gy1g9o632fm13j20gn0a2jt7.jpg'],,
4441478530921514,Ihp2R3RJ8,2093171887,看金牛,【全国工商联第三联系调研组第一分队到金牛区调研】#金牛要闻#近日，全国工商联第三联系调研组第一分队到金牛区调研民营企业高质量发展政策、“万企帮万村”开展情况。调研组一行实地察看了康弘药业集团、兴盛国际商会、西部法律服务品牌创新中心，详细了解了金牛区民营企业健康发展、“党组织+商会”运行情况、企业“万企帮万村”精准扶贫情况。（掌上金牛）,,,,金牛要闻,1,1,0,2019-11-22 17:21,微博 weibo.com,['http://ww1.sinaimg.cn/large/7cc344afgy1g96sqqnldqj20hs0a374t.jpg'],,
4425490435239492,IaH7BlZ1W,3648720994,四川商务,【全国“万企帮万村”精准扶贫拟表彰先进民营企业名单发布四川5家民企上榜】10月9日，据国务院扶贫开发领导小组办公室网站消息，全国“万企帮万村”精准扶贫拟表彰先进民营企业名单发布。来自全国各省市区的91家民营企业上榜，其中四川有5家民企。这5家民企分别是：四川蓝光发展股份有限公司、四川中光防雷科技股份有限公司、成都康弘药业集团股份有限公司、成都蛟龙投资有限责任公司、超宇集团有限公司。（四川在线）,,,,,2,1,1,2019-10-09 14:30,微博 weibo.com,['http://ww4.sinaimg.cn/large/d97b1062gy1g7rvydg8emj20os0an75o.jpg'],,
4247558417554644,GjXd7vHj6,2133674600,金牛区金泉街道办事处,【金泉街道学习贯彻区委七届第69次（扩大）常委会精神】6月4日，金泉街道召开党工委（扩大）会议，认真传达学习贯彻区委七届第69次（扩大）常委会金城书记讲话精神，街道党工委委员、机关各科室长及社区书记、主任参加会议。会议强调，街道全体党员干部要提高站位，认真传达学习贯彻金城书记讲话精神，将讲话精神落实到各项具体工作中。一是夯实党建引领，强力推进社区发展治理。运用“15223”工作法（一核五级两有两服三社），以成都市社区发展治理示范社区金科苑为辐射，不断提升改造党群服务中心，提高群众满意度，建设高品质和谐宜居生活示范社区。持续深化城乡环境综合治理工作，突出大气污染、水环境和背街小巷治理。认真落实惠民政策，积极完善社会救助体系，高度关注残疾人、老年人、妇女儿童等社会群体，着力解决困难家庭子女就学、大病救助、低保户生活困难问题。二是狠抓工作落实，确保经济工作“双过半”。整合辖区资源，稳步推进辖区经济发展。积极衔接土地上市工作，为经济发展搭建载体平台，促进资源尽快落地产生效益，推动招引项目尽快落地、互助86亩地等拟建项目尽快开工、康弘药业二期等在建项目加快建设。持续以羊西线两侧高端楼宇为引领，打造“金泉经济中轴”发展新极核，优化产业结构促进经济高质量发展。三是持续敢作善为，拓展区域发展空间。把拆迁安置工作作为街道工作的重中之重，切实加强领导，精心组织部署。在拆迁工作中，继续培育骨干力量，严明纪律，全力推行运用“双百”群众意愿拆迁法，着力提升工作效率。进一步加速征地拆迁和地块供应，完成互助7、8组征地整体拆迁工作，强力推进高新技术产业园区历史遗留问题（扶贫企业）拆迁，保障项目落实，实现土地上市220亩。,,,,,0,0,0,2018-06-05 14:31,专业版微博,"['http://ww4.sinaimg.cn/large/7f2d4a68gy1fs0ag3wmgxj21kw11xnpg.jpg', 'http://ww3.sinaimg.cn/large/7f2d4a68gy1fs0ag5dnczj21kw11xe85.jpg', 'http://ww2.sinaimg.cn/large/7f2d4a68gy1fs0ag4imqtj21kw11xb2d.jpg', 'http://ww3.sinaimg.cn/large/7f2d4a68gy1fs0ag512soj21kw11xhdx.jpg']",,
4134218478738898,Femb5AFnY,1345376560,山谷彝人,......每日关爱，顾及到底！四川工商联“万企帮万村”成都康弘药业集团股份有限公司全力助推美姑县采红乡石拖村精准扶贫工作进程。在省、州、县关工委的多方协调下，贵集团捐赠产业扶贫资金29万元，用于发展特色养殖业。设立教育扶贫基金54万元，用于解决高中、中职及大学生学习和生活费用。,,凉山彝族自治州·巴普镇,,,0,0,1,2017-07-27 20:19,iPhone 7,"['http://ww2.sinaimg.cn/large/5030d130gy1fhypj40akij23vc2kwqvc.jpg', 'http://ww1.sinaimg.cn/large/5030d130gy1fhypj526oxj20rp160grp.jpg', 'http://ww1.sinaimg.cn/large/5030d130gy1fhypj7uzofj21si36o1kz.jpg', 'http://ww2.sinaimg.cn/large/5030d130gy1fhypj9toxoj22c03401ky.jpg', 'http://ww3.sinaimg.cn/large/5030d130gy1fhypjaxl5ij20zk0qojxn.jpg', 'http://ww2.sinaimg.cn/large/5030d130gy1fhypiv1gumj20zk0qogs8.jpg', 'http://ww3.sinaimg.cn/large/5030d130gy1fhypjh4j8oj23vc2kwb2d.jpg', 'http://ww1.sinaimg.cn/large/5030d130gy1fhypjjbnyij22qw2nsqv5.jpg', 'http://ww1.sinaimg.cn/large/5030d130gy1fhypjl77stj21ue2nw1kx.jpg']",,
4134068255515970,FeigNn8Xg,2637767371,医师报社,【分享】践行长征精神照亮健康中国“朗视界沐光明”慈善义诊活动走进宁夏海原7月15日，为纪念红军长征胜利80周年，弘扬长征精神，助力医疗精准扶贫，由康弘药业携手中华社会救助基金会共同发起，北京同仁医院和宁夏眼科医院主办的“朗视界沐光明”慈善义诊活动来到宁夏海原县。这片“苦瘠甲天下”的西海固地区，是红军长征胜利的会师地，来自北京同仁医院、北京大学人民医院、上海市第一人民医院、温州医科大学眼视光医院等全国20多个省市的40多名眼科专家，为近550名贫困眼疾患者进行眼科疾病的全面筛查诊疗，成功完成白内障手术30例，免费发放药品数万元。O网页链接,,,,,0,1,1,2017-07-27 10:22,微博 weibo.com,,,
