id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4428403392856112,IbUTVbZ0k,5861154895,盘龙岛龍哥,#今日看盘#一、大盘指数难上也难下，还是游离在20日线的位置，但个股真心没半点可操作性。非要我做个形容的话，那就是垂死之人只差拔氧气管了。我原本在纳闷，这两天怎么那么难操作，今天总算搞清楚了，这种行情没毛病，前两天是在为今天做的扶贫日做预热。二、市场情绪昨天盘后一口气发了7家科C板，这无疑对所有场内做多看多的人都有一定程度的信心。新股是要发，但选择在市场连续缩量，内资不断砸盘的时期，还一口气7家，就得让人难受了。哎~尔等小散也只能逆来顺受，一声叹息了，关键是咱也不敢说，咱也不敢问。短线继续空仓，静观其变吧~！虽然市场开始走修复，但是冰冻三尺非一日之功，这里是很难有大行情的，大家务必轻仓操作，空仓看戏也是一种选择。圈内不少大资金朋友前天开始就缩紧战线了，都是小仓位打打猎物，还在场内满仓或重仓干的小散们，此时更应该多思考点什么！三、题材热点个股1、澳交所：华金资本：目前澳交所题材的唯一独苗，这个板块的淘汰赛着实残酷，失败的都是以大跌收场。昨天盘中炸板的恒基达鑫早盘直接低开，盘中翻红一波也被资金趁机兑现离场了，昨日烂板的粤泰股份今天直接低开低走，全天水下运行，非常难搞。大家是否都在想一个问题，“资金都到哪儿去了”？存量博弈下，短线都是最狠的一批资金在里面玩，打板对职业选手尚且生死参半，腿脚不利索的普通散户进去岂不是九死一生，近期的短线生态有点困难。2、业绩预增业绩预增+人造肉的金字火腿昨日5日线上首阴后今天反包板，另外，数字货币+智能音响智度投资也是标准的摸5日线后也走出了反包板的图形，二者的共性是低价+题材叠加；午后智度投资还被砸开了，可见短线情绪降低之后场内博弈资金全都相当忌讳高价高位品种，后面超短线选手还想继续厮杀的话，也只能从前期人气品种中去寻找低价低位的反包股做偷鸡，其他高价高位的超短股都不要去碰了。3、治理现代化受某大会即将召开的消息刺激，今天“治理现代化”主题机会浮现。中电兴发领先一个身位是板块龙头，日内龙头科创信息直接一字杠开，金桥信息、华星创业、天夏智慧、延华智能等首板助攻。本周盘面热点匮乏，就连新热点澳交所也是坑多肉少，今天资金另辟蹊径攻击了这个主题，但持续性肯定不会好。#股票证券开户，低佣万一开户##新浪财经##股票#,,,,"今日看盘,股票证券开户，低佣万一开户,新浪财经,股票",0,0,0,2019-10-17 15:25,红米Redmi,['http://ww2.sinaimg.cn/large/006oEO8ngy1g8187loovej30dw08owf4.jpg'],,
4111637957517921,F4SKTvxKN,6063505873,青衫踞士李探花,【中标】嘉寓股份(300117)：中标光伏扶贫村级电站重大项目延华智能(002178)：中标4千万报警与监控系统采购项目北京城建(600266)：子公司中标50亿元北京延庆区棚户区改造项目神州长城(000018)：中标2.1亿元扶沟县健身中心项目,,,,,0,0,1,2017-05-26 12:52,搜狗高速浏览器,,,
4111623151675189,F4Sn171Nb,5502640275,一个关于小黄炒股的微博,建发股份：联合体37.86亿元竞得杭州市地块　　延华智能：中标4000万报警与监控系统采购项目　　金谷源：拟更名“藏格控股”　　嘉寓股份：中标4.01亿元光伏扶贫村级电站重大项目　　深赛格：旗下赛格物业管理公司进行混改引入战投及员工持股　　东华科技：签订8.74亿元景观工程承包合同　　东山精密：拟2916.29万元转让新三板公司雷格特控股权　　中国铁建：下属企业将设立商业保理公司　　神州长城：中标2.1亿元扶沟县健身中心项目　　重庆水务：控股股东股权出现变动20%股权拟转让　　中新药业：控股股东临时提议免去两名董事职务因长期无法履职,,,,,0,0,10,2017-05-26 11:53,360安全浏览器,,,
4111605199304870,F4RU3D2Cy,6141757201,-青杉居士李探花-,【中标】嘉寓股份(300117)：中标光伏扶贫村级电站重大项目延华智能(002178)：中标4千万报警与监控系统采购项目北京城建(600266)：子公司中标50亿元北京延庆区棚户区改造项目神州长城(000018)：中标2.1亿元扶沟县健身中心项目,,,,,0,0,0,2017-05-26 10:42,微博 weibo.com,,,
4111585100023087,F4RnE060n,3888747729,赢在天时,#御峰论市#重大事项>>>　　建发股份：联合体37.86亿元竞得杭州市地块　　延华智能：中标4000万报警与监控系统采购项目　　金谷源：拟更名“藏格控股”　　嘉寓股份：中标4.01亿元光伏扶贫村级电站重大项目　　深赛格：旗下赛格物业管理公司进行混改引入战投及员工持股　　东华科技：签订8.74亿元景观工程承包合同　　东山精密：拟2916.29万元转让新三板公司雷格特控股权　　中国铁建：下属企业将设立商业保理公司　　神州长城：中标2.1亿元扶沟县健身中心项目　　重庆水务：控股股东股权出现变动20%股权拟转让中新药业：控股股东临时提议免去两名董事职务因长期无法履职　　东方能源：达成两项清洁能源战略合作　　万华化学：6月份纯MDI挂牌价环比下调1000元/吨　　沈阳化工：控股子公司部分装置关停　　*ST爱富：关停吴泾地区化工生产装置　　诺力股份：控股股东补充质押70万股　　金鸿能源：筹划员工持股计划　　能科股份：实控人于胜涛补充质押140万股　　北京城建：子公司中标50亿元北京延庆区棚户区改造项目　　停牌：浙江东日、博天环境　　复牌：*ST重钢、南纺股份,,,,御峰论市,0,0,0,2017-05-26 09:22,微博 weibo.com,,,
4111567773918894,F4QVHgrtY,5558784124,亢升-股药师,高送转>>>　　珈伟股份：实施10转8派1元方案　　太阳能：实施10转10送2派0.52元方案　　重大事项>>>　　建发股份：联合体37.86亿元竞得杭州市地块　　延华智能：中标4000万报警与监控系统采购项目　　金谷源：拟更名“藏格控股”　　嘉寓股份：中标4.01亿元光伏扶贫村级电站重大项目　　深赛格：旗下赛格物业管理公司进行混改引入战投及员工持股　　东华科技：签订8.74亿元景观工程承包合同　　东山精密：拟2916.29万元转让新三板公司雷格特控股权　　中国铁建：下属企业将设立商业保理公司　　神州长城：中标2.1亿元扶沟县健身中心项目　　重庆水务：控股股东股权出现变动20%股权拟转让,,,,,0,0,0,2017-05-26 08:13,微博 weibo.com,,,
4111412190465000,F4MSL1WY0,5802704771,SeeStock,#无聊股票#$北京城建sh600266$：子公司中标50亿元北京延庆区棚户区改造项目；嘉寓股份sz300117：中标4.01亿元光伏扶贫村级电站重大项目；建发股份sh600153：联合体37.86亿元竞得杭州市地块；延华智能sz002178：中标4000万报警与监控系统采购项目；东华科技sz002140：签订8.74亿元景观工程承包合同。,,,,无聊股票,0,0,0,2017-05-25 21:55,联想ZUK Z2,['http://ww3.sinaimg.cn/large/006kHyArgy1ffxya0pkjgj30m80xcq3t.jpg'],,
4111388659867046,F4MgNFoRU,3859718942,杜雨柯佳人5555,5月25日晚间公告5月25日晚间，两市多家公司发布重要公告：北京城建(600266)：子公司中标50亿元北京延庆区棚户区改造项目；嘉寓股份(300117)：中标4.01亿元光伏扶贫村级电站重大项目；建发股份(600153)：联合体37.86亿元竞得杭州市地块；延华智能(002178)：中标4000万报警与监控系统采购项目；东华科技(002140)：签订8.74亿元景观工程承包合同。,,,,,0,0,0,2017-05-25 20:21,微博 weibo.com,,,
4111386726214283,F4MdGq4Cn,5346977330,财经股票分析-老廖,5月25日晚间，两市多家公司发布重要公告：北京城建（600266）：子公司中标50亿元北京延庆区棚户区改造项目；嘉寓股份（300117）：中标4.01亿元光伏扶贫村级电站重大项目；建发股份（600153）：联合体37.86亿元竞得杭州市地块；延华智能（002178）：中标4000万报警与监控系统采购项目；东华科技（002140）：签订8.74亿元景观工程承包合同。,,,,,0,0,0,2017-05-25 20:14,360安全浏览器,,,
4111386193630974,F4McPfeA6,3858678820,财经著名资讯人-蓝姐,5月25日晚间公告集锦5月25日晚间，两市多家公司发布重要公告：北京城建(600266)：子公司中标50亿元北京延庆区棚户区改造项目；嘉寓股份(300117)：中标4.01亿元光伏扶贫村级电站重大项目；建发股份(600153)：联合体37.86亿元竞得杭州市地块；延华智能(002178)：中标4000万报警与监控系统采购项目；东华科技(002140)：签订8.74亿元景观工程承包合同。,,,,,0,0,0,2017-05-25 20:11,微博 weibo.com,,,
