id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4558070783418591,JomGyelkz,5588233552,社保卡应用,发表了博文《德生科技助力广西梧州圆满完成劳动力资源信息数据调查》为了充分了解当地劳动力资源信息，掌握劳动力就业与培训意愿，进一步完善就业失业实名制管理，精准促进就业和再就业，助力就业扶贫工作，广西梧州O德生科技助力广西梧州圆满完成劳动力资源信息数据调查,,,,,0,0,0,2020-10-09 10:57,新浪博客,,,
4532128870310925,JdtOL1iSV,7141881236,前沿车资讯,#新闻看点#7月22日，贵州省毕节人力资源服务产业园授牌暨就业扶贫现场招聘活动在毕节市金海湖新区职教城举行。该产业园由德生科技(002908.SZ)承接服务运营，为毕节建设“开发扶贫、生态建设”试验区，在脱...O德生科技精准助力地方就业，贵州毕节人力资源服务产业园投入运营,,,,新闻看点,0,0,0,2020-07-29 20:53,新浪看点客户端,,,
4530155878353816,JcEuvz3cY,5588233552,社保卡应用,发表了博文《德生科技为贵州毕节人力资源服务产业园投入运营提供支持》020年7月22日，贵州省毕节人力资源服务产业园授牌暨就业扶贫现场招聘活动在毕节市金海湖新区职教城举行。该产业园由德生科技（00290O德生科技为贵州毕节人力资源服务产业园投入运营提供支持,,,,,0,0,0,2020-07-24 10:13,新浪博客,,,
4507415896165810,J36V7pS0y,2084780197,swijie200112,德生：农村电商+就业+扶贫，幸福生活新载体2会的重点之一：就业+扶贫+农村电商对标供销大集+强生控股，兼备RCS、粤港澳、网红德生科技：2...-雪球O德生：农村电商+就业+扶贫，幸福生活新载体（分享自@雪球）,,,雪球,,0,0,0,2020-05-22 16:12,雪球网,,,
4507060488846892,J2XFSB7tO,6445060576,寻龙有道,002908德生科技德生科技sz002908这个票，逻辑非常不错，两会预期，后疫情时代牛票，促就业+扶贫+农村电商，每一个都可能是两会的重点讨论范畴，位置也很舒服！#今日看盘##投资#,,,,"今日看盘,投资",0,0,2,2020-05-21 16:40,iPhone客户端,,,
4496499368551526,IEuo8zSDQ,1950292293,莲子豆豆,#兴趣话题词#股市财经#今日看盘#电商板块表现火爆，农产品、芭田股份sz002170、大北农、供销大集、德生科技涨停，云图控股、友阿股份、华英农业纷纷拉升。电商在助农方面的作用，在新冠肺炎疫情期间表现得尤为明显。高层精准点评电商新业态，扶贫兴农大有可为。,,,,"兴趣话题词,今日看盘",1,16,1,2020-04-22 13:14,微博 weibo.com,,,
4479019841795222,Ix9Fm7x1c,6532616175,区块链懿哥,区块链头条德生科技：公司计划在就业、精准扶贫领域研究出可靠的信息链德生科技（002908.SZ）在互动平台回复投资者表示，区块链是很好的创新模式，公司在技术上会不断探索，计划在就业、精准扶贫领域研究出可靠的信息链。,,,,,0,0,0,2020-03-05 07:36,区块链头条超话,,,
4479019795461411,Ix9FhmULh,6532616175,区块链懿哥,区块链日报德生科技：公司计划在就业、精准扶贫领域研究出可靠的信息链德生科技（002908.SZ）在互动平台回复投资者表示，区块链是很好的创新模式，公司在技术上会不断探索，计划在就业、精准扶贫领域研究出可靠的信息链。,,,,,0,0,0,2020-03-05 07:36,区块链日报超话,,,
4479019757629688,Ix9Fdw0Pu,6532616175,区块链懿哥,区块链里的事儿德生科技：公司计划在就业、精准扶贫领域研究出可靠的信息链德生科技（002908.SZ）在互动平台回复投资者表示，区块链是很好的创新模式，公司在技术上会不断探索，计划在就业、精准扶贫领域研究出可靠的信息链。,,,,,0,0,0,2020-03-05 07:36,区块链里的事儿超话,,,
4479012350903783,Ix9th3N79,2492633935,合约大作手,德生科技：公司计划在就业、精准扶贫领域研究出可靠的信息链德生科技（002908.SZ）在互动平台回复投资者表示，区块链是很好的创新模式，公司在技术上会不断探索，计划在就业、精准扶贫领域研究出可靠的信息链。,,,,,0,0,0,2020-03-05 07:07,微博 weibo.com,,,
4478692544027754,Ix19sgTNM,5484769330,币圈白晓生,【德生科技：公司计划在就业、精准扶贫领域研究信息链】德生科技（SZ002908）在互动平台表示，区块链是很好的创新模式，公司在技术上会不断探索，计划在就业、精准扶贫领域研究出可靠的信息链。,,,,,0,0,0,2020-03-04 09:56,微博 weibo.com,,,
4478692531229157,Ix19r59L7,3458288384,币圈大事件123,【德生科技：公司计划在就业、精准扶贫领域研究信息链】德生科技（SZ002908）在互动平台表示，区块链是很好的创新模式，公司在技术上会不断探索，计划在就业、精准扶贫领域研究出可靠的信息链。,,,,,0,0,0,2020-03-04 09:56,微博 weibo.com,,,
4456657616412367,InLVfqU9h,5588233552,社保卡应用,发表了博文《德生科技“社保卡+实名农户”项目助力“造血式扶贫”》在仔细查看订单后，李明（化名）按下了“实名农户商城”APP软件上的“确认”键。在一周的时间内，身处广东省广州市的某消费者将收到两桶2.5O德生科技“社保卡+实名农户”项目助力“造血式扶贫”,,,,,0,0,0,2020-01-03 14:37,新浪博客,,,
