id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4552488713194438,Jm1tddp1c,5180216871,taner唐尔,#个股解析#游资：豪悦护理：绝对龙头，超级大游资和机构继续大力加仓。明天已经说过了。山东玻纤：同上，三路一线游资合力，全是净买入，非常干净。重视。有点绝对龙二的感觉，就是没有超级大游资出手。赛升药业：同上，四路一线游资合力，买入非常干净。协鑫集成：不愧是光伏龙头，一路超级大游资，四路一线游资抢筹。关于光伏在环保，节能，国家政策，扶贫上都有很大的想象空间，最近多晶硅也在涨价，事件刺激很充足，要重视。今天的光伏电池也是非常强的，甚至出现了涨停潮。正川股份：一支超级大游资现身，一支一线游资合力。做完一轮做二轮。重视一下。博晖创新：游资接力非常完美，不过拉萨路一参与，后面就会曲折很多。康泰医学：四路游资合力，很精彩，二家一线游资，一家超级大游资，还有倒霉的拉萨路，就综在逃跑。海南发展：一线游资合力，净买入很干净。拓日新能：同上，光伏算是个主线概念吧。起步股份：同上，买入非常干净。不过这是一字板，无低位就算了。海星股份：同上。中公教育：全是机构加仓位，看到好多机构也开始转向小盘股了，看来这些年机构成长了好多了，不再像以前那样傻乎乎了。机构现在风向也变了。沈阳化工：疫情防治反弹了，章盟主单枪匹马带起了节奏。金固股份：走势很完美，不过今天游资板得不是很完美，北上出得有点多，情况有点尴尬，不上不下的，看看吧。#游资#,,,,"个股解析,游资",0,0,2,2020-09-24 01:15,微博 weibo.com,,,
4389563969081123,HBzY0C6pJ,6220237941,奥陶纪财经,【拓日新能资金链紧张被问询或待大股东减持套现“驰援”】（来源：证券日报网）在老牌光伏企业海润的退市阴影下，资金压力已成为整个光伏行业绕不开的话题。6月27日，光伏上市公司拓日新能回复深交所对其2018年年报的问询函，对应收账款高企、负债压力等问题做出回复，并表示将在2019年控制有息负债规模，并尝试引进长期资金。此前，其大股东计划减持并将所获部分资金支援上市公司，目前已减持获近3500万资金，但尚未公布资金资助的具体计划。为此，《证券日报》记者向拓日新能询问资金资助进度，但未获回复。一位光伏行业协会的人员在接受《证券日报》记者采访时表示，光伏行业属于低利润行业，且近年补贴拖延成为常态，不少公司资金压力很大。在行业洗牌之际，企业可尝试盘活存量电站，缓解现金流的压力。应收账款逆势增三成2018年，“531新政”叫停普通地面式光伏电站的新增投资、控制分布式光伏规模、降低补贴力度，国内新增光伏装机容量应声下滑，主营太阳能原材料、太阳能电池及太阳能电站拓日新能也元气大伤，2018年营业收入同比下降26.02%，净利润减少45.51%。“一些龙头企业，在海外市场影响力比较大，‘531’来临的时候，可以把国内市场收缩，海外市场做大，达到一个平衡。但二三线的企业品牌力不够，受‘531’的影响就很大。”另一位长期关注光伏行业的业内人士向记者说道。遗憾的是，拓日新能也未能掌握这门平衡的艺术，2018年公司不仅内销金额下滑三成，出口销售额也微降4%。从比例上来看，拓日新能仍然依赖国内市场，内销金额8.98亿元，占总收入的80.09%，出口销售额占比仅为19.91%。面对这样的境况，拓日新能在2018年调整战略，集中精力建设大型地面光伏电站，用于自身电站建设的组件产品比例相应增加。这一举措消化了公司的组件库存，同时也带来一些投资回报。数据显示，公司2018年并网电站规模增加，发电收入同比增长42.51%。但新的问题出现了。其2018年应收账款增长31.76%至9.46亿元，而这还是计提6244.98万元坏账准备后的数额，计提坏账准备前的应收账款余额为10.08亿元。公司在回复深交所问询函时表示，电费收入中有一部分是新能源补贴，需由国家财政统一拨付给电网公司后，再转支付给项目公司，这一过程有一定周期影响，因此造成应收账款的陡增。另外，公司报告期内承接了榆林市横山区光伏扶贫项目的EPC工程，应收账款因此增加1.21亿元。公司认为，上述两种应收账款有国家信用担保，坏账风险极低，因此不需要计提坏账准备。但拓日新能也在回复函中承认，应收账款汇款存在不能按计划及时到账的风险，新能源补贴也存在延期支付的风险，或对公司造成资金压力。上述业内人士也向记者表示，国家的可再生能源补贴一直有缺口，且近年缺口还在放大，导致不少补贴延迟发放，给光伏企业造成很大的资金压力。或待大股东减持“驰援”这种资金压力在拓日新能2018年的债务结构中显现。2018年，拓日新能确认财务费用1亿元，同比增长40.65%。从债务结构看，2018年末公司短期借款余额达15.6亿元，较期初增幅为126.91%，长期借款余额为3.93亿元，较期初增长113.56%。公司在回复函中进一步披露，2018年有息负债总额年末为25.48亿元，同比增长28.79%。此外，2018年末拓日新能的货币资金余额为5.44亿元，其中受限资金达3.57亿元，大部分系承兑保证金和定期存单。拓日新能也在回复函中承认，公司面临短期偿债压力。但2019年公司已着力控制有息负债规模，未来也将利用电站资产通过融资租赁或资产证券化等金融工具引进长期资金，同时考虑发行公司债券或定向增发，以期解决偿付风险。不过，上述业内人士告诉记者，金融机构在评估项目回报率时，会考虑补贴占比，如果补贴不到账，财务成本等方面都不可控，融资结果也会大打折扣。前述光伏行业协会的人员也表示，经过“531新政”，金融机构面对光伏企业的融资需求更加谨慎。从另一个侧面，也可见拓日新能对资金的渴望。自2018年以来，拓日新能第一大股东深圳市奥欣投资发展有限公司(以下简称“奥欣投资”)和二股东喀什东方股权投资有限公司(下称“喀什东方”)频繁为上市公司融资提供质押，截至目前，奥欣投资质押比例达88.79%，二股东喀什东方质押比例达86.75%。今年4月29日，拓日新能宣布拟减持公司4%股份，所获资金将用于自身资金需求和支持上市公司发展。数据显示，5月至今奥欣投资已减持超过1000万股，累计参考市值为3487.8万元，但尚未发布资助上市公司的计划，《证券日报》记者询问相关进度也未获公司回复。,,,,,0,0,0,2019-07-02 11:11,微博 weibo.com,['http://ww4.sinaimg.cn/large/006MXu2pgy1g4lbkihx4aj30im0b43zz.jpg'],,
4314161200036665,H5WoE09xn,5133980862,益盟好股,#今日看盘##周四股市#★光伏行业或迎来复兴明年需求向好5股迎机遇根据相关机构的分析数据显示，我国自“531”新政以来，光伏装机容量将有所下降，预计今年全年光伏装机容量约为88GW，与此同时，政策变化导致光伏价值链上的现货市场价格下降了约30%，不过，这一现状有望在2019年被打破，上述机构分析师预计2019年，光伏预计需求将大幅增加，全球太阳能需求将达到112GW。利好太阳能板块。点评：“智汇光伏”创始人王淑娟预计，“十三五”第二批光伏扶贫项目目录将会于2018年11月底下发。预期本次将下发未来两年（2019、2020年）全部的光伏扶贫项目，总规模可能高达9GW，分两年落地。太阳能相关个股：002218拓日新能、300316晶盛机电、300724捷佳伟创、600438通威股份、601222林洋能源,,,,"今日看盘,周四股市",0,0,0,2018-12-06 09:27,专业版微博,,,
4314156910191788,H5WhJ0NTm,6055756339,知行知止,光伏行业或迎来复兴明年需求向好。利好太阳能板块。点评：“智汇光伏”创始人王淑娟预计，“十三五”第二批光伏扶贫项目目录将会于2018年11月底下发。预期本次将下发未来两年（2019、2020年）全部的光伏扶贫项目，总规模可能高达9GW，分两年落地。太阳能相关个股，5股迎机遇：002218拓日新能、300316晶盛机电、300724捷佳伟创、600438通威股份、601222林洋能源上证指数sh000001,,,,,0,0,0,2018-12-06 09:10,微博股票,,,
4314156738329798,H5WhryWXA,5910132384,因客户的价值存在,12.6早间消息：★光伏行业或迎来复兴明年需求向好5股迎机遇根据相关机构的分析数据显示，我国自“531”新政以来，光伏装机容量将有所下降，预计今年全年光伏装机容量约为88GW，与此同时，政策变化导致光伏价值链上的现货市场价格下降了约30%，不过，这一现状有望在2019年被打破，上述机构分析师预计2019年，光伏预计需求将大幅增加，全球太阳能需求将达到112GW。利好太阳能板块。点评：“智汇光伏”创始人王淑娟预计，“十三五”第二批光伏扶贫项目目录将会于2018年11月底下发。预期本次将下发未来两年（2019、2020年）全部的光伏扶贫项目，总规模可能高达9GW，分两年落地。太阳能相关个股：002218拓日新能、300316晶盛机电、300724捷佳伟创、600438通威股份、601222林洋能源注：此推荐关注不够成任何买卖依据，仅供参考，投资需谨慎,,,,,0,0,0,2018-12-06 09:09,360安全浏览器,['http://ww4.sinaimg.cn/large/006rYjpSgy1fxtaj2lv4rj30hr0hsmyr.jpg'],,
4314156733531619,H5WhreOJB,5643450555,短线财经分析,光伏行业或迎来复兴明年需求向好。利好太阳能板块。点评：“智汇光伏”创始人王淑娟预计，“十三五”第二批光伏扶贫项目目录将会于2018年11月底下发。预期本次将下发未来两年（2019、2020年）全部的光伏扶贫项目，总规模可能高达9GW，分两年落地。太阳能相关个股，5股迎机遇：002218拓日新能、300316晶盛机电、300724捷佳伟创、600438通威股份、601222林洋能源,,,,,0,0,0,2018-12-06 09:09,今日看盘超话,,,
4227180172889748,Gbp4Zc7KQ,3808512826,五谷丰登官博,4月10日早报市场分析：昨日上证指数早盘先抑后扬，午后维持震荡，分时图中黄白二线出现剪刀差，说明午后市场赚钱效应有所回升。沪指仍处于3100-3200大的箱体震荡区间中，震荡反复，结构性机会明显。创业板收复10日均线，涨幅居前，重新领涨市场。两市还是轻指数，重个股的时代。 市场热点：北斗导航板块表现靓丽。华测导航、中海达、华力创通、移为通信、北斗星通涨停，合众思壮、晨曦航空、海格通信、中国卫星等大涨。北斗地图APP预计5月1日上线。届时可用手机下载，定位有望精确到厘米。北斗地图APP是一款基于北斗卫星精准导航服务的基础位置服务工具，可为广大用户提供移动、实时的定位和导航以及基于位置的衣、食、住、行和商家信息服务。光伏板块盘中快速拉升，龙头拓日新能冲击涨停，亿晶光电、协鑫集成、向日葵等纷纷跟涨，消息面上，国家能源局、国务院扶贫办印发《光伏扶贫电站管理办法》。次新股持续活跃，九典制药、盘龙药业、香飘飘、朗博科技和顶点软件等多股午后涨停。粤港澳大湾区板块午后急速拉升，龙头恒基达鑫强势封板，珠海港冲击涨停，广州港、盐田港大幅拉升，消息面上，广东省省长马兴瑞在博鳌论坛表示，粤港澳大湾区规划很快就要出台。 个股推荐：双成药业(002693)拟2.6亿元转让澳亚生物46%股权医药、海南概念 览海投资(600896)与上海东方医院达成战略合作，控股股东拟增持0.3亿元-1.2亿元公司间接控股股东览海集团拟投资约272亿元在玉溪市澄江县投资建设南亚东南亚医学中心及生态健康城项目。医药、海南概念      ,,昆山·乐和城,,,0,0,2,2018-04-10 08:55,OPPO R9s,"['http://ww4.sinaimg.cn/large/e3014b3agy1fq7a1q1gpgj20qo0w3ads.jpg', 'http://ww2.sinaimg.cn/large/e3014b3agy1fq7a1r0bl9j20qo0wgdk5.jpg']",,
4226895127762343,GbhFewzl5,6090455236,呱呱财经,#上证快讯##大盘-个股-趋势-分析#光伏板块快速拉升，龙头拓日新能大幅上攻，亿晶光电、协鑫集成、向日葵等纷纷跟涨，消息面上，国家能源局、国务院扶贫办印发《光伏扶贫电站管理办法》。,,,,"上证快讯,大盘-个股-趋势-分析",0,0,0,2018-04-09 14:03,超话,,,
4226891613771346,GbhzzfP6a,6424959390,e股堂-娜妹儿,10倍股的机会要诞生？两部委下发《光伏扶贫电站管理办法》的通知，光伏板块应声而起，拓日新能一度触及涨停！光伏行业，2018年，应该算是黎明前最黑暗的时点。因为进入了打价格战的阶段，开年来光伏产品价格便大幅下跌，巨头们苦苦支撑，现在看来迎来曙光了！光伏的成本在飞速下降，相当多的好公司估值已经低到吓人，到某种程度，或许10倍股的机会就诞生……刺激下的拉升不用追买，但异动却给了我们以后投资的动力和机会！一键点关注，从此不愁关注点！,,,,,0,0,0,2018-04-09 13:49,360安全浏览器,['http://ww4.sinaimg.cn/large/0070Otrgly1fq6cwnwppsj30dw0dw74k.jpg'],,
4226887989389777,GbhtIDoI1,6228532255,预测赢家,【股市快讯】光伏板块快速拉升，龙头拓日新能sz002218冲击涨停，亿晶光电、协鑫集成、向日葵等纷纷跟涨，消息面上，国家能源局、国务院扶贫办印发《光伏扶贫电站管理办法》,,,,,0,0,0,2018-04-09 13:34,微博 weibo.com,,,
