id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4443603218832411,IiijLB3If,2793654960,雪域高原上扶贫之路,今天，经西藏自治区市场监管局协调，西藏易明医药向我们两个县6个村群众爱心捐赠医用药品和棉被扶贫没有旁观者，你我都是践行人,,,,,0,0,0,2019-11-28 14:03,iPhone客户端,"['http://ww3.sinaimg.cn/large/a683cab0ly1g9dpvm3fvhj21400u0k4n.jpg', 'http://ww3.sinaimg.cn/large/a683cab0ly1g9dpvmps3zj21400u015l.jpg', 'http://ww4.sinaimg.cn/large/a683cab0ly1g9dpvnfmguj21400u0ala.jpg', 'http://ww1.sinaimg.cn/large/a683cab0ly1g9dpvl89bcj21400u0nak.jpg', 'http://ww3.sinaimg.cn/large/a683cab0ly1g9dpvo2ehij21400u012m.jpg', 'http://ww4.sinaimg.cn/large/a683cab0ly1g9dpvoo9gij21400u0k1k.jpg', 'http://ww3.sinaimg.cn/large/a683cab0ly1g9dpvphfpij21400u0n8h.jpg', 'http://ww4.sinaimg.cn/large/a683cab0ly1g9dpvq5maij21400u0al0.jpg']",,
4246032713849823,Gjjwjg9vV,3046730890,股坛大禹阳光,2018.6.1日股市早盘信息提示：1.今日新股申购（780990南京证券）2.利空公告（盛运环保：终止重大资产重组，长川科技、易明医药等遭股东大额减持）3.中央推进乡村振兴和产业扶贫农产品加工前景广阔.4.两融余额持续减少沪深缩减合计9830亿元，6月限售股解禁4204亿元环比增加四成.5.美联储加息预期强烈新兴经济体将迎加息潮.大盘方面（A股今日正式入MSCI新兴市场指数，银行、食品饮料、白酒、医药等行业占比最大成外资首选对象，沪指短期内上补缺口3120点附近有冲高回落预期，下方重要支撑3041及3016点，各大指数方面延续弱势震荡整理，权重蓝筹股行情反复震荡延续，勿追高控制仓位）仅供参考,,北京·崔各庄地区,,,0,0,0,2018-06-01 09:29,iPhone 6s Plus,,,
4219761287955787,G8i52xnF9,1272611652,新东方股吧,说到次新分享一个总结，扶贫地区的次新成妖的概率大，最近几个月贵州这边贵州燃气、永吉股份、泰永长征，西藏那边现在有万兴科技，前面有易明医药和卫信康。（天天骑牛）,,,,,0,0,0,2018-03-20 21:35,HUAWEI Mate 8,,,
4079691905643306,Exr9knG54,5386348290,智者实战,"随着去年底IPO发行批文加速，及IPO扶贫、西藏或新疆“VIP”绿色通道的政策支持，最快一个IPO项目从申报到发行只花了6个月,过会到发行仅等了2个星期.安徽集友新材是首个成功上市IPO扶贫项目，注册地安徽省安庆市太湖经济开发区，为国家级贫困县地区企业。来自西藏的易明医药和高争民爆从申报到上市的时间也不到一年。",,,,,0,0,0,2017-02-27 09:10,微博 weibo.com,,,
4074666513889391,EvkpRgjO7,1739963892,手机股评网,刚才翻了一下新股，银行类新股我觉得已经高潮，后排的没必要去了，刚才说到真正转机是万里马，那么我们预判万里马为明天龙头，那么我觉得和万里马同批的天马科技等可能下午会跟上，然后再结合易明医药这类扶贫类新股，那么德新交运和高争民爆也可能机会，至于现在涨幅居前的一些前面趋势不错的股，如300580、300586、300587、002836、002837、002838这些下午也可能继续走强，但这类趋势股我更偏向低吸。,,,,,0,0,1,2017-02-13 12:21,微博 weibo.com,,,
4061834598217070,EpWBdytDo,1078455753,xhy8860,扶贫股易明医药应收账款飙涨海通证券定价11.2-12.8_手机网易网（来自@手机百度）O扶贫股易明医药应收账款飙涨海通证券定价11.2-12.8,,,手机百度,,0,0,0,2017-01-09 02:31,百度App,['http://ww4.sinaimg.cn/large/4047edc9jw1fbjsddqjgrj20l415ngq3.jpg'],,
4060840799854782,EpwKjFlG6,1594987341,股民老张投资咨询中心,发表了博文《IPO扶贫插队对市场的影响》　　英雄互娱落户延安，摆好了插队IPO的姿势。西藏易明西雅医药科技、西藏高争民爆只用9、10个月就成功插队上市，引发扶贫插队IPO的热潮。去年我在一财节目中说过OIPO扶贫插队对市场的影响,,,,,0,0,1,2017-01-06 08:42,新浪博客,,,
4058177420855348,Eopsy3AvW,1654967992,琳距离bubu,7.27元发行的易明医药14板后低开破板，第二只发行的西藏扶贫概念股，公司主营化学药和中成药，毛利率69％，三年来2000万净利润增长到5000万，今年业绩还将增长20％，高争民爆跟随者，题材想象力一般，22-25元有一定安全性#次新股该怎么做#易明医药sz002826,,,,次新股该怎么做,2,2,0,2016-12-30 00:19,微博股票,['http://ww1.sinaimg.cn/large/62a4ceb8gw1fb84cdlp61j204j04jglj.jpg'],,
4057368536365814,Eo4pTqI2q,6016078576,梦想分外蓝z,发表了博文《“扶贫”新政第一股—西藏高争民爆（002827）易明医药（002826）》截止到12月20日，新三板上的企业有的从北京到西藏，从上海到西藏，从重庆到西藏。近来，恒信玺利、天阳科技、金润科技O“扶贫”新政第一股—西藏高争民爆（002827）易明医药（002826）,,,,,0,0,0,2016-12-27 18:45,新浪博客,,,
4054420469795791,EmPIWF6kD,2395622851,牛股Plus,"#“IPO扶贫”推出3月24家新三板公司迁址贫困县#创业板指数399006#12月9日，来自西藏的高争民爆(21.000,1.91,10.01%)、易明医药(15.470,1.41,10.03%)在深交所敲钟上市，登陆中小板，同时成为沪深两市第3000家上市公司。两家企业从向证监会申报IPO到拿到发行批文，用时均不超过1年，远超同期上市企业IPO获批速度。",,,,“IPO扶贫”推出3月 24家新三板公司迁址贫困县,0,0,5,2016-12-19 15:30,搜狗高速浏览器,,,
