id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4447885220984276,Ik5Ie483q,6860974977,免费牛股mianfeiniugu,"商赢金控公司直接向公司全资子公司商赢香港公司赠与港大零售国际控股有限公司20%股权资产。同时，公司关联方拟向公司无偿赠与商赢医院管理公司9.65%股权。公司在受赠港大零售公司20%的股权后，将间接持有商赢医院管理公司10.4%的权益。　　九强生物公告，公司拟非公开发行股票募集资金不超过12亿元，扣除发行费用后拟全部用于补充流动资金。国药投资以现金认购本次非公开发行的全部股票。按照本次非公开发行股票的数量上限计算，本次发行完成后，国药集团将持有公司5%以上的股份并成为公司第一大股东。本次非公开发行前，公司无控股股东和实际控制人，本次非公开发行完成后，公司仍无控股股东和实际控制人。　　商赢环球公告，此前，公司拟受让商赢金控公司所持有的港大零售国际控股有限公司50.01%的股权。由于公司收购港大零售公司股份的程序较长且复杂，预计无法尽快完成，双方决定终止此次股权转让事宜。双方决定将原方案改为由　　天邦股份公告，公司与昔阳县政府签订战略合作框架协议，拟在昔阳县逐步形成存栏约10万头母猪、年生产250万头断奶仔猪的养殖基地。预计包括固定资产、生物资产在内的投资总额为20亿元，其中5亿-10亿元来源为扶贫贷款资金。　　格林美公告，近日，LG化学向公司正式下达了新能源动力电池用高镍三元前驱体产品批量采购订单，标志着公司开始全面向LG化学供应新能源动力电池用高镍三元前驱体产品。　　楚天科技公告，公司正在筹划发行股份、可转换公司债券及支付现金购买资产并募集配套资金。本次筹划购买楚天投资、澎湃投资持有的楚天资管股权即购买其间接持有德国Romaco公司的股权，本次交易预计构成重大资产重组及重大关联交易。公司股票自2019年12月10日上午开市起停牌。　　公司同时公告，公司拟通过以不超过4,165万欧元对楚天资管进行增资的方式，完成对德国DBAG基金持有Romaco公司剩余24.9%股权的收购。　　中航光电公告，鉴于公司股票市场价格持续超出回购价格上限，回购股份无法实施，公司拟终止回购股份方案。本次终止回购股份事项尚需提交公司股东大会审议。　　截至2019年12月9日，公司通过股票回购专用证券账户以集中竞价交易方式累计回购股份数量为296,258股，约占公司目前总股本的0.03%，购买的最高价为40.10元/股，购买的最低价为39.18元/股，支付总金额为11,776,930.10元（不含交易费用）。　　锦富技术公告，公司拟将持有的全资子公司南通旗云科技有限公司100%股权转让给上海岽晖，转让对价为13,100万元。公司表示，本次转让南通旗云100%股权，是落实公司年初所制定的收缩、剥离光伏及大数据业务之战略规划调整的重要举措之一。通过剥离公司的非核心业务，集中优势资源重点发展公司的模切模组及智能检测与自动化等核心业务。本次股权交易预计将产生约4300万元股权处置收益。　　天和防务公告，公司控股股东、实际控制人贺增林及其一致行动人刘丹英决定提前终止减持6%公司股份的计划，截至公告日共计减持公司股份910.36万股，占公司总股本的3.79%。贺增林及刘丹英发起新的减持计划，拟6个月内合计减持公司股份不超过1,920万股，占公司总股本比例8.00%。　　上海钢联公告，公司控股股东兴业投资计划自公告日起15个交易日后的6个月内，以集中竞价方式减持公司股份累计不超过4,774,420股，即不超过公司总股本比例3.00%。截至公告日，兴业投资持有公司股份40,104,743股，占公司总股本比例25.21%。　　富祥股份公告，公司股东富祥投资计划自公告日起3个交易日后的6个月内，以大宗交易方式减持公司股份不超过7,966,300股，占公司总股本的3%。　　兴源环境公告，公司拟申请非公开发行绿色公司债券。本次公司债券面值100元，按面值平价发行。本次发行的公司债券票面总额不超过15亿元，募集资金拟用于绿色项目建设及补充流动资金。",,,,,0,0,0,2019-12-10 09:38,微博 weibo.com,['http://ww2.sinaimg.cn/large/007ujX0Jgy1g9rdo8kja3j309o09kwf3.jpg'],,
4362038966681064,Hq1UQs236,2866700814,西部网三农,"【龙头企业做两端农民群众干中间兰考产业扶贫成样板】兰考县政协主席吴长胜在陕西产业扶贫兰考学习考察活动座谈会上介绍说，近年来兰考县探索出了“龙头企业做两端,农民群众干中间,普惠金融惠全链”的产业扶贫联结机制。通过引进恒大、正大、禾丰、格林美、富士康等国内行业龙头企业、上市公司，在专业园区建工厂；按照“一乡一业”或“”多乡连片一业”，引进产业体系配套企业，建设6个乡镇园区，带动群众创业就业；围绕让群众在家门口就业致富，大力发展群创产业，稳步增加农民收入。同时，设立产业发展奖补政策，鼓励新型农业经营主体和个人发展设施农业、红薯、花生等产业，实现了产业发展对贫困户和所有农民的全覆盖。@陕西农业L西部网三农的秒拍视频",,开封·城关乡,陕西农业,,1,0,2,2019-04-17 12:16,HUAWEI Mate 20 X,,"http://f.us.sinaimg.cn/002PpgWilx07t9fSXrWE010412002aaz0E010.mp4?label=mp4_ld&template=640x360.28.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1602652318&ssig=XZOdJn6v5y&KID=unistore,video",
4257084612718298,GnX1Xbp9w,6490603365,赴漳州长泰特色庄园调研实践队,#青春大学习奋斗新时代#一阵清凉的风吹散盛夏的燥热，带来了无比的快意。我们与同赴漳州长泰的另一支三下乡队伍在出发前进行了交流并于漳州动车站合影留念。分别后，福建农林大学东方学院会计系的“赴漳州市长泰县特色庄园调研实践队”来到格林美提子观光园进行现代庄园经济的调研。午后，伴随着蒙蒙细雨，我们到达了目的地，经过短暂的休整后，我们简单的参观了提子庄园。傍晚时分，我们的队员和庄园负责人对后期的调研之旅展开了探讨，庄园负责人给我们介绍了庄园的经营方式、旅游管理以及特色服务理念等，加深了我们对庄园经济的了解。我们即将展开为期一周的特色庄园经济调研实践活动，青春扶贫，科普助力，我们在路上。@共青团福建省委@共青团中央学校部@福建农林大学东方学院团委@福建农大东方学院青年志愿者协会@福建农大东方学院会计系青协@农大东方学院会计系团委,,漳州·长泰格林美提子观光园,"共青团福建省委,共青团中央学校部,福建农林大学东方学院团委,福建农大东方学院青年志愿者协会,福建农大东方学院会计系青协,农大东方学院会计系团委",青春大学习 奋斗新时代,35,19,72,2018-07-01 21:25,vivo X20全面屏手机,"['http://ww2.sinaimg.cn/large/0075fUr3gy1fsuoi69kizj30go0cddh2.jpg', 'http://ww2.sinaimg.cn/large/0075fUr3gy1fsuoi5c0gyj337k2eokjn.jpg', 'http://ww2.sinaimg.cn/large/0075fUr3gy1fsuoh7co89j337k2eoqv7.jpg', 'http://ww1.sinaimg.cn/large/0075fUr3gy1fsuohniurcj33nd2qj7wk.jpg', 'http://ww1.sinaimg.cn/large/0075fUr3gy1fsuohe88d4j337k2eob2b.jpg', 'http://ww3.sinaimg.cn/large/0075fUr3gy1fsuohyp1b3j335s2dc7wm.jpg', 'http://ww1.sinaimg.cn/large/0075fUr3gy1fsuoip52emj32c0340qv8.jpg', 'http://ww1.sinaimg.cn/large/0075fUr3gy1fsuoiwp7y3j32c0340b2c.jpg', 'http://ww4.sinaimg.cn/large/0075fUr3gy1fsuoigt7j3j337k2eohdx.jpg']",,
4232750582417266,GdJZwa8Qa,1053953693,杨建国,#扶贫攻坚看河南#兰考打造了一整套产业扶贫的体系。小到村、乡，兰考打造了“一村一品”“一乡一业”，达到产业集聚区和特色产业园，兰考打造了承载招商引资、产业龙头拉动的载体和平台。而这套产业扶贫体系的结果，就是成功实现了从小微企业遍地开花到多家上市公司落户，实现了一二三产业融合发展。近几年，兰考重点引进行业龙头企业、上市公司，恒大、正大、禾丰、格林美、富士康等一大批龙头企业相继在专业园区开工建设。在乡镇，围绕产业延链补链，按照“一乡一业”或“多乡连片一业”，引进产业体系配套企业，建设6个乡镇园区，带动群众创业就业。在农村，围绕让群众在家门口就业致富，大力发展群创产业，稳步增加农民收入。,,,,扶贫攻坚看河南,26,13,30,2018-04-25 17:50,iPhone 7 Plus,['http://ww1.sinaimg.cn/large/3ed20e9dly1fqp1stal8pj20m80gowhi.jpg'],,
4106535531618881,F2K1b6N8Z,1995558907,小夏看盘,格林美(002340)：董事长许开华:电池材料规模优势将更加突出。2017年一季度及2016年全年业绩表现良好，电池材料、电子废弃物、镍钴钨三大业务业绩同步爆发，业绩实现持续增长；其中电池材料业务增速最快。响应国家精准扶贫的号召，先后投资兰考县、炎陵县、新化县等贫困县，发展循环产业，以绿色发展模式实施精准扶贫。,,,,,0,0,0,2017-05-12 10:57,微博 weibo.com,,,
4082299261311415,EywYK5v9R,6124097319,八又二分一女人plus,"【精准扶贫，格林美高奏凯歌】　　格林美(002340,股吧)股份有限公司作为优秀环保上市公司，在资本市场推动下快速发展，在沐浴资本市场雨露情况下，率先响应国家精准扶贫的号召，先后投资兰考县、炎陵县、新O精准扶贫，格林美高奏凯歌",,,,,0,0,0,2017-03-06 13:50,微博头条发布端,,,
4082297555225040,EywVZlVgQ,1794242602,布布曰,精准扶贫，高奏凯歌！格林美股份有限公司作为优秀环保上市公司，在资本市场推动下快速发展，在沐浴资本市场雨露情况下，率先响应国家精准扶贫的号召，先后投资兰考县、炎陵县、新化县等贫困县，发展循环产业，以绿色发展模式实施精准扶贫，走出一条绿色产业扶贫新路子。O精准扶贫，格林美高奏凯歌,,,,,2,1,6,2017-03-06 13:44,微博 weibo.com,,,
4082165987711015,EytvMwlZd,1984567767,格林美-sz002340,【精准扶贫，格林美高奏凯歌】？？格林美股份有限公司作为优秀环保上市公司，在资本市场推动下快速发展，在沐浴资本市场雨露情况下，率先响应国家精准扶贫的号召，先后投资兰考县、炎陵县、新化县等贫困县，发展循环产业，以绿色发展模式实施...O格林美走出绿色产业扶贫新路,,,,,1,0,1,2017-03-06 05:01,个股微博,,,
4023684203581655,E9W8kf1KD,1794242602,布布曰,格林美晚间两则公告：1.格林美股份有限公司关于签署湖南格林美映宏循环产业园项目战略合作协议的公告。符合国家当前产业扶贫政策。2.格林美（武汉）循环技术发展有限公司正式更名为武汉汉能通新能源汽车服务有限公司。正式进军新能源汽车全产业链。两大利好消息，周一若再不涨，真是天理不容了,,,,,0,9,6,2016-09-25 19:55,微博 weibo.com,,,
3989067681081336,DBn3y4xiU,2099815680,小帅说股,我在#新浪理财师#发布了【今日大盘热点及个股】今年开建2000公里以上地下管廊投资拉动巨大：韩建河山、纳川股份、龙泉股份。多部门联合发布实施健康扶贫工程意见：：隆基股份、天原集团、猛狮科技等；废塑料变成液体燃料废回收有望成为能源新贵：霞客环保、格林美、东…O网页链接,,,,新浪理财师,0,0,0,2016-06-22 07:21,新浪理财师,,,
