id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4510933067745139,J4ApYwuRB,6352876244,环球新视界天行道义,6月1日盘前重要公司新闻上海证券报社2020-06-01已关注乘势而上，奋发有为！随着脱贫攻坚战迈入决胜年，那些深入一线的扶贫人不仅扎下了根，而且还以点带面，引领更多人奔向希望的田野。上市公司每年年报披露后，市场的目光会迅速转至交易所的事后问询。企业业绩真不真、经营实不实，都能从年报问询中一探究竟。上海证券交易所与中证指数有限公司近日宣布将调整上证50、上证180、上证380等指数的样本股，中证指数有限公司同时宣布将调整沪深300、中证100、中证500、中证香港100等指数样本股，本次调整于6月15日正式生效。皖通科技两大阵营间的内斗仍在继续。在5月28日上演了一场“全武行”后，周发展控制的南方银谷与李臻掌控的皖通科技董事会，如今又快速转入“舌战”阶段5月31日晚间，包括棕榈股份、吉电股份、卓胜微、雪峰科技和同方股份在内的数家公司“扎堆”披露定增预案，合计涉及资金超110亿元。,,,,,0,3,7,2020-06-01 09:08,荣耀V9 我想要的快,,,
4440363844420989,IgW2Yiy6h,5899598912,海口林业,据预计，2019年我市林业经济总产值59.49亿元（全年产值数据参照去年同期估算，下同）同比增长2.4%。其中第一产业完成产值32.45亿元，同比增长3.2%，第二产业完成产值25.84亿元，同比负增长4.5%，第三产业完成产值1.2亿元，同比增长9%。一是扎实推进花卉产业发展。2019年，全市花卉产值约11.5亿元，同比增长4.5%。因地制宜，指导各花卉企业、合作社、花农做好节假日花卉产品供应，鲜切花类1452.25万枝，盆栽植物类774.3万盆，观赏苗木1848.26万株。大力发展花卉产业，云龙镇、演丰镇、红旗镇、三门坡镇等地新增三角梅、散尾葵等花卉复种面积5000多亩。二是抓产业促乡村振兴。海南罗兰生态农业有限公司东山镇文心兰基地和红旗镇的海南大湖桥园林股份有限公司的示范园区已分别成为海口市秀英区和美兰区产业精准扶贫示范基地，帮扶贫困户63户。同时安置就业人数23人，其中贫困户4人，平均每人年工资25000元以上，临时性用工100多人，农民收入水平大幅提高。三是积极培育省级现代农业示范园区和林业国家级、省级龙头企业。我市深入调研，对接企业，推荐有条件的企业积极申报国家级、省级龙头企业。2019年，海南金棕榈园艺有限公司获得国家级林业产业化龙头企业（全省获批的唯一一家企业），海口金棕榈种质资源科技产业园获得省级产业园称号。截止目前，我市共有6家企业获得的现代农业产业园示范园称号，现代农业产业园是转变农业生产方式，推进农业现代化的重要平台，进一步推进农业转型升级和提质增效。,,,,,0,0,1,2019-11-19 15:31,360安全浏览器,,,
4352713385202506,Hm7jAlPpo,3610275200,遂宁文化,【投资10亿元打造安居区拦江镇莲花湖景区】近日，棕榈股份西南区域与安居区签订了《莲花湖乡村振兴文农旅融合发展示范项目投资框架协议书》，棕榈股份先期投资10亿元打造安居区拦江镇莲花湖景区。此次签约，将依托莲花湖得天独厚的自然资源，围绕“商、养，学，闲、情、奇”等旅游要素，建设以耕读文明、禅韵特色、民宿旅游、巴蜀渔家文化为本底，以湖光山色等旅游资源和体验项目为重点的自然风景小镇，并使其成为全国知名的休闲旅游区和西部“特色小镇+乡村振兴+扶贫开发”的标杆。,,,,,0,0,0,2019-03-22 18:40,微博 weibo.com,['http://ww2.sinaimg.cn/large/d7306d80gy1g1bpczqac7j20fh08pgoi.jpg'],,
4334100791680461,Hej7h73ad,5786884150,婺源发布,婺源年接待游客人次连续12年全省第一#上饶身边事##婺源旅游##新浪旅游##江西旅游#日前，笔者从婺源旅游部门获悉，2018年该县接待游客2370万人次、旅游综合收入220亿元，分别比增9%、30%，实现年接待游客人次连续12年全省第一。　　近年来，婺源践行新发展理念，实施“发展全域旅游、建设最美乡村”战略，打造高品质旅游，推动旅游业高质量发展。该县旅游项目全域推进，主动对接国开基金、山水文园、棕榈股份、中景集团、中青旅、华侨城等大企业大财团，加快一大批重大旅游项目引进，度假小镇、文化小镇、演艺小镇等竞相绽放。旅游产品全域盛开，推动全域旅游与民宿度假、康体养生、文化体育等产业深度融合，一大批旅游新业态、新热点争奇斗艳。旅游体制日臻完善，组建了婺源县旅游产业发展集团；成立了婺源“旅游110”和全国首个旅游诚信退赔中心，开展优质旅游服务提升年活动等，不让一位游客在婺源受委屈。　　在全域旅游的带动下，截至目前，婺源拥有国家5A级景区1个、4A级景区13个，巩固了4A级旅游景区数量全国县级第一的地位，江西省5A级乡村旅游点数量位居全省县级第一。同时全域旅游促进了旅游扶贫，据统计直接从事旅游人员达8万人，间接受益者超25万人，占全县总人口的70%，走出了吃“生态饭”发“山水财”的“婺源之路”。去年，婺源实现10个贫困村“摘帽”和1943名贫困人口脱贫，全县贫困发生率由2014年的4.65%下降为2018年的1.29%，累计退出贫困村17个。（吕富来）,,,,"上饶身边事,婺源旅游,新浪旅游,江西旅游",0,0,1,2019-01-30 10:00,微博 weibo.com,"['http://ww3.sinaimg.cn/large/006jDaV8gy1fzodpl7hd8j30dw099mxm.jpg', 'http://ww3.sinaimg.cn/large/006jDaV8gy1fzodplagz4j30kk09qdhf.jpg']",,
4315315132761952,H6qpPbAvC,1378910582,小顾在路上,热烈庆祝：河源市南领大健康产业有限公司揭牌仪式，顺利举行乡村振兴，精准扶贫棕榈人我们在行动#态度者##棕榈生态城镇发展股份有限公司##全球领先的生态城镇服务商#,,广州,,"态度者,棕榈生态城镇发展股份有限公司,全球领先的生态城镇服务商",0,0,0,2018-12-09 13:52,vivo X21屏幕指纹手机,"['http://ww4.sinaimg.cn/large/52308176gy1fy0g70wr8cj23281j4qv7.jpg', 'http://ww3.sinaimg.cn/large/52308176gy1fy0g735vvvj23281j4e83.jpg', 'http://ww4.sinaimg.cn/large/52308176gy1fy0g74ut62j23281j47wj.jpg']",,
4303657149258286,H1x8CCQvc,5786884150,婺源发布,#婺源旅游#江西风景独好#旅游风景#打造全国乡村旅游及乡村振兴的示范和标杆(图文)今年1月，上饶市委提出把婺源打造成为全国乡村旅游及乡村振兴的示范和标杆。婺源，全域2967平方公里是一个国家3A级景区，拥有1个5A级、12个4A级景区，4A级以上景区数量位居全国县级之首；游客接待人次连续11年位居全省之首。近年来，婺源实施“发展全域旅游、建设最美乡村”战略，推动乡村旅游和乡村振兴协调发展，谱写人民群众幸福美好生活新篇章。坚持保护优先，让乡村美起来“建设生态文明是中华民族永续发展的千年大计。”婺源护好青山，出台《领导干部自然资源资产离任审计方案》。以县人大决议的形式明确长期禁伐天然阔叶林，落实“林长制”，森林质量持续提升。治好绿水，落实“河长制”，开展山塘水库承包养殖管理整治，严格限制沿河沿溪项目开发。守好净土，开展农村面源污染防治工程，推动全县生活垃圾无害化处理等，各乡镇出水界面水质均达Ⅱ级以上。如今，婺源优美生态催生了美丽经济。今年1至9月，全县接待游客1734.5万人次，旅游综合收入128.8亿元。借助优美风光和古朴村落，婺源民宿如雨后春笋般兴起。将军府、西冲院、晓起揽月等百余家精品民宿和500多家大众民宿已经形成了巨大的产业集群效应，打造了中国乡村民宿“婺源样板”。为策应全省“四绿一红”茶叶品牌战略，婺源11家茶叶龙头企业完成品牌整合，婺源绿茶品牌价值增至17.34亿元，全年实现茶产业系列产值逾35亿元，连续20余年通过国际有机食品认证。为推动农旅融合发展，婺源打造了松风翠现代农业休闲公园等一批农业休闲体验项目，创建了20个休闲农业示范点。坚持发展为要，让产业强起来“发展是解决一切问题的基础和关键。”婺源推进全省唯一的首批中国优秀国际乡村旅游目的地建设，不断提升乡村旅游质量，满足世界游客对婺源的美好向往。婺源坚持高质量发展，提升全域旅游，加速乡村振兴。紧紧抓住产业融合这个重点，加快推进“旅游+”和“+旅游”战略，推动全域旅游与民宿度假、康体养生、生态工业、文化体育、商务会展等产业深度融合，一大批旅游新业态、新热点百花齐放，唱响了全域旅游精彩大戏。主动对接国开基金、山水文园、棕榈股份、中景集团、中青旅、华侨城等大企业大财团，加快一大批重大旅游项目引进；篁岭创国家5A级景区取得阶段性成果。为打出全域旅游发展“组合拳”，婺源各乡镇找准自己的特色优势，坚持差异化发展，达到“各美其美、美美与共”的目的；各部门围绕旅游找准定位，按照《婺源县旅游发展委员会兼职委员工作规则》的要求，切实搞好服务。全县上下齐心协力，将“绿色、红色、古色”资源，汇聚成“金色”优势，促使绿水青山转化为金山银山。坚持脱贫攻坚，让百姓富起来“说一千、道一万，增加农民收入是关键”。婺源把脱贫攻坚作为第一民生工程抓紧抓实。开展产业扶贫全覆盖、健康扶贫再提升、教育扶贫再对接、贫困村村庄整治再推进“四大工程”，坚持扶贫同扶志、扶智相结合，激发贫困群众内生动力，提升脱贫攻坚质量。同时，采取有针对性的帮扶措施，抓好城市贫困人口的帮扶，确保全面小康路上城市和农村群众“一个都不能少、一步都不能慢”。为解决好发展不平衡不充分的问题，加快建成覆盖全民、城乡统筹、权责清晰、保障适度、可持续的多层次社会保障体系，努力实现学有所教、病有所医、老有所养、住有所居。积极落实就业创业扶持政策，加强就业创业技能培训，培育更多具有现代市场意识、竞争意识、创造意识的第二代旅游人，一起参与市场管理，提供新型业态，开展创意营销，带动婺源旅游转型升级。截至目前，婺源有8万余人从事涉旅行业，全县近70%的人口受益旅游发展。全县贫困发生率由2014年的4.65%下降至1.5%，全县26个贫困村已实现7个“摘帽”。今年上半年，婺源城镇居民人均可支配收入11649，同比增长10.1%；农村居民人均可支配收入6413元，同比增长10.4%。,,,,"婺源旅游,旅游风景",0,0,1,2018-11-07 09:48,微博 weibo.com,"['http://ww1.sinaimg.cn/large/006jDaV8gy1fwz9azh8y6j30dw098wg0.jpg', 'http://ww3.sinaimg.cn/large/006jDaV8gy1fwz9azfsmsj30dw098js5.jpg', 'http://ww2.sinaimg.cn/large/006jDaV8gy1fwz9azglyuj30dw098dh6.jpg']",,
4250006149680752,GkYT4ECpa,5668294125,倍特期货有限公司绵阳营业部,早间要闻：20180612宏观1、央行公告称，目前银行体系流动性总量处于较高水平，可吸收央行逆回购到期等因素的影响，6月11日不开展公开市场操作。当日有200亿元逆回购到期，净回笼200亿元；Shibor多数上涨。2、工业部部长苗圩带队赴河北雄安新区开展调研，与河北省省长许勤共同签署支持雄安新区规划建设战略合作协议。苗圩表示将与河北省的合作，通过部省双方共同努力，把雄安新区建设成为贯彻落实新发展理念的创新发展示范区。3、据人民网，能源局相关负责人表示，《关于2018年光伏发电有关事项的通知》本身不是“急刹车”，在政策研究制定过程中，借鉴了德国、西班牙、捷克等国家经验，通过征求意见会（2月）、新闻发布会（4月）等多种方式充分征求意见、吹风提示，还专门召开会议听取了地方发展改革委（能源局）、有关电网企业意见并作了政策宣介。经多次修改完善、反复论证后，于5月31日正式印发了《通知》。4、据新华社，主管部门解读光伏产业政策调整：推动光伏产业从规模增长向高质量发展转变。国家能源局有关负责人表示，调整并非“一刀切”。今年第一批418万千瓦光伏扶贫已经下达，第二批400万千瓦正在准备。第三批领跑基地项目已选定650万千瓦，第四批将于下半年适时启动。5、海通宏观姜超：工业经济时代，劳动力数量决定经济增长。而知识经济时代，劳动力质量决定经济增长。我国高中及以上教育程度人口比重已从改革开放初期的7%上升至23%，每年高等教育毕业生人数也已突破1200万人，高素质劳动力总量持续扩张，表明知识经济时代正在到来。6、经济参考报头版刊文称，要深入实施乡村振兴战略，未来的改革中尚需克服三大难关。首先，要解决人才短缺的问题。其次，要解决资金短缺的问题。再次，要解决农民增收的问题。7、经济参考报：美联储14日加息几成定局，在市场普遍关注流动性是否会再度受扰动因素影响背景下，央行下一步货币操作引人关注。多位专家表示，此次央行大概率跟随美联储“加息”。由于市场预期充分，且市场利率与政策利率之间仍存在明显的利差，预计公开市场操作利率的上调将波澜不惊。海外1、IMF总裁拉加德：全球经济增长面临的风险变得越来越阴暗，在6月份加拿大魁北克G7首脑峰会后尤其如此；信心所面临的最大风险是贸易摩擦。2、英国4月工业产出同比1.8%，预期2.7%，前值2.9%。英国4月制造业产出环比-1.4%，该跌幅为2012年10月以来最大；预期0.3%，前值-0.1%。3、意大利经济部长重申新政府无意退出欧元区，称不希望通过赤字支出来刺激增长。此外意大利市场监管机构负责人称，意大利的欧元区成员国身份“坚如磐石”。4、野村证券：本周美联储极有可能再度加息25个基点；最新的利率预期“点阵图”料暗示2018年将加息四次，而非此前的加息三次；美国2018年及2019年核心通胀将逐渐上扬，到2019年第四季度，美国核心PCE通胀料将达到2.2%。5、巴西央行发布每周经济数据报告，将今年巴西经济增长预期下调至1.94%，同时上调通胀预期。期货1、NYMEX原油期货收涨0.5%，报66.07美元/桶。伊朗与委内瑞拉原油供应中断令油价得到支撑。沙特称5月产量提高使油价涨幅受限。布伦特原油期货收跌0.13%，报76.36美元/桶。2、COMEX黄金期货收涨0.13%，报1304.4美元/盎司。COMEX白银期货收涨1.28%，报16.955美元/盎司。特金会与美联储会议前，投资者情绪谨慎。3、伦敦基本金属涨跌不一，LME期锌收涨0.11%，报3205.5美元/吨；LME期锡收跌0.24%，报21175美元/吨；LME期铜收跌1.23%，报7222美元/吨，连跌两日；LME期铅收涨0.67%，报2482.5美元/吨；LME期镍收跌1.01%，报15265美元/吨；LME期铝收涨0.43%，报2309美元/吨。4、国内商品期货夜盘涨跌互现。焦炭、焦煤、动力煤分别收涨0.66%、0.64%、0.70%。铁矿石收涨0.32%。豆油、菜油、棕榈油分别收涨0.31%、0.18%、0.04%。豆粕、菜粕、大豆分别收跌0.48%、0.71%、0.08%。螺纹钢、热轧卷板分别收涨0.66%、0.48%。橡胶收平，沥青收涨1.00%。5、大商所和郑商所相继发布消息称，玉米期货期权、棉花期货期权立项申请获中国证监会批复同意。6、郑商所：自6月14日结算时起，苹果期货合约交易保证金标准自10%调整为9%，涨跌停板幅度自5%调整为6%，其中苹果期货1807合约交易保证金标准自15%调整为25%。7、宝钢股份：7月份热轧（宝山、东山、梅山）基价上调100元/吨；不锈钢厚板基价含税上调1000元/吨。8、据秦皇岛煤炭网，全国大范围高温即将来到，矿区环保、安检检查还在继续，低硫高热值煤种供需矛盾突出。神华已通知各用户月度价合同兑现量将会降低，上限90%，下不保底，伊泰也已跟用户沟通减量供应。9、CCTD秦皇岛动力煤5500K综合价报589元/吨，与上期持平；5000K综合价报549元/吨，环比上涨2元/吨；5000K现货价报615元/吨，环比上涨37元/吨。虽然环渤海地区现货动力煤价格保持整体上涨，但各方的谨慎情绪也有所升高。（来源：Wind资讯）,,,,,0,0,0,2018-06-12 08:38,微博 weibo.com,,,
4187318556658916,FADynrWhS,5330351946,游资老道,【热点资讯】一、中央经济工作会议强调，打好精准脱贫攻坚战精准扶贫概念股：凯迪生态(000939)、隆基股份（601012）、通威股份（600438）、华英农业（002321）华英农业sz002321“打赢蓝天保卫战”“启动大规模国土绿化行动”，调整产业结构，淘汰落后产能，调整能源结构，加大节能力度和考核，调整运输结构大气治理：菲达环保、先河环保、雪迪龙、永清环保等水治理：创业环保、渤海股份、巴安水务、中电环保等土壤修复：天瑞仪器、铁汉生态、蒙草生态、永清环保等园林绿化：美丽生态、东方园林、棕榈股份等京津冀产业转移规划发布，初步明确“2+4+46”个平台，包括北京城市副中心和河北雄安新区两个集中承载地，四大战略合作功能区及46个专业化、特色化承接平台，本地上市公司望受益概念股：启迪桑德（000826）、汇中股份（300371）等#启迪桑德sz000826[股票]#,,,,,0,0,0,2017-12-21 09:00,搜狗高速浏览器,,,
4169759265759886,FtgKWoapo,6124096202,你的脑袋里少了些什么,【棕榈股份联合中标8.56亿元扶贫工程总包项目】O棕榈股份联合中标8.56亿元扶贫工程总包项目,,,,,0,0,0,2017-11-02 22:05,微博头条iPhone,,,
4169218868495990,Ft2HkzEc6,5939063463,·钱眼海哥的微博,最新消息面及操作策略：今晨纳指再创盘中历史新高，道指上涨0.12%，纳指上涨0.43%，标普上涨0.09%，欧洲主要国家股市收高。纽约原油期货上涨23美分，涨幅为0.42%，收于每桶54.38美元；纽约黄金期货收跌0.6%，收于每盎司1270.5美元。其他消息面：10月官方制造业PMI为51.6，连续15月在荣枯线上方；昨日6家企业首发上会，仅有2家获通过；北上资金持仓规模超4900亿元；全国碳排放交易即将启动（涉置信电气、华测检测等）；京津冀大气环保局将于年底前组建；上海自由贸易港方案正在完善和报批；雄安新区22个专项规划、32个专题研究均取得阶段性成果；个股利好：北新建材年报大幅预增；龙源技术年报扭亏为盈；中国铁建中标34.58亿元扶贫小镇项目；浦东建设中标合计8.88亿元多个项目；富煌钢构签署8亿元安置区产业化工程项目；东华科技联合体预中标8亿元PPP项目；棕榈股份中标合计3.64亿元多个景观工程设计项目；汇川技术预中标1.23亿元轨道交通项目；蓝盾股份联合签署5608万元项目合同；科力远子公司签技术许可协议，预计获益超6000万；汉鼎宇佑转让微贷金融1.5%股权，预计增利4575万；大唐发电、南京化纤、宜安科技定增获批；奇信股份董事长增持，引入首席科学家；中顺洁柔、三垒股份、东方通股东拟增持。个股利空：精功科技、人人乐终止重大资产重组事项；龙蟒佰利终止收购海外钛矿项目控制权；闻泰科技、茂业通信、隆鑫通用、网宿科技、劲拓股份、海联讯、宝馨科技、赞宇科技、九强生物、昊志机电、和科达、新易盛、吉宏股份、振华股份、和仁科技股东拟减持。今日限售股解禁：浩云科技、高伟达、理工光科、佳发安泰、中富通。昨天大盘缩量上涨，还是属于急跌后的反弹，今天继续观察反弹量能和力度，如果继续弱反，仍可再回落可能，注意先趁反弹减仓拉升力度大的个股。再等继续低吸高卖的机会。,,,,,0,0,0,2017-11-01 10:18,微博 weibo.com,,,
