id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4550870697780617,JllnvwE5P,3205844223,正邦集团官博,辽宁朝阳市委书记蹇彪抵正邦总部，现场办公快速推进项目投产9月17日，辽宁省朝阳市委书记蹇彪率队莅临正邦集团考察，现场办公，解决项目推进中的实际困难，并期待正邦加大投资力度，拓展投资领域，实现共同发展。朝阳市委常委、市委组织部部长老颜武，市农业农村局长李显通，市委副秘书长、市委办常务副主任赵颂扬，市委副秘书长张永胜，建平县长王文佳市委办副主任李君正；正邦集团董事长林印孙、正邦科技董事长林峰、正邦集团副总裁聂小洪、正邦科技发展建设中心副总裁罗小波、东北大区投融资副总经理甘继权等陪同考察并座谈。朝阳市委书记蹇彪致辞座谈会上，蹇彪书记打开地图，形象直观地介绍了朝阳的区位优势。他说，朝阳地处辽冀蒙三边交界，交通区位优势明显，同时也是农业大市、畜牧大市，尤其随着京沈高铁的开通，朝阳全力抢抓京津冀协同发展机遇，全力打造京津冀“菜篮子”“米袋子”“肉盘子”，发展潜力巨大。蹇彪表示，朝阳的营商环境越来越好，发展态势越来越好，尤其是在今年经济下行压力较大的形势下，朝阳的固定资产投资连续数月增速20%以上。他要求正邦在朝阳的项目建成绿色、生态型工厂，打造成为扶贫示范基地，并希望正邦加大投资力度，朝阳市委市政府全力支持正邦的发展。正邦集团董事长林印孙致辞林印孙董事长一行对朝阳市委市政府给予的大力支持和帮助表示感谢。他表示，正邦非常满意朝阳的营商环境，在朝阳的项目进展十分顺利，今年可以实现投产见效。正邦一定严格按照项目建设时间表，挂图作战，打造成为农业全产业链项目。同时，林印孙要求东北片区加强调研，充分挖掘利用朝阳的区位优势，努力拓展在朝阳的投资领域。据悉，正邦项目今年6月签约以来，前期4个在朝阳建平的项目迅速开工，预计12月份投产，可带动就业1500人。针对正邦提出的后续项目用地、用水、手续办理、金融支持、领导挂点等问题，蹇彪书记现场办公，要求涉及县区、相关部门立即予以解决。,,,,,0,0,2,2020-09-19 14:06,微博 weibo.com,"['http://ww2.sinaimg.cn/large/bf154cffgy1givxdzxua3j20u00gp401.jpg', 'http://ww3.sinaimg.cn/large/bf154cffgy1givxdzqlwbj20u00lgq4h.jpg', 'http://ww1.sinaimg.cn/large/bf154cffgy1givxdzsazqj20u00kt0uc.jpg', 'http://ww3.sinaimg.cn/large/bf154cffgy1givxdzru4rj20u00jwgn7.jpg']",,
4541467793563956,JhoLxeX9a,3769250065,经济晚报,"【江西抗疫贡献企业｜正邦集团有限公司：致富不忘根本发展不忘社会】正邦集团有限公司成立于1996年，是农业产业化国家重点龙头企业，位列中国企业500强第247位、中国制造业500强第111位、中国民营企业500强第84位、江西省民营企业100强第1位。集团分设畜牧、植保、食品、金控四大产业，在全国29个省（市、区）拥有580家分子公司，在“一带一路”10个国家拥有20个企业，主发起设立了江西省首家民营银行——裕民银行。2019年实现总产值880亿元，缴纳税收2亿多元，安置了6万多人就业，承担了30多个国家及省市科研项目。集团饲料生产、生猪繁育与养殖、农药生产、兽药生产、种鸭繁育均居全国前10强，正邦饲料获得中国名牌称号，正邦商标荣获中国驰名商标。正邦集团弘扬“厚徳实干，义利天下”的赣商精神，积极担当社会责任，致富不忘根本、发展不忘社会，通过“龙头企业+贫困户”，“四个正邦免费提供、两个正邦担保”的扶贫模式，带动上百万农民增收，实现12万贫困人口脱贫。面对新冠病毒疫情，正邦集团迅速启动一级应急预案，一手抓疫情防控，一手抓生产保供。坚持防控机制到位、员工排查到位、设施物资到位、内部管理到位，迄今为止，6万员工、30万家属无一感染病例。同时，正邦集团充分发挥自身在""一带一路”沿线国家拥有20家海外分支机构的优势，从国外采购大批的护目镜、消毒液、口罩、手套等防护用品用于助力抗疫阻击战，先后捐款捐物2000万元（现金1000万元，物资1000万元），支持防控一线。此外，正邦集团紧急调度旗下分、子公司满负荷生产，为湖北、江西等地提供优质的生活必需品；正邦分布在全国的200多个养猪场，迅速启动一级应急预案，精准统计日销量、库存保有量，确保猪肉调运顺畅、供应充足、物价平稳。面对损失、压力和困难，特别是面对6万名员工的人力成本，正邦董事长林印孙在董事会上坚定地说：“我是全国人大代表，我所在的正邦更要有人大代表的先进性、引领性、稳定性，我们尽管压力大、困难多，但是我们正邦6万员工一个不裁，由于疫情影响不能到岗员工，实行居家办公，工资照发，坚决打赢就业守卫战，同舟共济、共克时艰。”点击链接O网页链接了解更多。#江西##企业##江西抗疫贡献企业##正邦科技#（来源：经济晚报）",,,,"江西,企业,江西抗疫贡献企业,正邦科技",1,1,0,2020-08-24 15:22,UC浏览器电脑版,"['http://ww1.sinaimg.cn/large/e0aa3111gy1gi1xh29jbtj20hs07z0v5.jpg', 'http://ww4.sinaimg.cn/large/e0aa3111gy1gi1xh551yxj20hs0cjjuj.jpg', 'http://ww3.sinaimg.cn/large/e0aa3111gy1gi1xh70o8pj20hs0a0mzm.jpg', 'http://ww3.sinaimg.cn/large/e0aa3111gy1gi1xh9jt3fj20hs0bpgol.jpg', 'http://ww2.sinaimg.cn/large/e0aa3111gy1gi1xhcq308j20hs0pygrj.jpg']",,
4514924989214206,J6ggyCF2e,7212023516,宁洺德利智慧科技服务,多家生猪养殖上市公司近期发布公告拟扩产。其中，牧原股份披露新设14家子公司开展生猪养殖业务，3家孙公司开展生猪屠宰业务，并拟使用自有资金向49家子公司合计增资约52.08亿元。　　分析人士认为，生猪出栏量环比高增长，带动企业利润走高，叠加整体产能持续扩张，生猪养殖企业业绩将加速释放。　　扩大养殖规模　　牧原股份6月7日晚公告，以自有资金出资设立房山牧原、枣阳牧原、绵竹牧原、武鸣牧原、南昌牧原、睢宁牧原、宿豫牧原、清江浦牧原、淮阴牧原、宝应牧原、高港牧原、栖霞牧原、乌拉特前旗牧原、太子河牧原；子公司牧原肉食以自有资金出资设立开鲁肉食、上蔡肉食、颍上肉食。上述17家公司拟定注册资本金共5.8亿元。　　牧原股份表示，随着公司养殖规模逐步扩大，结合公司战略发展需要，将进一步打造集科研、饲料加工、生猪育种、种猪扩繁、商品猪饲养、生猪屠宰为一体的生猪产业链。在上述14个地区设立子公司开展生猪养殖业务，有利于公司扩大生产规模，提高公司产品市场占有率，获取规模经济效益。　　公司同时表示，子公司牧原肉食在3个地区设立子公司，开展生猪屠宰业务，是着眼于公司业务布局的完善和长期战略发展规划，是根据行业形势的变化以及公司长远发展规划的考虑，是公司由养殖环节向下游发展的重要举措，对公司未来发展意义重要，有利于进一步增强公司的综合竞争力和盈利能力，巩固公司在行业内的地位。　　公告显示，拟对49家子公司进行增资，增资金额合计约52.08亿元。牧原股份称，本次增资有利于子公司的经营发展，提升竞争力和生产经营规模。增资完成后，上述子公司仍为公司控股子公司。　　业绩加速释放　　近期多家生猪养殖上市公司发布扩产公告。　　6月8日，深圳“菜篮子”企业京基智农首个签约的跨省生猪项目举行开工奠基仪式，该项目建成达产可实现年出栏商品猪30万头，标志着京基智农生猪产业规模化、现代化养殖进入加速实施阶段。京基智农表示，项目陆续投资建设，有利于公司扩大业务规模，提升市场竞争力和行业地位，并为后续生猪养殖项目提供人员支撑、技术支撑和体系支撑，增强公司的可持续发展能力；同时助力各地政府保障生猪市场供应。　　新五丰近期公告称，拟以1496.84万元收购广州聚力科技全资子公司广州壮壮科技90%股权，并向其增资3600万元。新五丰表示，本次交易将有利于自身扩大生猪养殖规模，增加自建猪场规模，加快新五丰参与粤港澳大湾区“菜篮子”基地建设，拓展广东当地的生猪市场。　　唐人神公告，与云南省禄丰县人民政府签署《年出栏100万头生猪绿色养殖项目投资协议书》。养殖项目计划总投资20亿元。公告显示，该投资项目建设包括苗猪场、母猪场、育肥场等，做大做强公司生猪全产业链。唐人神表示，投资项目达产后，有利于加速推进生猪产业的发展，同时带动项目区及周边地区养猪业的发展及增加农民收入，实现产业扶贫、助农增收等功能。　　天风证券认为，规模猪场未来几年有望快速扩张。短期看，预计二三季度猪价有望上涨，且上市公司出栏量有望环比高增长，从而带动利润走高。　　5月销售收入大增　　截至6月8日，多家生猪养殖企业披露5月份生猪销售情况简报，生猪销售收入同比均实现大幅增长。　　金新农5月生猪销售合计4.39万头，销售收入1.21亿元，环比增长95.21%，同比增长77.37%。正邦科技5月销售生猪49.62万头，销售收入18.26亿元，环比下降13.76%，同比增长138.12%。牧原股份5月销售生猪144.7万头，销售收入40.67亿元，4月份销售收入为39.90亿元，去年5月为12.03亿元。新希望5月销售生猪49.31万头，销售收入16亿元，环比增长38%，同比增长318%。　　新希望表示，生猪销量同比、环比上升幅度较大，主要是2019年四季度坚定落实养猪战略，保持较大力度的仔猪投放。同时，生猪价格上涨，生猪销量上升。牧原股份在公告中表示，5月中旬之前，公司商品猪价格呈现下降趋势，之后呈现回升态势。　　华创证券农林牧渔团队指出，猪价之前大幅回落并非生猪供应拐点已现，而是受猪肉消费恢复迟缓、出栏大猪偏多以及进口冻肉报价下行等因素影响。上市公司披露的5月月报显示，出栏量均有不同程度改善，目前猪价已经止跌回升。　　方正证券研报显示，拥有完善的生物安全防控体系和成本管控能力的企业将充分受益于整个行业升级，持续看好防控和成本管控能力强的公司，预计随着产能的持续扩张，相关公司业绩将加速释放。,,,,,0,0,0,2020-06-12 09:31,微博 weibo.com,['http://ww1.sinaimg.cn/large/007S4ULWgy1gfm3ijzzqkj30go0a8jrt.jpg'],,
4506678060248593,J2NJ412Fz,2154344603,饲料行业信息网,【两月新增约4万家养猪相关企业，同比增长149%】万科发布养猪岗位招聘信息、宣布养猪25万头的“小目标”，成为时下热议的焦点。万科跨界养猪消息一出，市场上出现了两种截然不同的声音。一种声音认为，养猪有前景;另一边则认为这是“不务正业”。记者注意到，跨界养猪，万科并非首家。同行中，碧桂园、恒大、万达等龙头房企均早于万科干起了“猪生意”。与此同时，近一年养猪业入局规模企业暴增1.4倍。天眼查专业版数据显示，我国目前共有74万家在业、存续的猪养殖企业。2020年3月以来，新增了约4万家相关企业，同比增长149%。作为一家房地产龙头企业，万科为什么要去跨界养猪?养猪比卖房还挣钱?以万科为代表的“高大上”企业进入猪养殖产业背后有着怎样的商业意图和业务逻辑?地产大佬纷纷布局猪养殖5月7日，万科招聘小程序“万招君”发布了一则“招募令”。“招募令”显示，万科招聘包括聚落化猪场总经理、养猪场预结算专业经理、猪场开发报建专员、猪场兽医等社招岗位。“聚落化猪场总经理”工作内容包括参与制定25万出栏生猪聚落规划。对于养猪的缘由，万科表示，2019年猪肉价格的大幅上涨，2020年年初新冠疫情给万科客户购置食品带来的不便，万科认识到，以服务现有客户为起点，在“从农场到餐桌”的整个产业链条上，与各行业优秀伙伴共同努力，争取“以普通家庭可支付的价格，为大众提供安全健康的日常餐食”。万科跨界养猪消息一出，市场上出现了两种截然不同的声音。支持方认为，养猪有前景。反对方则认为这是“不务正业”。从万科方面的表述上可以看到，养猪即是“美好生活场景”的一部分，换句话说，养猪也是万科整体生态的一部分。具体来说，养猪其实也是传统业务的新增长点。万科董事会主席郁亮曾表示，很多人认为转型意味着做新东西，但万科的转型首先会从传统业务中寻找新的增长点。诸葛找房数据研究中心分析师王小嫱对记者表示，万科跨界养猪是可以作为尝试，目前的房地产行业已经结束黄金时代，多元化发展有利于分担企业风险。跨界养猪的成本相对较低，仅相当于开发运营一个项目的成本，但猪肉行业目前处于红利释放期，且行业的利润率高，跨界养猪值得一试。记者注意到，跨界养猪，万科并非首家。同行中，碧桂园、恒大、万达等龙头房企均早于万科干起了“猪生意”。与此同时，近一年养猪业入局规模企业暴增1.4倍。头部企业高调进入养猪市场并大力投资。2014年底，万达宣布去贵州养猪，以扶贫方式在丹寨县投资10亿元建立30万头规模的土猪养殖厂和屠宰加工厂，每户农民入股，收益归农民;万达提供猪仔和饲料，后续猪肉通过万达广场销售到全国;2016年，恒大投资3亿元在贵州援建110多个以养猪为主的农牧基地。除了房地产企业，互联网行业也掀起过养猪的风潮。十年前，网易就开始搭起了“猪圈”，取名“网易未央”。之后，京东和阿里陆续进军养猪市场，京东的“猪脸识别”功能和阿里的“AI养猪”都曾引起广泛讨论。天眼查专业版数据显示，我国目前共有74万家在业、存续的猪养殖企业。2020年3月以来，新增了约4万家相关企业，同比增长149%。新增的猪养殖企业，超七成为个体工商户，且较为集中地分布在河北省、云南省和河南省。三个省份的相关企业数量总和，约占全国企业总量的三分之一。生猪养殖头部企业市值大涨众所周知，房地产是中国最赚钱的行业，为什么最赚钱的企业都要去养猪了?风口之上的养猪业到底有多赚钱?资料显示，中国是全球第一大猪肉消费国，也是第一大猪肉生产国，每年出栏的猪约有7亿头。整个猪肉产业的市值达到3万亿元，与猪肉直接相关的产业有1.4万亿元，是智能手机市场的2～3倍。猪养殖企业业绩也水涨船高。2019年，新希望营收820.51亿，同比增长18.8%，归母净利润50.42亿，同比增长195.78%;温氏股份营收731.2亿，同比增长27.75%;归母净利润139.67亿，同比增长252.94%;牧原股份营收202.21亿，同比增长51.04%，归母净利润61.14亿，同比大增1075.36%。唐人神和天康生物2020一季度利润增幅领先，分别达3845%和1057%。Wind数据显示，2019年，24家上市猪企中，18家净利同比增长，没有一家亏损。可以看到，2019年，牧原股份、温氏股份、新希望六合生猪业务的毛利率分别为37.05%、28.84%、38.53%，同比涨幅在16%-28%，基本每一家都超过房企的毛利率。2019年，万科的房地产和相关业务结算毛利率为27.2%。与利润同比拉升的还有股价。统计数据显示，猪肉概念指数2019年涨幅高达68.94%，2020年涨幅也已经超过25%，涨幅远领先大市。以牧原股份为例，以5月15日的收盘价计，其最新市值为2513.25亿元，逼近万科的2880.92亿元。而牧原股份创始人秦英林家族身家暴涨900亿，以1173.8亿元位列2019年福布斯中国富豪榜第9名。四川新希望集团的刘永好，疫情中财富上升20%，有1050亿身家，此外，温氏股份、正邦科技等行业头部企业的最新市值均在400亿元以上。养猪暴利的背后，是生猪及猪肉价格的上涨。中国政府网数据显示，2019年生猪平均收购价由年初的14.1元/公斤涨至年末的33.69元/公斤;据农业农村部披露的猪肉平均批发价，2019年年末猪肉报43.25元/公斤，而年初报价仅为18.92元/公斤。从养殖市场来看，美国农业部数据显示，中国年猪肉消费量超5000万吨，养猪堪称亿万级市场。比养殖市场规模更庞大的是国内猪肉的消费市场，消费量约占到世界猪肉消费总量的一半以上。在中国，猪肉人均年消费量约59公斤，平均每人每天要吃掉3两多的猪肉，需求量是世界平均量的两倍。国家为了让更多养殖户养猪，抑制猪价上涨，发布了一系列的补贴政策。对2020年底前新建、改扩建种猪场、规模猪场(户)，禁养区内规模养猪场(户)异地重建等给予一次性补贴。“对于企业来说，所谓主业都是阶段性的，盈利才是真正的底层正业。”王小嫱认为，猪产业首先是房地产结束黄金时代，行业压力加大，房企纷纷选择转型寻找新的出路。而猪养殖产业进入门槛较低，行业利润率高，是政策扶持产业，总体来说跨界的风险降低。农牧业在政策的红利下，风险小，行业利润率高，必将受到更多的房企青睐。,,,,,1,1,1,2020-05-20 15:20,360安全浏览器,,,
4463149329167545,IquNKCsTD,6501105047,正邦科技sz002157,正邦科技sz002157正邦科技(002157.SZ)：扶贫基金拟向子公司鹤庆正邦增资9000万元，点击链接查看更多->O网页链接,,,,,1,0,0,2020-01-21 12:33,微博股票,,,
4463149325358823,IquNKmu4D,6501105047,正邦科技sz002157,正邦科技sz002157正邦科技子公司获中央扶贫基金增资，点击链接查看更多->O网页链接,,,,,1,0,0,2020-01-21 12:33,微博股票,,,
4338790795161782,Hgh7NlEOy,5819880079,爱上妖股的王羽,市场+机会指数的共振才能造就真正的赚钱效应，放在昨天就是机构怼权重，众散怼创板，所以，市场现在处于慢热过程的起始，总体方方向积极向好，不过因为节前到昨天积压的大量获利盘，今天分化的概率比较大。那策略就很清晰了：不追后排的题材个股，只看有板块联动效应和确立市场地位的前排标的，因为业绩暴雷的利空落地，那就再叠加低价、业绩增长的属性筛选。具体来看，有几个方面：一是银星能源为代表的光伏+风电，因为顶层政策的倾斜刺激，还是可以作为中期观察，短线看银星能源的竞价表现如何，如果竞价时都表现强势，那持有的借机减仓为好，如今场内都是人精，异想天开躺赢的想法不要有。建议是观察后续做调整后的二波机会，就像年前的燃料电池一样，而具体标的以突破年线的为佳。二是若银星能源竞价表现颓势，那就看市场选择新题材接力的欲望有多强了，这里拆分成几个分支来看。5G：这虽然是炒剩饭，不过春晚深圳分会场上的5G试点刺激，会被反复刺激，中军东方通信如果能够进阶2板，就会有带动效应，先锋是贝通信。猪肉/乡村振兴：主要是受消息刺激，中军是正邦科技，这板块异动个股都在不知不觉走出了趋势，所以策略上有所不同，只低吸不追高，可以看新五丰沿5日线的表现。消费电子：这部分主要是小米和苹果这两大智能设备巨头产业链，劲胜智能早盘涨停，也是有一定的带动效应。最后再次重申一下划的重点，低价+题材的作用，低吸趋势股的可行性。上述是市场主流题材的理解，不过要想做收割的猎人，那就要另辟蹊径提前做先手。这里可以从市场打造的龙头受到启发银星能源，首板涨停价3.27，走的是光伏+并购重组+央企改革叠加属性。所以，市场主要还是从符合政策出发，挖掘低价多属性的个股。那么，从节后的政策消息来看，是否有这种潜力的标的，其实昨天的央视新闻就有划重点。主要有两个值得注意的消息，一是关于医药方面，外商独资医院落户上海，抗癌新药上市，3月1日对进口抗癌新药实施3%减税，所以可以从低价+上海+抗癌药的逻辑出发。二是金融服务乡村振兴方面，根源当然是结合扶贫这个大方针，央妈联合几个主要监管部门做表态了，逻辑依然是低价+乡村振兴+金融服务。,,,,,0,0,1,2019-02-12 08:36,360安全浏览器,,,
4313085990234526,H5uqr0Z0G,3205844223,正邦集团官博,昆明副市长赵学农考察正邦，期待双方加强合作11月30日，昆明市副市长赵学农率队莅临正邦集团考察，双方就进一步加强合作进行了交流。正邦科技总经理林峰、正邦集团副总裁聂小洪等出席会议。林峰总经理对赵学农一行的到来表示热烈欢迎，感谢昆明市委市政府的大力支持。林峰说，正邦与云南源远流长，正邦走出江西的第一站就在云南，于1999年在昆明设立云南广联畜禽有限公司。云南省区位优势独特，是“一带一路”倡议中重要地域节点，是中国连接南亚、东南亚地区国家的国际大通道和面向印度洋周边经济圈的关键枢纽，正邦计划在昆明建设区域中心，辐射南亚、东南亚农业市场。赵学农在座谈会上表示，昆明资源优势、区位优势、产业优势明显，特别是随着国家“一带一路”倡议的深入推进、中国昆明国家大健康产业示范区建设获得国务院支持，昆明的发展迎来了巨大的历史机遇，欢迎正邦一如既往地关心、支持昆明的各项工作，在昆明这片热土上大展宏图。昆明市政府党组成员、市扶贫办主任周开龙，昆明市农业局局长郭增敏等参加座谈会。会后，赵学农一行前往江西正邦生物科技有限公司参观考察。,,,,,0,0,0,2018-12-03 10:14,360安全浏览器,"['http://ww2.sinaimg.cn/large/bf154cffgy1fxtc70cu7hj20go0ap3z9.jpg', 'http://ww2.sinaimg.cn/large/bf154cffgy1fxtc70ekbaj20u00gp0ue.jpg', 'http://ww1.sinaimg.cn/large/bf154cffgy1fxtc70djd2j20go0b4wf4.jpg']",,
4298229166296933,GFdo8qq7r,3205844223,正邦集团官博,【银企合作新模式：辽宁锦州银行与正邦集团达成现代农业项目合作协议】10月22日，辽宁锦州银行党委副书记赵杰，扶贫办副主任赵铁桩、李延亮、单臣莅临正邦集团总部开展考察活动，并与正邦集团达成现代农业项目合作意向协议。赵杰一行受到正邦科技总经理林峰、正邦集团总裁助理周晓辉等的热情接待，考察团先后到江西正邦生物科技有限公司、正邦集团展厅等参观。考察中，考察团对正邦的发展理念和二十年来取得的业绩表示赞叹，更增强了锦州银行与正邦合作的决心。在座谈会上，周晓辉代表正邦向远道而来的考察团表示欢迎，感谢赵杰对正邦的认可和信任。周晓辉就正邦发展历程、发展现状、发展战略等方面做了介绍，表示双方要充分发挥在产业、人才、科研、资金等方面的优势，合作共赢，促进双方事业发展，共同为社会区域经济发展作出应有的贡献。赵杰说，正邦与锦州银行理念相似，双方都勇于承担社会责任。另外，正邦技术人才深厚、管理水平先进是他对正邦情有独钟的重要原因，希望双方共同努力，相互促进，实现银企的双赢与又快又好的发展。赵杰、周晓辉分别代表银企双方签署合作意向协议，双方将在辽宁义县开展现代农业项目合作，项目预计2019年9月投产。正邦养殖事业部总裁助理罗小波、正邦集团融资副总监沈卫华等参加上述活动。,,,,,0,0,0,2018-10-23 10:19,360安全浏览器,"['http://ww1.sinaimg.cn/large/bf154cffgy1fwhxwu0pkxj20go0agq3o.jpg', 'http://ww3.sinaimg.cn/large/bf154cffgy1fwhxwtzt5qj20go09v0tf.jpg', 'http://ww4.sinaimg.cn/large/bf154cffgy1fwhxwu1011j20go0aojs9.jpg']",,
4283827398160184,GzaJtyePS,3205844223,正邦集团官博,【正邦集团与楚雄州人民政府签署战略合作框架协议】9月5日下午，正邦集团有限公司与云南省楚雄州人民政府战略合作框架协议签约仪式在楚雄州政务中心举行。江西正邦科技股份有限公司总经理林峰，正邦集团副总裁雷霆，楚雄州委副书记、州人民政府州长迟中华，副州长邓斯云出席签约仪式。签约仪式上，正邦集团副总裁雷霆与楚雄州人民政府副州长邓斯云签署了《正邦集团有限公司楚雄州人民政府战略合作框架协议》。林峰总经理在仪式上致辞中说，正邦集团一直致力于做农业产化的组织者和领导者，做负责任的绿色食品供应者，坚持走全产业链发展之路、走绿色发展之路、走产业扶贫之路。正邦集团将在楚雄建设集种植、养殖、加工、科研、贸易、物流为一体的绿色全产业链现代农业工程，打造现代农业技术示范区、农业循环经济示范区、产业扶贫示范区、安全优质农产品供应区，促进农业产业结构调整升级，实现农业增效、农民增收。楚雄州委副书记、州人民政府州长迟中华在仪式上致辞中说，正邦集团落户楚雄，填补了楚雄农业领域中国500强企业的空白，是推广农业产业化、养殖规模化的重大举措，将成为楚雄州现代农业重大支撑性项目，并将推动楚雄州养殖产业及农产品加工产业升级。正邦集团的全产业链发展模式有利于保障食品安全，提高肉类食品供应品质从而提升楚雄州在此领域的竞争力；正邦集团“公司＋政府＋银行＋合作社＋贫困户”的发展模式，有利于带动农民通过种植养殖脱贫致富，从而推动全州农村经济发展和精准扶贫工作。他要求全州上下尤其是项目县和州级相关部门，要主动服务，加强沟通协调，落实要素保障，为项目实施提供最优质的服务，在资金、土地、环境等各方面给予帮助、支持，力促项目早日开工、早投产、早见效，实现企业和地方互利双赢。正邦集团养殖事业部总裁助理罗小波、云贵片区总经理刘习功等，楚雄州人民政府秘书长苏贤发、州财政局、农业局等部门负责人，楚雄、南华等6个项目县政府主要领导、驻楚雄部分金融机构负责人等参加签约仪式。,,,,,0,0,0,2018-09-13 16:31,360安全浏览器,,,
