id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4543290987257664,Jiacaus36,3772399967,中酒头条,#中酒头条#【洋河累计为宿迁助学捐款1200万元】8月28日，宿迁2020年度“群”众扶贫助学资金发放仪式在宿迁广播电视台举行。洋河股份与“群”众扶贫助学活动一起走过了五年的时间，累计为宿迁助学捐款1200万元。对于捐资助学，苏酒集团董事局主席、洋河股份董事长、党委书记王耀认为，这是义不容辞的责任。,,,,中酒头条,0,0,2,2020-08-29 16:07,HUAWEI P30,['http://ww1.sinaimg.cn/large/e0da415fly1gi7qvhaa9rj21hc0xc41i.jpg'],,
4512473098746660,J5etTAHpa,3962396995,萍乡湘东发布,#脱贫攻坚#湘东区老关镇：爱心企业捐赠生活物资回馈社会心系困难群众6月2日，洋河股份萍乡分公司董事长陈星国一行来到江西省萍乡市湘东区老关镇，为建档立卡贫困户开展捐赠活动，助力老关镇脱贫攻坚工作。下午两点，在老关镇政府院内，举行了简单的捐赠仪式。洋河股份萍乡分公司董事长陈星国表示，关心贫困群众是企业回馈社会应尽的责任和义务，洋河股份萍乡分公司一直在帮扶困难群众，今后也将一如既往地履行好企业的社会责任，带动更多的企业家和爱心人士参与到扶贫工作中来，让更多的贫困家庭得到实惠，也为脱贫工作尽上一点微薄之力。此次捐赠活动，洋河股份萍乡分公司为老关镇的65户建档立卡贫困户捐赠了油和米价值8000元的生活物资，接受捐赠的贫困家庭纷纷对政府和爱心企业表示感谢，让他们对未来的生活更有信心，日子更有奔头。O网页链接,,,,脱贫攻坚,2,2,3,2020-06-05 15:08,360安全浏览器,"['http://ww4.sinaimg.cn/large/ec2d6143gy1gfhfhj89dzj20go0b445d.jpg', 'http://ww4.sinaimg.cn/large/ec2d6143gy1gfhfhj8j2nj20go0b4460.jpg', 'http://ww1.sinaimg.cn/large/ec2d6143gy1gfhfhj9cnuj20go0b4tga.jpg', 'http://ww1.sinaimg.cn/large/ec2d6143gy1gfhfhj49yuj20u00aejti.jpg', 'http://ww2.sinaimg.cn/large/ec2d6143gy1gfhfhj7z6oj20zk0i2jtk.jpg', 'http://ww4.sinaimg.cn/large/ec2d6143gy1gfhfhj6iqhj20u00gwtba.jpg']",,
4512133344472972,J55DUiLCI,2188365700,大江网萍乡频道万炳全,#萍乡新闻快报#【【暖新闻·江西2020】心系困难群众爱心企业捐赠8000元生活物资回馈社会】6月2日，洋河股份萍乡分公司来到湘东区老关镇为老关镇的建档立卡贫困户开展捐赠活动，助力老关镇脱贫攻坚工作。当日下午，在老关镇政府院内，举行了简单的捐赠仪式。洋河股份萍乡分公司董事长陈星国表示，关心贫困群众是企业回馈社会应尽的责任和义务，洋河股份萍乡分公司一直在帮扶困难群众，今后也将一如既往地履行好企业的社会责任，带动更多的企业家和爱心人士参与到扶贫工作中来，让更多的贫困家庭得到实惠，也为脱贫工作尽上一点微薄之力。O【暖新闻·江西2020】心系困难群众爱心企业捐赠8000元生活物资回馈社会@萍乡湘东发布@萍乡发布@萍乡同城@文明江西@看萍乡,,,"萍乡湘东发布,萍乡发布,萍乡同城,文明江西,看萍乡",萍乡新闻快报,0,0,0,2020-06-04 16:38,微博 weibo.com,"['http://ww3.sinaimg.cn/large/826fcf84gy1gfgayvvdokj20dw0b213f.jpg', 'http://ww1.sinaimg.cn/large/826fcf84gy1gfgayxforsj20dw09mjzp.jpg']",,
4478317271207395,IwRob5467,5330619059,丹徒发布,#工作动态#【爱心企业捐赠防疫物资积极践行社会责任】3月2日，洋河股份镇江分公司向谷阳商会捐赠了口罩、酒精等价值5万多元的防疫物资，助力谷阳镇企业复工复产。洋河股份镇江分公司城市经理张敏说，希望为谷阳商会及谷阳的企业尽一份绵薄之力，同时也希望企业家们能尽快摆脱疫情的影响，走出困境。据了解，多年来，洋河股份镇江分公司积极践行社会责任，在扶贫帮困、支教助学、抗震救灾等方面作出了突出贡献，多次被评为全国文明单位。截至目前，该公司向各项社会公益事业共捐赠爱心物资价值15万多元。,,,,工作动态,0,0,1,2020-03-03 09:05,微博 weibo.com,"['http://ww2.sinaimg.cn/large/005OKJwLgy1gcggqqcaewj30go0ci7lc.jpg', 'http://ww1.sinaimg.cn/large/005OKJwLgy1gcggquidmgj30go0af4el.jpg']",,
4470186126146675,ItrRqpN1V,1755301113,干群皇太后VVIP,《干群世界创业者》平常喝一点白酒好处多多，白酒具有一定的开胃消食功能，尤其是一些浓香型白酒，香味浓郁，让人回味无穷，在吃饭的时候喝一点白酒可以很好的提高我们的食欲，帮助我们更好的进餐。平常喝一点白酒，在寒冷的冬天，人们为了抵抗严寒，会想出很多方法，比如穿棉袄，吃火锅，躲在屋子里开暖气，当然了少不了几个朋友聚在一起，喝点白酒，既开怀畅饮，又驱散了冬日的寒气。酒类一直被认为利润非常高的行业，特别是白酒，堪称暴利。一瓶不到20元小酒卖出上百亿，今捐1.17亿款物，超过了茅台五粮液。2019年，茅台营收885亿元，净利润达到了405亿元，净利润率为45.76%，预计是中国利润率最高的企业。在这次新型肺炎疫情中，酒企也非常积极，截至2月5日，有超过980家企业和个人，捐款总额达到了11.77亿元。白酒类别中，五粮液三次捐款9200万，茅台捐赠8000万，郎酒捐款2400万，洋河2200万，泸州老窖、古井贡酒、汾酒三家各捐2000万。其他还有不少捐1000万，500万，300万等金额的，总体上来说，这次酒企表现得非常不错。不过，今天要说的这家企业，必须特别点名，它就是劲牌，一家来自湖北黄石的本土企业，累计捐了1.17亿款物，超过茅台、五粮液，成为所有酒企捐赠之首。1月25日，率先捐了5000万药品，26日，又捐了5000万现金；后续又两次捐赠了1706万现金，可以说是非常大方了，后续还可能继续捐赠。劲牌有限公司旗下最知名的品牌就是劲酒了，那句“劲酒虽好，不要贪杯哦”深入人心。劲酒其实是一个保健酒品牌，业绩却非常凶猛。2017年，劲牌成功跻身白酒行业“百亿俱乐部”，销售额逾104亿元。当年，茅台销售额为582亿，五粮液301亿，洋河股份199亿，泸州老窖104亿。因此，劲牌与泸州老窖并列成为中国第四大白酒企业。最关键是它的零售价不到20元，相比其他白酒几百元，上千元的价格，完全不是一个档次，但却创造了销售奇迹。公开资料显示，劲牌的前身是大冶县御品酒厂，创立于1953年，至今已经67年。劲牌能有今日的成就，他的掌门人吴少勋功不可没。出生于1956年的吴少勋是本地人，当了6年兵，转业后到大冶纱厂上班，从基层做起，一路做到厂长。后来，组织上见他能力突出，就将他调到了御品酒厂担任厂长，彼时，这家小厂产值不足500万元，负债却高达700万元。吴少勋可以说是临危受命，带着挽救落败国营酒厂的使命来的。外行人吴少勋一进入酒厂，就开始了广泛的调查和学习。中国白酒历史悠久，知名品牌众多，竞争激烈。而保健酒类别虽然也很多，但鱼龙混杂，真正有名气的品牌却很少。吴少勋看到了这个机遇，在1989年，推出了“中国劲酒”，正式进入保健酒行业。当兵出身的吴少勋有魄力，执行力强，当时很少有保健酒打广告，吴少勋率先就找到中央电视台投放广告，将劲酒的名气打了出去。不过，后来又遇到了瓶颈，因为大众对保健酒认为有需求才喝。所以，为了打破这种印象，弱化保健的作用。吴少勋又找到了著名相声演员姜昆代言，并打出了“劲酒虽好，不要贪杯哦”的广告，再次打开了市场，销售额持续上涨。到1997年，产值暴涨了2088%，上缴税收增长852%。1997年，小厂正式改名为劲牌公司，公司也进行了股份制改造，由国企变成以吴少勋为第一大股东的私营企业，另外，还有全员持股，极大的带动了员工的积极性。在吴少勋的带领下，劲牌发展迅猛，销售额连年上涨，2012年达到了56亿，到2017年突破104亿，5年时间，几乎翻了一倍。如今，劲牌已经击败椰岛鹿龟酒，成为了保健酒第一品牌。和娃哈哈一样，吴少勋坚持不上市，一方面是劲牌自己有充足的钱，拿融资来的钱不知道干嘛。另一方面是怕给股民带来损失，他对企业上市圈钱深恶痛绝。所以，尽管已经是百亿企业，但却是一家不上市的另类企业。对于慈善，吴少勋非常热衷，1998年，劲牌成为民营企业后，他就开始了慈善活动。吴少勋认为，扶贫先扶智，哪怕一丁点资助，也许能改变一个贫困生甚至一个家庭的命运。所以，劲牌的慈善主要是用于教育和环保行业为主。2007年设立了“湖北慈善劲牌公益基金”，在汶川地震时，就捐了1180万元。2014年之前，每年都花费几千万用来做慈善公益，在这之后，更是每年金额超过亿元。2016年吴少勋捐赠3.2亿元排第八位，2019年捐赠1.2亿排在32位。十余年间，劲牌酒业仅通过湖北慈善总会的捐赠总额已超过12亿元。可以说是年年登陆慈善榜，是中国酒企中的有名慈善家。在企业不断的发展壮大过程，吴少勋没有忘记自己的社会责任，一直把慈善当作一个事业来做，希望能够帮到更多人，为社会做出贡献。,,成都,,,0,0,0,2020-02-09 22:34,iPhone客户端,"['http://ww4.sinaimg.cn/large/689fc4f9gy1gbqitgrsocg20em092q77.jpg', 'http://ww3.sinaimg.cn/large/689fc4f9gy1gbqithq402j20m80ic0ul.jpg', 'http://ww3.sinaimg.cn/large/689fc4f9gy1gbqitibp0nj20b4087q3n.jpg', 'http://ww4.sinaimg.cn/large/689fc4f9gy1gbqitirqozj20b407emxh.jpg', 'http://ww4.sinaimg.cn/large/689fc4f9gy1gbqitjy0cjj20cn09udgb.jpg', 'http://ww3.sinaimg.cn/large/689fc4f9gy1gbqitk9tl8j20dw09x74u.jpg', 'http://ww1.sinaimg.cn/large/689fc4f9gy1gbqitkvnnrj20dw0aqaau.jpg', 'http://ww2.sinaimg.cn/large/689fc4f9gy1gbqitlvlldj20sg0gtgo2.jpg', 'http://ww2.sinaimg.cn/large/689fc4f9gy1gbqitmkx1aj20lc0qujvi.jpg']",,
4459568275085467,IoZDRlkXF,3188978050,强者恒强大V,#下一个十年·致未来的自己#2010年大学毕业，2012年入职成为一名公务员，2018年被组织选派到一个贫困村任第一书记和扶贫工作队队长，开始奋战在扶贫最前线。开启了经常“5+2”“白+黑”的奋斗模式，工作很辛苦，也很累，但是当我村最后一户的贫困户通过省第三方评估验收，顺利脱贫了，我很开心，很快乐。2020年是脱贫攻坚决战决胜之年，也是我3年挂职生涯的最后一年，我为能亲身参加脱贫攻坚这一伟大历史性工程，把青春和热血洒向农村而感到骄傲和自豪。2020年是下个十年的起点，我将只争朝夕，不负韶华，决胜脱贫攻坚，继续做好帮扶工作，决不辜负组织和群众的重托。未来十年，我坚信祖国明天一定能更美好，人民生活更加幸福，我的事业也能更顺利。图为:我和我曾经帮扶贫困户在领取脱贫光荣证时的合影@江苏新闻@洋河股份@梦之蓝@江苏卫视新闻眼,,,"江苏新闻,洋河股份,梦之蓝,江苏卫视新闻眼",下一个十年·致未来的自己,2,1,0,2020-01-11 15:23,,['http://ww2.sinaimg.cn/large/be13f182ly1gakzub6u9mj20c80lqmz5.jpg'],,
4444421455950014,IiDBvoXRY,3106250394,南通发布,【继成功创造“洋河神话”后投资酒业的又一大手笔丨江苏综艺集团控股贵州醇】O网页链接继成功入主洋河股份后，又一家知名酒企进入江苏综艺集团的投资版图。今天（30日）下午，“真年份贵州醇”开坛鉴真仪式在贵州省黔西南州兴义市举行，这是综艺集团控股贵州醇酒业有限公司后首次对外亮相。贵州醇是国内首家以“醇”命名的酒企，曾以“中华第一醇”驰骋江湖。作为黔派浓香典范，贵州醇曾开创了35度优质浓香型白酒的先河，也曾在白酒行业风行一时，成为贵州酒业的双子星座之一，业界流传“北有茅台酒，南有贵州醇”一说。近些年来，由于种种原因，贵州醇在激烈的市场竞争中遇到严峻挑战，企业连年亏损，其间虽有其他资本注入，但也未有多大起色。正在进入全面脱贫攻坚战的黔西南州领导忧心忡忡，期待贵州醇尽快扭亏为盈，增加税收和就业，助力当地脱贫。经过反复论证，他们向曾经在酒业创造过“洋河神话”的江苏综艺集团发来邀请。今年7月初，江苏综艺集团董事长昝圣达应邀考察贵州醇酒业有限公司。交流中，当地党委、政府推进全面小康的迫切心情和多措并举令他十分感动。他发现，贵州醇虽多年销路不畅，但酿酒生产仍然处于稳定发展和持续提升当中，形成大量的优质陈年美酒窖存，有的甚至达几十年之久，这在全国酒厂极为罕见，为今后贵州醇东山再起，扛起“真年份”酒大旗，提供了雄厚的老酒储备。昝圣达果断决定实施产业扶贫，帮助贵州醇尽快扭亏为盈，全力支持黔西南州的扶贫事业。今年7月17日，江苏综艺集团出手收购贵州醇酒业有限公司81％的股权。昝圣达遍邀各方高人为企业进行全面深入的“体检”，摸准其由盛转衰的“病根”，为贵州醇开出了切合实际的扭亏为盈、做大做强的“良方”。据了解，综艺集团控股贵州醇后，将坚守“踏踏实实做好酒、扎扎实实做品牌理念，依托自身最美生态酒庄，实施“酒旅结合”，品鉴“生态体验游”；扛起“真年份酒”大旗，做大做强贵州醇，实现在全国的地位由后发赶超变成先发引领，为当地提供更多的税收和就业，帮助黔西南州的布依族苗族群众尽快走向富裕。,,,,,1,1,2,2019-11-30 20:15,专业版微博,,,
4437430356808452,IfHJxszbK,2046576145,商丘日报,【中国第三届（河南商丘）资本市场扶贫高峰论坛举行颁奖活动】11月9日下午，中国第三届（河南商丘）资本市场扶贫高峰论坛举行颁奖活动，向在精准扶贫方面作出突出贡献和显著成果的企业和个人分别颁发了年度扶贫企业奖、年度最佳精准扶贫奖、年度最佳创新扶贫奖、年度公益创新企业奖和年度扶贫先锋人物奖。我市2家企业1名个人获奖。年度扶贫企业奖获奖企业有：阿里巴巴脱贫基金、比亚迪、碧桂园、博时基金、东方证券、国泰君安证券、汇添富基金、佳兆业、京东集团、世茂集团、申万宏源、万达集团、中国平安集团、中国建设银行。年度最佳精准扶贫奖获奖企业有：博源股份、传化智联、东莞证券股份有限公司、国华人寿保险、光大永明人寿保险、广发期货、恒大、建业集团、利得集团、利安人寿、万惠集团、携程集团、兴业银行、正荣集团。年度最佳创新扶贫奖获奖企业有：贝店、本来生活、第一创业证券、东证期货、国泰基金、华侨永亨银行（中国）、河南省豫东牧业开发有限公司、嘉吉、驴妈妈（景域集团）、民生证券、三六一度集团、新力公益基金会、商丘市农村信用社、银河期货、中原证券。年度公益创新企业奖获奖企业有：安利、奥园集团、达人店、二三四五、光大证券、华菁证券、健合（中国）有限公司、建信人寿保险、泸州老窖、融创中国、祥生地产集团、雅居乐、洋河股份、浙商证券、中国国际金融股份有限公司。年度扶贫先锋人物获奖嘉宾为：广发证券王月洪、湖南证监局派驻凤凰县樟坡村第一书记邱孝、中证焦桐基金党支部书记于建、创梦者电子商务培训有限公司总经理王茜。#商丘日报#记者祁博,,,,商丘日报,2,0,0,2019-11-11 13:15,微博 weibo.com,,,
4408516833830355,I3zyPg4rV,1834861571,洋河股份,#梦之蓝公益#8月23日，由宿迁市委、市政府牵头，多部门共同发起、全社会共同参与的“众善众举圆梦大学——2019年度‘群’众扶贫助学资金发放仪式暨梦之蓝公益助学行动”大型公益活动在宿迁举行。因为对本次宿迁助学活动的公益支持，洋河股份再次被宿迁市政府授予“特别贡献奖”！,,,,梦之蓝公益,0,2,7,2019-08-23 18:23,iPhone客户端,"['http://ww3.sinaimg.cn/large/6d5dc403ly1g69s957g84j20zk0olwny.jpg', 'http://ww1.sinaimg.cn/large/6d5dc403ly1g69s95fpmaj20u00ks0y6.jpg', 'http://ww3.sinaimg.cn/large/6d5dc403ly1g69s94wecij20u00ktwky.jpg', 'http://ww1.sinaimg.cn/large/6d5dc403ly1g69s95mnasj20zj0lwtfd.jpg']",,
4405225894738230,I2bWRjSD4,2618552362,宿迁民政,发布了头条文章：《江苏洋河股份有限公司扶贫助学慈善资金捐赠仪式在我局举行》O江苏洋河股份有限公司扶贫助学慈善资金捐赠仪式在我局举行,http://t.cn/AiHfJl5l,,,,0,0,2,2019-08-14 16:26,微博 weibo.com,,,
