id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4295646737472010,GE8cVvlOi,245058585,子剑战股海,【10.16市场消息早读】环保升级叠加需求转旺钼系产品价格稳步上涨【金钼股份（601958）、吉翔股份】深圳百亿驰援上市公司相关公司受关注【罗牛山（000735）、海南瑞泽】《海南省赛马运动发展规划》已基本完成相关公司受关注【兴森科技，罗牛山】中国将用3年时间使城市黑臭水体治理明显见效【博天环境，环能科技】○发改委发文引导社会资本参与乡村旅游发展建设【中青旅（600138）、三特索道（002159）、黄山旅游（600054）】○特斯拉在香港建拥有50个充电位充电站亚洲最大【众业达(002441)、万马股份】军民融合向深度发展、民参军空间有望进一步提升【光威复材，菲力华】>国内单体最大海上风电项目开工、风电配件前景佳【东方电缆，金风科技】【财经要闻】军民融合发展委员会第二次会议强调，加快推动军民融合深度发展。○据工信部15日消息，2018年三季度全国新承接船舶订单量同比增长33.2%。○国资委：今年化解煤炭钢铁过剩产能任务已全部完成。国新办将于16日下午4时举行新闻发布会，请商务部和海南省有关领导介绍海南自由贸易试验区总体方案。〇国资委15日表示国有投资公司试点扩围名单已初步形成，正着手研究国资划转社保基金的第二批试点。〇9月份挖掘机销量同比增长27.74%续创历史同月新高，主要受到了下游基建投资高增长带动。〇两颗北斗三号全球组网卫星15日发射成功，这标志着中国北斗朝着全球组网的目标又近一步。○美国激光干涉引力波天文台（LIGO）项目团队成员陈雁北：目前正处停机调试中的LIGO在明年开机后，将有望首次探测到中子星与黑洞碰撞产生的引力波，这将是人类天文学的又一大新发现。○地方国资“救市”路线图浮现：十余省市已出手本地上市公司。国办：加强长江水生生物保护工作，实施生态修复工程。商务部：阿根廷发布对华弹簧减震器反倾销初裁。中保基金：推进基金筹集费率改革，探索紧急融资机制。教育部：国家财政性教育经费占GDP比例连续6年超4%。上海市政府常务会：稳妥做好社保费征管职责划转，现有征收政策不变，不得集中清缴。证监会：希望上市公司重视扶贫工作。【公告淘金】新湖中宝（600208）拟3亿-10亿元回购股份，回购价格不超过4元/股；聚光科技（300203）拟回购1亿元-2亿元股份，回购价格不超过35元/股。新钢股份（600782）预计前三季度净利润与上年同期相比，增加23.25亿元-27.25亿元，同比增长169.09%-198.18%。高能环境（603588）联合中标3.97亿元环境修复项目，公司2017年营业总收入为23.05亿元。科力远（600478）拟购买购买吉利集团、华普汽车合计持有的CHS公司36.97%的股权。海格通信（002465）控股股东拟增持1.6亿-3.12亿元。华力创通（300045）与千寻位置签署战略合作框架协议。上证指数sh000001,,,,,0,0,0,2018-10-16 07:17,微博股票,,,
4276597583883396,Gw8Eugifq,1854929187,国泰君安君弘,#收市点评##818理财节·财富一夏#银行股集体上涨暗示了什么？——国泰君安君弘出品周五两市震荡分化，上午沪深指数呈现弱势震荡走势，午后在银行、保险等权重股的带动下，沪指出现明显拉升，上证50一度涨幅超过1%。而临近尾盘，上证综指冲高回落。截至收盘，上证综指上涨0.18%，收于2729.43，深成指下跌0.2%，收于8484.74，中小板下跌0.42%，收于5851.91，创业板下跌0.37%，收于1450.09。盘面上，银行板块表现抢眼，平安银行、成都银行、常熟银行、华夏银行涨幅居前。海南板块午后出现异动，大东海A涨停，海南瑞泽、海航创新、海航基础等涨幅靠前。另外，保险、券商板块下午也有所表现，西水股份、中国太保、华鑫股份、西部证券等涨幅较好。而船舶制造、通讯、煤炭等板块出现明显回调。近期有部分白马蓝筹在中报业绩披露之后有相对较好的表现，对此我们认为，弱势格局是检验个股质地的试金石，具有较好业绩支撑的个股反弹相对较好，这也是我们之前在小君解盘中不断提示过的。因此，可以沿着业绩表现较优的角度继续挖掘短期涨幅相对较小的个股。总体而言，沪指站上10日均线，成交量持续维持较低水平，预计未来大概率延续震荡磨底走势。盘面上热点持续性较差，市场人气低迷，市场对于2000亿美金商品征税的听证会结果保持关注态度。近期仍需要关注中美贸易摩擦的变化，以及人民币汇率能否企稳。因此，短期在不确定性暂时还未消退的情况下保持一份谨慎，而拉长时间来看，目前A股市场估值并不高，下行风险可控，无需过度悲观。可以用灵活谨慎的操作思路关注基建和精准扶贫，以及进口替代等相关板块。更多价值资讯请点击O网页链接,,,,"收市点评,818理财节·财富一夏",0,1,0,2018-08-24 17:43,微博 weibo.com,,,
4270471480964010,GtzhG42My,6502046688,海南瑞泽sz002596,海南瑞泽sz002596公告：海南瑞泽：关于三亚新大兴园林生态有限公司中标贵州省六枝特区关寨镇农村人居环境整治扶贫PPP项目的公告，点击查看O网页链接,,,,,1,0,0,2018-08-07 20:00,微博股票,,,
4248305221157721,GkgDE4RaV,6416703116,大策略论股,【精选事件】5G、通讯板块能否复制“家电下乡”盛景？/海南自贸概念需要拔高一、【网络强国三年行动确定三大任务，拉动万亿级别投资】据工信部等权威部门获悉，网络强国建设三年行动年内将启动，以网络强国战略为基础，聚焦数字经济发展“硬件”升级，主要围绕城市和农村宽带提速、5G网络部署、下一代互联网部署等领域，加大网络基础设施建设。业内预测，随着上述三大网络建设任务逐步落实，我国网络基础设施水平将大幅升级，除了能够直接拉动这三大领域万亿级别投资，还将确保数字中国战略的顺利实施，促使我国数字经济发展进入快车道。点评：“网络强国建设三年行动”计划年内启动，布局三大任务，主题主要是农村和城市宽带提速、5G网络。5G是否能够在农村布局还未可知，但互联网布局全国，特别是县级城市及农村却是非常可行的路径，恰如08年“家电下乡”带动家电行业业绩暴涨。此次网络强国建设的力度肯定不如08年危机时刻“家电下乡”的力度，但可以预见的是，要是各方面措施得以实施，且大概率会实施【农村扶贫和农村问题现在是政府的头等战略问题】，它肯定会提升通讯板块和半导体板块相关上司公司业绩水平，所以紧盯这两大板块业绩优质股是最近几年非常好的投资策略。二、【海口发布总部经济发展新政，瞄准三大方向】海口市政府6日晚间召开新闻发布会发布《海口市支持总部经济发展若干政策》，海口发展总部经济瞄准三大方向。海口市副市长孙世文说，海口市将从三个方向发展总部经济，一是引进跨国企业、国内大型企业集团等总部企业在海口落户、集聚和发展；二是鼓励海口市现有总部企业做大做强做优；三是培育海口市现有企业发展升级为总部企业。同时，将引进境内外知名的会计、法律、管理咨询、培训等专业服务机构，为总部企业提供支援服务。点评：自海南有了自贸区概念以来，海南板块、赛马概念等屡屡被市场热炒，很多人都认为海南自贸区将和其他地方自贸区一样，成为一个天大的“笑话”。但从最近政策变动和政府对海南支持的力度看，海南似乎要成为第二个雄安，这可能是很多人没有预想到的，也许该是拔高海南概念的时候了。资本市场上，在A股走势相对弱的情况下，海南板块今日领涨地区板块，涨幅为1.20%。其中，罗牛山（000735）、大东海A（000613）、海南瑞泽（002596）、钧达股份（002865）等股票走势较强。,,,,,0,0,0,2018-06-07 15:59,微博 weibo.com,,,
4230906182699232,GcY0Gbkc0,6495918710,鼓声委婉,今日操作点评差ST中安ST巴士沧州大化顾地科技江苏租赁恺英网络麦格米特狮头股份天广中茂天华超净清仓002427ST尤夫被动持仓300634彩讯股份加仓002596海南瑞泽做题操作差002930宏川智慧加仓操作差600929湖南盐业加仓操作差002865钧达股份加仓操作差300715凯伦股份加仓做题300216千山药机减仓做题300624万兴科技加仓今日盈亏大亏今日持仓比例百分之百今日操盘感觉个股崩塌式下跌大蓝筹有资金护盘这种市要么抱证金要么大蓝筹要么妖股操作价值不大下周一热点资金重回大蓝筹妖股逢低低吸美股昨日纳指调整到位今日预估向上突破7350点道指今夜挑战24900120周均线短期看中美贸易战中方受损较大股市也比较受伤美方受损较小美股反而收益重新获得向上动能我们A股承受的东西太多要支撑国企改革要扶贫要支持独角兽贸易战了又要支持国产核心技术谁来支持我们的大A股呀A股太需要修养生息一下了难道ST尤夫的悲剧非得在大盘上重现才行吗2015年的股灾又闻到了一丝丝味道感觉看不到一点希望,,,,,0,0,0,2018-04-20 15:41,HUAWEI Mate 9,,,
4064836474658690,ErcGXjxWa,5326611226,老兵短线论市,个股利好：华西能源中标7.67亿绿化工程PPP项目；易华录预中标3.59亿元智能交通项目；海南瑞泽中标3.37亿扶贫基础设施建设项目；宏润建设中标1.97亿PPP项目；奥拓电子中标1.82亿灯光基础建设PPP项目；科大智能与上汽大众签9126万元合同；浦东建设联合预中标浙江PPP项目；深圳能源联合中标海外18万千瓦水电站项目；掌趣科技获《BLEACH》手游改编权；双成药业胸腺法新取得意大利上市许可证；安迪苏创新产品罗迪美研发成功；福能股份卖出太阳电缆股份获利6724万；凯迪生态、美年健康、金新农、科迪乳业、赢时胜、博腾股份股东增持；南方汇通、浙大网新、三元达、恒顺众昇、奥瑞金、美尚生态股东拟增持；隆华节能控股股东终止减持计划；,,,,,0,0,0,2017-01-17 09:19,微博 weibo.com,,,
4064630147662347,Er7kaw9kf,1752549400,全景网,【海南瑞泽：中标3.37亿扶贫基础设施建设项目】海南瑞泽(002596)1月16日晚间公告，公司中标“思南县郝家湾古寨旅游扶贫基础设施建设项目”，涉及金额3.37亿元，约占公司2015年度营业收入的18.97%。项目合同实施有利于扩大公司园林绿化业务规模，对公司经营有积极影响。,,,,,0,0,0,2017-01-16 19:40,搜狗高速浏览器,,,
4064598589747622,Er6vgETNI,2239792910,巨潮资讯网,"【海南瑞泽：子公司收到中标通知书】2017年1月16日，海南瑞泽全资子公司三亚新大兴园林生态有限公司收到该项目招标代理机构贵州信和工程招标造价咨询有限公司发来的《中标通知书》，确定大兴园林中标“思南县郝家湾古寨旅游扶贫基础设施建设项目”，中标金额：33,672.42万元。",,,,,0,1,0,2017-01-16 17:34,UC浏览器电脑版,,,
4060484006923369,EpnsQt35f,3984459077,A股TYY,1月5日长江电力600900：三峡集团转让4％股权至三峡建设管理公司文科园林002775：中标3.2亿元项目　　海南瑞泽002596：中标3亿郝家湾古寨旅游扶贫基础设施建设项目　　津膜科技300334：签订1.48亿元重大经营合同　　中天科技600522：中标中国电信2016年射频同轴电缆采购项目　　科达洁能600499：4.7亿元间接控制蓝科锂业27.69％股权　　乾景园林603778：中标7637万元重大工程　　杭钢股份600126：中标松阳县污水处理厂及污水管网PPP项目　　通源石油300164：并购基金完成对Cutters收购　　恩华药业002262：与NuvOx公司签署《药品许可及合作协议》,,,,,0,0,0,2017-01-05 09:04,360安全浏览器,,,
4060457645711465,EpmMknXOp,1659528654,股市微课堂,#股票涨停#【海南瑞泽中标3亿郝家湾古寨旅游扶贫基础设施建设项目】2017年1月4日，思南县人民政府门户网发布了“思南县郝家湾古寨旅游扶贫基础设施建设项目施工招标中标公示”，海南瑞泽全资子公司三亚新大兴园林生态有限公司成为本项目的第一中标候选人。总投资：46，199.73万元，其中：工程费用：33，672.42万元（不含古寨保护工程）。,,,,股票涨停,0,0,6,2017-01-05 07:20,搜狗高速浏览器,,,
4060388360141789,EpkYA0ASV,2281600681,股票数据分析,#股票#【海南瑞泽：子公司预中标3.37亿元项目】海南瑞泽(002596)1月4日晚间公告，全资子公司大兴园林成为思南县郝家湾古寨旅游扶贫基础设施建设项目的第一中标候选人，中标金额3.37亿元，约占公司2015年营收的18.97%。O网页链接,,,,股票,0,0,0,2017-01-05 02:44,微博 weibo.com,,,
4060332630552003,EpjwH2jBh,3940406535,蓝溪短线客,投资文科园林(行情002775买入)中标3.2亿元项目海南瑞泽(行情002596买入)中标3亿郝家湾古寨旅游扶贫基础设施建设项目津膜科技(行情300334买入)签订1.48亿元重大经营合同中天科技(行情600522买入)中标中国电信2016年射频同轴电缆采购项目科达洁能(行情600499买入)4.7亿元间接控制蓝科锂业27.69%股权乾景园林(行情603778买入)中标7637万元重大工程杭钢股份(行情600126买入)：中标松阳县污水处理厂及污水管网PPP项目通源石油(行情300164买入)并购基金完成对Cutters收购恩华药业(行情002262买入)与NuvOx公司签署《药品许可及合作协议》,,,,,0,0,0,2017-01-04 23:03,微博 weibo.com,,,
