id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4539708962772651,JgF0IbDib,5813967630,清新T-V,【本周六美林广场举行大型招聘会，找工作的看过来！】8月22日（即本周六），海大集团（清新）桂花鱼产业园“精准就业扶贫”专场招聘会将在美林广场举行。举办时间为上午10:00至下午16:30，届时，现场会有生产工、叉车工、机修工、工程师、养殖场长等职位岗位招聘。记得来哦~O找工作的看过来！本周六美林广场举行大型招聘会，年薪最高30万,,,,,0,0,0,2020-08-19 18:53,微博 weibo.com,"['http://ww4.sinaimg.cn/large/006lsOzsgy1ghwbhbl34ej30m80go0ub.jpg', 'http://ww2.sinaimg.cn/large/006lsOzsgy1ghwbhbe13yj30m80e40tv.jpg', 'http://ww4.sinaimg.cn/large/006lsOzsgy1ghwbhbcic7j30m80g4wfx.jpg', 'http://ww4.sinaimg.cn/large/006lsOzsgy1ghwbhbeujjj30m80esq4y.jpg']",,
4537408744591509,JfHaGjgsB,2208273904,番禺区融媒体中心官方微博,【科技带动百万农民走上致富路】历经多年深耕，凭借稳定的业绩增长和高质量的发展模式，海大集团在持续为社会创造财富的同时，发挥作为农牧行业龙头企业的优势，积极投身于“东西部扶贫协作”的国家战略中，在广西、四川、云南等省份的贫困地区，推行“五元赋能”产业扶贫模式，补齐产业短板，助力农民增收，争当东西部扶贫协作战略的支持者、参与者、推动者。O番禺日报数字报,,,,,0,0,0,2020-08-13 10:33,微博 weibo.com,,,
4527259929286300,Jbr9CCXN2,3736437613,海大集团,7月13日，碧空如洗，艳阳高照。海大集团位于广西省贵港二区的领导班子来到贵港市平南县大鹏镇大山村，在平南县农业农村局局长廖显攀、大鹏镇党委书记黄国恩的见证下，为当地贫困户送上一批爱心物资，以期为脱贫攻坚战的全面胜利添砖加瓦，并发挥龙头企业标杆示范作用。#决战决胜脱贫攻坚##东西部扶贫协作#,,,,"决战决胜脱贫攻坚,东西部扶贫协作",0,0,0,2020-07-16 10:25,微博 weibo.com,"['http://ww3.sinaimg.cn/large/deb5836dgy1ggslpx5lnmj20u00je7b9.jpg', 'http://ww2.sinaimg.cn/large/deb5836dgy1ggslpz5i49j20u00jen39.jpg', 'http://ww4.sinaimg.cn/large/deb5836dgy1ggslpze36pj20u00je78c.jpg']",,
4525244494321005,JaAIVi85D,5813967630,清新T-V,【招聘啦！上市集团多个岗位最高年薪30万】海大集团（清新）桂花鱼产业园“扶贫”专场招聘来啦！养殖场长、养殖工程师、财务会计、生产工、叉车工……若干个岗位，“职”等你来！还在找工作的朋友赶紧看过来！O招聘！上市集团多个岗位最高年薪30万,,,,,0,0,0,2020-07-10 20:57,微博 weibo.com,"['http://ww2.sinaimg.cn/large/006lsOzsgy1ggm68yppe5j30p00anjui.jpg', 'http://ww2.sinaimg.cn/large/006lsOzsgy1ggm68s6x5tj30u00gwac4.jpg', 'http://ww3.sinaimg.cn/large/006lsOzsgy1ggm68s8dlbj30h90ckk6c.jpg']",,
4525091298325398,JawJPyVOC,3736437613,海大集团,“走向我们的小康生活”，海大集团东西部扶贫协作报道之旅要启程啦！让我们拭目以待。,,,,,0,0,0,2020-07-10 10:48,微博 weibo.com,['http://ww4.sinaimg.cn/large/deb5836dgy1ggloo1veu3j20u01hcdz8.jpg'],,
4524437830116920,JafJR0upO,3736437613,海大集团,发布了头条文章：《南方农村报：海大集团推行“五元赋能”模式，打造精准扶贫新力量》O南方农村报：海大集团推行“五元赋能”模式，打造精准扶贫新力量,http://t.cn/A6yVMfaO,,,,0,0,0,2020-07-08 15:31,微博 weibo.com,,,
4522195609851455,J9jpmFkOr,3736437613,海大集团,#广东扶贫济困日##决战决胜脱贫攻坚##乡村振兴##公益#6月30日上午，2020年广东扶贫济困日活动在广州举行。海大集团凭借在公益慈善、脱贫攻坚等领域的持续投入与突出贡献，荣膺2019年度“广东扶贫济困红棉杯”金杯奖。,,,,"广东扶贫济困日,决战决胜脱贫攻坚,乡村振兴,公益",0,0,0,2020-07-02 11:01,微博 weibo.com,"['http://ww1.sinaimg.cn/large/deb5836dgy1ggcg3mxhrij20u00k0n38.jpg', 'http://ww4.sinaimg.cn/large/deb5836dgy1ggcg3o78sqj20u00k0grq.jpg', 'http://ww2.sinaimg.cn/large/deb5836dgy1ggcg3pej1uj20u00irn2f.jpg']",,
4522194194986423,J9jn5kVcb,3736437613,海大集团,发布了头条文章：《不忘初心勇担当海大集团荣获“广东扶贫济困红棉杯”金杯奖》O不忘初心勇担当海大集团荣获“广东扶贫济困红棉杯”金杯奖,http://t.cn/A6yzqBuL,,,,0,0,0,2020-07-02 10:56,微博 weibo.com,,,
4522187594217376,J9jcrhH8c,3736437613,海大集团,#630扶贫济困日##决战决胜脱贫攻坚#6月29日下午，广州市2020年广东扶贫济困日活动启动仪式举行。海大集团现场捐款1000万元，用于支持贵州省毕节市、广东省梅州市等地的脱贫攻坚。,,,,"630扶贫济困日,决战决胜脱贫攻坚",0,0,0,2020-07-02 10:30,微博 weibo.com,"['http://ww4.sinaimg.cn/large/deb5836dgy1ggcf659efmj20u00jogr5.jpg', 'http://ww2.sinaimg.cn/large/deb5836dgy1ggcf63pq3hj20u00k0n0n.jpg']",,
4515484072075717,J6uOj8HZj,2788497863,中国双拥杂志,"【236家企业主播带货1万余个就业岗位贵阳这场网络招聘很给力！】“各位战友，大家好，这次我们为大家带来的岗位有区域负责人、销售经理，大家有问题尽管问！”5月29日上午，在贵州省贵阳国际人才城，退役军人、贵州摩尔诗科技有限公司董事长方昌华第一次当主播，成为退役军人直播招聘会上公司直播主讲人。直播助理陈亿钱一边忙着回复直播间里的提问，一边把公司的招聘岗位信息和政策发到直播间。“这是第一次参加直播招聘，累计观看人数2169人。”陈亿钱介绍说，公司本次计划招聘106人，提供的岗位遍及全省各地。直播＋招聘，这场由贵州省退役军人事务厅和贵阳市退役军人事务局联合主办的2020年贵州（贵阳）退役军人直播招聘会，是贵州省退役军人事务系统首次使用网络直播形式开展招聘活动。也是常态化疫情防控期间，贵州省规模最大、在线人数最多、覆盖全省的退役军人专场直播招聘会。招聘会一改寻常的招聘模式，没有了“面对面”聚众，而是通过两个手机将企业和全省各地的退役军人们“连接”在一起，充分采用了“企业线上直播”+“视频双选会”的“云”网络直播招聘模式，给大家带来了一次找工作“新风尚”的全新体验。参加招聘会的退役军人不用到招聘现场,只需通过手机登录直播平台就能参加招聘会,直观了解招聘企业的情况、岗位要求及薪资待遇，并可与招聘单位相关人员进行交流互动，对心仪的企业可以直接投递个人简历，让我们的退役军人更加直观、多维度的了解行业和找到工作。真正做到让退役军人少跑腿，数据多跑路。实时直播结束后，退役军人可通过网络进行简历投递、线上面试预约等，让所有参加招聘会的退役军人足不出户就可完成应聘。  记者在现场看到，贵州宏立城集团、万科物业、广州海大集团等30余家企业现场用手机开启了网络主播，岗位信息、薪资待遇宣讲，互动实时问答、精准信息推送，让招聘会变身一场“云”招聘。贵州省退役军人事务厅就业创业处处长潘科介绍，本次招聘活动旨在深入贯彻落实党中央国务院“六稳”、“六保”决策部署和省委省政府疫情防控指示精神，积极响应省委办公厅、省人民政府办公厅印发《关于进一步加强劳务就业扶贫工作的实施意见》，在充分发挥退役军人人才资源优势下，为各类企业及机构搭建起人才供需桥梁，促进退役军人稳定就业。本次招聘会共邀请到236家企业参会，提供了12117个就业机会，除了30余家在现场直播招聘的企业外，还有200余家招聘企业在线面试招聘。招聘会期间，累计观看量152596人次，共收到投递简历数42740份,互动人数9714人，求职意向人数3826人，通过多维云聘进行视频面试的退役军人共计570余人。据悉，招聘会结束后，贵阳警备区将联合贵阳市退役军人事务局、人力资源和社会保障局等相关部门，采取线上与线下相结合的方式，大力开展“订单式”、“定向式”、“定岗式”退役军人就业培训，构建大数据+互联网+退役军人信息化服务保障体系，拓宽退役军人就业渠道，提升就业创业能力，多层次，多渠道为退役军人实提供便捷、高效、精准服务，实现服务事项“一网通办”。#关注退役军人##致敬退役军人##退役军人保障法##最美退役军人#微博退役军人圈",,,,"关注退役军人,致敬退役军人,退役军人保障法,最美退役军人",0,0,2,2020-06-13 22:32,双拥超话,"['http://ww3.sinaimg.cn/large/a63519c7ly1gfr1a1qoe2j20kn0dot9t.jpg', 'http://ww1.sinaimg.cn/large/a63519c7ly1gfr1a1odnhj20js0c8aay.jpg', 'http://ww2.sinaimg.cn/large/a63519c7ly1gfr1a1oumzj20kb0dq3zg.jpg', 'http://ww4.sinaimg.cn/large/a63519c7ly1gfr1a1qgdlj20km0dmt9n.jpg']",,
4512389025179722,J5ciilJtU,3736437613,海大集团,2020年，决战决胜的冲锋号已经吹响。在“广东扶贫济困日”活动十周年之际，脱贫攻坚蹄疾步稳、乡村振兴接续奋斗！从此刻起，海大集团“扶贫济困”系列报道即将拉开帷幕。一个个关于海大携手养户共奔小康，开创美好新生活的故事，将在这万物繁荣的季节里温情上演。流水潺潺，炊烟袅袅，一幅幅秀美的乡村风景画卷正徐徐展开。一片片令人向往的热土之上，村民们挥洒热汗、科学养殖、辛勤耕作……是脱贫攻坚将农村沉睡的土地唤醒，让他们成为了美丽乡村的追梦人致敬为脱贫攻坚、共奔小康做出努力的你、我、他！#脱贫攻坚##乡村振兴##广东扶贫济困日#,,,,"脱贫攻坚,乡村振兴,广东扶贫济困日",0,0,0,2020-06-05 09:34,微博 weibo.com,"['http://ww3.sinaimg.cn/large/deb5836dgy1gfh5smfn60j20u01hcb29.jpg', 'http://ww4.sinaimg.cn/large/deb5836dgy1gfh5smmjeuj20u01hckjl.jpg', 'http://ww4.sinaimg.cn/large/deb5836dgy1gfh5smvoufj20u01hc7wh.jpg', 'http://ww3.sinaimg.cn/large/deb5836dgy1gfh5sm5ue5j20u01hcb29.jpg', 'http://ww1.sinaimg.cn/large/deb5836dgy1gfh5sjmvt8j20u01hce81.jpg', 'http://ww2.sinaimg.cn/large/deb5836dgy1gfh5smlad9j20u01hcqv5.jpg']",,
