id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4533764673506625,Jean9eIet,1348677952,洋老大说酒,【洋老大·酒业晨报】第387期2020年8月3日1、 日前，工业和信息化部节能与综合利用司发布2020年重点用水企业水效领跑者拟入选企业名单，包含10大行业30家企业。其中入选啤酒企业有：百威（宿迁）啤酒有限公司、百威雪津啤酒有限公司、华润雪花啤酒（中国）上海分公司、广州南沙珠江啤酒有限公司、青岛啤酒宝鸡有限公司。2、中国食品药品企业质量安全促进会白酒专家委员会成立。3、牛栏山酒厂捐赠100万元扶贫。4、川酒集团上半年营收67亿。5、江苏南通8000箱假RIO被查。,,宿迁,,,0,0,1,2020-08-03 09:13,iPhone客户端,,,
4496924470126033,IEFrN0wMN,5282792576,明月我家,珠江啤酒：一季度营收减少26.31%至5.53亿元，净利下滑超三成4月23日下午，珠江啤酒发布2020年第一季度报告称，今年一季度，公司实现营收5.53亿元，同比下滑26.31%；归属于上市公司股东的净利润为2040.96万元，较去年同期减少31.06%；归属于上市公司股东的扣除非经常性损益的净利润为-795.51万元，较上年同期亏损略有收窄；经营活动产生的现金流量净额骤降98.89%至-1.02亿元。另据其公告披露，报告期内，因实施新收入准则将预收账款余额重分类至合同负债，珠江啤酒预收款项比上年末减少4905.94万元；因与经营活动无关的政府补贴收入减少，营业外收入比上年同期下降38.69%；因扶贫捐款，营业外支出较上年同期增加160.24万元；受疫情影响营业收入下降，公司净利润比上年同期下降33.85%。,,,,,0,0,0,2020-04-23 17:23,微博 weibo.com,,,
4461751799886743,IpUrFFtZB,3893000764,广西-东盟经济技术开发区,“百企扶千户”帮扶行动助力脱贫攻坚结硕果——广西—东盟经开区发动更多企业成为脱贫工作中坚力量　　2019年是南宁市决战决胜脱贫攻坚的关键之年。一年来，广西—东盟经开区始终把提高脱贫质量放在首位，聚焦“两不愁三保障”，结合实际，精准施策，通过“百企扶千户”帮扶行动，发动更多园区企业成为脱贫攻坚的中坚力量，全力营造党员干部与企业职工“凝心聚力拔穷根，攻城拔寨奔小康”的浓厚氛围，奋力谱写打赢打好脱贫攻坚战的壮美华章。截至2019年底，开发区有159家企业（机构）参与“百企扶千户”帮扶行动，帮扶资金累计达46万余元。企业在物质帮扶的同时，还先后150多次把“科技、文化、技能”等带到村、送入户，帮扶户数达3000多户、受益群众达7000余人。　　凝聚共识　谋划脱贫“新路子”　　“近年来，开发区有很多企业积极主动联系我们，到村了解我们村的困难和需求。有的带来资金，有的带来种养殖技术，有的带来生活学习用品或农用物资，为我们村解决了很多难题。”广西—东盟经开区定点帮扶贫困村、武鸣区仙湖镇四育村党支部书记梁祥忠感叹道。　　2019年，随着“百企扶千户”帮扶行动的全面开展，广西—东盟经开区通过引导企业立足贫困地区的资源优势，结合贫困户实际，发挥企业主体作用，用好用足扶贫政策，促使企业资金、技术、管理、人才向贫困地区流动，实现帮扶措施与脱贫需求精准对接，解决贫困村、贫困户需求，实现村企共建双赢。　　坚持因地制宜，创新体制机制。开发区党工委领导班子成员发挥“关键少数”模范带动作用，聚焦脱贫攻坚难点，着力解决扶持谁、谁来扶、怎么扶的问题。通过到村入户调研、组织第一书记开展调查摸底等方式，摸清贫困村、贫困户的需求和困难，做好汇总研判，形成“百企扶千户”工作思路，确定了帮扶重点、帮扶方式、帮扶措施、帮扶企业的类型和范围。　　坚持政府主导，增强社会合力。自2019年3月底“百企扶千户”帮扶行动开展至今，开发区党工委班子成员先后35次带头深入扶贫一线，开发区28个部门的党员干部积极参与，主动认领任务，全力整合企业资源，凝聚帮扶合力，各部门共有400多人（次）参与帮扶活动。　　精准帮扶　脱贫迈出“好步子”　　“以后你就把我当家里人一样，生活上有困难就打电话给我，我们会想办法帮你解决。”几句暖心的话语，让家住武鸣区永共村的贫困学生邓秋霞内心感到暖意融融，再一次坚定了继续读书的信心。　　邓秋霞与身体患有残疾的叔叔一起生活，日子十分艰难。2019年，开发区企业南宁新彩制衣公司了解到她的困难后，主动为当时还在读初中的邓秋霞送去了爱心助学款，并承诺在其考上大学后另行制定帮扶方案。该公司从2019年6月开始，每月定期将800元爱心助学款打入指定账户。邓秋霞参加2019年中考，以总分A的优异成绩被武鸣高中录取。另外，该公司还为永共村家庭困难的邓晓翠和邓忠诚两姐弟制定了帮扶计划，拨出专款以解其燃眉之急。　　自“百企扶千户”帮扶行动开展以来，广西—东盟经开区积极引导非公企业履行社会责任，在脱贫攻坚中发挥积极作用，为“助力”精准扶贫提供了强大动力。　　坚持问题导向，夯实脱贫基础。针对“读书难、就业难、产业发展难”等致贫根源，开发区通过制定“百企扶千户”帮扶行动方案，以村企结对、“一帮一”、“一帮多”、“多帮一”的形式开展，重点进行就业帮扶、技能培训帮扶、教育帮扶、基础设施帮扶、产业帮扶，让更多的困难群众实现脱贫。仅在教育帮扶方面，开发区引导新彩制衣公司、绿地集团等7家企业，为13户贫困家庭提供教育帮扶资金累计11.92万元。　　为解决贫困家庭就业难问题，2019年，广西—东盟经开区利用自身企业多的优势，强化就业帮扶，经过调查摸底和动员，引导李宁公司、南宁双汇有限公司、广西金美印刷等7家企业为30户贫困家庭解决就业问题。企业采取“同等条件优先安排贫困户就业”的方式，优先安排以贫困户自身技能为主的工作岗位，在企业发展的同时，进一步提升贫困户的就业技能，增加了贫困户家庭收入，达到了双赢的目的。“现在在公司上班每月有2800元工资，还有五险一金，我对现在的工作非常满意。找到工作了，生活就有保障了。”在广西珠江啤酒有限公司就业的贫困户梁培群深有感触地说。　　如今，在广西—东盟经开区定点帮扶的5个村中，村村都有企业参与帮扶的身影。下一步，开发区还将持续开展相关活动，同时掌握5个贫困村发展需求，精准施策，让更多贫困户实实在在受益。　　开对“药方”　拔掉致贫“穷根子”　　“百企扶千户”帮扶行动要重点解决“如何扶”这一重要问题。根据“百企扶千户”帮扶行动方案，开发区加强对园区企业的对接和服务，了解各企业的资源和优势，找准突破口，动员引导民营企业家踊跃投身到精准扶贫的行动大潮中来，为贫困村脱贫致富开出一剂良方。　　在武鸣区仙湖镇四育村的大棚基地里，黄色、红色的彩椒挂满枝头。“这是我们的大棚彩椒种植基地，自从和企业合作以后，村民完全不用担心彩椒的销路。”四育村第一书记覃朗自信满满。　　在“百企扶千户”帮扶行动中，广西新佳恒农业科技公司与四育村结成对子，采取“产业合作+技术推广”的方式，承包四育村15亩大棚彩椒，合作第一年，就为村里带来经济收入6.5万余元，带动了21人实现就业。期间，广西绿霖食用菌科技有限公司向四育村捐赠了20吨蘑菇渣，为大棚彩椒种植节约了成本。　　在工作推进过程中，开发区根据贫困村和贫困户的实际情况，组织引导企业结合自身特点精准施策，想尽办法帮助村民脱贫致富。　　“2019年，我们村依靠大棚果蔬产业示范园集体经济收入增长了5倍，这在以前是想也不敢想的。”回顾村里的发展，武鸣区府城镇永共村第一书记李金云高兴地说。仅2019年，永共村大棚果蔬产业示范园就为村级集体经济增收了10万元，还带动了农户和贫困户就业务工567人次。这一喜人的成果，与企业的帮扶密不可分。　　在该示范园建设中，了解到园内基础建设存在困难，广西—东盟经开区积极引导广西南旭塑料有限公司利用自身优势对该示范园进行帮扶，解决了其供水和排水问题，在此基础上，示范园又顺利发展种植凤梨释迦30余亩，今年即可试果。　　广西南旭塑料有限公司向武鸣区仙湖镇四育村、府城镇永共村、锣圩镇清凤村、宁武镇长安村赠送一批价值约10万元的排水管，用于完善基础设施建设，为贫困村送去了“及时雨”。　　企业主动作为，积极履行社会责任，使扶贫工作不仅注重“输血”，更注重提升“造血”能力，成为助力脱贫攻坚的中坚力量。本版撰文：本报记者胡光磊　通讯员常丽莹徐曼本版图片：由广西—东盟经开区提供,,,,,0,0,0,2020-01-17 15:59,专业版微博,"['http://ww1.sinaimg.cn/large/e80a7a3cgy1gazm7jdpvfj20u016ne82.jpg', 'http://ww3.sinaimg.cn/large/e80a7a3cgy1gazm7t011hj20m80etq5k.jpg', 'http://ww3.sinaimg.cn/large/e80a7a3cgy1gazm7sx9gjj20m80et415.jpg', 'http://ww2.sinaimg.cn/large/e80a7a3cgy1gazm7sz7qrj20m80etadb.jpg', 'http://ww4.sinaimg.cn/large/e80a7a3cgy1gazm7szi01j20m80etgo7.jpg', 'http://ww3.sinaimg.cn/large/e80a7a3cgy1gazm7sxokwj20m80ettbg.jpg', 'http://ww1.sinaimg.cn/large/e80a7a3cgy1gazm7t2u6ij20m80et76e.jpg', 'http://ww4.sinaimg.cn/large/e80a7a3cgy1gazm7svfbhj20m80etwhj.jpg']",,
4434494306135784,IetlYpKcg,1768161505,柑山伯伯Gank,所以我从来不感冒那些人号召逃离城市，去山野田园享受所谓的民风淳朴。民风淳朴个屁，越穷的地方，人的劣根性就越突出。一个人如果真的善良厚道，只要不是特别懒和特别傻，早就发财了。我街上一街坊，无业游民，老婆是环卫工。整天抽烟喝酒，每个月到月中，老婆的工资都被他吃光了，有时候看他老婆过来买酒，4块一瓶珠江啤酒，也要在身上掏个1分钟才凑齐，真心可怜。这种人，哪里还有什么扶贫拯救的价值？早死早超生算了。所以，我街上还有一个街坊(对不起，我家在贫困的老城区)，她老公整天喝酒，最后中风了，没想到出院之后，还继续喝，前两个月就挂了，才50多岁。前妻的儿子什么生病时也没回来看。他的老婆在他死后，感觉一下子解脱了，我最近看她脸色明显好了不少。,,,,,0,0,0,2019-11-03 10:48,魅族16s旗舰手机,['http://ww4.sinaimg.cn/large/696400e1gy1g8knd7ulvrj20u01q0qfo.jpg'],,
4317064019323388,H79UBD7re,6882754235,南城20191,与世界500强等行业领军者共话基层党建日前，由南都报系主办、邮储银行广东省分行协办的“红色岭南，活力党建”广州基层党建共融共建共治共享研讨会成功举行。世界500强企业、全国最大的制药工业企业、全国最大的洗涤用品公司、全国最大的金融消费提供商等行业领军企业的党组织代表日前齐聚南方报业传媒大厦，首次就基层党建如何共融共建共治共享展开了对话。据悉，此次由南都报系主办、邮储银行广东省分行协办的“红色岭南，活力党建”广州基层党建共融共建共治共享研讨会，从三个环节，展开了深入研讨。立白集团党委书记许晓东，平安普惠广东分公司党委副书记孙高峰，广药集团党委组织部部长蔡锐育，广东新供销天骏供应链有限公司支部委员、副总经理阳冬良，雪松控股党群工作部副总监雷辉等同志，以及来自广州华糖、珠江啤酒、邮储银行等单位的基层党组织代表参加了本次研讨会。多种经济体共话基层党建众所周知，今年是我国改革开放40周年。中国经济从贫穷落后到繁荣富强的分水岭是改革开放，改革开放没有终点，以改革开放为方法的党建工作也没有尽头，以党建引领社会发展更是不变的模式。此次活动不仅吸引了世界500强、广州第一大民营企业雪松控股参会，全国最大制药工业企业集团广药集团、洗涤用品销量中国第一世界第四的立白集团、以及全国最大的金融消费提供商平安普惠等行业领军企业的党组织也派党务负责同志积极参与其中。在全省拥有3万多个基层党组织的广东省供销社，则由广东新供销天骏供应链有限公司的支部委员与会。研讨会期间，与会代表分别分享了各自所在党组织的党建经验。他们表示，随着年轻一代在党组织中的比例不断提高，需要创新机制，以更好地吸引年轻人积极参与到党建工作中去。此外，针对如何将党建与业务更好结合，与会代表也分享了各自的经验。许晓东介绍了该集团“一家亲”党建模式。广州市非公党建展览馆去年正式落户立白集团总部大楼。截至目前，这一展览馆已吸引全国3万多人次前往参观、交流。此外，立白集团党委已在2015年创新实施了《党员积分管理办法》。此外，为了吸引年轻人参与党建工作，立白党建还打造了“指尖上的党建”模式，通过服务号为党员同志提供一站式服务。党建做实就是生产力作为全国最大制药工业企业集团、广州市属第二大国企，广药集团在加强党的建设方面，提出了以大党建促进企业大发展的新思路。本次研讨会上，蔡锐育以“全面进步、全面过硬”为主题，介绍了广药集团大党建创新模式。据蔡锐育介绍，为强化党的基层组织建设，共创国企党建新高度，广药集团已将党建工作总体要求写入公司章程，明确和落实党组织在法人治理结构中“把方向、管大局、保落实”的法定地位。今年3月29日，广药集团还以“五千党员进党校，牢记使命跟党走”为主题，隆重举行党校2018年春季班开学典礼。此外，据蔡锐育透露，广药大党建创新模式还特别注重党建与企业文化相融合，坚定走“党建就是生产力”之路。据悉，通过强化提升大党建工作成效和质量，广药集团已将“打造独具产业特色，文化鲜明的世界一流企业”作为奋斗目标，力争到2020年冲刺世界500强。而身为广州民营实体经济厚积薄发的代表，雪松控股集团也在发力党建工作。公开资料显示，前身创办于1997年，目前旗下拥有供通云供应链集团、化工产业集团、文化旅游集团、君华地产集团、社区生态运营集团、金融服务集团等六大产业集团的雪松控股，2018年以327亿美元的营收，首次跻身世界500强。据雷辉透露，雪松控股集团董事局主席张劲十分重视支持党建工作，明确表示集团的党建工作需要与世界500强的地位相匹配。据悉，与产业扶贫工作相结合，已经成为雪松控股党建工作的一大亮点。（本文章来源于南方都市报，如有侵权，请联系我们删除。）如有想了解有关智慧党建的相关信息，请通过下方的联系方式联系我们，我们将一一为您解答。网址：O网页链接电话：15560666080,,,,,0,0,0,2018-12-14 09:42,微博 weibo.com,,,
4267441317562210,GsisjvJh8,1618051664,头条新闻,【感谢贫穷的北大女生：虽然贫穷，但仍可做梦】河北女生王心仪以707分被北大录取，并意外因自招时的陈述走红。王心仪家贫，母亲连给她掏买教辅的钱都吃力。她说，虽然经济上和别人有差距，但不会因此自卑，精神贫瘠才可怕。北大有很健全的资助机制，只要努力，未来不会有后顾之忧。L直面的秒拍视频,,,,,885,887,2023,2018-07-30 11:19,微博 weibo.com,,"http://miaopai.video.weibocdn.com/xgmQ8kE9lx07mqOy3pCw01040200m99u0E013?ori=0&ps=1BVp4ysnknHVZu&Expires=1602653238&ssig=Hctl161VQI&KID=unistore,video",
4267485303700819,GsjBgfwKD,3226951904,珠江啤酒,贫困并不是成就一个北大学者的必备条件，惊人的意志力才是，正是有这样一个一个让人心痛又感动的励志例子，让我们更加坚定扶贫的信念。珠江啤酒坚定贯彻新时期“精准扶贫、精准脱贫”三年攻坚的工作要求，在对口村“造血式扶贫”中贡献再获肯定，荣获“2017年度广东扶贫济困红棉杯铜杯”。,,,,,0,0,0,2018-07-30 14:14,360安全浏览器,,,4267441317562210
4055554667884902,Enjeix5dQ,2673770055,梅州供电,撒花由梅县区纪委联合珠江啤酒厂投资，梅州金胜建设，梅州市首例精准扶贫项目（光伏扶贫）梅县畲江彰三村光伏工程46.64kW成功并网咯！@南网50Hz@广东电网,,,"南网50Hz,广东电网",,1,0,2,2016-12-22 18:37,iPhone 6,"['http://ww3.sinaimg.cn/large/9f5e7e47gw1fazr48j48hj20m80go414.jpg', 'http://ww4.sinaimg.cn/large/9f5e7e47gw1fazr47ygawj20cg0m840e.jpg', 'http://ww2.sinaimg.cn/large/9f5e7e47gw1fazr48k80ij20m80cgtc9.jpg']",,
4017365328812497,E7hKAAYx3,2964046710,牛岛欢痛a,#黑马回马枪##股海博弈者##A股实盘解析##个股利好信息首创股份联合中标50亿元海绵城市PPP项目；神州长城获6.6亿元PPP项目；易事特签署2亿元光伏扶贫电站项目合同；龙建股份中标1.52亿元北苏丹项目；海翔药业川南厂区克林霉素系列产品通过认证；珠江啤酒定增获批；博信股份、恒顺众昇股东增持。,,,,"黑马回马枪,股海博弈者,A股实盘解析",0,0,0,2016-09-08 09:26,360安全浏览器,,,
4017361151410912,E7hDR5V2E,2003483551,摩羯的雨星,个股利好信息首创股份联合中标50亿元海绵城市PPP项目；嘉寓股份签21亿元光伏电站施工合同；中文在线签署6.75亿元教科书采购合同；神州长城获6.6亿元PPP项目；易事特签署2亿元光伏扶贫电站项目合同；龙建股份中标1.52亿元北苏丹项目；海翔药业川南厂区克林霉素系列产品通过认证；珠江啤酒定增获批；博信股份、恒顺众昇股东增持。,,,,,0,0,0,2016-09-08 09:10,360安全浏览器,,,
