id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4456313532902236,InCYhcb0g,2311077472,证券日报之声,【珠江钢琴多举措扶贫攻坚让“空心村”变“暖心村”】“一切工作的出发点和归宿是村民是否满意，保证扶贫资源更精确地分配到贫困目标人群，争取每个有就业能力的贫困群众实现就业。”珠江钢琴党委书记李建宁在梅林检查驻村扶贫工作时强调。自2012年在深交所上市以来，珠江钢琴已连续多年保持稳步增长，归属于上市公司股东的净资产从上市当年年末的16.54亿元，增加到2019年三季度末的33.53亿元，增幅102.72%，已经达到上市初期的2倍有余。在自身发展的同时，珠江钢琴多年派驻工作组赴边远贫困地区开展精准扶贫工作。以其在五华梅林镇扶贫为例，自公司2016年开展帮扶工作以来，共投入760多万元，帮助该镇3个贫困村126户414人脱贫，使失去朝气的“空心村”变成充满希望的“暖心村”。详情→O网页链接,,,,,0,0,1,2020-01-02 15:50,微博 weibo.com,['http://ww3.sinaimg.cn/large/89c03e60ly1gai7prxvslj20ku0c9gmk.jpg'],,
4355285885444522,HnceMmQmS,6501761516,珠江钢琴sz002678,珠江钢琴sz002678公告珠江钢琴:关于对外扶贫捐赠的公告点击查看O网页链接,,,,,1,0,0,2019-03-29 21:02,微博股票,,,
4260651381561253,GprOO6y9v,6597210588,海知音琴行2019,发表了博文《珠江钢琴开展“党员活动日”活动助力推进精准扶贫》6月20日、21日，珠江钢琴集团党委副书记黄贤兴带领相关党员干部，到集团长期帮扶的贫困村——梅州五华梅林镇尖山村、福塘村、上礤村走访慰问，开O珠江钢琴开展“党员活动日”活动助力推进精准扶贫,,,,,0,0,6,2018-07-11 17:38,新浪博客,,,
4260650961651439,GprO86VC7,6597210588,海知音琴行2019,发表了博文《助力慈善|珠江钢琴集团向2018年广东扶贫济困日暨“羊城慈善为民”活动捐款120万》6月29日，广州市启动2018年广东扶贫济困日活动暨深化“羊城慈善为民”行动。在活动仪式上，社会各界认捐O助力慈善|珠江钢琴集团向2018年广东扶贫济困日暨“羊城慈善为民”活动捐款120万,,,,,0,0,0,2018-07-11 17:36,新浪博客,,,
4230990526191682,Gd0cIpYJQ,6447811311,个股公告,珠江钢琴sz002678公告：珠江钢琴：关于对外扶贫捐赠的公告，点击查看O网页链接,,,,,0,0,0,2018-04-20 21:16,微博股票,,,
3951602274519369,DlEptiXH3,2733953344,先知先觉者胜,【职业教育——受益精准扶贫政策_凤凰博报】从行业内部来看，目前我国职业教育行业主要有两类可关注的公司：一是通过进军职教行业对主业实现有效增值的公司，比如珠江钢琴，目前国内音乐教育资源相对贫乏，且分布不均…（分享自@凤凰博报）O网页链接,,,凤凰博报,,0,0,0,2016-03-10 22:07,分享按钮,,,
3902483284149952,D12BihpAI,3768414474,寻雨修行,据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。相关概念股有望受益，关注珠江钢琴（002678）、海伦钢琴（300329）、威创股份（002308）、奥飞动漫（002292）等。,,,,,0,0,0,2015-10-27 09:06,微博桌面,,,
3902112662468377,D0SXwam8x,5699355596,股舞千股,据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。相关概念股有望受益，关注珠江钢琴（002678）、海伦钢琴（300329）、威创股份（002308）、奥飞动漫（002292）等。,,,,,0,0,1,2015-10-26 08:33,微博桌面,,,
3901851596145648,D0MarpMLm,3569165071,雪球笔记,10月23日讯，据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。受此消息影响，方直科技、威创股份、珠江钢琴、长...O儿童早期发展将成国家战略,,,,,1,0,1,2015-10-25 15:16,360安全浏览器,,,
3901582346996354,D0Faatm4q,1180637905,大风投资,【儿童早期发展将进十三五规划】据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。相关概念股有望受益，近期关注幼儿教育概念，威创股份、珠江钢琴、海伦钢琴等。威创股份是龙头。,,,,,1,2,0,2015-10-24 21:26,风再吹起～Android,,,
3901102762400323,D0sGEa4qT,1615998150,柳岸林的马甲,我在#新浪理财师#发布了【儿童早期发展将进十三五规划4股或受益】10月23日讯，据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。相关概念股有望受益，关注珠江钢琴（00267…O网页链接,,,,新浪理财师,0,0,0,2015-10-23 13:40,新浪理财师,,,
3901101445316600,D0sEwmj5C,1659528654,股市微课堂,#股票涨停#据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。相关概念股有望受益，关注珠江钢琴(002678)、海伦钢琴(300329)、威创股份(002308)、奥飞动漫(002292)等。上证指数sh000001,,,,股票涨停,2,3,64,2015-10-23 13:35,巴菲特送的iPhone 6 Plus,,,
3901100090859409,D0sCl3Bzr,1736521680,拾金客v,财经讯10月23日讯，据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。相关概念股有望受益，关注珠江钢琴(002678)、海伦钢琴(300329)、威创股份(002308)、奥飞动漫(002292)等。,,,,,0,0,1,2015-10-23 13:30,微博 weibo.com,,,
3901098639456468,D0szZDG3G,5503937000,董曦媛论市,【儿童早期发展将进十三五规划】:10月23日讯，据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。相关概念股有望受益，关注珠江钢琴(002678)、海伦钢琴(300329)、威创股份(002308)、奥飞动漫(002292)等。,,,,,0,0,1,2015-10-23 13:24,微博桌面,,,
3901098475754804,D0szJo95q,3849286291,鼓掌财经,#鼓掌快讯#【儿童早期发展将进十三五规划】据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。相关概念股有望受益，近期关注幼儿教育概念，威创股份、珠江钢琴、海伦钢琴等。O鼓掌财经-中国国内领先的事件驱动型交易策略互联网服务提供商,,,,鼓掌快讯,6,2,3,2015-10-23 13:23,微博桌面,['http://ww2.sinaimg.cn/large/e56f7293jw1exb02u6xq0j20bs0a1dg4.jpg'],,
3901097930611170,D0syR2yZA,5633306289,A股一姐,【儿童早期发展将进十三五规划】:10月23日讯，据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。相关概念股有望受益，关注珠江钢琴(002678)、海伦钢琴(300329)、威创股份(002308)、奥飞动漫(002292)等,,,,,0,0,1,2015-10-23 13:21,微博桌面,,,
3901097817275324,D0syFuwDW,5591229500,安学投资,早教将进十三五规划，概念股大涨。截至目前，威创股份、方直科技、海伦钢琴、珠江钢琴、长城动漫涨停。据报道，卫计委副主任王国强称，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。,,,,,0,0,0,2015-10-23 13:21,搜狗高速浏览器,,,
3901096873941657,D0sx9gxp7,2423863464,呈点,财经讯10月23日讯，据卫计委副主任王国强介绍，儿童早期发展将成国家战略纳入国民经济和社会发展“十三五”规划，作为国家健康扶贫的重要战略，不断加大投入力度。相关概念股有望受益，关注珠江钢琴(002678)、海伦钢琴(300329)、威创股份(002308)、奥飞动漫(002292)等。,,,,,2,0,3,2015-10-23 13:17,微博 weibo.com,,,
