id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4554541750291035,JmSSz1dI7,5461675775,百姓就业,【顺义持续开展对口帮扶劳务协作】28日，顺义区人力资源和社会保障局组织区内10家招聘企业和1家培训机构赴内蒙古巴林左旗开展劳务协作对接活动。这是本月继河北省万全区、沽源县，内蒙古自治区科左中旗之后，顺义区组织的第四次劳务协作对接活动。此次活动以“京蒙对口帮扶，携手脱贫攻坚”为主题，通过交流座谈、岗位推荐、结对帮扶等措施，进一步加深两地劳务协作，巩固巴林左旗脱贫成效。座谈会现场，两地针对扶贫成果巩固、协作平台建设、服务需求对接、来京游学访学等事项深入交流意见，并签订《2020年劳务协作协议》，进一步明确了工作任务，规范了步骤环节，为促进劳动力转移就业提供了制度保障。招聘会现场，北京江河幕墙制造有限公司、北京申通快递服务有限公司等10家企业，提供操作工、快递分拣员等薪资待遇丰厚的在京就业岗位793个，其中大部分企业可以为求职人员提供食宿。职业指导师还坐诊就业咨询窗口，在介绍顺义区就业渠道与就业政策的同时，解答求职人员就业困惑。现场招聘活动累计吸引1000余名劳动力进场求职、咨询。此外，顺美职业技能培训学校还与白音乌拉镇乃林坝嘎查开展“一对一”结对帮扶，了解村内劳动者脱贫情况与就业培训需求并送去慰问金和慰问品。顺义区人力资源和社会保障局副局长陈静华介绍，顺义区与巴林左旗不间断开展劳务协作，多次进行沟通，并开展线上合作对接，在促进劳动者就业增收方面保持了良好的协作关系。目前，已累计促进71名贫困劳动力来京就业，733名贫困劳动力实现就近就地就业。,,,,,0,0,0,2020-09-29 17:13,iPhone客户端,"['http://ww4.sinaimg.cn/large/005XCDmLly1gj7n05irojj30m80go0vg.jpg', 'http://ww4.sinaimg.cn/large/005XCDmLly1gj7n072gzsj31900u00zi.jpg', 'http://ww3.sinaimg.cn/large/005XCDmLly1gj7n07p6efj317c0swte0.jpg', 'http://ww1.sinaimg.cn/large/005XCDmLly1gj7n08ihm7j317c0swgtk.jpg']",,
4551539811158567,JlCMJ4Roz,3213094623,中国邮政快递报,#国务院新闻发布会#国家邮政局局长马军胜：广大邮政、快递企业积极响应党中央国务院号召，履行政治责任、社会责任，充分发挥行业优势，立足产业基础，将社会公益与精准扶贫有效结合，积极投身脱贫攻坚。其中，中国邮政集团有限公司20年扎根陕西商洛做好定点扶贫，发挥了国有企业骨干表率作用；顺丰速运运营食品干线122条，累计2289条流向，帮助更多区域的特色经济发展；申通快递设立教育教学奖励基金、爱心救助基金，开展“小红心暖阳助学”等形式多样的助学公益活动；中通快递在全国832个贫困县网点开通率超95%，通过“互联网+电商+快递”助力贫困农户创收脱贫；圆通速递成立“圆梦基金”，未来2-3年每年帮助1万名残疾人、退伍军人、贫困人员、大学生等群体就业创业；韵达快递溜达商城与多家网点组建专门的生鲜果蔬团队，采用标准化包装打包，通过“绿色通道”优先中转、优先派送；百世快递推出“农品优行”计划，助力农特产品上行，促进农户增收致富；京东无人机等自研黑科技目前在扶贫领域已进行大量应用；苏宁首创了电商扶贫新模式“苏宁易购扶贫实训店”，实现教育扶贫、就业扶贫、产业扶贫、捐资扶贫“四扶合一”。,,,,国务院新闻发布会,0,0,0,2020-09-21 10:25,HUAWEI Mate 30,['http://ww3.sinaimg.cn/large/bf83eedfly1giy28icz7ij22b30nidka.jpg'],,
4547886937544385,Jk5KZvEDD,3928511449,交通发布,#行走脱贫攻坚52县#【打通快递物流“最后一公里”】贵州省赫章县汉阳街道金田、银田社区搬迁点是全县三大易地扶贫搬迁安置点之一，当地抢抓电商发展机遇，整合门面房5200平方米，打造快递联盟，为搬迁贫困群众提供就业机会。目前，已引进韵达快递、中通快递、百世快递、申通快递、德邦物流等8家企业，形成县、乡、村三级快递物流统一配送体系，打通物流“最后一公里”。今年32岁的“快递联盟”负责人孙其胜告诉记者，快递包裹从县电商物流服务中心到乡镇级电商物流服务站、村级电商物流服务点可24小时内完成配送，县内农特产品通过“快递联盟”快速外运外销。（记者李黔刚）@贵州交通L交通发布的微博视频,,,贵州交通,行走脱贫攻坚52县,2,0,2,2020-09-11 08:30,微博 weibo.com,,"http://f.video.weibocdn.com/9uq191BDlx07GkBtNXPi010412006cBH0E010.mp4?label=mp4_ld&template=360x640.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&ori=0&ps=1BVp4ysnknHVZu&Expires=1602653337&ssig=JABjyKGuha&KID=unistore,video",
4542123104275911,JhFOuhWmj,1885504473,银川发布,【闽宁镇村民吃起“快递饭”#走向我们的小康生活##奔跑吧康康#】“现在每天接发快递件约700个，一个月能赚6000元左右。感觉日子越来越有奔头，多劳多得！再过两年，还清贷款后，我还打算买辆车。”今年28岁的马挑宇从闽宁镇福宁村的贫困户摇身一变，成为月赚数千元的“快递站站长”。去年，村里打造了电商扶贫一条街，经过申请，马挑宇成为了申通快递的代理。前三年，镇里对于代理快递业务的村民，在房租、装修等方面都会给予优惠。闽宁镇“电商扶贫一条街”位于闽宁镇新镇区内，由镇里原有的空地改造而成，电商扶贫一条街共入驻了中通、圆通、申通、中国邮政等7家快递企业，可实现闽宁地区年配送量100万件快递。街区不仅可以为当地的群众提供更多的就业机会，也让村里的特色农产品可以走向祖国的大江南北。“现在街区已经带动80多名群众就业。同时，电商一条街也为临近毕业的大学生和镇里的有志青年提供创业平台。虽然大家现在脱贫了，但要把日子越过越好，还需要不断学习新业态新方式。现在，手机和电脑就是我们村民致富的‘新农具’。”闽宁镇副镇长杨青说道。（来源：银川市新闻传媒集团魏罗妮杨韶华）,,,,"走向我们的小康生活,奔跑吧康康",0,0,0,2020-08-26 10:46,微博 weibo.com,,,
4541347689664986,JhlDOEyiS,7441598192,小区门口负责人,你怎么看待京东集团（北京）消灭扶贫攻坚战的核心企业申通快递（中国快递的鼻祖，每年的利润是韵达的1/20），京东集团（北京）不断消灭同行。北京各大公司与京东集团携手共同消灭扶贫攻坚企业。你可别坚决服从北京集团的命令与指挥，坚决打赢北京集团消灭扶贫攻坚战企业的这场硬仗，绝对服从刘强东、美国高瓴资本，维护好刘强东与美国各大股东的利益。@北京科技大学学生会@北京化工大学学生会@北京语言大学学生会@北京理工大学学生会@中国农业大学学生会@首都师范大学_学生会@北京师范大学学生会@北京邮电大学学生处@中国人民大学学生处@北京航空航天大学学生会,,,"北京科技大学学生会,北京化工大学学生会,北京语言大学学生会,北京理工大学学生会,中国农业大学学生会,首都师范大学_学生会,北京师范大学学生会,北京邮电大学学生处,中国人民大学学生处,北京航空航天大学学生会",,0,0,0,2020-08-24 07:25,Android,,,
4541034279735808,JhdujEQJa,7441598192,小区门口负责人,中国足球之所以不行是因为腾讯（共青团中央企业）把NBA放在主页不把中超、亚足欧足放在主页；扶贫攻坚战之所以打不赢是因为京东集团天天跟北京抵制扶贫攻坚战的企业（苏宁易购、申通快递、全峰快递、阿里、淘宝），几乎所有扶贫攻坚战企业都是京东（北京）跟腾讯合伙骂死的。北京人不需要扶贫，北京挨个拆迁，一人分100w+一套房，这100W就是创业基金@阿里巴巴1688@上海长宁@上海普陀@上海交通@上海嘉定@上海黄浦@上海崇明@上海宝山发布@广东市场监管@阿里巴巴1688@鞍钢郭明义,,,"阿里巴巴1688,上海长宁,上海普陀,上海交通,上海嘉定,上海黄浦,上海崇明,上海宝山发布,广东市场监管,鞍钢郭明义",,0,0,0,2020-08-23 10:40,Android,,,
4541019846878628,Jhd72sRrC,7441598192,小区门口负责人,坚决拥护京东集团（美国创建与入股）消灭扶贫攻坚战的核心企业申通快递（中国快递的鼻祖，每年的利润是韵达的1/20），共同学习京东集团消灭同行的方式与方法。与京东集团携手共同消灭扶贫攻坚企业，联合美国、京东集团消灭扶贫攻坚企业，每个中国人都有义务与责任。“我们走在消灭扶贫攻坚企业的大路上，意气风发斗志昂扬，京东领导水军队伍，披荆斩棘奔，向前方，向前进，向前进，消灭同行不可阻挡！！”@上海黄浦@宁波发布@南通发布@南京大学学生会@南京大学@南京发布@经济日报@广州市场监管@中国市场监管报@广东市场监管@上海宝山发布@上海崇明@上海黄浦@上海嘉定@上海交通@上海普陀@上海长宁@苏州日报京东（北京）下达命令要消灭扶贫攻坚战的核心企业，你们支持不,,,"上海黄浦,宁波发布,南通发布,南京大学学生会,南京大学,南京发布,经济日报,广州市场监管,中国市场监管报,广东市场监管,上海宝山发布,上海崇明,上海嘉定,上海交通,上海普陀,上海长宁,苏州日报",,0,0,0,2020-08-23 09:42,Android,,,
4540361071919188,JgVYv83gE,7441598192,小区门口负责人,"京东把扶贫攻坚战的重要企业申通给封杀了，踏马逼2011年美帝不入股京东，京东连几把毛也不是！京东集团封杀扶贫攻坚战重要企业申通快递一定是中央下的命令，中央可能这样跟刘强东说的“把扶贫攻坚战的企业都灭了！！”千万别拥护京东，京东会帮中央把你们所在的企业、城市给灭了！凡支持京东集团之辈非我族类！犯我中华者,虽远必诛，打倒以京东为首的美帝主义！@南通发布@淮安发布@北京市商务局@宁波发布@北京市社会办@阿里巴巴1688@北京朝阳@德州发布@聊城发布@上海普陀@上海宝山发布@上海崇明@上海黄浦@上海嘉定@上海交通@上海科协@上海普陀@上海长宁@青春上海@汕头政务发布@汕头发布@鞍钢郭明义",,,"南通发布,淮安发布,北京市商务局,宁波发布,北京市社会办,阿里巴巴1688,北京朝阳,德州发布,聊城发布,上海普陀,上海宝山发布,上海崇明,上海黄浦,上海嘉定,上海交通,上海科协,上海长宁,青春上海,汕头政务发布,汕头发布,鞍钢郭明义",,0,0,0,2020-08-21 14:04,Android,,,
4540360761545705,JgVY06u6J,7441598192,小区门口负责人,"京东把扶贫攻坚战的重要企业申通给封杀了，踏马逼2011年美国不入股京东，京东连几把毛也不是！京东集团封杀扶贫攻坚战重要企业申通快递一定是中央下的命令，中央可能这样跟刘强东说的“把扶贫攻坚战的企业都灭了！！”千万别拥护京东，京东会帮中央把你们所在的企业、城市给灭了！凡支持京东集团之辈非我族类！犯我中华者,虽远必诛，打倒以京东为首的美帝主义！@华中科技大学学生会@北京理工大学学生会@北京大学学生会@中国计量大学学生会@四川师范大学学生会@华东师范大学@北京师范大学@华中师范大学@陕西师范大学@南京师范大学@湖南师范大学@浙江师范大学@上海师范大学@江西师范大学@江苏师范大学@东北师范大学@信阳师范学院@山东师范大学@北京工商大学",,,"华中科技大学学生会,北京理工大学学生会,北京大学学生会,中国计量大学学生会,四川师范大学学生会,华东师范大学,北京师范大学,华中师范大学,陕西师范大学,南京师范大学,湖南师范大学,浙江师范大学,上海师范大学,江西师范大学,江苏师范大学,东北师范大学,信阳师范学院,山东师范大学,北京工商大学",,0,0,0,2020-08-21 14:03,Android,,,
4540360028850176,JgVWOB8kM,7441598192,小区门口负责人,京东把扶贫攻坚战的重要企业申通给封杀了，踏马逼2011年美国不入股京东，京东连几把毛也不是！京东集团封杀扶贫攻坚战重要企业申通快递一定是中央下的命令，中央可能这样跟刘强东说的“把扶贫攻坚战的企业都灭了！！”千万别拥护京东，京东会帮中央把你们所在的企业、城市给灭了！@鞍钢郭明义@阿里巴巴1688@汕头发布@汕头政务发布@南通发布,,,"鞍钢郭明义,阿里巴巴1688,汕头发布,汕头政务发布,南通发布",,0,0,0,2020-08-21 14:00,Android,,,
