id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4488151525767583,IAZdSocpx,3004938340,陕西省教育厅,#陕教扶贫在行动#【西医党委书记范兵赴柞水镇安调研“双百工程”工作】日前，@西安医学院党委书记范兵先后赴柞水县、镇安县，对接和调研该院“双百工程”扶贫工作。范兵与盘龙药业企业负责人进行了深入座谈交流，围绕深入推进省级产学研一体化示范基地建设，根据盘龙药业发展需求，在继续派驻专家、开展技术培训、学生实习见习、药物药品采购、制剂合作开发、创新创业和成果转化等方面进一步达成了共识。范兵在镇安县政府出席了2020年西安医学院帮扶镇安县座谈会，该院副院长姚文柱介绍了该院来年帮扶工作思路，并与刘云霄签订了《西安医学院对口帮扶镇安县助力脱贫攻坚项目协议书》。该院将充分发挥学科优势，衔接好党建、医疗、教育等帮扶项目，统筹好该院人力、物力和财力安排，持续发力、精准用力，切实把各项帮扶措施落地做实做细。,,,西安医学院,陕教扶贫在行动,2,331,442,2020-03-30 12:22,搜狗高速浏览器,"['http://ww4.sinaimg.cn/large/b31bb864ly1gdbu63gyi1j20go0ciwle.jpg', 'http://ww1.sinaimg.cn/large/b31bb864ly1gdbu63h47kj20go0chjx2.jpg']",,
4479404526545023,IxjFOrsET,1606612822,沸点观察,【除了瑞德西韦还有它！这两款中药节后涨幅瞠目结舌，背后它们最受益】#财经资讯#据生意社3月5日报道称，受影响出现不少热点品种，金银花，板蓝根等中药材节后明显上涨。2020年春节过后，金银花一直热度不减，位居热点品种搜索排行榜榜首长达20多天。近日市场来货量仍不大，持货者要价坚挺，山东产统货售价240元左右，春节前价格180元，优质货280元，涨价前200元。而连续多日荣登热点搜索第二位的是板蓝根，虽然大货交易量不及前期，但持货者要价仍不低，统货多售价24.5元，可加工饮片的统货要价26元。#上市公司#方面，关注浙江震元：公司已在全国建立60个药材基地，种植的药材包括浙贝母、延胡索、半夏、浙麦冬、薏苡仁等在内的浙八味，还有三七、甘草、金银花等药材。昆药集团：公司昆中药扶贫计划中的金平县阿得博乡南板蓝根产地种植及加工基地的实施：2018年已经与金平县众鑫中草药产销专业合作社签订了5000亩南板蓝根标准化种植及定点加工基地，2019年产出量达到1000吨。盘龙药业：公司分别于柞水县和华池县62个村71家专业合作社签订了以五味子、白术、黄芪、板蓝根、参、黄芩等品种的中药材种植订单，种植药材5万余亩。,,,,"财经资讯,上市公司",4,0,12,2020-03-06 09:05,微博 weibo.com,['http://ww1.sinaimg.cn/large/5fc2f756gy1gcjxm53i30j20dw07fqbc.jpg'],,
4478076932720451,IwL8xbpIf,3869738603,商洛税务,战“疫”一线的税务担当艰难困苦之时显忠诚、看担当。面对新冠肺炎疫情肆虐的严峻形势，商洛市税务局党委发出集结号，党员干部踊跃迎战、冲锋在前，让党旗在疫情防控一线高高飘扬。社区战“疫”的排头兵居民社区是疫情防控的重要阵地。“社区吹哨、党员报到”，在所在的小区，商洛市税务局的党员干部都积极投入到联防联控之中。在商州区江南小区，陈海峰、陈思宇父子二人齐上阵，成为广为人知的战“疫”父子兵。陈海峰是市税务局税收经济分析科科长，排班参加了小区第五组的北门值守工作。在他的带动下，儿子陈思宇作为“大学生志愿者”，毅然投入了小区的值守巡逻。在商中路社区，税务干部李军强当起了“疫情防控宣传员”，当他看到社区疫情防控检测站的人员日夜执勤、冒着严寒加班加点后，主动捐款1000元支持社区疫情防控人员购买口罩等防护物品。商中路社区主任牛军说：“这种勇于承担、无私奉献的志愿者精神值得每个人学习！”在这场没有硝烟的战争中，市税务局机关党委在商洛的240名党员，分别在第一时间到13个居民小区临时党支部报到，协助开展疫情排查、门禁值守、巡逻劝诫、宣传服务，共同构筑了群防群治的“铜墙铁壁”，市税务局也收到了社区送来的“表扬信”。扶贫抗“疫”的领头羊包扶村疫情防控责任重、难度大。在各个包扶村，税务局的驻村第一书记和同事们义不容辞，自觉担起了抗击疫情的重担。在丹凤县商镇两岭村，丹凤县税务局干部、驻村第一书记周彤一直坚守前线。疫情防控阻击战打响后，他第一时间赶赴包扶村，牵头压实疫情防控责任，建立检测值勤机制，迅速完成1116户3243人排查工作。特别是毗邻的商镇桃园村出现确诊病例后，他更是不分昼夜、严防死守，甚至“元宵节”都不离岗位，以辛勤的付出，确保了包扶村安全稳定、无一例确诊或疑似案例发生。在柞水县下梁镇四新村，柞水县税务局干部、驻村第一书记王力始终坚守一线。他牵头建立联防联控机制，成立宣传劝导小组，逐户开展排查检测，定期开展病毒消杀，带领工作队员筑起了疫情防控的坚固堡垒。在丹凤县庾岭镇塔尔坪村，商洛市税务局驻村干部郝丹宏在抓紧抓实疫情防控工作的同时，带领包扶干部制定了一季度包村扶贫具体措施，辅导大家注册了“建档立卡”APP，做到疫情防控和精准扶贫工作“两手抓、两手硬”。疫情无情人有情，在这场异常艰难的阻击战中，全市税务系统时刻把贫困群众的安危摆在前面、放在心头，驻村干部迎难而上，逆向前行，为贫困群众坚守了一片美丽的新家园。企业复工的“服务员”在疫情防控的攻坚时期，统筹推进疫情防控和经济社会发展成为当务之急。全市税务系统给力优惠政策落实，添力‘非接触式’办税，千方百计助力全市企业复工复产。党员干部全力当好五星级“店小二”，及时为企业送来了税费优惠的“红包”，开辟了咨询服务绿色通道。陕西盘龙药业集团股份有限公司复工的第一天，财务管理人员就收到柞水县税务局第二税务分局负责人刘炜送来的延期申报提醒和税收优惠政策，给企业吃下了“定心丸”。得知陕西香菊制药集团防护物资生产线快速投产后，商州区税务局党委书记、局长李丹书迅速安排业务骨干组成包联服务团，辅导企业进行税收优惠申报。在陕西天士力植物药业公司，法人朱永宏收到税收优惠政策解读后说：“这让我们可以迅速定位优惠，极速享受政策，真的很贴心！”据了解，商洛市税务局与疫情防控重点保障物资生产企业全面建立对接联系机制，对企业全面开展“一对一”宣传辅导，为企业提供网上即时办、热线指导办和自助机办理等“非接触式”办税方式，推行错峰办理、容缺办理、延期申报等服务举措，设身处地帮助企业排忧解难，把税费优惠政策迅速送到了企业的手中，让春风吹到了企业的心坎里。（作者：李毅）,,,,,0,0,0,2020-03-02 17:10,专业版微博,,,
4471792922003724,Iu7F28pg8,5953758071,百家云股,【今日题材】1、欧盟将投巨资建设充电桩未来市场规模万亿级A股公司中，【炬华科技】全资子公司杭州正华电子科技有限公司交流充电桩通过欧洲客户验收并实现发货。【和顺电气】有完整的电动汽车充电站解决方案，充电桩部件（网外设备、EPC）有较高知名度，充电桩产品在国网和南网招标中均有中标。2、我国在量子中继与网络技术上实现新突破，相关公司受关注A股公司中，【神州信息】参与了量子骨干线路“京沪干线”和济南城域网等项目的建设，携手国盾量子推出首个量子通信产品“神码国盾”。【凯乐科技】较早布局了量子保密通信技术在专网产品和应急通信系统产品的产业化应用，拥有量子保密通信技术产业化产品。【浙江东方】持股科大国盾与神州量子。3、消杀产品包装材料供给不足　相关公司受关注Ａ股上市公司中，【鸿达兴业】全资子公司江苏金材科技有限公司是国内规模最大的PVC包装材料生产基地之一，产品广泛应用于医疗领域及医药包装行业。【山东华鹏】子公司安庆华鹏拥有药品包装用材料和容器注册证，具有生产药用包装材料的资质。【海顺新材】公司专业从事直接接触药品的高阻隔包装材料研发、生产和销售。【今日要闻】扶贫开发领导小组：坚持如期全面完成脱贫攻坚任务不动摇，工作总体安排部署不能变，决不能有缓一缓、等一等的思想。中汽协：新冠肺炎疫情对汽车行业短期影响较大，行业产销量将会出现较大幅度的下降。央视：华中科技大学同济医院院长王伟表示，从目前疫情状况来看，我们必须做好中长期作战的准备。广东省政府：印发《广东省加快半导体及集成电路产业发展的若干意见》。【利好公告】本钢板材：控股股东本溪钢铁公司拟增持5000万元-1亿元股份中国天楹：中标1.5亿欧元固废处理项目中国电建：子公司签署逾125亿元海上风电项目合同吴通控股：中标建设银行短信发送项目【利空公告】江淮汽车：1月份汽车销量同比下降30.19%广汽集团：1月份汽车销量同比减少16%盘龙药业：苏州永乐九鼎等多名股东拟继续减持不超6%股份英科医疗：股东深创投及关联方淄博创新拟减持不超4%股份安达维尔：股东拟减持不超2.57%股份奥飞娱乐：控股股东及其一致行动人拟合计减持不超2%股份上海沪工：股东及董监高拟大宗交易减持股份不超过2%新时达：股东拟减持不超1.26%股份,,,,,0,0,0,2020-02-14 08:59,微博 weibo.com,,,
4453431290532877,ImpZv2eCN,2311077472,证券日报之声,【金银花成“扶贫花”盘龙药业带动农民致富】12月份的秦岭山里，已经开始降雪，柞水县西川村周围的山上，也是白雪覆盖。但在白雪下面，却寄托了西川村不少村民的希望。“今年三月份开春的时候，盘龙药业免费提供金银花苗让我们种，不但承诺到时候收购，而且在种植的时候每天还给我们工钱。”西川村的一位村民告诉《证券日报》记者。“为了帮助当地贫困户脱贫，前三年金银花的种植、除草、采摘，我们按照每天120元的标准，付给村民工钱，并且苗圃的费用、肥料等都是由公司负责。”盘龙药业党支部书记张水平对《证券日报》记者表示，为了解决农民的后顾之忧，所有的金银花将由公司按照市场价收购。而这是盘龙药业“公司+基地+贫困户”产业扶贫模式的又一次实践。详情→O网页链接,,,,,0,0,7,2019-12-25 16:57,搜狗高速浏览器,['http://ww3.sinaimg.cn/large/89c03e60ly1ga92mmjaqcj20k00b9t9e.jpg'],,
4453330086161063,ImnmgpQLZ,6906214710,投资者张,金银花成“扶贫花”盘龙药业带动农民致富-股票频道-金融界O金银花成“扶贫花”盘龙药业带动农民致富,,,,,0,0,0,2019-12-25 10:14,百度分享,,,
4453318769819436,Imn40Fcu0,6221776332,股商学堂,金银花成“扶贫花”盘龙药业带动农民致富　　“公司+基地+贫困户”是盘龙药业打造盘龙中药材基地，吸收基地周边贫困人员入基地就业务工，带动贫困户脱贫致富的一种扶贫模式。,,,,,0,0,0,2019-12-25 09:29,微博 weibo.com,,,
4452610583471736,Im4DMez9K,3866889735,柞水发布,【柞水三大产业促脱贫】近年来，柞水县始终将产业发展作为贫困群众稳定脱贫的主攻方向，坚持“一主两优”产业发展思路，走出一条产业振兴、脱贫致富之路。　　流域化发展壮大木耳产业，大力实施木耳“1153”计划，建成5条木耳菌包生产线，创新推行“借袋还耳”“借棚还耳”木耳产业发展模式，由村集体经济组织与企业签订借袋合同，农户与村集体经济组织签订“借袋还耳”协议，实行木耳保护价收购，贫困户无需资金就能参与木耳产业、实现致富增收，被列入全国十大产业扶贫案例。全域化发展壮大旅游产业创新推行全域联动、产业联接、景区联带、入股联营旅游“四联”模式，建成休闲农业示范点12个、农家乐集群8个，解决2100多户贫困户农副产品销售问题，实现2万人就地就近就业，得到国务院扶贫办的高度认可，并作为陕西省“十三五”旅游扶贫样板在全国推广。立体化发展壮大医药产业，将发展林下经济作为贫困群众增收致富的重要途径，建成千亩规范化示范种植基地和万亩中药材规模化种植基地4个，建设连翘、丹参等中药材标准化种植基地15.85万亩，带动全县群众大力发展中药材种植，中药材加工企业柞水盘龙药业有限公司被全国工商联、国务院扶贫办评为“全国万企帮万村”精准扶贫行动先进民营企业。,,,,,0,0,0,2019-12-23 10:35,专业版微博,,,
4450972980041409,Ilo2u0aLT,5480181149,云朵16566,12月17日，我县天源中草药开发有限公司与陕西盘龙药业集团有限公司成功签约秦药药源种植基地项目。县长叶盛强参加签约仪式并讲话，县领导齐永宏、王贵生、陈昌煦、薛玉霞参加活动。签约仪式上，陕西盘龙集团公司副董事长张水平介绍了项目基本情况，我县天源中草药开发有限公司总经理曹公义介绍了中草药种植情况，双方进行了项目签约。县长叶盛强与双方负责人共同为秦药药源种植基地项目揭牌。陕西“秦药”药源种植基地项目总投资1.1亿元，该项目通过我县营头镇秦岭外山适宜的秦药种植环境及气候等优势开展林下种植，可带动周边农户发展林下经济，脱贫致富，实现生态与扶贫双赢。叶盛强代表县四大班子对陕西盘龙药业集团有限公司来眉投资表示欢迎，对项目成功签约表示祝贺。下一步，希望企业能够加快推进基地建设，争取早日建成，源源不断的提供中草药供应；各相关部门要为项目保驾护航，全方位提供好保姆式服务，推进项目尽快建成。叶盛强还向企业领导介绍了我县的产业布局和资源优势，希望以此项目签约为契机，欢迎企业来眉洽谈合作、投资兴业，共协发展、实现共赢。,,,,,0,0,0,2019-12-18 22:08,荣耀畅玩7 全面屏手机,,,
4446440061274407,Iju7k5lwX,3013699443,西安医学院,#榜样有你#[科技扶贫，这位西医药专家够“土味”！]今天我们向大家介绍的是李伟泽老师。坚守一个初心奔着一个目标发展一个产业盘活一个基地造福一方百姓”科技创新的新气象，无疑给当下脱贫攻坚带来了新机遇。我校李伟泽教授带领他的团队深刻把握科技扶贫的内涵，不断将学校蕴含的医学资源优势和学科优势转化为扶贫的资源优势和科技优势，借助“高校+企业+基地+农户”四位一体扶贫模式，实现扶志和扶智相统一，“富口袋”与“富脑袋”相结合，“输血、储血、造血”相协调的扶贫奔小康路子。李伟泽教授出生于山西芮城，是我校药学院药剂学学科带头人，主要从事中药新剂型、新制剂与制剂新技术方面的研究，特别是在新型透皮给药系统领域进行了深入的基础研究和产业化开发。发表相关科研论文30余篇，被SCI收录8篇；获得新药新制剂授权发明专利15项（已转让开发5项）；主持科技成果鉴定2项；主持完成国家自然科学基金、国家发改委、陕西省科技厅等科研项目8项。“科技+扶贫”组合拳能否打好，派驻企业科技扶贫岗能否站好，科技在扶贫工作中的“四两拨千斤”作用能否发挥，李伟泽决心让自己这个书院专家成为贫困户和盘龙药业真正需要的“药专家”。“想点子”“找路子”。如何让自己这些年来的学术研究转化为实际产能，服务地方经济发展，带着问题找答案是作为科研工作者的自觉，李伟泽教授常奔赴于药材种植的田间地垄、药物生产流水线、质检分析中心与研究院调研掌握一手材料。语言是摆在扶贫路上的一堵墙，于是他就频繁穿梭在生产基地、药物生产流水线，听方言、学说方言，偶尔的山西调夹杂着川味的方言逗乐了大家。经过一段时间的功课，李伟泽有了些“土味”，他详细地调研了解了盘龙药业的发展存在的优劣势、面临的机遇与挑战、市场反馈等问题，通过深化“高校+企业+基地+农户”四位一体的互动，按照“以药为主、适度多元、错位发展、特色鲜明”的思路，拟定帮扶工作计划，并积极配合企业付诸于实际运用。“育苗子”“补口子”。针对队伍“战斗力”不强的问题，李伟泽及其团队以学校为后盾，应盘龙药业要求，为企业技术人员开展了系列专题培训，通过“理论+实践+强训”的模式为企业“育苗子”，提升技术人员的业务操作技能和解决突发问题的能力，保障检验检测分析结果的科学性和准确性，减少批次间的差异性；针对药材质量不高的问题，他走进药材种植基地，走到田间地垄与贫困户、技术员同劳动，及时将药材种植技术和注意事项讲解给种植户，向他们讲解从药材源头保障药剂质量的重要性。面对人才流失的“口子”，李伟泽团队协助盘龙集团公司制定了薪资待遇挂钩的企业职称晋升制度，技术人员通过业务技能的提升与考核即可获得相应的职称认定和薪资报酬，并协助组织了第一次企业职称晋升评审，为企业上市后的快速发展奠定了坚实的人才基础。“增长点”“闪亮点”。产品研发是一场与时间赛跑的游戏，产品定位则是企业发展的核心命门。透皮给药系统具有口服、注射等不可比拟的优势特点，在全球以每年17.8%的增长率高居各种新剂型之首，市场前景广阔、研发价值巨大。李伟泽研究团队注意到盘龙药业生产的“盘龙七片”的治疗适应症恰好适合于透皮给药制剂的开发。经过与盘龙药业研究院反复讨论论证后，设计了基于“盘龙七片”开发系列新型透皮给药新产品的计划与具体落实。2019年8月21日，在学校结对帮扶协助下，盘龙药业的拳头产品“盘龙七片”顺利入选2019年版《国家基本医疗保险、工伤保险和生育保险药品目录》甲类范围，并被中华中医药学会《类风湿关节炎病症结合诊疗指南》收录，成为该指南的推荐用药；此外，盘龙七片系列透皮给药制剂也即将问世。实现产业扶贫“造血”，激发脱贫内生动力是学校与李伟泽教授科技扶贫的旨归。2017年，学校联合著名民营企业陕西盘龙药业、柞水县人民政府，合作共建“西安医学院柞水县陕西盘龙药业产学研一体化示范基地”，按照校企合作协议约定，企业部分收益和校企合作研发全部收益用于柞水县扶贫事业。2018年，盘龙药业在陕西省慈善协会设立慈善基金1000万元用于扶贫帮困、助医助学、改善交通等；2019年8月，校企联合资助柞水中学2019年高考建档立卡贫困户大学生40人，每人获3000元助学金奖励。双方共建的产业扶贫“金银花规范化栽培示范基地”项目，在西川村建成优质金银花基地2000亩。2019年，西川村通过基地项目建设增加收入200多万元，加之受益于当地的木耳种植示范基地等项目，全体村民人均年收入已达8100余元，“靠老天爷吃饭”也在慢慢走进老黄历。科技扶贫大有可为、也必将大有作为，在这场“不获全胜、决不收兵”脱贫攻坚战中，在学校强有力的支持下“药专家”李伟泽教授“知技善用”将研究成果无私转化到科技扶贫工作中，真正实现了坚守一个初心、奔着一个目标、发展一个产业、盘活一个基地、造福一方百姓。(来源:西安医学院官方公众号),,,,榜样有你,5,5,32,2019-12-06 09:56,OPPO R9s,"['http://ww4.sinaimg.cn/large/b3a16773ly1g9mrp27q4wj20g90c70ww.jpg', 'http://ww4.sinaimg.cn/large/b3a16773ly1g9mrp2v1drj20le0g1n4a.jpg', 'http://ww2.sinaimg.cn/large/b3a16773ly1g9mrp42t0cj20u00kdn7v.jpg']",,
