id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4466336723381627,IrPIIebIn,1752549400,全景网,#资本市场同心抗疫#【四川资本市场战“疫”在行动|多方发力，捐赠款物超9000万】为全力帮助疫区群众共渡难关，加强疫区新型冠状病毒肺炎疫情防控、肺炎病情救治和医护人员保护等工作，四川资本市场各主体纷纷响应号召，伸出援助之手，截止目前四川资本市场捐赠款物超9000万元。迈克生物（300463）：“四川造”新型冠状病毒检测试剂盒月底投入量产泸州老窖（000568）：紧急启动疫情防控物资、药品全球采购行动康弘药业（002773）：向四川省红十字会捐款500万元五粮液集团：向武汉市慈善总会捐款3000万元科伦药业（002422）：启动紧急预案，保障医疗物资持续供应新希望六和（000876）：统一部署，对武汉疫区物资捐助红旗连锁(002697)：启动应急配送中心24小时待命尚纬股份（603333）：向四川省红十字会捐款200万元海特高新（002023）：向四川大学华西医院捐款100万元富临运业（002357）：提供应急运力共计108辆川润股份(002272)：向自贡市第一医院捐款100万元帝欧家居（002798）：向武汉红十字会捐赠100万元通威集团：向中国光彩事业基金会捐赠1000万元国金证券（600109）：向四川省红十字总会及所在地专门机构捐款400万成都银行（601838）：通过武汉市慈善总会向武汉市捐赠1000万元四川路桥、四川成渝一直奋战在高速公路营运工作最前线，冲锋在前，为社会公众送上贴心服务，为抗击疫情努力付出；四川路桥抗疫不忘扶贫对口帮扶村，春节期间来到石滩镇铺垭庙村，为石滩镇卫生院捐赠了1000瓶抑菌洗手液，并由党员先锋服务队员为各村民逐户发放。川投能源、成都燃气、兴蓉环境、乐山电力、明星电力、西昌电力、广安爱众等公司加强应急值班和疫情防控及信息报送工作，确保供区内电、气、水安全可靠供应，特别是保证医院、防疫站等重点单位的供应。部分公司还在疫情防控期间，推行居民用户采取欠费不停电、不停水措施等惠民政策，积极加大网上缴费、网上业务办理服务引导。东方电气、四川路桥、四川美丰等公司在春节期间多次召开专题会议，学习党中央、国务院关于新型冠状病毒感染的肺炎疫情防控的批示指示精神，并结合公司实际对疫情防控作出具体部署。O网页链接#直击抗击新型冠状病毒肺炎疫情#,,,,"资本市场同心抗疫,直击抗击新型冠状病毒肺炎疫情",3,2,11,2020-01-30 07:38,,"['http://ww1.sinaimg.cn/large/6875c818gy1gbe8soyzxoj20es09uwn7.jpg', 'http://ww3.sinaimg.cn/large/6875c818gy1gbe8so1tlpj20er09vaid.jpg', 'http://ww2.sinaimg.cn/large/6875c818gy1gbe8spep3uj20jg0jgacz.jpg']",,
4427429458397234,Ibvz3zevg,6307780622,短桩,"涓滴之水成海洋，颗颗爱心变希望。关注公益发展，人人都是主人公。来和小编一起看看上周的最新捐赠信息速递吧！新华保险向青岛万名环卫工人捐赠保额15亿元近日，新华保险关爱全国环卫工人大型公益行动走进青岛，新华人寿保险公益基金会向青岛市15004名环卫工人捐赠人身意外伤害保险，捐赠保额达15.004亿元。四川大学123周年校庆获得宜宾五粮液集团、中国农业银行等公司近一亿五千万元捐赠近日，在123周年校庆之际，四川大学获得了宜宾五粮液集团、中国农业银行、新尚集团、四川科伦药业股份有限公司以及川大校友共一亿五千万元的捐赠，用于支持川大人才培养和校园建设。库贝尔公司向延安捐赠价值7200万元的医疗设备近日，库贝尔生物科技股份有限公司联合北京健和公益基金会向延安捐赠54台移动体检车与相关设备，总值近7200万元，将为延安市基本公共卫生服务注入新的发展动力与活力。15家企业向中国华文教育基金会捐款3000万元9月29日，完美(中国)有限公司、菲律宾航空公司、经纬集团等15家企业向中国华文教育共向中国华文教育基金会捐款共计人民币3000万元。广东省天行健慈善基金会将帮扶英德市2500万元9月30日上午，广东省天行健慈善基金会向英德市捐赠25辆公共卫生服务用车，并表示未来五年每年帮扶英德市500万元用于医疗慈善项目，五年共计2500万元。企业、村民共同捐款1300万成立村级老年基金日前，浙江省宁波奉化区滕头村的企业经营者和村民捐款1307万元成立村老年基金，为村老年事业发展注入新动力。鸿星尔克向5省市捐赠1200万元助残物资10月10日，福建鸿星尔克体育用品有限公司通过残疾人福利基金会，向山东、甘肃、河北、湖北、天津等省市的残疾人福利基金会捐赠价值1200万元的助残物资。陕煤集团向汉阴县捐赠医疗扶贫项目资金1000万元9月29日，陕煤集团向汉阴县捐赠深度贫困地区医疗扶贫项目资金1000万元，用于汉阴县人民医院南区分院项目建设。22家浙江省属国企捐赠400万元携手助残10月9日晚，浙江省国资运营公司、物产中大集团等22家企业携手，为省残疾人事业爱心捐赠400万元，该笔善款将用于浙江残疾人的教育、康复、就业、文化等工作。深圳向察隅捐赠270万元医疗器械10月8日上午，深圳市医疗器械捐赠仪式在西藏自治区察隅县举行。本次共捐赠价值270万元的医疗器械，进一步加强察隅县基础医疗服务能力，提升基层卫生服务的医疗水平。杭州九旬老兵为家乡教育事业捐赠200万元在新中国成立70周年之际，杭州九旬老兵夏克同向浙江桐乡市濮院镇夏氏家族教育基金追加捐赠100万元人民币。此前，他曾在2015年捐赠100万元成立该教育基金，主要用于帮助困难学生、奖励濮院优秀学子和教师。河南理工大学校友捐赠110万元贺母校110周年华诞10月10日，在河南理工大学即将迎来建校110周年华诞之际，该校地勘82级校友、北京鑫源九鼎科技有限公司董事长马桂霞向母校捐赠110万元的捐赠仪式在该校举行。红河县举行""爱心教育金""捐赠仪式获得107万元善款日前，云南省戎合投资控股有限公司、云南京骏建筑工程有限公司等10家企业和无记名爱心人士向“红河县爱心教育基金”捐赠了107.5818万元，让每一位学子不因贫困而辍学失学。",,,,,3,0,4,2019-10-14 22:55,三星android智能手机,"['http://ww2.sinaimg.cn/large/006SSNT8ly1g7y4cq91nrj30hs0avq4h.jpg', 'http://ww1.sinaimg.cn/large/006SSNT8ly1g7y4cqnm9kj30hs0a3jrv.jpg', 'http://ww2.sinaimg.cn/large/006SSNT8ly1g7y4cqzqj8j30hs0akmya.jpg', 'http://ww4.sinaimg.cn/large/006SSNT8ly1g7y4crfs0xj30hs0bvaax.jpg', 'http://ww1.sinaimg.cn/large/006SSNT8ly1g7y4crzs50j30hs0blgm3.jpg', 'http://ww4.sinaimg.cn/large/006SSNT8ly1g7y4csqhmej30hs0bygme.jpg', 'http://ww4.sinaimg.cn/large/006SSNT8ly1g7y4ctggqqj30hs0c4gms.jpg', 'http://ww2.sinaimg.cn/large/006SSNT8ly1g7y4ctzwlmj30fb0a0dgo.jpg', 'http://ww1.sinaimg.cn/large/006SSNT8ly1g7y4cudau9j30hs0aht9s.jpg']",,
4362800472343760,HqlJ59PIA,5300969049,绵阳日报社,#绵阳新闻#【省五一劳动奖候选先进集体和个人名单出炉！绵阳有12人！】　4月19日记者从省总工会获悉，2019四川省五一劳动奖候选先进集体和先进个人出炉，这些单位、个人上榜，来看有你认识的吗？名单如下：　　四川省五一劳动奖状候选单位名单　　(共计50个）　　依米康科技集团股份有限公司　　中车成都机车车辆有限公司　　成都西部物联集团有限公司　　川南城际铁路有限责任公司　　四川威鹏电缆制造股份有限公司　　攀枝花技师学院　　攀枝花钢企米易白马球团有限公司　　泸州市公共交通集团有限公司　　泸州华储物流有限公司　　仟坤集团有限公司　　德阳市旌阳区卫生健康局　　四川美乐集团实业有限公司　　中国电子科技集团公司第九研究所　　国家税务总局广元市税务局　　广元市恒昌建筑工程有限公司　　遂宁市中心医院　　四川喜之郎食品有限公司　　四川梓橦宫药业股份有限公司　　国家税务总局内江市税务局　　国家税务总局乐山市税务局　　四川省峨眉山竹叶青茶业有限公司　　南充市中心医院　　四川省绿辰生态农业发展有限公司　　四川省长宁县双星建筑工程有限公司　　国网四川省电力公司宜宾供电公司　　国家税务总局广安市税务局　　四川科伦药业股份有限公司广安分公司　　达州市通川区扶贫开发局　　达州时代联运有限公司　　雅安市公安局　　国家税务总局巴中市税务局　　四川天仙食品有限公司　　四川灿光光电有限公司　　中国邮政储蓄银行股份有限公司眉山市分行　　资阳市飞龙电器有限责任公司　　乐至县人民医院　　四川川汇水电投资有限责任公司阿坝分公司　　甘孜藏族自治州康定蓝逸高原食品有限公司　　国家税务总局盐源县税务局　　四川省都江堰管理局　　四川省地质矿产勘查开发局区域地质调查队　　中国石油化工股份有限公司西南油气分公司勘探开发研究院　　中国石油天然气股份有限公司四川广安销售分公司　　四川中烟工业有限责任公司　　中铁建昆仑投资集团有限公司　　西南交通大学土木工程学院　　中电建水电开发集团有限公司　　中央储备粮眉山直属库有限公司　　国电大渡河流域水电开发有限公司龚嘴水力发电总厂　　华电四川发电有限公司内江发电厂　　四川省五一劳动奖章候选人名单　　（共计72名）　　马长东　四川空分设备（集团）有限公司冷箱车间职工　　蒋　敏　航空工业成都飞机工业（集团）有限责任公司党委副书记、总经理　　杨新宇　自贡硬质合金有限责任公司职工　　许小琴　女　华西能源工业股份有限公司工会主席　　亢秀山　中建三局成都分公司基础设施部攀枝花市政务服务中心项目总经理　　罗春丽　女，白族　攀枝花大互通钛业有限公司车间主任　　廖廷君　四川泸天化股份有限公司党委书记、董事长　　桑治均　泸州王氏集团有限责任公司厨师长　　唐　燕　女　四汇建设集团有限公司党委副书记、工会主席　　王学强　四川省运通化工有限公司机修工　　张永甫四川雪宝乳业集团有限公司操作机手　　熊建新四川六合特种金属材料股份有限公司董事长　　罗　军　广元市昭化区林业局技术员　　王咸举　广元万贯川陕甘五金机电建材城有限公司副总经理　　杨华斌　遂宁市总工会经济部长　　徐　川　天齐锂业（射洪）有限公司高级工程师　　徐　挺　内江金鸿曲轴有限公司副总经理　　薛　亮　四川羽玺新材料股份有限公司涂布机长　　胡　梅　女　峨眉山市总工会党组书记、常务副主席　　冷　阳　四川明达集团总裁　　罗世军　四川九天真空科技有限公司铣工、车工　　杨莹洁　女　南充市中医医院康复科主任　　童启建　芙蓉集团新维煤业公司生产部部长助理　　陈剑波　宜宾江湖汇生物科技有限公司总监　　陈　宇　女　广安市广安区东方小学校教师　　卢君梅　女　广安华讯电子有限公司职工　　张　睿　四川舞东风超市连锁股份有限公司董事长　　陆　星　达州市金恒机械有限责任公司设备维修组组长　　冯远国　达州市扶贫开发局局长　　李强军　四川农兴源农业开发有限责任公司职工　　乐武华　王老吉大健康产业(雅安）有限公司常务副总经理　　赖祥兵　巴中市华兴建筑有限公司砌筑工　　徐大雄　巴中市恩阳区第一人民医院副院长　　杨　旭　四川灿光光电有限公司工艺工程师　　徐　萍　女　国家税务局眉山市税务局党委书记、局长　　袁　春　女　安岳县邮政分公司岳阳镇网点负责人　　马鸿鹏　百威（四川）啤酒有限公司助理酿酒师　　甘　飞　羌族　中国人民银行阿坝藏族羌族自治州中心支行科长　　吴康军　藏族甘孜州扶贫开发局扶贫项目规划科科长　　陈刚庆　会理县人民医院主任医师　　邓智文　四川省测绘产品质量监督检验站职工　　李晓夏　女　四川省机关事务管理局离退休人员工作处处长　　程　强　四川省公路规划勘察设计研究院有限公司岩土工程一分院　总工程师　　向学辅土家族中国兵器装备集团自动化研究所有限公司特种产品事业部高级工程师　　鞠高德　中建二局第三建筑工程有限公司西南分公司党委书记、工会主席　　唐文春　四川省地质矿产勘查开发局化探队总工程师　　张昌兵　四川省草原科学研究院副主任　　刘　勇　国网四川省电力公司成都供电公司总经理　　王小兵　彝族　国网四川省电力公司喜德县供电分公司党建部副主任　　曾本金　四川省眉州监狱生产经营科科长　　牛　桥　四川省内江强制隔离戒毒所所政管理科科长　　喻云华　中国电信股份有限公司成都分公司党委书记、总经理　　薛彦军　中国水利水电第五工程局有限公司第二分局项目经理　　王玉梅　女　中国石油西南油气田公司蜀南气矿泸州采气作业区阳42井站站长　　李茂森　中石油川庆钻探工程公司钻井液技术服务公司页岩气项目经理部　技术负责人　　朱永繁　中国五冶集团有限公司党委副书记、董事、总经理　　阿西阿呷　女，彝族　中国铁路成都局集团有限公司成都客运段管内车队列车长　　王　刚　中铁二院工程集团有限责任公司党委副书记、工会主席、副总经理　　李学友　中铁二局第四工程有限公司职工　　杨晓刚　成都同新房地产开发有限公司党委书记、执行董事　　尹智勇　中铁二十三局集团第三工程有限公司党委书记、执行董事　　申泽宇　成都航空有限公司飞行教员　　康彬中国工程物理研究院化工材料研究所研究员　　周　红　女　甘孜州烟草公司理塘分公司副局长　　刘玉福　四川省第十一建筑有限公司项目工长　　郭　勇　四川路桥桥梁工程有限责任公司项目经理　　金　琰　女　中铁城市发展投资集团有限公司投资开发部副部长　　黄文刚　四川旅游学院烹饪与食品实验管理中心主任　　王　诚　四川省能源投资集团有限责任公司党委副书记、副董事长、总经理　　李亚军四川省绵阳市丰谷酒业有限责任公司职工　　蹇万祥　雅砻江流域水电开发有限公司官地水力发电厂检修部机械班班长　　华　超　四川凉山水洛河电力开发有限公司发电运行部运维副班长兼技术员　　四川省工人先锋号候选集体名单　　（共计80个）　　成都前锋电子电器集团股份有限公司制造部　　中国电子科技集团第十研究所微组装班组　　国家税务总局成都市武侯区税务局第一税务所　　成都市双流区总工会职工服务中心　　国家税务总局自贡市税务局稽查局　　四川升拓检测技术股份有限公司升拓检测工程质量无损检测创业团队　　川煤（集团）攀煤公司花山煤矿掘进一队谌民军班组　　国家税务总局攀枝花市东区税务局第一税务分局　　中交第二公路工程局有限公司合江长江公路大桥项目经理部　　泸州泓江电解设备有限公司一车间　　四川琪达实业集团有限公司技术研发中心　　什邡市人民医院急诊科　　华润雪花啤酒（绵阳）有限责任公司物流部叉车班　　绵阳市公安局交通警察支队直属三大队　　国家税务总局平武县税务局第二税务分局　　苍溪港华燃气有限公司客户服务部　　华电四川发电有限公司宝珠寺水力发电厂发电部宝站ON-CALL一班　　国家税务总局射洪县税务局第二税务分局　　四川英创力电子科技股份有限公司钻孔车间　　四川省川威集团有限公司大高炉主控室　　国网四川省电力公司内江市供电公司金鹅供电所　　四川省安德盖姆石墨烯科技有限公司研发生产中心　　四川德胜集团水泥有限公司生产部预维室（电仪）　　国网四川省电力公司南充市高坪供电分公司松林供电所　　四川张飞牛肉有限公司常温食品生产车间　　宜宾五粮液集团公司505车间3-13组　　筠连三鼎天然气有限责任公司客户服务部　　四川省广安市航瑞纸品包装有限公司设备科　　广安市公安局广安区分局特巡警大队　　国网四川省电力公司达州市新桥供电分公司配电运检班　　四川省达州钢铁集团有限责任公司钢轧厂连铸工段　　雅安市人民医院医保科　　国网四川雅安电力（集团）股份有限公司雨城供电公司雅安供电营业厅　　四川吉地机械有限责任公司二车间　　四川七彩林科股份有限公司产业发展部　　四川同凯能源科技发展有限公司电气班组　　中建钢构有限公司西部大区二车间　　四川鑫统领新材料有限公司技术中心　　安岳县柠都自来水有限责任公司二次供水管理站　　百威（四川）啤酒有限公司包装部B8班　　阿坝铝厂动力车间高压维修班　　四川岷江水利电力股份有限公司都江堰供电分公司杨柳坪集控站　　甘孜县康巴拉绿色食品有限公司深加工车间　　甘孜藏族自治州公路管理局石渠分局海子山养护管理站　　四川省烟草公司凉山州公司专卖稽查支队特勤大队　　四川安宁电力股份有限公司发电分公司观音岩电站运行五班　　核工业西南建设集团有限公司西藏山南项目经理部　　四川川东高速公路有限责任公司华蓥收费站　　中国航发四川燃气涡轮研究院强度技术研究室　　中国建筑材料工业地质勘查中心四川总队第三工程项目部　　国网四川省电力公司宜宾供电公司检修分公司变电二次班　　四川航空汉莎食品有限公司品控部　　中国移动通信集团四川有限公司遂宁分公司重要客户中心　　中国邮政储蓄银行股份有限公司达州市分行开江县支行　　中国水电七局华东院雅砻江杨房沟水电站设计施工总承包项目部地厂工区　　中国水电十局六分局锦城广场综合换乘服务中心项目经理部　　中国石油西南油气田公司成都汽车服务中心运行一队　　中国石油集团川庆钻探工程有限公司川西钻探公司80002钻井队　　中国铁路成都局集团有限公司成都供电段青白江供电车间成都北电力运行工区　　中铁二局第五工程有限公司拉林铁路项目部　　成都双流国际机场股份有限公司候管中心现场问讯“心悦”班组　　四川航空股份有限公司飞行部飞行三大队三中队第一班组　　中国国际航空股份有限公司西南分公司客舱服务部乘务员管理三部　　中国东方航空技术公司四川分公司航线维修车间　　中国科学院光电技术研究所嫦娥四号地形地貌相机团队　　四川省工业设备安装公司重庆江北国际机场东航站区及第三跑道工程项目　　四川泸州川南发电有限责任公司设备维修部　　四川公路桥梁建设集团有限公司公路隧道分公司攀大高速公路项目经理　　部TJ8分部　四川省人民政府金牛宾馆餐饮部宴会组　　四川省机械研究设计院电子技术应用研究所　　二重（德阳）重型装备有限公司重机公司重机厂装配工段　　国电大渡河大岗山水电开发有限公司运行维护处　　中国人民银行成都分行营业管理部彭州市支行　　中国银行股份有限公司成都蜀都大道支行营业部　　中国农业银行股份有限公司大邑县支行营业部　　中国工商银行股份有限公司绵阳分行营业室　　中国农业发展银行渠县支行　　凉山农村商业银行股份有限公司个人业务部　　中国人民财产保险股份有限公司泸州市分公司江阳支公司　　中国人寿保险股份有限公司四川省广安市分公司武胜支公司　　（记者　郝勇）　　来源：川报观察,,,,绵阳新闻,0,0,2,2019-04-19 14:42,微博 weibo.com,['http://ww3.sinaimg.cn/large/005MKkcNgy1g27xthdmlxj30b408c40q.jpg'],,
4333375709659990,He0fMEx0i,3363252040,四川省扶贫开发局,【古蔺在蓉推介乡村振兴现场认购四川扶贫产品马蹄甜橙1200件】昨(26)日下午，四川省古蔺县在成都举行“古彝源地-甜橙之乡”古蔺县马蹄镇2019年(成都)乡村振兴产业推介暨在蓉乡贤创业发展年会。人民日报社四川分社社长林治波出席并向古蔺县马蹄镇赠字寄语：“马蹄声疾，彝源振兴”。四川省委老干部局原一级巡视员、省书协原副主席徐德松为多名马蹄在蓉乡贤发起组建的“成都马蹄彝源汇蓉商贸有限公司(筹)”赠送题字，四川省发改委原副巡视员祁承立为公司授牌。四川省农业农村厅二级巡视员张履平出席讲话。古蔺县委副书记谭周华致祝酒词，古蔺县委常委、副县长李笑寒致欢迎词，古蔺县马蹄镇党委书记何继端作乡村振兴产业推介。据悉，近年来，古蔺县委、县政府立足干热河谷自然禀赋，全力打造百亿特色水果产业，取得显著成效。特别是马蹄镇万亩甜橙产业，示范带动古蔺甜橙大发展，建成赤水河段规模最大、品质最优的甜橙现代产业基地，为农民增收、产业扶贫、乡村振兴做出重要贡献，成为全省特色产业助推脱贫攻坚的示范样板。会上，古蔺县马蹄镇人民政府分别向省汶川地震灾区重建基金会、成都市锦江区东光街道、四川科伦药业股份有限公司、成都古蔺商会致感谢信。省灾后重建促进会、四川战旗乡村振兴研究院等单位与古蔺县马蹄镇政府签订脱贫攻坚和乡村振兴战略合作框架协议。会议举行四川省汶川地震灾区重建基金会为古蔺县马蹄镇纳盘村捐赠20万元建设文化广场仪式。近年来，省汶川地震灾区重建基金会累计向马蹄镇捐赠价值20余万元的教育教学设施，价值7.2万元的优质核桃苗7000余株，为近10名贫困大学生每人提供5000元的助学金。会议还举行了四川扶贫产品---蔺州马蹄甜橙爱心认购。四川炎黄盛世酒店管理公司、四川嘉臻企业管理有限公司、四川中科海慧环境科技有限公司、成都古蔺商会、成都青花世家酒业有限公司、四川长俊人力资源管理有限公司、四川诗和远方文化品牌管理有限公司、四川品的智能设备有限公司、成都烨华建设工程有限公司、四川龙翔伟业新能源科技有限公司、四川仁仁购商贸有限公司、四川久加玖商贸有限责任公司共计认购马蹄甜橙1200件。本次认购所得收入，由马蹄镇政府扣除成本，设立专用账户管理，全额用于马蹄镇孤寡老人、留守儿童等群体的帮扶。本次活动由古蔺县马蹄镇党委、镇政府，成都市锦江区东光街道党工委、办事处联合主办，成都马蹄彝源汇蓉商贸有限公司(筹)、古蔺县马蹄镇在蓉乡贤创业发展促进会、古蔺县马蹄甜橙专业合作社承办。,,,,,0,0,0,2019-01-28 09:59,微博 weibo.com,"['http://ww3.sinaimg.cn/large/c8772748gy1fzm2fms82oj20hs0aw0u0.jpg', 'http://ww3.sinaimg.cn/large/c8772748gy1fzm2fnr7zzj20jg0cuq9x.jpg', 'http://ww3.sinaimg.cn/large/c8772748gy1fzm2fogez6j20jg0c3n42.jpg']",,
4326863831201889,HbgQL52Fj,3847863434,四川煤田,全省1.1万个两新组织参与“两新联万村·党建助振兴”行动2018年岁末，省医院协会与青川县就人才培训、中医药适宜技术指导等达成帮扶协议，将对青川县医疗卫生事业的发展搭建更好平台。类似的牵手，在过去半年里屡见不鲜。2018年8月，我省启动实施“两新联万村·党建助振兴”行动，在全省统筹组织非公企业和社会组织党组织与贫困村、幸福美丽新村党组织联系帮扶和结对共建，积极引导社会力量参与脱贫攻坚和助力乡村振兴。截至目前，全省共有1.1万个两新组织参与行动，累计开展相关活动4200多场次，签订合作协议6400多个。整合双重资源探索两新组织服务大局的现实路径近日，再次走进广元市昭化区黄龙乡，记者看到不少村的聚居点，都添置了崭新的健身器材。黄龙乡党委书记李磊介绍，这是省资产评估行业党委与该乡“联姻”后购置的设备。不止添置硬件设备，思路的豁然开朗更让李磊受益匪浅。“资源要整合、资产要盘活，老百姓才能有收益、得实惠。”在省资产评估行业党委的帮助下，村里集体资产管理公司已在成员界定、股权量化等方面进行了规范。“两新联万村·党建助振兴”行动启动后，省委两新工委通过党组织的政治引领，积极引导全省两新组织围绕产业、教育、文化、生态、志愿扶贫等脱贫攻坚重点领域，聚焦乡村产业、人才、文化、生态、组织振兴“五个振兴”，突出开展规划设计、龙头企业、电商企业等10个乡村行。各行各业两新组织积极响应。省工商联直属商协会联合党委、川联农业产业化龙头企业协会党支部、川商总会党支部协同制定“龙头企业乡村行”实施方案和年度计划；文化和旅游厅社会组织联合党委集中组织20多户文旅文创企业下乡参与抢救保护乡村优秀文化遗产，参与传统古村落保护和乡村旅游特色村寨建设，投资开发精品文化遗产旅游景区、景点和线路；省住建厅社会组织联合党委牵头，统筹组织规划、勘察、设计等专业社会组织和企业，引导建筑、园林、景观等设计大师和优秀团队下乡开展服务……省社会主义学院副教授颜旭认为，实施乡村振兴战略光靠农民自身的力量不行，光靠农村自己的资源也不够，需要大量的现代资源要素投入。两新组织拥有富集的社会资本、社会资源和优秀人才，是助力乡村振兴和脱贫攻坚的重要力量。“该行动把两头的资源有效整合起来，是探索两新组织服务大局的现实路径”。推动合作共赢为脱贫攻坚和乡村振兴注入力量从去年开始，四川科伦药业等10家两新组织党组织有了一个新身份：乡村振兴“合伙人”。“两新联万村·党建助振兴”行动中，党组织是联结两新组织与乡村组织的桥梁和纽带，其组织能力如何直接关系行动能否有效实施。通过党组织来动员两新组织、统筹各方资源，采取党委政府搭台、两新组织唱戏的方式，是此次行动的一大亮点。以巴中为例，该市采取“一收二推三联”方式，共收集供需信息1300余条、梳理供需清单830余条，通过党组织的信息交换和精准对接，成功实现980个两新组织与1000余个村项目合作。宜宾市翠屏区明威镇燕山村村民尝到了甜头。在行动中，省茶业集团股份公司主动对接该村，流转200亩土地，建起1个川茶天府龙芽产业基地和1个生态茶园景点，积极培养乡村致富能手，解决了茶叶种植、科技、研发、销售等系列问题。广元曾家山的高山绿色蔬菜有一定知名度，但品种、规模、品质有待提升。近半年来，省植物保护学会、省农科院植保所的技术人员进驻设在当地龙头企业内的工作站，为当地群众提供农业科技服务。广元市科协学会部负责人杨清龙认为，专家和技术人员的定期培训为当地提供了有力的人才支撑，在一定程度上推动了乡村人才的振兴。深度合作也为两新组织的发展带来新机遇。四川中泰果润农业科技有限公司党支部书记陈建宏介绍，从2016年以来，公司一直流转不到合适的土地继续扩大生产规模。通过参与行动，在通江县向家营村流转到了土地，“规划发展现代农业观光产业园3000余亩，预计将使园区群众实现户均增收5000-8000元”。用好政策红利实现共赢。省委两新工委相关负责人表示，通过帮扶合作项目的深入实施，必将促进参与的两新组织不断发展壮大，并影响带动更多社会力量参与到行动中来。我省将建立跟踪推进反馈制度，确保签订合作协议落地落实。（记者林凌）转自：四川省人民政府网,,,,,0,0,0,2019-01-10 10:43,微博 weibo.com,,,
4293228104137071,GD7hUhmeX,6072087012,滨州市中小企业服务中心,重庆市奉节县到高新区进行劳务扶贫对接考察工作为做好东西部扶贫协作和对口支援工作，推动我市和重庆市奉节县劳务扶贫协作全面开展，9月29日上午，奉节县人民政府考察组到高新区实地考察。考察组首先来到愉悦家纺，对居家世博展进行实地参观考察。东西部扶贫协作和对口支援，是推动东西部合作市区域合作、优化产业布局、拓展对内对外开放新空间的大布局，是打赢脱贫攻坚战、实现先富帮后富、最终实现共同富裕目标的大举措。高新区把与重庆奉节的对接、解决奉节县建档立卡贫困人口稳定就业作为帮扶的重要内容，动员愉悦家纺、科伦药业等规模大、待遇优的企业提供就业机会，汇总用工信息，为实现人岗对接，稳定就业做好保障。下一步高新区将组织企业赴重庆举行劳务对接，使扶贫协作工作更富实效。,,,,,0,0,0,2018-10-09 15:06,360安全浏览器,"['http://ww2.sinaimg.cn/large/006CVRdily1fw1zjeoqeyj30m80et4m4.jpg', 'http://ww2.sinaimg.cn/large/006CVRdily1fw1zjj9vl0j30m80etnfe.jpg', 'http://ww3.sinaimg.cn/large/006CVRdily1fw1zjoipzuj30m80etnde.jpg']",,
4222147955724602,G9iavo1ei,1308182542,秦名芳,发表了博文《图片新闻》图片新闻在线荐稿记者博客联系记者3月23日，汤阴县人社局借助古贤镇庙会人流量比较集中的特点，在镇政府门口举办了“就业扶贫‘送岗位、送政策、送技能、送服务’专场招聘会”。科伦药业、O图片新闻,,,,,0,0,0,2018-03-27 11:39,新浪博客,,,
4102009168999050,F0QgABL3Y,1245919970,刘伟鹏的股市分享,#股票投资说#李大霄说过：买公司就是买董事长。——我觉得说的很对，你敢重仓的公司背后，有没有一个伟大灵魂在支撑非常重要。许多人以为信仰，信念，百折不挠这种东西是虚无缥缈的，我从来就不这么认为，人类如果没有这种伟大的精神做支撑，就不能称之为万物灵长。,,,,股票投资说,5,13,5,2017-04-29 23:11,微博 weibo.com,,,
4102013790653925,F0Qo32K7b,1245919970,刘伟鹏的股市分享,科伦药业董事长刘革新，那种向死而生的气魄，那种地地道道的书生气，还有科伦这个名字的由来——科学求真，伦理求善，不由得心生敬佩。奥瑞金的财报里充满了正确的世界观，这也让我好生佩服，许多公司一讲社会责任就是捐赠啊，扶贫啊，企业最重要的社会责任首先是要处理好股东、员工、社会各相关方利益,,,,,1,1,4,2017-04-29 23:29,微博 weibo.com,,,4102009168999050
4025358548919789,EaDGSBqrz,2672367144,腾冲新闻网,四川科伦药业帮扶北海卫生院9月29日，由四川科伦药业股份有限公司帮扶北海乡卫生院的200万元扶贫基金捐赠仪式在北海乡卫生院举行。保山市委常委、腾冲市委书记杨正晓，四川科伦药业股份有限公司总监李媛出席捐赠仪式并讲话。市委常委、市委办主任刘世伦主持捐赠仪式；市政协副主席伯绍勤、科伦药业生物公司总经理吴绍良出席捐赠仪式。据介绍，此次四川科伦药业捐赠的200万元扶贫基金，将用于北海乡卫生院完善基础设施建设、建盖卫生医疗用房。（邵华、秦飞）,,,,,0,0,0,2016-09-30 10:48,微博 weibo.com,,,
