id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4537839633307894,JfSnFdSx8,6716480661,崇义新闻,【市总工会到我县开展“六稳”“六保”专题调研暨送清凉活动】8月12日上午，市总工会党组成员、经审会主任何敏一行到我县开展“六稳”“六保”专题调研暨送清凉活动。县领导汤名东陪同。何敏一行先后到县章源钨业股份有限公司、县“阳明寨”景区产业扶贫综合体项目工程建设工地，通过走进企业O市总工会到我县开展“六稳”“六保”专题调研暨送清凉活动,,,,,0,0,0,2020-08-14 15:05,微博 weibo.com,,,
4279047695009818,Gxaohl1hw,3503060957,上犹发布,#上犹融媒体新闻#【爱在黄埠，感恩前行-上犹县黄埠镇开展捐资助学】8月30日，黄埠镇在该镇传习所举行2018＂爱在黄埠，感恩前行＂捐资助学仪式。在捐赠仪式上，由市政府办公厅等八家市县帮扶机关单位和工业园区黄埠镇联企精准扶贫基金会、崇义章源钨业股份有限公司等八家县内外爱心企业和爱心人士共同捐资145100元。并为今年考取大学的79名黄埠学子发放捐赠助学金，共计55800元，所节余的善款还将用于精准帮扶、扶贫济困上，资助和鼓励更多莘莘学子学习成才。受到此次资助的同学们表示，要把今天爱心化作自强不息、奋发学习的动力，努力学习、刻苦钻研，学有所成，将来回报社会。,,,,上犹融媒体新闻,0,0,1,2018-08-31 11:58,专业版微博,"['http://ww4.sinaimg.cn/large/d0cc77ddgy1fusqy4xrayj20i40cy1am.jpg', 'http://ww1.sinaimg.cn/large/d0cc77ddgy1fusqy50njuj20i40d41b5.jpg', 'http://ww2.sinaimg.cn/large/d0cc77ddgy1fusqy4yf7yj20in0agdwe.jpg']",,
4275407312041986,GvDGH8zdg,5680217223,夢想家黄穎斌,短短三天的回乡活动，感受到家乡满满的热情，感谢县委县政府、章源钨业、电商创业孵化园和君子谷的盛情款待！“百企帮百村”产业扶贫、爱心助学只是一个开始，未来的路任重而道远，这也是商会的责任和担当。凝聚商会力量，大家齐心协力，为家乡为社会贡献自己的一份力量。,,赣州,,,0,0,0,2018-08-21 10:53,iPhone X,"['http://ww3.sinaimg.cn/large/006cpBYPgy1fuh4uwoql2j31lb2dyqv9.jpg', 'http://ww4.sinaimg.cn/large/006cpBYPgy1fufxcvtnkoj32io1ogx6u.jpg', 'http://ww4.sinaimg.cn/large/006cpBYPgy1fufxci7eb1j30zl0qo14d.jpg', 'http://ww1.sinaimg.cn/large/006cpBYPgy1fufxcok8fhj30qo0zkwtl.jpg', 'http://ww1.sinaimg.cn/large/006cpBYPgy1fufxcs39hkj33402c0u15.jpg', 'http://ww4.sinaimg.cn/large/006cpBYPgy1fufxczmiq5j33151yau12.jpg', 'http://ww3.sinaimg.cn/large/006cpBYPgy1fufxcngtwgj312y0pz7wh.jpg', 'http://ww2.sinaimg.cn/large/006cpBYPgy1fufxd11mnzj31400qogym.jpg', 'http://ww2.sinaimg.cn/large/006cpBYPgy1fufxclezhqj32ow1slqvb.jpg']",,
3966724824752064,DrZOGjWec,3985204085,深海爱人情太深_宸,※国常会开展交通基础设施扶贫利好交通东方航空※发改委印发石漠化治理“十三五”规划利好石漠化蒙草抗旱※收储和限产双重推动钨价持续上涨利好钨矿章源钨业上证指数sh000001创业板指sz399006#今日看盘##微博股票#,,,,"今日看盘,微博股票",0,0,14,2016-04-21 15:39,微博 weibo.com,,,
3966635338996379,DrXulBKmT,1776830283,同花顺,【4月21日机会情报】1.国常会部署交通基础设施扶贫，钢市前景持续向好2.中国首个区块链联盟成立，关注御银股份、飞天诚信3.收储和限产双重推动，关注章源钨业、中钨高新4.稀土市场价格坚挺，关注盛和资源、厦门钨业5.法国太阳能装机量大增，关注阳光电源、隆基股份6.扬子新材被永达汽车集团120亿元借壳7.兰州黄河获民营房企鑫远集团30亿元借壳8.申科股份21亿元收购数字营销公司，实控人变更9.腾信股份近4亿全控瀚天星河广告10.云海金属半年度业绩暴增11.神剑股份高送转O4月21日同花顺早间机会情报汇总,,,,,0,5,5,2016-04-21 09:43,微博 weibo.com,,,
3966630675630576,DrXmPnCLK,3736163480,A欧束国际洁妹1209,盘前热点个股题材概念前瞻1、国常会部署交通基础设施扶贫钢市前景持续向好，钨相关股：章源钨业(002378)、中钨高新(000657)、厦门钨业(600549)、稀土相关股：盛和资源(600392)、北方稀土(600111)、中科三环(000970),,,,,1,0,0,2016-04-21 09:25,微博 weibo.com,,,
3966630658836177,DrXmNB4GZ,3741206981,个股诊断-现货喊单,盘前热点个股题材概念前瞻1、国常会部署交通基础设施扶贫钢市前景持续向好，钨相关股：章源钨业(002378)、中钨高新(000657)、厦门钨业(600549)、稀土相关股：盛和资源(600392)、北方稀土(600111)、中科三环(000970),,,,,0,0,0,2016-04-21 09:25,微博 weibo.com,,,
3966630608724352,DrXmIABBm,5144870332,5144870332_695,盘前热点个股题材概念前瞻1、国常会部署交通基础设施扶贫钢市前景持续向好，钨相关股：章源钨业(002378)、中钨高新(000657)、厦门钨业(600549)、稀土相关股：盛和资源(600392)、北方稀土(600111)、中科三环(000970),,,,,1,0,0,2016-04-21 09:24,搜狗高速浏览器,,,
3966621196160164,DrX7xpQxu,5722546259,股世浮沉, ※国常会开展交通基础设施扶贫利好交通东方航空※发改委印发石漠化治理“十三五”规划利好石漠化蒙草抗旱※收储和限产双重推动钨价持续上涨利好钨矿章源钨业,,,,,0,0,0,2016-04-21 08:47,小米手机4c,,,
3966588292627934,DrWgtb1E2,5865659509,陆家嘴亚叔,○媒体称发改委或加强棉花市场调控，稳定预期○中国加快互联网金融统计检测和风险预警体系建设○国常会开展交通基础设施扶贫○稀土市场价格坚挺，生产商惜售看涨○收储和限产双重推动，钨价持续上涨钨概念股：章源钨业、中钨高新、厦门钨业、洛阳钼业......,,,,,0,0,0,2016-04-21 06:36,360安全浏览器,,,
