id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4545115505558587,JiVEWnk2D,2603210451,成都红旗连锁股份有限公司,"2020年是脱贫攻坚决战决胜之年，凉山州目前尚有昭觉、美姑等县还未摘帽脱贫。近日，红旗连锁积极响应决胜脱贫攻坚号召,深入凉山州昭觉县等地开展产销对接，通过产业精准扶贫带动当地农户脱贫增收。目前首批11吨爱心土豆已在红旗连锁近百家门店进行销售，广大市民可前往附近红旗超市进行选购。此次红旗连锁专门派出生鲜等采购团队先后前往凉山州昭觉县洒拉地破乡拢恩以打村和普格县红莫依达村进行深入考察、开展产销对接。下一步，红旗连锁将加大与当地应季农特产品及深加工产品对接，提供良好销售渠道，助力凉山州脱贫攻坚，同时也让广大市民购买到新鲜、绿色、实惠的优质产品。",,,,,8,0,20,2020-09-03 16:57,微博 weibo.com,"['http://ww4.sinaimg.cn/large/9b29d6d3gy1gidkei9fq8j21400u010c.jpg', 'http://ww3.sinaimg.cn/large/9b29d6d3gy1gidkek4otdj20m70etac1.jpg']",,
4542930742673888,Ji0P8bdBe,3422616782,广汉融媒,【#四川发布微直播#丨四川扶贫产品在哪买？答案来了！】今（28）日，省政府新闻办召开四川省消费扶贫月活动新闻发布会，会上省商务厅党组成员、副厅长佘骥介绍到，购买四川扶贫产品的渠道很多，一方面，消费者可以在成都农产品中心批发市场、红旗连锁、沃尔玛等市场、商超的“四川扶贫”产品专区，在高速服务区设立的扶贫产品销售专柜，在成都东客站设立的扶贫产品直销店，在双流机场设立的扶贫产品体验店等购买“四川扶贫”产品；另一方面，消费者可以在京东、阿里、天虎云商、供销e家的线上专区，通过线上直接采购“四川扶贫”产品。@四川发布O网页链接,,,四川发布,四川发布微直播,0,0,0,2020-08-28 16:15,微博 weibo.com,['http://ww2.sinaimg.cn/large/cc00fccegy1gi6lhbma1rj20j60d141b.jpg'],,
4542920641753395,Ji0yQ7m8z,5613396032,成都手机报,【#四川#丨四川扶贫产品在哪买？答案来了！】今（28）日，省政府新闻办召开四川省消费扶贫月活动新闻发布会，会上省商务厅党组成员、副厅长佘骥介绍到，购买四川扶贫产品的渠道很多，一方面，消费者可以在成都农产品中心批发市场、红旗连锁、沃尔玛等市场、商超的“四川扶贫”产品专区，在高速服务区设立的扶贫产品销售专柜，在成都东客站设立的扶贫产品直销店，在双流机场设立的扶贫产品体验店等购买“四川扶贫”产品；另一方面，消费者可以在京东、阿里、天虎云商、供销e家的线上专区，通过线上直接采购“四川扶贫”产品。,,,,四川,0,0,0,2020-08-28 15:35,搜狗高速浏览器,['http://ww3.sinaimg.cn/large/0067TeJGgy1gi6kc7mkx9j30m80m8q86.jpg'],,
4542914997264432,Ji0pJutOg,3446746724,金堂服务,【#四川发布微直播#丨四川扶贫产品在哪买？答案来了！】今（28）日，省政府新闻办召开四川省消费扶贫月活动新闻发布会，会上省商务厅党组成员、副厅长佘骥介绍到，购买四川扶贫产品的渠道很多，一方面，消费者可以在成都农产品中心批发市场、红旗连锁、沃尔玛等市场、商超的“四川扶贫”产品专区，在高速服务区设立的扶贫产品销售专柜，在成都东客站设立的扶贫产品直销店，在双流机场设立的扶贫产品体验店等购买“四川扶贫”产品；另一方面，消费者可以在京东、阿里、天虎云商、供销e家的线上专区，通过线上直接采购“四川扶贫”产品。,,,,四川发布微直播,0,0,0,2020-08-28 15:13,UC浏览器电脑版,['http://ww3.sinaimg.cn/large/cd712e64gy1gi6jowkq3aj20j60eewus.jpg'],,
4542914167048997,Ji0ootzLv,1905843503,四川发布,【#四川发布微直播#丨四川扶贫产品在哪买？答案来了！】今（28）日，省政府新闻办召开四川省消费扶贫月活动新闻发布会，会上省商务厅党组成员、副厅长佘骥介绍到，购买四川扶贫产品的渠道很多，一方面，消费者可以在成都农产品中心批发市场、红旗连锁、沃尔玛等市场、商超的“四川扶贫”产品专区，在高速服务区设立的扶贫产品销售专柜，在成都东客站设立的扶贫产品直销店，在双流机场设立的扶贫产品体验店等购买“四川扶贫”产品；另一方面，消费者可以在京东、阿里、天虎云商、供销e家的线上专区，通过线上直接采购“四川扶贫”产品。O网页链接,,,,四川发布微直播,3,0,2,2020-08-28 15:10,微博 weibo.com,['http://ww1.sinaimg.cn/large/7198dd2fgy1gi6kezbvv8j20sh0jd4qp.jpg'],,
4517486311624932,J7kTJ6OIA,3363252040,四川省扶贫开发局,【四川公示“中华慈善奖”拟推荐候选对象（附名单）】18日从四川省民政厅获悉，经各市（州）民政部门和省级有关单位推荐，四川省民政厅按照民政部总体部署，根据《民政部关于开展第十一届“中华慈善奖”评选表彰活动的通知》《“中华慈善奖”评选表彰办法》和《四川省民政厅关于开展第十一届“中华慈善奖”推荐工作的通知》《四川省民政厅关于调整第十一届“中华慈善奖”推荐工作有关安排的通知》的规定，通过广泛动员、各地各单位推荐、初步审核、专家评审、征求意见等环节，先后分两批开展评审。拟向民政部推荐曹世如等8人为第十一届“中华慈善奖”慈善楷模，蓝光教育扶贫工程等5个项目为慈善项目，泸州老窖集团有限公司等4个企业为捐赠企业，耿福能等2人为捐赠个人，现按照有关规定予以公示，公示时间2020年6月18日-6月24日。如有意见请在公示期间前向民政厅反映，联系电话：028-84423057、84423058。“中华慈善奖”拟推荐对象名单一、首次推荐对象名单（一）慈善楷模（5名）曹世如成都红旗连锁股份有限公司党委书记、董事长、总经理刘永好新希望集团有限公司董事长李婷华成都市公安局成华区分局政治处副主任罗耀奎宜宾市春苗公益助学中心理事长陈宏四川省扶贫基金会党支部书记、副理事长兼秘书长（二）慈善项目（5个）蓝光教育扶贫工程（四川成都蓝光助学基金会）四川省慈善总会.诚至诚精准扶贫项目（四川省慈善总会）童伴计划（共青团四川省委）遂宁市健康扶贫三大工程（天齐锂业股份有限公司）成都市武侯区慈善惠民超市（成都市武侯区慈善会）（三）捐赠企业（1个）泸州老窖集团有限公司二、补充推荐对象名单（一）慈善楷模（3个、名）四川欣鑫党员抗疫志愿服务队（四川省欣鑫慈善基金会）袁丁（公安厅人事处一级主任科员）李敏（四川省红十字基金会秘书长助理、项目总监）（二）捐赠企业（3个）四川五粮液集团有限公司四川美丰化工股份有限公司四川鸿山实业集团有限公司（三）捐赠个人（2名）耿福能好医生药业集团有限公司董事长黄明良四川星慧集团、成都华神科技集团公司董事长来源：川报观察,,,,,0,0,0,2020-06-19 11:08,UC浏览器电脑版,,,
4503808355461545,J1B4vmUNr,3951955668,美丽中华行栏目,"【四川扶贫开发协会民营企业会员社会扶贫现场经验交流会在成都召开，媒体加盟助力四川扶贫】#美丽中华行新媒体#5月11日上午,四川省扶贫开发协会召开民营企业会员社会扶贫现场经验交流会，省扶贫开发协会会长傅志康、省扶贫开发协会副会长王正洪、省协会首席企业管理专家梁勤、省社科院研究员廖海亚等负责人出席会议并讲话。傅志康会长在会上发表讲话。他指出，此次召开现场交流会的目的，就是要总结经验，增添措施，为我会的民营企业会员高质量发展和社会扶贫加油鼓劲，努力实现壮大企业实力和彰显扶贫成效双丰收。同时傅志康会长指出，今年是打赢脱贫攻坚战的决胜之年。各会员企业在经历新冠疫情和经济滑坡的双重压力下，一边组织有序复工复产，帮助贫困地区解决农产品滞销问题，一边伸明大义，为防疫前线捐款捐物，展现了会员企业的责任与担当。针对下一步工作，傅志康表示，坚持用好用活政策与遵章守纪及合法经营相结合、坚持经济效益与社会效益相结合、坚持占领市场与开拓市场相结合、坚持独辟蹊径与抱团发展相结合、坚持特惠救助与普惠扶持相结合、坚持授人以鱼与授人以渔相结合等“六个方面”，转危为机、乘势而上，努力实现壮大企业实力和彰显扶贫成效双丰收。最后，傅志康代表四川省扶贫开发协会系统进行郑重工作承诺：是当好政府和企业的桥梁、纽带，既传达党和政府的政策，又及时反馈会员企业的心声，为会员企业鼓与呼，积极争取有利于会员企业发展的政务环境；二是上下沟通，多方协调，在授权会员企业赠款物税前扣除等一系列优惠政策切实落地，为会员企业排忧解难；三是牵线搭桥，当好红娘，积极促成具备条件的会员企业抱团发展，发挥集团优势；四是切实为会员企业提供服务保障，定期召开市场形式分析会、经济法律知识讲座、中小企业市场操作实务培训，并通过举办“四川扶贫”商标产品展销和推广活动，搭建平台，实现消费扶贫和企业发展双赢；五是坚持先予后取，决不竭泽而渔，坚持一切公益扶贫活动自主自愿，决不强行摊派，决不要求会员企业承担超出自身能力的社会义务；六是致力于建立亲清的政商关系，决不允许任何人通过协会平台谋取私利。据了解，2019年以来，四川省扶贫开发协会围绕省委、省政府的决策部署，积极组织和引进社会资源，投入精准扶贫、精准脱贫主战场，各会员企业积极响应，踊跃捐款捐物，主动服务深度贫困地区“两不愁三保障”，对标补短不遗余力。全省协会系统募集资金、物资4.07亿元，建成了一批解决群众生产、生活困难的公益扶贫项目，产生了良好的社会效益、经济效益和政治效益。四川省扶贫开发协会被授予四川省“慈善工作团体奖”。交流中，盛元阳光环保科技有限公司胡寿明董事长、成都红旗连锁股份有限公司牛灏总监、四川和海新农业文化旅游发展有限公司唐博董事长、成都宝丰天源农业开发有限公司靖松总经理等发表讲话，对各自企业作了详细的介绍，并就如何在目前的市场状况下，提高社会服务能力，为四川经济发展贡献力量。会上《美丽中华行》新媒体总监王海鹏也介绍了公益直播的经验：2020年5月1日起，由《美丽中华行》栏目组、水滴公益、四川省扶贫基金会、荥经县林氏黑砂文化传播有限公司等单位共同主办的国家非遗荥经黑砂开窑大典，火舞窑红公益直播100件专场烧制活动在林窑•雅烧炭烧基地举行，此次直播由荥经非遗传承人雅烧堂主林萍主持，开窑所出的产品在美丽中华行快手小店出售，五一期间每一次购买将有10元爱心款捐赠给四川省扶贫基金会，帮助非遗原产地贫困户脱贫奔小康。当地扶贫工坊打基础（林窑雅烧炭烧基地），对被扶贫对像采取招工、计件合作等多种方式，促进其劳动就业增收，提高当地人们就业率。另一方面，非遗扶贫在一定程度上也解决了非遗传统技艺产量较小、传承不广的难题，有力的推动非遗传统技艺的传承和发展。2020年是脱贫攻坚决战决胜之年，千百年来困扰中华民族的绝对贫困问题即将历史性地划上句号，我们将全面建成小康社会，实现第一个百年奋斗目标。为展示党的十八大以来脱贫攻坚成就，分享交流精准扶贫、精准脱贫经验，《美丽中华行》栏目拟从全国国家扶贫重点地区，三区三洲选取30家最具地域性历史文化，自然生态文明发展较好的贫困县、区、市，集中拍摄制作《决胜脱贫在今朝》三十集系列纪录片，对扶贫取得突出贡献的先进单位、企业和优秀扶贫干部个人予以在发现之旅频道和香港卫视等播出平台集中展示宣传报道，体现全社会集中力量投身脱贫攻坚。四川省雅安市荥经县严道街道古城村是荥经砂器主产地，也是省级文物保护单位“严道古城遗址”的所在地。荥经砂器烧制一直沿用历史遗留下来的传统手工作坊生产方式，全部采用纯天然原料，其制作古朴，做工精细，烧制考究，工艺要求极高，集艺术性、实用性为一体，具有很强的收藏价值，被誉为“土与火的艺术”。会前，全体参会人员参观了成都盛元阳光环保科技有限公司。据了解，盛元阳光是一家节能环保与水处理设备、太阳能光伏设备综合利用及产品研发、生产、销售于一体的大型民营企业，引进了先进的成套太阳能光伏路灯生产线和净水器生产线，拥有了自己研发、生产、销售太阳能光伏路灯、家用净水器、工业和商用水处理设备以及其他光伏产品的强大节能环保产品阵容。盛元阳光品牌被国家发改委、商务部、工业信息化部联合列为节能惠民工程产品。#美丽中华行，精彩看中国##微博扶贫助威团##四川扶贫好产品#",,,,"美丽中华行新媒体,美丽中华行，精彩看中国,微博扶贫助威团,四川扶贫好产品",0,0,2,2020-05-12 17:17,专业版微博,"['http://ww4.sinaimg.cn/large/eb8e0ed4ly1gepsb14sbuj20u00k0qv5.jpg', 'http://ww3.sinaimg.cn/large/eb8e0ed4ly1gepsb5hk5rj20u00k01kx.jpg', 'http://ww3.sinaimg.cn/large/eb8e0ed4ly1gepsb9q4i7j20u00k01kx.jpg', 'http://ww4.sinaimg.cn/large/eb8e0ed4ly1gepsbedxm2j20u00k07j9.jpg', 'http://ww1.sinaimg.cn/large/eb8e0ed4ly1gepsbk5r2oj21400u0kjm.jpg']",,
4498615978804750,IFns1AWw6,2603210451,成都红旗连锁股份有限公司,"来自《21世纪经济报道》的报道O红旗连锁交“战疫”完美答卷一季度收入规模创历史新高红旗连锁交“战疫”完美答卷一季度收入规模创历史新高21世纪经济报道彭东2020-04-2807:00在今年一季度零售业上市公司饱受疫情冲击的背景下，位于四川的红旗连锁得益于近年来对其本土市场的深耕，正表现出极强的韧性……4月27日，红旗连锁发布一季报，在2019年进店消费人次超4亿、净利润增长六成的基础上继续提升。当期，公司实现营业收入23.45亿元，同比增长23.96%，归属于上市公司股东净利润1.43亿元，较同比大幅增长80.7%。至此，公司也创下来一季度单季利润规模的新纪录。“主要源于公司进一步优化和完善红旗云大数据平台,不断提高财务管理和信息化管理水平，平均客单价有一定上升，使得公司收入规模得到明显提升。此外，公司参股的新网银行的投资收益也是不错的。”红旗连锁董事长曹世如表示。需要指出的是，红旗连锁能够取得如此成绩，主要在于近几年公司通过外部扩张、内部升级所打下的良好基础。对此安信证券评价称，“公司在展店、日销、毛利率上多维度具备增长性；在先前外延内生整合基本完成前提下，近年展店有所加速，同店稳健，同时受益于数字化管理、进口商品比例提升等多重因素影响，经营效率有望提升。”另一方面，在今年新冠疫情的特殊时期里，红旗连锁全力保供应，所有门店不关门、不断货、不涨价……单季收入创历史新高从一季报关键数据来看，红旗连锁整体呈现出收入、利润规模同步提升的状态。其中，单季度主营业务收入23.45亿元的营收，为公司上市以来的单季度收入最高值。“在原有消费者高认知度及口碑效应基础上，由于公司商品供应链端稳定、调整管理能力突出、且承担当地民生物品发放功能，门店日销边际向好，收入高增。”安信证券指出。相比之下，公司经营能力的提升要更为明显。今年一季度，红旗连锁单季度利润规模达1.43亿元，这包含多方面的促进作用。在业绩拐点逐步确认后，公司2019年全面进入爆发的一年，扩张门店也成为了贡献增量的主要动力之一，全年实现净利润近5.2亿元。其中，剔除新网银行贡献的投资收益后，2019年公司商业主营实现净利润3.5亿元。早前打下的基础，也为公司今年一季度经营业绩的全面向好提供了有力支撑。更为重要的是，红旗连锁也在通过自身升级，谋求新的增长动力。“商品覆盖范围不仅有日化、快消，还有生鲜以及熟食等。为消费者增加更多增值服务项目，不断进一步优化和完善红旗云大数据平台，提高财务管理和信息化管理水平，提高数据准确性和完整性。”曹世如认为。她还表示，公司与美团、饿了么、京东到家等线上销售平台深度合作，上线“红旗连锁到家服务”、红旗连锁电子购物卡等，进一步促进线上线下融合发展。此外，2018年开始永辉派团队助力公司进行生鲜门店改造，红旗连锁2019年又通过收购9010，先后补强生鲜与快餐熟食经营，这都将成为公司内生增长的重要潜力。而就未来的市场占有率来看，红旗连锁仍然有非常大的提升空间。“在基础夯实、竞争力全面提升之后，公司有望在2020-2021年维持200家或更快的开店速度，且不排除其新阶段有外延扩张新方式可能。”安信证券指出。对此，曹世如董事长表示，2020年，公司成立20周年，公司将继续努力，充分发挥上市公司引领作用，加快市场拓展，加速向省内没有涉足的二三线城市渠道下沉，增加更多24小时服务网点以及生鲜、快餐门店；不断科技创新，对门店提档升级、物流建设等方面将加大投资，进一步提升企业竞争力。值得关注的是，便利店行业近年收入增速保持增长，显著领先于大卖场与综超，凭借便利性优势部分对冲了电商分流的影响。这份较高的景气度，亦有望为红旗连锁的未来扩张提供有力支撑。勇担社会责任与往年不同的是，今年一季度爆发的新冠疫情，对整个零售连锁业造成了非常明显的冲击。上述背景下，红旗连锁能够取得如此成绩已经殊为不易。而当谈及此次疫情，公司董事长曹世如最大的感受却是，“我们的国家把人民的生命放到至高无上的位置，尊重每一个中国人的生命。”而作为一家上市公司，红旗连锁亦始终谨记自身肩负的社会责任，而这也是公司的企业文化长期潜移默化的结果。曹世如带领公司全体党员积极响应，为支持疫情防控工作踊跃捐款。为支援抗击新冠肺炎疫情工作，截至目前，红旗连锁及曹世如个人捐款、捐物已超500万元。疫情发生后，红旗连锁高度重视，第一时间启动应急预案，成立了应急工作小组。自此，红旗连锁“战疫”正式打响。疫情发展初期，公司旗下所有门店便已坚持营业，甚至是延时服务。“在疫情发生后，红旗连锁不关门、不断货、不涨价。2020年1月，公司仅加班费、延时费用等就新增加了3000多万元。”曹世如介绍称。同时，针对本次疫情，根据国家、省、市相关单位的要求，结合自身实际情况，红旗连锁制定公司总部以及配送中心、门店的疫情防控具体要求，及时为17000名员工多次配发口罩。公司还投入上百万元，购置红外线测温仪3100余把，用于门店一线员工及顾客体温测量，全力配合疫情防控工作，做到了零感染。在做好自身防疫工作的同时，红旗连锁亦全力保供应，这从公司被纳入全国疫情防控重点保障企业名单便可见一斑。“公司三大配送中心24小时待命，从今年大年初一就开始加班。”上述红旗连锁人士介绍称，在春节及疫情期间，三大配送中心日均配送超4000吨，能够保证供应重要生活必需品15天以上。对于疫情初期市场上紧缺的口罩、洗手液、消毒液等防疫物资，红旗连锁也积极多方协调、组织货源。1月底，公司紧急从外省空运回五十万个出口口罩，并不计成本卖给广大群众，以及发放给1万多名一线员工佩戴，还为高速公路交警、川航，及部份一线公安，医院等提供口罩，受到各界好评。2月中旬，为缓解成都市民购买口罩困难，成都市政府紧急统筹安排生产厂家生产普通防护口罩在红旗连锁门店销售，日均销售超20万只。目前，公司已销售“成都造”口罩、省外口罩、进口口罩上1000万只，消毒液、洗手液等600多万瓶”。在得知受疫情影响，高新东区、大邑、新津、德昌等地农户种植的草莓、小白菜、桑葚等农产品滞销消息后，公司积极行动，立即派出生鲜采购团队直赴产地对接。疫情发生以来，已帮助销售滞销蔬菜、水果等600多吨。据悉，公司获得了国家开发银行四川省分行的专项再贷款支持，享受优惠的贷款贴息。公司对这次的专项贷款资金的使用情况充分把关，确保资金用于应对疫情防控采购、运输和销售重要生活必需品等。全力支持疫情期间各供应商复工复产，确保资金主要用于支付中小微企业的货款，解决他们的燃眉之急。显然，在这场全民“战疫”的斗争中，红旗连锁交出了一份优秀答卷……对话曹世如董事长问：红旗连锁近期公布的年报、一季报都非常好,请问红旗连锁如何取得如此优异的业绩？曹世如：我们是企业，更是一家上市公司。我们就必须对企业负责，对员工负责，对广大消费者和投资者负责。每走一步，必须是慎之又慎的，特别是在一些重大、突发事件的决策上必须稳健，才能保证企业健康、良性发展。相信红旗连锁发展是经得起考验的。问：面对突发事件，有的人应对自如，有的人茫然不知所措。比如这次疫情，红旗连锁表现突出，对此，您怎么看？曹世如：突发事件，不可预料。前面未知的路，不知是光明还是黑暗，这个时候需要有智慧和责任，内功深厚，才能有勇气去面对。通过这次疫情，在生活中我观察到，人们更讲卫生了，也更遵纪守法了，就拿过马路来说，现在闯红灯的人基本没有了，感觉到大家都没有那么浮躁了。所以，很多事情都要从不同角度去看，疫情带来了灾难性的损失，但也改变了很多以前认为不容易改变的东西。疫情还没结束，我相信在党中央的领导下，全国人民齐心协力，坚强的中国人民一定能战胜疫情，明天更美好！问：今年将迎来红旗连锁成立20周年，公司下一步将如何发展？曹世如：20年对企业发展来说是个非常重要的时刻，对我个人而言，这20年付出了我整个青春。20年中，红旗连锁和其他企业一样，也曾遇到坎坷和艰辛，但公司都勇敢面对、解决问题。特别是上市以后，加速了红旗连锁发展，也承担了更多责任。在红旗连锁的平台上，我们将增加更多适合老、中、青消费者的商品、叠加更多的增值服务项目、解决更多就业，积极参与产业精准扶贫，缴纳更多税收，勇担更多社会责任。",,,,,12,0,41,2020-04-28 09:24,专业版微博,['http://ww3.sinaimg.cn/large/9b29d6d3gy1ge980m2zb3j20zd0u0b2c.jpg'],,
4498335643964603,IFg9SgDnd,3585550454,成华危改,【“成都职工普惠五一购物节”火热开启】#成都新闻#为全面贯彻落实中央、省、市关于推动复工复产、提振消费信心的部署要求，充分发挥“互联网工会”特色和职工集群优势，激发职工的消费热情，发挥职工消费主力军作用，昨日，市总工会启动“成都职工普惠五一购物节”活动，在让广大职工群众享受工会普惠服务，唱响劳动光荣的主旋律之余，更发挥助力消费复苏、市场繁荣，促进经济社会高质量发展的积极作用。此次购物节以“成都职工”APP为载体，以“普惠五一购职工大聚惠”为主题，自4月26日起持续至5月7日。活动期间，将通过投放户外广告、公域私域流量宣传、APP短信推送等方式引爆线上线下流量关注。同时，将以补贴让利、满额赠送、超低价秒杀等方式，以最优惠的价格回馈广大工会会员。预计提供商品折扣优惠超千万元，拉动消费5000万元。目前，“成都职工”APP已整合包括饿了么、摩拜单车、南方航空、四川航空、好利来、元祖、爱达乐、红旗连锁、舞东风、永辉超市、国美电器、百伦百货、德仁堂、本草堂、太极大药房等知名企业在内的活动商家369家，提供超过10000款折扣商品，涵盖职工订餐、出行、医疗、保险、运动、健身、心理健康、电子城、福利商城、云端上的农庄（扶贫商城）、普惠到家、寰球购、爆品钜惠等平台服务项目。广大职工群众可通过关注“成都职工”微信公众号获取活动详细信息，通过下载“成都职工”APP参与本次活动。O中国成都,,,,成都新闻,2,2,2,2020-04-27 14:50,HUAWEI P30 Pro,,,
4498291385553182,IFf0uniDs,1748991991,成华发布,【“成都职工普惠五一购物节”火热开启】#成都新闻#为全面贯彻落实中央、省、市关于推动复工复产、提振消费信心的部署要求，充分发挥“互联网工会”特色和职工集群优势，激发职工的消费热情，发挥职工消费主力军作用，昨日，市总工会启动“成都职工普惠五一购物节”活动，在让广大职工群众享受工会普惠服务，唱响劳动光荣的主旋律之余，更发挥助力消费复苏、市场繁荣，促进经济社会高质量发展的积极作用。此次购物节以“成都职工”APP为载体，以“普惠五一购职工大聚惠”为主题，自4月26日起持续至5月7日。活动期间，将通过投放户外广告、公域私域流量宣传、APP短信推送等方式引爆线上线下流量关注。同时，将以补贴让利、满额赠送、超低价秒杀等方式，以最优惠的价格回馈广大工会会员。预计提供商品折扣优惠超千万元，拉动消费5000万元。目前，“成都职工”APP已整合包括饿了么、摩拜单车、南方航空、四川航空、好利来、元祖、爱达乐、红旗连锁、舞东风、永辉超市、国美电器、百伦百货、德仁堂、本草堂、太极大药房等知名企业在内的活动商家369家，提供超过10000款折扣商品，涵盖职工订餐、出行、医疗、保险、运动、健身、心理健康、电子城、福利商城、云端上的农庄（扶贫商城）、普惠到家、寰球购、爆品钜惠等平台服务项目。广大职工群众可通过关注“成都职工”微信公众号获取活动详细信息，通过下载“成都职工”APP参与本次活动。O中国成都,,,,成都新闻,5,2,0,2020-04-27 11:55,微博 weibo.com,,,
