id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4405505458238643,I2jdLyzfl,3952258347,曲靖工会,市调研组到罗平调研产业工人队伍建设改革工作　　8月14日，为深入了解基层新时期产业工人队伍建设改革工作推进情况，曲靖市工业和信息化局调研员保和良率第四调研组一行到罗平进行专项调研活动。　　上午，调研组先后到罗平锌电股份公司和罗平锌电公司实地调研。在锌电股份公司技术创新工作室，工作人员从技术创新团队建设、取得成绩、发明专利、创新激励机制等方面做情况汇报。随后，调研组到罗平锌电公司查阅公司关于产业工人队伍建设改革工作的档案资料。　　下午，召开座谈会。座谈会上县人大常委会副主任、县总工会主席山中会从当前全县产业工人队伍建设改革工作推进情况进行汇报。他指出，罗平县按照要求，成立机构，确立领导，制定责任清单，层层压实责任；以“技能扶贫”和“培训促就业”行动为抓手和载体，实施“一户一产业工人”培养试点工程；改革职业技能培训制度，完善以技能为导向的技术创新激励机制。各成员单位领导分别作了工作汇报。　　县委常委、宣传部部长杜毅静在补充汇报中指出，罗平将会进一步拓展工作思路，创新工作方法，加强产业工人队伍建设改革工作，进一步搭建“走出去，请进来”平台，充分利用沪滇合作机制，结合本地资源优势，以需求为导向，加强“校企合作”，助推罗平经济高质量跨越式发展。保和良对罗平县产业工人队伍建设改革工作开展情况给予充分肯定，他指出，罗平产业工人队伍建设改革工作谋划早，工作成效显著，是得益于县委县政府的高度重视。他建议，罗平要进一步完善实施方案、责任清单，扎实推进改革工作；要加大财政投入，结合本地实际，突出罗平特点；各部门要站在讲政治的高度，多沟通多协调，形成合力，培育一批讲政治、有智慧、有技术、能创新的产业工人，推动曲靖市产业工人队伍建设改革工作更好更快发展。　　（通讯员刘星连）,,,,,0,0,0,2019-08-15 10:56,360安全浏览器,,,
4258719926072458,GoDzyptIS,1914268357,罗平看点,陈豪在罗平调研时强调：坚决打好打胜污染防治精准脱贫攻坚战7月5日，省委书记陈豪率调研组赴曲靖现场检查督办中央环境保护督察“回头看”整改工作，调研脱贫攻坚工作。陈豪强调，污染防治、精准脱贫都事关全局、事关长远发展、事关人民福祉，是云南高质量发展路上必须跨越的重要关口，一定要以习近平新时代中国特色社会主义思想为指导，强化政治意识，压实工作责任，出思路、想办法、抓推进、勤督查，盯住问题，一抓到底，以严实作风打好打胜污染防治精准脱贫攻坚战。调研组驱车深入曲靖市罗平县，进厂区、看现场，检查罗平锌电股份有限公司突出环境问题整改情况和罗平县工业园区污水处理厂建设情况。陈豪指出，中央环保督察“回头看”发现的问题，实事求是，令人警醒。各地党委政府要认真汲取教训，深刻反思、举一反三，盯住问题、严改实改，以钉钉子精神把中央环保督察“回头看”指出的问题改到位改彻底。要进一步提高思想认识，牢固树立笃实践行绿水青山就是金山银山的理念，切实增强生态优先、绿色发展的政治自觉、思想自觉和行动自觉。要对暴露出的问题紧盯不放，一抓到底，不彻底解决问题决不松手，以看得见的成效兑现承诺、取信于民。要动真碰硬，以严肃问责、追责倒逼责任落实，层层传递环保压力，让环保工作长出“钢牙”。在生态环保问题上，只要越雷池一步，就必须依法依规受到问责。要处理好生态环境保护和发展经济的关系，把解决突出生态环境问题作为民生优先领域，实现环境效益、经济效益和社会效益多赢，更好推动高质量跨越式发展，坚决保护好云南的绿水青山、蓝天白云、良田沃土，努力争当生态文明建设排头兵。调研组一行深入村寨、群众家中了解农村危房改造、农村人居环境整治、产业扶贫等情况，与群众代表座谈。在腊山街道普妥居委会，陈豪称赞“爱心超市”是用心济困、激发群众内生动力、弘扬文明新风的好做法，要求总结经验宣传推广。在大水井乡小鸡登村水产养殖点，陈豪鼓励云南冰利水产品公司继续采取“企业+基地+贫困户”的发展模式，与贫困户建立利益联结机制，带动更多群众特别是贫困户增收致富。罗平县是全省2017年计划脱贫摘帽的15个县之一，陈豪叮嘱地方党政主要负责同志，要精心准备、全力配合，扎扎实实做好脱贫摘帽专项评估“迎检”工作，确保脱贫成效经得起检验。脱贫只是贫困群众过上幸福美好生活迈出的第一步，要马不停蹄地大力实施乡村振兴战略，打造稳定脱贫的长效机制，巩固脱贫成果。调研途中，陈豪反复强调，成事必有其道，干事须得其法。方法孕育成果。置身新时代，各级领导干部要学习掌握科学的思想方法和工作方法，既要牢固树立大局观念和全局视野，又要把重点工作、中心工作牢牢抓在手上，善于“弹钢琴”。云南脱贫任务很重，发展任务也很重，各地区既要以脱贫攻坚统揽经济社会发展全局，又要一刻也不耽误地谋发展、抓发展，以实际行动维护巩固提升好近年来全省稳中有进、稳中向好的良好发展态势。刘慧晏、李文荣、王显刚参加调研。云南网记者田静,,,,,0,0,0,2018-07-06 09:43,微博 weibo.com,"['http://ww2.sinaimg.cn/large/72196ac5gy1fszwc5ck57j20g30aoqbp.jpg', 'http://ww4.sinaimg.cn/large/72196ac5gy1fszwc5cxwcj20g20a5tkg.jpg']",,
4258715202936506,GoDrWcjV0,3806438278,昆明市审计局,7月5日，省委书记陈豪率调研组赴曲靖现场检查督办中央环境保护督察“回头看”整改工作，调研脱贫攻坚工作。陈豪强调，污染防治、精准脱贫都事关全局、事关长远发展、事关人民福祉，是云南高质量发展路上必须跨越的重要关口，一定要以习近平新时代中国特色社会主义思想为指导，强化政治意识，压实工作责任，出思路、想办法、抓推进、勤督查，盯住问题，一抓到底，以严实作风打好打胜污染防治、精准脱贫攻坚战。调研组驱车深入曲靖市罗平县，进厂区、看现场，检查罗平锌电股份有限公司突出环境问题整改情况和罗平县工业园区污水处理厂建设情况。陈豪指出，中央环保督察“回头看”发现的问题，实事求是，令人警醒。各地党委、政府要认真汲取教训，深刻反思、举一反三，盯住问题、严改实改，以钉钉子精神把中央环保督察“回头看”指出的问题改到位改彻底。要进一步提高思想认识，牢固树立笃实践行绿水青山就是金山银山的理念，切实增强生态优先、绿色发展的政治自觉、思想自觉和行动自觉。要对暴露出的问题紧盯不放，一抓到底，不彻底解决问题决不松手，以看得见的成效兑现承诺、取信于民。要动真碰硬，以严肃问责、追责倒逼责任落实，层层传递环保压力，让环保工作长出“钢牙”。在生态环保问题上，只要越雷池一步，就必须依法依规受到问责。要处理好生态环境保护和发展经济的关系，把解决突出生态环境问题作为民生优先领域，实现环境效益、经济效益和社会效益多赢，更好推动高质量跨越式发展，坚决保护好云南的绿水青山、蓝天白云、良田沃土，努力争当生态文明建设排头兵。调研组一行深入村寨、群众家中了解农村危房改造、农村人居环境整治、产业扶贫等情况，与群众代表座谈。在腊山街道普妥居委会，陈豪称赞“爱心超市”是用心济困、激发群众内生动力、弘扬文明新风的好做法，要求总结经验宣传推广。在大水井乡小鸡登村水产养殖点，陈豪鼓励云南冰利水产品公司继续采取“企业+基地+贫困户”的发展模式，与贫困户建立利益联结机制，带动更多群众特别是贫困户增收致富。罗平县是全省2017年计划脱贫摘帽的15个县之一，陈豪叮嘱地方党政主要负责同志，要精心准备、全力配合，扎扎实实做好脱贫摘帽专项评估“迎检”工作，确保脱贫成效经得起检验。脱贫只是贫困群众过上幸福美好生活迈出的第一步，要马不停蹄地大力实施乡村振兴战略，打造稳定脱贫的长效机制，巩固脱贫成果。调研途中，陈豪反复强调，成事必有其道，干事须得其法。方法孕育成果。置身新时代，各级领导干部要学习掌握科学的思想方法和工作方法，既要牢固树立大局观念和全局视野，又要把重点工作、中心工作牢牢抓在手上，善于“弹钢琴”。云南脱贫任务很重，发展任务也很重，各地区既要以脱贫攻坚统揽经济社会发展全局，又要一刻也不耽误地谋发展、抓发展，以实际行动维护巩固提升好近年来全省稳中有进、稳中向好的良好发展态势。刘慧晏、李文荣、王显刚参加调研。,,,,,1,0,0,2018-07-06 09:24,微博 weibo.com,,,
4232821151138746,GdLPl4MeS,6447811311,个股公告,罗平锌电sz002114公告：罗平锌电：关于对外扶贫捐赠的公告，点击查看O网页链接,,,,,0,0,0,2018-04-25 22:31,微博股票,,,
4187801249261936,FAQ6UCRs4,5783471717,智在无为,罗平锌电之“关门打狗”。该股八月份以来，一路下跌近30%，垃圾公司，不意外。但从十月份开始，其多日奇葩的走势引起了本人注意，并于近日满仓持有，既然奇葩，难免任性，或许出奇迹。然连续六天，低开低走，地量，集合竞价最后一秒拉升，让你无处可逃，形似关门打狗。不知有看懂的没有，请教了,,,,,2,3,0,2017-12-22 16:58,华为手机 畅享玩不停,,,
4188888227930662,FBio6xh7U,5783471717,智在无为,此垃圾公司股天天做盘，看不明白。本周驻村，为精准扶贫国家大计，五天四夜不回家。无电脑，看不了盘。既然不看好大盘，也看不懂罗平锌电，不看也罢。,,,,,0,2,1,2017-12-25 16:57,华为手机 畅享玩不停,,,4187801249261936
4405505458238643,I2jdLyzfl,3952258347,曲靖工会,市调研组到罗平调研产业工人队伍建设改革工作　　8月14日，为深入了解基层新时期产业工人队伍建设改革工作推进情况，曲靖市工业和信息化局调研员保和良率第四调研组一行到罗平进行专项调研活动。　　上午，调研组先后到罗平锌电股份公司和罗平锌电公司实地调研。在锌电股份公司技术创新工作室，工作人员从技术创新团队建设、取得成绩、发明专利、创新激励机制等方面做情况汇报。随后，调研组到罗平锌电公司查阅公司关于产业工人队伍建设改革工作的档案资料。　　下午，召开座谈会。座谈会上县人大常委会副主任、县总工会主席山中会从当前全县产业工人队伍建设改革工作推进情况进行汇报。他指出，罗平县按照要求，成立机构，确立领导，制定责任清单，层层压实责任；以“技能扶贫”和“培训促就业”行动为抓手和载体，实施“一户一产业工人”培养试点工程；改革职业技能培训制度，完善以技能为导向的技术创新激励机制。各成员单位领导分别作了工作汇报。　　县委常委、宣传部部长杜毅静在补充汇报中指出，罗平将会进一步拓展工作思路，创新工作方法，加强产业工人队伍建设改革工作，进一步搭建“走出去，请进来”平台，充分利用沪滇合作机制，结合本地资源优势，以需求为导向，加强“校企合作”，助推罗平经济高质量跨越式发展。保和良对罗平县产业工人队伍建设改革工作开展情况给予充分肯定，他指出，罗平产业工人队伍建设改革工作谋划早，工作成效显著，是得益于县委县政府的高度重视。他建议，罗平要进一步完善实施方案、责任清单，扎实推进改革工作；要加大财政投入，结合本地实际，突出罗平特点；各部门要站在讲政治的高度，多沟通多协调，形成合力，培育一批讲政治、有智慧、有技术、能创新的产业工人，推动曲靖市产业工人队伍建设改革工作更好更快发展。　　（通讯员刘星连）,,,,,0,0,0,2019-08-15 10:56,360安全浏览器,,,
4258719926072458,GoDzyptIS,1914268357,罗平看点,陈豪在罗平调研时强调：坚决打好打胜污染防治精准脱贫攻坚战7月5日，省委书记陈豪率调研组赴曲靖现场检查督办中央环境保护督察“回头看”整改工作，调研脱贫攻坚工作。陈豪强调，污染防治、精准脱贫都事关全局、事关长远发展、事关人民福祉，是云南高质量发展路上必须跨越的重要关口，一定要以习近平新时代中国特色社会主义思想为指导，强化政治意识，压实工作责任，出思路、想办法、抓推进、勤督查，盯住问题，一抓到底，以严实作风打好打胜污染防治精准脱贫攻坚战。调研组驱车深入曲靖市罗平县，进厂区、看现场，检查罗平锌电股份有限公司突出环境问题整改情况和罗平县工业园区污水处理厂建设情况。陈豪指出，中央环保督察“回头看”发现的问题，实事求是，令人警醒。各地党委政府要认真汲取教训，深刻反思、举一反三，盯住问题、严改实改，以钉钉子精神把中央环保督察“回头看”指出的问题改到位改彻底。要进一步提高思想认识，牢固树立笃实践行绿水青山就是金山银山的理念，切实增强生态优先、绿色发展的政治自觉、思想自觉和行动自觉。要对暴露出的问题紧盯不放，一抓到底，不彻底解决问题决不松手，以看得见的成效兑现承诺、取信于民。要动真碰硬，以严肃问责、追责倒逼责任落实，层层传递环保压力，让环保工作长出“钢牙”。在生态环保问题上，只要越雷池一步，就必须依法依规受到问责。要处理好生态环境保护和发展经济的关系，把解决突出生态环境问题作为民生优先领域，实现环境效益、经济效益和社会效益多赢，更好推动高质量跨越式发展，坚决保护好云南的绿水青山、蓝天白云、良田沃土，努力争当生态文明建设排头兵。调研组一行深入村寨、群众家中了解农村危房改造、农村人居环境整治、产业扶贫等情况，与群众代表座谈。在腊山街道普妥居委会，陈豪称赞“爱心超市”是用心济困、激发群众内生动力、弘扬文明新风的好做法，要求总结经验宣传推广。在大水井乡小鸡登村水产养殖点，陈豪鼓励云南冰利水产品公司继续采取“企业+基地+贫困户”的发展模式，与贫困户建立利益联结机制，带动更多群众特别是贫困户增收致富。罗平县是全省2017年计划脱贫摘帽的15个县之一，陈豪叮嘱地方党政主要负责同志，要精心准备、全力配合，扎扎实实做好脱贫摘帽专项评估“迎检”工作，确保脱贫成效经得起检验。脱贫只是贫困群众过上幸福美好生活迈出的第一步，要马不停蹄地大力实施乡村振兴战略，打造稳定脱贫的长效机制，巩固脱贫成果。调研途中，陈豪反复强调，成事必有其道，干事须得其法。方法孕育成果。置身新时代，各级领导干部要学习掌握科学的思想方法和工作方法，既要牢固树立大局观念和全局视野，又要把重点工作、中心工作牢牢抓在手上，善于“弹钢琴”。云南脱贫任务很重，发展任务也很重，各地区既要以脱贫攻坚统揽经济社会发展全局，又要一刻也不耽误地谋发展、抓发展，以实际行动维护巩固提升好近年来全省稳中有进、稳中向好的良好发展态势。刘慧晏、李文荣、王显刚参加调研。云南网记者田静,,,,,0,0,0,2018-07-06 09:43,微博 weibo.com,"['http://ww3.sinaimg.cn/large/72196ac5gy1fszwc5ck57j20g30aoqbp.jpg', 'http://ww4.sinaimg.cn/large/72196ac5gy1fszwc5cxwcj20g20a5tkg.jpg']",,
4258715202936506,GoDrWcjV0,3806438278,昆明市审计局,7月5日，省委书记陈豪率调研组赴曲靖现场检查督办中央环境保护督察“回头看”整改工作，调研脱贫攻坚工作。陈豪强调，污染防治、精准脱贫都事关全局、事关长远发展、事关人民福祉，是云南高质量发展路上必须跨越的重要关口，一定要以习近平新时代中国特色社会主义思想为指导，强化政治意识，压实工作责任，出思路、想办法、抓推进、勤督查，盯住问题，一抓到底，以严实作风打好打胜污染防治、精准脱贫攻坚战。调研组驱车深入曲靖市罗平县，进厂区、看现场，检查罗平锌电股份有限公司突出环境问题整改情况和罗平县工业园区污水处理厂建设情况。陈豪指出，中央环保督察“回头看”发现的问题，实事求是，令人警醒。各地党委、政府要认真汲取教训，深刻反思、举一反三，盯住问题、严改实改，以钉钉子精神把中央环保督察“回头看”指出的问题改到位改彻底。要进一步提高思想认识，牢固树立笃实践行绿水青山就是金山银山的理念，切实增强生态优先、绿色发展的政治自觉、思想自觉和行动自觉。要对暴露出的问题紧盯不放，一抓到底，不彻底解决问题决不松手，以看得见的成效兑现承诺、取信于民。要动真碰硬，以严肃问责、追责倒逼责任落实，层层传递环保压力，让环保工作长出“钢牙”。在生态环保问题上，只要越雷池一步，就必须依法依规受到问责。要处理好生态环境保护和发展经济的关系，把解决突出生态环境问题作为民生优先领域，实现环境效益、经济效益和社会效益多赢，更好推动高质量跨越式发展，坚决保护好云南的绿水青山、蓝天白云、良田沃土，努力争当生态文明建设排头兵。调研组一行深入村寨、群众家中了解农村危房改造、农村人居环境整治、产业扶贫等情况，与群众代表座谈。在腊山街道普妥居委会，陈豪称赞“爱心超市”是用心济困、激发群众内生动力、弘扬文明新风的好做法，要求总结经验宣传推广。在大水井乡小鸡登村水产养殖点，陈豪鼓励云南冰利水产品公司继续采取“企业+基地+贫困户”的发展模式，与贫困户建立利益联结机制，带动更多群众特别是贫困户增收致富。罗平县是全省2017年计划脱贫摘帽的15个县之一，陈豪叮嘱地方党政主要负责同志，要精心准备、全力配合，扎扎实实做好脱贫摘帽专项评估“迎检”工作，确保脱贫成效经得起检验。脱贫只是贫困群众过上幸福美好生活迈出的第一步，要马不停蹄地大力实施乡村振兴战略，打造稳定脱贫的长效机制，巩固脱贫成果。调研途中，陈豪反复强调，成事必有其道，干事须得其法。方法孕育成果。置身新时代，各级领导干部要学习掌握科学的思想方法和工作方法，既要牢固树立大局观念和全局视野，又要把重点工作、中心工作牢牢抓在手上，善于“弹钢琴”。云南脱贫任务很重，发展任务也很重，各地区既要以脱贫攻坚统揽经济社会发展全局，又要一刻也不耽误地谋发展、抓发展，以实际行动维护巩固提升好近年来全省稳中有进、稳中向好的良好发展态势。刘慧晏、李文荣、王显刚参加调研。,,,,,1,0,0,2018-07-06 09:24,微博 weibo.com,,,
4232821151138746,GdLPl4MeS,6447811311,个股公告,罗平锌电sz002114公告：罗平锌电：关于对外扶贫捐赠的公告，点击查看O网页链接,,,,,0,0,0,2018-04-25 22:31,微博股票,,,
