id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4555230572713950,JnaNzbo1o,2175121335,廊坊日报廊坊传媒网,#廊坊本地新闻#【我市100个困难肢残家庭获爱心捐赠】近日，廊坊市肢残人协会迎国庆文艺汇演暨爱心助残仪式在壹佰剧院举行。廊坊市青年企业家商会、廊坊市工商联直属会员商会等7家爱心企业和组织为100个困难肢残家庭捐赠5万元，每个家庭受助500元爱心基金和1张免费体检卡。本次活动由廊坊市肢残人协会主办，廊坊市美年健康体检中心、落垡镇永旭养殖场、河北科博锐程电力工程有限公司、廊坊市艾润堂艾草制品有限公司、廊坊市五棵松木业有限公司等爱心企业以及受赠代表参加。受赠代表李振兴感动地说：“近年来，我们深感党和政府对我们的关注与支持。我非常珍惜这份关爱，以后要提高自身素质，树立身残志坚的信念，培养积极乐观的精神，不断改善生活状况，提升生活质量。”据介绍，目前，我市共有持证残疾人95929人，其中肢体残疾人56251人，占全市持证残疾人的58.67%，是残疾人中最大的群体。自廊坊市肢残人协会开展扶贫助残活动以来，众多企业积极响应，热心捐助。2019年以来，市肢残人协会全心全意为广大肢体残疾人办好事、解难事、做实事，充分发挥肢体残疾人的优势，树立了很多励志自强榜样。同时，不断提高服务残疾人的能力，拓展服务空间，丰富服务手段，增强肢残人群体的凝聚力和向心力。,,,,廊坊本地新闻,0,0,0,2020-10-01 14:51,微博 weibo.com,,,
4553769948285505,JmyNIyLrb,2175121335,廊坊日报廊坊传媒网,#廊坊本地新闻#【迎“双节”助残困我市100个困难肢残家庭获爱心捐赠】9月24日，廊坊市肢残人协会迎国庆文艺汇演暨爱心助残仪式在壹佰剧院举行。廊坊市青年企业家商会、廊坊市工商联直属会员商会等7家爱心企业为100个困难肢残家庭捐赠5万元，每个家庭受助500元爱心基金、免费体检卡一张。据介绍，目前，我市共有持证残疾人95929人，其中肢体残疾人56251人，占全市持证残疾人的58.67%，是残疾人中最大的群体。自廊坊市肢残人协会开展扶贫助残活动以来，众多企业积极响应，热心捐助。2019年以来，市肢残人协会全心全意为广大肢体残疾人办好事、解难事、做实事，充分发挥肢体残疾人的优势，树立了很多励志自强榜样。同时，不断提高服务残疾人的能力，拓展服务空间，丰富服务手段，增强肢残人群体的凝聚力和向心力。本次活动由廊坊市肢残人协会主办，廊坊市美年健康体检中心、落垡镇永旭养殖场、河北科博锐程电力工程有限公司、廊坊市艾润堂艾草制品有限公司、廊坊市五棵松木业有限公司等爱心企业以及受赠代表参加。受赠代表李振兴感动地说：“近年来，我们深感党和政府对我们的关注与支持。我非常珍惜这份关爱，以后要提高自身素质，树立身残志坚的信念，培养积极乐观的精神，不断改善生活状况，提升生活质量。”,,,,廊坊本地新闻,0,0,0,2020-09-27 14:07,微博 weibo.com,,,
4415010010759487,I6itH3bzN,1928226520,美年大健康官方微博,致力打造健康惠民体系及服务美年健康牵手中国邮政深入甘肃舟曲推进精准扶贫工作,,,,,12,0,2,2019-09-10 16:24,iPhone客户端,"['http://ww4.sinaimg.cn/large/72ee66d8gy1g6ui08ehbgj20rs2khe82.jpg', 'http://ww3.sinaimg.cn/large/72ee66d8gy1g6ui05uhlaj20rs2fee82.jpg', 'http://ww4.sinaimg.cn/large/72ee66d8gy1g6ui09pz9hj20rs1mz4qp.jpg']",,
4384236976991153,Hzlo5tkIx,1928226520,美年大健康官方微博,#美年大健康资讯#为爱发声，践行公益，助力精准扶贫为爱负责，质控升级，美年一直在行动健康所系，性命相托，美年人的脚步将永不停止L美年大健康官方微博的微博视频,,,,美年大健康资讯,806,0,185,2019-06-17 18:23,微博视频,,"http://f.us.sinaimg.cn/00268KuPlx07uIXp9pjG01041200xffA0E010.mp4?label=mp4_ld&template=640x360.28.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1602599433&ssig=megVkoCJAw&KID=unistore,video",
4386234481022268,HAblS4hWc,7051407311,鬼火绿365,//@V-KATHERINE:#美年健康#为爱发声，践行公益，助力精准扶贫为爱负责，质控升级，美年一直在行动健康所系，性命相托，美年人的脚步将永不停止,,,V-KATHERINE,美年健康,0,0,0,2019-06-23 06:40,iPhone客户端,,,4384236976991153
4383008305800871,HyPqmol4r,1928226520,美年大健康官方微博,#美年大健康资讯#美年大健康又一党支部正式成立自创立之初，美年便将党建引领作为工作重点，将党建工作融入生产经营致力为民提供更全面、有效的健康医疗服务,,,,美年大健康资讯,92,0,6,2019-06-14 09:01,微博 weibo.com,"['http://ww2.sinaimg.cn/large/72ee66d8gy1g3zloycf3kj20cs0kwgt5.jpg', 'http://ww1.sinaimg.cn/large/72ee66d8gy1g3zloyedidj20cs0gzgtr.jpg', 'http://ww1.sinaimg.cn/large/72ee66d8gy1g3zloyedtgj20cs0i2467.jpg', 'http://ww3.sinaimg.cn/large/72ee66d8gy1g3zloyevxdj20cs0g6dok.jpg', 'http://ww1.sinaimg.cn/large/72ee66d8gy1g3zloya719j20cs0cwdjt.jpg']",,
4386096038847453,HA7KzB7CR,6633745090,美年大健康新疆,#美年健康#为爱发声，践行公益，助力精准扶贫为爱负责，质控升级，美年一直在行动健康所系，性命相托，美年人的脚步将永不停止,,,,美年健康,1,0,0,2019-06-22 21:30,HUAWEI P30,,,4383008305800871
4386053626024433,HA6Eapheh,6907349713,圈子圈外84,美年健康,,,,,0,0,0,2019-06-22 18:42,华为手机 畅享玩不停,,,4384236976991153
4385998835997073,HA5dNpa6Z,6312154202,用户6312154202,美年健康,,,,,1,0,0,2019-06-22 15:04,HUAWEI nova 3i,,,4384236976991153
4385986811633006,HA4Up6QOO,3216775522,开心虫虫58,美年健康--我们都是奋斗的美年人！L开心虫虫58的秒拍视频,,,,,0,0,0,2019-06-22 14:16,iPhone客户端,,"http://f.us.sinaimg.cn/0013Sp4glx07uPEEoMWI010412001y3N0E010.mp4?label=mp4_ld&template=624x360.28.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1602599433&ssig=aibv%2F0ne29&KID=unistore,video",
