id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4357001641439545,HnUS862ut,2858056760,光明发布,【两地人民一起攻坚克难携手并进】3月25日至27日，光明区政协主席李世清带队到西藏林芝市察隅县开展对口支援工作，并看望慰问光明区选派的援藏干部人才。李世清表示，光明区援藏工作注重将扶贫与扶智扶志相结合、注重扶贫与民生相结合、注重扶贫与民族团结相结合、注重党建引领和骨干培养相结合，在各方面取得很好的成效。光明区将一如既往地帮助察隅县发展，光明人民将与察隅人民一起攻坚克难、携手并进。据悉，光明爱心企业电连技术股份公司、光明区美盈森集团、深圳市新国业百货公司代表向工作组捐赠60万元，用于察隅县精准扶贫项目建设。O光明区领导带队到西藏察隅开展对口支援工作实现双向共赢,,,,,0,0,0,2019-04-03 14:40,微博 weibo.com,,,
4055053508220194,En6bYyurM,6060603502,股票分析-董静,其它：诺力股份资产重组获批；百利科技拟推员工持股计划；光大银行拟发行优先股募资不超过500亿；建设银行拟120亿元设立债转股业务公司；中国宝安52亿元投资锂电池项目；千山药机拟定增20亿元发展医疗项目；天邦股份20亿元投资生猪养殖精准扶贫项目；美盈森拟定增15.2亿元投入智慧型工厂；常宝股份拟9.9亿元收购医院资产；奥马电器2.2亿元收购乾坤好车49%股权；宋城演艺拟410万美元入股美VR公司，并投资1.6亿开展国内业务；皖通高速购买3000万元银行理财产品；长城电脑2000万成立智慧城市合资公司；渝三峡A定增购买饲料添加剂公司；金隅股份签订债转股合作协议；四川双马拟向子公司划转水泥资产及债务；完美世界获中国人寿资管等多家机构调研；远程电缆拟更名为睿康股份；三江购物、三毛派神、美都能源、常宝股份、千山药机、海天精工、*ST南化复牌。,,,,,0,0,0,2016-12-21 09:25,微博 weibo.com,,,
4055053486268999,En6bWqiQT,5890765779,股票分析邹,其它：诺力股份资产重组获批；百利科技拟推员工持股计划；光大银行拟发行优先股募资不超过500亿；建设银行拟120亿元设立债转股业务公司；中国宝安52亿元投资锂电池项目；千山药机拟定增20亿元发展医疗项目；天邦股份20亿元投资生猪养殖精准扶贫项目；美盈森拟定增15.2亿元投入智慧型工厂；常宝股份拟9.9亿元收购医院资产；奥马电器2.2亿元收购乾坤好车49%股权；宋城演艺拟410万美元入股美VR公司，并投资1.6亿开展国内业务；皖通高速购买3000万元银行理财产品；长城电脑2000万成立智慧城市合资公司；渝三峡A定增购买饲料添加剂公司；金隅股份签订债转股合作协议；四川双马拟向子公司划转水泥资产及债务；完美世界获中国人寿资管等多家机构调研；远程电缆拟更名为睿康股份；三江购物、三毛派神、美都能源、常宝股份、千山药机、海天精工、*ST南化复牌。,,,,,0,0,0,2016-12-21 09:25,UC浏览器电脑版,,,
4055053361077285,En6bK4wfz,5888878328,股票分析-吴倩,其它：诺力股份资产重组获批；百利科技拟推员工持股计划；光大银行拟发行优先股募资不超过500亿；建设银行拟120亿元设立债转股业务公司；中国宝安52亿元投资锂电池项目；千山药机拟定增20亿元发展医疗项目；天邦股份20亿元投资生猪养殖精准扶贫项目；美盈森拟定增15.2亿元投入智慧型工厂；常宝股份拟9.9亿元收购医院资产；奥马电器2.2亿元收购乾坤好车49%股权；宋城演艺拟410万美元入股美VR公司，并投资1.6亿开展国内业务；皖通高速购买3000万元银行理财产品；长城电脑2000万成立智慧城市合资公司；渝三峡A定增购买饲料添加剂公司；金隅股份签订债转股合作协议；四川双马拟向子公司划转水泥资产及债务；完美世界获中国人寿资管等多家机构调研；远程电缆拟更名为睿康股份；三江购物、三毛派神、美都能源、常宝股份、千山药机、海天精工、*ST南化复牌。,,,,,0,0,0,2016-12-21 09:25,微博 weibo.com,,,
4055053339882537,En6bHFsTL,5139358285,股票分析-陈雪,其它：诺力股份资产重组获批；百利科技拟推员工持股计划；光大银行拟发行优先股募资不超过500亿；建设银行拟120亿元设立债转股业务公司；中国宝安52亿元投资锂电池项目；千山药机拟定增20亿元发展医疗项目；天邦股份20亿元投资生猪养殖精准扶贫项目；美盈森拟定增15.2亿元投入智慧型工厂；常宝股份拟9.9亿元收购医院资产；奥马电器2.2亿元收购乾坤好车49%股权；宋城演艺拟410万美元入股美VR公司，并投资1.6亿开展国内业务；皖通高速购买3000万元银行理财产品；长城电脑2000万成立智慧城市合资公司；渝三峡A定增购买饲料添加剂公司；金隅股份签订债转股合作协议；四川双马拟向子公司划转水泥资产及债务；完美世界获中国人寿资管等多家机构调研；远程电缆拟更名为睿康股份；三江购物、三毛派神、美都能源、常宝股份、千山药机、海天精工、*ST南化复牌。,,,,,0,0,0,2016-12-21 09:25,微博 weibo.com,,,
4055053310169282,En6bF0I2m,5137163759,股票分析-谭颖,其它：诺力股份资产重组获批；百利科技拟推员工持股计划；光大银行拟发行优先股募资不超过500亿；建设银行拟120亿元设立债转股业务公司；中国宝安52亿元投资锂电池项目；千山药机拟定增20亿元发展医疗项目；天邦股份20亿元投资生猪养殖精准扶贫项目；美盈森拟定增15.2亿元投入智慧型工厂；常宝股份拟9.9亿元收购医院资产；奥马电器2.2亿元收购乾坤好车49%股权；宋城演艺拟410万美元入股美VR公司，并投资1.6亿开展国内业务；皖通高速购买3000万元银行理财产品；长城电脑2000万成立智慧城市合资公司；渝三峡A定增购买饲料添加剂公司；金隅股份签订债转股合作协议；四川双马拟向子公司划转水泥资产及债务；完美世界获中国人寿资管等多家机构调研；远程电缆拟更名为睿康股份；三江购物、三毛派神、美都能源、常宝股份、千山药机、海天精工、*ST南化复牌。,,,,,0,0,0,2016-12-21 09:25,360安全浏览器,,,
4055053269072808,En6bAC4fC,5141933100,股票分析师-赵娜,其它：诺力股份资产重组获批；百利科技拟推员工持股计划；光大银行拟发行优先股募资不超过500亿；建设银行拟120亿元设立债转股业务公司；中国宝安52亿元投资锂电池项目；千山药机拟定增20亿元发展医疗项目；天邦股份20亿元投资生猪养殖精准扶贫项目；美盈森拟定增15.2亿元投入智慧型工厂；常宝股份拟9.9亿元收购医院资产；奥马电器2.2亿元收购乾坤好车49%股权；宋城演艺拟410万美元入股美VR公司，并投资1.6亿开展国内业务；皖通高速购买3000万元银行理财产品；长城电脑2000万成立智慧城市合资公司；渝三峡A定增购买饲料添加剂公司；金隅股份签订债转股合作协议；四川双马拟向子公司划转水泥资产及债务；完美世界获中国人寿资管等多家机构调研；远程电缆拟更名为睿康股份；三江购物、三毛派神、美都能源、常宝股份、千山药机、海天精工、*ST南化复牌。,,,,,0,0,0,2016-12-21 09:25,微博 weibo.com,,,
4055050450586308,En6732swA,6065615730,股票--樊,其它：诺力股份资产重组获批；百利科技拟推员工持股计划；光大银行拟发行优先股募资不超过500亿；建设银行拟120亿元设立债转股业务公司；中国宝安52亿元投资锂电池项目；千山药机拟定增20亿元发展医疗项目；天邦股份20亿元投资生猪养殖精准扶贫项目；美盈森拟定增15.2亿元投入智慧型工厂；常宝股份拟9.9亿元收购医院资产；奥马电器2.2亿元收购乾坤好车49%股权；宋城演艺拟410万美元入股美VR公司，并投资1.6亿开展国内业务；皖通高速购买3000万元银行理财产品；长城电脑2000万成立智慧城市合资公司；渝三峡A定增购买饲料添加剂公司；金隅股份签订债转股合作协议；四川双马拟向子公司划转水泥资产及债务；完美世界获中国人寿资管等多家机构调研；远程电缆拟更名为睿康股份；三江购物、三毛派神、美都能源、常宝股份、千山药机、海天精工、*ST南化复牌。,,,,,0,0,0,2016-12-21 09:13,微博 weibo.com,,,
4055050408581649,En66YA0tH,6060603520,股票--董,其它：诺力股份资产重组获批；百利科技拟推员工持股计划；光大银行拟发行优先股募资不超过500亿；建设银行拟120亿元设立债转股业务公司；中国宝安52亿元投资锂电池项目；千山药机拟定增20亿元发展医疗项目；天邦股份20亿元投资生猪养殖精准扶贫项目；美盈森拟定增15.2亿元投入智慧型工厂；常宝股份拟9.9亿元收购医院资产；奥马电器2.2亿元收购乾坤好车49%股权；宋城演艺拟410万美元入股美VR公司，并投资1.6亿开展国内业务；皖通高速购买3000万元银行理财产品；长城电脑2000万成立智慧城市合资公司；渝三峡A定增购买饲料添加剂公司；金隅股份签订债转股合作协议；四川双马拟向子公司划转水泥资产及债务；完美世界获中国人寿资管等多家机构调研；远程电缆拟更名为睿康股份；三江购物、三毛派神、美都能源、常宝股份、千山药机、海天精工、*ST南化复牌。,,,,,0,0,0,2016-12-21 09:13,微博 weibo.com,,,
4055050387027512,En66WtuaY,5137023104,股票黄金分析馨儿,其它：诺力股份资产重组获批；百利科技拟推员工持股计划；光大银行拟发行优先股募资不超过500亿；建设银行拟120亿元设立债转股业务公司；中国宝安52亿元投资锂电池项目；千山药机拟定增20亿元发展医疗项目；天邦股份20亿元投资生猪养殖精准扶贫项目；美盈森拟定增15.2亿元投入智慧型工厂；常宝股份拟9.9亿元收购医院资产；奥马电器2.2亿元收购乾坤好车49%股权；宋城演艺拟410万美元入股美VR公司，并投资1.6亿开展国内业务；皖通高速购买3000万元银行理财产品；长城电脑2000万成立智慧城市合资公司；渝三峡A定增购买饲料添加剂公司；金隅股份签订债转股合作协议；四川双马拟向子公司划转水泥资产及债务；完美世界获中国人寿资管等多家机构调研；远程电缆拟更名为睿康股份；三江购物、三毛派神、美都能源、常宝股份、千山药机、海天精工、*ST南化复牌。,,,,,0,0,0,2016-12-21 09:13,微博 weibo.com,,,
