id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4552814275071985,Jm9Wjlhsd,6864507121,股票刘姐,给大家分析一下票，看看今天的走势，下面有不懂的或者个股被套的，去留拿捏不准的，私信我，我会一一给大家讲解。裕同科技比音勒芬弘亚数控同为股份新宏泽英维克道恩股份张家港行华统股份视源股份翔鹭钨业泰嘉股份同兴达英联股份盐津铺子高斯贝尔威星智能科达利麦格米特道道全皮阿诺捷荣技术美芝股份三晖电气力盛赛车洁美科技星帅尔瀛通通讯实丰文化今飞凯达盘龙药业钧达股份传艺科技周大生绿康生化金溢科技香山股份伟隆股份ST天圣新天药业安奈儿三利谱智能自控元隆雅图长缆科技卫光生物美格智能金龙羽中设股份凌霄泵业京泉华沃特股份#基金##股票##今日看盘##财经##创业板##投资##东方财富##上证指数#,,,,"基金,股票,今日看盘,财经,创业板,投资,东方财富,上证指数",0,0,0,2020-09-24 22:49,微博 weibo.com,,,
4552804460672688,Jm9Gu2OZO,6855461153,股海掘金老李,如果大家手上有以下个股去留拿捏不准的可以私信我我会给大家一一回复三维通信吉祥航空陕西煤业古鳌科技东北证券恒为科技浙江东方宁波中百美芝股份奥翔药业英唐智控人福医药电子城今日量比排名中电环保同济科技浙江力诺中粮糖业艾迪药业ST毅昌乐山电力凌志软件科恒股份上柴股份天地数码恒瑞医药捷顺科技今日成交额排名科融环境江准汽车吴通控股幸福蓝海三环集团恒星科技晶瑞股份天银机电秀强股份双星新材南京银行格力地产金风科技#今日看盘##A股##股市##股票##财经#三维通信sz002115,,,,"今日看盘,A股,股票,财经",0,0,0,2020-09-24 22:10,微博股票,,,
4552780335818473,Jm93zopEl,6863512516,牛股先峰,给大家分析一下票，看看今天的走势，下面有不懂的或者个股被套的，去留拿捏不准的，私信我，我会一一给大家讲解。中国海诚华峰铝业古鳌科技山西汾酒永福股份智莱科技深天马A快速跌幅特变电工金陵饭店华懋科技湖南黄金天源迪科新日股份美芝股份佳讯飞鸿奥赛康今日量比国脉科技杰克股份维康药业金雷股份新农股份*ST利源冀东水泥兴蓉环境碳元科技清溢光电惠程科技众合科技上海电力佩蒂股份圣农发展快速跌幅豪悦护理大豪科技派思股份恒宝股份慈文传媒新五丰崇达技术金新农太龙照明今日量比君正集团汉森制药中广核技华仁药业徐工机械三特索道美康生物越博动力#基金##股票##今日看盘##财经##创业板##投资##东方财富##上证指数#,,,,"基金,股票,今日看盘,财经,创业板,投资,东方财富,上证指数",0,0,0,2020-09-24 20:34,360安全浏览器,,,
4552779056553220,Jm91vruN6,6869197243,牛股张姐,持有以下股票的朋友，如有个股疑问，私信我，我给大家分析讲解星网宇达名雕股份裕同科技比音勒芬弘亚数控同为股份新宏泽英维克道恩股份张家港行华统股份视源股份翔鹭钨业泰嘉股份同兴达英联股份盐津铺子高斯贝尔威星智能科达利麦格米特道道全皮阿诺捷荣技术美芝股份三晖电气力盛赛车洁美科技星帅尔赢通通讯实丰文化今飞凯达盘龙药业钧达股份传艺科技周大生绿康生化金溢科技香山股份伟隆股份ST天圣#今日看盘##股票##财经##东方财富##股市##A股#,,,,"今日看盘,股票,财经,东方财富,A股",0,0,0,2020-09-24 20:29,微博 weibo.com,,,
4552746961475377,Jm8bK6bOp,6863498192,一股论金,踏准节奏顺势而为才能在股市赚取属于自己的财富。如果大家手上有以下个股或者其他个股去留拿捏不准的可以私信我我会给大家一一回复*ST中天华锋股份中船应急国立科技延长化建*ST升达福建金森南方传媒京源环保仙乐健康青岛双星*ST江泉龙建股份瑞松科技威孚高科云南能投中水渔业顶固集创*ST长城交建股份常青股份美芝股份快克股份众源新材科锐国际中设集团欧普照明重庆港九*ST交昂招商蛇口精艺股份中衡设计永新股份西仪股份杭叉集团*ST宏图华电能源联泰环保三美股份郴电国际瑞丰高材ST八菱三变科技好太太sh603848#今日看盘##上证指数##东方财富##基金##股市##投资#,,,,"今日看盘,上证指数,东方财富,基金,投资",0,0,0,2020-09-24 18:22,搜狗高速浏览器,,,
4552732219015351,Jm7NXBPiT,6855461153,股海掘金老李,如果大家手上有以下个股去留拿捏不准的可以私信我我会给大家一一回复北京银行东兴证券海南橡胶航天发展药明康德紫金银行中信证券吉林森工恒通股份-品红佳华科技丽岛新材中粮糖业今日量比排名腾龙股份江苏神通美芝股份创世纪惠而浦中兴商业莱伯泰科老凤祥广联达万里扬天宜上佳鄂武商A*ST中新今日成交额排名诚邦股份燕塘乳L业明牌珠宝交建股份ST毅达金瑞矿业通润装备江南水务盛通股份康欣新材雪迪龙泽达易盛中持股份#今日看盘##A股##股市##股票##财经#,,,,"今日看盘,A股,股票,财经",0,0,0,2020-09-24 17:23,微博股票,,,
4552730478120429,Jm7L9y4uF,6855461153,股海掘金老李,如果大家手上有以下个股去留拿捏不准的可以私信我我会给大家一一回复永新股份火炬电子中国石化*ST平能黑猫股份ST宜化盾安环境中国通号金智科技大秦铁路金圆股份泰和新材大康农业今日量比排名拱东医疗首创股份国金证券巨化股份园城黄金厦门银行海尔施国联证券北元集团风范股份鑫广绿环中谷物流长华股份今日成交额排名美芝股份菲达环保福鞍股份亚翔集成中衡设计*ST东网山东高速西宁特钢惠泉啤酒文峰股份杭锅股份天桥起重苏盐井神#今日看盘##A股##股市##股票##财经#永新股份sz002014,,,,"今日看盘,A股,股票,财经",0,0,0,2020-09-24 17:16,微博股票,,,
4552727595856140,Jm7GvozrS,6863498192,一股论金,对目前行情把握不准，手中有以下个股被套不知道怎么办的都可以私信来问我，我会给分析讲解美芝股份黄山旅游ST冠福海立股份川能动力日辰股份燕塘乳业亚世光电天箭科技顺发恒业ST金泰荣丰控股浦东建设永吉股份美利云古越龙山斯迪克渝开发华源控股京运通金瑞矿业杰普特*ST中天华锋股份中船应急国立科技延长化建*ST升达福建金森南方传媒京源环保仙乐健康青岛双星*ST江泉龙建股份瑞松科技威孚高科云南能投中水渔业顶固集创*ST长城交建股份常青股份美芝股份sz002856#今日看盘##上证指数##东方财富##基金##股市##投资#,,,,"今日看盘,上证指数,东方财富,基金,投资",0,0,1,2020-09-24 17:05,搜狗高速浏览器,,,
4552727541580823,Jm7Gq6Df9,6854938549,股市六哥,对目前行情把握不准，手中有以下个股被套不知道怎么办的都可以私信来问我，我会给分析讲解杰普特爱迪尔ST云网杰恩设计绿城水务浙江广厦卓越新能ST毅达中铁工业卫信康大理药业桃李面包史丹利钱江生化中迪投资ST金花鸣志电器大元泵业中国西电嘉友国际桂林三金力生制药美芝股份黄山旅游ST冠福海立股份川能动力日辰股份燕塘乳业亚世光电天箭科技顺发恒业ST金泰荣丰控股浦东建设永吉股份美利云古越龙山斯迪克渝开发华源控股京运通金瑞矿业杰普特sh688025#今日看盘##上证指数##东方财富##基金##股市##投资#,,,,"今日看盘,上证指数,东方财富,基金,投资",0,0,1,2020-09-24 17:04,微博 weibo.com,,,
4552722018468812,Jm7xvzx7K,6863512516,牛股先峰,给大家分析一下票，看看今天的走势，下面有不懂的或者个股被套的，去留拿捏不准的，私信我，我会一一给大家讲解。洪汇新材吉宏股份丰元股份华锋股份江阴银行恒久科技红墙股份山东赫达郑中设计恩捷股份路畅科技崇达技术和科达黄山胶囊富森美东方中科桂发祥凯莱英中装建设凯中精密和胜股份纳尔股份易明医药高争民爆贝肯能源星网宇达名雕股份裕同科技比音勒芬弘亚数控同为股份新宏泽英维克道恩股份张家港行华统股份视源股份翔鹭钨业泰嘉股份同兴达英联股份盐津铺子高斯贝尔威星智能科达利麦格米特道道全皮阿诺捷荣技术美芝股份三晖电气力盛赛车#基金##股票##今日看盘##财经##创业板##投资##东方财富##上证指数#,,,,"基金,股票,今日看盘,财经,创业板,投资,东方财富,上证指数",0,0,0,2020-09-24 16:42,360安全浏览器,,,
