id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4551502000293031,JlBNK1eej,5892356189,慧声说房,房企“扶贫”成绩单：恒大半年捐赠12.5亿元居首，碧桂园3亿元退居次席！根据不完全统计，在整个2020年上半年，用于扶贫的捐赠金额超过5000万元的企业共计5家，分别是中国恒大、碧桂园、荣盛发展、世茂集团和招商蛇口。其中，恒大以12.5亿元的扶贫捐赠金额位居房地产企业扶贫捐赠金额榜榜首。根据各自半年报的信息，2020年上半年，恒大与紧随其后的房企在捐赠金额上的差距较2019年度明显扩大。碧桂园位居第二，但金额仅为3亿元，相当于恒大的四分之一左右。荣盛发展以1.74亿元位列第三名。2019年，恒大、碧桂园同样是是扶贫捐赠金额最多的两家房地产企业，分别以17.5亿元和16亿元的扶贫捐赠金额位列房地产企业扶贫捐赠金额榜的第一、二名。招商蛇口、保利地产、万科扶贫捐赠金额分别为5.44亿元、3.6亿元和3.2亿元。根据各家房企的公告内容，按照扶贫方向分类，房企扶贫可具体分为产业发展扶贫、转移就业扶贫、异地搬迁扶贫、教育扶贫、健康扶贫、生态保护扶贫、兜底保障、社会扶贫以及其他项目等。其中，产业发展扶贫、转移就业扶贫、教育扶贫均是房企重点投入方向。,,,,,1,0,0,2020-09-21 07:55,iPhone客户端,"['http://ww4.sinaimg.cn/large/006qLJ13ly1gixxw21wsbj30kh06ntbq.jpg', 'http://ww4.sinaimg.cn/large/006qLJ13ly1gixxw3m54nj30kh068acr.jpg', 'http://ww3.sinaimg.cn/large/006qLJ13ly1gixxw8uacyj30s7092gtr.jpg']",,
4532888537936372,JdNA1xiC0,6633713913,sz002146荣盛发展,荣盛发展sz002146摘贫困帽新方式，荣盛发展创新扶贫助力山区产业循环，点击链接查看更多->O网页链接,,,,,1,0,0,2020-07-31 23:11,微博股票,,,
4532506097622373,JdDDbvYVv,1233356434,电商看资讯,【荣盛发展的李家庄扶贫故事：民宿小管家的忙碌生活】石家庄平山县的李家庄，因为耕地较少、土地贫瘠而陷于长期贫困。岗南水库的修建为李家庄带来了依山旁水的优美自然环境，2016年，荣盛发展同当地签署了旅游开发合作协议。作为扶贫的一种方式，该公司从村民的手中租下院子来打造佐邻佑里民宿客栈。仅用三年时间就实现村民人均收入翻两番——从2015年的5255元，增加到2018年的2万元。LNBD视频的微博视频,,,,,0,0,0,2020-07-30 21:52,微博云剪,,"http://f.video.weibocdn.com/000lZQuNgx07Ffbv5B0Q01041200b8t70E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1602645444&ssig=lXmmD1a0qv&KID=unistore,video",
4532490838738526,JdDezAFhY,3247654494,晨光摘閱會友互相閱讀觀,『视频丨荣盛发展的李家庄扶贫故事：民宿小管家的忙碌生活|每日经济新闻』O视频丨荣盛发展的李家庄扶贫故事：民宿小管家的忙碌生活,,,,,0,0,0,2020-07-30 20:51,ZTE中兴 V7 MAX,,,
4532434295850517,JdBLnoxZb,7457632756,吃喝玩乐事,"【荣盛发展的李家庄扶贫故事：民宿小管家的忙碌生活】石家庄平山县的李家庄，因为耕地较少、土地贫瘠而陷于长期贫困。岗南水库的修建为李家庄带来了依山旁水的优美自然环境，2016年，荣盛发展同当地签署了旅游开发合作协议。作为扶贫的一种方式，该公司从村民的手中租下院子来打造佐邻佑里民宿客栈。仅用三年时间就实现村民人均收入翻两番——从2015年的5255元，增加到2018年的2万元。（@NBD视频,LS）@每日经济新闻LNBD视频的微博视频",,,"NBD视频,每日经济新闻",,0,0,0,2020-07-30 17:06,微博 weibo.com,,"http://f.video.weibocdn.com/000lZQuNgx07Ffbv5B0Q01041200b8t70E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1602645444&ssig=lXmmD1a0qv&KID=unistore,video",
4532429983068228,JdBEqcSby,6498137521,同花顺IPO,"【荣盛发展的李家庄扶贫故事：民宿小管家的忙碌生活】石家庄平山县的李家庄，因为耕地较少、土地贫瘠而陷于长期贫困。岗南水库的修建为李家庄带来了依山旁水的优美自然环境，2016年，荣盛发展同当地签署了旅游开发合作协议。作为扶贫的一种方式，该公司从村民的手中租下院子来打造佐邻佑里民宿客栈。仅用三年时间就实现村民人均收入翻两番——从2015年的5255元，增加到2018年的2万元。LNBD视频的微博视频（@NBD视频,LS）",,,NBD视频,,0,2,1,2020-07-30 16:49,同花顺ipo超话,,"http://f.video.weibocdn.com/000lZQuNgx07Ffbv5B0Q01041200b8t70E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1602645444&ssig=lXmmD1a0qv&KID=unistore,video",
4532429765483909,JdBE4n0C9,1649173367,每日经济新闻,"【荣盛发展的李家庄扶贫故事：民宿小管家的忙碌生活】石家庄平山县的李家庄，因为耕地较少、土地贫瘠而陷于长期贫困。岗南水库的修建为李家庄带来了依山旁水的优美自然环境，2016年，荣盛发展同当地签署了旅游开发合作协议。作为扶贫的一种方式，该公司从村民的手中租下院子来打造佐邻佑里民宿客栈。仅用三年时间就实现村民人均收入翻两番——从2015年的5255元，增加到2018年的2万元。LNBD视频的微博视频（@NBD视频,LS）",,,NBD视频,,0,1,15,2020-07-30 16:48,微博 weibo.com,,"http://f.video.weibocdn.com/000lZQuNgx07Ffbv5B0Q01041200b8t70E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1602645444&ssig=lXmmD1a0qv&KID=unistore,video",
4532428574821260,JdBC9keeg,6633713913,sz002146荣盛发展,荣盛发展sz002146视频丨荣盛发展的李家庄扶贫故事：民宿小管家的忙碌生活，点击链接查看更多->O网页链接,,,,,1,0,0,2020-07-30 16:44,微博股票,,,
4532423569709713,JdBu4EJWh,6452231600,NBD视频,【荣盛发展的李家庄扶贫故事：民宿小管家的忙碌生活】石家庄平山县的李家庄，因为耕地较少、土地贫瘠而陷于长期贫困。岗南水库的修建为李家庄带来了依山旁水的优美自然环境，2016年，荣盛发展同当地签署了旅游开发合作协议。作为扶贫的一种方式，该公司从村民的手中租下院子来打造佐邻佑里民宿客栈。仅用三年时间就实现村民人均收入翻两番——从2015年的5255元，增加到2018年的2万元。LNBD视频的微博视频,,,,,0,0,2,2020-07-30 16:24,微博视频,,"http://f.video.weibocdn.com/000lZQuNgx07Ffbv5B0Q01041200b8t70E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1602645444&ssig=lXmmD1a0qv&KID=unistore,video",
4522710208044551,J9wNmxKKP,6633713913,sz002146荣盛发展,"荣盛发展sz002146回馈社会,投身公益:荣盛发展精准扶贫助力教育事业发展，点击链接查看更多->O网页链接",,,,,1,0,0,2020-07-03 21:06,微博股票,,,
