id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4536314503899888,JfeHMgmxq,6852740134,文明安次,【道德模范|李双星：产业扶贫是根本农民增收最实惠】“李主任，咱们的采花机器人研制到啥程度了？”“您今天有时间来园区给大伙儿指点指点不？”……7月26日一大早，衡水市扶贫办副主任李双星的手机铃声响起，电话那头是阜城县王集乡党委书记都玉芳的邀约。被农民群众亲切称为“李扶贫”的李双星，曾先后被评为“中国扶贫开发典型人物”“全国劳动模范”“全国优秀共产党员”，还曾荣获“第六届全国道德模范提名奖”。20多年来，他始终坚持在扶贫前线。现任衡水市扶贫办副主任的他，尽管工作繁忙，但一有时间，就往农村、园区、贫困户等一线跑。这次一听说是为农民服务，他二话不说，欣然接受邀请。放下电话，李双星便收拾东西准备出发，记者跟随他驱车赶往位于阜城县王集乡张家庄村的阜城云农现代农业园区。夏日的天空中飘起了小雨，园区内，成方连片的辣椒，被洗得水灵灵的；悠然绽放的玫瑰花，显得更加娇艳欲滴，空气中也散发着沁人心脾的芬芳。“在李主任的指导下，玫瑰、辣椒产业成了王集乡助农增收的一个新兴产业。”都玉芳说，经过近两年的发展，园区内玫瑰种植面积达到1800亩，辣椒7000亩，同时还发展了1000亩的金银花和金丝皇菊花。2019年，园区带动周边12个村子1600多农户（其中贫困户102户）人均增收近7500元，每年提供就业岗位100多个，务工人员人均年收入2万元。“现在已经过了玫瑰花的采摘季，剩下的花只有观赏的价值了。”李双星告诉记者，一直以来，玫瑰花的采摘都是靠人工完成，耗费大量的人力。年初，李双星就开始琢磨：如果把智能机器人应用到玫瑰花、金银花的采摘上，那将会解放大量的劳动力。说干就干，他立马联系了科研院校，把想法告诉专家们。“对于机器人的研发，他们很有信心。”李双星欣慰地说道，“这也是我今年最大的心愿。”在辣椒种植区，张家庄村贫困户张占强正在查看辣椒的成熟情况。今年66岁的张占强，父女二人相依为命，以前靠着种植玉米、小麦等传统作物维持生计，生活窘迫，2016年被列为建档立卡贫困户。2018年，张家庄村依托阜城云农现代农业园区，开始推广辣椒、玫瑰、甜玉米等扶贫特色农产品种植，同时，种植户还享受政府补贴。当年，张占强便积极响应号召，试种了七亩地的甜玉米。甜玉米一年可种植两茬，成熟后由云农现代农业园区按保护价统一收购。一年下来，张占强仅种植甜玉米的收入就达到了12600元，当年顺利实现脱贫，彻底摘掉了“穷帽子”。尝到特色种植甜头的张占强2019年又响应村里的号召种了三亩地的辣椒，辣椒成熟后，园区按照合同收购，每亩地收入4000多元。“现在收入上去了，我把房子也装修啦，”张占强激动地说，“党和政府的好政策让我们父女二人生活有了希望，过上了幸福安稳的好日子。”“今年我种植了20亩辣椒，一亩收入大概在5000到6000元左右。我和园区还签订了订单回收协议，园区提供种苗和技术指导，收入有保障。”辣椒种植户张如河对现在的生活很是满意，“有车有房，吃得好，喝得好，这就是我的小康生活。”看到乡亲们的钱袋子鼓了，日子好过了，脸上的笑容多了，李双星的心踏实了。“过去都是让贫困户将扶贫资金入股合作社，但扶贫资金入股后，合作社种什么、效益如何，政府不好管、群众融不进。”李双星说，只有让贫困群众亲自参与到脱贫产业中，贫困户的增收才有保障。为此，今年初，衡水市创新实施了“联农带贫”模式，贫困户用扶贫资金购置种苗，以种苗加入村级种植合作社。合作社指导贫困户对农作物进行管理，对没有劳动能力的也可以代为管理，对收获的农作物果实进行统一收购、统一加工、统一销售，收益由合作社和贫困户合理分配。“带苗入社，贫困户的扶贫资金变成了看得见摸得着的产业，收入比原来资金入股增加了几倍，保障了贫困户的基本权益。”李双星介绍，这种模式也解决了合作社融资难问题，降低了合作社的生产成本，扩大了盈利空间，贫困户、合作社实现了双赢。云农现代农业园区内，玫瑰花悠然绽放。“先找市场、再抓生产，产销挂钩、以销定产。”衡水市大力发展订单农业，引进北京王致和、以岭药业、葵花药业、鲁花集团等农业产业化项目。目前全市确立订单式种植面积23万亩，其中非转基因大豆6万亩、高粱10万亩、金银花2万亩、辣椒2万亩、玫瑰花1万亩、林果2万亩。采访中，李双星说得最多的是“产业扶贫”“农民增收”，在他看来，产业兴农民富，让百姓过上好日子，是扶贫工作的出发点和落脚点。“2020年是打赢脱贫攻坚战收官之年，也意味着我们进入了后脱贫攻坚时代。”李双星说道，接下来还是要紧紧围绕产业扶贫，保证脱贫户不再返贫。目前，衡水市“一县一业”初具规模，在此规模下要带动贫困户和非贫困户一起致富。同时，借助成功园区的经验，保证龙头企业在全国市场上的份额，发挥带贫机制，让百姓的腰包真正鼓起来。“在脱贫攻坚和乡村振兴有机衔接上做大文章，确保高标准全面建成小康社会。”采访结束后，天放晴了。阳光下，一条条平坦的硬化道路直通农户，一座座新修房屋整齐排列，一片片农业园区生机盎然，一个个富民产业落地生根……如今的衡水，小康路上的奋进热情愈发高涨，足音更加铿锵！,,,,,0,0,0,2020-08-10 10:05,360安全浏览器,['http://ww1.sinaimg.cn/large/007tLoKGly1ghlhmvhossj30k00dg0tt.jpg'],,
4528105374619947,JbN9fjnRh,6219202991,阜城电视台567,#热点##【走向我们的小康生活】##原创#河北衡水：“联农带贫”促贫困户稳定增收6月24日一大早，阜城县张家庄村贫困户张国良就来到云农生态芳香园自己种植的玫瑰田，看着盛开的玫瑰花，他非常高兴。“种植玫瑰花，一亩地能比种玉米、小麦多收3000多元。我和园区签订了订单回收协议，园区提供种苗和技术指导，收入有保障。”张国良对这种模式很满意。张国良称赞的模式，是衡水市在种植业推广的“联农带贫”模式。这种模式变过去“扶贫资金入股”为“种苗入社”，使更多贫困户实现增收致富。“过去都是让贫困户将扶贫资金入股合作社，但扶贫资金入股后，合作社种什么、效益如何，政府不好管、群众融不进。”衡水市扶贫办副主任李双星说，只有让贫困群众亲自参与到脱贫产业中，贫困户的增收才有保障。为此，今年初，该市创新实施了“联农带贫”模式，贫困户用扶贫资金购置种苗，以种苗加入村级种植合作社。合作社指导贫困户对农作物进行管理，对没有劳动能力的也可以代为管理，对收获的农作物果实进行统一收购、统一加工、统一销售，收益由合作社和贫困户合理分配。“带苗入社，贫困户的扶贫资金变成了看得见摸得着的产业，收入比原来资金入股增加了几倍，保障了贫困户的基本权益。”李双星介绍，这种模式也解决了合作社融资难问题，降低了合作社的生产成本，扩大了盈利空间，贫困户、合作社实现了双赢。今年以来，枣强县11个乡镇通过“联农带贫”模式，与吉祥、欣苑等17个农业专业合作社达成合作，种植金银花10598亩，实现了贫困户人均一亩全覆盖。为使“联农带贫”模式收到实效，今年，衡水市整合市场信息，以“送教上门”形式，开展“一县一课”产业发展培训，因地制宜推广金银花、玫瑰花、杜仲、辣椒等适合本地种植的品种，供合作社和贫困群众选择。“先找市场、再抓生产，产销挂钩、以销定产。”在推荐产业的同时，该市大力发展订单农业，引进北京王致和、以岭药业、葵花药业、鲁花集团等农业产业化项目。目前全市确立订单式种植面积23万亩，其中非转基因大豆6万亩、高粱10万亩、金银花2万亩、辣椒2万亩、玫瑰花1万亩、林果2万亩。,,,,"热点,【走向我们的小康生活】,原创",0,0,1,2020-07-18 18:25,微博 weibo.com,"['http://ww3.sinaimg.cn/large/006MT8NFly1ggvatm4ezhj30k00bxwjz.jpg', 'http://ww2.sinaimg.cn/large/006MT8NFly1ggvatm4xylj30k00braf0.jpg']",,
4527696543221993,JbCvQdwbD,5308638992,展麟文化,叶展麟46【关于自己层次】人有三六九等，修到哪层说哪层有人愿做慈善，不愿做扶贫；慈善=商业投资；扶贫=人情透支；可怜之人必有可恨之处，地球人已达成共识，永远不要说忧伤的故事，祈求换来的是鄙视，不是同情既然可以站着，为什么跪着？#葵花药业原董事长被判11年#,,,,葵花药业原董事长被判11年,0,0,0,2020-07-17 15:20,搜狗高速浏览器,"['http://ww4.sinaimg.cn/large/005Ngvvygy1ggtzvk1ho5j30u01hc4qp.jpg', 'http://ww4.sinaimg.cn/large/005Ngvvygy1ggtzvk4mjrj30u01hcb14.jpg']",,
4503790302130116,J1ABo8W8I,2425904041,鹤壁经济广播,鹤壁经济广播FM994，新鲜资讯早知道！1、5月12日上午，政协第十一届鹤壁市委员会第三次会议在圆满完成各项议程后，胜利闭幕。2、截至4月底，我省181.88万名有就业能力和就业愿望的贫困劳动力基本实现就业。3、财政部、国家林草局近日明确，新一轮退耕还林每亩退耕地补助1200元，退耕还草每亩退耕地补助850元。4、受人力资源社会保障部委托，中国就业培训技术指导中心11日发布《关于对拟发布新职业信息进行公示的公告》，拟新增10个新职业，包括区块链工程技术人员、互联网营销师、核酸检测员等。5、商务部副部长王炳南12日表示，到目前为止，农村网民数量突破2.5亿，网购已经成为农民生活的常态，越来越多的服务和商品通过电商进入了农村，改变了农民的生活和消费习惯。6、司法部日前印发《关于开展“法援惠民生扶贫奔小康”品牌活动的实施方案》，《方案》指出，对疫情防控一线的医务人员、军人、人民警察、社区工作者、志愿者等提出的法律援助申请，免予审查经济困难状况。7、5月11至17日，人社部百日千万网络招聘专项行动将陆续推出浙江、安徽、福建、江西、山东、河南、湖北特色专场招聘活动，中粮集团、安徽港航集团、江铃汽车、葵花药业等近3万家各类企业将提供近24万个岗位。8、长假过后，有些孩子容易出现精神不好、食欲不佳、情绪焦虑等假期综合征。专家提醒，家长应帮助孩子及时调节作息，多和孩子进行亲子运动，帮助孩子提升免疫力，更好地适应开学后的学习与生活。9、经过6年的发掘，新疆考古人员日前确定，在奇台县境内的石城子遗址是东汉时期丝路重镇“疏勒城”的旧址。10、湖南男子邓某某谎称自己是新冠肺炎患者，要传染他人，犯编造虚假信息罪，被判有期徒刑一年。11、近日，足球巨星梅西向阿根廷一家基金会捐赠了50万欧元。该基金会将这笔钱用于采购抗疫物资，并分发到各大医院。12、北京时间11日晚，国际篮联正式确认2023年篮球世界杯将于8月25日至9月10日进行，小组赛在印尼、日本、菲律宾同时举办，这将是篮球世界杯历史上首次在多个国家举办。994新鲜报，编辑韶华，更多精彩内容请关注官方微信：鹤壁经济广播。,,,,,0,0,0,2020-05-12 16:05,360安全浏览器,,,
4503415227556747,J1qQqvHR1,6153295573,鲁南制药,"没有全民健康，就没有全面小康。为切实降低贫困人口用药负担，5月9日，中国社会扶贫网，与京东健康、京东公益联合发起了“健康中国•医药补助工程”。鲁南制药集团、天士力医药集团、苏中药业集团、葵花药业集团、上海中华药业、云南白药集团、扬子江药业集团等首批11家药企已加入医药补助工程。#让世界看到中国医药##鲁南制药,健康世界#O“健康中国·医药补助工程”启动，鲁南制药联合京东健康发力健康扶贫",,,,"让世界看到中国医药,鲁南制药,健康世界",1,4,9,2020-05-11 15:15,鲁南制药超话,,,
4502797226134499,J1aLEpJRx,1391928021,叶鑫--中原四嚎,汕头微力量【#贫困人群可每年从京东领1000元购药补助#】5月9日消息，中国社会扶贫网，与京东健康、京东公益联合发起了“健康中国•医药补助工程”。这项工程将面向全国建档立卡贫困户（含已脱贫贫困人口），提供每人每年1000元的购药补助，补助可在购买指定目录中的药品时使用。截至启动时，该项目的补助药品目录已有超过350种药品，覆盖包括心脑血管、感冒发热、肠胃疾病在内的数百种常见病与慢性疾病，未来还将迅速扩增至新特药、罕见病用药等。这项工程预计将在未来3到5年覆盖超过3000万人次，将切实减轻贫困群体医药费用负担，助力遏制因病致贫、因病返贫现象的发生，这也是国内目前覆盖范围最广、惠及人数最大、补助资金最多的健康扶贫项目。该项目的指定线上购药渠道为京东健康旗下自营零售药房——京东大药房，用户所购买药品由京东物流承运，配送范围可覆盖全国大部分地区；线下定点合作药房将由京东健康审定、筛选符合相关条件的零售药房，原则上每个乡镇范围内有1家。项目将优先启动线上平台的补助，线下采取部分地区先行试点、再向全国范围逐步推广的模式。目前，京东健康已与杭州民生健康药业、天士力医药集团、苏中药业集团、恩威医药股份、葵花药业集团、鲁南制药集团、上海中华药业、云南白药集团、扬子江药业集团、西安杨森制药、亚宝药业集团等首批11家药企达成合作，筛选出超过350种药品并确定补助比例，单品补助比例最高达68%。项目合作药企及补助目录内药品还将随着项目启动持续扩展、增加。,,汕头,,贫困人群可每年从京东领1000元购药补助,0,0,0,2020-05-09 22:19,汕头微力量超话,['http://ww2.sinaimg.cn/large/52f722d5gy1gemk897u9tj20pq0iok5x.jpg'],,
4427599012776871,IbzYxbEof,2511527114,荆门晚报,【白芨扶贫基地带动贫困户创收】近日，京山市永兴镇汀河村1700亩白芨中草药种植基地上30多位农民正在田间忙活。据了解，现今经过3年期培育，首批400亩白芨种苗已成熟，亩产在3000到4000斤。永兴镇白芨扶贫基地长期与九州通医药集团、葵花药业等知名药企开展战略合作，以“订单种植”实现自产自销，预计今年收益在500万元以上，目前已带动3万人次当地村民在家门口实现就业务工。（李凯孙晓宇摄）,,,,,0,0,0,2019-10-15 10:08,360安全浏览器,['http://ww2.sinaimg.cn/large/95b2dccagy1g7yntzu001j20go0b317g.jpg'],,
4412402109813191,I5cDoFaRh,7208148259,机遇河北,第四届京津冀中药材产业发展大会开幕9月1日上午，第四届京津冀中药材产业发展大会在保定安国市开幕。来自北京、天津、黑龙江、安徽、河北等140余家知名品牌中药制药企业与河北的中药材示范园区及基地进行深度产销对接，洽谈合作。大会以“绿色、健康、共享、发展”为主题，突出招商对接，重点设置了展示展销、大招商、精准对接等内容，吸引了同仁堂、天士力、葵花药业、金木集团等名优药企代表，中粮信托、中铁中基等产业集团代表，中药材采购商代表，以及河北省中药材生产基地和贫困县重点农业企业负责人等1800余人参加。近千种中药材产品亮相记者在会场看到，产品展示设置了全省中药材发展概况展区、道地药材精品展区、中药材扶贫、大健康产品、中医康养、安国中药都特色展、药都文化区和物资装备等14个板块110个展位，涉及60个中药材产业县近1000种中药材产品。其中，安国“八大祁药”、巨鹿金银花、邢枣仁、涉县柴胡和连翘、滦平热河黄芩、隆化北苍术、蔚县知母、清河山楂、围场金莲花等等28个优势道地中药材悉数亮相，吸引大批中药企业驻足观摩、对接洽谈。药膳品鉴实现零距离产销对接本次大会的亮点——药膳推介，以安国“八大祁药”为主，从全省各地选送了巨鹿金银花、邢台酸枣、涉县全蝎、磁县蒲公英、隆化桔梗、围场黄芪、泊头桑葚、吴桥紫苏等38种药食两用中药材产品，通过现场介绍、现场烹饪，京津冀中药制药企业和河北省中药材种植基地代表同桌品鉴、一对一交流，加深了对河北省中药材品质特点、规模产量和主要功效等情况的了解，达到了推介产品、促成合作的效果，同时让大家近距离感受和体验药膳养生保健文化，增进与会代表对河北中药材传统文化的了解。招商推介提升品牌影响力为多面推介河北省中药材产业发展成效，吸引更多中药制药和饮片企业投资河北，大会前期，河北省农业农村厅组织筛选了268个中药材示范园区50多万亩基地，在河北新闻网、河北农业信息网集中发布原料药材供应信息，抱团对外招商。会上，河北省农业农村厅代表全省种植基地发布丹参、知母、防风、板蓝根等中药原料供应信息12.7万亩，预计产量2.2万吨，河北省工信厅代表中药企业发布黄芪、连翘、防风等中药原料需求信息4772吨。馆陶、安国、内丘等10个县，以宣讲、歌舞、宣传片等方式，推介当地的道地中药材代言，提高产品影响力。（张淑梅）来源：河北新闻网,,,,,0,0,0,2019-09-03 11:41,360安全浏览器,,,
4268266865941052,GsDVQoVxq,5115667579,安信卓越投资管理北京有限公司,【全国工商联第一联系调研组贵州调研】2018年7月30日下午，全国工商联第一联系调研组在中国民间商会副会长，贵州兴伟集团董事长王伟带领下，走访了葵花药业集团（贵州）宏奇有限公司并进行座谈，对公司生产、销售、发展及企业情况进行了解。随后，调研组一行先后走访了六盘水市工商联，六枝特区工商联。六盘水市政协副主席、工商联主席范三川，六盘水市统战部副部长、市工商联党组书记、副主席吕贵平就开展构建亲清政商关系，民营企业推动实施乡村振兴战略和工商联联系服务非公有制经济人士发展好的做法和经验作了汇报。在听取汇报后，王伟对六盘水市工商联的工作做法和取得的成绩表示肯定。他要求，市工商联工作要有亮点，通过调研，怎么让企业和工商联牵头，打造一个品牌，争取得到全国工商联、省工商联的支持，让更多民营企业家参与扶贫攻坚，让更多老百姓脱贫致富。O网页链接,,,,,0,0,0,2018-08-01 17:59,搜狗高速浏览器,"['http://ww2.sinaimg.cn/large/005AcOPply1ftucscwtonj30m80dsn1s.jpg', 'http://ww2.sinaimg.cn/large/005AcOPply1ftucscxquyj30m80ej0zc.jpg']",,
4244205268320931,GixYOyUEz,1244717830,扎网_张旸,为了关爱乡村贫困留守儿童，助力精准扶贫，强化社会合力，让爱心企业与留守儿童进行直接的帮扶对接，经过扎网公益的努力协调和争取，2018年5月15日，扎网公益携手小葵花药业集团、利民医药有限责任公司联合举办的关爱留守儿童公益活动在香山中心校举行，给留守儿童送去了关心和关爱。详情点开：O网页链接@共青团中央@中国志愿服务联合会@中国正能量@内蒙古团委@社会扶贫@关爱留守儿童公益行动@乡村教师代言人-马云,,,"共青团中央,中国志愿服务联合会,中国正能量,内蒙古团委,社会扶贫,关爱留守儿童公益行动,乡村教师代言人-马云",,2,0,1,2018-05-27 08:27,iPhone客户端,"['http://ww1.sinaimg.cn/large/4a30e306ly1frplb9ax84j20u00ifn2i.jpg', 'http://ww1.sinaimg.cn/large/4a30e306ly1frplb9oun4j20ky0ce411.jpg', 'http://ww2.sinaimg.cn/large/4a30e306ly1frplba94l2j20u00k0whx.jpg', 'http://ww3.sinaimg.cn/large/4a30e306ly1frplbanqimj20u00miwk2.jpg', 'http://ww4.sinaimg.cn/large/4a30e306ly1frplb8p9nsj20u00miagc.jpg', 'http://ww4.sinaimg.cn/large/4a30e306ly1frplbb0fnvj20u00k0n0l.jpg', 'http://ww3.sinaimg.cn/large/4a30e306ly1frplbb9pb1j20u00k0gph.jpg', 'http://ww3.sinaimg.cn/large/4a30e306ly1frplbbq9k1j20u00k0n1b.jpg', 'http://ww1.sinaimg.cn/large/4a30e306ly1frplbcayhmj20u00lzgsz.jpg']",,
