id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4552813999560664,Jm9VRE7ag,6863512516,牛股先峰,给大家分析一下票，看看今天的走势，下面有不懂的或者个股被套的，去留拿捏不准的，私信我，我会一一给大家讲解。*ST麦趣金一文化金轮股份金莱特海洋王跃岭股份龙大肉食一心堂特一药业好利来电光科技萃华珠宝燕塘乳L业雄韬股份利民股份王子新材国信证券葵花药业中矿资源万达电影爱迪尔光华科技三圣股份富煌钢构木林森仙坛股份埃斯顿世龙实业国光股份龙津药业易尚展示异兴股份永东股份奥赛康永兴材料南兴股份华通医药天际股份凤形股份多喜爱金发拉比汇洁股份蓝黛传动*ST索菱先锋电子国恩股份普路通ST科迪真视通众兴菌业康弘药业快意电梯#基金##股票##今日看盘##财经##创业板##投资##东方财富##上证指数#,,,,"基金,股票,今日看盘,财经,创业板,投资,东方财富,上证指数",0,0,0,2020-09-24 22:48,360安全浏览器,,,
4552797968148069,Jm9w0ybGt,6864507121,股票刘姐,给大家分析一下票，看看今天的走势，下面有不懂的或者个股被套的，去留拿捏不准的，私信我，我会一一给大家讲解。京粮控股晨鸣纸业东阿阿胶ST宜化吉林化纤合肥百货民生控股快速跌幅天准科技中新赛克安科生物*ST湘电汇纳科技康德莱醋化股份福耀玻璃神思电子今日量比交控科技嘉友国际*ST德豪冰山冷热宁波精达东宝生物蓝黛传动高乐股份英特集团*ST沈机ST地矿胜利股份金融街潍柴动力国际实业快速跌幅天铁股份祁连山欧亚集团片仔癀塞力斯尖峰集团杰赛科技海昌新材正泰电器今日量比海正药业中衡设计光正集团锦江酒店博创科技铁岭新城华夏航空华东电脑#基金##股票##今日看盘##财经##创业板##投资##东方财富##上证指数#,,,,"基金,股票,今日看盘,财经,创业板,投资,东方财富,上证指数",0,0,0,2020-09-24 21:44,微博 weibo.com,,,
4552776618610277,Jm8XzA7Vr,6869197243,牛股张姐,持有以下股票的朋友，如有个股疑问，私信我，我给大家分析讲解爱迪尔光华科技三圣股份富煌钢构木林森仙坛股份埃斯顿世龙实业国光股份龙津药业易尚展示异兴股份永东股份奥赛康永兴材料南兴股份华通医药天际股份凤形股份多喜爱金发拉比汇洁股份蓝黛传动*ST索菱先锋电子国恩股份普路通ST科迪真视通众兴菌业康弘药业快意电梯文科园林柏堡龙久远银海高科石化中坚科技三夫户外奇信股份可立克凯龙股份#今日看盘##股票##财经##东方财富##股市##A股#,,,,"今日看盘,股票,财经,东方财富,A股",0,0,0,2020-09-24 20:19,微博 weibo.com,,,
4552767903368208,Jm8Jwe8dW,6864507121,股票刘姐,给大家分析一下票，看看今天的走势，下面有不懂的或者个股被套的，去留拿捏不准的，私信我，我会一一给大家讲解。回盛生物好莱客华联控股玉龙股份江阴银行国元证券志邦家居快速跌幅芒果超媒准北矿业蓝黛传动隆平高科证通电子云海金属三棵树ST坊展亿联网络今日量比中颖电子新野纺织晶澳科技延长化建青岛啤酒新华百货迈克生物大唐电信华北制药华微电子上机数控三变科技雅本化学海王生物华纺股份快速跌幅龙源技术东方航空东方电子浙数文化四环生物孚日股份达志科技中国联通川投能源今日量比巨人网络德展健康阳光电源高鸿股份隆平高科兴源环境柏堡龙京东方A#基金##股票##今日看盘##财经##创业板##投资##东方财富##上证指数#,,,,"基金,股票,今日看盘,财经,创业板,投资,东方财富,上证指数",0,0,0,2020-09-24 19:45,微博 weibo.com,,,
4552734655648048,Jm7RTnHjy,6863512516,牛股先峰,给大家分析一下票，看看今天的走势，下面有不懂的或者个股被套的，去留拿捏不准的，私信我，我会一一给大家讲解。海越能源广东明珠华菱星马中航电子西南证券华联综超亚宝药业阳泉煤业快速跌幅北大医药华闻集团英洛华中国武夷四川九洲云铝股份铁岭新城创维数字今日量比杭叉集团万达信息明泰铝业西部资源航天电子双杰电气工商银行东旭光电西藏珠峰长春燃气宏达股份华发股份正源股份营口港农发种业平高电气快速跌幅冰轮环境ST慧业航锦科技*ST节能超声电子东莞控股天音控股五矿稀土今日量比交控科技嘉友国际*ST德豪冰山冷热宁波精达东宝生物蓝黛传动高乐股份#基金##股票##今日看盘##财经##创业板##投资##东方财富##上证指数#,,,,"基金,股票,今日看盘,财经,创业板,投资,东方财富,上证指数",0,0,0,2020-09-24 17:33,360安全浏览器,,,
4552732646572574,Jm7OErzPg,6855461153,股海掘金老李,如果大家手上有以下个股去留拿捏不准的可以私信我我会给大家一一回复北京银行重庆路桥周大生大元泵业*ST大港三江购物上海能源法狮龙中孚信息太极实业凯撒文化香溢融通蓝黛传动今日振幅排名通源石油华力创通同和药业宝德股份华闻集团奥普家居民丰特纸中海达绿景控股诚志股份中富通亿纬锂能泰晶科技今日委比正序排名大亚圣象川大智胜哈三联兴蓉环境合康新能惠程科技苏交科中信证券基蛋生物宏达高科博云新材张江高科积成电子#今日看盘##A股##股市##股票##财经#,,,,"今日看盘,A股,股票,财经",0,0,0,2020-09-24 17:25,微博股票,,,
4552721880062008,Jm7xi0g88,6864507121,股票刘姐,给大家分析一下票，看看今天的走势，下面有不懂的或者个股被套的，去留拿捏不准的，私信我，我会一一给大家讲解。仙坛股份埃斯顿世龙实业国光股份龙津药业易尚展示异兴股份永东股份奥赛康永兴材料南兴股份华通医药天际股份凤形股份多喜爱金发拉比汇洁股份蓝黛传动*ST索菱先锋电子国恩股份普路通ST科迪真视通众兴菌业康弘药业快意电梯文科园林柏堡龙久远银海高科石化中坚科技三夫户外奇信股份可立克凯龙股份万里石银宝山新华源控股鹭燕医药建艺集团瑞尔特坚朗五金通宇通讯罗欣药业永和智控世嘉科技第一创业帝欧家居环球印务天顺股份微光股份#基金##股票##今日看盘##财经##创业板##投资##东方财富##上证指数#,,,,"基金,股票,今日看盘,财经,创业板,投资,东方财富,上证指数",0,0,0,2020-09-24 16:42,微博 weibo.com,,,
4552718172294872,Jm7rj9D04,6855461153,股海掘金老李,如果大家手上有以下个股去留拿捏不准的可以私信我我会给大家一一回复中国联通ST坊展三棵树云海金属证通电子隆平高科蓝黛传动淮北矿业芒果超媒巨人网络三友医疗赛腾股份海航基础快速跌幅排名兄弟科技ST昌九航天工程航发科技齐峰新材江苏国泰聚合顺神州泰岳豫金刚石奇安信U香雪制药金杯电工金鹰股份今日委比负序排名大连港北新路桥金发科技财信发展大唐电信三美股份宝莱特神马股份泛微网络跃岭股份新宁物流通程控股兰州黄河#今日看盘##A股##股市##股票##财经#中国联通sh600050,,,,"今日看盘,A股,股票,财经",0,0,0,2020-09-24 16:27,微博股票,,,
4552716825398793,Jm7p8mEtj,6860983316,牛股陈姐,持有以下股票的朋友，如有个股疑问，私信我，我给大家分析讲解华通医药天际股份凤形股份多喜爱金发拉比汇洁股份蓝黛传动*ST索菱先锋电子国恩股份普路通ST科迪真视通众兴菌业康弘药业快意电梯文科园林柏堡龙久远银海高科石化中坚科技三夫户外奇信股份可立克凯龙股份万里石银宝山新华源控股鹭燕医药建艺集团瑞尔特坚朗五金通宇通讯罗欣药业永和智控世嘉科技第一创业帝欧家居环球印务天顺股份微光股份洪汇新材吉宏股份丰元股份华锋股份江阴银行恒久科技红墙股份山东赫达郑中设计恩捷股份路畅科技崇达技术和科达黄山胶囊富森美东方中科桂发祥凯莱英中装建设凯中精密和胜股份纳尔股份易明医药高争民爆贝肯能源星网宇达名雕股份裕同科技比音勒芬弘亚数控同为股份新宏泽英维克道恩股份张家港行华统股份视源股份翔鹭钨业泰嘉股份同兴达英联股份#今日看盘##股票##财经##东方财富##股市##A股#,,,,"今日看盘,股票,财经,东方财富,A股",0,0,0,2020-09-24 16:22,搜狗高速浏览器,,,
4552683609926025,Jm6xyFEdb,6855461153,股海掘金老李,如果大家手上有以下个股去留拿捏不准的可以私信我我会给大家一一回复中科海讯华峰测控乐鑫科技东方雨虹四川九洲广州发展上海银行微芯生物华鑫股份奥佳华苏州银行中国银河今日振幅排名*ST成城新天科技英杰电气恒银科技奥福环保硅宝科技安靠智电任子行科威尔ST柳化科大智能上实发展春光科技今日委比正序排名司尔特洛阳铝业视觉中国韵达股份西藏城投中石科技厦门象屿太阳电缆粵桂股份财信发展璞泰来蓝黛传动山东墨龙#今日看盘##A股##股市##股票##财经#,,,,"今日看盘,A股,股票,财经",0,0,0,2020-09-24 14:10,微博 weibo.com,,,
