id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4556456484153622,JnGGQhqxU,3240040064,JeaneJJ,《我和我的家乡》五个小故事。关于医保，乡村振兴，教育，西部建设，扶贫。最后一个故事沈腾和马丽，特别搞笑，有笑点，有寓意，有感动，家乡引发了每个人的家乡情，共同为家长建设贡献一份力，正值祖国华诞，祝愿祖国繁荣昌盛！gohome！,,,,,0,0,0,2020-10-05 00:02,Android,"['http://ww4.sinaimg.cn/large/c11f1680ly1gjdqwncyjaj21jg13c7ao.jpg', 'http://ww1.sinaimg.cn/large/c11f1680ly1gjdqwnqzm1j21jk12zkaf.jpg', 'http://ww1.sinaimg.cn/large/c11f1680ly1gjdqwo675nj21ji136wx1.jpg', 'http://ww3.sinaimg.cn/large/c11f1680ly1gjdqwoqxpdj21je12ugz8.jpg', 'http://ww2.sinaimg.cn/large/c11f1680ly1gjdqwp3w9zj21ii12p7eq.jpg', 'http://ww1.sinaimg.cn/large/c11f1680ly1gjdqwpmzptj21jh12qqcw.jpg', 'http://ww3.sinaimg.cn/large/c11f1680ly1gjdqwqn7p0j21jj12v7ez.jpg', 'http://ww2.sinaimg.cn/large/c11f1680ly1gjdqwrb5bzj21jf12tqhm.jpg', 'http://ww1.sinaimg.cn/large/c11f1680ly1gjdqwrv8v4j21jk12n4dh.jpg']",,
4555602909467919,Jnku6DJ2n,6987675301,撩拨你的情意,再一个五年计划内，国家继续扶贫工作和西部建设，那么广东等沿海地区如果不懂得反利务工人员利益！那么，先富起来的人带动不了大家致富，必将被民众抛弃！我族自古就有：自身强，顾天下！忽视国内发展机遇，就忽视根本，当今不是唯一求外来技术和资金的时期，而我族民众简单：能过好日子就去干，幸福是干出来的！新的五年计划，不懂珍惜，那个沿海地区将是空城，因为新时期世界局势有个更重要问题：沿海先受攻击！阶段性发展不能掩饰南人的智商缺陷！团结统一和民安国强是我信念，如果有说过火请原谅！,,,,,0,0,0,2020-10-02 15:30,微博极速版,,,
4555298109657234,JncyuEwhQ,5981620145,进击的仓鼠君丶,#我和我的家乡票房破2亿#好久没写过影评了今天和外甥女老姐一起看了我和我的家乡感觉不错，首先这个电影分为五个小故事，和我和我的祖国是姊妹篇，我给他大概得概括:医保，乡村振兴，教育，西部建设（好像是西部），扶贫。一开始看到第三个，最后一课，我感觉非常棒，后来第五个的时候，第五个成为我最喜欢的一个小故事，可能是因为我也是一名扶贫干部吧。每个故事都有很好的寓意，有笑点，也有哲理，这几部的演员都很喜欢，尤其是方言，感觉是真的用心了。五个故事的核心，家乡引发了每个人的家乡情，大爱最后一个故事，神笔马亮，真的让我十分感动，坚信我自己也能在扶贫工作中，奉献我的一份力量，正值祖国华诞，希望祖国繁荣昌盛！,,,,我和我的家乡票房破2亿,0,0,13,2020-10-01 19:19,nova5Pro人像超级夜景,"['http://ww4.sinaimg.cn/large/006wOgEhly1gja1ql5u8bj351c3s0e85.jpg', 'http://ww1.sinaimg.cn/large/006wOgEhly1gja1qn39d8j33342bckjl.jpg', 'http://ww1.sinaimg.cn/large/006wOgEhly1gja1qovlpmj33342bcb2a.jpg', 'http://ww1.sinaimg.cn/large/006wOgEhly1gja1qqjrojj33342bcb2a.jpg', 'http://ww4.sinaimg.cn/large/006wOgEhly1gja1qt9rquj33342bc1ky.jpg']",,
4543433266692747,JidTEs55x,5633404885,艾温永_305,公益事业是现在和未来的梦想。这是我们一直想做的事情。“那些一直热衷于公益事业的人，作为世卫组织特使，为‘爱’代言，长城守护者唤起了公益力量。爱心基金逐步落实，百万基金支持留守儿童工程。球迷响应号召，在中国西部建设希望小学，建设黔西森林扶贫。用善行净化自己，“义”是不可否认的。四个字dbxj四个字匣子四个字YSF四个字sndn四个字可爱四个字JW四个字帅气四个字二十四个字猫四个字dbxj四个字字匣子四个字甜蜜四个字雕塑yyqx雕塑四个字弟弟四个字友爱cyyqx帅气yyqx中国戏曲yyqx华为yyqxsuyyqx舒适圈yyqx发型yyqx长安12:00yyqx封面yyqx年轻人的你yyqx帅气yyqxYouyicyyqxsndn,,唐山,,,0,0,0,2020-08-30 01:32,iPhone客户端,['http://ww3.sinaimg.cn/large/0069fbX7ly1gi877oec3fg30c806kjsm.jpg'],,
4530268519794363,JcHqbF5XB,1700087532,三湘都市报,#湖南身边事#【#湖南#350名大学生西部计划志愿者将赴西部开展志愿服务】“做一件终身难忘的事情，默默奉献；践行着，成熟着，我们不求超越，只求无愧。”7月23日上午，伴随着铿锵的朗诵声，2020年湖南省大学生志愿服务西部计划出征仪式在云端拉开了帷幕。据悉，2020年湖南省项目办采取“云培训+云出征”的形式，对志愿者进行了为期4天的线上培训，并举办线上出征仪式。省项目办从国家部委、省内外高校和扶贫一线邀请到了政治理论、志愿服务、精准扶贫、心理健康、教育技术等各方面的专家，为志愿者们讲授“不忘初心，牢记使命”专题、志愿服务礼仪、西部计划与精准扶贫、公文写作、课件制作等课程。四天的培训，让志愿者懂得了如何在未来岗位上去践行自己的初心和使命；领悟了如何在建设全面小康的道路上去助力每一位贫困户脱贫；收获了如何在志愿服务的岗位上写下自己的无悔青春！仪式过后，志愿者们将陆续前往西部，为祖国的西部建设贡献青春力量。“到西部去，到基层去，到祖国需要的地方去”，西藏地区分队、新疆地区分队、四川地区分队、广西地区分队、湘西州分队、清华大学研支团吉首市分队、中南大学研支团江华县分队等16支队伍整装待发。记者了解到，2020年湖南省内77所高校共6470人报名西部计划，最终招募志愿者350名。他们将肩负时代重任，奔赴西部各地，就像他们在《生逢其时，矢志奋斗》里朗诵的那样，“无论山水相隔，无论风雨阻挡，我们将以微笑和坚强传播责任和梦想。”（记者杨斯涵黄京通讯员彭南勇邱世林）,,,,"湖南身边事,湖南",1,0,14,2020-07-24 17:40,微博 weibo.com,"['http://ww3.sinaimg.cn/large/655546ecgy1gh279gw879j20m80goad5.jpg', 'http://ww4.sinaimg.cn/large/655546ecgy1gh279h0q91j20m80godkp.jpg']",,
4523260232821080,J9L6vbPTi,5536862042,5536862042_776,一些在最后回不了故乡的人真三国无双8季汉屏摄,,,,,127,24,95,2020-07-05 09:32,iPhone客户端,"['http://ww3.sinaimg.cn/large/0062I6Kugy1ggfua9vzffj30ku0mutfj.jpg', 'http://ww1.sinaimg.cn/large/0062I6Kugy1ggfua7ppufj30ku0ngjzg.jpg', 'http://ww1.sinaimg.cn/large/0062I6Kugy1ggfuab5310j30ku0nhn2c.jpg', 'http://ww1.sinaimg.cn/large/0062I6Kugy1ggfuaf552xj30ku0nhafp.jpg', 'http://ww4.sinaimg.cn/large/0062I6Kugy1ggfuafj98tj30ku0z7qa7.jpg', 'http://ww4.sinaimg.cn/large/0062I6Kugy1ggfuabiqqyj30ku0nhdmt.jpg', 'http://ww2.sinaimg.cn/large/0062I6Kugy1ggfua8enalj30ku0nh0yp.jpg', 'http://ww4.sinaimg.cn/large/0062I6Kugy1ggfua98tc7j30ku0z5tfx.jpg', 'http://ww3.sinaimg.cn/large/0062I6Kugy1ggfuac0ehqj30ku0nhjy6.jpg']",,
4526889329326361,JbhvSD8db,3573805492,山中豔鬼,发现三国新的解读视角――支援西部建设的石家庄人赵子龙；甘肃技术大牛马超南下技术扶贫；蜀汉：西部大开发基地。我笑死,,,,,0,0,0,2020-07-15 09:53,前置双摄vivo X9sPlus,,,4523260232821080
4520836189619966,J8K2KEmAK,6543696079,四川建设,【扶贫帮困助力脱贫百份物资捐助温暖天府环卫】6月22日下午，由中建西部建设建材科学研究院联合天府新区生态环境和城市管理局、天府英才发展促进会举行的“扶贫帮困助力甘肃三县脱贫、百份物资捐助温暖天府环卫”慰问活动在成都天府新区中建大厦附近举行。受疫情影响，本次活动仅邀请了10名环卫工人代表参加现场物资发放，其余物资均由新区环卫处负责发放至每名环卫工手中。据悉，本次慰问活动发放的百余份物资均由中建西部建设研究院从中建集团甘肃定点扶贫县采购。（封面新闻）,,,,,1,1,1,2020-06-28 17:00,微博 weibo.com,['http://ww1.sinaimg.cn/large/0078QGh9gy1gg7sjf9xtaj315o0t2u0y.jpg'],,
4519331395094697,J86TFlnmx,6266787289,民丰网信,【脱贫攻坚·战贫故事】脱贫攻坚路上的夫妻档——开着小轿车一起上下班5月17日上午，在地处吉木萨尔县循环经济工业园区内的新疆中建西部建设水泥制造有限公司机修车间里，电焊工阿不都拉苏拉·库尔班正忙着焊接铁制工件，忙得不亦乐乎。阿不都拉苏拉今年35岁，2015年，他以一名临时工的身份入厂工作，如今，他不仅成了厂里的正式职工，还成长为技术骨干。在他的带动下，妻子也走出家门就业，一家人由此实现了稳定增收。“出来了才知道天地这么广阔，当工人的决定是正确的。”阿不都拉苏拉说。但在5年前，阿不都拉苏拉的想法却不是这样的。阿不都拉苏拉家曾是吉木萨尔县老台乡老台村建档立卡贫困户，家中有4口人。5年前，家里的经济来源主要靠30亩承包地的收成和阿不都拉苏拉在外打零工。因为地里收入一般，加上阿不都拉苏拉打零工收入不稳定，日子过得紧紧巴巴。扶贫先扶志。针对阿不都拉苏拉家的情况，昌吉回族自治州卫健委驻老台村“访惠聚”工作队制定了一对一帮扶计划，积极做起阿不都拉苏拉和他妻子的思想工作，鼓励他们大胆走出去，通过进厂务工实现增收。“当时阿不都拉苏拉有一定的电焊工基础，我们就一直做他的思想工作，希望他能够进企业从事电焊工作，这样收入自然就能提高了。与此同时，我们也积极动员他的妻子米克然·吐尔逊不要待在家里，要敢于走出家门。”昌吉州卫健委驻老台村“访惠聚”工作队队长、第一书记卢丽娟回忆道。2015年春天，在工作队的鼓励下，阿不都拉苏拉来到新疆中建西部建设水泥制造有限公司务工。在厂里阿不都拉苏拉吃苦耐劳，由此赢得了公司的重视。不久，他被安排到公司的机修车间当了一名电焊工。经过几年的努力，现在的阿不都拉苏拉已成长为技术骨干，每月收入都在3500元以上。看到丈夫进厂后不但收入提高了，思想观念也在不断发生变化，妻子米克然也不甘落后。2019年，她走出家门，成为一家企业的工人。今年3月，米克然报考了工商管理专业的函授大专。“走出家门后我渐渐明白，人生的幸福和自己的努力息息相关，我还要不断提升自己，希望将来毕业后能更好地工作。”米克然说。这几年，有了稳定收入的阿不都拉苏拉家日子越过越好，家里盖起了新房、买了私家车。平日里，夫妻俩开着小轿车一起上下班，心里美滋滋的。“脱贫只是第一步，我们的目标是要过上幸福的小康生活，我们还要继续奋斗。”阿不都拉苏拉信心满满地说。O开着小轿车一起上下班,,,,,0,0,1,2020-06-24 13:20,微博 weibo.com,,,
4513576603516668,J5HbKeKQs,1852299857,屠龙的胭脂井,上午那个帖子底下，某些男的说，女的不生孩子，没有责任感。那我问你这么一件事，你上班是为了责任感吗？不给工资你干吗？有的男的说，女的不繁衍后代，社会没有孩子了，这是原罪。那我再问你，社会需要你去奉献的地方多了，你奉献过吗？你献过血了？你捐过款了？你去山区下基层过吗？实际上，这世界上，绝大多数人都是真实的人，都是靠经济学原理来运行，不是靠你“道德感召”。如果一个女生不生孩子，显然是从经济学角度，她认为，目前她生孩子不太值得。让你能凭国家一句道德感召，把自己一年工资全捐出来，我估计你都不干吧？好多男同志交点税，都肉疼要命呢。那你怎么能要求别人通过一句道德感召，就生出一个孩子呢？再说了，你真是喜欢小孩吗？真的爱孩子吗？你去给留守儿童做过义工吗？你给山区儿童捐过免费午餐吗？不，你爱的根本不是孩子，你也永远不会被道德感召。你只是想出来教训人而已。为什么你想网上教训人呢？因为你在生活中是个loser，没人在现实里听你教训。,,,,,8710,1055,41111,2020-06-08 16:13,HUAWEI Mate 30 5G,,,
