id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4559164434560064,JoP8vj8hq,5991625814,贵安双创,#贵安新区#【向“数字经济”和“数字社会”转型网信中国9大看点】虚拟网络空间不断深化、拓展，给经济生活和社会生活带来巨大影响；“互联网+”“智能+”风起云涌，深刻变革人们的生产方式和生活方式。紧紧抓住现代信息科技革命机遇，新时代的中国正在大踏步向“数字经济”和“数字社会”转型嬗变。　　根据中国互联网络信息中心近日发布的第46次《中国互联网络发展状况统计报告》，截至今年6月，中国网民达9.40亿，互联网普及率达67%。在防控新冠肺炎疫情取得重大战略成果的背景下，中国网络继续保持稳步发展势头，催生新业态、新经济，倡导新文化、新风尚，满足新需求，促进新治理。　　①聚集战疫磅礴力量　　在抗击新冠疫情过程中，中国互联网基础建设、互联网应用和互联网政务等起到至关重要作用，为精准防控，保障人民生产生活作出了突出贡献。　　新冠肺炎疫情期间，国家互联网基础资源管理机构快速反应、积极应对，全力保障互联网基础资源系统平稳运行。国家政务服务平台建设“防疫健康信息码”，汇聚并支撑各地共享“健康码”数据6.23亿条，累计服务达6亿人次，支撑全国绝大部分地区“健康码”实现“一码通行”，助力精准防控。　　网络新闻与社交平台、搜索引擎等互联网应用形成有效联动，团结鼓舞全国人民共同打好抗疫人民战争，帮助人民群众及时获取抗疫动态，做好个人防护，避免疫情进一步扩散。远程办公、在线教育、网络游戏等互联网应用有效满足网民工作、学习、娱乐等切实需要，为全社会“重启”和经济复苏提供强大助力。在网信战线的有力配合下，我国迅速遏制疫情蔓延势头，夺取了全国抗疫斗争重大战略成果。　　②网络“新基建”增新活力　　今年上半年，中央密集部署加快“新基建”进度，网络“新基建”发展速度空前，在多个重要领域取得重大进展。在5G领域，截至6月底，5G终端连接数已超过6600万，基础电信企业已开通5G基站超40万个，建设速度和规模超出预期。在工业互联网领域，已培育形成超过500个特色鲜明、能力多样的工业互联网平台，其中具备一定行业、区域影响力的平台数量超过70个，部分重点平台服务工业企业近8万家。　　今年6月，我国在西昌卫星发射中心用长征三号乙运载火箭，成功发射北斗系统第55颗导航卫星。至此，北斗三号全球卫星导航系统星座部署全面完成，比计划提前半年。在卫星互联网领域，我国正逐步尝试突破卫星互联网关键技术，相继启动多个低轨卫星星座计划。今年1月，我国民营航天企业发射低轨宽带试验卫星。　　③IPv6规模部署再提速　　自《推进互联网协议第六版（IPv6）规模部署行动计划》发布以来，IPv6部署再提速。今年3月，工业和信息化部发布《关于开展2020年IPv6端到端贯通能力提升专项行动的通知》，进一步强化IPv6规模部署工作。　　截至今年6月，我国IPv6地址数量达50903块/32，居世界第二位。截至今年7月，我国已经分配IPv6地址用户数达到14.42亿，IPv6活跃用户数已达3.62亿；IPv6国际出入口带宽从无到有，已开通90Gbps；国内用户量排名前100位的商业网站及应用已全部支持IPv6访问。此外，“.CN”域名总数达2304万个，较2019年底增长2.8%，继续保持国家和地区顶级域名数全球第一。　　④网络扶贫成效显著　　截至今年6月，中国网民规模达9.4亿，较3月增长3625万，互联网普及率达67%，较3月提升2.5个百分点。随着网络覆盖工程的深入拓展，农村和城市“同网同速”的时代正在到来，为网络扶贫提供坚实助力。　　农村地区互联网普及率为52.3%，较今年3月大幅提升6.1个百分点，城乡互联网普及率差异缩小6.3个百分点。电信普遍服务试点已累计支持超过13万个建制村光纤网络通达和数万个4G基站建设，其中约1/3的任务部署在贫困村。全国贫困村通光纤比例从2017年的不足70%提升至98%，深度贫困地区贫困村通宽带比例从25%提升至98%，提前超额完成“十三五”规划纲要提出的“宽带网络覆盖90%以上贫困村”的目标。截至今年6月，认可互联网“为贫困群众提供帮助”“通过电商助力农产品销售”以及“为贫困群众提供更多工作和医疗教育机会”的网民比例较今年3月均有所提升。　　⑤网络零售塑造新格局　　从2013年起，中国已连续7年成为全球最大的网络零售市场。截至今年6月，我国网络购物用户规模达7.49亿，较2020年3月增长5.5%，占网民整体的比例提升至79.7%。面对新冠肺炎疫情的严峻挑战，网络零售市场为支撑消费增长，打通国内经济内循环提供了有力支撑。今年上半年，全国网上零售额约5.15万亿元，同比增长7.3%，其中实物商品网上零售额占社会消费品零售总额的比重达25.2%。　　网络购物充分发挥促消费、助转型、保市场等作用，不断增强经济的韧性。各类网购消费节、电子消费券等有力释放了消费潜力，促进了消费回暖。跨境电商、农产品电商、生鲜电商等新模式、新业态为促进传统产业转型、带动消费回流及农产品上行提供了坚实助力。网上营销、网上交易等数字化运营方式以及电商平台资源和技术扶持，为企业和市场应对冲击提供了缓冲。　　⑥网络支付韧性十足　　面对外部经济发展的不确定性，国家大力促进国内消费回补与潜力释放，第三方支付工具作为线上线下消费载体，发挥着重要的支付、营销和金融服务功能。今年上半年，我国移动支付金额近197万亿元，同比增长18.61%，稳居全球第一。截至今年6月，我国网络支付用户规模达8.05亿，较3月增长4.8%，占网民整体的85.7%。　　受疫情推动，线下商户加速向线上转化，移动支付工具发挥惠民信息载体、电子钱包、信用媒介、收银记账等作用，促进移动支付普及。同时，移动支付应用场景不断丰富，支付机构一是通过线上线下一体化支付、全国性福利补贴、商户在线培训指南等手段助力“小店经济”蓬勃发展；二是利用大数据、人工智能等新技术，推动“信用县域”和“县域普惠金融”建设，拓展更多的“+支付”应用场景。　　⑦电商直播提振经济　　随着以国内大循环为主体、国内国际双循环相互促进的新发展格局日趋形成，电商直播成为各级政府提振经济、拉动消费的新增长点。各地政府也通过出台优惠政策、吸引专业人才、建设产业园区等方式支持辖区内电商直播业务的发展。与此同时，大量电商、短视频及搜索等互联网平台加速布局电商直播领域，在短时间内聚集了大量人才、资金和媒体资源，极大推动了电商直播的发展成熟，为市场的爆发性增长奠定了基础。　　今年上半年，电商直播作为新业态的典型代表，成为发展势头最为迅猛的互联网应用之一。截至今年6月，我国电商直播用户规模为3.09亿，较2020年3月增长16.7%，成为上半年增长最快的个人互联网应用。2020年上半年国内电商直播超过1000万场，活跃主播数超过40万，观看人次超过500亿。　　⑧短视频成就消费新风尚　　截至今年6月，我国短视频用户规模达8.18亿，占网民整体的87%，用户规模较3月增长5.8%。凭借生动、形象的呈现形式，短视频作为信息传播载体的价值越来越被认可，逐渐成为各类互联网应用的基础功能。在网络新闻领域，短视频改变新闻叙事方式，扩宽新闻报道渠道，创新新闻传播方式。　　疫情期间，微博用户累计上传了225万条疫情相关视频，播放量超过842亿次。在电商领域，短视频通过激发用户需求提升商品转化效率，已成为主流电商平台的标准配置。与此同时，短视频企业积极探索助农新模式，通过内容支持、流量倾斜、营销助力、品牌赋能等手段展开助农行动，为农户解决生产和经营难题，助力乡村经济发展。　　⑨数字治理体系日趋完善　　截至6月，我国在线政务服务用户规模达7.73亿，较3月增长7889万，占网民整体的82.2%。在疫情的淬炼下，我国数字治理体系不断完善，日趋成为政府治理体系的重要组成和现代化治理能力的驱动力。在制度层面，《中华人民共和国民法典》出台与《中华人民共和国数据安全法（草案）》公布，有望填补数据安全领域的政策和法律的空白，将为数字经济时代的法治建设奠定基础，也为提高网络综合治理能力，规范网络空间不同主体的行为提供了法律依据。　　在机制层面，疫情冲击下围绕政府、平台、社会的多元协同治理体系正在加速形成，网格化治理等治理模式推陈出新，推动数字治理的精度、准度和效度不断提升，朝着更加开放包容的趋势发展。在服务层面，在线政务服务日趋成熟，国家政务服务平台建设成效凸显，“横到边、纵到底”的一体化政务服务体系初步形成。,,,,贵安新区,0,0,0,2020-10-12 11:22,微博 weibo.com,,,
4553812021084405,JmzTA4y6p,6400941217,全速通TRUSTONE,【速卖通全球首个跨境电商直播基地揭牌】9月27日消息，9月26日下午，在河南许昌举办的第二届发制品跨境电商大会上，阿里巴巴旗下跨境电商平台速卖通联合河南省许昌市成立的全球首个跨境电商直播基地正式揭牌。据悉，这是速卖通计划在全国建10个跨境直播基地的首个落地成果，也是中国假发产业带推出的第一个跨境直播基地。据了解，该直播基地占地面积约3600平米，分为选品中心、直播中心、品牌中心和培训中心四大区域，可容纳100余个商家、20余位网红，同时开设20个直播间。成立后，基地每月将开展至少100场直播。据了解，近日，速卖通还联合阿里巴巴脱贫基金，发起“产业扶贫万里行”行动，组织中国假发产业带商家，深入西北、西南、东北等经济欠发达地区，寻找假发产业链急需的手钩人才。数据显示，中国是全球最大的假发生产地，提供了全球80%的产能。在速卖通平台上，平均每2秒就卖出一顶假发。据速卖通假发行业负责人介绍，今年4月，速卖通上欧美等主要市场的假发成交额增长了100%。5月相比3月，全球假发成交买家数增长了40%。（电商报）,,,,,0,0,1,2020-09-27 16:54,微博 weibo.com,['http://ww4.sinaimg.cn/large/006ZbHdnly1gj5b73h1esj30gq06vdgo.jpg'],,
4552970089792339,JmdZCF5qX,5890690907,民族时报,【#云南#：兴边富民谱新篇】本报讯（民族时报全媒体记者胡娇）9月23日，记者从云南省民族宗教委获悉，兴边富民行动实施20年来，我省边疆民族地区发生了翻天覆地的变化，经济社会快速发展，边境各族群众的生活蒸蒸日上。兴边富民行动实施的20年，是我省边境地区发展最快的20年、边境地区各族群众得到实惠最多的20年、边境地区面貌变化最大的20年。我省是全国边境线最长的省份之一，边境地区多民族聚居，其中有16个民族跨境而居。2000年实施兴边富民行动以来，省委、省政府结合省情、边情、民情，始终创新推进兴边富民行动，从试点探索到实施两轮兴边富民三年行动计划，推进边境地区走上了发展的快车道。据介绍，我省兴边富民大致经历了三个发展阶段，第一阶段，2000年至2004年，是试点探索阶段，主要对6个边境县进行了贫困乡综合扶贫等试点工作，在25个边境县实施了“三免费”义务教育。第二阶段，2005年至2010年，是全面推进阶段，以25个边境县（市）为范围，省政府先后3次出台了3个兴边富民工作决定，编制实施了两轮兴边富民工程三年行动计划，第一轮实施10项重大工程30件惠民实事，第二轮重点实施6大工程30件惠民实事，使边境地区产业得到进一步发展、基础设施进一步完善。第三阶段，2011年至今，是深入实施阶段，相继实施了兴边富民工程“十二五”、“十三五”规划。特别是2015至2020年，围绕“五通八有三达到”目标，实施两轮兴边富民工程改善沿边群众生产生活条件三年行动计划，第一轮实施范围为沿边373个行政村，覆盖3783个自然村，同时兼顾沿边19个农场；第二轮以110个沿边乡镇878个行政村和19个边境农场为范围。20年来，在一轮又一轮兴边富民行动的推动下，边境民族地区发展的步伐不断加快，2019年，25个边境县GDP总额达2484.8亿元，是2000年的15倍，农村居民人均可支配收入11594元。不仅各族群众的收入增加了，基础设施建设也不断加强——文山壮族苗族自治州、红河哈尼族彝族自治州进入高铁时代，25个边境县（市）全部通二级以上公路，其中9个通高速公路。澜沧景迈机场、沧源佤山机场建成通航，边境地区通航运营机场达到9个。边境地区城乡公路通畅率达100%，乡村公路硬化率达100%。此外，云南自由贸易试验区红河片区、德宏片区、瑞丽、勐腊（磨憨）重点开发开放试验区、中老磨憨—磨丁经济合作区等一批沿边开放综合平台成为“开放活边”的典型。在加快边境地区经济社会发展的同时，我省坚持把产业发展与村寨建设融合起来，同步规划、同步建设，使沿边村寨成为宜居宜业、生态文明的美丽乡村，各族群众在家门口创业、家门口安享幸福生活。近年来，边境旅游业蓬勃发展，全省打造了一大批集民族文化、丝路文化、边关文化于一体的少数民族特色村寨，瑞丽银井村“一寨两国”、镇康南伞“一洞两国”等，以独特的地域风貌、多彩的民族风情、和谐的村寨环境，成为云南边境旅游的新亮点。20年来，在各级党委政府的不懈努力下，边境地区各族群众的生产生活发生了翻天覆地的变化，群众的获得感、幸福感不断增强。数据显示，兴边富民行动实施以来，我省共投入资金2800多亿元，有力推动了边境地区加快发展。截至2019年底，11个“直过民族”和人口较少民族中9个实现整族脱贫，21个边境贫困县（市）中18个实现脱贫摘帽，25个边境县（市）贫困人口从1999年的139.3万人下降到6.4万人。边境地区已经建成95个中国少数民族特色村寨、30个抵边小城镇、21个抵边小集镇，沿边集镇和抵边美丽乡村星罗棋布，共同构成了一条亮丽的国门风景线。行走在勐海、马关、腾冲等边疆民族地区，村村寨寨、家家户户迎风飘扬的五星红旗格外鲜艳。“党的光辉照边疆，边疆人民心向党”成为边境各族群众的共同心声，“三个离不开”“中华民族共同体意识”深入人心，党与边疆各族人民的血肉联系紧密而牢固；各族兄弟姐妹互学互帮互助、交往交流交融、团结和睦携手共同发展，民族团结亲如一家，2016年以来，西双版纳傣族自治州、普洱市等3个边境州（市）被国家民委命名为“全国民族团结进步示范州（市）”，8个边境州（市）所辖7个县、26个单位被国家民委命名为“全国民族团结进步示范区（单位）”……千里边境线上，各族人民和衷共济，齐心协力建设家乡、守护边疆。转载请注明来源《民族时报》,,,,云南,0,0,0,2020-09-25 09:08,微博 weibo.com,,,
4551654383290003,JlFLwdNSz,2137096053,河南经济广播,"【#买卖全球河南范儿#“云上E博会”今日启动不出国门也能全球购】今天（9月21日）下午，第四届全球跨境电商大会知名跨境电商平台线上直播活动在郑州E贸易博览交易中心拉开帷幕。在郑州E贸易博览交易中心，近百位网红正在现场选品，通过抖音、快手等直播平台进行带货。郑州某企业销售经理杨艳霞说，通过网上直播，公司上半年的销量已逐步回升，“我们这次主要想通过这个电子商务大会，能过让我们的产品走向全国、走向世界。”此次“云上E博会”将连续三天开展直播带货活动,在进口商品带货区，汇聚16个国家30余个品类近千种跨境电商产品；在出口商品带货区，既有河南省18地市扶贫产品，也有全国十大跨境电商综试区特色商品。省商务厅副厅长高翔说，2019年全省跨境电商进出口交易额1581.3亿元，业务覆盖226个国家和地区，为河南对外贸易高质量发展注入了新动能。“截至目前，全省累计培育28个省级跨境电商示范园区、12个跨境电商人才培养暨企业孵化平台，77家跨境电商企业在全球43个国家和地区设立海外仓183个。”启动仪式上，河南保税集团与青岛广卖通、中大门国际物流与中国公务航空集团有限公司等6个跨境电商合作项目进行现场签约，河南“网上丝绸之路”的朋友圈不断扩大。",,,,买卖全球河南范儿,0,0,2,2020-09-21 18:00,荣耀9 美得有声有色,"['http://ww3.sinaimg.cn/large/7f617f75ly1giyfcx4uaxj235j1c8hdu.jpg', 'http://ww2.sinaimg.cn/large/7f617f75ly1giyfd1w3ypj235s2dckjn.jpg', 'http://ww3.sinaimg.cn/large/7f617f75ly1giyfd2o2yoj21400u0dkw.jpg', 'http://ww3.sinaimg.cn/large/7f617f75ly1giyfd37k28j21400u0jxe.jpg']",,
4551654088647872,JlFL2AhHO,2137096053,河南经济广播,"【#买卖全球河南范儿#“云上E博会”今日启动不出国门也能全球购】开栏的话：跨境电商是我省拓展贸易渠道、优化贸易结构、扩大对外开放、促进经济转型的新亮点、新动力。近年来，河南省委、省政府始终牢记习近平总书记殷殷嘱托，不断提升跨境电商优势，加快跨境电商新业态、新模式的发展，河南已初步形成多城市协同、进出口并重、线上线下融合发展的新格局，目前全省跨境电商规模、应用水平和跨境电商综试区建设水平都稳居中西部首位。河南经济广播推出专栏【买卖全球河南范儿】，今天播出第二篇《“云上E博会”今日启动不出国门也能全球购》。今天（9月21日）下午，第四届全球跨境电商大会知名跨境电商平台线上直播活动在郑州E贸易博览交易中心拉开帷幕。来听1032记者晓晖的采访报道：“今天我是在第四届全球跨境电商大会现场这里直播...”在郑州E贸易博览交易中心，近百位网红正在现场选品，通过抖音、快手等直播平台进行带货。郑州某企业销售经理杨艳霞说，通过网上直播，公司上半年的销量已逐步回升，“我们这次主要想通过这个电子商务大会，能过让我们的产品走向全国、走向世界。”此次“云上E博会”将连续三天开展直播带货活动,在进口商品带货区，汇聚16个国家30余个品类近千种跨境电商产品；在出口商品带货区，既有河南省18地市扶贫产品，也有全国十大跨境电商综试区特色商品。省商务厅副厅长高翔说，2019年全省跨境电商进出口交易额1581.3亿元，业务覆盖226个国家和地区，为河南对外贸易高质量发展注入了新动能。“截至目前，全省累计培育28个省级跨境电商示范园区、12个跨境电商人才培养暨企业孵化平台，77家跨境电商企业在全球43个国家和地区设立海外仓183个。”启动仪式上，河南保税集团与青岛广卖通、中大门国际物流与中国公务航空集团有限公司等6个跨境电商合作项目进行现场签约，河南“网上丝绸之路”的朋友圈不断扩大。",,,,买卖全球河南范儿,0,0,0,2020-09-21 17:59,荣耀9 美得有声有色,"['http://ww4.sinaimg.cn/large/7f617f75ly1giyfcx4uaxj235j1c8hdu.jpg', 'http://ww3.sinaimg.cn/large/7f617f75ly1giyfd1w3ypj235s2dckjn.jpg', 'http://ww3.sinaimg.cn/large/7f617f75ly1giyfd2o2yoj21400u0dkw.jpg', 'http://ww4.sinaimg.cn/large/7f617f75ly1giyfd37k28j21400u0jxe.jpg']",,
4551637127927530,JlFjGxgjo,2094054333,郑说广播,“买全球卖全球”大门越开越大！知名跨境电子商务平台线上直播活动今日启动今天下午，第四届全球跨境电商大会知名跨境电商平台线上直播活动在郑州E贸易博览交易中心拉开帷幕。来自跨境电商全产业链的相关嘉宾齐聚“云上E博会”，共论交流合作，共话行业发展。据了解，全球跨境电子商务大会已在郑州举办三届，今年是第四届。其中，“云上E博会”以“新贸易、新通道、新引擎”为主题，采用线上线下相结合形式，在线下展览展示、举办行业论坛的同时，网上同步直播。线下E贸易博览中心设置8.9万平方米展览展示会场，记者在现场看到，专业展区10000平方米，全方位展示了跨境电商新贸易发展成果与趋势，包括“百园千仓万店”新贸易产业闭环展示、跨境电商6周年发展成果展示、商贸+物流+金融+数字贸易产业展示、进出口特色商品展示等内容。另据了解，从今天开始“云上E博会”连续三天开展直播带货活动，在进口商品带货区，汇聚意大利、韩国、日本等16个国家30余个品类近千种跨境电商产品；在出口商品带货区，既有河南省18地市扶贫产品，也有新疆、南宁、贵州等全国十大跨境电商综试区特色商品。近百位网红现场选品，通过多个直播平台进行连续三天直播带货。河南省商务厅副厅长高翔在致辞中说，河南省跨境电商综试区建设水平居全国前列，中西部首位，跨境电商已成为外贸发展的新亮点、新动力，对“六稳”“六保”工作提供重要保障，为经济外循环与内循环相结合注入强大动力。河南保税集团总裁徐平表示，河南保税集团不断完善跨境电商产业链生态闭环，提供物流、商贸、金融、数字贸易综合服务，以“千仓”和“万店”建设解决终端客户服务和物流最后一公里派送，确保建设一个高质量有竞争优势的买全球卖全球的一体化服务体系。在启动仪式上，河南保税集团与青岛广卖通、中大门国际物流与中国公务航空集团有限公司等6个跨境电商合作项目进行现场签约，河南“网上丝绸之路”的朋友圈进一步扩大，“买全球卖全球”的大门越开越大。,,,,,0,0,0,2020-09-21 16:51,360安全浏览器,"['http://ww4.sinaimg.cn/large/7cd0bbbdly1giydeux2waj21400u0q5h.jpg', 'http://ww3.sinaimg.cn/large/7cd0bbbdly1giydeuxlsej21400u0whg.jpg', 'http://ww1.sinaimg.cn/large/7cd0bbbdly1giydeux9l5j21400u0n03.jpg', 'http://ww2.sinaimg.cn/large/7cd0bbbdly1giydeux8jaj21400u0n08.jpg', 'http://ww4.sinaimg.cn/large/7cd0bbbdly1giydeuxjkgj21400u041r.jpg']",,
4549529414413896,JkMu9iwfS,1684790931,成都新闻广播,【“春雷计划”后四川和阿里数字化合作再升级加快建设“数字四川”】自6月初四川省和阿里巴巴签署“春雷计划”以来，阿里加速助力川企数字化转型，不断打造后疫情新的经济增长点。9月15日，四川省省长尹力率队来访阿里巴巴西溪园区，推动四川与阿里的数字化合作再升级。阿里巴巴集团董事会主席兼首席执行官张勇表示，“四川是西南枢纽，阿里面向未来的战略，无论是内需还是高科技，都能在四川发展中找到驱动力。阿里愿通过数字化建设，促消费保民生，提升产业数字化和城市治理能力，全面参与到四川的建设中。”四川和阿里签署“春雷计划”后，双方在国内贸易、跨境电商、农村电商和人才培训等领域开展了合作。越来越多的川企积极拥抱数字化，与阿里巴巴共同探索和发展数字经济。四川与阿里的合作最早发端于2007年，近年来双方合作领域不断扩大，从电商向“数字四川”等全方面拓展。目前，双方已在数字商业、乡村振兴、民生服务、产业数字化和公益扶贫等领域展开了合作。目前，菜鸟已在四川投资建设1000亩智慧物流基地。盒马鲜生在成都已开设15家门店。支付宝助力成都、内江、南充、巴中发放电子消费券，支持四川“天府通办”、成都“天府市民云”超过500项政务服务。钉钉为成都、绵阳、内江等6个市州政府搭建移动办公平台，疫情期间，也为四川近5000所学校搭建了“在线课堂”。,,,,,2,0,3,2020-09-15 21:16,iPhone客户端,"['http://ww1.sinaimg.cn/large/646bde93gy1girnceezedj21i3102x6p.jpg', 'http://ww2.sinaimg.cn/large/646bde93gy1girncivxrsj220e1canpe.jpg', 'http://ww1.sinaimg.cn/large/646bde93gy1girnc6kwcbj210s0k24mz.jpg']",,
4545369185195629,Jj2g6lNCt,7357233697,酷消销官方微博,#酷评电商#1、拉夏贝尔：线上业务模式调整为“品牌授权+运营服务”2、沃尔玛将推出“沃尔玛+”服务市值一夜暴增240亿美元3、蛋壳公寓发起亿元补贴活动：应届毕业生租房0押金4、上海海关跨境电商B2B出口试点首日企业订单激增5、速卖通联合阿里脱贫基金发起“产业扶贫万里行”行动6、淘宝心选助力外贸工厂拓内销，4个月孵化新品超1万款7、洋码头自建奢品鉴别中心，奢品销量同比增长50%8、艾瑞咨询：预计到2023年，生鲜电商市场交易规模将超过8000亿元9、京东全球售：海外华人业务上半年增长3倍10、厦门立法处罚未经收件人同意投放快递柜行为,,,,酷评电商,0,0,1,2020-09-04 09:45,微博 weibo.com,['http://ww4.sinaimg.cn/large/0081UczDly1giedizveq9j30m82v91ky.jpg'],,
4545029890388640,JiTqR1D6o,7455596442,泾县电商圈,媒体快讯：◆淘小铺发布“普通人创业报告”新增350万个就业岗位（电商报）◆阿里CCO推出《阿里巴巴生态电商客户服务人才标准》。（电商报）◆速卖通联合阿里脱贫基金发起“产业扶贫万里行”行动。（电商报）◆淘宝修订《飞猪旅行集市消费者保障标准》9月9日生效（电商报）◆淘宝联盟下调淘客站外推广服务费不包括抖音（亿邦动力）◆京东物流将与安徽宿州共建千亿级物流园（电商报）◆印度政府宣布禁用118款中国App，包括手机淘宝、支付宝等（电商报）◆韵达国际完成上海跨境电商9710首单(亿邦动力网)◆饿了么：500家高校食堂上线外卖（亿欧）◆京东健康与同仁堂健康达成战略合作，探索“互联网+”与中医药结合新实践（亿欧）◆亚马逊将在2020年投入180亿美元助力中小企业（亿欧）◆中物联：8月份中国物流业景气指数为52.2%。（36氪）,,,,,0,0,0,2020-09-03 11:17,荣耀V10 我AI的快,['http://ww4.sinaimg.cn/large/0088yVdwly1gidal0ti5tj30u02guqci.jpg'],,
4544647005471548,JiJtimXoM,7455596442,泾县电商圈,"媒体快讯：◆1-7月规上互联网企业完成业务收入6916亿元同比增14.9%（工信部）◆海关总署新增12个跨境电商B2B出口监管试点（央视网）◆拼多多联手上海农业农村委员会共推首个""沪农优品馆""（电商报）◆网商银行公布“数字供应链金融升级计划”，正在实现和钉钉的全面打通（36氪）◆饿了么合作联合国粮农组织驻华代表处开展“食物零浪费”项目（36氪）◆淘宝直播发布“姐姐报告”：30岁专业主播占比高达50%（电商报）◆中国邮政成都航空邮件处理中心开工打造西部最大物流枢纽（电商报）◆淘小铺：平台上1万家小微企业已帮350万人灵活就业（电商报）◆工信部：截至7月末，我国电商类App下载总量达827亿次（电商报）◆速卖通联合阿里脱贫基金发起“产业扶贫万里行”行动（电商报）◆阿里巴巴正式启动第四届“95公益周”（电商报）◆天猫国际发布“海外直购”业务全球直邮可实现7日达（电商报）◆京东99超级秒杀节再推超级百亿补贴（亿欧）◆上海海关跨境电商B2B出口试点首日企业订单激增(电商报)",,,,,0,0,0,2020-09-02 09:55,微博 weibo.com,,,
