id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506709332939448,J2OxvckGs,1440188661,阿力2018,今天A股520变劫其实亚翔集成sh603929梦洁股份sz002397轴研科技sz002046520是什么520就是5个落实落实经济结构调整落实精准扶贫落实社会保障落实环境治理落实反腐倡廉2就是既要金山银山又要绿水青山0就对犯罪行为的0容忍传递正能量从我做起,,,,,0,0,0,2020-05-20 17:24,vivo智能手机,,,
4506095126822086,J2yyQsCJE,1884624894,liyi-029,2020-5-18复盘放量冲高回落，较上日放量1048亿。周末各种消息叠加，尤其和美方博弈，错综复杂，资金谨慎，机会不多。板块：黄金、军工航天、农牧饲渔、食品饮料、稀土。贸易战的味道。网红经济、芯片个股回落。西部开发强度一般，埋伏资金较多，很多个股冲高回路。今日核心个股及涨停时间：【梦洁股份】9:25，网红经济，一字板，7天6板；【强生控股】9:25，沪企改革+上海外服借壳，一字板，3连板；【永福股份】9:35，次新+特高压，4连板。【艾可蓝】9:40，国六汽车尾气治理，趋势+2连板。【湘佳股份】11:00，次新+食品+扶贫+电商+业绩，5日线大趋势，尾盘破板收+6.90%；【安记食品】11:02，食品饮料，5连板。【大连重工】10:22，军工，3连板。此外，【泉峰汽车】6天5板，温州帮庄股，周五老庄离场，今天游资缩量10:01封板，但板块没有响应。1.医药：晚间领导人宣布，中国研发的疫苗向全球提供，这是市场空间。疫苗个股只是调整，不是结束。【未名医药】【赛升药业】疫苗，【正川股份】疫苗瓶【海尔生物】储存；2.次新【湘佳股份】5日线大趋势，尾盘破板收6.90%。【华盛昌】围绕5日线缩量震荡，其他【贵州三力】开板回封换手77%，死亡换手，明天怎么样？【赛伍技术】【芯瑞达】震荡未开板的优质次新：【北摩高科】【派瑞股份】【万泰生物】【艾可蓝】趋势+2连板，发动机尾气治理，近端次新，需放量。【江苏雷利】2连板，汽车电机+电器电机+呼吸机电机+参股芯片，业绩好，上行需放量。3.军工【大连重工】3连板。【航发科技】【新研股份】涨停，叠加西部开发。4.网红经济【梦洁股份】7天6板，板块后排乏力。【省广集团】高位分歧，3日线上；【御家汇】跌停，5日线上；【光云科技】高位大面杀伤人气；【供销大集】涨停，跟风。5.芯片【轴研科技】高位放天量，大概率见顶。【光力科技】【江苏雷利】跟风小弟。【亚翔集成】3连板，缺量。【容大感光】顽强封板再创新高，明天溢价妥妥。科创板：【华特气体】10.91%，【沪硅产业】【安集科技】【中微公司】【华峰测控】【清溢光电】震荡EDA（电子设计自动化）突然一夜之间很多人吹，似还有些逻辑，但持续性待验证。EDA，华为制裁概念，简单理解为芯片的设计软件，属于芯片设计最上游产业链环节，也是国内芯片产业最薄弱环节，基本上都被美国垄断，国产化率几乎为零。美国制裁之后，EDA还可以用，不过没办法更新升级，后续会有影响，所以，国产化也是一个必须选项。国内最牛的目前是华大九天。EDA纯正标的【申通地铁】，其他【国民技术】【中国长城】6.几个趋势个股【麦格米特】远端次新，业绩+光伏+医疗电源（呼吸机）+新能源车【华荣股份】远端次新，光伏【旗天科技】金融科技+业绩，低位、小盘。【中迪投资】前5连板小龙头，似二波,,,,,0,2,3,2020-05-19 00:44,微博 weibo.com,['http://ww3.sinaimg.cn/large/705517fely1gex2zg2gv3j212e0fdwg0.jpg'],,
4504575950853206,J1V2z3zXo,5572379239,快乐东风一股时光,利好来袭，盘面的机会在哪里？今日市场受外围影响，三大指数悉数低开。由于北向资金自早盘开始就呈现出流出状态，直到尾盘才有小额净流入。权重的不作为，最终导致指数单边走低，指数表现不佳。但是盘面的主流题材赚钱效还是可以的，在中芯国际业绩大增的影响下，叠加军工概念的轴研科技率先涨停突破7板空间。核心科技类个股强势抗跌，最为明显的就是周一的扭转盘面情绪的，科技股紫光国微和深科技，直接给了追高者犯错离场甚至获利离场的机会。说明市场资金，对于核心科技的共识效应还是认可的。只是大盘成交量无法放大，而科技股承接资金量较大，只能不断的轮流选择标的来吸引眼球（下午的风华高科）。所以科技类个股，成为了趋势低吸派的盛宴。连续缩量的市场，虽说题材高标之一的（华盛昌）出现了大面，但盘面情绪并没有因此而恐慌。主要原因还是因为没有新的题材出现。自从后疫情题材开始，市场资金就是围绕着农村电商（精准扶贫）和二期基金概念的核心科技来回做。晚间盘后消息显示，村里大力度发展粤港澳大湾区，有序推进粤港澳金融基础设施互联互通。那明天我这国资控股的怡亚通会不会给我解套赚钱的机会呢？有点期待！对于新出现的次新题材，主要原因还是注册制的到来。相关质地较好的个股，提前开板受到资金追捧。所以后续等华盛昌杀跌企稳后，短线激进的还可以关注走趋势的次新类个股。比较龙头华盛昌已经打出赚钱效应了，稳健的伙伴则牢牢的拥抱在核心科技的周围做低吸。喜欢做有预期情绪题材的，就观察农村电商直播带货（网红经济）的消费板板块。明日早盘注意观察情绪标杆轴研科技。至于上证指数，即将达到2850-2870一线的低吸位置。临近周五，明天指数一旦有急速恐慌下跌（大概率被外围影响），寻找提前企稳的科技类个股做低吸。根据各自操作风格选择以下三个方向：1.低位的趋势次新；2.抗跌的科技趋势股；3.有预期差的农村电商直播消费股。注意控制仓位！如写得好，望大家阅读后在帮忙点个赞，留个言，转发一下，以示鼓励，你的支持我都看得到，坚持日更真的很不容易！#上证指数#,,,,上证指数,0,1,11,2020-05-14 20:07,微博 weibo.com,,,
4339490971369627,Hgzl75KiL,5618091575,股林隐士V,【今日热点】：1、中国深空探测工程全面拉开序幕、相关公司受关注轴研科技、联创光电2、苹果HomePod1月18日在中国正式发售、产业链公司有望受益赛腾股份、新纶科技3、德国新型氢膜大幅提升制氢效率、氢气生产需求将大增金鸿控股、英力特4、社交江湖风云再起、今日头条或发布“抖信”挑战微信广博股份、引力传媒5、美国公司研发无人机识别系统、为大规模商用铺路炼石航空、神剑股份6、流感爆发期来临、抗流感药物销售火爆东阳光科、海正药业、上海医药、以岭药业7、消费扶贫政策发布、农村电商及旅游有望获支持韵达股份、岭南股份8、发改委介绍建设五重点、新型基础设施位置居前宝信软件、东土科技、易华录9、5G下游应用渐成熟、春晚将实现超高清内容传输飞荣达、沪电股份,,,,,0,5,27,2019-02-14 06:58,荣耀手机 勇敢做自己,,,
4328649060483553,Hc1ia21Nf,1562591315,中國私募V,#大盘~股市~股票~证券~中线~短线#大盘分析#财经头条##热点题材股#周一大盘低开震荡下跌，两市几大指数均下跌，截至收盘，沪指跌18.06。盘面看：煤炭采选、钢铁行业、贵金属、化肥行业、综合行业、包装材料、有色金属等板块涨幅居前；软件服务、安防设备、民航机场多元金融、木业家具、电子信息、工艺商品、船舶制造跌幅居前。主题投资方面：燃料电池（雄韬股份、雪人股份、凯恩股份）、5G（东方通信、东信和平、贝通信）、煤炭（永泰能源、云煤能源、美锦能源）等题材表现活跃。晚间公告看：德国新型氢膜大幅提升制氢效率，氢气生产需求将大增（关注：金鸿控股、英力特）；中国深空探测工程全面拉开序幕，相关公司受关注（轴研科技、联创光电）；消费扶贫政策发布、农村电商及旅游有望获支持（关注：韵达股份、岭南股份）值得重点关注。总体看，周一大盘缩量调整，盘中有色、煤炭等周期股异动，燃料电池、5G等题材仍然表现活跃，市场继续演绎结构性行情，短期上大盘继续仍将区间震荡反弹，操作上逢低买进低位启动个股；板块上关注新能源汽车、军工、5G等概念。,,,,"大盘~股市~股票~证券~中线~短线,财经头条,热点题材股",0,0,0,2019-01-15 08:57,360手机 N5S,,,
4328559130843906,HbYX73xxo,1799828412,羅塔神燈MAX,1.15题材内参：1、中国深空探测工程全面拉开序幕、相关公司受关注轴研科技、联创光电2、苹果HomePod1月18日在中国正式发售、产业链公司有望受益赛腾股份、新纶科技3、德国新型氢膜大幅提升制氢效率、氢气生产需求将大增金鸿控股、英力特4、社交江湖风云再起、今日头条或发布“抖信”挑战微信广博股份、引力传媒5、美国公司研发无人机识别系统、为大规模商用铺路炼石航空、神剑股份6、流感爆发期来临、抗流感药物销售火爆东阳光科、海正药业、上海医药、以岭药业7、消费扶贫政策发布、农村电商及旅游有望获支持韵达股份、岭南股份8、发改委介绍建设五重点、新型基础设施位置居前宝信软件、东土科技、易华录9、5G下游应用渐成熟、春晚将实现超高清内容传输飞荣达、沪电股份,,,,,1,2,1,2019-01-15 02:59,丁丁海鲜Android,,,
4328487932173173,HbX6h97lb,5699773281,盟叔梦话1314,三大报汇总：1.【航天】中国深空探测工程全面拉开序幕、相关公司受关注：轴研科技、联创光电2.【苹果】苹果HomePod1月18日在中国正式发售、产业链公司有望受益：赛腾股份、新纶科技3.【氢能】德国新型氢膜大幅提升制氢效率、氢气生产需求将大增：金鸿控股、英力特4.【社交】社交江湖风云再起、今日头条或发布“抖信”挑战微信：广博股份、引力传媒5.【无人机】美国公司研发无人机识别系统、为大规模商用铺路：神剑股份6.【消费扶贫】消费扶贫政策发布、农村电商及旅游有望获支持：韵达股份、岭南股份7.【新基建】发改委介绍建设五重点、新型基础设施位置居前：易华录、东土科技8.【5G】5G下游应用渐成熟、春晚将实现超高清内容传输：飞荣达、沪电股份,,,,,0,0,0,2019-01-14 22:16,荣耀Magic2 魔法手机,,,
4181151532722379,Fy37zbqdl,5746999614,佰联轴承网,2016年12月初，轴研科技定点扶贫工作正式启动，派出的驻村扶贫第一书记高亚辉同志走进淮滨县三空桥乡刘圩村，开启轴研科技的精准扶贫工作。一年来，围绕2019年实现刘圩村“两不愁、三保障、三基本”的目标，轴研科技党委副书记分管负责，党政工团齐心协力，以驻村第一书记为联络中枢，先后组织开展了入户摸底调研、村貌整治帮扶、特色农产品帮销、贫困学生帮教、救济送温暖等活动，并积极完善刘圩村的脱贫工作计划。O网页链接,,,,,0,0,0,2017-12-04 08:34,搜狗高速浏览器,,,
4103249000991612,F1mwk49XK,5746999614,佰联轴承网,4月20日-4月21日，四川省广元市朝天区区委常委、副区长王斌一行到访轴研科技，轴研科技党委副书记胡爱丽、轴承业务板块党委副书记江玮及相关部门负责人先后同王斌副区长一行进行了交流，就校企合作、对接扶贫工作等问题进行了深入探讨。O网页链接,,,,,0,0,0,2017-05-03 09:17,搜狗高速浏览器,,,
4506709332939448,J2OxvckGs,1440188661,阿力2018,今天A股520变劫其实亚翔集成sh603929梦洁股份sz002397轴研科技sz002046520是什么520就是5个落实落实经济结构调整落实精准扶贫落实社会保障落实环境治理落实反腐倡廉2就是既要金山银山又要绿水青山0就对犯罪行为的0容忍传递正能量从我做起,,,,,0,0,0,2020-05-20 17:24,vivo智能手机,,,
4506095126822086,J2yyQsCJE,1884624894,liyi-029,2020-5-18复盘放量冲高回落，较上日放量1048亿。周末各种消息叠加，尤其和美方博弈，错综复杂，资金谨慎，机会不多。板块：黄金、军工航天、农牧饲渔、食品饮料、稀土。贸易战的味道。网红经济、芯片个股回落。西部开发强度一般，埋伏资金较多，很多个股冲高回路。今日核心个股及涨停时间：【梦洁股份】9:25，网红经济，一字板，7天6板；【强生控股】9:25，沪企改革+上海外服借壳，一字板，3连板；【永福股份】9:35，次新+特高压，4连板。【艾可蓝】9:40，国六汽车尾气治理，趋势+2连板。【湘佳股份】11:00，次新+食品+扶贫+电商+业绩，5日线大趋势，尾盘破板收+6.90%；【安记食品】11:02，食品饮料，5连板。【大连重工】10:22，军工，3连板。此外，【泉峰汽车】6天5板，温州帮庄股，周五老庄离场，今天游资缩量10:01封板，但板块没有响应。1.医药：晚间领导人宣布，中国研发的疫苗向全球提供，这是市场空间。疫苗个股只是调整，不是结束。【未名医药】【赛升药业】疫苗，【正川股份】疫苗瓶【海尔生物】储存；2.次新【湘佳股份】5日线大趋势，尾盘破板收6.90%。【华盛昌】围绕5日线缩量震荡，其他【贵州三力】开板回封换手77%，死亡换手，明天怎么样？【赛伍技术】【芯瑞达】震荡未开板的优质次新：【北摩高科】【派瑞股份】【万泰生物】【艾可蓝】趋势+2连板，发动机尾气治理，近端次新，需放量。【江苏雷利】2连板，汽车电机+电器电机+呼吸机电机+参股芯片，业绩好，上行需放量。3.军工【大连重工】3连板。【航发科技】【新研股份】涨停，叠加西部开发。4.网红经济【梦洁股份】7天6板，板块后排乏力。【省广集团】高位分歧，3日线上；【御家汇】跌停，5日线上；【光云科技】高位大面杀伤人气；【供销大集】涨停，跟风。5.芯片【轴研科技】高位放天量，大概率见顶。【光力科技】【江苏雷利】跟风小弟。【亚翔集成】3连板，缺量。【容大感光】顽强封板再创新高，明天溢价妥妥。科创板：【华特气体】10.91%，【沪硅产业】【安集科技】【中微公司】【华峰测控】【清溢光电】震荡EDA（电子设计自动化）突然一夜之间很多人吹，似还有些逻辑，但持续性待验证。EDA，华为制裁概念，简单理解为芯片的设计软件，属于芯片设计最上游产业链环节，也是国内芯片产业最薄弱环节，基本上都被美国垄断，国产化率几乎为零。美国制裁之后，EDA还可以用，不过没办法更新升级，后续会有影响，所以，国产化也是一个必须选项。国内最牛的目前是华大九天。EDA纯正标的【申通地铁】，其他【国民技术】【中国长城】6.几个趋势个股【麦格米特】远端次新，业绩+光伏+医疗电源（呼吸机）+新能源车【华荣股份】远端次新，光伏【旗天科技】金融科技+业绩，低位、小盘。【中迪投资】前5连板小龙头，似二波,,,,,0,2,3,2020-05-19 00:44,微博 weibo.com,['http://ww4.sinaimg.cn/large/705517fely1gex2zg2gv3j212e0fdwg0.jpg'],,
4504575950853206,J1V2z3zXo,5572379239,快乐东风一股时光,利好来袭，盘面的机会在哪里？今日市场受外围影响，三大指数悉数低开。由于北向资金自早盘开始就呈现出流出状态，直到尾盘才有小额净流入。权重的不作为，最终导致指数单边走低，指数表现不佳。但是盘面的主流题材赚钱效还是可以的，在中芯国际业绩大增的影响下，叠加军工概念的轴研科技率先涨停突破7板空间。核心科技类个股强势抗跌，最为明显的就是周一的扭转盘面情绪的，科技股紫光国微和深科技，直接给了追高者犯错离场甚至获利离场的机会。说明市场资金，对于核心科技的共识效应还是认可的。只是大盘成交量无法放大，而科技股承接资金量较大，只能不断的轮流选择标的来吸引眼球（下午的风华高科）。所以科技类个股，成为了趋势低吸派的盛宴。连续缩量的市场，虽说题材高标之一的（华盛昌）出现了大面，但盘面情绪并没有因此而恐慌。主要原因还是因为没有新的题材出现。自从后疫情题材开始，市场资金就是围绕着农村电商（精准扶贫）和二期基金概念的核心科技来回做。晚间盘后消息显示，村里大力度发展粤港澳大湾区，有序推进粤港澳金融基础设施互联互通。那明天我这国资控股的怡亚通会不会给我解套赚钱的机会呢？有点期待！对于新出现的次新题材，主要原因还是注册制的到来。相关质地较好的个股，提前开板受到资金追捧。所以后续等华盛昌杀跌企稳后，短线激进的还可以关注走趋势的次新类个股。比较龙头华盛昌已经打出赚钱效应了，稳健的伙伴则牢牢的拥抱在核心科技的周围做低吸。喜欢做有预期情绪题材的，就观察农村电商直播带货（网红经济）的消费板板块。明日早盘注意观察情绪标杆轴研科技。至于上证指数，即将达到2850-2870一线的低吸位置。临近周五，明天指数一旦有急速恐慌下跌（大概率被外围影响），寻找提前企稳的科技类个股做低吸。根据各自操作风格选择以下三个方向：1.低位的趋势次新；2.抗跌的科技趋势股；3.有预期差的农村电商直播消费股。注意控制仓位！如写得好，望大家阅读后在帮忙点个赞，留个言，转发一下，以示鼓励，你的支持我都看得到，坚持日更真的很不容易！#上证指数#,,,,上证指数,0,1,11,2020-05-14 20:07,微博 weibo.com,,,
4339490971369627,Hgzl75KiL,5618091575,股林隐士V,【今日热点】：1、中国深空探测工程全面拉开序幕、相关公司受关注轴研科技、联创光电2、苹果HomePod1月18日在中国正式发售、产业链公司有望受益赛腾股份、新纶科技3、德国新型氢膜大幅提升制氢效率、氢气生产需求将大增金鸿控股、英力特4、社交江湖风云再起、今日头条或发布“抖信”挑战微信广博股份、引力传媒5、美国公司研发无人机识别系统、为大规模商用铺路炼石航空、神剑股份6、流感爆发期来临、抗流感药物销售火爆东阳光科、海正药业、上海医药、以岭药业7、消费扶贫政策发布、农村电商及旅游有望获支持韵达股份、岭南股份8、发改委介绍建设五重点、新型基础设施位置居前宝信软件、东土科技、易华录9、5G下游应用渐成熟、春晚将实现超高清内容传输飞荣达、沪电股份,,,,,0,5,27,2019-02-14 06:58,荣耀手机 勇敢做自己,,,
4328649060483553,Hc1ia21Nf,1562591315,中國私募V,#大盘~股市~股票~证券~中线~短线#大盘分析#财经头条##热点题材股#周一大盘低开震荡下跌，两市几大指数均下跌，截至收盘，沪指跌18.06。盘面看：煤炭采选、钢铁行业、贵金属、化肥行业、综合行业、包装材料、有色金属等板块涨幅居前；软件服务、安防设备、民航机场多元金融、木业家具、电子信息、工艺商品、船舶制造跌幅居前。主题投资方面：燃料电池（雄韬股份、雪人股份、凯恩股份）、5G（东方通信、东信和平、贝通信）、煤炭（永泰能源、云煤能源、美锦能源）等题材表现活跃。晚间公告看：德国新型氢膜大幅提升制氢效率，氢气生产需求将大增（关注：金鸿控股、英力特）；中国深空探测工程全面拉开序幕，相关公司受关注（轴研科技、联创光电）；消费扶贫政策发布、农村电商及旅游有望获支持（关注：韵达股份、岭南股份）值得重点关注。总体看，周一大盘缩量调整，盘中有色、煤炭等周期股异动，燃料电池、5G等题材仍然表现活跃，市场继续演绎结构性行情，短期上大盘继续仍将区间震荡反弹，操作上逢低买进低位启动个股；板块上关注新能源汽车、军工、5G等概念。,,,,"大盘~股市~股票~证券~中线~短线,财经头条,热点题材股",0,0,0,2019-01-15 08:57,360手机 N5S,,,
4328559130843906,HbYX73xxo,1799828412,羅塔神燈MAX,1.15题材内参：1、中国深空探测工程全面拉开序幕、相关公司受关注轴研科技、联创光电2、苹果HomePod1月18日在中国正式发售、产业链公司有望受益赛腾股份、新纶科技3、德国新型氢膜大幅提升制氢效率、氢气生产需求将大增金鸿控股、英力特4、社交江湖风云再起、今日头条或发布“抖信”挑战微信广博股份、引力传媒5、美国公司研发无人机识别系统、为大规模商用铺路炼石航空、神剑股份6、流感爆发期来临、抗流感药物销售火爆东阳光科、海正药业、上海医药、以岭药业7、消费扶贫政策发布、农村电商及旅游有望获支持韵达股份、岭南股份8、发改委介绍建设五重点、新型基础设施位置居前宝信软件、东土科技、易华录9、5G下游应用渐成熟、春晚将实现超高清内容传输飞荣达、沪电股份,,,,,1,2,1,2019-01-15 02:59,丁丁海鲜Android,,,
4328487932173173,HbX6h97lb,5699773281,盟叔梦话1314,三大报汇总：1.【航天】中国深空探测工程全面拉开序幕、相关公司受关注：轴研科技、联创光电2.【苹果】苹果HomePod1月18日在中国正式发售、产业链公司有望受益：赛腾股份、新纶科技3.【氢能】德国新型氢膜大幅提升制氢效率、氢气生产需求将大增：金鸿控股、英力特4.【社交】社交江湖风云再起、今日头条或发布“抖信”挑战微信：广博股份、引力传媒5.【无人机】美国公司研发无人机识别系统、为大规模商用铺路：神剑股份6.【消费扶贫】消费扶贫政策发布、农村电商及旅游有望获支持：韵达股份、岭南股份7.【新基建】发改委介绍建设五重点、新型基础设施位置居前：易华录、东土科技8.【5G】5G下游应用渐成熟、春晚将实现超高清内容传输：飞荣达、沪电股份,,,,,0,0,0,2019-01-14 22:16,荣耀Magic2 魔法手机,,,
4181151532722379,Fy37zbqdl,5746999614,佰联轴承网,2016年12月初，轴研科技定点扶贫工作正式启动，派出的驻村扶贫第一书记高亚辉同志走进淮滨县三空桥乡刘圩村，开启轴研科技的精准扶贫工作。一年来，围绕2019年实现刘圩村“两不愁、三保障、三基本”的目标，轴研科技党委副书记分管负责，党政工团齐心协力，以驻村第一书记为联络中枢，先后组织开展了入户摸底调研、村貌整治帮扶、特色农产品帮销、贫困学生帮教、救济送温暖等活动，并积极完善刘圩村的脱贫工作计划。O网页链接,,,,,0,0,0,2017-12-04 08:34,搜狗高速浏览器,,,
4103249000991612,F1mwk49XK,5746999614,佰联轴承网,4月20日-4月21日，四川省广元市朝天区区委常委、副区长王斌一行到访轴研科技，轴研科技党委副书记胡爱丽、轴承业务板块党委副书记江玮及相关部门负责人先后同王斌副区长一行进行了交流，就校企合作、对接扶贫工作等问题进行了深入探讨。O网页链接,,,,,0,0,0,2017-05-03 09:17,搜狗高速浏览器,,,
