id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4470524380383339,ItAF01BIT,5525161121,A股趋势说,#2020年中央一号文件##播种一片绿##新浪财经#我们还是需要深度解析国家扶贫攻坚计划，今年是扶贫收官之年，也是业绩兑现的一年，农业板块迎来绝佳机会，种子板块出现集体涨停，最热机会应该是大北农sz002385，同时多只个股应声涨停，在这种一致性环境下，次日只能寻找具备条件有滞后启动的相关品种，种子板块热度火爆不说，农机、化肥纷纷上演谁更强，辉隆股份sz002556扬农化工sh600486分别代表农机和化肥表态，整体农业三大方向（种子、农机、化肥）都来表演.可见资金对农业板块的青睐有加.你读懂了吗？,,,,"2020年中央一号文件,播种一片绿,新浪财经",3,4,9,2020-02-10 20:58,iPhone X,"['http://ww1.sinaimg.cn/large/0061V0NXly1gbrlqs8d75j30v91bpx36.jpg', 'http://ww4.sinaimg.cn/large/0061V0NXly1gbrlqt03txj30v91ljtvb.jpg', 'http://ww1.sinaimg.cn/large/0061V0NXly1gbrlqtqdy0j30v91bd4k4.jpg']",,
4469648143729471,ItdRIfEcL,5525161121,A股趋势说,#股票##技术分析#我们想说资本是嗜血的，但首先要将基础打好了.有人说现在但医药股是因为疫情才炒作，其实我们说疫情只是准备好后有基础的运作下干菜烈火上交了一把油.永太科技sz002326，没有和该疫情有关，他就不会拉升了吗？机会是给有准备的人的.你说呢？如果说农业股会爆发，当前已经巨量封板的辉隆股份sz002556为何会提前发力呢？今天国家发布农业扶贫大政策，那么未来接力医药走强的会不会是农业扶贫呢？当年后过年时我们就分享了在线教育和网络游戏是一条因宅而产生的免费红利，当时有多少人认为方直科技sz300235一定是这这个板块的追热点.关注我们了解神马叫开闸放水还有新高.如果医药股开闸放水那天我们就已经提前提醒了，你信不信，看我们关于医药股预期的文章即可找到证据.今天我们就分享在线教育和云教育是否可能会开闸放水，欢迎关注我们的视频预告.,,,,"股票,技术分析",1,9,3,2020-02-08 10:57,iPhone X,['http://ww4.sinaimg.cn/large/0061V0NXly1gbostjptr8j30v90ej78b.jpg'],,
4338770289092698,HggAIC9qq,5749440640,超短交易的西门,【金融服务乡村振兴指导意见发布农村金融概念股迎机遇】人民银行、银保监会、证监会、财政部、农业农村部联合发布《关于金融服务乡村振兴的指导意见》。《指导意见》对标实施乡村振兴战略的三个阶段性目标，明确了相应阶段内金融服务乡村振兴的目标。短期内，突出目标的科学性和可行性，到2020年，要确保金融精准扶贫力度不断加大、金融支农资源不断增加、农村金融服务持续改善、涉农金融机构公司治理和支农能力明显提升。中长期，突出目标的规划性和方向性，推动建立多层次、广覆盖、可持续、适度竞争、有序创新、风险可控的现代农村金融体系，最终实现城乡金融资源配置合理有序和城乡金融服务均等化。由于农村金融的发展滞后，农村地区庞大的金融需求无法得到满足，制约了农村经济发展。近年来，国家开始陆续加大对农村金融的政策扶持和引导，并多次在政府工作报告和全国金融会议提出金融资源支持“三农”和小微企业的发展。随着国家对农村金融政策上的倾斜及农村金融服务体系的不断完善，相关小型银行和农信社等深度布局农村金融的公司有望享受政策红利。◆新力金融（600318）实际控制人为安徽省供销合作社联合社。作为农村金融稀缺标的，公司目前已拥有地方AMC、小贷、租赁、担保、典当多牌照金融子公司，加之正在收购的支付子公司，未来有利于形成农村金融牌照闭环。◆大北农（002385）子公司农信互联公司加快农业互联网业务推广，提升整个农业行业的经营管理水平和产出效率。农信互联所打造的农信云、农信商城、农信金融、智农通等“三网一通”产品链已形成互联网平台优势。其他公司：辉隆股份（002556）、诺普信（002215）,,,,,1,0,0,2019-02-12 07:15,iPhone客户端,,,
4300387114513250,H0a4niW6m,2388430493,惠游京城,晚间重要公告　　一汽轿车000800、一汽夏利000927：银行授信额度为“意向性”授信额度不代表真实资金需求　　小天鹅A000418、美的集团000333：周一复牌　　华大基因300676：数据采集行为合法合规　　中国联通600050：将公开向民营企业招募云南联通承包运营合作方　　蓝帆医疗002382：公司部分产品出口退税率提高　　金科股份000656：实控人签一致行动协议持股数超融创中国　　宜华健康000150：子公司拟增资扩股引入战投预计增资金额10亿元-25亿元　　步长制药603858：25个中药品种被纳入国家基本药物目录　　红墙股份002809：终止实施2018年股票期权激励计划　　[投资事宜]　　华凯创意300592：联合预中标9120万元项目　　津膜科技300334：联合中标1.39亿元项目　　[三季报业绩]　　津膜科技300334：前三季度净利同比增长499％　　蓝思科技300433：前三季度实现利润10.65亿元同比增长19.23％　　惠泉啤酒600573：前三季度净利同比增逾2倍　　东方明珠600637：前三季度净利超15亿元同比增49％　　恒润股份603985：前三季度净利同比增47％　　泸州老窖000568：前三季度实现净利27.51亿同比增长37.7％　　五粮液000858：前三季度净利近95亿同比增长36％　　芯能科技603105：前三季度净利同比增3成　　昆仑万维300418：前三季度净利7.39亿同比增28％　　康恩贝600572：前三季度净利7.67亿元同比增26％　　元祖股份603886：前三季度净利2.47亿元同比增26％　　贵州茅台600519：前三季度净利247亿元同比增24％　　亿纬锂能300014：前三季度净利3.79亿同比增17％　　华润双鹤600062：前三季度净利8.44亿元同比增16％　　青岛啤酒600600：前三季度净利21亿元同比增12％　　宇通客车600066：前三季度净利同比降37％证金公司减持　　上海莱士002252：前三季度净利亏损近13亿元　　坚瑞沃能300116：前三季度净利亏损29亿元　　[其他事项]　　以岭药业002603：子公司制剂产品获美国FDA批准文号　　维维股份600300：子公司获得160万元项目扶贫资金　　[增持回购]　　科森科技603626：多名董事拟合计增持100万股-150万股　　人福医药600079：董事长提议公司5亿元-10亿元回购股份　　恒力股份600346：拟10亿元-20亿元回购股份　　吉鑫科技601218：拟5000万元-1亿元回购股份　　辉隆股份002556：拟1亿至2亿元回购股份　　美盛文化002699：拟1亿元-2亿元回购股份　　拓维信息002261：拟5000万元-1亿元回购股份　　运达科技300440：拟4000万至8000万元回购股份　　双一科技300690：拟2786万至5572万元回购股份　　精工钢构600496：拟5000万元至3亿元回购股份　　合锻智能603011：拟3000万元-1亿元回购股份　　浙江广厦600052：拟5000万元-2亿元回购股份　　新湖中宝600208：拟修改回购股份预案上调回购规模　　红豆股份600400：已耗资3.7亿元回购3.52％股份　　广汇汽车600297：已耗资逾2亿元回购股份　　鹏博士600804：已耗资逾4亿元回购2.77％股份　　天士力600535：已耗资逾6800万元回购股份　　美克家居600337：已耗资1.39亿元回购股份五、【交易提示】停牌个股*ST抚钢600399：法院裁定受理公司重整29日起停牌复牌个股国农科技000004：已回复问询函29日复牌美的集团000333、小天鹅A000418：回复深交所问询函29日复牌吉药控股300108：与国药控股签署5亿元《战略合作协议》29日复牌道氏技术300409：发行股份及支付现金购买资产获通过29日复牌汉嘉设计300746：已回复问询函29日复牌上海沪工603131：重大资产重组获证监会审核通过29日复牌,,,,,0,0,0,2018-10-29 09:14,iPhone客户端,,,
4300382526278498,H09WYqlk6,2590917613,遂昌活快林,公司公告速递材料辉隆股份：拟1亿至2亿元回购股份红墙股份：终止实施2018年股票期权激励计划恒力股份：拟10亿元-20亿元回购股份盛和资源：从长期来看稀土价格有望进一步上升电信服务中国联通：将公开向民营企业招募云南联通承包运营合作方房地产金科股份：实控人签一致行动协议持股数超融创中国浙江广厦：拟5000万元-2亿元回购股份新湖中宝：拟修改回购股份预案上调回购规模工业海波重科：中标1.01亿元项目亿纬锂能：前三季度净利3.79亿同比增17%坚瑞沃能：前三季度亏损29亿元财务总监辞职津膜科技：联合中标1.39亿元项目双一科技：拟2786万至5572万元回购股份精工钢构：拟5000万元至3亿元回购股份中铁工业：与清华大学未来实验室战略合作吉鑫科技：拟5000万元-1亿元回购股份合锻智能：拟3000万元-1亿元回购股份可选消费美的集团、小天鹅A明日复牌一汽轿车、一汽夏利：银行授信额度为“意向性”授信额度不代表真实资金需求拓维信息：拟5000万元-1亿元回购股份美盛文化：拟1亿元-2亿元回购股份华凯创意：联合预中标9120万元项目红豆股份：已耗资3.7亿元回购3.52%股份日常消费五粮液：前三季度净利近95亿同比增长36%泸州老窖：前三季度实现净利27.51亿同比增长37.7%维维股份：子公司获得160万元项目扶贫资金元祖股份：前三季度净利2.47亿元同比增26%信息技术昆仑万维：前三季度净利7.39亿同比增28%运达科技：拟4000万至8000万元回购股份芯能科技：前三季度净利同比增3成医疗保健宜华健康：子公司拟增资扩股引入战投预计增资金额10亿元-25亿元上海莱士：前三季度亏损近13亿元蓝帆医疗：公司部分产品出口退税率提高以岭药业：子公司制剂产品获美国FDA批准文号华大基因：数据采集行为合法合规人福医药：董事长提议公司5亿元-10亿元回购股份步长制药：25个中药品种被纳入国家基本药物目录,,,,,0,0,0,2018-10-29 08:55,微博 weibo.com,,,
4300381972357322,H09W59Tfk,2590917613,遂昌活快林,公司公告速递材料辉隆股份：拟1亿至2亿元回购股份红墙股份：终止实施2018年股票期权激励计划恒力股份：拟10亿元-20亿元回购股份盛和资源：从长期来看稀土价格有望进一步上升电信服务中国联通：将公开向民营企业招募云南联通承包运营合作方房地产金科股份：实控人签一致行动协议持股数超融创中国浙江广厦：拟5000万元-2亿元回购股份新湖中宝：拟修改回购股份预案上调回购规模工业海波重科：中标1.01亿元项目亿纬锂能：前三季度净利3.79亿同比增17%坚瑞沃能：前三季度亏损29亿元财务总监辞职津膜科技：联合中标1.39亿元项目双一科技：拟2786万至5572万元回购股份精工钢构：拟5000万元至3亿元回购股份中铁工业：与清华大学未来实验室战略合作吉鑫科技：拟5000万元-1亿元回购股份合锻智能：拟3000万元-1亿元回购股份可选消费美的集团、小天鹅A明日复牌一汽轿车、一汽夏利：银行授信额度为“意向性”授信额度不代表真实资金需求拓维信息：拟5000万元-1亿元回购股份美盛文化：拟1亿元-2亿元回购股份华凯创意：联合预中标9120万元项目红豆股份：已耗资3.7亿元回购3.52%股份日常消费五粮液：前三季度净利近95亿同比增长36%泸州老窖：前三季度实现净利27.51亿同比增长37.7%维维股份：子公司获得160万元项目扶贫资金元祖股份：前三季度净利2.47亿元同比增26%信息技术昆仑万维：前三季度净利7.39亿同比增28%运达科技：拟4000万至8000万元回购股份芯能科技：前三季度净利同比增3成医疗保健宜华健康：子公司拟增资扩股引入战投预计增资金额10亿元-25亿元上海莱士：前三季度亏损近13亿元蓝帆医疗：公司部分产品出口退税率提高以岭药业：子公司制剂产品获美国FDA批准文号华大基因：数据采集行为合法合规人福医药：董事长提议公司5亿元-10亿元回购股份步长制药：25个中药品种被纳入国家基本药物目录,,,,,0,0,0,2018-10-29 08:53,微博 weibo.com,,,
4300223255456426,H05O5mTsS,3463230840,水墨雨村,公司公告速递材料辉隆股份：拟1亿至2亿元回购股份红墙股份：终止实施2018年股票期权激励计划恒力股份：拟10亿元-20亿元回购股份盛和资源：从长期来看稀土价格有望进一步上升电信服务中国联通：将公开向民营企业招募云南联通承包运营合作方房地产金科股份：实控人签一致行动协议持股数超融创中国浙江广厦：拟5000万元-2亿元回购股份新湖中宝：拟修改回购股份预案上调回购规模工业海波重科：中标1.01亿元项目亿纬锂能：前三季度净利3.79亿同比增17%坚瑞沃能：前三季度亏损29亿元财务总监辞职津膜科技：联合中标1.39亿元项目双一科技：拟2786万至5572万元回购股份精工钢构：拟5000万元至3亿元回购股份中铁工业：与清华大学未来实验室战略合作吉鑫科技：拟5000万元-1亿元回购股份合锻智能：拟3000万元-1亿元回购股份可选消费美的集团、小天鹅A明日复牌一汽轿车、一汽夏利：银行授信额度为“意向性”授信额度不代表真实资金需求拓维信息：拟5000万元-1亿元回购股份美盛文化：拟1亿元-2亿元回购股份华凯创意：联合预中标9120万元项目红豆股份：已耗资3.7亿元回购3.52%股份日常消费五粮液：前三季度净利近95亿同比增长36%泸州老窖：前三季度实现净利27.51亿同比增长37.7%维维股份：子公司获得160万元项目扶贫资金元祖股份：前三季度净利2.47亿元同比增26%信息技术昆仑万维：前三季度净利7.39亿同比增28%运达科技：拟4000万至8000万元回购股份芯能科技：前三季度净利同比增3成医疗保健宜华健康：子公司拟增资扩股引入战投预计增资金额10亿元-25亿元上海莱士：前三季度亏损近13亿元蓝帆医疗：公司部分产品出口退税率提高以岭药业：子公司制剂产品获美国FDA批准文号华大基因：数据采集行为合法合规人福医药：董事长提议公司5亿元-10亿元回购股份步长制药：25个中药品种被纳入国家基本药物目录,,,,,0,0,0,2018-10-28 22:23,iPhone客户端,,,
4300219702696078,H05Imbjn8,5732258490,股市股道,公司公告速递材料辉隆股份：拟1亿至2亿元回购股份红墙股份：终止实施2018年股票期权激励计划恒力股份：拟10亿元-20亿元回购股份盛和资源：从长期来看稀土价格有望进一步上升电信服务中国联通：将公开向民营企业招募云南联通承包运营合作方房地产金科股份：实控人签一致行动协议持股数超融创中国浙江广厦：拟5000万元-2亿元回购股份新湖中宝：拟修改回购股份预案上调回购规模工业海波重科：中标1.01亿元项目亿纬锂能：前三季度净利3.79亿同比增17%坚瑞沃能：前三季度亏损29亿元财务总监辞职津膜科技：联合中标1.39亿元项目双一科技：拟2786万至5572万元回购股份精工钢构：拟5000万元至3亿元回购股份中铁工业：与清华大学未来实验室战略合作吉鑫科技：拟5000万元-1亿元回购股份合锻智能：拟3000万元-1亿元回购股份可选消费美的集团、小天鹅A明日复牌一汽轿车、一汽夏利：银行授信额度为“意向性”授信额度不代表真实资金需求拓维信息：拟5000万元-1亿元回购股份美盛文化：拟1亿元-2亿元回购股份华凯创意：联合预中标9120万元项目红豆股份：已耗资3.7亿元回购3.52%股份日常消费五粮液：前三季度净利近95亿同比增长36%泸州老窖：前三季度实现净利27.51亿同比增长37.7%维维股份：子公司获得160万元项目扶贫资金元祖股份：前三季度净利2.47亿元同比增26%信息技术昆仑万维：前三季度净利7.39亿同比增28%运达科技：拟4000万至8000万元回购股份芯能科技：前三季度净利同比增3成医疗保健宜华健康：子公司拟增资扩股引入战投预计增资金额10亿元-25亿元上海莱士：前三季度亏损近13亿元蓝帆医疗：公司部分产品出口退税率提高以岭药业：子公司制剂产品获美国FDA批准文号华大基因：数据采集行为合法合规人福医药：董事长提议公司5亿元-10亿元回购股份步长制药：25个中药品种被纳入国家基本药物目录,,,,,27,14,40,2018-10-28 22:08,搜狗高速浏览器,,,
4300218734970037,H05GNkQVT,1908417784,遂昌快活林,公司公告速递材料辉隆股份：拟1亿至2亿元回购股份红墙股份：终止实施2018年股票期权激励计划恒力股份：拟10亿元-20亿元回购股份盛和资源：从长期来看稀土价格有望进一步上升电信服务中国联通：将公开向民营企业招募云南联通承包运营合作方房地产金科股份：实控人签一致行动协议持股数超融创中国浙江广厦：拟5000万元-2亿元回购股份新湖中宝：拟修改回购股份预案上调回购规模工业海波重科：中标1.01亿元项目亿纬锂能：前三季度净利3.79亿同比增17%坚瑞沃能：前三季度亏损29亿元财务总监辞职津膜科技：联合中标1.39亿元项目双一科技：拟2786万至5572万元回购股份精工钢构：拟5000万元至3亿元回购股份中铁工业：与清华大学未来实验室战略合作吉鑫科技：拟5000万元-1亿元回购股份合锻智能：拟3000万元-1亿元回购股份可选消费美的集团、小天鹅A明日复牌一汽轿车、一汽夏利：银行授信额度为“意向性”授信额度不代表真实资金需求拓维信息：拟5000万元-1亿元回购股份美盛文化：拟1亿元-2亿元回购股份华凯创意：联合预中标9120万元项目红豆股份：已耗资3.7亿元回购3.52%股份日常消费五粮液：前三季度净利近95亿同比增长36%泸州老窖：前三季度实现净利27.51亿同比增长37.7%维维股份：子公司获得160万元项目扶贫资金元祖股份：前三季度净利2.47亿元同比增26%信息技术昆仑万维：前三季度净利7.39亿同比增28%运达科技：拟4000万至8000万元回购股份芯能科技：前三季度净利同比增3成医疗保健宜华健康：子公司拟增资扩股引入战投预计增资金额10亿元-25亿元上海莱士：前三季度亏损近13亿元蓝帆医疗：公司部分产品出口退税率提高以岭药业：子公司制剂产品获美国FDA批准文号华大基因：数据采集行为合法合规人福医药：董事长提议公司5亿元-10亿元回购股份步长制药：25个中药品种被纳入国家基本药物目录,,,,,6,0,12,2018-10-28 22:05,微博 weibo.com,,,
4192035386787369,FCCgastHH,5575672966,股票市场观察大师强强,【1月3日财经早餐】 A.证监会将IPO扶贫政策延期至2025年部分地区脱贫不脱政策B.乐视网“打脸”贾跃亭：双方未形成债务解决方案新乐视智家拟融资30亿C.上海证券报新年献词：信仰新时代做多新时代1. 乡村振兴战略全面部署落实关注：海南橡胶（601118）、罗牛山（000735）、辉隆股份（002556）2.经济转向高质量发展，资本偏好“中国智造”。美的集团（000333）、机器人（300024）、汇川技术（300124）、克来机电（603960）3.广西防城港核电站3号机组完成筒体吊装中国核建（601611）、三钢闽光（002110）,,,,,0,0,0,2018-01-03 09:23,微博 weibo.com,,,
