id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4545450092531833,Jj4mBaCE1,1443992037,化境言午,昨晚才看到壶化正在招股，我勒个去，屁大点公司也好意思IPO？山西几家民爆企业中，他最小；所有民爆上市公司中，他也就比那个扶贫怪胎高争民爆大点。,,,,,0,0,0,2020-09-04 15:06,微博 weibo.com,,,
4543916843731711,JiqtCfEMT,7452146550,银保泰-LULU,大利好！第七次西藏工作座谈会召开点评：这次西藏工作座谈会，强调要围绕川藏铁路等项目，搞一大批基建。西藏基建迎来机会，川藏铁路是世纪大工程，总投资高达2500亿，规模巨大！A股两类股最受益，一是水泥、钢材等上市公司，尤其是四川、西藏一线的西藏天路、华新水泥、四川双马、四川金顶。二是川藏铁路隧道多施工难度大，需要大规模的民爆产品，关注金盾股份、雅化集团、大宏立、高争民爆等。新疆西藏贵州等地，虽然上市公司很少，但因为有“扶贫”等概念，往往是妖股集中营，容易被游资盯上。关注西藏天路，西藏城投，高争民爆，筑博设计。对于西藏，国家向来十分重视，改革开放以来开了7次座谈会，规格都是最高的。年底前中央送个自贸区大礼，还是可以期待的，接下来有炒地图可能性！,,,,,0,0,0,2020-08-31 09:34,微博 weibo.com,,,
4543908539015206,JiqgdBPgy,2128079344,潮汕小鳄鱼,这次西藏工作座谈会，强调要围绕川藏铁路等项目，搞一大批基建。西藏基建迎来机会，川藏铁路是世纪大工程，总投资高达2500亿，规模巨大；A股两类股最受益，一是水泥、钢材等上市公司，尤其是四川、西藏一线的西藏天路、华新水泥、四川双马、四川金顶。二是川藏铁路隧道多施工难度大，需要大规模的民爆产品，关注金盾股份、雅化集团、大宏立、高争民爆等。新疆西藏贵州等地，虽然上市公司很少，但因为有“扶贫”等概念，往往是妖股集中营，容易被游资盯上。关注西藏天路，西藏城投，高争民爆，筑博设计。对于西藏，国家向来十分重视，改革开放以来开了7次座谈会，规格都是最高的。年底前中央送个自贸区大礼，还是可以期待的，接下来有炒地图可能性~！#股市##股票##今日看盘#,,,,"股票,今日看盘",0,0,2,2020-08-31 09:01,iPhone客户端,,,
4543904970710632,Jiqat2YRO,5066260790,厦禾路龙哥,这次西藏工作座谈会，强调要围绕川藏铁路等项目，搞一大批基建。西藏基建迎来机会，川藏铁路是世纪大工程，总投资高达2500亿，规模巨大；A股两类股最受益，一是水泥、钢材等上市公司，尤其是四川、西藏一线的西藏天路、华新水泥、四川双马、四川金顶。二是川藏铁路隧道多施工难度大，需要大规模的民爆产品，关注金盾股份、雅化集团、大宏立、高争民爆等。新疆西藏贵州等地，虽然上市公司很少，但因为有“扶贫”等概念，往往是妖股集中营，容易被游资盯上。关注西藏天路，西藏城投，高争民爆，筑博设计。对于西藏，国家向来十分重视，改革开放以来开了7次座谈会，规格都是最高的。年底前中央送个自贸区大礼，还是可以期待的，接下来有炒地图可能性~！,,,,,15,20,261,2020-08-31 08:47,微博 weibo.com,,,
4543905556600211,JiqbprH11,5980216573,人见人爱的散户666,新疆西藏贵州等地，虽然上市公司很少，但因为有“扶贫”等概念，往往是妖股集中营，容易被游资盯上。关注西藏天路，西藏城投，高争民爆，筑博设计。对于西藏，国家向来十分重视，改革开放以来开了7次座谈会，规格都是最高的。年底前中央送个自贸区大礼，还是可以期待的，接下来有炒地图可能性~！,,,,,0,0,0,2020-08-31 08:49,OPPO Reno Z,,,4543904970710632
4543905058788457,JiqaBAShj,7187866542,金融界财女,这次西藏工作座谈会，强调要围绕川藏铁路等项目，搞一大批基建。西藏基建迎来机会，川藏铁路是世纪大工程，总投资高达2500亿，规模巨大；A股两类股最受益，一是水泥、钢材等上市公司，尤其是四川、西藏一线的西藏天路、华新水泥、四川双马、四川金顶。二是川藏铁路隧道多施工难度大，需要大规模的民爆产品，关注金盾股份、雅化集团、大宏立、高争民爆等。新疆西藏贵州等地，虽然上市公司很少，但因为有“扶贫”等概念，往往是妖股集中营，容易被游资盯上。关注西藏天路，西藏城投，高争民爆，筑博设计。对于西藏，国家向来十分重视，改革开放以来开了7次座谈会，规格都是最高的。年底前中央送个自贸区大礼，还是可以期待的，接下来有炒地图可能性~！,,,,,0,1,9,2020-08-31 08:47,微博 weibo.com,,,
4384227526750473,Hzl8Qsk6B,2072724293,爱股票APP,【稳增长预期下西部基建或卷土重来！(附股)】5月金融数据显示，投资明显放缓，房地产趋势承压。在此背景下，保证经济运行不滑出合理运行区间需要更加倚重拉动内需，基建投资作为效果最直接、副作用最小的积极财政落脚点当下需要被赋予托底全国经济的使命。其中，西部地区是我国发展的巨大战略回旋余地，西部大开发有着对冲经济下行压力、协调区域平衡发展、吸纳就业与扶贫攻坚等重要的经济、政治及战略意义。据媒体报道，四川省委书记彭清华今日在国务院新闻办举行的新闻发布会上介绍说，川藏铁路很快就要开工建设。相关概念股有西藏天路、四川路桥、成都路桥、高争民爆和天铁股份。O网页链接,,,,,4,1,8,2019-06-17 17:46,360安全浏览器,['http://ww3.sinaimg.cn/large/7b8b4345ly1g44aorezjnj20g4092q38.jpg'],,
4294369919378554,GDAZxDlN0,1823482195,天潭涨停敢死队,发表了博文《今天我们收获了西藏铁路概念高争民爆和贵州扶贫概念永吉股份两个涨停板》今天我们收获了西藏铁路概念高争民爆和贵州扶贫概念永吉股份两个涨停板O今天我们收获了西藏铁路概念高争民爆和贵州扶贫概念永吉股份两个涨停板,,,,,0,0,0,2018-10-12 18:43,新浪博客,['http://ww1.sinaimg.cn/large/6cb02153ly1fw5momyu3uj20j601v74b.jpg'],,
4275020215515551,GvtCln8Qv,5890201750,梦娟涨停自选池,"板块机会国企改革：“双百行动”消息传出后，国改概念持续活跃，昨晚鲁信创投、岳阳林纸、金陵饭店、天地科技公告被纳入国企改革""双百行动""企业，短线或迎来反弹契机。并购重组：证监会表示将压缩并购重组审核时间，政策松绑预期利好并购重组概念，关注东方新星、南卫股份、高科石化、赫美集团等。扶贫：脱贫攻坚战三年行动指导意见发布，贫困地区以及参与具体扶贫项目的上市公司，短线或迎反弹，概念股可关注永吉股份、吉峰农机、岷江水电、高争民爆等。钢铁煤炭：焦炭主力合约连创新高，概念股山西焦化、开滦股份有望延续趋势反弹；多家钢企盈利重返历史高点，安阳钢铁、南钢股份、柳钢股份等或将走强。（文中所提股票，仅是热点预判，并非个股推荐）",,,,,0,0,1,2018-08-20 09:15,微博 weibo.com,,,
4275017649001930,GvtycBLOq,5493078903,波段达人-若然,方向3：扶贫，脱贫攻坚战三年行动指导意见发布，贫困地区以及参与具体扶贫项目的上市公司，短线或迎反弹，概念股可关注永吉股份、吉峰农机、岷江水电、高争民爆等。,,,,,0,0,0,2018-08-20 09:04,360安全浏览器,,,
4275012666078914,Gvtqapvp0,6630008652,挖金早盘股,"【耐心等待市场底的确认】重要资讯深夜紧急澄清!“证监会家急开会应对大跌”报道不实。经济观察报为了“数市”也是拼了，虽然是条虚假新闻，但心承投资者，迫切想挽救股民于火，精神可嘉。刘并没有在北京。更没有在证监会，也没有在证监会召开会议。连续多日在外地调研”，这种市道之下，能调研什么呢?资本市场如何更好支持实体经济?如果跟救市无关.就真的令人心海和失望了!板块机会国企改革：“双百行动”消息传出后，国改概念持续活跃，昨晚鲁信创投、岳阳林纸、金陵饭店、天地科技公告被纳入国企改革""双百行动""企业，短线或迎来反弹契机。并购重组：证监会表示将压缩并购重组审核时间，政策松绑预期利好并购重组概念，关注东方新星、南卫股份、高科石化、赫美集团等。扶贫：脱贫攻坚战三年行动指导意见发布，贫困地区以及参与具体扶贫项目的上市公司，短线或迎反弹，概念股可关注永吉股份、吉峰农机、岷江水电、高争民爆等。钢铁煤炭：焦炭主力合约连创新高，概念股山西焦化、开滦股份有望延续趋势反弹；多家钢企盈利重返历史高点，安阳钢铁、南钢股份、柳钢股份等或将走强。",,,,,0,0,2,2018-08-20 08:45,Android,,,
