id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4486863710574768,IArIL2pws,1968704077,焦作网,#焦作网·今日焦作#【焦作这三年】三年，在中国传统的纪念体系中，是一个十分重要的时间节点。2016~2019年对焦作而言，是奋起直追的三年，是快速崛起的三年，是全市干部群众汗水浇灌的三年，是山阳大地旧貌换新颜的三年。三年之行——破冰搏浪曾经的焦作，受矿产资源枯竭、宏观经济下行、政治生态崩坏等多重影响，经历了近10年的发展低潮期——经济指标跌入谷底、城市建设欠账严重、干部群众士气低落，转型发展陷入前所未有的困局。大石拦路，弱者视为前进的障碍，勇者视为前进的阶梯。2016年6月，一声惊雷震醒了沉睡中的山阳大地，市委、市政府以前所未有的决心和力度打响了北山生态环境治理攻坚战，仅用40天就取缔1504个非法采矿点、非法矿产品经营加工点和非煤矿山企业，以摧枯拉朽之势一举消除了困扰焦作数十年的私挖滥采顽疾，为全市干部群众注入一针“强心剂”。好雨伴惊雷。当年10月，规模空前的焦作市党政代表团远赴扬州、南通等地学习考察，跳出焦作看焦作，受到前所未有的震撼，解放思想的春雨一夜之间浸润了久涸的山阳大地，一场持续三年多的破冰搏浪之行就此拉开序幕。三年之行，是思想破冰之行、是求索新路之行、是闯关夺隘之行。三年多来，我们风雨兼程，行程13000多公里，足迹踏遍深圳、杭州、成都、佛山、徐州、扬州等地，一路对标先进，一路求经问道，一路学以致用。三年多来，我们勇闯新路，重新标定焦作在新时代的发展坐标，确定了实施“三大战略”、建设“四个焦作”、早日跻身全省第一方阵的目标任务，擘画了建设全面体现新发展理念的示范城市，打造“精致城市、品质焦作”，在中原崛起中出重彩、更精彩的高质量发展蓝图。三年多来，我们攻坚克难，在制约焦作高质量发展的节骨眼、要害处用力，啃硬骨头闯险滩，仅用4个月就拆除房屋176万平方米，动迁群众1.8万人，完成了搁置8年之久的南水北调绿化带征迁；聚焦补齐城市建设短板，实施总投资579.1亿元的十大基础设施重点项目，在生态治理、铁路建设、城市道路改造、城区河道整治等方面全面发力；着眼转型升级、创新发展，实施工业十大项目和大企业集团培育“1020”工程，龙蟒佰利联年产20万吨氯化法钛白粉、中内凯思年产180万只国VI发动机钢质活塞等一批重大项目为高质量发展注入澎湃动力……一幅波澜壮阔的奋进画卷在4071平方公里的土地上徐徐铺展，焦作在出重彩、更精彩的道路上步履铿锵。三年之变——风景独好时间是常量，也是奋进者的变量。三年虽短，却足以重塑一方干部群众的精神面貌，使一座城市脱胎换骨、焕发新生。三年间，北山生态复绿71.5平方公里，满目疮痍的裸露矿山变成绿波荡漾的城市屏障。三年间，南水北调绿化带华丽蜕变，6个节点公园斗艳争辉，昔日的城市伤疤化作一串耀眼明珠。三年间，大沙河涅槃重生，20多米宽的小水沟蝶变成绵延10公里、宽逾260米、沿岸绿化266.67公顷的城市湿地走廊，天鹅、白鹭在这里流连忘返，绘出“落霞与银翅齐飞，碧水共长天一色”的生态美景。——焦作，不是江南，胜似江南。三年间，学的氛围、严的氛围、干的氛围日益浓厚，党员干部在急难险重工作一线淬火历练，讲政治、敢担当、重实干成为焦作干部的“新标签”，政治生态重现久违的山清水秀。三年间，转型升级活力奔涌、创新发展万马奔腾，焦作科技研发投入跃升至全省第三，经济综合竞争力全省第三、中原经济区第四，可持续竞争力全省第四，经济社会高质量发展考核评价全省第二，人均GDP比全国提前一年突破1万美元。——焦作，以党的建设高质量推动经济发展高质量捷报频传。三年间，“四城联创”成为最响亮的集结号，百万干部群众勠力同心，用绣花功夫建设城市、管理城市，新建、维修道路123条，14条城市黑臭水体彻底消除，809个老旧楼院、374条主次干道和背街小巷焕然一新。三年间，机动车礼让斑马线蔚然成风，小红帽、红马甲志愿服务成为一道亮丽的风景线，“一毛九处方”“女护士青岛救人”等焦作好故事全国传颂，文明成为最温暖的城市底色。——焦作，颜值与气质齐飞。三年间，我们在脱贫攻坚中践行初心使命，190个贫困村、10.6万贫困户稳定脱贫，3919公里“四好农村路”畅通了困难群众的致富路，医养结合体系兜住了失智失能重度残疾人的脱贫底。三年间，苏蔺、府城两座水厂相继通水，121万群众喝上了甘甜的南水北调水，焦作火车站南广场、中原路、焦荥黄河大桥陆续建成，焦作城市宜居度和获得感跃升至全省第一。——焦作，老百姓的好日子像花儿一样次第盛开。三年间，两届“一赛一节”连续出彩，太极拳携手“康养+”走向世界，“世界太极城·中原养生地”成为焦作最耀眼的城市名片。三年间，“二次创业”赋能全域旅游生机勃勃，云台山跻身全国十大人气景区、云上的院子叫响“南有莫干山、北有云台山”，太极小镇、老家莫沟、美丽源沟等特色小镇和美丽乡村亮点纷呈。——焦作，如一坛陈年醇酒，香飘万里。星光不负赶路者，岁月不负追梦人。三年间，一个头角峥嵘、风华正茂的焦作已在眼前，一个渐入佳境、引人入胜的焦作已在眼前。三年之思——未来可期在一座城市漫长的发展历程中，总会经历一些决定前途命运的关键阶段。焦作这三年，用历史的眼光看，既是力挽发展颓势的转折点，也是再铸焦作辉煌的新起点；用发展的眼光看，不仅为转型升级厚积了强劲的动能和势能，还为未来发展留下了宝贵的经验和启示。三年多来的发展实践一再证明，党的领导是最大的优势。有什么也比不上有“主心骨”重要，没什么也比不上没方向感可怕。当我们把近年来建设全面体现新发展理念的示范城市、打造“精致城市、品质焦作”的工作思路与党中央以新发展理念引领高质量发展的要求全面对照起来时，当我们系统回顾三年多来以重塑政治生态重启经济社会高质量发展的砥砺历程时，当我们把脱贫攻坚、北山生态治理、南水北调绿化带征迁、大气污染防治等一系列攻坚战串联起来思考时，愈加深刻地体会到，只有始终坚持党的领导，旗帜鲜明讲政治，才能明方向、辨正误、防偏差，才能始终保证干部队伍风清气正，才能不惧任何风险挑战、战胜一切艰难险阻。三年多来的发展实践一再证明，担当实干是最快的捷径。盘点近年来焦作取得的成绩和收获，无一不是靠“说了算、定了干，再大困难都不变”真刀真枪、一步一个脚印干出来的。如果不敢担当、不真抓实干，北山至今仍是满目疮痍，南水北调主干渠两岸还是丑陋的城市伤疤，焦作的转型发展事业依旧固步自封。发展道路无坦途，唯有跋涉是捷径。转型发展船到中流，比方法更关键的是担当，比信念更重要的是实干，担当如园丁的锄头，砸向大地就能花香袭人；实干如农夫的犁铧，深入泥土就有春华秋实。担当实干重新定义了焦作这座城市的气质和风貌，焦作走出阴霾靠的是担当实干，走向辉煌也必然靠担当实干。三年多来的发展实践一再证明，改革创新是最强的动力。改革创新是一种勇气，也是一种智慧。三年多来，我们凭借击辑勇进的改革魄力和敢为人先的创新精神，在全省率先设立500万元的改革创新奖、率先创建智慧金融服务平台、率先成立“企业纾困360”平台，探索了“两定制兜底线”健康扶贫模式、困难群众大病补充医疗保险制度、“334”楼院协商治理模式、党群360工作法等一系列创新举措，祛除了许多沉疴，破解了许多难题，疏通了许多梗阻。改革创新已经成为焦作在新时代最显著的特征、最壮丽的气象。改革创新之路是胜利之路、希望之路，只要走在这条路上，我们就会求新求变、向前向上，就会激情永在、境界常新，就一定能在高质量发展的伟大实践中走在前列、勇立潮头。三年多来的发展实践一再证明，人民群众是最硬的底气。人民群众是真正的英雄，377万个微小力量汇聚在一起，就会激荡出无往不至、无坚不摧的磅礴伟力。南水北调绿化带征迁中群众从抵触到主动，我们才得以创造焦作城建史上的奇迹；“四城联创”中群众从看客变成主角，创建工作才形成燎原之势、实现全面精彩。如果说三年前我们破冰搏浪，靠的是向死而生的勇气，那么今天我们继续前行，靠的则是人民群众赋予的满满底气。这分底气源自全市干部群众在三年多风雨同行中结成的一条心、一股绳，源自对焦作出重彩、更精彩的坚定信念和必胜信心，源自身为焦作人的自豪和对这座城市最深沉的爱。这分底气是三年多来最大的收获，这分底气将陪伴我们迎着新时代的浩荡东风一路昂扬向前。星霜荏苒，三年只是历史长河中的短暂一瞬，却因我们的拼搏奋斗被赋予了更为辽阔而深远的意义。凡是过往，皆为序章。当为民初心与崛起雄心在焦作的城市脉搏中交汇深植、勃然跃动时，我们有足够的信心期待下一个三年。O网页链接,,,,焦作网·今日焦作,0,1,2,2020-03-26 23:05,360安全浏览器,,,
4390738344906231,HC4wakAkL,1968704077,焦作网,#焦作网·今日焦作#【中站区高质量发展高歌猛进勇夺去年全市综合考核城区第一】本报讯（记者史文生）中站区围绕我市建设全面体现新发展理念示范城市，坚持党建引领，以高质量党建保障高质量发展，深入开展“转变作风抓落实、优化环境促发展”活动，实施基层组织强基工程、能力素质提升工程、作风建设培优工程，高质量发展取得实实在在的效果。近日，市委办公室、市政府办公室联合下文表彰2018年度综合考核先进单位，中站区是唯一受到表彰的城区。“成绩的取得，得益于市委、市政府的正确领导，得益于市直部门的帮助支持，得益于全区干部群众的勠力同心。这一荣誉是对中站区转型发展、高质量发展成果的充分肯定。”中站区委书记董红倜说。注重谋势，高质量发展的战略思路更加清晰。该区围绕“五大发展理念为统领、产业集聚为支撑、招大引强添活力、补齐短板惠民生”的思路，提出了打造“三区四基地”的总体定位和战略布局。2018年，该区开启“三区四基地”建设元年，拉开了高质量发展的序幕。转型升级，高质量发展的产业体系更加完备。该区持续实施“126”工业转型升级行动计划和“363”培优育强工程。以龙蟒佰利联、多氟多等为龙头，以鑫诚股份、龙星化工等为骨干，以爱尔福克、华德瑞等为基础，呈现出竞相发展的雁式产业格局。该区坚持创新驱动，实施技术改造项目12个；积极培育创新型企业集群，创新型企业达到42家，区、市级以上研发平台达到44个。该区坚持集群链式招商，谋划了“氟锂硅电池材料—动力电池+电机电控—动力总成”等6条主导产业链，绘制了重点产业链“图谱”。加快建设，高质量发展的项目支撑更加有力。该区坚持“项目为王”，实施了总投资300余亿元的102个重点项目，圆满完成年度投资计划。在2018年全市4次重点项目集中观摩评价活动中，中站区共获得城区组3次季度第一的好成绩，并摘得年度第一的桂冠。龙头引领，高质量发展的城市转型更加迷人。该区坚持把城市转型作为高质量发展的必由之路，深度对接中铁集团，谋划实施了总投资500亿元的中铁太行国际生态城项目。目前，概念性规划已经提交市政府研究讨论，纳入项目的紫荆路、瑞丰北路、桃源北路、育英街即将全面建成通车，一期1866亩片区开发的合作协议近期签订。共建共享，高质量发展的民生改善更加美好。该区环境质量持续改善，辖区PM10、PM2.5平均浓度和空气综合指数3项指标均在全市最好，空气优良天数居全市第二。脱贫攻坚实施扶贫项目43个，东张庄、十二会、桑园3个村退出贫困村序列。“四城联创”改造提升居民楼院60个、背街小巷16条，新建游园绿地3个、绿色廊道11.3公里，粉刷外立面1.3万平方米，清理垃圾2.8万余立方米。“四好农村路”建成42.8公里，实现了“三年任务一年完成”。①2O网页链接,,,,焦作网·今日焦作,0,0,0,2019-07-05 16:57,360安全浏览器,,,
4275026960048128,GvtNe0cwg,1068891872,投实APP,昨夜今晨投融资大事：1⃣️全国7月份共发行各类债券3.5万亿元地方政府债7570亿[得意]2⃣️龙蟒佰利旗下小贷公司申请财产保全青岛首富王清涛、中融新大等近亿元银行存款被冻结⚡3⃣️扶贫信贷也可办理无还本续贷！《中共中央、国务院脱贫攻坚战三年行动指导意见》公布&全文🔑4⃣️河南省调整多项医保政策个人缴税、财政补助标准上调40元&全文🐬5⃣️新飞电器拟于8月28日复工新高管团队由“新飞+康佳”组成💪下载投实APP第一时间获取情报级金融资讯[呲牙]O网页链接,,,,,0,0,0,2018-08-20 09:41,iPhone 6s Plus,,,
4247119693148353,GjLNvdd1T,1420555297,股海扬波-----boll,要闻掘金1）A股三大上升动能显现6月市场望启动全新运行方式老板电器、光大证券、三钢闽光、龙蟒佰利2）54家券商看好逾千只个股银行等三大行业最受青睐第一创业、山西证券、宝硕股份、西部证券、国海证券、国金证券3）中央推进乡村振兴和产业扶贫四条主线掘金星光农机、芭田股份、苏垦农发、大禹节水、隆平高科4）阿里巴巴投资千亿建智能物流骨干网东杰智能、音飞储存、诺力股份、长江投资、华贸物流、富临运业5）入摩前日A股强劲反弹月内MSCI成份股资金动向大起底陕西煤业、东方航空、万科Ａ,,,,,0,0,2,2018-06-04 09:28,微博 weibo.com,,,
4247114428489378,GjLF0zCts,6458027928,安信证券-小安在线,#今日看盘#【要闻掘金】1）A股三大上升动能显现6月市场望启动全新运行方式老板电器、光大证券、三钢闽光、龙蟒佰利2）54家券商看好逾千只个股银行等三大行业最受青睐第一创业、山西证券、宝硕股份、西部证券、国海证券、国金证券3）中央推进乡村振兴和产业扶贫四条主线掘金星光农机、芭田股份、苏垦农发、大禹节水、隆平高科4）阿里巴巴投资千亿建智能物流骨干网东杰智能、音飞储存、诺力股份、长江投资、华贸物流、富临运业5）入摩前日A股强劲反弹月内MSCI成份股资金动向大起底陕西煤业、东方航空、万科Ａ#全民赛实盘#O安信证券重金寻股神,,,,"今日看盘,全民赛实盘",0,0,0,2018-06-04 09:07,微博 weibo.com,,,
4219599169613028,G8dRyEkMQ,2118532865,国都证券西直门外大街营业部,【国都早班车】易纲：实施好稳健的货币政策，推动金融改革开放。银监会：做好2018年三农和扶贫金融服务工作。各省将建环保督察机制，实现地级市全覆盖。12试点城市已设51家国有租赁公司，政企合力推进住房租赁建设。龙蟒佰利并购安宁铁钛，钛白粉行业集中度加速提升。仅供参考,,,,,0,0,0,2018-03-20 10:51,专业版微博,,,
4203992457962724,G1FRrxpt2,6245595899,股票摇篮-操盘王,【公告：投资并购类】天马股份(002122)终止收购上海微盟企业有限公司金证股份(600446)1.22亿受让优品财富20%股份清新环境(002573)：拟在雄安新区设全资子公司拓展雄安新区及周边业务绿地控股(600606)：拟三年投入100亿实施精准扶贫龙蟒佰利(002601)：正扩建20万吨/年氯化法钛白粉生产线空港股份(600463)：拟合资设立军民融合创新研究院拓普集团(601689)拟投建年产30万套汽车内饰功能件项目,,,,,0,0,0,2018-02-05 09:16,微博 weibo.com,,,
4169203890567929,Ft2jb2nK9,5673088135,北冥有鱼Fishbeim,【公告淘金】雄韬股份：拟50亿元在武汉投建氢燃料电池产业园龙蟒佰利：终止RGM项目合作计划富煌钢构：签订8.141亿元工程合同东华科技：联合预中标8亿元PPP项目中国铁建：中标中马钦州产业园区特色扶贫小镇项目珠江控股：携物美控股打造京津冀食品产业链浦东建设：中标多项重大工程康美药业：与华大基因战略合作拟共建研究院和公司耐威科技：参与投资设立半导体产业投资基金比亚迪：剥离汽车座椅业务聚焦整车业务会稽山：拟7.35亿并购咸亨食品山东高速：发起设立50亿产业投资基金投资金融等行业人民网：与浦东科创合作拟发起设立文化产业基金棕榈股份：中标多个景观工程设计项目总金额3.64亿蓝盾股份：联合签署5608万元项目合同汇川技术：预中标1.23亿元轨道交通项目科力远：子公司签技术许可协议公司预计获益超6000万,,,,,0,0,0,2017-11-01 09:18,搜狗高速浏览器,,,
4169202325274061,Ft2gEm81v,6212594399,股市短线云谈,【公告淘金】雄韬股份：拟50亿元在武汉投建氢燃料电池产业园龙蟒佰利：终止RGM项目合作计划富煌钢构：签订8.141亿元工程合同东华科技：联合预中标8亿元PPP项目中国铁建：中标中马钦州产业园区特色扶贫小镇项目珠江控股：携物美控股打造京津冀食品产业链浦东建设：中标多项重大工程康美药业：与华大基因战略合作拟共建研究院和公司耐威科技：参与投资设立半导体产业投资基金比亚迪：剥离汽车座椅业务聚焦整车业务会稽山：拟7.35亿并购咸亨食品山东高速：发起设立50亿产业投资基金投资金融等行业人民网：与浦东科创合作拟发起设立文化产业基金棕榈股份：中标多个景观工程设计项目总金额3.64亿蓝盾股份：联合签署5608万元项目合同汇川技术：预中标1.23亿元轨道交通项目科力远：子公司签技术许可协议公司预计获益超6000万,,,,,0,0,0,2017-11-01 09:12,微博 weibo.com,['http://ww2.sinaimg.cn/large/006MrpBtly1fl2bdu110ej308t03yglk.jpg'],,
4169202308890449,Ft2gCBiOl,3800918493,酒尽墨凉,【公告淘金】雄韬股份：拟50亿元在武汉投建氢燃料电池产业园龙蟒佰利：终止RGM项目合作计划富煌钢构：签订8.141亿元工程合同东华科技：联合预中标8亿元PPP项目中国铁建：中标中马钦州产业园区特色扶贫小镇项目珠江控股：携物美控股打造京津冀食品产业链浦东建设：中标多项重大工程康美药业：与华大基因战略合作拟共建研究院和公司耐威科技：参与投资设立半导体产业投资基金比亚迪：剥离汽车座椅业务聚焦整车业务会稽山：拟7.35亿并购咸亨食品山东高速：发起设立50亿产业投资基金投资金融等行业人民网：与浦东科创合作拟发起设立文化产业基金棕榈股份：中标多个景观工程设计项目总金额3.64亿蓝盾股份：联合签署5608万元项目合同汇川技术：预中标1.23亿元轨道交通项目科力远：子公司签技术许可协议公司预计获益超6000万#上证快讯##短线牛股##牛股推荐##财经速报##财经头条文章##微博头条文章作者##微博股票#创业板指sz399006上证指数sh000001,,,,"上证快讯,短线牛股,牛股推荐,财经速报,财经头条文章,微博头条文章作者,微博股票",0,0,0,2017-11-01 09:12,微博股票,['http://ww3.sinaimg.cn/large/e28d69ddly1fl2bdrt9mpj20m80go76v.jpg'],,
4169202187478500,Ft2gqvnuY,5142196435,墨凉幕念,#散户交流群#【公告淘金】雄韬股份：拟50亿元在武汉投建氢燃料电池产业园龙蟒佰利：终止RGM项目合作计划富煌钢构：签订8.141亿元工程合同东华科技：联合预中标8亿元PPP项目中国铁建：中标中马钦州产业园区特色扶贫小镇项目珠江控股：携物美控股打造京津冀食品产业链浦东建设：中标多项重大工程康美药业：与华大基因战略合作拟共建研究院和公司耐威科技：参与投资设立半导体产业投资基金比亚迪：剥离汽车座椅业务聚焦整车业务会稽山：拟7.35亿并购咸亨食品山东高速：发起设立50亿产业投资基金投资金融等行业人民网：与浦东科创合作拟发起设立文化产业基金棕榈股份：中标多个景观工程设计项目总金额3.64亿蓝盾股份：联合签署5608万元项目合同汇川技术：预中标1.23亿元轨道交通项目科力远：子公司签技术许可协议公司预计获益超6000万,,,,散户交流群,0,0,0,2017-11-01 09:12,UC浏览器电脑版,,,
4169202023968602,Ft2gagEpI,5516251717,小郑海参0808,【公告淘金】雄韬股份：拟50亿元在武汉投建氢燃料电池产业园龙蟒佰利：终止RGM项目合作计划富煌钢构：签订8.141亿元工程合同东华科技：联合预中标8亿元PPP项目中国铁建：中标中马钦州产业园区特色扶贫小镇项目珠江控股：携物美控股打造京津冀食品产业链浦东建设：中标多项重大工程康美药业：与华大基因战略合作拟共建研究院和公司耐威科技：参与投资设立半导体产业投资基金比亚迪：剥离汽车座椅业务聚焦整车业务会稽山：拟7.35亿并购咸亨食品山东高速：发起设立50亿产业投资基金投资金融等行业人民网：与浦东科创合作拟发起设立文化产业基金棕榈股份：中标多个景观工程设计项目总金额3.64亿蓝盾股份：联合签署5608万元项目合同汇川技术：预中标1.23亿元轨道交通项目科力远：子公司签技术许可协议公司预计获益超6000万#双11来了#推荐3.2亿#hi十一月#18.3亿#万圣节#371.8亿#亚洲新歌榜#14.9亿#音乐人先锋榜#6.7亿#宝宝的小情绪#4.5亿#这一刻的时光#20.9亿#微博摄影大赛#11.5亿#扑通扑通少女心#皇家奇粑大会#,,,,"双11来了,hi十一月,万圣节,亚洲新歌榜,音乐人先锋榜,宝宝的小情绪,这一刻的时光,微博摄影大赛,扑通扑通少女心",0,0,0,2017-11-01 09:11,360安全浏览器,,,
4169201965170518,Ft2g4lH5s,3870970309,金融大学堂,【公告淘金】雄韬股份：拟50亿元在武汉投建氢燃料电池产业园龙蟒佰利：终止RGM项目合作计划富煌钢构：签订8.141亿元工程合同东华科技：联合预中标8亿元PPP项目中国铁建：中标中马钦州产业园区特色扶贫小镇项目珠江控股：携物美控股打造京津冀食品产业链浦东建设：中标多项重大工程康美药业：与华大基因战略合作拟共建研究院和公司耐威科技：参与投资设立半导体产业投资基金比亚迪：剥离汽车座椅业务聚焦整车业务会稽山：拟7.35亿并购咸亨食品山东高速：发起设立50亿产业投资基金投资金融等行业人民网：与浦东科创合作拟发起设立文化产业基金棕榈股份：中标多个景观工程设计项目总金额3.64亿蓝盾股份：联合签署5608万元项目合同汇川技术：预中标1.23亿元轨道交通项目科力远：子公司签技术许可协议公司预计获益超6000万#财金头条##沪指破3000#,,,,"财金头条,沪指破3000",0,0,0,2017-11-01 09:11,搜狗高速浏览器,,,
